-0.033415-0j -0.00590699-0j -0.000492249-0j -0.029055-0j -0.0048425-0j -0.00296541-0j -0.000605312-0j -3.56683e-05-0j -0.0182609-0j -0.0184501-0j -0.00294684-0j -0.00297737-0j -0.00240608-0j -0.00243102-0j -0.000347288-0j -0.00030076-0j -0.000350887-0j -0.000303877-0j -3.54449e-05-0j -3.58123e-05-0j -1.61783e-06-0j -1.6346e-06-0j -0.0135256-0j -0.0167371-0j -0.0097633-0j -0.00213859-0j -0.00264637-0j -0.0016907-0j -0.00154371-0j -0.00112713-0j -0.000244032-0j -0.00209214-0j -0.00139476-0j -0.000281783-0j -0.00122041-0j -0.000301974-0j -9.96255e-05-0j -0.000813608-0j -2.3482e-05-0j -0.000176151-0j -2.49064e-05-0j -0.000348689-0j -0.00012328-0j -0.000203402-0j -2.90574e-05-0j -2.07553e-06-0j -7.19135e-05-0j -3.08201e-05-0j -1.69502e-05-0j -7.73505e-08-0j -2.56834e-06-0j -1.79784e-05-0j -9.57163e-08-0j -1.4982e-06-0j -5.58345e-08-0j 
-0.00174775-0j 0.0146147-0j 0.00370516-0j -2.16312e-05-0j 0.000170535-0j -2.20772e-06-0j 4.30844e-05-0j 5.1041e-06-0j 0.00472965-0j 0.00093755-0j -0.0361034-0j -0.00715671-0j 0.000623187-0j 0.000123533-0j -0.00859961-0j -0.00368479-0j -0.00170468-0j -0.000730428-0j -0.00132113-0j -0.000261885-0j -0.000100781-0j -1.99776e-05-0j -0.000707448-0j 6.17034e-05-0j 0.00099952-0j 0.00529114-0j -0.000461491-0j -8.8431e-05-0j -0.0074756-0j -5.8954e-05-0j 0.0012203-0j 7.71293e-06-0j 5.14195e-06-0j 0.000697169-0j 0.00012494-0j -0.000106434-0j -5.21085e-06-0j 8.32933e-05-0j 0.000176749-0j -0.0017241-0j 0.000124546-0j -6.08068e-05-0j 4.54489e-07-0j -0.000984997-0j -1.5416e-05-0j 2.08662e-05-0j 7.36216e-06-0j -1.08629e-05-0j -0.00024972-0j 1.16848e-06-0j -1.81994e-06-0j -0.000175965-0j -1.01914e-07-0j -2.94809e-05-0j -1.65089e-06-0j 
0.00144182-0j -0.0120565-0j -0.0030566-0j -0.00368969-0j 0.0290886-0j -0.000376577-0j 0.00734902-0j 0.00087062-0j 0.000787937-0j 0.00380114-0j -0.00601465-0j -0.0290157-0j 0.00010382-0j 0.000500844-0j -0.00143265-0j -0.000613868-0j -0.00691135-0j -0.0029614-0j -0.000220094-0j -0.00106177-0j -1.67896e-05-0j -8.09961e-05-0j -0.00116413-0j -0.00212544-0j 0.000490188-0j 0.00870678-0j 0.0158966-0j -0.000145517-0j -0.00366621-0j -9.70112e-05-0j 0.00200804-0j -0.00026568-0j -0.00017712-0j 0.00114722-0j 6.12736e-05-0j 0.00366623-0j -8.57466e-06-0j 4.0849e-05-0j 0.000290847-0j -0.000845539-0j 0.000204945-0j 0.00209456-0j -1.56554e-05-0j -0.000483066-0j 0.00053102-0j 3.43362e-05-0j 3.61058e-06-0j 0.000374183-0j -0.000122468-0j 1.92278e-06-0j 6.269e-05-0j -8.62974e-05-0j 3.51055e-06-0j -1.44581e-05-0j -8.09635e-07-0j 
0.00176586-0j -0.0147661-0j -0.00374355-0j -0.00300533-0j 0.0236933-0j -0.000306731-0j 0.00598594-0j 0.00070914-0j -0.0028641-0j 0.000892938-0j 0.0218629-0j -0.00681616-0j -0.000377379-0j 0.000117655-0j 0.0052076-0j 0.00223137-0j -0.00162357-0j -0.000695672-0j 0.000800028-0j -0.000249424-0j 6.10294e-05-0j -1.9027e-05-0j 0.000714779-0j 0.00513812-0j 0.00199773-0j -0.00534597-0j -0.0384289-0j 8.93474e-05-0j -0.0149414-0j 5.95649e-05-0j -0.00123294-0j 0.000642265-0j 0.000428176-0j -0.000704393-0j 0.000249717-0j -0.00886287-0j 5.26485e-06-0j 0.000166478-0j -0.00017858-0j -0.00344594-0j -0.000125837-0j -0.00506346-0j 3.78458e-05-0j -0.00196871-0j -0.00128371-0j -2.10824e-05-0j 1.47147e-05-0j -0.000904563-0j -0.000499113-0j -1.18059e-06-0j -0.000151549-0j -0.0003517-0j -8.48653e-06-0j -5.89232e-05-0j -3.29962e-06-0j 
-0.000797901-0j 0.00667204-0j 0.00169152-0j 0.00272578-0j -0.0214894-0j 0.000278199-0j -0.00542914-0j -0.000643177-0j 0.000429048-0j -0.00465984-0j -0.00327511-0j 0.0355705-0j 5.65321e-05-0j -0.000613988-0j -0.000780109-0j -0.000334264-0j 0.00847266-0j 0.0036304-0j -0.000119846-0j 0.00130163-0j -9.14232e-06-0j 9.92935e-05-0j -0.000322972-0j -0.001545-0j 0.00302062-0j 0.00241557-0j 0.0115553-0j -4.03715e-05-0j -0.0225918-0j -2.69143e-05-0j 0.000557102-0j -0.000193125-0j -0.00012875-0j 0.000318279-0j 0.000377577-0j 0.00266501-0j -2.37891e-06-0j 0.000251718-0j 8.06911e-05-0j -0.00521034-0j 5.6859e-05-0j 0.00152255-0j -1.138e-05-0j -0.00297672-0j 0.000386002-0j 9.52606e-06-0j 2.22489e-05-0j 0.000271996-0j -0.000754669-0j 5.33446e-07-0j 4.55698e-05-0j -0.000531778-0j 2.55184e-06-0j -8.90931e-05-0j -4.9891e-06-0j 
0.000175921-0j -0.00147105-0j -0.000372945-0j -0.000902557-0j 0.00711554-0j -9.21169e-05-0j 0.00179769-0j 0.000212968-0j 9.61385e-05-0j 0.00272095-0j -0.000733865-0j -0.0207702-0j 1.26674e-05-0j 0.000358517-0j -0.000174802-0j -7.48998e-05-0j -0.00494732-0j -0.00211985-0j -2.68543e-05-0j -0.000760041-0j -2.04855e-06-0j -5.7979e-05-0j 7.12086e-05-0j -0.000519917-0j -0.00505901-0j -0.000532582-0j 0.00388856-0j 8.90107e-06-0j 0.0378373-0j 5.93405e-06-0j -0.000122829-0j -6.49896e-05-0j -4.33264e-05-0j -7.01739e-05-0j -0.000632376-0j 0.000896818-0j 5.24501e-07-0j -0.000421584-0j -1.77907e-05-0j 0.00872641-0j -1.25362e-05-0j 0.000512362-0j -3.82955e-06-0j 0.0049855-0j 0.000129896-0j -2.1003e-06-0j -3.72631e-05-0j 9.15311e-05-0j 0.00126394-0j -1.17614e-07-0j 1.5335e-05-0j 0.000890635-0j 8.58737e-07-0j 0.000149216-0j 8.35587e-06-0j 
0.00291661-0j -0.0496069-0j 4.29658e-05-0j 0.00253605-0j 0.000422675-0j -0.0500659-0j -0.00508341-0j 3.1133e-06-0j 0.00159389-0j 0.00161041-0j 0.000257213-0j 0.000259879-0j -0.0202063-0j -0.0204157-0j 3.03129e-05-0j -0.00507782-0j 3.0627e-05-0j -0.00513044-0j -0.000297666-0j -0.000300751-0j 1.41212e-07-0j 1.42675e-07-0j 0.00118058-0j 0.00146089-0j 0.000852185-0j 0.000186666-0j 0.000230987-0j -0.0141985-0j 0.000134742-0j 9.83814e-05-0j 2.13002e-05-0j -0.0175697-0j 0.000121741-0j -0.00236642-0j -0.010249-0j 2.63576e-05-0j -0.00252736-0j 7.10154e-05-0j 2.04961e-06-0j 1.53753e-05-0j -0.000420501-0j -0.00292829-0j -0.00312744-0j -0.00170817-0j 2.53627e-06-0j -1.74303e-05-0j -0.00182434-0j -0.000520344-0j 1.47949e-06-0j 6.7515e-09-0j -2.15689e-05-0j -0.000303534-0j 8.35456e-09-0j -1.25819e-05-0j 4.87349e-09-0j 
-0.000420977-0j 0.00711482-0j -0.0850235-0j -0.000366047-0j 0.00583267-0j -3.73596e-05-0j -0.0341191-0j -0.012408-0j -0.000230059-0j -0.000232443-0j 0.00354939-0j 0.00358617-0j -3.03129e-05-0j -3.0627e-05-0j -0.0195753-0j 0.000362258-0j -0.0197782-0j 0.000366012-0j -0.00612221-0j -0.00618566-0j -0.000941263-0j -0.000951017-0j -0.000170402-0j -0.000210861-0j -0.000123002-0j 0.00257587-0j 0.00318748-0j -2.13002e-05-0j 0.00185936-0j -1.42001e-05-0j -0.0137551-0j -2.63576e-05-0j -1.75718e-05-0j 0.000339401-0j -1.53753e-05-0j -0.0170211-0j -1.25513e-06-0j -1.02502e-05-0j -0.00405591-0j -0.00992898-0j -0.00140388-0j 0.000419988-0j -1.55314e-06-0j 0.000244993-0j -0.00501893-0j -0.000722017-0j -9.05998e-07-0j -0.00173721-0j -0.00292771-0j -6.7645e-05-0j -0.00089345-0j -0.00101337-0j -8.37065e-05-0j -0.000521179-0j -4.88288e-05-0j 
-0.0031503-0j 0.0535816-0j -4.64083e-05-0j -3.899e-05-0j -6.49833e-06-0j 0.000769727-0j 7.81538e-05-0j -4.78647e-08-0j -0.0017216-0j 0.00168992-0j -0.000277822-0j 0.00027271-0j 0.0218253-0j -0.0214237-0j -3.27417e-05-0j 0.00548467-0j 3.21392e-05-0j -0.00538376-0j 0.000321517-0j -0.000315601-0j -1.52526e-07-0j 1.4972e-07-0j -0.00127517-0j -2.24601e-05-0j 0.00180163-0j -0.000201622-0j -3.55126e-06-0j 0.0153361-0j 0.000284862-0j -0.000106264-0j -2.30068e-05-0j 0.000270122-0j -1.87168e-06-0j 0.00255602-0j -0.0216677-0j -4.0523e-07-0j 0.00272986-0j 0.000150135-0j -2.21383e-06-0j 3.25053e-05-0j 0.000454193-0j 4.50204e-05-0j 4.80822e-05-0j -0.00361128-0j -3.89933e-08-0j 1.88269e-05-0j -0.00385688-0j 7.99992e-06-0j 3.12782e-06-0j -7.29246e-09-0j 3.31607e-07-0j -0.000641708-0j -1.28445e-10-0j -2.65996e-05-0j 1.03032e-08-0j 
0.000454707-0j -0.00768489-0j 0.0918359-0j 5.62772e-06-0j -8.96731e-05-0j 5.74377e-07-0j 0.000524558-0j 0.000190764-0j 0.000248492-0j -0.00024392-0j -0.00383378-0j 0.00376324-0j 3.27417e-05-0j -3.21392e-05-0j 0.0211438-0j -0.000391284-0j -0.0207547-0j 0.000384084-0j 0.00661275-0j -0.00649107-0j 0.00101668-0j -0.000997973-0j 0.000184055-0j 3.24184e-06-0j -0.000260042-0j -0.00278226-0j -4.90053e-05-0j 2.30068e-05-0j 0.00393093-0j 1.53379e-05-0j 0.0148572-0j 4.0523e-07-0j 2.70153e-07-0j -0.000366595-0j -3.25053e-05-0j 0.000261688-0j 1.35569e-06-0j -2.16702e-05-0j 0.00438089-0j -0.0209911-0j 0.00151636-0j -6.45701e-06-0j 2.38784e-08-0j 0.000517945-0j 7.71626e-05-0j 0.000779867-0j -1.91539e-06-0j 2.67084e-05-0j -0.00618955-0j 7.3065e-05-0j 1.37362e-05-0j -0.0021424-0j 1.28693e-06-0j -0.00110184-0j -0.00010323-0j 
-0.00240608-0j 0.0409236-0j -3.54449e-05-0j -0.00209214-0j -0.000348689-0j 0.0413022-0j 0.0041936-0j -2.56834e-06-0j 0.0012938-0j -0.00132852-0j 0.000208786-0j -0.000214389-0j -0.0164019-0j 0.0168421-0j 2.46057e-05-0j -0.00412179-0j -2.5266e-05-0j 0.0042324-0j -0.000241623-0j 0.000248107-0j 1.14625e-07-0j -1.17701e-07-0j -0.000973926-0j 0.00118584-0j -0.000703017-0j -0.000153991-0j 0.000187498-0j 0.0117132-0j -0.000111157-0j -8.11605e-05-0j -1.75718e-05-0j -0.0142618-0j 9.882e-05-0j 0.00195219-0j 0.00845501-0j 2.13952e-05-0j 0.00208496-0j -5.85848e-05-0j -1.69084e-06-0j -1.2684e-05-0j 0.000346896-0j -0.00237697-0j -0.00253862-0j 0.00140917-0j 2.05875e-06-0j 1.43793e-05-0j 0.001505-0j -0.000422376-0j -1.22052e-06-0j -5.56971e-09-0j -1.7508e-05-0j 0.000250403-0j 6.7816e-09-0j 1.03795e-05-0j -4.02043e-09-0j 
0.00243102-0j -0.0413477-0j 3.58123e-05-0j -0.00205364-0j -0.000342273-0j 0.0405423-0j 0.00411644-0j -2.52108e-06-0j 0.00132852-0j -0.00134174-0j 0.000214389-0j -0.000216523-0j -0.0168421-0j 0.0170097-0j 2.5266e-05-0j -0.0042324-0j -2.55175e-05-0j 0.00427453-0j -0.000248107-0j 0.000250577-0j 1.17701e-07-0j -1.18873e-07-0j 0.000984019-0j -0.001183-0j 0.000650504-0j 0.000155587-0j -0.000187048-0j -0.0118345-0j 0.000102854-0j 8.20016e-05-0j 1.77539e-05-0j 0.0142276-0j -9.85831e-05-0j -0.00197242-0j -0.00782345-0j -2.13439e-05-0j -0.00210657-0j 5.42087e-05-0j 1.70837e-06-0j 1.17365e-05-0j -0.000350491-0j 0.00237127-0j 0.00253254-0j -0.00130391-0j -2.05381e-06-0j -1.45283e-05-0j -0.00139259-0j 0.000421363-0j 1.12935e-06-0j 5.62742e-09-0j 1.7466e-05-0j -0.000231698-0j -6.76535e-09-0j -9.60419e-06-0j 3.72011e-09-0j 
0.000347288-0j -0.00586943-0j 0.0701408-0j 0.000301974-0j -0.0048117-0j 3.08201e-05-0j 0.0281469-0j 0.0102361-0j -0.000186744-0j 0.000191755-0j 0.00288113-0j -0.00295844-0j -2.46057e-05-0j 2.5266e-05-0j -0.0158898-0j 0.000294054-0j 0.0163162-0j -0.000301945-0j -0.00496955-0j 0.00510291-0j -0.000764046-0j 0.000784549-0j 0.000140574-0j -0.000171161-0j 0.000101472-0j -0.00212499-0j 0.00258736-0j 1.75718e-05-0j -0.0015339-0j 1.17145e-05-0j 0.0113474-0j -2.13952e-05-0j -1.42634e-05-0j -0.000279992-0j 1.2684e-05-0j -0.0138165-0j 1.03543e-06-0j 8.45598e-06-0j 0.00334596-0j 0.00819099-0j 0.00115814-0j 0.000340914-0j -1.26072e-06-0j -0.000202109-0j -0.00407399-0j 0.000595633-0j 7.4741e-07-0j -0.00141014-0j 0.00241524-0j 5.58043e-05-0j -0.000725235-0j 0.00083599-0j -6.79466e-05-0j 0.000429951-0j 4.02817e-05-0j 
-0.000350887-0j 0.00593025-0j -0.0708677-0j 0.000296417-0j -0.00472317-0j 3.0253e-05-0j 0.027629-0j 0.0100477-0j -0.000191755-0j 0.000193664-0j 0.00295844-0j -0.00298789-0j -2.5266e-05-0j 2.55175e-05-0j -0.0163162-0j 0.000301945-0j 0.0164786-0j -0.00030495-0j -0.00510291-0j 0.0051537-0j -0.000784549-0j 0.000792358-0j -0.000142031-0j 0.000170751-0j -9.38921e-05-0j 0.00214701-0j -0.00258116-0j -1.77539e-05-0j 0.00141932-0j -1.18359e-05-0j -0.011465-0j 2.13439e-05-0j 1.42292e-05-0j 0.000282893-0j -1.17365e-05-0j 0.0137833-0j -1.04616e-06-0j -7.82435e-06-0j -0.00338063-0j -0.00757915-0j -0.00117014-0j -0.000340097-0j 1.2577e-06-0j 0.000187012-0j 0.00406423-0j -0.000601806-0j -6.91581e-07-0j 0.00140676-0j -0.00223483-0j -5.63826e-05-0j 0.000723497-0j -0.000773544-0j 6.77837e-05-0j -0.000397835-0j -3.72728e-05-0j 
-0.00215207-0j 0.0366032-0j -3.17029e-05-0j -0.00187126-0j -0.000311877-0j 0.0369418-0j 0.00375087-0j -2.29719e-06-0j -0.00117608-0j -0.00118827-0j -0.000189789-0j -0.000191755-0j 0.0149095-0j 0.015064-0j -2.23668e-05-0j 0.00374674-0j -2.25986e-05-0j 0.00378557-0j 0.000219638-0j 0.000221914-0j -1.04195e-07-0j -1.05275e-07-0j 0.00173759-0j -0.00107794-0j -0.000628798-0j 0.000274737-0j -0.000170437-0j -0.0208976-0j -9.94216e-05-0j 0.000144799-0j 3.135e-05-0j 0.0129641-0j -8.98282e-05-0j -0.00348293-0j 0.00756239-0j -1.94484e-05-0j -0.0037198-0j -5.23998e-05-0j 3.01665e-06-0j -1.13449e-05-0j -0.0006189-0j 0.00216068-0j 0.00230763-0j 0.0012604-0j -1.87142e-06-0j -2.56542e-05-0j 0.00134612-0j 0.000383943-0j -1.09166e-06-0j 9.93697e-09-0j 1.59149e-05-0j 0.000223967-0j -6.16454e-09-0j 9.28371e-06-0j -3.59598e-09-0j 
-0.00147342-0j 0.0250605-0j -2.17055e-05-0j -0.00128117-0j -0.000213528-0j 0.0252923-0j 0.00256804-0j -1.57278e-06-0j -0.000805205-0j -0.00081355-0j -0.000129939-0j -0.000131286-0j 0.0102078-0j 0.0103136-0j -1.53135e-05-0j 0.00256522-0j -1.54722e-05-0j 0.0025918-0j 0.000150376-0j 0.000151934-0j -7.13376e-08-0j -7.20769e-08-0j -0.000596405-0j -0.000738014-0j -0.000430508-0j -9.43e-05-0j -0.00011669-0j 0.00717282-0j -6.80693e-05-0j -4.97005e-05-0j -1.07605e-05-0j 0.00887591-0j -6.15012e-05-0j 0.00119547-0j 0.00517761-0j -1.33154e-05-0j 0.00127677-0j -3.58757e-05-0j -1.03543e-06-0j -7.76731e-06-0j 0.000212429-0j 0.00147932-0j 0.00157993-0j 0.000862936-0j -1.28127e-06-0j 8.80547e-06-0j 0.000921624-0j 0.000262868-0j -7.4741e-07-0j -3.41073e-09-0j 1.08962e-05-0j 0.00015334-0j -4.22057e-09-0j 6.35612e-06-0j -2.462e-09-0j 
0.000310624-0j -0.00524978-0j 0.0627359-0j 0.000270094-0j -0.00430372-0j 2.75663e-05-0j 0.0251753-0j 0.00915541-0j 0.000169752-0j 0.000171511-0j -0.00261897-0j -0.00264611-0j 2.23668e-05-0j 2.25986e-05-0j 0.0144439-0j -0.000267298-0j 0.0145936-0j -0.000270068-0j 0.00451737-0j 0.00456418-0j 0.000694525-0j 0.000701722-0j -0.0002508-0j 0.000155587-0j 9.07591e-05-0j 0.00379121-0j -0.00235193-0j -3.135e-05-0j -0.00137196-0j -2.09e-05-0j -0.020245-0j 1.94484e-05-0j 1.29656e-05-0j 0.000499536-0j 1.13449e-05-0j 0.0125593-0j -1.84731e-06-0j 7.56326e-06-0j -0.00596955-0j 0.00732625-0j -0.00206625-0j -0.000309894-0j 1.14601e-06-0j -0.000180772-0j 0.0037033-0j -0.00106268-0j 6.68504e-07-0j 0.00128183-0j 0.00216026-0j -9.9561e-05-0j 0.000659245-0j 0.000747732-0j 6.17641e-05-0j 0.00038456-0j 3.6029e-05-0j 
0.00021267-0j -0.00359428-0j 0.0429523-0j 0.00018492-0j -0.00294655-0j 1.88734e-05-0j 0.0172364-0j 0.00626828-0j 0.000116221-0j 0.000117426-0j -0.00179309-0j -0.00181167-0j 1.53135e-05-0j 1.54722e-05-0j 0.00988908-0j -0.000183006-0j 0.00999156-0j -0.000184903-0j 0.00309283-0j 0.00312488-0j 0.000475509-0j 0.000480436-0j 8.60837e-05-0j 0.000106523-0j 6.21385e-05-0j -0.00130128-0j -0.00161026-0j 1.07605e-05-0j -0.000939316-0j 7.17364e-06-0j 0.00694884-0j 1.33154e-05-0j 8.87693e-06-0j -0.000171459-0j 7.76731e-06-0j 0.00859875-0j 6.34066e-07-0j 5.17821e-06-0j 0.00204897-0j 0.00501594-0j 0.000709213-0j -0.00021217-0j 7.84617e-07-0j -0.000123766-0j 0.00253547-0j 0.000364749-0j 4.57693e-07-0j 0.000877606-0j 0.00147903-0j 3.4173e-05-0j 0.000451354-0j 0.000511937-0j 4.2287e-05-0j 0.00026329-0j 2.46674e-05-0j 
0.00266305-0j -0.0452941-0j 3.92304e-05-0j 3.29594e-05-0j 5.49324e-06-0j -0.000650674-0j -6.60658e-05-0j 4.04615e-08-0j -0.00143198-0j -0.00142854-0j -0.000231084-0j -0.00023053-0j 0.0181536-0j 0.0181101-0j -2.72335e-05-0j 0.00456199-0j -2.71683e-05-0j 0.00455105-0j 0.000267428-0j 0.000266787-0j -1.26867e-07-0j -1.26563e-07-0j 0.00107794-0j -1.86817e-05-0j -0.00152297-0j 0.000170437-0j -2.95383e-06-0j -0.0129641-0j -0.000240802-0j 8.98282e-05-0j 1.94484e-05-0j 0.00022468-0j -1.55681e-06-0j -0.00216068-0j 0.0183164-0j -3.37058e-07-0j -0.00230763-0j -0.000126914-0j 1.87142e-06-0j -2.74777e-05-0j -0.000383943-0j 3.74466e-05-0j 3.99934e-05-0j 0.00305273-0j -3.24335e-08-0j -1.59149e-05-0j 0.00326034-0j 6.65409e-06-0j -2.64404e-06-0j 6.16454e-09-0j 2.7582e-07-0j 0.000542455-0j -1.06837e-10-0j 2.24855e-05-0j -8.70958e-09-0j 
-0.00155344-0j 0.0264216-0j -2.28844e-05-0j 0.00264382-0j 0.000440636-0j -0.0521934-0j -0.00529942-0j 3.24559e-06-0j -0.000848938-0j -0.000785525-0j -0.000136997-0j -0.000126764-0j 0.0107622-0j 0.00995834-0j -1.61452e-05-0j 0.00270454-0j -1.49392e-05-0j 0.00250252-0j 0.000158543-0j 0.0001467-0j -7.52121e-08-0j -6.9594e-08-0j -0.000628798-0j 0.00152297-0j -0.00175742-0j -9.94216e-05-0j 0.000240802-0j 0.00756239-0j -0.000277873-0j -5.23998e-05-0j -1.13449e-05-0j -0.0183164-0j 0.000126914-0j 0.0012604-0j 0.0211361-0j 2.74777e-05-0j 0.00134612-0j -0.000146452-0j -1.09166e-06-0j -3.17078e-05-0j 0.000223967-0j -0.00305273-0j -0.00326034-0j 0.00352268-0j 2.64404e-06-0j 9.28371e-06-0j 0.00376226-0j -0.000542455-0j -3.05108e-06-0j -3.59598e-09-0j -2.24855e-05-0j 0.000625964-0j 8.70958e-09-0j 2.5947e-05-0j -1.00504e-08-0j 
-0.000384377-0j 0.00649627-0j -0.0776317-0j -4.75728e-06-0j 7.58034e-05-0j -4.85538e-07-0j -0.000443424-0j -0.000161258-0j 0.000206688-0j 0.000206193-0j -0.00318883-0j -0.00318118-0j 2.72335e-05-0j 2.71683e-05-0j 0.0175867-0j -0.000325458-0j 0.0175446-0j -0.000324678-0j 0.00550029-0j 0.0054871-0j 0.000845644-0j 0.000843617-0j -0.000155587-0j 2.69647e-06-0j 0.000219822-0j 0.00235193-0j -4.07611e-05-0j -1.94484e-05-0j -0.00332293-0j -1.29656e-05-0j -0.0125593-0j 3.37058e-07-0j 2.24706e-07-0j 0.000309894-0j 2.74777e-05-0j 0.000217664-0j -1.14601e-06-0j 1.83185e-05-0j -0.0037033-0j 0.0177444-0j -0.00128183-0j -5.37075e-06-0j 1.98614e-08-0j -0.000437835-0j 6.41815e-05-0j -0.000659245-0j 1.61914e-06-0j 2.22152e-05-0j 0.00523221-0j -6.17641e-05-0j 1.14253e-05-0j 0.00181103-0j 1.07043e-06-0j 0.000931417-0j 8.72635e-05-0j 
0.00243102-0j -0.0413477-0j 3.58123e-05-0j 3.00877e-05-0j 5.01462e-06-0j -0.000593981-0j -6.03095e-05-0j 3.69361e-08-0j 0.00132852-0j -0.00130408-0j 0.000214389-0j -0.000210444-0j -0.0168421-0j 0.0165322-0j 2.5266e-05-0j -0.0042324-0j -2.48011e-05-0j 0.00415452-0j -0.000248107-0j 0.000243542-0j 1.17701e-07-0j -1.15535e-07-0j -0.00196282-0j 1.7332e-05-0j -0.00139027-0j -0.000310349-0j 2.74043e-06-0j 0.0236063-0j -0.000219822-0j -0.000163568-0j -3.54135e-05-0j -0.000208447-0j 1.44433e-06-0j 0.00393439-0j 0.0167205-0j 3.12707e-07-0j 0.00420196-0j -0.000115856-0j -3.40767e-06-0j -2.50836e-05-0j 0.000699122-0j -3.47412e-05-0j -3.7104e-05-0j 0.00278675-0j 3.00902e-08-0j 2.89795e-05-0j 0.00297627-0j -6.17336e-06-0j -2.41367e-06-0j -1.1225e-08-0j -2.55893e-07-0j 0.000495192-0j 9.91185e-11-0j 2.05263e-05-0j -7.95072e-09-0j 
0.00022422-0j -0.00378949-0j 0.0452852-0j -0.000381602-0j 0.00608052-0j -3.89471e-05-0j -0.035569-0j -0.0129352-0j 0.000122534-0j 0.000113381-0j -0.00189047-0j -0.00174926-0j 1.61452e-05-0j 1.49392e-05-0j 0.0104262-0j -0.000192946-0j 0.00964738-0j -0.000178533-0j 0.00326081-0j 0.00301724-0j 0.000501334-0j 0.000463886-0j 9.07591e-05-0j -0.000219822-0j 0.000253662-0j -0.00137196-0j 0.00332293-0j 1.13449e-05-0j -0.00383448-0j 7.56326e-06-0j 0.00732625-0j -2.74777e-05-0j -1.83185e-05-0j -0.000180772-0j 3.17078e-05-0j -0.0177444-0j 6.68504e-07-0j 2.11385e-05-0j 0.00216026-0j 0.0204761-0j 0.000747732-0j 0.000437835-0j -1.61914e-06-0j -0.000505237-0j -0.00523221-0j 0.00038456-0j 1.8684e-06-0j -0.00181103-0j 0.00603769-0j 3.6029e-05-0j -0.000931417-0j 0.00208983-0j -8.72635e-05-0j 0.0010748-0j 0.000100697-0j 
0.00148869-0j -0.0253202-0j 2.19304e-05-0j 0.00129444-0j 0.00021574-0j -0.0255544-0j -0.00259466-0j 1.58908e-06-0j -0.00241455-0j 0.00082198-0j -0.000389646-0j 0.000132647-0j 0.03061-0j -0.0104205-0j -4.59202e-05-0j 0.00769226-0j 1.56325e-05-0j -0.00261866-0j 0.000450927-0j -0.000153508-0j -2.13918e-07-0j 7.28238e-08-0j 0.000602586-0j -0.00221306-0j 0.00043497-0j 9.52772e-05-0j -0.000349916-0j -0.00724715-0j 6.87747e-05-0j 5.02155e-05-0j 1.0872e-05-0j 0.026616-0j -0.000184422-0j -0.00120786-0j -0.00523127-0j -3.99285e-05-0j -0.00129-0j 3.62475e-05-0j 1.04616e-06-0j 7.84781e-06-0j -0.000214631-0j 0.00443599-0j 0.00473768-0j -0.000871878-0j -3.84212e-06-0j -8.89672e-06-0j -0.000931174-0j 0.000788255-0j 7.55156e-07-0j 3.44608e-09-0j 3.26742e-05-0j -0.000154929-0j -1.26561e-08-0j -6.42199e-06-0j 2.48751e-09-0j 
-0.000350887-0j 0.00593025-0j -0.0708677-0j -4.34278e-06-0j 6.91987e-05-0j -4.43234e-07-0j -0.000404789-0j -0.000147208-0j -0.000191755-0j 0.000188227-0j 0.00295844-0j -0.00290401-0j -2.5266e-05-0j 2.48011e-05-0j -0.0163162-0j 0.000301945-0j 0.0160159-0j -0.000296389-0j -0.00510291-0j 0.00500902-0j -0.000784549-0j 0.000770114-0j 0.000283308-0j -2.50166e-06-0j 0.000200669-0j -0.00428263-0j 3.78163e-05-0j 3.54135e-05-0j -0.00303341-0j 2.3609e-05-0j 0.0228692-0j -3.12707e-07-0j -2.08471e-07-0j -0.000564286-0j 2.50836e-05-0j -0.000201938-0j 2.08676e-06-0j 1.67224e-05-0j 0.00674333-0j 0.0161984-0j 0.00233408-0j 4.98273e-06-0j -1.84264e-08-0j -0.000399686-0j -5.95446e-05-0j 0.00120042-0j 1.47806e-06-0j -2.06103e-05-0j 0.00477633-0j 0.000112466-0j -1.05999e-05-0j 0.00165324-0j -9.93093e-07-0j 0.000850263-0j 7.96603e-05-0j 
0.00140355-0j -0.0238721-0j 2.06762e-05-0j 0.00122041-0j 0.000203402-0j -0.024093-0j -0.00244627-0j 1.4982e-06-0j -0.000754718-0j 0.000774971-0j -0.000121792-0j 0.00012506-0j 0.00956779-0j -0.00982454-0j -1.43533e-05-0j 0.00240438-0j 1.47385e-05-0j -0.0024689-0j 0.000140947-0j -0.000144729-0j -6.68647e-08-0j 6.86589e-08-0j -0.00283459-0j -0.00069174-0j 0.000410093-0j -0.000448188-0j -0.000109374-0j 0.0340909-0j 6.48414e-05-0j -0.000236216-0j -5.11422e-05-0j 0.00831938-0j -5.7645e-05-0j 0.00568182-0j -0.00493209-0j -1.24805e-05-0j 0.00606824-0j 3.41744e-05-0j -4.92116e-06-0j 7.39898e-06-0j 0.00100963-0j 0.00138656-0j 0.00148086-0j -0.000822015-0j -1.20094e-06-0j 4.18505e-05-0j -0.00087792-0j 0.000246386-0j 7.11967e-07-0j -1.62105e-08-0j 1.0213e-05-0j -0.000146068-0j -3.95593e-09-0j -6.05471e-06-0j 2.34525e-09-0j 
