-0.0063643-0j 0.0458029-0j -0.000726223-0j 0.0100214-0j -0.000633899-0j 0.00530066-0j -0.000592959-0j 0.00134384-0j -0.000410814-0j 0.00467474-0j -6.05186e-05-0j 0.00443485-0j 0.00118104-0j 0.000139915-0j -7.65506e-05-0j -5.24106e-05-0j 0.00105635-0j -4.94132e-05-0j 0.000723236-0j 0.00045263-0j 0.000162284-0j 0.000584343-0j 1.23797e-05-0j 0.000224914-0j -4.36755e-06-0j 0.000148145-0j -5.04322e-06-0j 0.00010439-0j 9.84199e-05-0j 1.74893e-05-0j 3.44327e-05-0j 1.16596e-05-0j 9.79379e-07-0j -1.40962e-07-0j 1.51199e-05-0j 4.34959e-06-0j 1.63117e-06-0j 1.03057e-06-0j 7.20132e-08-0j 9.99575e-08-0j 5.14571e-09-0j 1.38469e-10-0j 
0.0045184-0j 0.000687452-0j -0.0496069-0j 7.44189e-05-0j 0.000450043-0j -0.00765451-0j 0.000420977-0j 6.62976e-06-0j 0.000291661-0j 7.01628e-05-0j -0.00831078-0j 6.65623e-05-0j -0.00084383-0j 5.16798e-07-0j -0.00522902-0j -0.00358007-0j 7.84444e-06-0j 3.50814e-05-0j 5.37072e-06-0j -0.00131405-0j -7.70308e-05-0j -0.00084383-0j 3.65431e-08-0j 3.37571e-06-0j -0.000901219-0j 7.30862e-07-0j -0.000692565-0j -0.000149945-0j -7.03192e-05-0j -6.2154e-06-0j -0.000150203-0j 4.30665e-08-0j 2.40749e-09-0j -4.85446e-05-0j -1.44284e-05-0j -1.25277e-05-0j -4.63268e-07-0j -1.10635e-06-0j 1.51658e-10-0j -4.75278e-08-0j -9.11974e-10-0j 2.03947e-13-0j 
-0.000652174-0j 0.00948643-0j -7.44189e-05-0j -0.0480579-0j -6.49581e-05-0j 0.00109784-0j -6.07628e-05-0j -0.0131194-0j -4.20977e-05-0j 0.000968205-0j -6.20157e-06-0j 0.00091852-0j -0.00566367-0j -0.00205969-0j -7.84444e-06-0j -5.37072e-06-0j -0.00506574-0j -5.06356e-06-0j -0.00346828-0j 9.3746e-05-0j -0.00158432-0j 0.000121026-0j -0.000243582-0j 4.65828e-05-0j -4.4756e-07-0j -0.00144628-0j -5.16798e-07-0j -0.000500603-0j -0.000471973-0j -0.000257461-0j 7.1315e-06-0j -0.000171641-0j -2.41212e-05-0j -1.44449e-08-0j -0.00014761-0j -2.08584e-05-0j -3.20948e-05-0j -1.5171e-05-0j -2.13025e-06-0j -2.46186e-06-0j -1.77696e-07-0j -6.15288e-09-0j 
0.00259236-0j 0.000394415-0j 0.000295811-0j 4.26966e-05-0j -0.0376308-0j 4.56446e-05-0j 0.000241529-0j 3.80372e-06-0j 0.000167336-0j -0.00586673-0j 2.46509e-05-0j 3.8189e-05-0j 5.03185e-06-0j 2.96504e-07-0j -0.00454435-0j 2.13483e-05-0j -0.000655921-0j -0.00588686-0j 3.08136e-06-0j 3.89765e-06-0j 4.59343e-07-0j -0.000733342-0j 2.0966e-08-0j -0.000850664-0j 1.77903e-06-0j -6.11118e-05-0j -0.000600825-0j 4.44757e-07-0j -0.000122643-0j 3.70631e-08-0j -4.32126e-05-0j -7.22681e-06-0j 1.38126e-09-0j 5.74178e-08-0j -6.2372e-06-0j 1.85315e-08-0j -4.02609e-07-0j 2.18396e-09-0j -1.2681e-08-0j 1.40974e-10-0j 5.43819e-12-0j 1.17011e-13-0j 
-0.00261922-0j -0.000398502-0j -0.000298876-0j -4.31391e-05-0j 0.0380208-0j -4.61176e-05-0j -0.000244032-0j -3.84314e-06-0j -0.00016907-0j 0.00592753-0j -2.49064e-05-0j -3.85848e-05-0j -5.08399e-06-0j -2.99577e-07-0j 0.00459145-0j -2.15696e-05-0j 0.000662718-0j 0.00594787-0j -3.1133e-06-0j -3.93804e-06-0j -4.64103e-07-0j 0.000740941-0j -2.11833e-08-0j 0.000859479-0j -1.79746e-06-0j 6.17451e-05-0j 0.000607052-0j -4.49366e-07-0j 0.000123914-0j -3.74471e-08-0j 4.36604e-05-0j 7.3017e-06-0j -1.39557e-09-0j -5.80129e-08-0j 6.30183e-06-0j -1.87236e-08-0j 4.06782e-07-0j -2.20659e-09-0j 1.28124e-08-0j -1.42435e-10-0j -5.49455e-12-0j -1.18224e-13-0j 
-0.000458268-0j 0.00329809-0j 0.00503127-0j 0.000721605-0j -4.56446e-05-0j -0.0367229-0j -4.26966e-05-0j 9.67648e-05-0j -2.95811e-05-0j 0.00033661-0j 0.000842902-0j 0.000319336-0j -0.00818223-0j 1.00747e-05-0j 0.000530342-0j 0.000363101-0j 7.60639e-05-0j -3.55805e-06-0j 5.20774e-05-0j -0.00630423-0j -0.0011243-0j -0.00404832-0j 8.91414e-07-0j 1.61952e-05-0j 9.14041e-05-0j 1.06673e-05-0j 7.02419e-05-0j -0.00145394-0j -0.000681852-0j -0.000121166-0j -0.000720608-0j 8.39559e-07-0j 7.05213e-08-0j 4.92353e-06-0j -0.00021059-0j -0.000121475-0j -1.13007e-05-0j -2.15677e-05-0j 5.18539e-09-0j -1.39221e-06-0j -3.56494e-08-0j 9.97063e-12-0j 
0.000463017-0j -0.00333227-0j -0.00508341-0j -0.000729083-0j 4.61176e-05-0j 0.0371035-0j 4.31391e-05-0j -9.77675e-05-0j 2.98876e-05-0j -0.000340098-0j -0.000851637-0j -0.000322645-0j 0.00826702-0j -1.01791e-05-0j -0.000535838-0j -0.000366863-0j -7.68521e-05-0j 3.59493e-06-0j -5.2617e-05-0j 0.00636956-0j 0.00113596-0j 0.00409028-0j -9.00651e-07-0j -1.6363e-05-0j -9.23513e-05-0j -1.07779e-05-0j -7.09698e-05-0j 0.00146901-0j 0.000688918-0j 0.000122422-0j 0.000728075-0j -8.4826e-07-0j -7.12521e-08-0j -4.97455e-06-0j 0.000212773-0j 0.000122734-0j 1.14178e-05-0j 2.17912e-05-0j -5.23913e-09-0j 1.40663e-06-0j 3.60189e-08-0j -1.0074e-11-0j 
3.8189e-05-0j -0.000836143-0j 4.35771e-06-0j 0.00862333-0j 3.80372e-06-0j -9.67648e-05-0j 3.55805e-06-0j -0.0355601-0j 2.46509e-06-0j -8.53385e-05-0j 3.63142e-07-0j -8.09592e-05-0j 0.00101627-0j -0.0114496-0j 4.59343e-07-0j 3.1449e-07-0j 0.000908978-0j 2.96504e-07-0j 0.000622335-0j -8.26286e-06-0j -0.00429429-0j -1.06673e-05-0j -0.00204542-0j -4.10585e-06-0j 2.62075e-08-0j -0.00392013-0j 3.02619e-08-0j 8.98263e-05-0j 8.46891e-05-0j -0.0014312-0j -6.28577e-07-0j -0.000954136-0j -0.000270921-0j 8.45845e-10-0j -0.000400097-0j 3.74276e-06-0j -0.000269508-0j -8.43345e-05-0j -2.99597e-05-0j -2.76507e-05-0j -3.00222e-06-0j -1.38783e-07-0j 
-3.85848e-05-0j 0.000844808-0j -4.40287e-06-0j -0.00871269-0j -3.84314e-06-0j 9.77675e-05-0j -3.59493e-06-0j 0.0359286-0j -2.49064e-06-0j 8.62229e-05-0j -3.66906e-07-0j 8.17982e-05-0j -0.0010268-0j 0.0115683-0j -4.64103e-07-0j -3.17749e-07-0j -0.000918398-0j -2.99577e-07-0j -0.000628784-0j 8.34849e-06-0j 0.00433879-0j 1.07779e-05-0j 0.00206662-0j 4.1484e-06-0j -2.64791e-08-0j 0.00396076-0j -3.05755e-08-0j -9.07572e-05-0j -8.55667e-05-0j 0.00144604-0j 6.35091e-07-0j 0.000964024-0j 0.000273728-0j -8.5461e-10-0j 0.000404243-0j -3.78155e-06-0j 0.000272301-0j 8.52085e-05-0j 3.02702e-05-0j 2.79373e-05-0j 3.03333e-06-0j 1.40221e-07-0j 
0.00182159-0j 0.000277146-0j 0.00020786-0j 3.0002e-05-0j 0.000181435-0j 3.20735e-05-0j -0.0332453-0j 2.67279e-06-0j 0.000117583-0j 2.82861e-05-0j 1.73217e-05-0j -0.00525654-0j 3.53577e-06-0j 2.08347e-07-0j 2.19103e-05-0j -0.00589199-0j 3.16249e-06-0j -0.00277044-0j -0.000850435-0j 2.73879e-06-0j 3.2277e-07-0j -0.00069261-0j 1.47324e-08-0j 1.36092e-06-0j -0.000244874-0j -5.77175e-05-0j 1.44347e-06-0j -6.12186e-05-0j 2.94647e-07-0j -5.10155e-06-0j 2.08347e-07-0j 1.73623e-08-0j -1.90124e-07-0j 4.03462e-08-0j 3.00723e-08-0j 1.30217e-08-0j 1.94116e-09-0j 1.53462e-09-0j 6.11408e-11-0j 9.90594e-11-0j 3.8213e-12-0j 8.22213e-14-0j 
-0.00225411-0j -0.000342951-0j -0.000257213-0j -3.71256e-05-0j -0.000224514-0j -3.96889e-05-0j 0.0411389-0j -3.30741e-06-0j -0.000145502-0j -3.50023e-05-0j -2.14345e-05-0j 0.00650463-0j -4.37529e-06-0j -2.57816e-07-0j -2.71127e-05-0j 0.00729096-0j -3.91338e-06-0j 0.00342824-0j 0.00105236-0j -3.38908e-06-0j -3.99407e-07-0j 0.000857061-0j -1.82304e-08-0j -1.68405e-06-0j 0.000303017-0j 7.14217e-05-0j -1.7862e-06-0j 7.57542e-05-0j -3.64607e-07-0j 6.31285e-06-0j -2.57816e-07-0j -2.14847e-08-0j 2.35266e-07-0j -4.99259e-08-0j -3.72126e-08-0j -1.61135e-08-0j -2.40206e-09-0j -1.899e-09-0j -7.56578e-11-0j -1.2258e-10-0j -4.72862e-12-0j -1.01744e-13-0j 
