-0.932604+1.29494e-16j 0.100643-0.00169733j -0.12019-0.00023256j -0.0398541-0.00142036j 0.0186268+0.000471427j -0.104479+0.000300626j -0.0809896+0.000443033j 0.0113057+0.000173945j 0.0503391-7.33999e-05j -0.00707031+0.000146866j -0.0058658+8.46066e-05j 0.000442188+7.48782e-05j 0.00455294-0.000230561j 0.0307999-6.84552e-05j 0.0289564+6.96418e-05j -0.00676319-5.54406e-05j 0.00425635-0.000109618j -0.0103002+9.68951e-05j -0.0147204-5.244e-05j 0.00227575-0.000208661j -0.00765966-0.000179797j -0.0219075-0.000126472j 0.00674316+0.000198561j -0.0373135-0.000251024j 0.0471529-0.000360668j 0.0597174+0.000174609j 0.0280789-0.000306351j -0.0226862+0.000361793j 0.01233+5.01263e-05j -0.0342667-7.66003e-05j -0.0117425-0.000101345j -0.00414294-0.000178684j 0.0148595+0.000112232j 0.00918247+0.000112026j 0.000669316-3.69472e-06j -0.0165479+5.45056e-06j -0.0179339+9.25136e-05j 0.00258763-3.46639e-05j -0.00543836-1.33275e-05j 0.0261849-0.000119057j -0.0489823+0.000163732j 0.0239294-0.000173664j 0.0571412+6.54656e-05j -0.0322869+0.000422861j -0.011935+0.000110326j 0.0115852+4.34886e-05j 0.00220733+9.36285e-05j -0.0327852+0.000216834j 0.00679089+0.000129125j -0.00454098-0.000313763j 0.0176959-0.000186626j 0.00208944+4.37419e-05j 
0.100643+0.00169733j 0.734241-4.58401e-16j 0.0484458+8.71185e-05j -0.00817037+0.000489455j -0.0011343-0.000155376j -0.0322283+0.000919706j -0.233362+0.00107181j -0.185581-0.000195432j -0.00769532+0.000144587j 0.0844058+0.000245976j -0.040483+0.000267562j 0.0217665-6.87923e-05j 0.0279256-0.000566732j -0.00237201+0.000914527j 0.0249346-0.000185139j 0.0475372+4.5358e-05j -0.0208708-0.000141674j -0.00814627-6.678e-05j 0.0272631-0.000197487j 0.0711506-0.000426524j 0.056541-0.000333387j 0.0347934-6.06906e-06j -0.0197842+0.000162144j 0.0272957+1.80202e-05j 0.0964895-0.00117812j -0.124471-0.000282122j 0.275872-0.000846295j -0.114045-0.000247801j -0.0481437+0.00012876j 0.0373786+0.000326284j 0.0703425-5.20007e-05j 0.0774944-0.00128543j -0.0447197-6.52793e-05j -0.077107+0.000120393j -0.0300697+6.31085e-05j 0.000718539+0.000372321j -0.0445329-0.000254431j -0.0522754+0.000180903j -0.0167905+0.000312319j 0.0230334-0.000410173j -0.0654623+0.000522678j -0.00515504-0.000209139j -0.12916+0.000281842j -0.161958+0.000182971j -0.0319389-0.000307953j -0.0400141-5.44476e-05j 0.00591622-9.25294e-05j -0.0436048+0.00023286j -0.0561545+0.000532979j 0.146594-0.000943287j 0.0383572+0.00075579j -0.0197435+0.000565017j 
-0.12019+0.00023256j 0.0484458-8.71185e-05j -0.0507044+2.58636e-16j 0.170547-0.000667149j -0.0167497-0.000338951j 0.90079-0.00053312j 0.00823086-0.000492835j 0.0396645-0.000480889j 0.00981489-0.000284684j -0.046383+0.000247032j 0.0581388-0.000608766j -0.00355386+4.32354e-05j -0.0252854+0.000509727j 0.0429265-0.000286111j -0.0795514-2.27693e-05j -0.0370005-0.000233283j 0.0191407-0.000131976j 0.0345455-0.000904617j -0.00183061+0.000554972j 0.0643195-4.2132e-05j -0.00238278+0.000163355j -0.0570865+0.000469672j -0.0402107-0.000666311j 0.0616063-1.17898e-05j -0.066557+0.000493565j -0.162255+0.000344222j 0.00912856+0.000932372j 0.00275747+4.71193e-05j 0.00967326-0.000355834j -0.0193957+0.000115941j -0.0289741+2.93314e-05j 0.0305396+0.000252538j 0.00679135-0.000109599j 0.0177982-0.000152165j -0.0163511+0.000128695j 0.0026602-0.000163647j 0.0107085+0.000200149j 0.00577506+3.99963e-05j 0.00613691-0.000186984j -0.0375242+0.000228777j 0.0241384-7.63721e-05j 0.0267019-6.4472e-05j -0.0722696-0.000298478j 0.0103703-0.000328319j 0.0090094-4.13306e-05j 0.0037867-0.00013418j -0.00590611+7.4319e-06j 0.0179422+3.59154e-05j -0.0278248+1.99873e-06j 0.00795266+0.000355158j -0.00653985+6.78023e-05j -0.00621398+2.85325e-05j 
-0.0398541+0.00142036j -0.00817037-0.000489455j 0.170547+0.000667149j 0.889232+1.60508e-15j -0.00874061+0.000171543j -0.205656-0.000413639j -0.0546087-0.00056074j 0.0610045+0.000431006j 0.0316917-0.000574363j -0.097155-0.000304354j 0.00389899-7.47681e-05j -0.039651+5.99547e-05j 0.0751847+0.000414453j -0.0123946-0.00118256j -0.0331915-0.000226553j -0.0201396+0.000174475j 0.01176+0.000373528j -0.0240176+0.000593702j -0.000799435+0.000240799j -0.0334541+0.000683989j 0.0381634+0.000210067j 0.0715947-0.000266934j -0.0333433+5.34933e-05j 0.0849525+0.000251128j -0.00513418+0.000717127j -0.0280108-0.000287533j -0.0441338+4.47708e-05j -0.0361611+0.000273966j 0.0374362-0.000158615j -0.0222414-5.08657e-05j -0.0485856+8.03992e-05j 0.0141622+0.000508969j 0.000129848+0.000205999j 0.0236182+8.223e-05j 0.0134123+2.52051e-05j 0.00608632-0.000267169j 0.00896453+0.000232758j 0.0224159+3.2622e-05j 0.00195708-0.000144987j 0.0197898+8.95816e-05j 0.0283378+9.23777e-05j 0.0382106+5.86044e-05j -0.0222398-0.000490885j -0.0255597+0.000289746j -0.00826366+0.000132389j 0.00640338-7.16269e-05j -0.00497434+4.74795e-05j 0.0263312+0.000183575j -0.0374688-4.4766e-05j 0.00475174+0.000285413j 0.0101282-0.000167163j -0.00546771+2.53611e-05j 
0.0186268-0.000471427j -0.0011343+0.000155376j -0.0167497+0.000338951j -0.00874061-0.000171543j 0.956613+1.50637e-13j 0.0350322-0.000510576j 0.00372931-0.000448151j -0.0517121+0.000811439j 0.0133294-0.000191802j -0.0147577-0.000499573j 0.0247941+0.000214987j -0.00333862+0.000354409j 0.0525261-1.55267e-05j -0.0565806-0.000884366j 0.0130134-9.96124e-05j -0.0287418+0.000492208j -0.0624159+0.000662883j 0.0614468+0.000917766j -0.0121664-0.000302136j -0.000240521+0.000353135j -0.0764654+0.000161648j 0.0169985-0.000398201j 0.0107331+0.000443056j -0.0444531+0.000458433j -0.0263898+0.000565426j 0.0267404-0.000290252j 0.0434503-0.00082949j -0.00612644+2.50607e-05j 0.00610197+6.53269e-05j -0.00205303-0.000312293j -0.0264463+6.17753e-05j -0.00587007+0.000358613j 0.0164667-3.34238e-06j -0.00381021+0.000216293j -0.0122723-0.000158646j -0.00700717-5.01934e-05j 0.011973+8.64474e-05j -0.0365777+6.25311e-05j -0.0132346+0.000221479j 0.00139911+0.000232431j 0.0102492+4.98521e-06j 0.00734758+0.000234302j -0.00917167+0.000300922j -0.0045053+4.61132e-05j -0.000140749+2.31116e-05j 0.00324659+8.19858e-05j 0.0084713-2.156e-05j 0.0201134-7.00269e-05j -0.010105-6.88524e-05j -0.0102258+0.000156459j -0.00229825-7.06504e-05j -0.000179252-6.151e-05j 
-0.104479-0.000300626j -0.0322283-0.000919706j 0.90079+0.00053312j -0.205656+0.000413639j 0.0350322+0.000510576j 0.0769145+8.12474e-17j -0.103466-0.000416129j 0.0534626-0.000649525j 0.128597-0.000269538j -0.0200676+0.000139564j -0.0282571-0.000193916j -0.0501505-0.00042838j -0.0584705+0.000631993j -0.0724815+6.01301e-05j 0.0195906+0.000157889j 0.0364175-0.000779491j 0.00287199-0.000390048j 0.00941257-0.000807259j -0.0064317+0.000423265j -0.102291+0.00034227j 0.0346589+0.000238724j -0.0286139+0.00041112j 0.0422655-0.000423512j 0.0634736-0.000588285j 0.00814853+0.000275288j -0.0103469+0.000266649j -0.0473025+0.000922674j -0.0156139+0.000342261j 0.0266189+1.75509e-05j -0.0160904+0.000143774j -0.0183152-1.05527e-05j -0.00304241+0.000183082j 0.017715+0.00018198j 0.0161468+4.11343e-05j 0.00732771+0.000158336j 0.00645544-0.000186216j -0.00974705+7.71948e-05j -0.00849277+2.13925e-06j 0.00681332-0.000355472j 0.0220938-0.000132655j 0.0229214+9.26227e-06j 0.00842746-0.00011125j 0.021626-0.00055611j -0.0169297+0.000305473j -0.00939169+0.000122597j 0.00595793-8.41581e-05j -0.00517506+7.46533e-05j 0.0020989+0.000166931j -0.00647978-2.78013e-06j -0.00445108+8.98186e-05j 0.0111986-0.000191275j 0.000247761+8.34483e-06j 
-0.0809896-0.000443033j -0.233362-0.00107181j 0.00823086+0.000492835j -0.0546087+0.00056074j 0.00372931+0.000448151j -0.103466+0.000416129j -0.00148558-4.8247e-16j 0.0377305+0.000861168j -0.00857923-8.77474e-05j -0.0123945-0.000969395j -0.0463468+0.000699332j 0.0533389-4.85543e-05j 0.0639171+0.000319356j -0.0451077-0.000470074j 0.0342359-0.000395213j 0.0460721+0.000213896j -0.0595422+0.000551545j 0.109794+0.000629124j 0.0506862-1.34536e-05j 0.109627-0.000129699j 0.154285-3.18471e-05j 0.0737539-0.000110875j -0.0266595+0.000556456j 0.197598+0.00103545j 0.205548-0.00145464j -0.335208+0.000132728j 0.350702-0.00281794j 0.251264-0.000710485j -0.0491673+0.00113876j -0.0309021-0.000365636j -0.0127172-0.000435015j 0.245124-0.00112335j 0.0157468+0.000306443j 0.0244969+0.000668386j -0.0109904+0.00057644j -0.0143186+6.44667e-05j 0.158413+0.000823381j -0.027365+0.000958063j -0.0542602+0.00100183j -0.0290652+3.68631e-05j 0.097933-0.000166349j -0.0057622+0.00136875j -0.297115+0.00117201j 0.164349-0.00226769j 0.130718-0.00109878j 0.0322382+0.000491326j 0.00459007-0.000233286j 0.135067-0.000464258j -0.0625905-0.00165131j 0.0948103+0.000719588j -0.208554+0.00238511j -0.0515718-0.000259449j 
0.0113057-0.000173945j -0.185581+0.000195432j 0.0396645+0.000480889j 0.0610045-0.000431006j -0.0517121-0.000811439j 0.0534626+0.000649525j 0.0377305-0.000861168j 0.129255-6.45751e-15j 0.0113333-2.35825e-05j -0.0412487+5.60821e-05j 0.00778376-0.00076877j -0.0398698-2.09008e-05j -0.0738157-0.000372004j 0.0560846-0.000295545j -0.00165764-0.000162545j -0.0298522-0.000709847j 0.0356008+0.000199144j -0.0383619-0.000496487j -0.0330623+0.000307892j -0.120138+0.000264178j -0.0784833+0.000572997j -0.0419973-0.000877545j 0.0338442-0.000766266j -0.112571-0.000499634j -0.185045-8.04672e-05j 0.402146-0.00146813j 0.712519-0.0018624j -0.0679572+0.00017065j -0.00898938-0.000550828j 0.0190379-0.000253352j 0.0139562-0.000114057j -0.0474134+0.000496253j -0.00778512-0.000629993j -0.0317721-0.000521346j -0.0526424+0.000249118j 0.00203935-5.39589e-06j -0.0688053+0.000208163j -0.0718231+0.000309148j -0.0984863+0.00205598j -0.00167093-0.000212286j -0.0181081+0.000512175j -0.0819683+0.000137048j -0.107783+0.00240617j -0.125544-0.00105579j -0.0314317-0.000388923j -0.0349103-0.000264785j 0.0103001-0.000275065j -0.0209642-0.000310224j -0.000692046+0.000861694j 0.0342137-0.000107142j 0.0533811+0.000282842j 0.0098155+0.000255905j 
0.0503391+7.33999e-05j -0.00769532-0.000144587j 0.00981489+0.000284684j 0.0316917+0.000574363j 0.0133294+0.000191802j 0.128597+0.000269538j -0.00857923+8.77474e-05j 0.0113333+2.35825e-05j -0.00877405+1.50943e-15j -0.0429777-0.000207084j 0.0229178+0.000428701j 0.00266889+8.85474e-05j 0.0226702+0.000463555j 0.0145239-0.000737482j -0.0300233+3.34133e-05j -0.0100645-0.000696998j 0.0240909-0.000555542j 0.0467519+0.000327527j -0.0190361+0.000365332j 0.133867-0.000373742j -0.00307264-0.000378656j 0.00115993-0.000144578j -0.1009+0.000657465j 0.167165-0.000464732j 0.711501-0.000811446j 0.537546-0.000184102j -0.0562225-0.000958287j 0.0133339-0.000221768j 0.0128217+0.000652318j -0.0361781-5.15872e-05j 0.0233167+6.59309e-05j 0.0211851-0.00053576j -0.00444462+0.00099292j -0.0375363+0.00104759j 0.0317039-0.000282336j -0.0478806+0.000606063j 0.0107085+0.000465816j 0.0401346-0.000223927j -0.0374302+0.000112836j 0.0759666-0.0013093j -0.0689853+0.000301241j -0.0961727+0.00108782j 0.0296949+0.000207688j 0.0089118+0.000759394j 0.0107539+9.46508e-05j 0.0126104+0.000458646j 0.0213719-0.000189542j -0.0161905-3.52783e-05j 0.0149903-0.000570435j 0.0618308-0.000715281j -0.0383257+0.00051921j -0.0132994-3.66042e-06j 
-0.00707031-0.000146866j 0.0844058-0.000245976j -0.046383-0.000247032j -0.097155+0.000304354j -0.0147577+0.000499573j -0.0200676-0.000139564j -0.0123945+0.000969395j -0.0412487-5.60821e-05j -0.0429777+0.000207084j -0.0393625+7.19585e-15j 0.0385691+0.000121704j 0.0153711-7.04534e-05j 0.153427+7.77825e-05j -0.225068+0.000846886j -0.0970798+7.67122e-05j -0.0201552+0.000551781j -0.041595+0.000448781j 0.0674935+0.000414388j 0.0551016-0.000636527j 0.133879-0.000166491j 0.118098+0.000117492j 0.0837109+0.000624035j -0.0567377-3.71223e-05j 0.638546+0.000165104j -0.410493+0.00136107j 0.343206-0.00134846j -0.0268156+0.000300326j 0.00112513+0.000508762j 0.0400334+0.000152098j -0.085916+0.000280193j -0.0689625+4.24984e-05j 0.0866777+0.000266176j 0.0265889+0.000178883j 0.0773194-3.78903e-05j -0.00946273+0.000615014j 0.0152663-0.00110212j -0.00340486+0.000763259j 0.0256083-0.000154808j -0.0211094-0.000149974j 0.00707031-0.000385525j -0.0285013+0.000707863j 0.139474-0.00116287j 0.0415411-0.000171132j -0.0160776+0.000551285j 0.0167214+0.000395666j 0.0516887+0.000196125j -0.0202803+0.000327605j 0.0107859+0.000694963j -0.0641184+0.000236788j -0.0422817+0.000250697j -0.0211863-0.000230445j -0.018317+7.28611e-05j 
-0.0058658-8.46066e-05j -0.040483-0.000267562j 0.0581388+0.000608766j 0.00389899+7.47681e-05j 0.0247941-0.000214987j -0.0282571+0.000193916j -0.0463468-0.000699332j 0.00778376+0.00076877j 0.0229178-0.000428701j 0.0385691-0.000121704j 0.0363298-3.24836e-14j 0.0275116+0.000262764j -0.00458046-0.000354549j 0.0871558+0.000620698j 0.0524979-0.00106998j 0.064397+0.000142722j -0.107847+0.000560963j 0.14583-0.00017663j 0.136017-0.000114657j 0.238412-0.000273093j 0.4296-0.000633225j -0.190364-2.60632e-05j -0.607785+0.000991068j -0.306753-0.000363526j -0.168925-0.000171336j 0.139893+5.01654e-05j -0.0543559+5.24794e-05j -0.0292264-0.000368676j 0.0684344-0.000225234j 0.0407719+8.69985e-05j 0.0325575+0.000383393j 0.00851803+0.000441296j -0.0246106+0.000121692j -0.00936908-0.000320315j 0.0118245+0.000495042j 0.0118132+0.000696999j -0.063034+0.000416479j 0.0653372-0.00032543j 0.0667276-0.00124496j -0.0711653-0.000159549j -0.0177448+0.00014646j -0.00603955-0.00021148j -0.0936956+0.000136097j 0.0510493-0.000105169j 0.00351306+0.000143602j -0.0236953-0.000249623j 0.00180543-0.00013291j 0.0040355-9.11186e-05j -0.029547+0.000104152j 0.0425788-4.37376e-05j -0.0188098+0.000282269j -0.0132569+0.000136074j 
