-0.131323-4.38885e-16j -0.0801928-0.00707183j 0.00527348+0.00426445j 0.00288341-0.00272133j -0.15746+0.00234935j -0.227144-0.00134195j 0.113351+0.00584386j 0.0797473-0.00405616j -0.0310991+0.0020151j -0.396392-0.00379413j -0.0159085+0.000509999j 0.0997554-0.0110105j -0.0848565-0.0106562j 0.0342704+0.00695016j 0.0272121+0.0183509j -0.0166329-0.000445137j 0.0167713+0.0304196j 0.0564868-0.0259497j -0.0199937+0.0119747j 0.019205+0.0134026j -0.0444421+0.0126485j 0.0282555-0.00493676j 0.0438297-0.021281j -0.00707869+0.0275423j 0.0431514-0.018494j 0.0294489-0.00608549j -0.0175095+0.00199282j -0.0764162+0.0178339j 0.0357379+0.0240485j 0.0457793+0.00693535j -0.00524704-0.00182148j 0.00607681+0.0255013j -0.00678408+0.0114611j -0.023464+0.0307563j -0.00195365-0.0348025j -0.00343261-0.0129875j -0.0317042+0.0102907j 0.0470199+0.0151798j -0.0110832-0.00723585j 0.0161884-0.00350093j -0.0174815-0.021166j -0.00030833+0.0417108j -0.00121902+0.0531873j 0.0238588-0.00574695j -0.0360759-0.0321312j -0.0190298+0.0114074j -0.0111659+0.0729514j 0.00112247-0.0377989j 0.0815921+0.00466767j -0.00494966+0.00823363j -0.00690235-0.00241955j -0.0107274-6.16389e-05j 0.00554836-0.00610701j -0.00142031+0.00376677j 0.0176471+0.00771918j 0.003065-0.015587j 0.0145527-0.00247056j -0.000766916+0.0118851j 0.0105681+0.000465372j 0.00121385+0.0383067j -0.00979036-0.0323137j 0.00709576-0.00717593j 0.0147227-0.0168314j 0.00952917-0.00510418j 0.0298929-0.00725987j -0.0125022+0.00372794j -0.00972883-0.0307161j 0.000181446-7.26381e-05j -0.0205466+0.00421706j 0.0241043-0.00451305j 0.0423651-0.00111145j 0.00570293+0.0597031j 0.00453137-0.0127371j -0.00177369+0.0045304j -0.0506333+0.0383672j 0.0207164+0.0202594j -0.0272318-0.0120305j 0.00724433-0.0254809j -0.00531877-0.00654524j -0.00586483+0.0171313j -0.00814851+0.00833454j 0.00710707-0.0174155j 0.000761689+0.00320309j 0.00558959-0.0166609j -0.00530831+0.0217564j -0.00815018+0.0155081j -0.00677514+0.00914557j -0.0158488+0.0262499j -0.00395263-0.00142253j 0.0177035+0.0137489j 0.0325559+0.0400312j 0.0457675+0.00983306j -0.0301206+0.00665171j -0.008889+0.00895567j -0.0265071-0.00856314j 
-0.0801928+0.00707183j 0.148617+1.30104e-16j -0.0996952-0.000258703j 0.0959821+0.00355446j -0.030986-0.000628844j -0.0144617-0.0065931j -0.0909132+0.00406243j 0.0752126+0.00497884j 0.435656-0.0109036j 0.422326-0.00381334j 0.0704088+0.002019j 0.050471+0.0140492j 0.033759+0.0074911j -0.0441453+0.000872678j -0.0155344-0.0161046j -0.0310543+0.00970744j -0.0430912-0.023567j -0.0190585+0.0286103j 0.0305301-0.00584893j 0.0272379-0.00952213j -0.00629361-0.0217454j -0.0237277+0.00440098j -0.00381826+0.0223349j -0.00255455-0.0107974j -0.065914+0.00885246j -0.0167517+0.015138j -0.0463027-0.00413168j -0.0467447-0.020273j -0.0535778+0.00782411j -0.0127013-0.000964071j -0.0346023-0.0039052j -0.0431167-0.00248744j -0.0006198-0.0192874j -0.0320403-0.0267371j 0.0335253+0.0105275j -0.00538852+0.0106425j -0.0128922-0.0130321j 0.00532416+0.0157361j -0.00520097-0.00268119j 0.0227537-0.00335576j -0.000176222-0.0234059j -0.0164561+0.0299634j -0.0128411+0.0512605j 0.0161607+0.0129912j 0.00806373-0.0169312j 0.013298+0.0023584j -0.0459708+0.0434518j -0.00816499-0.0137026j 0.0337957+0.0370369j -0.0293704-0.00914918j 0.00670509+0.0253696j -0.0103225-0.0101463j 0.0100921-0.000540228j -0.00636519+0.0113768j 0.0116348+0.00214317j 0.0174095-0.00721085j -0.00655688+0.00363293j -0.0133418+0.0140249j 0.000773308-0.0105022j -0.0156356+0.0156086j 0.00971778-0.00697586j 0.00800795-0.00311455j 0.00344369-0.00221242j -0.00928047-0.0047105j 0.0154725+0.010098j 0.0012383+0.00539362j 0.0105478-0.0132479j -0.00180902-0.0183314j 0.0197567+0.00763918j 0.0158983+0.00753997j 0.00472922+0.0261332j -0.0254552-0.00469937j -0.0130936-0.035511j 0.00795225-0.0156467j -0.0121393-0.0771893j 0.0109127-0.0264481j 0.0177843+0.010612j 0.054635+0.0144626j -0.0117118-0.0193596j -0.0190769+0.00236461j -0.00628113+0.00719664j 0.00886209+0.00021559j -0.00141522-0.00167236j 0.00800832+0.011449j -0.00833428-0.012691j 0.00799392-0.0151552j 0.00758434+0.00357762j 0.00315764-0.0248858j -0.0234455-0.0137209j -0.0120189+0.00612072j -0.0246032+0.0307174j -0.0159936-0.0153419j -0.0434723-0.0203557j 0.0123402+0.00315634j 0.000744456-0.00141984j 
0.00527348-0.00426445j -0.0996952+0.000258703j 0.0641986-1.07686e-14j -0.0744443-0.00306664j -0.0959597-0.00388237j -0.0677974+0.000939249j -0.194662-0.00148165j 0.764598-0.00123901j 0.39883+0.00229994j 0.0438308+0.00143416j 0.00947407+0.00124019j 0.0451987-0.00884785j 0.00698887-0.00653154j -0.00290265-0.00136046j -0.000102336+0.00632438j 0.0152987+0.00225928j 0.00921536+0.0123388j 0.027831-0.0104842j 0.0615588+0.00311474j -0.00638582+0.00688029j -0.0222371+0.00620867j -0.0262398-0.00370148j 0.0310515-0.00934495j 0.00868247+0.0077178j -0.0147483-0.00338027j -0.00505844-0.00036969j 0.0168266-0.00341571j -0.0221846+0.0103216j -0.0235357-0.00442779j 0.0242538-0.00111582j 0.0042795-0.0025279j 0.0155176+0.00557755j -0.0137137+0.017084j 0.00734246+0.0165409j -0.0035452+0.00721162j -0.0016269-0.0137951j 0.0150076-0.00242802j -0.00726892-0.021677j 0.0113374-0.000656864j 0.00617183+0.0299273j 0.0325974-0.00949041j -0.00543979-0.00498759j 0.00771709-0.0175296j -0.0156131-0.0116662j 0.0142487+0.0144509j -0.00271221-0.0063771j 0.0253446-0.0149088j 0.00507122+0.0280161j -0.0309852+0.0137645j 0.0174992-0.00175198j 0.00066992-0.0126767j 0.000506179+0.00712453j -0.00716998+0.0054791j 0.00312516-0.0124402j -0.0142298+0.000993782j -0.0181403+0.00892747j 0.00807587+0.00427149j -0.00205599+0.00236676j -0.00504769-0.00106032j -0.0149006+0.00293833j -0.0179716-0.00203175j 0.00289658+0.00821715j -0.00138649-0.0030165j -0.0117469-0.0237258j -0.00463974+0.00816436j -0.0137588+0.0104873j -0.0169923-0.00886485j 0.0186787+0.0038903j 0.0104112-0.0181737j -0.00282787-0.00373044j -0.0160538-0.000938112j 0.00634789-0.0044856j 0.00112998+0.00381422j -0.00120122-0.0191781j 0.00718454-0.00361622j -0.00643708+0.0119038j -0.00102131-0.0031545j -0.0175164+0.00262802j 0.00434238+0.00375908j 0.00830108-0.0050842j 0.00325817-5.2722e-05j -0.00341112+0.00121248j 0.00193795-0.00136633j -0.00840732-0.00437298j 0.00154774+0.00479908j -0.00402907-0.000243944j -0.00156255-0.00910656j 0.00193898-0.00344026j 0.00874167+0.000702586j 0.000395845-0.00435039j 0.00143507-0.00478346j -0.00124509+0.0082143j 0.016505+0.000456071j -0.00265124-0.00205411j 0.00378593-0.000164945j 
0.00288341+0.00272133j 0.0959821-0.00355446j -0.0744443+0.00306664j 0.118206-1.29821e-13j 0.104096+0.0037833j 0.0642321+0.00094677j 0.710179+0.00106994j 0.431219-0.00128841j 0.016565+0.00176947j -0.206443-0.00145154j -0.0099313+0.00282433j -0.0138941+0.00476548j -0.0628171+0.00747097j 0.036391+4.27532e-05j -0.0116954-0.00988888j -0.0326006+0.0033326j -0.0476428-0.0135484j -0.0458295+0.0124759j -0.043346-0.00198361j 0.0834868-0.00795828j -0.0113814-0.00941985j 0.0551956+0.0073122j 0.0339935+0.01395j -0.054253-0.0048704j 0.0197698+0.00788341j -0.0366501+0.00465564j -8.22141e-05+0.00286064j 0.0056353-0.010415j 0.0181697-0.00350417j -0.0141889+0.00716321j 0.0311435+0.00413552j 0.0091101-0.00426351j 0.00987095-0.0237095j 0.00443714-0.00211709j 0.00893944-0.00387229j -0.00553275+0.0104848j 0.0147604-0.00790649j -0.0207527-0.00380757j -0.0146563+0.00344186j -0.0225494+0.00853699j -0.02145+0.0062641j 0.00800365-0.0140396j -0.00899206+0.000778984j 0.00943472+0.00038681j 0.012679+0.00245586j -0.00427296-0.00363471j -0.015303-0.0108027j 0.00280815-0.00158744j -0.0106893-0.0316353j -0.000863009+0.0150646j -0.00838832+0.00594838j 0.00670088-0.00865516j -0.00740896-0.00627151j 0.0051837+0.00411766j 0.0166596-0.00707747j 0.00526101-0.00962573j -0.00532292-0.00280186j -0.000165697+0.0157054j 0.0140154-0.0011532j -0.0189799+0.00177971j -0.026195+0.017779j 0.01257-0.000522319j 0.00711323-0.0151336j -0.0144953-0.0290441j -0.00233349-0.0080378j -0.0173733+0.0242565j -0.0151157-0.0228871j 0.0103811+0.00844331j 0.0109988-0.00242632j 0.00395703-0.0102218j -0.0172198+0.00256145j -0.00238947-0.00197606j -0.0169564-0.0118128j 0.00576025-0.0254848j 0.00207957-0.00763057j -0.0105802+0.0102561j 0.00445802-0.000749167j -0.0026698-0.00492422j 0.000609473+0.00195538j -0.00243062+0.00885215j -0.00361617+0.0041328j 0.000389616-0.00447508j -5.64782e-05+0.00261105j 0.000503772-0.00359271j 0.00193798-0.000819074j -0.000200069+0.000760001j 0.003909-0.00411702j 6.70518e-05-0.00832834j -0.00219965-0.00546844j 0.000472646+0.00143703j -0.00233391+4.829e-06j -0.00739478+0.0046438j 0.00342229+0.00458799j 0.00084301-0.00156257j 0.00207784+0.000346887j 
-0.15746-0.00234935j -0.030986+0.000628844j -0.0959597+0.00388237j 0.104096-0.0037833j 0.163082-1.96031e-13j -0.710658+0.00334944j -0.0705375-0.000118574j -0.120344-0.00213445j 0.147296+0.00424909j -0.0222711+0.00174863j -0.031595-5.08917e-05j 0.0817674+0.0045048j -0.113033+0.0124302j -0.00955052+0.0074743j 0.0487227-0.00451726j -0.0296284+0.0100997j -0.0289463-0.0171323j 0.0533869+0.0104411j 0.0248771-0.00262572j -0.0347651-0.00630448j -0.0450143-0.0148052j 0.0294138+0.0024664j 0.0263549+0.0123469j -0.0608243-0.000591365j -0.00453373+0.00210155j -0.0267381+0.0113393j -0.0327682+0.00446657j -0.00603536-0.0116983j -0.0413572+0.00178305j 0.0432926+0.00560431j 0.0314715-0.00273796j 0.00133319+0.0149213j -0.0241162+0.0164228j 0.00936449+0.0235922j 0.00473947+0.0146798j -0.0272872-0.0181135j -0.0226455-0.000226686j 0.00660537-0.00240354j 0.0312987+0.00739357j -0.00104357-0.0184544j 0.0120598+0.0114944j 0.00235655-0.00100066j -0.0156528-0.0114321j -0.0118656-0.00321746j -0.00733714+0.018033j -0.00903598-0.0216591j 0.0189882-0.00455928j -0.0137122+0.0360057j -0.0157668+0.00800163j 0.0188081+0.00405658j -0.00566211-0.00769548j -0.00217066-0.0070753j -0.0101911-0.00819546j -0.00466139+0.00804222j 0.016024-0.00030626j 0.00175688-0.0122132j -4.74393e-05-0.0137692j 0.00525441+0.00163578j 0.0167216+0.0135216j 0.00483618+0.00555929j -0.00266476-0.00428762j -0.00248013-0.00185109j 0.00591354-0.00627119j 0.00586953+0.00871214j 0.000557508-0.00218126j -0.00131733-0.0114313j -0.00467319-0.000224783j 0.00059266+0.00732539j -0.0117817-0.00526287j 0.00189307-0.000508955j 0.00431183+0.00694971j 0.00397882+0.019265j 0.0109644+0.0122648j 0.00115344+0.000812612j 0.000866185+0.01462j -0.00675867+0.00359955j -0.000578203-0.00721885j -0.00852577-0.0120263j 0.00155563+0.00114721j 0.00293807+0.00711086j -0.000489136-0.00298491j -0.00314013-0.00336117j -0.000325881-0.00309713j -0.00801326-0.00307209j -0.00758569+0.0111619j -0.00127592+0.0042895j -0.00101922-0.00340283j 0.000600392+0.00382581j 0.00817656+0.00659086j 0.00486699+0.00285092j 0.00508896+0.0069325j 0.00385974+0.00863606j 0.00362358+0.00638725j -0.00321628+0.00058058j -0.0036165-0.00270142j 
-0.227144+0.00134195j -0.0144617+0.0065931j -0.0677974-0.000939249j 0.0642321-0.00094677j -0.710658-0.00334944j 0.279812-1.5033e-11j -0.0190659-0.00161637j -0.139352+0.00234036j 0.191116-0.00372609j -0.204591+0.00500259j 0.0876122-9.81046e-05j 0.174483+0.00342019j 0.0948175+0.00576742j -0.0246385-0.0044546j -0.0532129-0.00625917j -0.0261386+0.00799548j 0.0109166-0.0124181j -0.00982977+0.0151295j -0.0227402-0.00268886j 0.0523283-0.00555705j 0.0189136-0.0141754j 0.0180308+0.00360838j -0.0283853+0.0105923j -0.0284217+0.00154406j 0.0415647+0.000266542j 0.0253199+0.00454203j 0.0284212+0.00910497j -0.0291099-0.0150189j -0.0179831+0.00385862j 0.0580784-0.00198389j -0.0301732-0.00721858j -0.00934986+0.0119391j -0.0211358+0.0282403j 0.00991741-0.014615j 0.00388431-0.012814j 0.0443471-0.00640737j -0.00226912-0.00171211j 0.0135197-0.0119945j -0.00300911-0.00574305j 0.00967935+0.00735429j 0.00392184-0.00803458j -3.36952e-05-0.00262652j 0.0147534-0.00682442j 0.00541035-0.0101884j 0.010346+0.00817513j -0.0010402+0.018794j 0.0144908-0.0359304j -0.0149112-0.00261496j -0.0165612+0.0104847j 0.00706585-0.000137324j -0.0048818-0.00239556j 0.00799574-0.0102968j -0.00112939-0.0146225j 0.00877402+0.0133556j 0.0173502+0.00444561j 0.00171994-0.0161755j -0.00738785-0.00788289j 0.00212644-0.00101238j 0.0233976+0.00619636j 0.000351128+0.0124503j 0.00277555-0.00176604j -0.00106777+0.000674519j 0.00807365-0.00702774j -0.00521964+0.0117344j -0.00995598+0.00149916j -0.000631548+0.00559806j -0.00441727-0.0066337j 0.00316294+0.011717j -0.0147499-7.66106e-06j -0.00301509+0.0196602j -0.00257248-0.000469748j 0.00152329+0.003833j 0.00994532+0.0141439j 0.00169473-0.00825575j 0.00844927+0.0150196j -0.00979243-0.00085221j 0.00452062-0.0051324j -0.00290216-0.00748326j -0.000659702-0.000933062j 0.00136935+0.00436433j -0.000453679-0.00532552j -0.00368918+0.00136419j -0.000185297+0.00520302j 0.00183946-0.00219893j 0.00641027-0.00813531j -0.00623119-0.000904469j 0.000920241-0.00266748j 0.0033985-0.00462037j 0.00195836+0.00280107j -0.00148695-0.00531052j -0.001093+0.00872536j -0.00371393+0.00453747j 0.00163516-0.00327333j 0.000721092-0.00110036j 0.00232755-0.0002422j 
0.113351-0.00584386j -0.0909132-0.00406243j -0.194662+0.00148165j 0.710179-0.00106994j -0.0705375+0.000118574j -0.0190659+0.00161637j 0.244118-1.31224e-14j -0.214766-0.00214739j 0.200833+0.00574463j 0.185041-0.00106282j -0.100957-0.00122766j -0.0223963-0.0115421j -0.0512774-0.00782868j 0.050597-0.00176996j -0.0856258+0.0118224j 0.0305413-0.000942063j -0.0187846+0.0203988j -0.0233304-0.0151814j 0.0480029+9.10979e-05j 0.080279+0.00947289j -0.0802022+0.0138737j 0.0477573-0.00565982j -0.0130916-0.0142113j 0.0129972+0.0075257j -0.0257829-0.0103262j 0.00821726-0.00818109j 0.0150199-0.00496347j 0.0176192+0.0132701j -0.0145862-0.00503657j -0.000288505+0.00660976j 0.0147381-0.000311015j 0.0129706+0.0201538j 0.0317549+0.00728479j 0.0165451+0.00192181j -0.0165174-0.00711861j 0.000876186+0.00187344j 0.00688579-0.00920817j -0.00258145-0.00340745j -0.00627451+0.00644084j 0.00127405-0.0113515j 0.00529853+0.00387638j -0.00466365+0.00120937j -0.00494827-0.00570247j -0.00679957-0.0216984j -0.000367201+0.0111053j -0.0112907+0.00465982j -0.00740348-0.00410469j 0.00901234+0.0115491j 0.000331827-0.011881j -0.00288996+0.00939989j -0.000593491-0.0114392j -0.00300468-0.0127388j -0.00361186-0.0194117j -0.00513972+0.0268391j 0.0249168-0.00959824j 0.00704217-0.0162093j -0.0254952-0.00966433j 0.0170035+0.00505753j 0.020092+0.0165698j 0.0128654-0.00866951j 0.01144+0.00549362j 0.0116929-0.00110436j -0.0118061+0.00703857j -0.00308739+0.0183375j 0.0105012-0.0141931j 0.00733638-0.0051316j -0.00151105+0.00821604j -0.0122651-0.00294228j 0.0245067-0.00641433j -0.00260401+0.00205277j -0.0122416+0.00109358j 0.00894142-0.0143032j -0.00784781-0.0208333j 0.00684623-0.00687879j -0.00312203-0.0140331j 0.00105243+0.0182165j -0.0059131-0.000702425j -0.0134183+0.0068726j 0.00287906+0.00197619j 0.00234181+0.00263501j 0.000456714-0.00894805j -0.00542843+0.00450962j 0.000602178+0.000341049j 0.00124399+0.00180529j 0.00268299+0.000339992j -0.00319537+0.00752916j 0.000190549-0.000235563j -0.00315336+0.00190835j 0.00646354-0.00559299j 0.00437584+0.00530292j 0.00393024-0.00974195j 0.00523853+0.00154793j 0.00909115+0.00196257j -0.00355647+0.000533122j -0.00130138-0.000941164j 
0.0797473+0.00405616j 0.0752126-0.00497884j 0.764598+0.00123901j 0.431219+0.00128841j -0.120344+0.00213445j -0.139352-0.00234036j -0.214766+0.00214739j 0.0580416+1.8316e-14j -0.0231071-0.00158345j -0.190371-0.0016035j -0.0175662+0.00402624j 0.0185771+0.00232248j -0.0260495+0.0023597j -0.0255947+0.0038639j 0.0144723-0.00818356j -0.0189041+0.000342974j 0.0261573-0.00676087j -0.0150722+0.00649695j -0.00856394-0.00227178j -0.00550597-0.00345513j -0.0352657-0.00456423j -0.00169768+0.00163028j 0.00156397+0.00374953j -0.0187501-0.00681315j 0.0217887+0.00522758j -0.012491-0.000834746j -0.00827384+0.0023034j 0.011587-0.00475068j 0.0172096-0.00534037j -0.0277465+0.00265342j 0.0184193+0.00547361j -0.00879419-0.014072j 0.0183249-0.0343928j -0.0230439-0.00705169j 0.0224379+0.00465442j -0.0190317+0.0178306j 0.0372031-0.00635417j -0.0281109-0.00897838j -0.0251417-0.000560434j 0.00459784+0.0356475j 0.0178916-0.00913338j -0.0148759-0.00272397j 0.00632482+0.0125776j -0.000931309+0.000590505j 0.0134274+0.00450994j 0.022924-0.000631433j 0.0138284+0.00533028j -0.00832851+0.00805883j 0.0102669+0.00282591j -0.0159124+0.00338905j -8.09037e-05+0.0069367j 0.0100555-0.0115911j -0.000844771-0.00495865j -0.00522482+0.00920094j 0.0146595-0.00731924j 0.0183221-0.0172204j -0.0117986-0.00689088j 0.0036622-0.00395732j 0.013442+0.0050413j 0.016653-0.0110828j 0.0188003+0.0108519j -0.0117847-0.00199802j -0.00288051+0.00529751j 0.0119782+0.0207671j -0.0138019-0.0029287j 0.020215-0.0126884j 0.019926+0.0161055j -0.0200159-0.000218559j -0.0129447+0.0155669j -0.0118009+0.00933189j 0.00619541-0.002153j -0.0104875+0.00479039j 0.00487442+0.0110433j -0.00564863+0.00886162j 0.00521874+0.00217368j -0.00481755-0.0123296j 0.00840645-0.000178883j 0.00517304-0.00454411j -0.000893671-0.00102307j -0.0047552+0.00321452j -0.000456579-0.000276139j 0.00139611+0.000196992j 0.00021927+0.000253957j 0.00459194+0.00522256j -0.00163733-0.00567528j 0.00516688-0.0064745j -0.000572011+0.00502826j 0.00228833-0.0016095j -0.00597887+0.00694414j -0.00717412-0.00292569j -0.00687819+0.000724363j -0.0113321-0.00236811j -0.00261234+0.000609166j 0.004162-0.00202117j 0.00518962+0.00153445j 
-0.0310991-0.0020151j 0.435656+0.0109036j 0.39883-0.00229994j 0.016565-0.00176947j 0.147296-0.00424909j 0.191116+0.00372609j 0.200833-0.00574463j -0.0231071+0.00158345j 0.0191662+6.94106e-15j 0.176755+0.00486597j 0.191869-0.00777712j -0.128483+0.00527633j -0.0123656-0.000138889j -0.00204087+0.00163753j 0.0141317-0.000162254j 0.0271008-0.00772104j 0.00527027+0.000778947j -0.0889069-0.00660794j -0.0253504-0.00300985j -0.0136541-0.00143727j 0.0103853+0.00784135j 0.0135253+0.000857403j -0.00553997-0.00184126j -0.0188556-0.00302004j -0.00832292+0.00361224j 0.00290825-0.00573808j 0.016576-0.00510041j 0.0105974-0.000826606j -0.0232167+0.000540157j -0.0249962-0.0120286j -0.036893-0.00035788j 0.0055166-0.0137506j -0.0470141+0.0263542j -0.0109965+0.0432088j 0.00938755-0.0204016j -0.0135992-0.053536j 0.00462308+0.00425825j 0.0340075-0.00823256j -0.0315338-0.0138843j -0.00327492-0.0149548j 0.00404078-0.0173787j -0.00341335+0.00197374j 0.000710608-0.00243676j -0.0121133+0.00319537j -0.0202942-0.0062704j -0.0193164-0.0115953j -0.00776206-0.00836319j 0.0136506-0.00847036j -0.011887-0.00073056j 0.0383679+0.000649759j -0.0123399-0.00845191j -0.00975386-0.000926009j 0.00250304-0.0128225j 0.00336821+0.0156128j 0.0197005+0.00858154j 0.00167743-0.01482j -0.0147782-0.00117558j 0.0122898-0.0014286j 0.0118049+0.0189056j 0.00835346+0.00613518j 0.0133119-0.0125455j 0.0165252+0.000137781j -0.00823996+0.00487318j -0.0018609+0.0151164j 0.0203976-0.0104156j -0.000505421-0.00891251j -0.00570434+0.00918551j -0.00375317-0.00220176j 0.0153132-0.00940675j 0.0117756-0.00718035j -0.00165662+0.00548066j 0.0179754+0.000471614j 0.00321285-0.0125937j 0.00699604-0.00090576j -0.00390401-0.0046129j 0.00769204+0.0128798j -0.014344-0.00053507j -0.00148518+0.00584908j -0.00235522+0.00302962j 0.00622231-0.00537576j 0.00376229-0.0102571j -0.00500109+0.00618135j 0.00040263-0.00127936j -0.000667907+0.00271121j -0.00286417+0.00543103j -0.00301875+0.0106241j -0.000393542+0.00095044j -0.00387594+0.00965632j 0.0112397-0.00318206j 0.00996761+0.00658628j 0.00759449-0.00876852j 0.0152961-0.00278596j 0.00143285-0.00025407j -0.00541672+0.00345922j -0.00807798-0.00159028j 
-0.396392+0.00379413j 0.422326+0.00381334j 0.0438308-0.00143416j -0.206443+0.00145154j -0.0222711-0.00174863j -0.204591-0.00500259j 0.185041+0.00106282j -0.190371+0.0016035j 0.176755-0.00486597j -0.0236615+1.1475e-14j 0.306219+0.00202424j 0.119175-8.80353e-05j -0.0310802+0.00754161j -0.0304744+0.0105284j 0.0226813+0.0068951j -0.0353688-0.00274452j -0.0468753+0.00309895j -0.0153648-0.00384654j -0.0422501+0.00362086j -0.0255892-0.000118966j -0.0100656-0.00398609j 0.00693178+0.00419632j 0.00226103+0.000967616j -0.0285321+0.0125107j -0.000911241-0.00739069j -0.0242791+0.00270189j -0.00943111+0.00740963j 0.0113255+0.0022667j -0.00483618+0.00691627j 0.0117051-0.00175252j -0.0441756-0.00304293j -0.00591011-0.0169036j -0.0361018-0.00256306j -0.0522765-0.00806033j 0.0323936+0.0109429j 0.00224713+0.0383623j -0.0139191-0.00958655j -0.0218135+0.00527223j 0.0164902+9.10568e-05j -0.00973765+0.00829865j -0.0282869+0.0119689j 0.00616437-0.0251092j -0.00399148-0.0179275j 0.0335712+0.0111476j 0.0252683-0.00566431j 0.0143353-0.00569923j 0.0255275-8.47849e-05j 0.000140654+0.00375226j 0.00099095+0.0119936j 0.0223621-0.00369794j -0.0156526+0.00546116j 0.0138249-0.015137j 7.39254e-06-0.0123808j 0.000201498+0.0131541j 0.0289406-0.00469692j 0.0112425-0.016191j -0.00538914-0.00503796j -0.000350502-0.00132613j 0.0326369+0.00855651j -0.0142137+0.00673311j -0.00706236+0.0112594j 0.00127827+0.00269909j 0.0098276-0.0112029j -0.00494317-0.00446071j -0.0201014+0.00101292j 0.00325756+0.0095727j -0.00489932-0.00755202j 0.00599224+0.0189862j -0.00803476-0.0026501j -0.00355009+0.0113821j -0.0097502-0.00355465j -0.00394842+0.0058807j -0.000892637+0.00653776j -0.0120231-0.0175049j 0.00739566+0.00278874j -0.012071+0.0025785j 0.00366837-0.00307336j -0.00632987-0.00519293j -4.48488e-05-0.000969201j -0.000264864+0.00804013j -0.000557751-0.00620383j -0.00608964+0.00160013j 0.000992742-0.00390546j -0.00140005+0.00389113j -0.00319648-0.00359968j -0.00040408-0.00968153j 0.00266903-0.00151358j 0.00217648-0.00897629j -0.00296278-0.00223562j -0.00554295-0.00728115j -0.00198806+0.0064737j -0.00800901+0.00595266j 0.00475446-0.00476176j 0.00215672-0.00334831j 0.00636062+0.00107147j 
-0.0159085-0.000509999j 0.0704088-0.002019j 0.00947407-0.00124019j -0.0099313-0.00282433j -0.031595+5.08917e-05j 0.0876122+9.81046e-05j -0.100957+0.00122766j -0.0175662-0.00402624j 0.191869+0.00777712j 0.306219-0.00202424j 0.0561947-7.70217e-16j -0.054002-0.0265278j -0.0814495-0.0230546j 0.0688686+0.00407261j 0.0249404+0.0391876j 0.0837797-0.0142338j 0.0204464+0.0628917j 0.0217069-0.0593264j -0.00996735+0.015094j -0.0119025+0.0278553j -0.0222139+0.0430135j -0.0143316-0.0192517j 0.0660958-0.0484782j 0.120924+0.0400543j 0.0156637-0.0295275j 0.10617-0.0244543j 0.135621-0.00470843j -0.000874936+0.0519413j -0.0493265+0.0108323j -0.0213513-0.0111173j 0.0294701-6.44591e-05j 0.0312303+0.00910549j -0.00198004+0.025798j -0.0283562+0.0284531j -0.0189286-0.0191318j 0.00940487+0.0122673j -0.00774932+0.00840945j 0.02072+0.00462758j -0.00164907-0.00381581j 0.0125914+0.0094505j -0.022084+0.0083114j 0.0128909-0.000897296j 0.0359962-0.00576839j 0.0223982-0.0202954j -0.028545-0.0193604j 0.0186988+0.0148011j 0.048663+0.0481121j 0.0200421-0.00734095j 0.0440803-0.0169074j 0.0262589+0.00185765j -0.00813623-0.0326703j 0.0250801+0.00575028j -0.0105198-0.0077952j 0.0110025-0.00503958j -0.00682518-0.0127705j -0.00444696+0.00408258j -0.0133513-0.0127626j 0.0126796+0.0024292j -0.00410048+0.0112964j 0.0288671-0.00518398j -0.0164677-0.0153357j -0.00570833-0.00337264j -0.00732594-0.00888687j -0.000348279-0.0123441j 0.0185848-0.038067j -0.00572776+0.00268638j -0.0214681+0.00656252j -0.0163395+0.00578544j 0.016669-0.008459j 0.0112616-0.0410659j 0.0160576-0.0275145j 0.0294353+0.0116072j -0.0216487-0.0229528j 0.0207857+0.012577j -0.05296+0.110177j 0.0111659+0.124712j -0.0977974-0.0196528j -0.11575-0.0102367j 0.0239273+0.0141083j 0.0203399+0.0112931j -0.0040851+0.000305791j 0.000133225-0.021393j 0.00143926+0.00321534j -0.00135784-0.031653j -0.00672448+0.0561808j -0.0209673+0.0590869j -0.0137185+0.00994122j -0.0359465+0.0758305j 0.0347461-0.0217521j 0.0638107+0.0150474j 0.0951407-0.0328601j 0.107338+0.0450579j 0.0631661+0.0386122j -0.0463912+0.01155j -0.0431294-0.0127277j 
