0.654501+3.98336e-16j 0.546318-0.00122357j -0.164119+0.00200729j 0.141128+0.000240756j -0.0756617-0.00129319j -0.0381197+0.000224217j 0.00329995-0.000314887j 0.02278-0.000667778j 0.0582007+0.000559783j 0.00480888+0.000200041j 0.0480893+0.000136488j 0.0137105+0.0012339j 6.50799e-05+0.000481645j -0.0634063-0.000188534j -0.090061-6.61854e-05j 0.106016-0.000766748j -0.141573+0.000879483j -0.0115821-0.000397503j -0.0515518+0.000489403j 0.0378722-0.000238526j 0.0327267+4.33058e-05j 0.00133836+0.000343489j 0.0538351+0.000100994j 0.043382+0.000127825j 0.0401616-0.000158351j 0.00243319-0.000529337j -0.0132362+6.25366e-05j -0.015344-0.000188702j -0.0370347-0.000111844j 0.00445329+7.97039e-05j -0.0115093+0.000143852j 0.0110485+0.000120937j -0.0265418-7.71099e-05j -0.00463822+2.02819e-05j -0.0036406+0.000231948j 0.0285119-0.000507683j 0.0316126-0.000493702j 0.0288957+0.000573071j -0.0553437-6.72227e-05j -0.0177395+0.000393168j 0.108201+7.63481e-05j 0.0483302-0.000278591j -0.0572307+0.000499079j -0.0130793-1.18324e-05j -0.0598777-0.000160341j 0.00565505+4.46126e-05j -0.0198307-0.000386161j 0.0054559+7.47485e-05j 0.0027994+1.53351e-05j -0.0101434-0.000126025j 0.00299845-3.63929e-05j -0.0221191+9.2058e-05j -0.0259876+0.000316181j 0.0234422-5.04881e-05j 0.00596741-5.46713e-05j 0.0205129-0.000179046j 0.00845919-3.04012e-05j -0.0830143+0.000326205j 0.0141317+0.000517617j -0.0945673+9.47885e-05j 0.057721-0.000700778j 0.0428915-0.000365589j -0.017881-5.23812e-05j 0.00320574-4.79417e-05j 0.00649056-7.74468e-05j 0.0426692-0.000513938j -0.0707396+0.000118463j -0.0100491-0.000745655j -0.0490986+0.000591861j 0.0101965+0.000148267j 
0.546318+0.00122357j -0.736123+6.34627e-15j 0.0118198+0.000532985j 0.188123+0.000177004j -0.00927054-0.0004855j 0.0495579+9.76768e-06j 0.029603+6.32364e-05j -0.0494892-0.000136689j 0.00177526+0.000427256j -0.0612873+0.000703143j -0.0692305+0.000167847j 0.00290291+0.000468038j -0.000352373+2.41852e-05j 0.0595294+2.15997e-05j -0.0240931-0.000127288j -0.0979271+0.000108708j -0.0497621+6.57938e-06j 0.0594625-5.00228e-05j -0.00464099+7.31744e-05j -0.00330397-8.22343e-05j 0.0480156+2.68275e-05j 0.00251696+7.53801e-05j -0.0105892+5.71889e-05j 0.0209874+0.000277254j -0.0164211+7.30157e-05j -0.0149315-0.000364798j 0.016802-1.19855e-05j 0.00352143-0.000167046j -0.0230512-0.000209064j 0.00796669+2.23751e-05j 0.0110303+9.4556e-05j 0.0171954-4.25581e-05j -0.0311214+1.13311e-06j -0.0395274+0.000119967j 0.0157124+2.35818e-05j -0.00336243-0.000137965j -0.0291228+2.81516e-05j 0.0341439+0.00010695j -0.0380644-4.70185e-05j -0.0238152+0.00014894j -0.0190407+0.000119557j 0.0903641-0.00021265j -0.02635+8.27504e-05j 0.0129732-4.35831e-05j -0.0151466-0.000100231j -0.00418365+4.41125e-05j 0.00310555-0.000237775j 0.0062046+7.61684e-05j -0.00728835-2.27626e-05j 0.0053871-7.65416e-05j -0.00893288+1.89192e-06j -0.00492226-3.45674e-05j -0.00415145+5.69197e-05j 0.0110076-4.14684e-05j -0.0667846+6.84803e-05j 0.00693399+9.59841e-05j 0.00804153-8.81731e-05j -0.033203+9.68096e-05j 0.00813977+0.000225651j 0.0171491-0.000319581j 0.0398456-0.000108497j 0.0185302+4.49645e-05j 0.00267827-6.16684e-05j -0.000923401-2.29527e-05j 0.00206281+7.75128e-06j 0.0194972-0.000164894j -0.0176001-0.000106867j 0.0212029-0.00037321j -0.0189248+1.18708e-05j -0.00109333+0.000140552j 
-0.164119-0.00200729j 0.0118198-0.000532985j -0.525434+6.12574e-17j 0.0379871-0.000155144j 0.0841017+0.000739676j 0.00933702-0.000622874j -0.0287968+0.000267529j -0.0244991+9.7242e-05j 0.00577025-0.000277491j -0.000669733+0.000249767j 0.0336563-0.000527123j -0.00114971-0.000133219j 0.0249212+0.000452624j -0.0324854+3.61538e-05j -0.0377454+0.000880195j -0.119946-0.000624702j -0.220731+0.00125416j 0.219784+0.000161489j 0.0727319+0.000505329j 0.0768533-0.000220251j 0.0194109+0.00011217j -0.0672673+0.000461327j -0.0345687+0.000355881j 0.0119302-0.000532023j 0.00599204+0.000201836j 0.123611-0.000266151j 0.0588124-0.000264348j 0.0560708-8.32716e-05j 0.0353908-4.01879e-05j -0.0230662+0.000162331j -0.01818+0.000424316j -0.0557349-8.59558e-06j -0.0232453+0.000272722j -0.0530224+0.000422679j -0.0537057+0.000137628j 0.0289524-0.000485252j 0.0703606-0.00030969j -0.105239-0.000205085j -0.0594959+0.000821316j -0.141139+0.000626559j -0.149291-0.00110432j 0.252261-0.0010526j -0.0887876-0.000243362j 0.0490845+1.94161e-05j 0.0443174+0.000859009j -0.0782874-6.52903e-05j 0.123779-0.00157087j -0.012264-2.57605e-05j -0.0628379+8.00889e-05j 0.0683275-0.000132107j 0.00307283-1.39369e-05j -0.000121248-0.000346227j -0.0623582+0.000221781j 0.0500551+5.463e-05j -0.082374+0.000671936j 0.0241964-0.000260762j 0.00479709-0.00039793j -0.0706498+0.000932317j -0.0227293+7.34393e-05j 0.243418-0.000257868j 0.152801-0.000425644j 0.0569692+0.000583845j 0.0704118+0.000216283j -0.0166097-9.00994e-05j 0.00495018+8.8645e-05j 0.085394-0.000786796j 0.0370028+6.33346e-06j 0.273579-0.00160656j -0.0716522-0.00123382j -0.0564554+0.00128422j 
0.141128-0.000240756j 0.188123-0.000177004j 0.0379871+0.000155144j 0.150396+4.76832e-16j 0.0163971-0.000750172j -0.0694924-0.000342863j 0.093008-0.000281686j 0.0102983-0.00087967j -0.118792+0.000225682j 0.127732-6.79362e-06j -0.0323193+0.000997321j -0.0787492+0.000683246j 0.0580309-0.000627503j 0.0610423-0.000109944j 0.244036-0.000126206j -0.720466+0.00167802j 0.0890414-0.000505188j -0.0653834+4.47557e-05j 0.0232243-0.000155264j -0.0992938+0.000673673j -0.029804-4.20128e-05j 0.0372915-0.000421408j -0.00274368-8.32942e-05j -0.0852769+0.000183604j -0.0292954+0.000311799j 0.0407361-0.000580604j -0.0310294-0.000288062j 0.0211615-6.75495e-05j 0.015657+0.000261941j 0.0395756-0.000261363j 0.0706747-0.000266153j 0.0410596-0.00011019j -0.0294969-9.83438e-05j 0.00834806-4.76144e-05j -0.00923406-0.000392825j -0.0179415+0.000867942j -0.0145016+0.00142557j -0.0928184+0.000371808j 0.00613027+0.000682866j 0.0465966-0.000401183j -0.284353+0.00110946j -0.0780917+0.00167622j 0.0669025-0.000161875j -0.0217483+0.000396064j 0.0144473-0.000143237j 0.0495246-0.00011042j 0.0404056+0.000391466j 0.00239852-0.000167419j 0.00688969+3.66343e-06j -0.0175368+0.000223169j -0.00373047+0.000179635j 0.0137216+0.000247452j 0.0434517-0.000440329j -0.0151642-0.000104797j 0.0350199-0.000266159j -0.0568601+0.000237542j -0.0477555+0.000429986j 0.0507304-0.000421811j -0.0468776-6.37774e-05j 0.0931507+0.000432087j -0.0757636+0.000872862j -0.0537799+0.00025783j -0.0125762+9.76083e-05j -0.0041598+3.3737e-05j -0.0014505+8.27662e-06j -0.0138779+0.000239993j 0.0704029-0.000203944j -0.0130754+0.00105905j 0.0458762-0.000288948j -0.0134869-0.00016556j 
-0.0756617+0.00129319j -0.00927054+0.0004855j 0.0841017-0.000739676j 0.0163971+0.000750172j -0.134957-2.10006e-15j -0.0690935-0.000102563j -0.00255012+0.0002626j 0.0177689+0.000165489j 0.333914+0.000414849j 0.0527625-1.06254e-05j 0.159189-0.000252113j 0.28806+9.40001e-05j 0.214896-5.03543e-05j -0.22982-1.27668e-06j -0.558526+2.23515e-05j -0.353153+0.000253001j 0.037928+4.69113e-06j 0.0499033-0.00019937j 0.139695-0.000138903j 0.00092846-0.000199359j 0.0394975+0.000387326j -0.028066+0.000508423j -0.00381739+0.000215633j 0.058327+0.000490274j 0.0252243+0.00020639j -0.107974-0.000173868j 0.0676597+0.000126478j -0.032153-7.64492e-05j 0.00430577-0.000666198j -0.0112962+0.000301882j 0.00331286+0.000385255j -0.0833561-2.04161e-05j -0.0136179+7.519e-05j 0.0117982+0.000223361j 0.0210413+0.000158463j -0.0908449+0.000229844j -0.0671395+0.000445425j 0.0734692+0.00012214j -0.127674+0.000225881j 0.033344+0.00030441j 0.0234395+0.000480316j 0.0127296+0.000276122j 0.0219114-0.000502786j 0.0339208-0.000270227j 0.0388719-7.90438e-06j -0.058554-2.62226e-05j -0.0413184-0.000305643j 0.00435823+0.000136104j -0.0364808-9.28474e-06j 0.0275624+2.75956e-06j -0.00356066+2.15913e-05j 0.0132725-0.000417974j -0.00603931-0.000379972j 0.0302049+0.000272673j -0.0154945-0.000139921j 0.0232961+0.000112324j -0.0137474-9.48357e-05j 0.0114232-0.00044222j 0.108525+0.000161368j -0.00105822-0.000681903j -0.0335309+0.000404456j -0.00463238+0.000248134j 0.0237182-0.000142802j -0.0180987+4.16223e-06j 0.00717977+0.000162094j -0.0379802+0.000494551j -0.0383136-0.000512547j -0.0361372-5.3509e-05j 0.0193645-0.000160494j 0.0189296-0.000207407j 
-0.0381197-0.000224217j 0.0495579-9.76768e-06j 0.00933702+0.000622874j -0.0694924+0.000342863j -0.0690935+0.000102563j 0.0433169+5.44226e-15j -0.105194+0.00032611j -0.159068+0.0012211j -0.0741167-0.000817794j -0.112492+0.000205405j 0.0414212-0.0004649j -0.18559-0.000343501j -0.507391+0.00144105j 0.525043-0.000841028j -0.450922+0.000629621j -0.169037+0.000116153j -0.0155291+0.000638584j -0.0369466-1.2653e-05j 0.00575533-0.000148736j -0.0122563+0.000197654j -0.00578317+0.000277j 0.0563331-2.64282e-05j 0.0959003+1.55549e-06j -0.0106341-5.06801e-05j 0.0235445+0.000143293j 0.0241523-0.000889201j -0.00449407-0.000501123j -0.0654906+8.39044e-05j -0.0487676-0.000127127j -0.0183791+0.000130538j -0.0483987+0.000312602j 0.0608537-0.000123578j -0.0414946+0.000221557j -0.0223194+0.000233298j -0.0744128+0.000244805j 0.0627233-0.000315668j 0.0373096+0.000211554j -0.0228148+0.000541244j -0.0286355+0.000645679j -0.0254511+0.000122303j -0.026076+0.00018823j 0.0208716+0.000601351j 0.0335206-0.000263146j 0.010202+3.70225e-05j -0.0270118+0.000133821j -0.0280437+0.000151038j 0.00838582-0.00051466j 0.00211628-8.86571e-05j 0.013504-4.48944e-05j -0.0183134+0.000169331j -0.00377202+0.000119247j -0.00170128-4.4664e-05j -0.0323864+0.000205292j 0.00107069+2.25017e-05j 0.00369052-0.000123912j -0.00759535-0.000109117j 0.0158075+1.78054e-05j -0.00288838+4.68722e-05j -0.0350469+0.000310038j -0.0566814+0.000307492j 0.00207738+5.33269e-05j -0.0056292+0.000104756j -0.00901448+0.000157278j 0.0159799-9.0314e-05j -0.00089151-0.000105333j 0.00887439-0.000152385j -0.0498961+0.000336174j -0.00880109-0.00035998j -0.00425949+5.28299e-05j 0.00669474+3.38104e-05j 
0.00329995+0.000314887j 0.029603-6.32364e-05j -0.0287968-0.000267529j 0.093008+0.000281686j -0.00255012-0.0002626j -0.105194-0.00032611j 0.02385-8.6554e-15j 0.0125785-0.000530962j 0.0981875+0.000113441j 0.135023+0.00011212j 0.0797444+0.000136498j 0.295301-0.00013097j 0.439684-5.54558e-05j 0.727404-0.000320562j 0.0777902+0.00015386j 0.156298-0.000196077j 0.00902277+0.000144649j 0.012323+0.000173824j 0.110135-0.000249683j -0.0179318+0.000278215j -0.0046187-0.000261231j -0.00330898-0.000430563j 0.00522415+0.000256251j 0.0208768-6.11639e-05j -0.038876+0.00064054j -0.0105222-0.000541111j -0.030806-0.000526074j 0.0105522-0.000623683j -0.021671-0.00032365j -0.00490723+0.000309779j 0.0621329-0.000195158j 0.00457129-0.000329131j 0.0869609-0.000429784j 0.0190346-0.00013034j -0.0460135+0.000271542j -0.0265577-0.000139186j 0.00570707+9.89582e-05j -0.0618727+4.30651e-05j 0.0048069-9.4603e-05j 0.0475688-0.000727766j 0.0010814-0.000357977j -0.00975679+0.000289482j -0.000250816-2.61054e-05j 0.00833998+0.000436414j 0.0374151+0.000137613j -0.00812567-0.000181848j -0.00293349-6.56082e-05j 0.0112916-1.4381e-05j -0.0214856+4.94684e-05j 0.0186084+5.08914e-05j -0.00337984+9.88245e-05j 0.0159327+0.000171113j 0.00705188-0.000234821j -0.0122129+0.000107961j -0.0104049-0.000180728j -0.0332707+0.000215834j -0.0283311+4.20223e-05j 0.0185928-0.000130729j 0.0552023+8.64856e-06j 0.0103606+0.000151603j 0.0113759+6.74141e-05j 0.00666833+5.97843e-05j 0.0195398+3.90169e-05j -0.0124752+1.16482e-05j 0.00345775+8.7494e-05j -0.00498752+2.73224e-05j -0.00187855-0.000327711j 0.0128534+2.91518e-05j -0.0105427-7.55146e-05j 0.00186975+8.61274e-05j 
0.02278+0.000667778j -0.0494892+0.000136689j -0.0244991-9.7242e-05j 0.0102983+0.00087967j 0.0177689-0.000165489j -0.159068-0.0012211j 0.0125785+0.000530962j -0.119759-1.82798e-14j 0.318054-0.000169698j 0.120848+0.000681492j 0.257708-0.000161954j 0.455794-0.000378439j -0.546864+0.00110879j -0.0196883-0.00048751j 0.400122+0.000724863j -0.0120629-0.000481835j 0.0186641+0.000599884j 0.0232485+0.000467026j 0.0349302+0.000421292j 0.0455031+3.86367e-05j -0.050549+0.00102225j -0.00568227+0.00035362j 0.0492251+0.000425015j -0.00352938-0.000199346j 0.0592027+0.000248813j -0.0293859-0.000550285j 0.0464852-0.000274807j -0.0145459+8.41366e-05j 0.0225249+0.000429505j 0.00452219-4.6714e-05j 0.0275933+0.000161635j -0.0798543+0.000376237j -0.0298808+1.5612e-05j 0.0584949-2.04792e-05j 0.000415067-0.000252306j 0.0243976+0.000100977j 0.0619053+0.000131299j -0.0588741+0.000634675j 0.00769708+0.000366152j -0.00125887+0.000228316j 0.020974-0.000409968j -0.0640835+0.000831475j 0.0165103-0.000245138j 0.024357-9.61429e-05j 0.0185809+0.000471142j -0.0412502-4.18362e-05j 0.00235116-0.000593074j -0.0211291-4.65714e-05j -0.0103559-9.15633e-06j -0.007054+0.000105039j 0.00641731-5.31665e-05j -0.00925215-0.000264048j -0.0220499-0.000107089j 0.0125621+0.000280323j 0.0150233-0.000105466j 0.0250943-0.000476318j -0.0115486+4.19964e-06j 0.00246533-2.67001e-05j 0.0308545+0.000233499j -0.0139665+0.000441879j -0.00256022-8.1121e-05j 0.00399661+6.72661e-05j 0.0132178+0.000145767j -0.0105602-5.08107e-05j 0.00877547+4.0711e-05j -0.00234771-1.15047e-05j -0.035305+1.19752e-06j 0.00914248-0.000305227j -0.00663176-7.90173e-05j 0.00527356+9.58873e-05j 
0.0582007-0.000559783j 0.00177526-0.000427256j 0.00577025+0.000277491j -0.118792-0.000225682j 0.333914-0.000414849j -0.0741167+0.000817794j 0.0981875-0.000113441j 0.318054+0.000169698j -0.30883-1.53433e-14j 0.182898-0.000287151j -0.390347+6.27785e-05j 0.461484-0.0002063j -0.183999-0.000190105j 0.0115323-7.56015e-05j -0.241813-0.000454856j -0.0286464+0.000159793j -0.11901-0.000591189j -0.0233508-0.000293192j -0.0803214-4.21084e-05j -0.00844488-4.35155e-05j 0.0178823-0.000336743j -0.0721515+7.53566e-05j -0.00296087-0.000760555j -0.00183749+0.000109477j -0.00595785-0.000638069j -0.054987+0.000777361j -0.0134274+0.000527083j -0.0279122+0.000713324j 0.0675918-2.47783e-05j -0.0122657-0.000167861j -0.0385516+3.67773e-05j -0.0461895+0.000150099j 0.102605-0.00010763j 0.0904538-0.000368297j -0.00250463-4.30052e-05j 0.00547569+0.000153023j 0.023854+0.000114731j -0.0709869+0.000194231j 0.0123484-6.57995e-05j -0.0405061+0.000124341j -0.0146703+0.000728949j -0.0517315+7.12584e-05j -0.019667+0.000214628j -0.0220973-0.000174984j 0.0077887-0.000257997j 0.0444606-0.000148397j -0.0041192+0.000497593j -0.00553652+8.19309e-05j 0.0114727+0.000145439j -0.00640439-0.000112826j 0.00292284-1.31546e-05j -0.00266673+1.11269e-05j 0.0333653+4.58493e-05j -0.0455126-4.94508e-05j 0.0103761-6.2733e-05j 0.0296764-0.000192183j -0.00246939+0.000193899j 0.0382098-4.15204e-05j -0.0368741-0.000282718j -0.00913247+0.000460036j 0.0180352-0.00043659j 0.014119-0.000308928j -0.0130519-3.56289e-05j -0.000831397+8.74014e-05j -0.00102362-8.73717e-05j -0.00635983+1.00385e-05j 0.0547103+0.000199357j -0.000609879+0.00043284j -0.00726315+0.000252208j -0.00583362-9.16744e-05j 
0.00480888-0.000200041j -0.0612873-0.000703143j -0.000669733-0.000249767j 0.127732+6.79362e-06j 0.0527625+1.06254e-05j -0.112492-0.000205405j 0.135023-0.00011212j 0.120848-0.000681492j 0.182898+0.000287151j 0.772204+4.2525e-14j 0.00578185+4.70074e-06j -0.414517+0.000445301j -0.117436-0.000252058j 0.0167269+0.000162871j -0.143148+0.000145617j 0.166378-0.000145871j 0.0310734+0.00012046j 0.0889267+8.93177e-05j 0.0175247+0.000247023j -0.0303199-0.000201817j -0.0502797+0.000245297j 0.00169858+0.000263871j -0.0641258+0.000261949j -0.0101757+0.00010632j 0.0485097-0.000138342j -0.0391984+0.000409153j 0.0234072+0.000297539j -0.00202675+0.000105412j -0.0026313+0.000166369j -0.012814-7.5488e-06j 0.0618969-9.00357e-05j -0.0342011+0.000115507j 0.00115823-4.45136e-05j 0.0145132+5.60807e-05j 0.00911783-0.00013564j -0.0303792+0.000148142j 0.0341735-0.000168454j 0.024911-9.03719e-05j 0.020741+9.23056e-05j -0.0367037+0.000345386j -0.0424994-4.33399e-05j -0.0422146-7.79601e-05j 0.0101735-0.000119394j 0.0244693-0.000139095j 0.056567+4.17934e-05j -0.00277642-9.72865e-05j 0.0141136-0.000140527j -0.00833627-3.68174e-05j -0.0212521+9.88469e-05j -0.00550736+0.000118218j 0.00127546-6.57349e-05j 0.00293976-0.000233292j -0.021008-5.48793e-05j -0.0293237+0.000192961j -0.000961314+5.6912e-05j -0.00309468+3.89921e-05j -0.00309228-7.47827e-05j 0.011933-6.92847e-05j -0.0197474+7.89158e-05j 0.012255+5.81486e-05j -0.0128229+4.19923e-05j -0.00950198+0.000114279j 0.00814133+9.95402e-06j -0.00365353+2.18752e-05j 0.0101686+1.09897e-05j -0.00860907+0.000113234j 0.0159898-7.5485e-05j 0.00347076+7.54485e-05j 0.0120471-0.000169134j -0.00286934-1.00564e-05j 
0.0480893-0.000136488j -0.0692305-0.000167847j 0.0336563+0.000527123j -0.0323193-0.000997321j 0.159189+0.000252113j 0.0414212+0.0004649j 0.0797444-0.000136498j 0.257708+0.000161954j -0.390347-6.27785e-05j 0.00578185-4.70074e-06j 0.798021-3.35138e-13j -0.0131883-0.000226135j 0.0172975-2.22548e-05j -0.0192589+0.000317913j -0.0694213+0.000307211j 0.00285731-0.000550421j -0.0349861-0.000251916j 0.0021996-0.00111693j -0.0524192-0.000570493j 0.0014625-0.000422326j 0.0192195-0.000583155j -0.0103863-2.72619e-05j -0.0213786-0.000248965j -0.0272693+0.000744278j -0.0310983+8.79883e-05j -0.0197862+0.000106931j -0.0117359-0.00024585j 0.0221141-0.000474707j 0.00711364-0.000444036j -0.069505+0.000592071j 0.00273747-0.00032555j -0.0639977+5.95982e-05j 0.00363239+0.00023341j 0.0371825-0.000260274j -0.0177683+0.00057108j -0.00865272+0.000405549j 0.00418403+0.00026354j -0.0110606-8.91584e-05j 0.0108482-0.000262418j -0.0156419+3.48316e-05j 0.0138628-1.35384e-05j -0.0276015+0.00040593j -0.00757842+3.26978e-05j -0.0166102-8.42848e-06j -0.0116725-0.00029959j 0.019937-4.02905e-06j -0.00538936+0.000265949j 0.00347923+9.12214e-05j 0.00238722+6.45844e-05j 0.00404562-8.26464e-07j 0.00281921-5.59814e-05j 0.00611889+5.27399e-05j 0.0118355-9.74519e-05j -0.00789995-8.13277e-05j -0.00357099-2.64059e-06j -0.00244681+0.000107947j 0.000480333+0.000127436j 0.0196032-7.41511e-05j -0.0284502-3.33524e-05j -0.00707365+0.000195203j 0.00583683-8.3899e-05j 0.00232821-0.000108219j -0.0116187-6.51901e-05j 0.00640301+2.48603e-05j -0.00487892-7.93128e-05j 0.00029865-2.30362e-05j 0.0229318+7.15961e-05j -0.00861507+0.000246409j -0.000639467+0.000134188j -0.0023511-6.32794e-05j 
