0.00808953+2.16493e-15j 0.0591227+0.0360918j 0.0209591+0.0723308j 0.00575325+0.103857j -0.00956596-0.0749264j -8.04192e-05+0.0573575j 0.0555349-0.0509778j 0.154445-0.110811j -0.107626+0.0923016j -0.0675475-0.0073338j -0.080916+0.0705181j 0.186183-0.163508j -0.0438808-0.116038j -0.0941579-0.108238j -0.052379-0.0359117j -0.230994-0.0789561j -0.187173+0.0373415j -0.279928+0.0585415j -0.0458937-0.0830286j -0.137689+0.0842328j -0.0812874+0.102149j 0.0180121-0.23615j 0.0886178-0.0395194j -0.121335-0.0629999j 0.162788-0.0539297j 0.0186034-0.0246922j -0.0890064+0.47871j -0.647177-0.266778j 0.0847695-0.0710656j 0.862053-0.289917j -0.191768-0.162951j 0.161341-0.0978438j -0.058822-0.0386499j 0.090517+0.224198j 0.110444+0.0816365j -0.164803-0.172601j 0.0149755-0.0126872j -0.0840669+0.0384078j 0.16843+0.099043j -0.0177635+0.157876j 0.0689705+0.0982241j 0.0932292-0.193278j 0.118813-0.204874j -0.0296863-0.0792415j -0.0487475-0.107705j -0.0351288-0.244396j -0.0821962-0.132327j -0.144183-0.33922j 0.469557+0.208257j -0.0272106+0.0392632j 0.291347+0.0351704j 0.169509-0.0930049j 0.304171+0.0589612j -0.132629+0.487049j 0.12059-0.181862j 0.161734-0.162j 0.0247408+0.587472j 0.210592+0.326366j 0.233276+0.199488j 0.425765+0.130501j 0.330828-0.457697j 0.166637-0.0351576j 0.0184613+0.575222j 0.428823+0.136431j 0.554462+0.514993j -0.105375+0.593873j -0.292418+0.630837j 1.23203+0.495309j 0.710134+0.542692j 
0.0591227-0.0360918j 0.119202-2.33147e-15j -0.0169499-0.00288987j 0.0442292+0.12449j -0.00376217+0.0229852j 0.0451133+0.204018j 0.0134118-0.0305333j 0.0786409+0.0290927j -0.0963618+0.10652j 0.0620027-0.00215424j -0.0312052-0.0743423j 0.0190463-0.205456j 0.167864-0.13118j 0.140082-0.165035j 0.0283949+0.00508011j 0.0791674-0.0568318j -0.048832-0.230584j 0.107865+0.174877j 0.090038-0.144799j -0.0403784-0.0586273j -0.121804-0.172209j 0.298975+0.208188j -0.149812-0.201141j 0.283771-0.0140798j 0.0622131-0.228349j -0.0598002-0.0502859j -0.613194-0.475781j 0.339257-0.584408j 0.177681-0.165074j -0.587975+0.083026j -0.256817-0.142835j 0.153858-0.0645732j 0.0698189-0.114291j 0.157188+0.0675641j -0.028696+0.168623j 0.042397-0.180256j 0.0499982+0.0186628j -0.102879-0.0606796j 0.33666-0.0163175j -0.159586-0.0490622j 0.226475-0.147659j 0.377034-0.0147288j 0.398161-0.00338585j 0.13048-0.150346j 0.140983-0.185541j -0.117348+0.118469j 0.0259148-0.153553j -0.156912+0.0123917j 0.309638+0.280087j 0.157812-0.532281j 0.357468+0.252406j 0.0865629+0.121351j 0.172384+0.080627j 0.0922249-0.179812j 0.252844+0.151358j -0.0796463+0.595534j -0.496594-0.105049j -0.243058-0.596707j -0.432598+0.397858j 0.293202-0.188127j -0.27905+0.24589j 0.0863816+0.370303j -0.731492+0.740122j -0.352674+0.234287j -1.08811+0.69541j -0.396642-0.268415j 0.933119-0.390185j -0.158596+0.606073j 0.677303-0.765683j 
0.0209591-0.0723308j -0.0169499+0.00288987j -0.0576398+6.66134e-16j -0.163884-0.0581679j 0.0447234-0.0579976j 0.0401443+0.0581167j 0.0156833+0.160589j 0.107644+0.270914j 0.0521873-0.011415j 0.108418+0.0100524j -0.165848+0.0926709j -0.0414229-0.031939j 0.072968+0.0136072j -0.0304156-0.0961561j -0.0524844+0.00284707j 0.0644741+0.0729457j 0.193162+0.103771j -0.179855+0.170323j -0.260918+0.0296364j 0.303839+0.0673193j 0.235449+0.0170253j -0.316892-0.0887693j 0.274541-0.249873j -0.191976+0.464531j 0.344471-0.277796j -0.0467442+0.13241j -0.261635-0.538479j -0.590267-0.615032j 0.107483-0.0132821j -0.210665+0.770556j -0.0307715-0.149314j 0.121459+0.107807j -0.064321+0.126882j -0.151653-0.00953508j -0.251498+0.260742j -0.0485828-0.105434j 0.0577638+0.0546671j 0.413337-0.357603j -0.0505911-0.12499j -0.342784-0.266113j -0.200394-0.0978373j 0.319018+0.0165987j 0.123511-0.227148j 0.143343-0.0682919j 0.606451-0.209999j -0.067986+0.0420801j 0.0958402-0.164206j 0.0870875+0.215482j -0.177039-0.0448074j -0.238832-0.0242016j -0.0173011-0.129274j -0.0398562+0.0462067j 0.0858405-0.632459j 0.0911438+0.539189j -0.210446+0.102132j 0.0946783+0.0152818j 0.496836-0.362447j 0.874349+0.286629j 0.0361418-0.224153j -0.148221-0.359087j 0.232194-0.815181j -0.466792+0.110134j 0.271207-0.765182j -0.739014+0.0318093j 0.235129-0.149493j -0.418502-0.612863j -0.192155-0.65486j 0.550312+0.298828j 0.318627-0.439197j 
0.00575325-0.103857j 0.0442292-0.12449j -0.163884+0.0581679j 0.257664+8.25173e-14j 0.147399+0.122476j 0.078979+0.0528334j -0.0444403-0.0719274j 0.00132571+0.0428068j -0.131862-0.0279036j -0.0948143-0.0457213j -0.0407377-0.130281j 0.06399+0.0811715j 0.000311565-0.206102j -0.0219728-0.084677j 0.0502393-0.125656j 0.0946251-0.0952472j 0.252927+0.13894j -0.336157-0.0492999j 0.105357+0.210065j 0.131002+0.154503j 0.0990385-0.163471j 0.110147+0.415535j 0.381387+0.445087j 0.197835+0.266676j 0.09285-0.0171347j 0.0911235-0.113928j 0.0123229-0.00619751j 0.341518+0.30384j 0.045104-0.0304003j 0.0151935-0.367221j -0.166248+0.0763296j 0.174838+0.179856j -0.0775391-0.581344j 0.160035-0.0376128j 0.13962+0.0272617j 0.061445-0.322898j -0.00448385-0.0235009j -0.0107221+0.318227j 0.155899+0.180242j -0.0179781+0.1541j -0.00280766-0.144229j 0.480213-0.197228j 0.043383+0.0579061j -0.0369159-0.0634514j 0.408538-0.0614568j 0.286002-0.161456j 0.1255+0.119597j -0.114334-0.12366j -0.00369075+0.120184j -0.168953+0.495719j -0.355337-0.0440241j 0.240905+0.129209j 0.356526-0.381166j 0.198984-0.0838861j -0.190098+0.27672j -0.140952+0.244237j -0.476962-1.20714j 0.132197+0.190642j -0.183172-0.639891j 0.20552+0.51989j -0.046751-0.42402j 0.035321+0.380706j 0.31975-0.631627j -0.0529504+0.768567j -0.147903+0.613832j 0.366407+1.19953j 0.587026+0.761782j -0.2491-0.44633j 0.0483903+0.577812j 
-0.00956596+0.0749264j -0.00376217-0.0229852j 0.0447234+0.0579976j 0.147399-0.122476j -0.0504691+5.9952e-15j -0.059426-0.175573j 0.00587026+0.114736j -0.0813853+9.31486e-05j -0.0546372+0.0819433j 0.155931-0.215217j 0.0963183+0.0735344j 0.0283043+0.188923j 0.00396939-0.222538j -0.0393711-0.251162j -0.033619+0.0550692j -0.0753154+0.197658j -0.243319-0.0597132j -0.247944+0.0460654j -0.090794+0.136015j -0.0186407+0.193129j 0.015294-0.0600006j -0.09286+0.446908j -0.340941-0.140658j 0.423867+0.123115j -0.290342-0.589988j -0.247515-0.0401326j 0.249448-0.186619j 0.0309547-0.400235j -0.260705+0.0521113j 0.213748-0.200988j 0.241953+0.115109j -0.109674-0.0589127j -0.145945-0.0608375j -0.0421752+0.158285j 0.0356153-0.272558j -0.0989624+0.185842j 0.133058-0.0224565j 0.160285+0.328049j -0.0419757+0.18545j -0.31268+0.1956j -0.0780917+0.365508j -0.0630483+0.0464946j -0.221041+0.114425j -0.356751-0.430495j 0.345295+0.150021j 0.129404+0.164886j -0.452624-0.25448j -0.201975+0.149868j 0.544182+0.182892j -0.0149424+0.423404j 0.41399-0.0221813j -0.108595-0.0534884j 0.138176-0.275065j 0.184931-0.49341j 0.0659314-0.244304j -0.0947415-0.112491j 0.354176+0.377084j 0.0881715-0.655983j -0.150411-0.324977j -0.0325592-1.11664j -0.919092-0.344013j 0.32101+0.334843j 0.491844+0.969728j -0.254646+0.0915145j 0.861087+1.15108j -0.322034+0.164325j 0.479316-0.59027j 0.0999448+0.692906j -0.0307805+0.390107j 
-8.04192e-05-0.0573575j 0.0451133-0.204018j 0.0401443-0.0581167j 0.078979-0.0528334j -0.059426+0.175573j 0.114322+2.05551e-13j 0.125852+0.157755j -0.0486206+0.0369537j 0.0667604+0.103478j 0.115584-0.109688j 0.0276587-0.113958j 0.123184+0.0664107j 0.185135+0.0560671j 0.0947912-0.207598j -0.161376-0.0191999j -0.0336397-0.179839j 0.20669-0.0785606j -0.321063-0.303506j -0.0783888+0.0293306j 0.421564-0.45234j -0.131866-0.346445j 0.135159-0.500795j -0.274064-0.375585j 0.450587-0.249478j -0.496298-0.306699j -0.3042+0.0319507j 0.220045-0.591659j -0.593492-0.0774069j -0.19127-0.0331775j 0.499979-0.025425j -0.197835+0.142236j -0.205218-0.068484j 0.146356-0.111566j 0.225998-0.0327461j 0.0691047+0.248378j -0.0505328+0.144101j 0.207543-0.0831462j -0.00141752+0.324332j 0.0700537-0.371261j -0.315429+0.292311j 0.289176-0.00653548j -0.0142426+0.329731j 0.0279091+0.0404649j -0.00797927+0.0466462j 0.44228-0.0227926j -0.265771+0.108735j -0.0408562+0.164362j 0.222719-0.119393j -0.161708+0.422749j -0.262095+0.156099j 0.0540925+0.786324j 0.00571698+0.247032j -0.263288+0.21052j -0.28959+0.295965j 0.330476+0.554863j 0.818945+0.284767j -0.0436292-0.474473j -0.155768+0.161664j 0.437965+0.54131j -0.248818+0.348724j -0.71185-0.811886j -0.133969+0.486082j 0.537981-0.368748j -0.208131-0.614819j 0.843613-0.172774j 0.331588-1.00378j -0.155941+0.770821j 0.597443-0.0730596j -0.585764+0.3315j 
0.0555349+0.0509778j 0.0134118+0.0305333j 0.0156833-0.160589j -0.0444403+0.0719274j 0.00587026-0.114736j 0.125852-0.157755j -0.184023+7.35523e-15j -0.175684-0.0294654j 0.0831054-0.0553811j 0.0225321+0.0247063j -0.159915+0.101048j 0.177095+0.0429925j -0.0572231+0.00381694j -0.150512-0.0855648j -0.074619-0.10482j -0.436004+0.111339j 0.0232423+0.33259j 0.0973753+0.0549691j 0.171877-0.148916j -0.0632558+0.159253j -0.469238-0.435157j 0.0209802+0.156697j 0.0402434-0.26081j 0.210453-0.814851j -0.165755+0.0957655j 0.705121+0.690791j -0.134414-0.131351j -0.180577+0.351934j -0.0308237+0.0887679j 0.0473082+0.166599j -0.00929587-0.0346531j -0.293489+0.0819491j 0.110179+0.110526j -0.397852-0.0779896j 0.0377455-0.112977j -0.221173-0.180424j -0.086644+0.0837011j 0.187974+0.332211j -0.393361-0.00133312j -0.030025-0.221985j -0.128809+0.185899j 0.121784+0.317305j 0.188983-0.142644j -0.0946104+0.101993j -0.205961-0.345732j -0.0110311-0.263317j -0.166777-0.0795896j -0.410197-0.439955j 0.818647-0.552279j -0.128334+0.216076j -0.523071-0.117949j -0.119946+0.376367j 0.247438-0.148418j 0.164394+0.0721264j 0.46937+0.702327j -0.136069+0.127475j -0.226559-0.24323j -0.542242+0.113084j -0.475463+0.856447j 0.0922164+0.399808j 0.0409967-0.568044j 0.663652-0.266688j -0.507775-1.22892j -0.141409-1.32016j -0.446682-0.169177j -1.25596-0.00892597j 0.222575+0.338036j -0.0508877-0.369406j -0.170031-0.0278818j 
0.154445+0.110811j 0.0786409-0.0290927j 0.107644-0.270914j 0.00132571-0.0428068j -0.0813853-9.31486e-05j -0.0486206-0.0369537j -0.175684+0.0294654j -0.0930057+1.21292e-14j -0.0670402-0.00513926j -0.116347-0.149966j -0.221534+0.0268751j -0.256155+0.315826j -0.0393618-0.277092j -0.00104159+0.116341j -0.12004-0.209701j -0.385095-0.154119j 0.06449-0.205378j 0.240904+0.158406j 0.00681127+0.283833j 0.340531-0.117756j -0.252602+0.35809j -0.133791-0.361109j -0.0852146+0.700214j 0.00892812+0.0847495j 0.240847-0.460056j 0.321692+0.513209j 0.406635+0.393987j -0.3187-0.265718j -0.167526+0.164087j 0.104493+0.429542j -0.0335674-0.0944965j -0.578424+0.0223787j 0.186613+0.17438j -0.0176954-0.021293j -0.278841-0.236688j -0.051955-0.145302j -0.0299185+0.0284914j -0.099674+0.177388j -0.0882783+0.0883275j -0.2099+0.131389j -0.442499-0.393998j 0.0713292-0.152199j -0.362831+0.273216j -0.432635+0.293206j 0.0461924-0.0335502j 0.0689366-0.28411j -0.0230783+0.29415j -0.38444-0.169196j 0.429201+0.44127j -0.777015-0.180252j -0.120595+0.812344j 0.85334-0.22181j -0.495536-0.589728j 0.0427045+9.45613e-06j -0.0445883-0.277549j 0.167293+0.200129j -0.686582+0.386112j -0.151125-0.225425j 0.00835621-0.786814j 0.457629-0.638547j 0.719936+0.374184j 0.568472-0.00971481j -0.389803+0.731281j -0.172056+0.202259j -0.173661-0.479214j -0.45809-0.495966j -0.283181+0.239104j 0.419528-0.206016j -0.708289-0.242436j 
-0.107626-0.0923016j -0.0963618-0.10652j 0.0521873+0.011415j -0.131862+0.0279036j -0.0546372-0.0819433j 0.0667604-0.103478j 0.0831054+0.0553811j -0.0670402+0.00513926j -0.0993993+4.0884e-14j -0.097098+0.308498j -0.156549+0.0334122j 0.110347-0.297229j -0.0991708-0.0146929j 0.565564+0.260248j 0.127126-0.372469j -0.219526-0.259676j 0.191309-0.195123j -0.103798+0.174386j 0.0949186+0.173935j 0.257842+0.622213j 0.0886197+0.00194606j 0.290726+0.0844853j -0.448101+0.516376j -0.00971835-0.599197j -0.0522085-0.581574j 0.285615+0.153071j -0.525177-0.248213j 0.198574+0.0665241j 0.0525336-0.0983177j 0.268293-0.151273j -0.157254+0.241908j -0.0577835-0.0807953j 0.063098+0.235075j -0.1768+0.0125478j 0.21339+0.281275j -0.164979+0.394713j -0.00440056-0.0560721j 0.167972-0.0517616j -0.0921385+0.00223775j 0.288076+0.0201623j 0.11049-0.1914j 0.19677-0.224811j 0.413816+0.392276j 0.23079+0.169266j -0.0579595+0.669572j 0.0481314-0.571754j 1.00031-0.315299j -0.123682-0.107301j -0.00235622+0.175131j 0.309538-0.014963j -0.953116-0.290762j 0.46633+0.517738j 0.225974-0.396976j 0.637267-0.197487j 0.0340712+0.371364j -0.0521936-0.348278j 0.198179+1.04509j 0.346443+0.177988j -0.387055-0.0285713j -0.874064+0.150982j -0.680044+0.151256j -0.148336+0.294474j -0.14649+0.858826j -0.200518-0.0773926j -0.22998+0.268475j -0.450909-0.262676j 0.334282-0.0715495j -0.211508+0.271663j 0.0359543+0.271014j 
-0.0675475+0.0073338j 0.0620027+0.00215424j 0.108418-0.0100524j -0.0948143+0.0457213j 0.155931+0.215217j 0.115584+0.109688j 0.0225321-0.0247063j -0.116347+0.149966j -0.097098-0.308498j 0.0762684-5.09315e-14j 0.0937166+0.314382j -0.0498966-0.0135923j 0.213755+0.194313j -0.0995885+0.241527j -0.0743813-0.159354j -0.404076+0.146584j 0.331267+0.239418j -0.0172756+0.00382206j -0.0823651-0.233414j -0.321378+0.156348j 0.205703+0.498011j 0.762567-0.287744j 0.134008+0.381657j 0.584526+0.803441j 0.0472998-0.126214j -0.109151+0.172273j -0.0230842-0.159049j -0.0364998-0.163945j -0.0256502-0.143565j 0.0173332+0.0243497j -0.0744458-0.114746j -0.0479453-0.181205j 0.222222-0.142061j 0.144999-0.512228j 0.0961927+0.221992j 0.180709+0.0825919j 0.0773997-0.0157636j 0.172872-0.153375j -0.317734+0.184012j -0.175824-0.219298j -0.273115+0.419965j 0.0547716+0.452158j -0.261272+0.0204046j -0.192521+0.259294j -0.168702+0.125347j -0.177159-0.276278j 0.467564+0.0546551j -0.4403-0.421469j 0.203326-0.594593j 0.181802-0.0978894j -0.242848+0.597928j -1.30246-0.703729j 0.483106-0.345495j -0.813107-0.362906j -0.0905674-1.06316j 0.691985+0.222603j -0.114759+0.519452j 0.504518+0.131226j 0.128113+0.285594j -0.527397-0.104776j -0.845175+0.584766j -0.388925-1.0545j 0.12562+0.338802j 0.354365+0.442106j -0.14784+0.136547j -0.313007-0.264646j -0.0687465+0.231935j 0.153469+0.105176j -0.0925783-0.0754878j 
-0.080916-0.0705181j -0.0312052+0.0743423j -0.165848-0.0926709j -0.0407377+0.130281j 0.0963183-0.0735344j 0.0276587+0.113958j -0.159915-0.101048j -0.221534-0.0268751j -0.156549-0.0334122j 0.0937166-0.314382j 0.0942581-1.73611e-14j -0.0403546+0.104657j -0.188871+0.183355j -0.0421148+0.134896j -0.0559438+0.0124899j -0.0600363-0.132432j -0.33721-0.225558j -0.72122-0.0211085j 0.372442+0.109634j 0.0797273+0.127925j 0.0638416+0.203134j -0.0727528+0.271719j 0.118909-0.143285j -0.0528654-0.0284691j 0.196593-0.224438j -0.0711217+0.351279j 0.391981-0.294167j -0.138327+0.416441j 0.232722-0.194098j -0.0266523+0.0985428j -0.117665+0.0460048j 0.115179+0.312852j 0.121575-0.153777j -0.29367-0.309208j -0.147805+0.070517j 0.0972735-0.436388j 0.178489-0.0123685j -0.0121291-0.220223j -0.0167757+0.161155j 0.117731-0.147552j -0.505204-0.0719312j -0.0201313+0.459684j 0.211708+0.351274j -0.485121-0.139278j -0.160232-0.0160619j 0.181285-0.425089j -0.751588+0.0838795j 0.0977093-0.133134j -0.17295+0.317787j 1.09558+0.235297j -0.0443544+0.572303j 0.146181+0.42966j -0.0769888+0.426481j -1.17283-0.0114696j 0.229796-0.227936j -0.858751-0.592893j 0.7382+0.801185j -0.974932-0.403099j -0.204878-0.391095j -0.572836+0.202694j -0.044878-0.235335j 0.379767+0.00206839j 0.24035+0.462453j -0.300354+0.0312156j 0.46694+0.248363j 0.103304-0.316949j -0.393952+0.682117j -0.169024-0.170839j 0.10414+0.167613j 
