-0.210257-6.07153e-18j 0.235708-0.0121125j -0.0370402-0.000619809j -0.254697-0.00194834j -0.276619+0.0064297j 0.00646804-0.00250116j -0.0538003+0.00124189j -0.0498936-0.000510761j 0.048541+0.00102371j 0.0133742-0.000537089j -4.93187e-05-0.000640495j -0.018897-0.000498283j -0.0058573-0.00130842j 0.00991449-0.000963056j -0.00591012-0.000391014j 0.01306+0.00107198j -0.00277721+0.00108208j -0.068474-0.00262389j -0.0713058+0.005535j -0.0148855-0.00226715j 0.0625549-0.0032546j -0.00596649-0.00042936j -0.0251223+0.00102412j 0.0136357-0.00073188j -0.000312492-0.00258897j -0.000714147+0.00137956j 0.00235419-0.000185552j -0.0276479-0.00418468j -0.0130777+0.00237862j 0.0141308+0.00179205j -0.0196386-0.00015802j 0.0010438+0.00143728j -0.00590709+0.00159385j 0.00507447-0.000839762j 0.00203794+0.000209789j 0.0207346+0.00125791j 0.00159043+0.000430041j -0.0112146+0.00210451j 0.00242243+0.00107121j -0.00420127+0.00182034j 0.008738-0.000523496j -0.000582939+0.00107398j -0.00142033-0.00251575j -0.00365747-0.000158966j 0.0162079-4.46377e-05j 0.0143166-0.000525091j -0.0167437-0.000215378j -0.0082318+0.0013005j -0.0483886-0.000230635j -0.0151933+0.00238803j -0.00364031+0.000616284j -0.00785494-0.0019645j 0.025891-0.00365193j -0.034008+0.00165002j -0.00781554+0.000172902j -0.0314545+0.00149525j 0.0608062-0.00284527j -0.052553+0.000521825j -0.0432566+0.0038207j -0.0203675+0.000384264j 0.0122621-0.0015458j -0.00555217+0.003341j -0.0099597+0.00147908j -0.00201657+0.00102394j 0.0316055+0.000776265j -0.00703822+0.000568232j -0.00406624-0.000207887j -0.0018442-0.00133516j -0.00841261+0.000289108j 0.000308081-0.000153024j -0.00578168+0.00174265j 0.0017539-0.00078454j -0.00382905+0.00116815j 0.00564115+0.00125511j 0.0120716+0.00121986j 0.00871045-0.00136912j -0.0114947+0.000460312j 0.0249648-0.00369874j -0.0296276+0.00087385j -0.0219628-0.00344829j 0.00681691-0.00427441j 0.000198525+0.000399904j -0.0014442+0.00215512j 0.0110906-0.001759j 0.00326539-0.00184516j -0.00366194+0.000303727j 0.00267211+0.000913852j -0.000670371-0.00322315j -0.00346578-0.00147766j 0.00599447-5.78362e-05j 0.0121307+0.00188301j 0.00167865+6.51536e-05j 
0.235708+0.0121125j -0.47378+6.20164e-16j -0.0998958-0.00623514j -0.121681-0.0031404j 0.415115+0.00446455j 0.014997+0.00488273j -0.00932309+0.00209973j -0.00872901+0.00159676j 0.0388089-0.000788852j -0.0228177+0.00051582j 0.00719654-0.000463077j 0.00893853+0.000873268j -0.0113901+0.00105141j -0.0207116-0.000573798j 0.0232371-0.000309328j 0.00841637-7.34321e-05j 0.018397-0.00146922j -0.0374014+0.00167706j 0.0990074-0.00168004j -0.115869+0.000985674j -0.159325-0.00241765j 0.0560677-0.00167317j -0.00537916+0.00325883j -0.0287996-0.00131471j -0.0207596-0.00174373j 0.0050291+4.14037e-05j 0.0290162-0.000952815j -0.0279749+0.00237232j 0.0258853+0.000868734j 0.0204134-0.00158208j 0.043534+0.00040707j 0.0139332+0.000139433j 0.0348215-0.000759741j -0.00346922+3.05803e-05j 0.00159229-0.000760946j -0.0060069-0.00232045j 0.0181662-0.000787558j 0.00899261-0.000441921j 0.0120423+0.000172464j 0.000827257-0.000148741j -0.0246081+0.000254175j 0.00846063-0.000820813j -0.0395434+0.000750533j 0.00793908-0.00039169j 0.0114077-0.000981599j -0.0132886-0.000706429j 0.028982+0.00123578j 0.0108865-4.3131e-05j 0.00965377+0.0022177j 0.0341474-0.000699238j 0.0268092-0.00049337j -0.0226756-2.90231e-05j 0.0231626+0.00267481j 0.072404-0.000795892j 0.0149332+0.00250834j 0.0494395+0.00514233j -0.022198-0.00243662j -0.0159689+0.0029623j 0.0622903-0.000567761j 0.0019463+0.00230766j -0.0218583+0.000327855j 0.0207545-0.000243417j 0.0132386+0.00160195j 0.0116846+0.000715547j -0.0123307-0.00273008j -0.00172342+0.000581692j -0.00111207-6.41357e-05j -0.00732922+0.00156488j 0.0233913-0.0010117j -0.00416185-0.000111669j 0.0293702-0.000574412j -0.00835688-0.000675039j 0.0115874-1.69156e-05j 0.00746291-0.00123386j 0.0107117+4.81766e-05j 0.0180625+0.00150334j -0.00528104+0.000726035j -0.0280287-0.00128872j 0.0222127-0.00109296j -0.0034029+0.00611069j 0.00371799-9.19756e-05j 0.0333562-0.00129929j 0.00380844-0.00174947j -0.0065133-0.000377571j 0.0101146-0.000962678j 0.00406723-0.000869647j -0.00194746+0.0012868j -0.00604921+0.00429836j -0.00109359-0.000826985j -0.0108896-0.00201977j -0.0052322-0.0010334j -0.0109047-0.000509003j 
-0.0370402+0.000619809j -0.0998958+0.00623514j 0.258627-9.67824e-15j -0.898691+0.000983888j -0.00870221-0.00250835j -0.0237835+0.00255732j -0.0749664+0.00160509j -0.0597858+0.00018568j 0.114523+0.00110533j -0.00590749+0.00169004j 0.0136722-0.00232797j 0.00529718-0.00211407j 0.0216004-0.00142554j -0.0133713-0.00199155j 0.0388359+0.000312932j 0.039124+0.000405819j -0.010279-0.00101758j -0.017182-0.00183697j -0.033523+0.00190726j 0.016316+0.00161814j -0.00921816+0.00142647j 0.000999187+0.000600828j -0.00915391+0.00115052j -0.00721987-0.000808505j 0.00218019-0.00302882j -0.0153316-0.0010946j -0.00388761-0.00213337j -0.00201071-0.00322343j 0.0108682+0.00161916j 0.00688707+0.0012826j -0.00704032-0.00166997j 0.00753014+0.00132978j -0.00503701+0.000520462j -0.0180868-0.000229203j -0.00895832-0.000207151j 0.00701268+0.00279154j 0.00490709+0.000282816j 0.00442517+0.00305224j 0.00137279-0.000340473j -0.0034974+0.00215081j -0.00720659+0.000538261j -0.00757464+0.00113084j 0.00381281-0.000380034j 0.0105319-0.000514614j 0.0173252+0.000146288j 0.0160552-0.000347098j 0.00320704-0.00283546j -0.0115985+0.00109921j 0.00102651-0.00182635j -0.00353345-0.000825513j -0.00602452-0.00180723j -0.00356884-0.000245226j 0.016737-0.00314952j 0.00953118-0.000397245j 0.0089023-0.00086511j 0.00781524-0.00217909j -0.00490533-0.000228169j -0.00473349-0.000341585j 0.00327042-0.000598304j 0.0069218-0.000102924j -0.00797165+0.000539668j -0.00343682+0.000340326j 0.000486765-0.000541693j 0.000576895+0.000667339j 0.00686417+0.0015118j 0.0034823+0.000371654j 0.00444151-0.000272134j 0.00408108-0.000565368j 0.00260976-0.000118537j -0.00260874+0.000285217j 0.0021907-0.000888977j 0.000743031+0.000230575j -0.00324984+0.000281411j 0.00310689+0.000379297j 0.00462546-0.000495903j 0.013015-0.00150663j -0.00141616+0.000506103j 0.00837176-0.000502173j -0.00218107-0.000348237j 0.011268-0.000466257j -0.00343918+0.000427099j -0.00182101-0.000411446j 0.000279359-0.000167413j -0.0020477+0.000619009j 0.00100003+0.000140498j -0.000463512+0.000492916j 0.00274747-0.000126833j -0.000999046-2.63163e-05j 0.00218837+0.000677446j -0.000630363+0.000197797j -0.00326909-0.000570434j 0.000123486+5.30544e-05j 
-0.254697+0.00194834j -0.121681+0.0031404j -0.898691-0.000983888j -0.127501-5.79311e-15j -0.0142869-0.00146045j -0.0721089+0.00298568j -0.130064+0.0024505j -0.0631386-0.00387943j 0.111129+0.000362572j -0.0148801-0.000806789j -0.0576778+0.000692658j 0.0402476+0.00157697j 0.0268505+0.000985963j -0.000183618+0.00292402j 0.0152523-0.000939104j -0.0161687+0.00168936j -0.0302646+0.00119474j 0.00070392-0.00061126j -0.00316901+0.00142503j 0.0505115+5.7797e-05j 0.00603223+0.00033676j -0.000275561+0.000291829j -0.0209586+0.000166501j 0.0121323-0.0010504j 0.0375558-0.00364699j -0.0128066-0.00105386j 0.00527609-0.00333986j 0.0287552-0.00434326j 0.0022094+0.00130555j -0.005424+0.00158508j -0.00747399-0.00128835j -0.00301962+0.00241084j -0.0132243+0.00095795j 0.0163155-0.000735729j 0.00408148-0.000293895j 0.00115491+0.00430607j 0.00121936+0.000686671j 0.00674556+0.00404764j -0.0149679+0.000256754j 0.00474259+0.00283643j 0.00547022-0.000366996j 0.00957978+0.00224529j 0.00989755-0.00104065j -0.00222458-0.000287447j -0.00874903+0.000340557j -0.014236-0.000494804j -0.0065311-0.00356859j 0.00950653+0.00138379j 0.00892772-0.00153822j -0.00976724-0.000481417j -0.0192079-0.00227165j -0.00596567+0.000445524j -0.0190325-0.00412454j -0.0116528+0.00032088j 0.0163833-0.00173861j -0.00551908-0.00243264j -0.0215905-0.000227777j 0.00672956-0.000770536j -0.00109654+0.000512339j 0.00287435+8.54944e-05j -0.00876103+3.57031e-05j -0.0129837+0.000948129j -0.00210147-0.000692031j -0.000169442+0.000777024j 0.0117109+0.0020644j 0.0062363+0.000605234j -0.00340657-7.42559e-05j -0.00489617-0.00128948j 0.00111043+0.000204498j 0.00180712+0.00019609j -0.0057383-0.000565918j 0.00897307+0.000484707j 0.00377406+0.000130573j 0.00559416+0.000519594j -0.0034135-0.000953938j -0.000381895-0.001771j 0.0035811+0.000749231j 0.00668969-0.000801128j -0.00306541+0.000230167j 0.00856552-0.00107467j -0.004452+0.00030347j -0.00470128+0.000177312j 0.000453988+0.000192746j -0.000673283+0.000456166j 0.00143062-0.000125039j 4.41573e-07+0.000538016j 0.00130538-0.00100027j -0.00255732-0.000680825j 0.00359073+0.00065836j 0.00159642+0.000545414j -0.00211746-0.000247349j 0.000885788+0.000146998j 
-0.276619-0.0064297j 0.415115-0.00446455j -0.00870221+0.00250835j -0.0142869+0.00146045j -0.332684-1.94723e-16j -0.0229434-0.00024533j 0.0174447+0.00157718j -0.0298507+0.000751716j -0.0119553-0.00130956j 0.02437-0.001629j -0.018868-0.000461442j -0.0202788+0.00124488j -6.88593e-05+0.000363538j -0.000606613-0.000774155j -0.0118914+0.00149233j 0.00869874-7.68999e-05j -0.0125066-0.00183662j -0.0368752+0.00474466j 0.0432661-0.00225839j -0.0694071+0.00351123j -0.0899623+0.00428915j -0.0116313-0.00155626j -0.022227+0.00348368j -0.0019357-0.000257219j -0.0104027-0.00129288j 0.00216306+0.00010915j 0.0247433-0.0030468j -0.0306878+0.00153552j 0.000361387+0.000984057j 0.0151116-0.00175636j 0.0143669-0.00221136j 0.00182378+0.00063943j 0.0242898-0.00101157j 0.0126926-0.000615885j 0.00325517-0.00141041j 0.0171373+0.000142684j 0.0140092-0.00095503j -0.0204761+0.00228831j 0.0129517-0.00020226j 0.00207606+0.00161602j -0.0130294+0.000671243j 0.00989372-0.000232362j -0.0309735+0.0016859j -0.00039448-0.000663453j 0.0125454-0.00111529j -0.00330773-0.000967504j 0.00147799-0.000975204j 0.0213182+0.00033957j -0.0154667+0.00178223j 0.0405431-0.00245899j 0.0464888-0.00440175j -0.00679553+0.00118952j 0.00432797+9.18002e-06j 0.0237065-0.00091218j 0.0276735+0.00129924j 0.0647177+0.00304362j -0.0301065-0.00325054j -0.0251177+0.00637888j 0.0642123-0.00115169j -0.0156813+0.00374964j -0.0389583+0.0020194j 0.03047+0.000381202j 0.0259864+0.000790399j 0.00587213+0.000615647j -0.00792243-0.00205412j 0.0112484+0.000776744j -0.00193883+0.00032718j -0.0104981+0.00143491j 0.0330822-0.00228243j -0.00475437+0.000181006j 0.0409206-0.00228701j -0.00577465+9.14971e-05j 0.0215716-0.000387506j 0.0144847-0.00171808j 0.0207256-0.00124466j 0.0216282-0.000586547j -0.0128301+0.00216318j -0.0351107-0.00110834j 0.0211317-0.000796812j 0.00288805+0.0103938j -0.0101901+0.000830136j 0.0523673-0.00532176j 0.00463947-0.00319337j -0.0173435-0.00105603j 0.0124577-0.00209891j 0.00375329-0.000451391j -0.000932674+0.000782925j -0.0101202+0.00605555j -0.00442906+0.000329184j -0.0135832-0.00435811j -0.00639059-0.002256j -0.0191916-0.00162195j 
0.00646804+0.00250116j 0.014997-0.00488273j -0.0237835-0.00255732j -0.0721089-0.00298568j -0.0229434+0.00024533j -0.00771902-2.9924e-17j 0.00520708-0.00167473j 0.059176+0.000558619j -0.00951438+0.00276784j -0.0174889-0.00086418j 0.0199547+0.000292633j 0.0569634+0.000480341j 0.0349973+6.15124e-05j -0.0437987-0.000804473j 0.0799314+0.00376312j -0.0257301-0.00180758j -0.063361+5.75012e-05j 0.303102-0.000238035j -0.0804607-0.00129297j 0.253701+0.000296515j 0.184183+0.00431803j -0.0808155-0.00202197j 0.104798-0.00293047j -0.00570295+9.48717e-05j -0.0268292+0.00407102j -0.00865765-0.00432003j -0.0717802-0.00226043j 0.0942927+0.000685743j -0.000800572-0.000652515j -0.0735771-0.0023004j -0.0289794-0.0012947j -0.0095405-0.000707418j -0.0279516-0.000990528j -0.021892-0.000145855j -0.0226535-0.00166734j -0.0489034-0.000521306j -0.0159387+3.69649e-05j 0.0271581+0.00221775j -0.0123216-0.00348984j 5.01292e-05-4.87296e-05j -0.00546489-0.00023193j -0.0297548-0.00190277j 0.0543986+0.00362041j 0.0163493+0.00175705j -0.0115718+0.000260474j -0.0156465+0.000719487j -0.00534496-0.0022105j -0.0327172-0.00217926j 0.0419094-0.00386135j -0.014151-0.00234382j -0.0314735-0.00305742j 0.0375962+0.0035035j 0.00909672-0.00386255j 0.045812+0.00149008j -0.000180891-0.00626728j 0.0357879-0.00979257j -0.112157+0.00580756j 0.140507-0.00186627j 0.0358255-0.00202376j 0.0886076-0.000436109j -0.0211072+0.00227589j 0.0245981-0.00846143j 0.0244474-0.00260904j -0.00523961-0.00126749j -0.0289827-2.3801e-05j 0.0227037+0.000545705j 0.00890578-0.000290554j 0.016836+0.00127676j -0.0143314-0.000559748j 0.00043785+0.000792532j -0.0266487-0.00529506j 0.00601563+0.000470326j -0.0189715-0.00156164j 0.00274184-0.00165891j -0.0270911-0.00638021j 0.00433803+0.00197101j 0.0182832+0.00280171j -0.0238666+0.00493333j 0.0552327+0.000942231j 0.0808301-0.0014908j -0.016836+0.00772482j -0.0430806+0.000892066j 0.00248995-0.00168797j -0.0239637+0.00364402j -0.0312501+0.00474608j -0.00193251-0.00230714j -1.5572e-05-0.000897455j -0.00377935+0.00328666j 0.0112389+0.00602553j -0.0048731+0.00580997j -0.0312446-0.00290199j 0.0141902+0.00134319j 
-0.0538003-0.00124189j -0.00932309-0.00209973j -0.0749664-0.00160509j -0.130064-0.0024505j 0.0174447-0.00157718j 0.00520708+0.00167473j -0.0355274+1.59985e-14j 0.0993089-0.000771133j -0.0834981-0.00093923j 0.10816-0.000598044j 0.0583029-0.00144076j 0.0221617-0.00218864j 0.0903197+0.00108959j 0.0962992+0.00300588j 0.0307197+0.00287022j -0.130181-0.00117164j -0.00611177-0.00216859j -0.0832535+0.00054367j 0.337767-0.00595484j -0.194676+0.006684j -0.0512664+0.00495836j 0.0281042-0.00020267j 0.0110819+0.00138906j -0.0709771+0.000627626j -0.0400732-0.00296231j 0.0490997+0.00086798j 0.010118-0.00206285j -0.0308204+0.00115578j 0.0359854-0.00239429j 0.0162072+0.00221274j 0.0547187+0.00121798j -0.03073+0.00240705j 0.00708388-0.000703402j 0.0194451-0.000619465j 0.00913837+0.00183012j -0.0110827+0.00016032j -0.00341978-1.54897e-05j -0.0108605+0.00162279j 0.0260315+0.00408461j -0.00074469+0.000387973j -0.0144695+0.000903326j -0.000276593+0.00325673j -0.0238102+0.000437221j -0.00450893-0.000677787j -0.0187186+0.000259493j -0.0186714-0.00183624j -0.00835377-0.00148937j 0.0171252+0.000449963j -0.0330855+0.0072714j 0.024399+0.0012559j 0.0455984-0.000764403j -0.00239408+0.00145259j 0.0151668+0.000877052j -0.0175218-0.00207852j -0.05539+0.00445942j -0.0203925+0.0052844j 0.0613979-0.000863819j -0.0252134+0.00183388j -0.0121272-0.0017298j -0.033958-0.000970818j 0.0395188-0.00065549j 0.00361249+0.00184681j -0.0108726-0.000155807j 0.016921-0.00223559j 0.0139629-0.00256725j -0.023238-0.00125353j -0.00192482+0.000275518j -0.00494878+0.00047289j -0.0144458+0.00115899j 0.00232192-0.00122745j 0.00809741+0.00410353j -0.0101277-0.000379297j 0.0100557+0.00029065j -0.000450059-0.000707616j 0.0107607+0.00146122j 0.00484063+0.00273584j -0.0125224-0.00249343j -0.00306388+0.0016549j -0.0162556-0.0018617j -0.0524581+0.00115862j 0.0234004-0.00562858j 0.0147439-0.00131244j -0.00504713+0.000922616j 0.0246602-0.00295866j 0.00293729-0.000818289j -0.000897884-0.000175337j -0.00283168+0.0021011j 0.000725529-0.00102187j -0.0134529-0.00525681j -0.000581813-0.00412607j 0.0199658+0.00274641j -0.00043517-0.000923746j 
-0.0498936+0.000510761j -0.00872901-0.00159676j -0.0597858-0.00018568j -0.0631386+0.00387943j -0.0298507-0.000751716j 0.059176-0.000558619j 0.0993089+0.000771133j -0.0161762+1.32817e-14j 0.0332173+0.00337774j 0.0102194+0.00193616j -0.0908517+2.49974e-05j -0.03796+0.00302001j -0.128975+0.0027988j -0.160007+0.00107367j 0.120474+0.00329363j 0.0109969-0.00314446j -0.0165399-0.00186961j 0.467084+0.000813582j 0.0406409-0.00087185j -0.41094+0.00163112j -0.140606+0.00201561j -0.05579-0.000785094j 0.0287643+8.04572e-05j 0.0245985-0.00130728j -0.0614911+0.00303289j 0.00554738-0.000897223j -0.00247416-0.00073977j 0.00250147-0.000946738j -0.0504287+0.00578764j -0.0160104-0.00271428j -0.067646+0.000155721j 0.00952461+0.000796659j 0.0493606-0.00109158j 0.00612732+0.000922726j -0.0295784-0.00486517j -0.00519386-0.000737152j 0.00471596-0.00169269j 0.00812712-0.0011207j 0.00237642-0.00185417j 0.00854381+0.00406495j -0.0664192+0.000816595j 0.036489-0.00649333j -0.00750705-0.00133585j -0.00313149+0.00142348j -0.0397498-0.0057799j 0.00107681-0.000413004j 0.044641+0.000264308j 0.0262442-0.00438443j -0.0236791-0.00255405j 0.0347491-0.000999408j 0.0185572-0.00402685j 0.00908378-0.000932576j 0.0451082-0.00390125j 0.0475997-0.00297045j -0.025098-0.000576116j -0.0114893+0.00624345j 0.0010003-0.00271207j 0.0255736+0.000727934j -0.0411214-0.0013301j 0.0130201-0.000506145j 0.00756515+0.000331598j 0.00712053-0.000759107j 0.000910782-0.00218409j -0.00833936-0.000587372j -0.00288898-0.00171394j 0.0093421+0.000376633j -8.98905e-05-0.00114224j 0.004669+0.00452396j -0.00535512-0.000504816j 0.00290404+0.000623209j -0.0205012-0.000323777j -0.00044026-7.85911e-05j -0.0165696-0.000351784j -0.00227863-0.00557365j -0.00316648+0.00639786j 0.0021631+0.00399926j 0.00438282-0.00130837j 0.00693643+6.5776e-05j 0.0117943-0.00228839j 0.000639674-0.00268342j 0.0140872-0.00141076j -0.0364451-0.000457853j -0.00228758+0.000578914j -0.00108881+0.00022368j -0.015154+0.00242183j 0.000594151-0.000597285j -0.00123394+0.00224622j 0.00252486-0.00156365j 0.00266903+0.000479334j 0.00227408+0.00203749j -0.000941443+0.00110052j 0.012268+0.000506094j 
0.048541-0.00102371j 0.0388089+0.000788852j 0.114523-0.00110533j 0.111129-0.000362572j -0.0119553+0.00130956j -0.00951438-0.00276784j -0.0834981+0.00093923j 0.0332173-0.00337774j 0.12939-4.92228e-16j 0.158434+0.00472629j -0.0666874-0.00142746j -0.0362446-0.00295811j 0.109525+0.00161315j 0.0517745+0.00596285j -0.286098-0.00197189j 0.139189-0.000794887j -0.230845+8.82301e-05j 0.303948-0.00843687j 0.19267-0.00058753j -0.125194+0.00297647j -0.0201647-0.00434298j -0.0184763+0.00125521j -0.0467348-0.00122346j -0.0513232+0.00389241j 0.108931+0.00192563j -0.0462892+0.00413967j 0.0111482+0.00473711j 0.026168-0.000234247j 0.0203389-0.000304647j 0.0214037+0.000298427j -0.0334902+0.00220047j -0.0247656+0.00107467j -0.0141993+0.000672059j -0.00527264-0.000162356j -0.0131906-0.00171091j 0.0376775+0.00172342j -0.0250283-0.000748615j 0.00881177+0.000917341j 0.0306198+0.00241264j 0.0105906+0.000594153j -0.0483943-0.000144792j 0.0261587+0.000219305j -0.011361+0.000596847j 0.00130432+0.0012311j -0.0117144+0.000741596j -0.0109825-0.000729688j -0.00552034-0.00153023j 0.0487091-0.0018172j -0.00786463-0.000796862j 0.0111632+0.00079303j 0.0171122-0.000185686j -0.0136923+0.00179339j 0.000781905-0.00134829j 0.00253759+0.00142909j 0.0101476-0.00372494j 0.00983343+0.00114344j -0.0523071+0.000144438j -0.000797499-0.00384311j -0.00375465-0.000753311j -0.000727034+0.000638352j -0.0174648-0.00135451j -0.0222903+0.00232222j -0.0108075-0.000694166j -0.0141786+0.00093877j 0.0101701+0.00280652j 0.0037634-0.00030925j -0.0035235-0.00137143j -0.0111812+0.00204268j 0.00814322+0.00162534j 0.00327912-0.000246904j 0.00970407+0.00122751j 0.00203591+0.000292374j 0.0102289-0.0019257j 0.00344634-0.00368477j 0.00467628+0.000613854j -0.0180659-0.00037636j -0.00431749-0.000178803j 0.010656-0.00318983j -0.0158457+0.000255656j 0.0139022-1.65821e-08j -0.0101412+0.00105108j -0.00266454+0.00226595j -0.00418843-0.000213978j 0.00230125+0.00203075j 0.0214239-0.00186757j -2.37713e-05+0.00200419j -1.21662e-05-0.000952308j -0.00241914-0.00153528j 0.00688045+0.000906704j 0.0028234+0.000536597j -0.00177622-0.000924072j -0.00387246+0.000365435j 
0.0133742+0.000537089j -0.0228177-0.00051582j -0.00590749-0.00169004j -0.0148801+0.000806789j 0.02437+0.001629j -0.0174889+0.00086418j 0.10816+0.000598044j 0.0102194-0.00193616j 0.158434-0.00472629j 0.170955+6.18017e-14j -0.0537368-0.000647339j -0.0827913-0.00341713j -0.117419-0.000687141j 0.0691326+0.00384835j -0.248431-3.87725e-05j -0.14309+0.00117921j 0.625217-0.00232595j 0.0161795-0.00133397j -0.160674-0.0017862j 0.281703+0.00428195j 0.00696279+0.00170625j 0.019704+0.00145229j -0.00251872+0.000999553j 0.0337111+0.00313532j 0.0467482-0.000346368j 0.00565021+0.00308408j 0.0069753+0.00572101j -0.0942225-0.000232877j 0.0331659+0.00141642j -0.0113614+0.00311503j -0.0611589+0.0012251j -0.00619894-0.000476823j 0.00483121+0.000932998j -0.0175798-0.000721818j 0.0222587+7.21454e-05j -0.0686409+0.00087178j -0.0363333-0.00139468j 0.0144368-0.00200918j 0.0440531-0.00130476j -0.00718037-0.00413988j 0.0372046-0.0022801j 0.00792461-0.000207104j 0.0255327+0.0018939j -0.0321477-0.000196083j 0.0143629+0.00147193j -0.0117835+4.11685e-05j 0.0350469-0.00148299j -0.0139253-0.00136284j 0.0474689-0.00295288j -0.0296305-0.00373599j 0.018059-0.000892247j 0.0103271-0.000142387j -0.0285909-0.0051828j -0.0316954+0.0025641j -0.00908099-0.00375236j -0.00496362-0.00415246j -0.00993996-0.00333645j -0.0454493+0.00229784j 0.0204598+0.00121894j -0.00570569-0.00106329j -0.000592589-0.00055605j 0.00423155-0.000171943j 0.000216658-0.00251881j 0.0122464-0.0026511j -0.00973723-0.00480764j 0.00159623-0.00109098j 0.00400812+0.00165671j 0.00058704+0.000471228j 0.00501576+0.000491032j -0.00317151-0.000177044j 0.00845524+0.0011396j -0.00158578+0.000805654j -0.000649215-0.000861038j -0.0049251+0.00142022j 0.0016202-9.37337e-05j -0.0161788+0.00175532j 0.00505245-0.000182996j 0.00834792+0.000437625j -0.0106485+0.000323765j -0.00732715+0.000992039j -0.00930823+0.000947136j 0.0160747+4.52363e-05j 0.0079672-0.00011017j -0.00152903-0.000592154j 0.0043562-0.000142513j 0.00635588+0.000443668j -0.000522594+0.000899883j 0.00428786-0.00026183j 0.00272668+0.000214546j 0.00358785-0.000670393j 0.00283127-7.97857e-05j -0.00676989-0.000382117j 
-4.93187e-05+0.000640495j 0.00719654+0.000463077j 0.0136722+0.00232797j -0.0576778-0.000692658j -0.018868+0.000461442j 0.0199547-0.000292633j 0.0583029+0.00144076j -0.0908517-2.49974e-05j -0.0666874+0.00142746j -0.0537368+0.000647339j 0.00862201-9.80683e-15j -0.0547991+0.00150476j 0.138592+0.000317385j -0.131214-0.00126306j -0.329373+0.000103406j -0.727909+0.000620355j -0.0519746+7.71232e-05j 0.209758+0.000671348j 0.253286-0.000199139j 0.0278797-0.000997237j 0.0352397-0.00143666j -0.0442556+0.000496207j 0.01903+1.0267e-05j 0.0432409+5.1776e-05j -0.0640231+0.00166156j 0.00433173+0.000617435j 0.00544262-0.00133164j -0.00425516-0.00206923j 0.0337716+0.000685227j -0.0199263-0.00150635j -0.011858+0.000427838j -0.0150434+0.00225171j 0.0140629+0.00109329j -0.0195721+0.000543204j 0.0403068-0.00196149j -0.0159607+0.00249187j -0.00686258+8.97628e-05j 0.0162759-0.00343154j 0.0358829+0.000863778j 0.00311872-0.000434694j -0.0117314-0.00148206j -0.0096965+0.00131681j 0.0292585+0.00108384j -0.0335175+0.000258761j -0.00941606-0.00244383j -0.0448061+4.55424e-05j 0.00863849-0.000750715j 0.0296441-0.00185574j 0.00374702+0.000639745j 0.00516827+0.000612848j 0.0283715-0.003545j 0.00149802+0.00014819j 0.0199855-0.00118801j 0.00585464+0.00215667j 0.000911789-0.00275214j -0.0111704+0.00254905j -0.0131553+0.000164767j 0.00344281-0.00121913j -0.00422915+0.000875715j 0.0067814+0.000289886j -0.0126513-0.00055034j 0.00996242-0.00013911j 0.00295632-0.00189361j 0.00446093-0.00146087j -0.0016212-0.00476428j 0.000739397-0.000179821j 0.000202753+0.00158965j 0.00121835+3.34621e-05j 0.0011359-0.00157896j 0.00536971-0.000703356j -0.000888606+0.000231405j -0.00344739-1.43992e-05j -0.00666516-0.00066069j 0.00929124+0.0014115j -0.0020295+0.00189843j -0.00489108+0.0038266j -0.00223618-0.000110594j -0.0027858+0.000431826j 0.00807984-0.0011705j -0.00381607+0.000309745j 0.000569643-0.000231988j 0.00163357+0.000253878j 0.00597644-8.34836e-05j -0.00388516-2.56154e-05j -0.00388756+0.000229042j 0.00255857-0.000630605j -0.00352875+0.0013952j -0.00156967+0.000849768j 0.000167613+0.000207992j -0.00123434+0.000410597j -0.0013139-0.000196544j -0.000866352+0.000110343j 
