-0.00537914-0j 0.101353-0j -0.000868056-0j -8.85955e-05-0j 0.0146291-0j -1.04411e-05-0j -4.76568e-07-0j 
0.000950907-0j -0.0119028-0j -0.00721224-0j 0.140594-0j -0.00171803-0j 0.0250744-0j -2.01348e-05-0j 
-7.92423e-05-0j -1.04411e-05-0j 0.00182864-0j 0.000186634-0j -0.0204008-0j 0.0957495-0j 0.0456193-0j 
0.00470675-0j 0.000620169-0j -0.145074-0j 7.75211e-05-0j 8.95137e-05-0j 9.13595e-06-0j 4.16997e-07-0j 
-0.000480381-0j 0.0120895-0j -7.75211e-05-0j -0.142803-0j -9.13595e-06-0j 0.000178095-0j -4.25596e-08-0j 
-0.000784458-0j 0.0147807-0j 0.0059498-0j 0.000607249-0j -0.202674-0j 0.00021774-0j 1.66104e-05-0j 
9.80573e-05-0j -0.00122742-0j -0.00150327-0j 0.0293046-0j 0.00823712-0j -0.24477-0j 0.000396156-0j 
-5.77808e-06-0j -7.61329e-07-0j 0.000178095-0j 1.81767e-05-0j -0.00299611-0j 0.0288443-0j -0.312647-0j 
