-0.11703-0j -0.0219292-0j -0.00918824-0j -0.00237239-0j -0.00384984-0j -0.00121743-0j -0.000181483-0j -0.0212328-0j -0.0154092-0j -0.00397863-0j -0.00913069-0j -0.00288738-0j -0.000430425-0j -0.00625136-0j -0.00197685-0j -0.000294692-0j -0.012182-0j -0.00314538-0j -0.0102084-0j -0.00322819-0j -0.00048123-0j -0.00856002-0j -0.00270692-0j -0.000403523-0j 
0.0275843-0j 0.00516876-0j -0.0636266-0j 0.000559179-0j -0.0407033-0j -0.00843041-0j 4.2776e-05-0j 0.00500463-0j -0.106705-0j 0.000937771-0j -0.0965363-0j -0.0199945-0j 0.000101452-0j -0.0660939-0j -0.0136893-0j 6.94595e-05-0j -0.0843577-0j 0.000741373-0j -0.107931-0j -0.0223545-0j 0.000113427-0j -0.0905028-0j -0.0187448-0j 9.51114e-05-0j 
0.0337837-0j -0.0892242-0j 0.00265242-0j -0.0199902-0j 0.00111135-0j -0.00495339-0j -0.00232-0j -0.086391-0j 0.00444824-0j -0.0335246-0j 0.0026358-0j -0.011748-0j -0.00550237-0j 0.00180461-0j -0.00804331-0j -0.00376722-0j 0.00351664-0j -0.0265035-0j 0.00294692-0j -0.0131347-0j -0.00615184-0j 0.00247107-0j -0.0110138-0j -0.00515847-0j 
-0.00616803-0j 0.01629-0j 0.0289389-0j 0.00364969-0j -0.000202904-0j -0.0540435-0j 0.000423573-0j 0.0157728-0j 0.0485321-0j 0.00612072-0j -0.00048123-0j -0.128175-0j 0.00100459-0j -0.000329475-0j -0.0877557-0j 0.000687797-0j 0.038368-0j 0.00483885-0j -0.000538031-0j -0.143305-0j 0.00112317-0j -0.000451153-0j -0.120165-0j 0.000941804-0j 
-0.00712222-0j 0.0389548-0j -0.000559179-0j -0.0572193-0j 0.0105095-0j 0.00216262-0j -0.0141097-0j 0.0377178-0j -0.000937771-0j -0.0959597-0j 0.0249256-0j 0.00512911-0j -0.033464-0j 0.0170654-0j 0.00351166-0j -0.0229112-0j -0.000741373-0j -0.0758628-0j 0.0278676-0j 0.00573452-0j -0.0374139-0j 0.0233677-0j 0.00480854-0j -0.0313725-0j 
0.00130033-0j -0.01079-0j -0.00299939-0j 0.0336749-0j 4.2776e-05-0j 0.0175989-0j -0.0336126-0j -0.0104474-0j -0.00503012-0j 0.0564746-0j 0.000101452-0j 0.0417395-0j -0.0797193-0j 6.94595e-05-0j 0.0285771-0j -0.0545801-0j -0.00397666-0j 0.0446471-0j 0.000113427-0j 0.0466661-0j -0.0891289-0j 9.51114e-05-0j 0.0391308-0j -0.0747368-0j 
-0.000106172-0j 0.0014816-0j -8.33574e-06-0j -0.00948501-0j -3.49264e-06-0j 8.2253e-05-0j 0.0317613-0j 0.00143455-0j -1.39795e-05-0j -0.0159068-0j -8.28353e-06-0j 0.00019508-0j 0.0753285-0j -5.67135e-06-0j 0.000133562-0j 0.0515739-0j -1.10517e-05-0j -0.0125755-0j -9.26127e-06-0j 0.000218106-0j 0.0842198-0j -7.76581e-06-0j 0.000182888-0j 0.0706205-0j 
0.00620497-0j -0.0182202-0j -0.0157555-0j -0.00406805-0j -0.0100043-0j -0.00316364-0j -0.000471607-0j 0.0198931-0j 0.000816998-0j 0.000210948-0j -0.00758636-0j -0.00239902-0j -0.000357624-0j 0.00585692-0j 0.00185212-0j 0.000276098-0j 0.0114134-0j 0.00294692-0j 0.000541254-0j 0.000171159-0j 2.55149e-05-0j 0.00801992-0j 0.00253612-0j 0.000378063-0j 
-0.000924982-0j 0.0027161-0j 0.00234869-0j 0.00060643-0j -0.135284-0j 0.000471607-0j 7.03031e-05-0j -0.00296549-0j -0.000121791-0j -3.14463e-05-0j -0.102587-0j 0.000357624-0j 5.33115e-05-0j 0.079201-0j -0.000276098-0j -4.11582e-05-0j -0.0017014-0j -0.000439301-0j 0.00731917-0j -2.55149e-05-0j -3.80354e-06-0j 0.10845-0j -0.000378063-0j -5.63582e-05-0j 
-0.00138747-0j 0.00407415-0j -0.103505-0j 0.000909645-0j 0.00223703-0j -0.0207833-0j 0.000105455-0j -0.00444824-0j 0.00536721-0j -4.71694e-05-0j 0.00169636-0j -0.0157602-0j 7.99672e-05-0j -0.00130965-0j 0.0121674-0j -6.17374e-05-0j 0.0749793-0j -0.000658951-0j -0.000121028-0j 0.00112442-0j -5.70531e-06-0j -0.00179331-0j 0.0166609-0j -8.45374e-05-0j 
0.000146253-0j -0.000429453-0j 0.0334738-0j -9.5885e-05-0j -0.000235804-0j 0.00672139-0j -1.11159e-05-0j 0.000468886-0j -0.00173577-0j 4.97209e-06-0j -0.000178812-0j 0.00509689-0j -8.42928e-06-0j 0.000138049-0j -0.00393497-0j 6.50769e-06-0j -0.0242486-0j 6.94595e-05-0j 1.27575e-05-0j -0.000363641-0j 6.01393e-07-0j 0.000189031-0j -0.00538818-0j 8.91102e-06-0j 
