-0.0161512-0j -0.00417022-0j -0.0135346-0j -0.00428001-0j -0.000638026-0j -0.00850641-0j -0.00155305-0j -0.00253612-0j -0.000567094-0j -5.97769e-05-0j -0.00450834-0j -0.00106262-0j -0.00130144-0j -0.00023761-0j -0.000274369-0j -5.00926e-05-0j -4.09004e-06-0j -0.00823629-0j -0.00150373-0j -0.00245559-0j -0.000549086-0j -5.78788e-05-0j -0.00756071-0j -0.00178208-0j -0.00218259-0j -0.000398484-0j -0.00046013-0j -8.40079e-05-0j -6.85921e-06-0j -0.00597726-0j -0.00140885-0j -0.00172549-0j -0.000315029-0j -0.000363765-0j -6.6414e-05-0j -5.42268e-06-0j 
0.00208511-0j 0.000538374-0j 0.00174731-0j 0.000552547-0j 8.23689e-05-0j -0.134037-0j 0.000200498-0j 0.000327412-0j 7.32115e-05-0j 7.71717e-06-0j 0.000582024-0j 0.000137184-0j -0.020507-0j 3.06753e-05-0j 3.54208e-05-0j 6.46693e-06-0j 5.28022e-07-0j -0.12978-0j 0.000194131-0j 0.000317015-0j 7.08867e-05-0j 7.47212e-06-0j 0.000976083-0j 0.000230065-0j -0.0343913-0j 5.14441e-05-0j 5.94025e-05-0j 1.08454e-05-0j 8.85521e-07-0j 0.000771662-0j 0.000181882-0j -0.0271887-0j 4.06701e-05-0j 4.69618e-05-0j 8.57402e-06-0j 7.00066e-07-0j 
0.0030455-0j 0.000786345-0j -0.114478-0j 0.000807047-0j 0.000120307-0j 0.00160398-0j 0.000292846-0j -0.021451-0j 0.000106932-0j 1.12716e-05-0j -0.0649422-0j -0.00898787-0j 0.000245403-0j 4.48042e-05-0j -0.00232066-0j 9.44555e-06-0j 7.71226e-07-0j 0.00155305-0j 0.000283547-0j -0.0207698-0j 0.000103537-0j 1.09137e-05-0j -0.108911-0j -0.0150731-0j 0.000411553-0j 7.51389e-05-0j -0.00389186-0j 1.58407e-05-0j 1.29339e-06-0j -0.086102-0j -0.0119163-0j 0.000325361-0j 5.94025e-05-0j -0.00307679-0j 1.25232e-05-0j 1.02251e-06-0j 
-0.100036-0j 0.00087916-0j 0.00285334-0j -0.0265092-0j 0.000134508-0j 0.00179331-0j -0.0195657-0j 0.000534661-0j -0.00351242-0j 1.26021e-05-0j 0.00095044-0j -0.00658159-0j 0.000274369-0j -0.00299347-0j 5.7842e-05-0j -0.000310259-0j 8.62257e-07-0j 0.00173636-0j -0.0189444-0j 0.000517684-0j -0.00340088-0j 1.22019e-05-0j 0.00159394-0j -0.0110377-0j 0.00046013-0j -0.0050202-0j 9.70039e-05-0j -0.000520321-0j 1.44605e-06-0j 0.00126012-0j -0.00872604-0j 0.000363765-0j -0.00396882-0j 7.66883e-05-0j -0.00041135-0j 1.1432e-06-0j 
0.0149125-0j -0.000131057-0j 0.0385847-0j 0.00395175-0j -2.00512e-05-0j -0.000267331-0j 0.00291668-0j 0.00723003-0j 0.0005236-0j -1.87861e-06-0j -0.000141683-0j -0.0890005-0j -4.09004e-05-0j 0.00044624-0j 0.000782175-0j 4.62507e-05-0j -1.28538e-07-0j -0.000258842-0j 0.00282407-0j 0.00700044-0j 0.000506974-0j -1.81895e-06-0j -0.00023761-0j -0.149258-0j -6.85921e-05-0j 0.000748368-0j 0.00131175-0j 7.75648e-05-0j -2.15564e-07-0j -0.000187847-0j -0.117999-0j -5.42268e-05-0j 0.000591637-0j 0.00103703-0j 6.13204e-05-0j -1.70419e-07-0j 
0.0321725-0j -0.000139007-0j -0.000451153-0j 0.0085256-0j -2.12675e-05-0j 0.0171623-0j -0.0893157-0j -8.45374e-05-0j 0.00112963-0j -1.99256e-06-0j -0.000150278-0j 0.0021167-0j 0.00262575-0j -0.0136649-0j -9.14562e-06-0j 9.97824e-05-0j -1.36335e-07-0j 0.0166173-0j -0.0864795-0j -8.18529e-05-0j 0.00109376-0j -1.92929e-06-0j -0.000252024-0j 0.00354982-0j 0.00440352-0j -0.0229168-0j -1.53377e-05-0j 0.00016734-0j -2.2864e-07-0j -0.000199242-0j 0.00280638-0j 0.00348129-0j -0.0181173-0j -1.21255e-05-0j 0.000132294-0j -1.80756e-07-0j 
-0.00483613-0j 1.0361e-05-0j 3.36269e-05-0j -0.00128156-0j 1.58519e-06-0j 2.11343e-05-0j 0.0417994-0j 6.30104e-06-0j -0.000169804-0j 1.48517e-07-0j 1.1201e-05-0j -0.00031818-0j 3.23346e-06-0j 0.00639513-0j 6.81674e-07-0j -1.49991e-05-0j 1.01618e-08-0j 2.04632e-05-0j 0.0404721-0j 6.10096e-06-0j -0.000164412-0j 1.43801e-07-0j 1.87847e-05-0j -0.000533604-0j 5.42268e-06-0j 0.010725-0j 1.1432e-06-0j -2.51543e-05-0j 1.70419e-08-0j 1.48506e-05-0j -0.000421851-0j 4.28701e-06-0j 0.00847883-0j 9.03781e-07-0j -1.98862e-05-0j 1.34728e-08-0j 
0.00445816-0j -0.0335993-0j 0.0037359-0j -0.0166512-0j -0.00779888-0j 0.00234799-0j 0.000428683-0j -0.00986669-0j -0.00456905-0j -0.00097974-0j 0.00124442-0j 0.000293312-0j -0.00506322-0j -0.000924414-0j -0.00221057-0j -0.000612304-0j -8.40767e-05-0j 0.00227343-0j 0.00041507-0j -0.00955338-0j -0.00442396-0j -0.000948629-0j 0.00208695-0j 0.0004919-0j -0.00849128-0j -0.00155029-0j -0.00370725-0j -0.00102687-0j -0.000141001-0j 0.00164988-0j 0.000388881-0j -0.00671295-0j -0.00122561-0j -0.00293084-0j -0.000811808-0j -0.000111471-0j 
-0.00087916-0j 0.00662587-0j 0.0330469-0j 0.00328367-0j 0.00153796-0j 0.0280259-0j -8.45374e-05-0j -0.0872785-0j 0.000901029-0j 0.000193207-0j -0.000245403-0j 0.00259458-0j -0.0604351-0j 0.000182297-0j -0.0195542-0j 0.000120748-0j 1.65801e-05-0j 0.0271359-0j -8.18529e-05-0j -0.0845071-0j 0.000872417-0j 0.000187072-0j -0.000411553-0j 0.00435123-0j -0.101353-0j 0.000305721-0j -0.0327935-0j 0.000202501-0j 2.78058e-05-0j -0.000325361-0j 0.00343995-0j -0.0801264-0j 0.000241694-0j -0.0259255-0j 0.000160091-0j 2.19824e-05-0j 
0.0282944-0j 0.00725828-0j -0.000807047-0j -0.10568-0j 0.00168475-0j -0.000507224-0j 0.00553402-0j 0.00213145-0j -0.0289982-0j 0.000211648-0j 0.0205365-0j 0.00186156-0j 0.00109378-0j -0.0119336-0j 0.000477539-0j -0.00388609-0j 1.81626e-05-0j -0.000491118-0j 0.00535829-0j 0.00206377-0j -0.0280774-0j 0.000204927-0j 0.0344408-0j 0.00312192-0j 0.00183433-0j -0.0200132-0j 0.000800857-0j -0.00651718-0j 3.04597e-05-0j 0.0272278-0j 0.0024681-0j 0.00145016-0j -0.0158219-0j 0.000633133-0j -0.00515228-0j 2.40805e-05-0j 
-0.00959199-0j -0.00120971-0j -0.00603352-0j 0.0358261-0j -0.000280792-0j 8.45374e-05-0j 0.0266288-0j 0.0159348-0j 0.00983059-0j -3.52747e-05-0j 4.48042e-05-0j 0.0283079-0j -0.000182297-0j -0.0574225-0j 0.0035701-0j 0.00131741-0j -3.02711e-06-0j 8.18529e-05-0j 0.0257832-0j 0.0154288-0j 0.00951842-0j -3.41546e-05-0j 7.51389e-05-0j 0.0474737-0j -0.000305721-0j -0.0963004-0j 0.00598724-0j 0.00220936-0j -5.07661e-06-0j 5.94025e-05-0j 0.0375313-0j -0.000241694-0j -0.0761321-0j 0.00473333-0j 0.00174665-0j -4.01341e-06-0j 
-0.00087916-0j -0.0899622-0j -0.00073673-0j 0.00680031-0j -0.0443674-0j -0.00046303-0j -8.45374e-05-0j 0.00402952-0j -0.0122336-0j -0.00850681-0j -0.000245403-0j -5.7842e-05-0j 0.0020678-0j 0.000377527-0j -0.00591882-0j -0.00348337-0j -0.000981138-0j -0.000448327-0j -8.18529e-05-0j 0.00390157-0j -0.0118452-0j -0.00823668-0j -0.000411553-0j -9.70039e-05-0j 0.00346781-0j 0.000633133-0j -0.00992616-0j -0.00584178-0j -0.00164542-0j -0.000325361-0j -7.66883e-05-0j 0.00274155-0j 0.000500535-0j -0.00784732-0j -0.00461834-0j -0.00130082-0j 
0.000131057-0j 0.0134108-0j -0.00996252-0j -0.00101373-0j 0.00661391-0j 6.90245e-05-0j 1.26021e-05-0j 0.0544897-0j 0.00182368-0j 0.00126812-0j 3.65825e-05-0j -0.000782175-0j -0.00030825-0j -5.62785e-05-0j -0.080038-0j 0.00051927-0j 0.000146259-0j 6.68327e-05-0j 1.22019e-05-0j 0.0527595-0j 0.00176577-0j 0.00122785-0j 6.13507e-05-0j -0.00131175-0j -0.000516951-0j -9.43819e-05-0j -0.134228-0j 0.000870842-0j 0.000245285-0j 4.8502e-05-0j -0.00103703-0j -0.000408686-0j -7.46154e-05-0j -0.106116-0j 0.000688461-0j 0.000193914-0j 
