0.999998+5.42101e-20j 0.524998-0.000293442j 0.0177821-0.207318j 0.295413+0.000497729j -0.114638-0.0252785j -0.0176677-0.207725j 0.0767089+0.030752j -0.0619201+0.00177579j -0.0378059+0.177959j 0.218146+0.00106268j 0.0648575+0.0014508j -0.0832888-0.0592891j 0.035668+0.178209j -0.0616305+0.00461642j 0.0769023-0.0309285j 0.0187373-0.0260294j -0.010097+0.0219575j 0.0747036+0.0496517j -0.0406101+0.0280529j 0.0508638+0.00766348j -0.0218619+0.0940181j -0.0448396-0.00290035j 0.0317435-0.118267j -0.00231477+0.0222675j -0.0417572-0.00439j 0.132362+0.00225669j -0.0115244+0.0846346j -0.119928-0.00149729j -0.000305377-0.0300637j -0.0307289-0.000242466j -0.0410128+0.00362704j -0.00102053+0.0223722j -0.0282974-0.120038j 0.0448679-0.00328111j 0.0183528+0.0928075j 0.050349-0.00921699j -0.0408235-0.0291471j -0.0752094+0.0486566j -0.00997064-0.0219959j 0.0183429+0.0257748j 
0.524998+0.000293442j -0.174368+4.31968e-15j -0.161776+0.305713j 0.310445-0.00137086j -0.289292-0.0645842j 0.163816+0.306473j -0.198267-0.11975j -0.0287798+0.0928606j 0.0661697-0.0225572j 0.0750161+0.000315365j 0.11541-0.000597063j -0.167872-0.119736j -0.0659688-0.0231137j -0.038146-0.0896527j -0.196055+0.121841j -0.092144+0.0729629j 0.0554928-0.0258331j -0.0692196-0.0968117j 0.0542462-0.0357706j 0.090479-0.0286801j 0.0163769+0.0752625j 0.00902019+0.0505599j 0.00336446+0.040534j -0.0216789+0.0320067j -0.0517317+0.00770767j 0.0658373+7.04425e-05j -0.0188713+0.137496j 0.00287954+0.000574013j -0.000261912-0.0121665j 0.0993667+0.00015158j -0.0523525-0.00943635j 0.0149048+0.0349633j -0.00410518+0.0398894j -0.00873324+0.0507464j -0.0165433+0.0746203j 0.0918112+0.0252816j 0.0559294+0.0349215j 0.0688738-0.0969585j 0.0552745+0.0261447j -0.0923147-0.071749j 
0.0177821+0.207318j -0.161776-0.305713j 0.0088498-1.00475e-13j 0.228062-0.167852j 0.0425091-0.295316j 0.227218+0.446957j -0.0747516-0.00275666j -0.130577-0.0341137j 0.150666+0.0933135j -0.0672504+0.201428j 0.10553-0.0184464j 0.10879-0.0600453j 0.118684-0.0533712j -0.082902+0.198362j -0.00389944+0.107524j -0.0309912+0.040408j 0.00128335+0.0500708j 0.0124345-0.0526381j -0.104917-0.0696415j 0.077518-0.0158445j 0.0538284-0.010059j -0.0052448-0.0500813j 0.0246493-0.0253921j -0.0257703-0.00156846j 0.0582265-0.172018j 0.0153341+0.0155994j -0.0737856-0.0239392j 0.0334955+0.097314j -0.0454524+0.0483709j 0.154309-0.0168415j -0.0267822-0.124922j -0.0102411-0.0375327j -0.0527663-0.0814371j 0.13947-0.0969507j -0.0164409-0.110373j -0.100206-0.0331963j -0.0305552-0.00976782j 0.00209862+0.0212568j -0.0249829-0.11995j -0.184372-0.00814989j 
0.295413-0.000497729j 0.310445+0.00137086j 0.228062+0.167852j 0.160647-5.54694e-11j 0.496488+0.111483j -0.229143+0.166965j 0.137518+0.0706485j 0.080413-0.033936j 0.0320467-0.20443j 0.177959-0.00255217j 0.0176208-0.00161997j -0.10616-0.0748661j -0.0355014-0.203878j 0.0830641+0.0229865j 0.135266-0.0718994j 0.0624814-0.0550669j -0.0147781-0.0445408j -0.0656418+0.000424763j 0.0385939+0.0851956j -0.0536983-0.0300291j 0.0339712-0.13688j -0.0183724+0.0446293j 0.00229053-0.0545479j -0.0881459-0.0281596j 0.117251+0.00323847j 0.0637564-0.000513118j -0.0141628+0.110418j -0.1614-0.0015564j 0.000793091-0.0813963j 0.263234-0.000903857j 0.118404-0.00113779j 0.0932567-0.0120206j -0.00193709-0.0519027j 0.0168909+0.0452919j -0.0324938-0.138311j -0.0516309+0.033677j 0.0364593-0.0847775j 0.0659883-0.00141702j -0.0150346+0.0439049j 0.0638467+0.0538929j 
0.11452+0.025805j 0.289332+0.0644019j 0.0869458-0.285411j -0.496831-0.109947j -0.147421-0.0691628j 0.0408323-0.297475j 0.0751053-0.117922j -0.0897982-0.0976921j -0.0402273+0.00300388j -0.151986-0.0347492j 0.197378+0.0441344j -0.0089752-0.0111203j 0.0338975+0.0187972j -0.117288+0.0636646j 0.0175622+0.136832j -0.0402647-0.0155494j -0.058548+0.0983684j -0.0334416-0.0296698j -0.0367379-0.00106343j 0.131626-0.0141601j -0.0176372-0.121357j 0.118543-0.0831285j -0.0594034-0.0954774j -0.150141-0.0989707j -0.023576+0.0371685j 0.0652468+0.0147578j -0.00832496+0.0211756j 0.0845655+0.018908j 0.00707783-0.0322797j -0.0598139-0.0139801j -0.00688675-0.0412619j 0.179101+0.00105366j 0.0930451-0.0591595j -0.0755025-0.124284j 0.0669383-0.10436j 0.117765+0.0644072j -0.0333244-0.0138758j 0.0434306-0.0119231j -0.0111047-0.113334j -0.0431462-0.00213241j 
-0.0176677+0.207725j 0.163816-0.306473j 0.227218-0.446957j -0.229143-0.166965j 0.0893805-0.286652j 0.00707911-1.08191e-13j 0.00821778+0.104415j 0.10205+0.187999j 0.118053+0.0492351j 0.0711586+0.200844j -0.103875-0.0180218j 0.0205161-0.121938j 0.150115-0.0968567j 0.125596-0.0466706j 0.0755063-0.00292181j 0.186012-0.0113215j 0.0259053-0.120908j 0.000653102-0.0229982j 0.0330558-0.00749618j 0.0991495-0.0367275j -0.0145147+0.106967j 0.139406+0.0968328j -0.0512055+0.0813155j -0.0201206+0.0328465j 0.0270792-0.12592j -0.0142809+0.0155102j -0.0768996+0.00439906j -0.0331431+0.0964353j -0.0470322-0.0478864j -0.154117-0.0167469j -0.0570333-0.172397j -0.0241466-0.000971931j 0.0230455+0.023322j -0.00411866+0.0499229j 0.0539893+0.00804861j -0.078676-0.0123996j 0.102779-0.0706093j 0.0139044+0.0516275j -0.00190141+0.0491949j 0.0318869+0.0405991j 
0.0767089-0.030752j -0.198267+0.11975j -0.0747516+0.00275666j 0.137518-0.0706485j -0.0179091-0.138657j 0.00821778-0.104415j 0.00113633-1.15463e-14j 0.0211201-0.00266534j -0.0329361+0.0044535j -0.0719968-0.0267446j -0.103186+0.0216804j -0.0801687+0.080276j -0.207232+0.199612j 0.227479+0.0214631j -0.136265-0.526914j 0.0027032-0.00821083j -0.00491408-0.01579j 0.00870926+0.0484173j 0.071191+0.0370751j 0.00225128-0.0491754j 0.0435522-0.000321673j 0.0184761+0.0532811j -0.0186665+0.0611131j -0.0344291-0.0825318j 0.0259363-0.0291922j 0.0426225-0.00760022j -0.0155299+0.0498806j -0.140683-0.131736j 0.0821287+0.0868024j -0.00620234-0.0673578j 0.0200783+0.107107j -0.0596649+0.0887884j 0.0326863+0.132316j -0.0107924-0.143786j -0.0304198+0.0122519j -0.08177+0.050512j -0.0746513+0.185344j -0.0193693+0.0672638j 0.0864432-0.0913342j 0.00481139+0.122184j 
-0.0618673+0.00311333j -0.036014-0.0903015j -0.12748+0.044306j 0.0828391+0.0274882j 0.118439-0.05983j 0.0869052-0.195462j 0.0212645+0.000991319j 0.0199846-0.0015811j -0.0701161-0.000232313j 0.205974+0.0713569j -0.131582+0.0151773j 0.16454+0.118508j 0.215729-0.334914j -0.262618-0.164585j 0.231945+0.0241556j -0.00431988-0.00143379j -0.0786155-0.0128867j 0.0462556+0.0411721j 0.118861+0.0944228j -0.0480207-0.0291452j -0.000305623+0.00426928j 0.0989621-0.0308791j 0.0305802-0.0314457j -0.0294406-0.107679j -0.0518982+0.0639025j -0.0551276+0.0302505j 0.0294264-0.0127244j 0.0194697-0.0923421j -0.12216-0.111359j 0.0250092-0.0862104j -0.118642+0.0355148j -0.161337+0.193447j -0.118575-0.021939j 0.127261+0.0804746j -0.106053-0.0910711j -0.0585681+0.012992j -0.1537+0.257971j -0.0349046+0.0322035j 0.0173675+0.00159926j -0.211817+0.0213256j 
-0.0378059-0.177959j 0.0661697+0.0225572j 0.150666-0.0933135j 0.0320467+0.20443j 0.0351427+0.0198053j 0.118053-0.0492351j -0.0329361-0.0044535j -0.0698794+0.00576159j 0.0671588-1.21431e-14j -0.131839+0.0209085j -0.127441+0.209719j -0.0413448+0.16527j -0.0140782+0.209446j -0.209959+0.339331j 0.211295-0.197075j 0.00397651+0.0113866j 0.0236732+0.0420885j 0.0431739-0.0547466j -0.065068-0.0807094j -0.0414637-0.00120777j -0.0410681-0.0476092j 0.0575349-0.0389982j 0.157152+0.0299736j 0.0448714+0.102879j 0.0415998+0.0104041j -0.0559569-0.0774539j 0.0802782+0.0369682j -0.0236158+0.10691j -0.102171+0.0219706j -0.0253183+0.158985j -0.0658777+0.170914j 0.000704474-0.123123j -0.0325046-0.0138809j 0.0697934+0.0466209j -0.183414+0.0973601j -0.10381+0.0922062j -0.0147057+0.0690805j -0.0309423+0.0881612j 0.0226815-0.117443j -0.168112+0.0333758j 
0.218146-0.00106268j 0.0750161-0.000315365j -0.0672504-0.201428j 0.177959+0.00255217j 0.152355+0.033094j 0.0711586-0.200844j -0.0719968+0.0267446j 0.199705-0.0873797j -0.131839-0.0209085j -0.118324+8.98031e-11j 0.360495+0.00178286j 0.154888+0.112413j 0.13327-0.018627j 0.208644+0.0701864j -0.0678177-0.0303586j -0.061868+0.0413275j -0.124552+0.0276077j 0.171641+0.0111415j -0.104692-0.0990367j -0.104376+0.0167698j -0.118641-0.0981638j 0.0565929-0.0390328j -0.0485331+0.117684j 0.185643+0.119776j -0.0462556+0.0768559j 0.0700381-0.00275012j -0.00841632+0.0699014j -0.0578492+0.00344067j -0.00368239-0.0712774j 0.219179+0.00156992j -0.0527571-0.073025j -0.204118+0.0867253j 0.0509102+0.118303j -0.0526831-0.0382655j 0.112595-0.0956383j -0.106034-0.0102507j -0.100466+0.10187j -0.171641+0.0151184j -0.12278-0.0291421j -0.0651631-0.040447j 
0.0648575-0.0014508j 0.11541+0.000597063j 0.10553+0.0184464j 0.0176208+0.00161997j -0.197435-0.0438768j -0.103875+0.0180218j -0.103186-0.0216804j -0.13237-0.00475225j -0.127441-0.209719j 0.360495-0.00178286j 0.154128+4.30035e-11j 0.446548+0.318735j 0.123713-0.208919j -0.133854+0.0230345j -0.101879+0.0191142j 0.0668746-0.0155755j 0.141649+0.0563895j -0.0215307+0.0519467j 0.0315563-0.00463637j 0.0285045-0.0386728j 0.048435+0.0419002j -0.00584192-0.126872j -0.0210101+0.107592j -0.105753-0.0646206j 0.092744-0.115868j 0.0413221-0.00190509j -0.00183456+0.0212922j -0.161415+0.00081504j 0.00366065+0.277349j -0.084276+0.0020448j 0.0955882+0.115289j 0.116404-0.053037j 0.0235792+0.107376j 0.00318745-0.125657j -0.0487611+0.0472976j 0.0294252+0.039075j 0.0306131+0.00441608j 0.0224485+0.0525759j 0.141389-0.0545506j 0.0644762+0.0153454j 
