-0.00484336+1.79579e-14j -0.0288129-0.000903635j 0.00993879+0.00256219j 0.00311848+0.00928388j -0.018342-0.00817407j 0.0512559+0.0177626j -0.0215144-0.00653964j -0.0297536-0.0151405j 0.0913431-0.0455401j -0.136387-0.042673j 0.64794-0.127578j 0.00723822-0.00029628j -0.0082345-0.0210807j 0.0143451+0.0172013j -0.0213148+0.00882229j 0.00897026+0.00843784j -0.017547+0.033006j -0.000105302-0.0109697j -0.0575469+0.0475683j -0.00320255-0.0124703j 0.0582599-0.0309659j 0.0814659-0.130675j -0.0966219+0.0611999j -0.0130704+0.066675j 0.367221-0.0562292j 0.417419+0.154406j 
-0.0288129+0.000903635j 0.00485402-6.93889e-18j -0.0719579-0.00732061j 0.0692453+0.0133892j -0.00512707-0.00936823j 0.0223028+0.0311713j 0.00909301-0.0250996j -0.128775+0.0293964j 0.212358+0.0839032j -0.509885+0.109847j 0.0990832+0.0490725j -0.00940622-0.0259879j -0.0165803-0.00653979j 0.00259985-0.0336419j -0.00547298+0.0594496j 0.0043992-0.0123067j 0.00245422+0.0548067j -0.0121608+0.0323424j 0.031115+0.0607275j -0.0112633-0.0413838j -0.0404521+0.0824956j 0.0210827+0.0421873j 0.126116-0.122293j -0.333015+0.00881086j -0.375416-0.151888j 0.296134-0.0829264j 
0.00993879-0.00256219j -0.0719579+0.00732061j 0.0483396-2.17444e-13j -0.0240171+0.0341598j -0.0807776-0.0273595j 0.230625+0.0138474j -0.120919-0.0290685j 0.0261529+0.030857j -0.466459+0.0766821j 0.201665+0.0844826j -0.0858349+0.0500655j 0.0204861+0.0117481j -0.0178353-0.0415141j 0.0340599+0.0366921j -0.0160149+0.0272408j 0.0165355+0.0459549j 0.0357095+0.0814355j 0.00558738-0.0646145j 0.00807205+0.0234062j -0.0524485+0.0123154j -0.167674+0.109419j -0.136702-0.0133781j -0.414728-0.00729688j -0.318153-0.106969j 0.13141-0.0770877j 0.0519338+0.0415206j 
0.00311848-0.00928388j 0.0692453-0.0133892j -0.0240171-0.0341598j 0.140391-1.99911e-13j -0.0516407-0.0233587j -0.045625-0.0336146j -0.0740874+0.0244646j -0.598256+0.0224946j 0.0105732+0.0294496j -0.116191+0.0295095j 0.0165458+0.0175883j -0.00414309-0.00446897j 0.0281477+0.0316757j -0.00569467-0.0256117j 0.0223813+0.0518338j -0.0541754-0.0469985j 0.0306545-0.00184803j 0.105952-0.15923j 0.212371-0.0889378j 0.0585333-0.0116308j 0.33996-0.00603633j 0.158658+0.127711j -0.279395-0.0444168j 0.0606638-0.0167848j -0.05436+0.0498838j 0.0168122-0.017627j 
-0.018342+0.00817407j -0.00512707+0.00936823j -0.0807776+0.0273595j -0.0516407+0.0233587j -0.023832-2.55953e-12j -0.131433+0.0128906j -0.653844+0.0228185j -0.0681242+0.0240471j -0.117014-0.0290113j 0.00722211-0.0270042j 0.0219581+0.00524914j -0.0133273-0.0122407j -0.0143952-0.000387974j -0.0308906-0.0281183j 0.00484017-0.00398453j 0.0331301+0.0363157j -0.0317787-0.0502813j 0.012669+0.0351091j -0.0522748+0.0241911j -0.370471+0.0235825j -0.133453+0.00639055j 0.261621-0.00289333j 0.156332+0.0228931j -0.0319614+0.0401749j -0.0225271-0.000744811j 0.00607537-0.0141595j 
0.0512559-0.0177626j 0.0223028-0.0311713j 0.230625-0.0138474j -0.045625+0.0336146j -0.131433-0.0128906j -0.527193-9.65735e-11j -0.128824+0.0120164j -0.0471952-0.0319626j 0.225867+0.0133428j 0.0279627+0.033678j -0.0476893-0.0164623j 0.0376779+0.0361098j 0.0478722+0.00251972j 0.0617433+0.0790949j -0.0518392-0.0053081j 0.0229766+0.0138417j -0.236993+0.0873315j -0.179304+0.0554402j 0.349353+0.000363143j 0.182662+0.0544938j -0.243911-0.0830207j 0.0192395-0.0150604j -0.0589914+0.00722413j 0.0524362-0.0800117j 0.0521627-0.00736562j -0.0318577+0.0376311j 
-0.0215144+0.00653964j 0.00909301+0.0250996j -0.120919+0.0290685j -0.0740874-0.0244646j -0.653844-0.0228185j -0.128824-0.0120164j -0.0111361+2.30987e-13j -0.0422153-0.0242323j -0.0781294-0.0276646j -0.00695786-0.0106109j 0.0171554+0.0073806j -0.00814407-0.0134775j -0.0212135+0.00250311j -0.0380295-0.0385j 0.146717-0.0240404j 0.261057+0.00157832j -0.133947-0.0080742j 0.372194+0.0236118j -0.0566351-0.0241728j -0.00948435+0.0337551j -0.030364+0.0490766j 0.0284554-0.0374649j 0.00956111+0.00268282j -0.0278024+0.0286307j -0.0157187+0.00168488j 0.0113305-0.012662j 
-0.0297536+0.0151405j -0.128775-0.0293964j 0.0261529-0.030857j -0.598256-0.0224946j -0.0681242-0.0240471j -0.0471952+0.0319626j -0.0422153+0.0242323j 0.124344+1.45732e-13j -0.0156831+0.0350574j 0.0603239+0.0152263j 0.00335271-0.00889762j -0.026018-0.0197538j -0.0593328-0.0473397j 0.062108+0.0118552j -0.269558+0.049055j 0.154829-0.127752j 0.346588+0.00548516j -0.0553833-0.0150483j 0.220009+0.0869037j -0.100971-0.158449j 0.0420105+0.000882572j -0.0501581+0.05269j 0.0186432-0.0545316j -0.00416559+0.0268986j 0.0235298-0.0310982j 0.00822701-0.00677024j 
0.0913431+0.0455401j 0.212358-0.0839032j -0.466459-0.0766821j 0.0105732-0.0294496j -0.117014+0.0290113j 0.225867-0.0133428j -0.0781294+0.0276646j -0.0156831-0.0350574j 0.0540144-9.57082e-14j -0.0645276-0.00637648j -0.0165973-0.00324113j -0.0396763+0.0454894j 0.145104+0.0693224j -0.299309+0.110145j -0.428487+0.00582485j -0.140565+0.0150867j -0.164273-0.104505j 0.0426471+0.0136538j 0.0156612-0.0199966j -0.00306978-0.0681476j 0.0288505-0.0819599j 0.0113471-0.0464533j -0.018339-0.0248423j 0.0347504-0.0404675j -0.0124749+0.0401322j -0.0235984+0.0148627j 
-0.136387+0.042673j -0.509885-0.109847j 0.201665-0.0844826j -0.116191-0.0295095j 0.00722211+0.0270042j 0.0279627-0.033678j -0.00695786+0.0106109j 0.0603239-0.0152263j -0.0645276+0.00637648j -0.00540146-8.2781e-15j 0.0300979+0.000913779j -0.32186-0.0711404j -0.344448+0.157979j -0.348594-0.00827793j 0.112202+0.118297j 0.0176453-0.0332735j -0.0494569-0.0836265j 0.0126876-0.0424698j 0.028402-0.0667198j 0.0162547+0.0318445j 0.0034157-0.0600849j 0.00741329+0.0114193j -0.00748808-0.0599001j 0.00570446+0.029937j -0.01896+0.0104135j 0.00822808-0.0257896j 
0.64794+0.127578j 0.0990832-0.0490725j -0.0858349-0.0500655j 0.0165458-0.0175883j 0.0219581-0.00524914j -0.0476893+0.0164623j 0.0171554-0.0073806j 0.00335271+0.00889762j -0.0165973+0.00324113j 0.0300979-0.000913779j -0.00214171+1.76525e-14j 0.397453-0.158085j -0.393331-0.0466548j -0.00563652+0.0638936j 0.1003+0.0689664j -0.0785629-0.13248j -0.0574155-0.0355675j -0.00212484+0.0103574j 0.0575939+0.0449677j -0.00148554+0.0108539j 0.0175248+0.0303213j -0.00894261+0.00890904j 0.0207635+0.0049681j -0.014056+0.0196241j 0.00705086-0.0207658j 0.0081176-0.00147623j 
0.00723822+0.00029628j -0.00940622+0.0259879j 0.0204861-0.0117481j -0.00414309+0.00446897j -0.0133273+0.0122407j 0.0376779-0.0361098j -0.00814407+0.0134775j -0.026018+0.0197538j -0.0396763-0.0454894j -0.32186+0.0711404j 0.397453+0.158085j 0.00406905+8.79505e-16j -0.00447497-4.1308e-05j 0.00884877+0.00106961j -0.00375875-0.00051697j 0.00396044-0.000452955j 0.00238757+0.00134481j -0.00549834-0.00271353j 0.00199181+0.00676893j 0.000958827+0.00102231j -0.0150501-0.00439199j -0.00908538-0.00620389j -0.00794785-0.00397668j -0.0355873+0.00884351j 0.0205559+0.00525239j -0.132857+0.0277937j 
-0.0082345+0.0210807j -0.0165803+0.00653979j -0.0178353+0.0415141j 0.0281477-0.0316757j -0.0143952+0.000387974j 0.0478722-0.00251972j -0.0212135-0.00250311j -0.0593328+0.0473397j 0.145104-0.0693224j -0.344448-0.157979j -0.393331+0.0466548j -0.00447497+4.1308e-05j -0.00785071+1.75207e-15j -0.00253675-0.000164102j 0.012491+0.00358852j 0.00235585-6.80462e-05j 0.015268+0.00323153j 0.00564131+0.000541611j 0.0100732+0.00295995j -0.00859135-0.000781247j 0.00295545-0.00314122j -0.00939176+0.000787152j 0.0289957-0.013508j -0.0459525-0.0216735j 0.108216-0.0274041j -0.0114799-0.00899526j 
