-0.16985+5.01335e-16j -0.0272573+0.016319j 0.051396+0.0889038j -0.0346563-0.0835198j -0.0248757+0.0273286j -0.0273805-0.0159774j -0.00409047+0.0632596j -0.00799272+0.0347759j 0.0076438+0.0317241j -0.0133442-0.00153764j 0.000699519+0.0212953j 0.00759073+0.0247522j -0.053792-0.0118621j -0.0142501+0.0457406j 0.000364811-0.0196818j 0.00791718-0.0172142j 0.0020301-0.00520058j 0.00962334-0.0202277j -0.0141726+0.0133386j -0.00158507-0.0118107j 0.00191382+0.0208575j -0.00826894+0.0260368j 0.00139555+0.00162942j -0.0106652+0.0138053j -0.0264307+0.0114814j -0.00104908+0.0251589j -0.015197+0.0467951j -0.0383877-0.027157j -0.016086-0.000838978j 0.00417645-0.018193j 0.0401822-0.0108757j 0.00812193-0.00734647j -0.0111168-0.0425782j -0.000954063-0.00860295j -0.00188866+0.0124985j -0.0209718-0.00139893j -0.00976021-0.010719j -0.000948851+0.00998639j 0.00247179-0.0331757j -0.0364828+0.00260545j 0.00572097-0.00726952j 0.0159598+0.00393124j -0.0102894+0.036527j -0.00751412+0.00947277j -0.00168693+0.00487654j 0.00461026+0.00197542j 0.0144471-0.0196283j -0.00850716-0.00350134j 0.0149457+0.00130174j 0.00641474-0.010858j -0.022197+0.00391343j 0.0284221-0.000991551j -0.0104035-0.00866478j -0.013143+0.0128463j 0.0188241-0.039401j -0.008522-0.00707199j -0.000582847+0.00722891j -0.028263+0.0406179j 0.00937956+0.0157883j 0.0151348+0.0420027j -0.0151445+0.024265j -0.0158029+0.0143111j 0.0223684-0.00482837j -0.00523808-0.0088016j 0.0314911-0.0125768j 0.0199424-0.00283932j 0.028643-0.0323037j 0.0315055+0.0225025j -0.0115376-0.0316987j -0.0170432-0.000109823j 0.0419523+0.0062154j 0.0223073-0.00261074j 0.0218925+0.0251874j 0.0257607+0.000386888j -0.0373043-0.00291173j -0.011264+0.0518009j -0.0433507+0.0332348j 0.00545798+0.0380242j -0.0150482-0.043998j 0.0203655-0.0471747j -0.0100774+0.00409089j 0.0456833+0.00828712j 0.00334689-0.00153179j 0.117159-0.052392j 0.0434784-0.106813j -0.0248388-0.311359j -0.366311-0.0769218j -0.0053387-0.163582j -0.0107847+0.166786j 0.124812+0.00958465j -0.01548-0.0046264j -0.180787-0.0238217j 
-0.0272573-0.016319j 0.170592-4.66641e-16j -0.0615753-0.0943113j -0.0538578-0.0915259j -0.00960737-0.0455045j 0.0394991+0.0194802j -0.00639019+0.0756275j 0.0193337-0.0731587j -0.0222314-0.00413016j -0.00313204-0.00231617j 0.0132984-0.00459689j 0.0251489-0.000452858j 0.0126096-0.0402611j 0.00778311+9.73916e-05j 0.0297034+0.0497475j -0.0116851-0.0117568j 0.02063-0.00439276j -0.00460129-0.0115372j -0.00511092+0.0149942j -0.00858594+0.00791999j 0.00757319-0.0263682j -0.0049982-0.0354492j -0.00974189-0.0244602j -0.00130553+0.0157664j 0.00241866+0.0148296j -0.0306649-0.0344637j 0.0251047-0.00960128j -0.0127855+0.012085j -0.0364915+0.0158178j 0.00663876+0.0170524j 0.0185874+0.0108157j 0.00337979+0.0125871j -0.0241578+0.0111078j 0.00650031-0.0157502j -0.00155831+0.00339893j -0.00738655-0.000864956j 0.000107683+0.0275104j -0.0107957+0.020232j 0.00159864-0.0215631j -0.0114644+0.00500516j -0.000271717-0.00144464j -0.00559677-0.0188624j -0.0187466+0.00409859j 0.00674521-0.0202472j -0.00486144+0.0151527j 0.00750585-0.0297549j -0.0118914+0.0109609j -0.0052245-0.0221463j -0.00693532-0.0313849j -0.0210674-0.0464061j -0.00318206+0.0260811j 0.00787822-0.0432796j 0.002909+0.00889942j 0.00290351-0.0154187j -0.00472617-0.0100804j 0.0232807+0.0155046j 0.00304797+0.00807582j -0.00350671+0.00607907j 0.00668304+0.0154841j -0.0184711-0.0211409j -0.0210033+0.0124943j 0.0321102-0.00951409j 0.00776925-0.0333896j 0.0327157+0.0118028j 0.0207716+0.00495936j -0.00137696+0.0472033j -0.0185282-0.0139006j -0.0531459-0.0400833j -0.0259439+0.0196515j 0.00911443-0.0104176j -0.0418368-0.0100456j 0.0290005+0.00958383j -0.042452-0.0119713j 0.0223104+0.0230212j -0.00601537-0.0136836j -0.00434881+0.00786911j -0.0334951-0.0328481j 0.0259917+0.00411179j -0.0278518+0.0560036j 0.0619705-0.0964802j -0.00951412+0.105136j -0.00304018-0.020726j -0.0705148-0.0394307j 0.00689146-0.0150907j -0.022774-0.0690018j -0.349519+0.0830225j 0.048163+0.341325j -0.196187-0.147908j -0.0252468+0.00845504j 0.0203822+0.00930187j 0.154643-0.0152626j 0.00114102+0.0262795j 
0.051396-0.0889038j -0.0615753+0.0943113j -0.0478447-6.245e-17j -0.0187486-0.00422681j 0.0437359+0.0130418j -0.0274319-0.0699047j -0.0183212+0.0141398j -0.0400269-0.131241j 0.0366618-0.0301578j 0.0125244-0.0185204j -0.0311947-0.0279455j -0.0320539-0.0296215j -0.00384903-0.0245878j 0.0187321-0.0521295j -0.0421949-0.011616j -0.00337442+0.0179957j 0.0108218+0.0472593j 0.0315202-0.0276478j -0.0163718-0.00985472j 0.0258622-0.0390679j -0.0172107+0.00297109j 0.00807504-0.0534533j 0.0106323+0.0395627j -0.00870587-0.00761043j -0.00364841-0.00690163j -0.0446835+0.0777202j -0.0348704+0.0318772j 0.0103512+0.0363813j -0.00560834+0.044415j -0.0349363+0.0450595j -0.014711-0.0485726j 0.0119369-0.00677993j 0.00632438+0.00457481j -0.0226+0.0218169j -0.00559729+0.0259215j 0.00342715-0.041557j -0.0413027+0.0337391j 0.00526458+0.00152387j 0.00217541-0.0505202j -0.0162058-0.000399747j -0.00438837-0.0941765j 0.01538+0.0040486j -0.0163094-0.0352635j -0.00441868+0.00721847j -0.0176841+0.00725979j 0.00253169-0.0253854j 0.016205+0.00935703j 0.0219569+0.016003j 0.0387581+0.0428583j 0.0301685-0.0491135j 0.0102584+0.0418801j 0.0131015-0.0129575j -0.00763058+0.0101852j -0.0268154-0.0133449j -0.00147171+0.00201686j 0.00586825+0.0704717j 0.0172219-0.0346123j 0.0110397-0.0626401j 0.0560848+0.0226748j -0.00212042+0.0581313j -0.0106672+0.0191325j 0.0344808-0.0370869j -0.0675611+0.102414j -0.00917043+0.00269641j -0.000219358+0.0778663j 0.0268196-0.0914056j 0.0175801-0.0423879j 0.0191423-0.0150592j 0.0342269-0.00421942j 0.0236462+0.0118084j -0.0165001-0.0774117j -0.0510452-0.0262079j 0.034618-0.0426368j -0.0317664+0.0394937j 0.020946+0.0100068j -0.00199081+0.0199211j 0.00223944-0.0963639j 0.0144656-0.082819j 0.0493179+0.120331j -0.131691+0.0833588j -0.0197866+0.0555047j 0.117895+0.0963535j 0.0698677+0.221845j 0.0454514-0.0356595j 0.17774-0.2136j 0.0753774-0.116021j 0.13201+0.0202943j -0.07672-0.0294133j 0.0161366+0.0479841j -0.050409+0.0526323j 0.0142635+0.0794536j -0.00856843-0.103961j 
-0.0346563+0.0835198j -0.0538578+0.0915259j -0.0187486+0.00422681j 0.11226-1.59595e-16j -0.0610344-0.062613j -0.0798435-0.0718093j -0.000691297-0.0257972j 0.019255-0.0346699j -0.000142964+0.0227597j -0.00830799-0.0102683j -0.0222486-0.0293325j -0.0504293-0.0296638j -0.0271734-0.0340896j 0.00902021+0.000542551j -0.0342627+0.0257854j 0.0112712-0.038317j -0.000877527+0.0268274j -0.0262286+0.0208255j -0.00109647+0.000353216j 0.00218568+0.0173688j 0.0306244-0.0149789j -0.0207767-0.0284569j 0.00605929-0.0387982j 0.0234096-8.39135e-05j 0.0273108-0.00763163j 0.0442522-0.014736j -0.0294916-0.0217246j -0.0496626+0.01525j -0.00309048-0.0299412j -0.0236597-0.0263048j -0.0367198-0.0142647j -0.0109806-0.0166524j 0.0157213-0.0176104j 0.0353771-0.0155902j 0.00589349-0.0150709j 0.0308831-0.0103161j 0.00486114+0.00414393j -0.00761554-0.0119665j -0.0193054+0.0149719j 0.00688581+0.0276446j -0.0213668-0.00626894j -0.00184815-0.00493757j 0.0130854+0.0216406j -0.00568647+0.0202703j 0.0191121-0.00539734j -0.00797689+0.024476j -0.0172629+0.0139256j 0.0304088-0.00634659j 0.0205014-0.00648769j -0.00685451-0.0713266j 0.00597935-0.00315149j -0.0142001-0.0102576j -0.0354919+0.0565367j 0.0443533+0.0216195j 0.0395898+0.0133585j 0.0196351-0.0081152j 0.000156524+0.0059469j 0.0406024-0.0157553j -0.00677691-0.0703063j 0.00570087-0.0349991j -0.00244473+0.0804427j -0.0244786-0.0405052j 0.0343981+0.018769j -0.031421-0.0143229j 0.0286547-0.0392455j -0.0719682+0.0584919j -0.008773-0.0808136j -0.0374097+0.0230315j 0.0339753-0.0469262j 0.0438758+0.0145022j -0.0550725+0.0384289j -0.0336948-0.000601156j -0.0344344-0.0244497j -0.0294949+0.0153553j -0.00927911-0.0818927j -0.0533423+0.010481j -0.0475231-0.0923815j -0.0943525+0.0173097j 0.121008+0.00560783j 0.067612+0.0338736j 0.103549+0.0392523j 0.123158-0.167763j 0.173939-0.270567j 0.0067642+0.0662667j -0.114209-0.216114j 0.0853929-0.0184642j 0.00485489+0.0743856j 0.025588+0.0568326j -0.0421017-0.11566j 0.0362222+0.0277577j -0.0406983+0.0586364j -0.0377559+0.163209j 
-0.0248757-0.0273286j -0.00960737+0.0455045j 0.0437359-0.0130418j -0.0610344+0.062613j 0.102182+6.93889e-17j 0.0785567+0.0366113j -0.0322791-0.0413566j 0.0100505+0.000722762j 0.0208109+0.0301119j -0.0214109+0.0260006j 0.044134-0.015909j 0.0119488-0.0131723j 0.00311301-0.0367041j -0.0127387-0.0746361j -0.0259189-0.0147197j 0.0450495+7.76536e-05j -0.0184716+0.0314096j 0.0091538+0.0346676j -0.0323701+0.0537879j -0.0245046-0.046717j 0.0436494-0.0488207j 0.0331753-0.0190472j 0.0423799+0.00443609j -0.0368132-0.0533807j -0.0208533-0.0126111j -0.0221076-0.0752771j 0.00855847-0.0429914j 0.00938848-0.0203457j -0.0115993+0.0152836j -0.0425948+0.0299629j 0.0263087+0.0840755j 0.0230124+0.0452017j 0.00726076-0.00798361j -0.0449861+0.0475654j 0.00465406+0.0175322j 0.0300515-0.0257708j -0.0354982-0.036427j -0.0108267-0.0392079j 0.0198926+0.0256199j -0.00495898-0.044926j 0.00519966+0.0164577j 0.000744919+0.0252531j -0.0324452-0.016039j -0.00202866+0.0154813j -0.000990493-0.0285479j -0.0183165+0.000594144j -0.0492062+0.0150734j 0.00898586-0.0253482j -0.000822249-0.00786489j 0.0397353-0.00562043j -0.0191588-0.0223901j -0.00344066+0.0641581j 0.00210672+0.0169051j -0.044518-0.0924744j -0.0191564-0.0801173j -0.00554224+0.0693347j 0.0605486-0.106894j 0.0732744+0.0274362j 0.0458345-0.0175428j -0.029597+0.0269406j -0.0986433+0.019603j 0.0275233+0.0171338j 0.0907813+0.049987j 0.0780122+0.00289546j 0.0645209+0.0638912j -0.0575339+0.12095j 0.102539-0.0427187j 0.0130894+0.0429289j 0.000917406-0.0658213j -0.00873359-0.081659j 0.0655157+0.154138j 0.0542161+0.0746727j 0.0708936+0.00681723j -0.0560206-0.0418531j 0.0261639+0.0204505j 0.106346+0.0886339j 0.0873422-0.0880641j 0.00970134-0.171049j -0.0374763-0.0914079j -0.00193748-0.00406279j 0.0695435-0.0758467j -0.00158356-0.043555j 0.0118184-0.0716354j -0.0545515-0.10409j 0.0864279+0.0768365j -0.0901846+0.112575j -0.0896228-0.151153j -0.0695902-0.0783345j -0.00118445+0.0107822j -0.0124032-0.0144595j 0.140397-0.0286948j -0.139615-0.145788j 
-0.0273805+0.0159774j 0.0394991-0.0194802j -0.0274319+0.0699047j -0.0798435+0.0718093j 0.0785567-0.0366113j -0.105044-4.16334e-17j -0.0442663-0.0398504j -0.00394963-0.0332654j 0.0279994+0.00825828j 0.0486869-0.0492139j 0.0127508-0.00278215j 0.0293939+0.0158189j 0.00890006+0.0130361j -0.0595484-0.00402354j -0.0346047+0.0243478j -0.0186008-0.027214j 0.0144534+0.016406j -0.0122698-0.0259753j -0.01858+0.00278579j -0.0145903-0.0197748j -0.00888618+0.0235545j 0.0119359+0.026226j 0.0234448-0.0211625j -0.0384319-0.037461j 0.0700501+0.0934822j 0.00592358+0.0268546j 0.0228165-0.0250197j -0.00548938-0.0146449j 0.00569188-0.0362748j 0.0184732+0.0375102j -0.00573917-0.0318714j 0.0265704-0.0224789j 0.00120428-0.050074j -0.0400161+0.00496494j -0.00832607+0.0209495j 0.0347705+0.0265464j -0.0202271+0.0392685j -0.00183721-0.0390759j 0.00433451+0.0230044j 0.00680514-0.00837784j -0.0486934+0.0390464j 0.0650357-0.0336238j 0.0304919+0.0155458j -0.00598323+0.00906777j -0.0529264-0.0360623j -0.0301898+0.0470446j 0.0823651+0.0339715j -0.00409574+0.0186081j -0.0639504-0.0484775j -0.0124842-0.00383224j -0.0494178-0.0946959j 0.0046285+0.0258311j 0.0377372-0.025746j 0.0280644+0.0179622j -0.00886273+0.0718133j 0.0185675-0.00526383j -0.0907016-0.0115197j 0.031832+0.00902548j 0.103221-0.0328264j 0.0793805+0.0139823j -0.0106177+0.0353732j 0.0253536+0.0539671j -0.0354191+0.00171092j -0.0731457-0.0234035j -0.00120252-0.0569633j 0.101559+0.0155402j 0.00096383-0.114212j -0.0559918+0.0229641j 0.0093331-0.0188994j -0.0674097+0.0327238j 0.0342104-0.00913439j 0.00661999-0.0605517j -0.00241972+0.000465319j 0.130146+0.0596935j 0.0796568+0.0401481j 0.0943472-0.071766j -0.0855811-0.104942j -0.102022-0.0877953j -0.0582735+0.0893253j 0.00521148-0.00220431j 0.00238414+0.0364041j -0.0341248+0.0862986j 0.130816-0.0510529j -0.180066+0.0272111j 0.0809271-0.00185293j -0.0599757-0.102304j 0.0100845+0.0261683j -0.0972565-0.01549j 0.108685-0.011274j 0.0332905-0.0294062j 0.195853+0.276399j 0.280643-0.0590055j 
-0.00409047-0.0632596j -0.00639019-0.0756275j -0.0183212-0.0141398j -0.000691297+0.0257972j -0.0322791+0.0413566j -0.0442663+0.0398504j 0.0848791+5.55112e-17j 0.0173742+0.0328962j -0.0178509-0.0147952j 0.0431567+0.0507346j -0.00294164+0.0455217j 0.0270922-0.0422908j 0.0451464-0.0185979j 0.0483982+0.0801361j -0.0372897+0.0163305j -0.0156988-0.0170219j -0.0460839+0.0346448j 0.000608979+0.0592659j -0.0304225+0.00115534j 0.0338286-0.0271133j 0.00232655+0.00550654j 0.0174188-0.018071j 0.000672842-0.0454064j 0.00826348+0.0509473j 0.00212943+0.0176883j -0.0429442-0.0341064j 0.0347875+0.0119247j 0.0652997-0.0385421j 0.02094-0.0485701j 0.0121237+0.0152347j 0.00323884-0.0517709j 0.0013547-0.027094j 0.0245473-0.0295586j -0.0243803-0.0137367j 0.0314187+0.00722384j 0.0521939+0.00101895j -0.0179721-0.0551146j -0.00725039-0.0161312j -0.0201043-0.0349278j 0.0978728-0.0800576j 0.0257286-0.0452002j -0.0333138+0.00281582j 0.00821745-0.0289108j -0.00636975+8.81891e-06j -0.0143512+0.0339114j -0.0444608+0.0202437j -0.0708485+0.0545737j -0.036752-0.0365062j 0.0152217-0.0488752j 0.0169044-0.0248479j -0.0297536+0.108778j 0.056604+0.05519j 0.015502+0.0314807j 0.0549633-0.0140165j 0.0845468-0.0554863j -0.0494749-0.0356175j 0.0595351-0.0824378j 0.0236512+0.0377844j 0.109541-0.0414544j 0.0430358-0.00386509j -0.0216729+0.0764985j 0.0482962-0.135219j -0.0457703-0.00878564j -0.02661-0.04222j -0.118668-0.0294762j -0.0119305+0.0722128j 0.00543849+0.0300487j -0.0362127+0.00844427j 0.0957591+0.01759j 0.0389169-0.0225737j -0.134769+0.0807031j -0.065482+0.0833879j 0.0643535-0.04646j 0.0586962+0.0351169j -0.0358861-0.0938978j 0.0207894-0.188944j -0.0565732+0.0159886j 0.069854+0.0402083j -0.0198349+0.0044055j -0.0762466+0.0996064j 0.0207869-0.0498307j -0.0483248-0.0434816j 0.0225507+0.0599955j 0.133493-0.161719j 0.126454-0.0875862j -0.0234392+0.113539j 0.0218675+0.0336364j 0.0688749-0.0431076j -0.00145011-0.11873j 0.0164962+0.0512738j -0.150514+0.162787j 0.230458+0.0961219j 
-0.00799272-0.0347759j 0.0193337+0.0731587j -0.0400269+0.131241j 0.019255+0.0346699j 0.0100505-0.000722762j -0.00394963+0.0332654j 0.0173742-0.0328962j 0.000958877+4.16334e-17j 0.0469438-0.00384573j -0.0201022-0.00739187j -0.0169091-0.0625954j 0.00991439-0.00837613j 0.0110291-0.0267608j -0.0135042-0.0320168j -0.0547775-0.00313149j -0.0440786-0.066405j -0.02258-0.021823j 0.0286206-0.0480141j 0.0182368+0.0888145j 0.068188-0.000830564j -0.0533395-0.0273818j 0.0189313-0.0549692j 0.0477264-0.0656647j -0.0395539+0.024705j 0.00765302+0.00431967j -0.0245761-0.00545178j -0.0253391-0.0635852j -0.0421688-0.0462281j 0.0105933-0.0823476j 0.0135254-0.0140596j 0.0288298+0.0080641j 0.0429084+0.0746666j -0.000165075+0.0665645j -0.00193491+0.0828941j -0.0116935-0.0195729j -0.0253946+0.0752234j -0.0148934+0.0167481j 0.00213949-0.0395468j 0.0361148-0.0323202j -0.0131256+0.00328937j 0.0329345-0.00444481j 0.0597732-0.0279556j -0.0241019+0.0204418j -0.00933052+0.0966979j -0.0182118-0.04679j -0.0204848+0.0301967j -0.0278504-0.014454j 0.0152471+0.0253941j 0.0360124+0.0356113j -0.0605478-0.00697015j 0.0176723+0.0295971j 0.0989671-0.0581032j -0.0179354+0.0390917j -0.00901958-0.0220146j -0.0528866-0.0162161j -0.0158798+0.110201j -0.0885259+0.0372651j -0.0519678-0.0543523j 0.069549+0.0367441j -0.023522+0.0810675j -0.050284+0.032482j -0.00335379-0.0424968j -0.0295313+0.105697j -0.0756644-0.00547997j 0.00700546-0.0429536j 0.0172699+0.0507572j 0.0525529-0.0916672j 0.0414904-0.0163854j 0.0159755-0.00103363j 0.0178892-0.0206293j -0.00908046+0.0255926j -0.00886071+0.00417113j 0.0358576-0.0155512j -0.0708562-0.0268875j -0.0858261-0.145921j -0.0659162-0.0827741j -0.0756027+0.120423j -0.0184981-0.127887j 0.0523125-0.128588j -0.0113564-0.096433j -0.207984-0.0427337j 0.0605476-0.0257441j 0.0260493-0.0634972j -0.0906227+0.0742642j -0.0230997+0.0659741j 0.0304103+0.0470345j 0.0959085-0.118208j -0.0161118-0.038272j 0.216473-0.104982j 0.0187217-0.321608j -0.202255-0.047948j -0.0464767+0.192496j 
0.0076438-0.0317241j -0.0222314+0.00413016j 0.0366618+0.0301578j -0.000142964-0.0227597j 0.0208109-0.0301119j 0.0279994-0.00825828j -0.0178509+0.0147952j 0.0469438+0.00384573j -0.033346+7.91034e-16j 0.022913-0.0428587j -0.0965952-0.0690821j 0.00565988+0.0294538j 0.0491025+0.0514212j -0.014492-0.00444395j 0.0495171+0.0305304j 0.00919552-0.00287433j -0.0259769-0.0599952j -0.00977549-0.0413553j 0.0307417-0.0137146j 0.00796334+0.151365j -0.0222671+0.056758j 0.00723893+0.0441702j -0.0345929-0.0262505j 0.0141848-0.0088723j 0.0358959+0.0417422j 0.0275415+0.0364673j 0.00197662-0.0973233j -0.0482918+0.0333515j 2.10194e-05-0.0652468j 0.0855284-0.0571518j -0.0604053-0.0114557j -0.00540487-0.0242219j -0.000345116+0.12626j 0.0652775+0.0328667j -0.105682-0.0437436j -0.0116561-0.0103114j 0.0991041+0.100976j -0.0126738+0.149896j 0.0490467+0.00460612j -0.069286+0.0266982j -0.00768355+0.0272273j 0.026072+0.0228857j 0.0651582-0.0627418j 0.0121655+0.00487665j 0.0356137-0.0437519j 0.0780625+0.00512309j 0.175445+0.0233908j 0.0066307+0.0461971j -0.107163+0.127176j 0.0523992-0.0920953j 0.0364555-0.206589j -0.0465448+0.00120604j 0.000293353-0.0550837j 0.0658232-0.0927334j -0.0770861+0.0142228j -0.059926+0.0326795j -0.116958+0.161542j -0.142458-0.00348655j -0.0717529+0.0476652j 0.0367347-0.120125j 0.0681792-0.0438028j -0.011225-0.0289625j -0.0326487-0.0263448j -0.0147869-0.0467736j 0.0180113-0.0736834j -0.0413351+0.0142716j -0.00995112+0.0121347j -0.012348-0.05972j 0.0213426+0.0501193j -0.0586757+0.0113845j -0.00962964+0.0257444j -0.0481524+0.0253542j 0.0513691+0.0113726j -0.0142305-0.0868232j -0.0722466-0.0601195j 0.0324063-0.0131341j -0.0367154-0.0154253j 0.0240415-0.0263219j 0.0135735-0.0450967j -0.0808072+0.0388298j 0.0196656-0.0625628j 0.0246159-0.0568148j -0.0207809-0.010885j 0.065948-0.108885j 0.0711225-0.0644902j -0.000647285+0.0399258j -0.000277795-0.0336455j -0.0116799-0.0399591j -0.00929819-0.0157999j -0.0128239-0.0176212j -0.024753+0.0314264j 0.00511287+0.0263411j 
-0.0133442+0.00153764j -0.00313204+0.00231617j 0.0125244+0.0185204j -0.00830799+0.0102683j -0.0214109-0.0260006j 0.0486869+0.0492139j 0.0431567-0.0507346j -0.0201022+0.00739187j 0.022913+0.0428587j 0.108161+5.13478e-16j 0.0377012-0.0616844j -0.065893-0.00604794j 0.039396-0.0264518j -0.0225595+0.0345367j 0.00361609+0.103505j -0.00711841-0.0135202j -0.0153929-0.0252777j -0.00580796+0.0739239j -0.0185292+0.0422877j 0.00631833+0.0315515j 0.105759+0.0596145j -0.0250703-0.0738251j 0.0198351+0.0190872j 0.0883324-0.0545568j -0.0216166-0.0743732j 0.0440131+0.0578253j 0.0405989+0.0728501j -0.0903502+0.0425319j -0.0148188+0.0781898j 0.00489001-0.00233812j -0.0536132-0.042798j 0.0366004-0.0410479j -0.0469345-0.0221652j 0.0450651-0.100865j -0.0158425-0.0149732j -0.0233212-0.00381658j 0.094055+0.0646288j -0.0702489+0.0432764j -0.0587729-0.0164613j -0.023663+0.0209524j -0.0131432-0.0304449j -0.02223-0.0203955j -0.00945091-0.0122334j 0.0308352-0.0795996j 0.0251088-0.0103175j 0.0113162+0.0122305j -0.0174973+0.0366221j 0.0469915+0.0643431j 0.000760731-0.0540372j -0.0204861+0.0414734j -0.0303888-0.120263j 0.0214036-0.00499696j -0.00691621+0.0209729j -0.0250088+0.0491006j -0.0497477+0.0551476j 0.0280485-0.107191j -0.0214962-0.0213441j 0.0430469-0.0753083j -0.0211193-0.0285425j 0.0502067+0.0767296j 0.0234961+0.0211586j 0.0072799+0.0566272j 0.0171112+0.0868624j 0.0628702+0.0984903j 0.0429357+0.0428963j -0.0431614-0.060476j -0.00423306+0.0339402j -0.00961985-0.0276103j -0.0418263-0.0100013j 0.0480241+0.0112001j 0.0358515+0.00343646j 0.0094869-0.0246237j -0.118524+0.0148485j -0.0174888+0.11712j -0.0804732+0.086869j 0.0464075+0.0946156j 0.0617005-0.0937681j -0.0389483+0.0444904j 0.0573202-0.00138554j 0.00231113-0.0180018j 0.0204061+0.122507j 0.012779-0.064071j 0.0121234+0.0381788j -0.0248305-0.0149225j 0.035615-0.00489583j 0.10963+0.0714433j 0.0701614-0.0186174j -0.0774427+0.0503204j -0.0511471+0.146054j 0.0895889-0.000980722j -0.121093+0.043762j -0.0195477+0.0528424j 
0.000699519-0.0212953j 0.0132984+0.00459689j -0.0311947+0.0279455j -0.0222486+0.0293325j 0.044134+0.015909j 0.0127508+0.00278215j -0.00294164-0.0455217j -0.0169091+0.0625954j -0.0965952+0.0690821j 0.0377012+0.0616844j -0.0611337+1.00198e-14j -0.0154072+0.00927783j -0.125296-0.0138609j 0.0345115-0.0366069j 0.0267646+0.0220042j 0.019299+0.0386149j -0.0125951+0.0356217j -0.0215667+0.0134263j -0.0606132-0.128052j 0.0187593-0.0316342j 0.0893844-0.0662931j 0.00276983-0.0303278j -0.0033056-0.0135657j -0.0017931+0.0518872j 0.0372727+0.0939882j -0.0272393-0.0167021j 0.0210823-0.000448734j 0.0107703+0.0217918j 0.0538069+0.0539468j -0.00749859+0.0848593j -0.0245631+0.0135517j -0.0389198-0.094845j 0.013831-0.0277829j -0.0296266+0.0602493j -0.0296958+0.0169514j -0.0507532-0.029784j 0.0228266-0.0637471j 0.0408505-0.102122j -0.00502325+0.0968391j -0.0115514-0.0257704j -0.024025+0.000773949j -0.020863+0.0155241j -0.0273811+0.000617399j -0.0298124-0.0263933j 0.039655+0.0916641j -0.0282975+0.146267j -0.0591474+0.120918j -0.0671428+0.0377402j -0.0634335-0.0410647j -0.00106661-0.121242j -0.0331496-0.0136693j -0.097234-0.046406j 0.114038+0.0802569j -0.0557775-0.0690032j -0.00321648-0.0670412j -0.0683149-0.0782165j -0.00148416+0.031548j -0.00504703-0.0629948j -0.0102122+0.137284j 0.0472335+0.0350742j 0.000903276+0.0755044j 0.0230064-0.118224j 0.100701-0.0721733j 0.0276601-0.107013j 0.00273615-0.0588575j -0.0493284-0.026835j -0.0628759-0.036762j 0.00360242-0.153258j -0.0619208+0.0357267j -0.044254-0.0208965j 0.0113736+0.0229663j 0.0690827-0.0718176j 0.026725-0.0228826j 0.143779+0.0669627j 0.0542134-0.0783226j 0.0290917-0.0225471j -0.0400074-0.0848382j 0.0061734-0.0123081j 0.0433975+0.00288919j 0.036233+0.015382j -0.0710151-0.0451415j -0.0190026-0.0367036j 0.000526901+0.024939j 0.0024234+0.0807949j 0.0200504+0.0334166j -0.019383-0.00941186j 0.00141321-0.00920603j 0.119814-0.0361119j -0.0174597-0.0957778j -0.0656872+0.0358079j 0.00814293+0.0163283j -0.0441128+0.0436195j 
