-0.124989+9.85323e-16j 0.139451+0.00415134j 0.0415202+0.0935295j 0.0265067+0.0933688j 0.0538543+0.0111355j 0.0305385+0.0317643j -0.0141922-0.0258201j 0.033828+0.0768357j -0.0270561-0.0241714j 0.0214394-0.0147489j -0.0170524-0.0125673j 0.0664313-0.0044724j -0.016457+0.00554969j -0.00670166-0.0125022j 0.00904081+0.0218829j 0.0100626-0.0133609j 0.0430385-0.0029049j 0.0109067+0.0147043j 0.0169296+0.022337j 0.0220556-0.0219195j 0.0109678+0.0203299j 0.00467681-0.00533016j 0.00207014-0.0286285j -0.0594433-0.018055j -0.00990673-0.0376868j 0.000503214+0.00351133j -0.000383825-0.0481662j 0.0530858+0.037403j 0.0302968-0.0472769j -0.0153017-0.0148655j 0.0772277+0.00132149j -0.0364406-0.00444243j -0.0235448+0.023734j -0.0333935+0.00948686j 0.0115493+0.0508535j 0.0572318-0.0181731j -0.000915291+0.0758979j -0.0112352-0.0074151j 0.00620163+0.0657579j -0.030227+0.0584304j 0.0221593-0.00493886j 0.0202827+0.0166966j -0.0282484-0.00842502j -0.0350158-0.00176169j 0.0506037+0.0575223j 0.0232942+0.00639799j 0.0282635+0.0207647j -0.00523951+0.00731119j 0.00340492+0.0244382j 0.0112322-0.0131313j -0.00151931+0.0442546j 0.00904735-0.0423135j -0.00374548-0.00701703j -0.0212621+0.00699624j 0.00787917+0.0135948j 0.0328051+0.00782076j 0.0249306-0.0185028j -0.00650869+0.0303494j 0.00194051+0.00115785j -0.0247276+0.0414235j -0.0030944-0.0107488j 0.00377171-0.0139408j 0.0233738-0.0303242j 0.0683071+0.00672837j -0.00983724+0.0335097j -0.0560575-0.0172455j -0.0125859-0.00357649j 0.0594303-0.00541132j 0.01216+0.0222712j -0.0135248+0.00254468j -0.0472017-0.0142951j 0.00490508-0.0200138j -0.00857001-0.0452335j 0.0334763-0.102694j 0.00100295-0.0201736j 0.0287429-0.0578162j 0.0396685+0.00591645j -0.0339334-0.0274987j 0.0205671+0.0180775j 0.0335011-0.0104918j -0.0452576+0.0687701j 0.0205667-0.0518412j -0.0423318+0.00304194j 0.0282357-0.0218741j 0.0239958+0.14303j -0.0730468+0.00411253j -0.119265-0.299231j -0.245043+0.00779731j 0.136765-0.0620388j -0.0114375-0.0891856j -0.0419844+0.00352294j -0.0674207+0.150317j -0.0482969-0.0435276j 0.0752163-0.00254316j 0.197294+0.138198j 
0.139451-0.00415134j 0.135527+8.32667e-17j 0.0616449+0.0856016j -0.0261481-0.0877909j 0.0306437+0.0219354j -0.0359824+0.00180561j -0.0305714+0.0107231j -0.0198213+0.012843j 0.00850518-0.0171512j -0.0286407-0.0183205j -0.00722865-0.012902j -0.0137609+0.0251587j -0.0100106+0.012271j -0.00531674+0.00110572j 0.00651666+0.000816357j -0.0151706+0.0301111j 0.0193174-0.0311184j 0.0194529-0.0530606j 0.027761+0.0199036j -0.0385827-0.0265294j 0.0100197+0.0229754j 0.00642028+0.0915673j 0.010259+0.0550249j -0.0410737+0.0185717j -0.0346126-0.0125818j -0.00537851+0.0128518j -0.0140764+0.0483806j 0.0254534-0.0405838j -0.0171604+0.00385579j 0.00717306-0.0311834j 0.00267909+0.00174744j 0.0162084-0.00680904j 0.0646525+0.0346475j -0.00685739+0.0151091j 0.00114923-0.00207933j -0.0479091-0.0266496j 0.0132625-0.0721883j -0.00446637+0.0042843j 0.00694874-0.0782485j -0.0170993+0.053116j 0.0150327-0.0442546j -0.00974858-0.0443837j -0.0261267-0.0361071j 0.0037639+0.0262659j 0.041623+0.00530782j 0.0364957+0.00210221j 0.0121846-0.0284998j 0.0238742-0.00811274j 0.0255508+0.0371548j 0.0107193-0.00276115j 0.0259619-0.0465471j -0.00330656+0.00300389j -0.0178952-0.0298952j 0.0247911+0.0441763j -0.0252265+0.00135434j -0.00544266-0.00705576j 0.0385456+0.0327045j -0.0404345-0.00766688j -0.0235713-0.00849893j -0.0526833-0.0366495j 0.00461765-0.0286334j 0.0180576+0.0176884j -0.00124313+0.0349899j 0.0133264-0.0513844j -0.0173107+0.0131513j -0.0139755+0.0294863j 0.0106999+0.0179377j 0.0351159-0.0218458j 0.0134032-0.0392584j 0.00148525+0.0336085j -0.0130405+0.0687208j -0.0204912+0.0117104j -0.00454176+0.021173j 0.000387276-0.0400061j 0.00231268-0.000481384j 0.00124065-0.0212293j 0.00371701-0.0100812j -0.0270611+0.0431203j 0.0125603+0.0114906j 0.0272805+0.0189985j 0.0304941-0.0016412j 0.0904905-0.0295728j 0.0520317+0.0123107j 0.0206368-0.0248328j 0.151961-0.0210971j -0.0100832+0.0887477j -0.238027+0.0428289j 0.132204+0.247259j 0.049744-0.241532j -0.0215255+0.0322367j -0.0354871+0.109905j -0.0325172+0.00305414j 0.0753385-0.119098j -0.223306-0.114372j 0.0535966+0.0249399j 
0.0415202-0.0935295j 0.0616449-0.0856016j 0.0387721-1.38778e-16j 0.0735521+0.0501611j 0.0301439-0.0185541j 0.00314299+0.0213011j -0.0516749+0.0978781j -0.0196791-0.0177731j -0.0180318+0.0356604j -0.0225-0.0737261j 0.00736749+0.0627282j -0.022829-0.0984226j 0.00419967-0.071257j 0.0130222-0.0312365j 0.0157057-0.0668012j -0.0218569+0.0135665j -0.0578039+0.146556j -0.0158946+0.0683605j 0.0597387-0.0266767j -0.0273516+0.00395229j 0.0624687-0.131514j -0.0319709-0.017279j 0.00730868-0.0738679j -0.0295249+0.0469279j -0.0537677+0.0683682j -0.0344409+0.0753751j -0.0020276-0.0318474j 0.0295234+0.0169635j 0.0119845+0.0522482j -0.0174053-0.0413351j 0.00289068-0.01794j 0.0441988+0.00592084j 0.0257528+0.0367736j 0.0173271-0.0627684j -0.00087377-0.0823965j -0.0624342+0.0727683j 0.0581053-0.0346718j 0.0627395-0.0842602j 0.063059-0.00488353j 0.0582755-0.00267729j -0.010151-0.0276681j 0.0322941-0.00145585j 0.00399578+0.00265331j 0.0139898-0.0118643j 0.0270585+0.00960785j -0.0129866+0.0201124j 0.0306213+0.0280113j -0.0088637+0.0251659j -0.00494778-0.0354537j -0.0446177+0.0776893j 0.0325105-0.0326837j -0.0618932+0.0844112j -0.0291531+0.0992471j 0.00288181+0.0258638j -0.0206125-0.0381108j 0.00777205+0.0771758j 0.0290458+0.037623j -0.00381413-0.0445656j -0.00735829+0.0823098j -0.0121761-0.0958316j -0.0187691+0.0361733j 0.0140195-0.0303954j -0.0119662-0.0457422j 0.0326842+0.00613649j -0.0303552+0.0108654j -0.0268786-0.0272508j 0.00494977-0.0162934j 0.0279696-0.0458631j 0.00121391+0.0656013j 0.00274349+0.00225265j -0.000682459-0.0868077j -0.0108787+0.00781816j -0.0629829+0.106591j -0.0558786+0.0133463j -0.0549379+0.00577809j -0.000441952+0.0281649j -0.0056852-0.0360468j -0.069336+0.0156586j 0.134119-0.097319j 0.0584283-0.0345907j 0.0671806-0.074978j -0.0151411+0.0752254j 0.0691476+0.128077j -0.0136361+0.0105992j 0.0729199-0.148183j 0.00713877-0.0172682j -0.0820282-0.0744983j -0.0678825-0.118098j -0.00883191-0.0211479j -0.0247725+0.0253477j -0.0260204-0.0676184j -0.0450669+0.0577156j -0.0599886+0.122787j -0.056642+0.106899j 0.0739181-0.0505949j 
0.0265067-0.0933688j -0.0261481+0.0877909j 0.0735521-0.0501611j 0.024832-3.95517e-16j -0.0521297+0.0533005j -0.0156226+0.0473384j -0.0508192+0.0386257j 0.029745-0.00181548j -0.00966253-0.0395747j -0.017199+0.0649073j 0.0847617+0.157846j -0.0714986+0.0659624j -0.0693396-0.0296531j -0.0424776+0.07822j 0.0657012-0.0409808j 0.0251638-0.00788574j 0.0349821+0.0698768j 0.0611261+0.00846007j 0.055478-0.0718038j -0.0484396-0.00249763j 0.000964634+0.00762684j 0.0135673-0.0007539j 0.0123348-0.0325805j 0.0369284+0.0393935j 0.0483329+0.0031545j 0.0506777-0.0321747j -0.0367343-0.0218805j -0.0278356+0.0214283j -0.023509+0.0354301j 0.013002-0.0433793j -0.0960906+0.0384666j -0.00470174+0.00926188j 0.0674387+0.0050386j -0.0188073+0.108954j -0.113118+0.115838j -0.012337-0.0597043j 0.00131725+0.059291j -0.0922174-0.00908728j 0.0386249+0.0180651j 0.0696346-0.0962635j -0.012608+0.0500639j -0.0210898+0.0436793j -0.0248478+0.0413948j 0.0619152-0.071426j 0.0506375-0.00530619j 0.0124506-0.0712074j 0.00648441-0.0494739j -0.00384365-0.0200474j -0.0257683+0.0982051j 0.0190059-0.0320403j -0.0794721+0.0141429j 0.0557397+0.0234266j 0.0400618+0.0221789j 0.073959-0.0219951j 0.0994596-0.0199054j 0.0955995-0.0343897j 0.0778758-0.0512209j -0.0295174+0.00432837j 0.0067905+0.0443026j -0.0892355-0.0274423j 0.0168956-0.0538801j -0.000724072+0.00867738j -0.0328036+0.0300466j 0.00318094+0.0367821j 0.00452805+0.0501854j 0.00181468+0.00499478j -0.0224742-0.0192369j -0.0110641+0.0109039j -0.0109512-0.00688008j -0.0177654+0.0289363j -0.017779+0.0142198j 0.0555502-0.0943378j 0.066522-0.0379906j -0.0552313-0.000392954j -0.0870142+0.0865104j -0.0217313+0.0487712j 0.0274045-0.0613364j -0.0158175+0.0392842j -0.02424-0.110455j -0.0486798-0.0389283j -0.0167403-0.0551862j 0.0512386-0.00255794j 0.192508-0.137311j -0.0230162+0.0182297j -0.07135+0.00245664j 0.0641158-0.101374j -0.110386-0.119171j 0.0124788+0.0586832j -0.109368+0.0524845j 0.00209639-0.0715396j 0.0309363-0.0583706j 0.0307584+0.0755387j 0.0450471+0.0403247j -0.153934+0.0750128j 0.00165471+0.184756j 
0.0538543-0.0111355j 0.0306437-0.0219354j 0.0301439+0.0185541j -0.0521297-0.0533005j 0.079445-2.22045e-16j 0.0898993+0.0978681j -0.0286756-0.0833237j 0.0596524-0.0671255j -0.0512352-0.126986j 0.0206899+0.00048103j -0.0326012-0.0341707j 0.112089+0.098579j -0.0415448-0.0638483j -0.0568409+0.00634026j -0.0150718+0.183629j -0.00505074-0.153002j 0.156851-0.204661j 0.192026+0.0588029j -0.0522115+0.01627j -0.0133032-0.038403j -0.149318+0.229754j 0.00727569-0.102387j -0.00869144-0.110357j 0.0987044+0.0431567j -0.0153163-0.0892391j -0.0219563-0.0793916j -0.00907647-0.0522865j 0.054586+0.0618268j -0.038519-0.0431022j 0.00886594+0.0163458j -0.0106674-0.0372121j -0.0925682-0.0361674j 0.0328988-0.00445581j 0.00425039-0.00700869j 0.0505406+0.106963j 0.0334185+0.00979214j 0.0395518+0.0110438j -0.034088-0.0337417j -0.00177801-0.0368722j 0.00689268+0.0299209j 0.0268643+0.0409532j 0.0409183+0.0363265j -0.00423891+0.0726566j 0.00647972-0.0365137j 0.0605014+0.0123249j -0.008198+0.0247111j -0.000543798+0.00455671j 0.00554045+0.0433913j 0.0192801+0.00486666j 0.0269744+0.0307653j 0.0203602-0.00373481j 0.000515689+0.00681821j 0.0369367+0.0620558j -0.0161718-0.0379459j -0.00361154+0.0419156j -0.0176156+0.0760419j 0.0164749+0.0122864j 0.0046251+0.00615687j 0.0114622+0.0597513j 0.005456-0.0845964j 0.0276285-0.0703683j -0.0263624+0.0196188j -0.0335836-0.0588617j 0.0328762+0.040245j 0.0626282+0.0247845j -0.00910195-0.0280414j -0.0117495-0.00804792j 0.0027044-0.0184975j 0.0079768-0.00503403j -0.00609486+0.00767426j -0.0160161-0.0286108j -0.0115002-0.0259141j 0.0111955+0.019581j -0.0496885+0.0419643j 0.0355477-0.0101072j 0.0139825+0.0464012j 0.0184168-0.0213126j -0.0470698+0.0765778j -0.0184167-0.0691272j 0.0756461+0.0128616j 0.0300735+0.0718003j -0.00560127+0.0711397j 0.0280421+0.0643381j -0.0194506-0.0520851j -0.0119962-0.0935835j 0.0142655-0.0332109j -0.0656595-0.0313532j 0.0161807-0.123995j -0.0372353+0.0090382j -0.0798918-0.056635j -0.0170543+0.00125611j -0.02075-0.0356767j 0.00388343+0.070873j -0.0611186+0.0526211j 0.0214612+0.0371319j 
0.0305385-0.0317643j -0.0359824-0.00180561j 0.00314299-0.0213011j -0.0156226-0.0473384j 0.0898993-0.0978681j 0.0401695-8.32667e-17j -0.0737136-0.0930201j -0.0715208-0.0349193j 0.0552128+0.112303j 0.0415439-0.108693j -0.103649-0.225979j 0.0623601+0.0856785j -0.0519038-0.112833j 0.081876-0.193513j -0.150648-0.0271847j -0.111227+0.0936126j -0.0433028-0.0158376j -0.00250547-0.102857j -0.00705968+0.164388j -0.00663502+0.00723695j 0.0483791-0.0451475j 0.0559296-0.0307402j -0.0702083+0.0545459j -0.068897-0.0901643j 0.0410166-0.048987j -0.0745215-0.00145795j 0.0556398+0.0726356j 0.019651-0.0894997j 0.0360566-0.101869j -0.0240561+0.00775678j -0.0237691-0.0795619j 0.115858-0.0789922j 0.0724329-0.0627419j -0.00572741+0.0770469j 0.035536+0.042325j -0.000887084-0.0407428j 0.0295094+0.00685978j -0.0243227-0.0389853j 0.00762772+0.0589998j 0.0536299+0.0118403j 0.0224525-0.00068392j 0.00918836-0.000739043j -0.0111996+0.00690984j 0.00611899-0.0106764j 0.0485047+0.029048j 0.00295829-0.0456386j -0.00563298+0.00276345j -0.0169902-0.0106512j -0.0147573+0.0582571j -0.0419554-0.0397804j -0.0341575-0.0128144j 0.0384713-0.00593909j 0.0233621+0.0120942j -0.0181827-0.0149307j 0.0189826+0.0303674j -0.00061761-0.0175847j -0.0028285+0.00552962j -0.0109244+0.0286951j 0.00820159+0.012993j -0.0435053+0.0194218j -0.024876-0.063192j 0.0110129+0.0439996j -0.0102407-0.00569101j 0.0105477-0.00843111j 0.0557012-0.0227064j 0.0137904-0.00823703j -0.00689174-0.018423j 0.0024344-0.0284405j 0.00830711-0.0360098j -0.00662629+0.0859945j 0.000674343+0.0276914j 0.00850885+0.0204792j -0.0151113+0.0257576j -0.007918-0.0219121j -0.0344072-0.0191597j 0.00946723-0.0153409j -0.000496849-0.0433256j 0.0453021+0.0486013j -0.0278283+0.0741675j 0.0107411+0.0112958j 0.0545384-0.0426611j -0.00684323+0.016203j 0.0802213-0.0553026j -0.0378343+0.00140727j -0.0514003-0.0142904j 0.0225524-0.0253489j -0.00419454-0.0827643j -0.0233068-0.015393j -0.0562579+0.0936153j -0.0321829+0.0108723j 0.0364855+0.0398379j -0.0328352+0.0420061j -0.0118179+0.0197166j -0.0299643+0.0271164j 0.0255579+0.0600904j 
-0.0141922+0.0258201j -0.0305714-0.0107231j -0.0516749-0.0978781j -0.0508192-0.0386257j -0.0286756+0.0833237j -0.0737136+0.0930201j -0.131373+3.91354e-15j 0.0563106-0.0583276j -0.175423+0.0267886j 0.0243213+0.0192363j 0.0852211+0.00380599j -0.107024-0.065611j -0.0851301+0.0140426j -0.0834805+0.102046j 0.120343-0.0721713j 0.0329562+0.12036j 0.00772493-0.163843j 0.167244+0.031156j 0.172567+0.0385113j -0.062816-0.0267103j 0.0442862+0.073342j 0.0167221+0.121137j 0.0529707+0.0491024j -0.00746366-0.0758278j -0.114338+0.0239347j -0.0683103-0.065817j 0.0144664-0.0143673j -0.0173318+0.0258058j 0.0589446+0.000909326j -0.0402366+0.0594957j -0.0938329+0.0355264j 0.0591668-0.0507377j 0.027185+0.0225527j 0.0596239+0.0650527j -0.00214133-0.0441809j -0.0664873+0.034289j -0.0110772-0.0307719j 0.0395994-0.027413j 0.05924+0.0980405j 0.00513393+0.0313198j -0.0498985-0.00662686j 0.0115908-0.0453754j -0.0119341-0.0797442j 0.0282064+0.0293165j 0.0691334+0.0686047j 0.0199096+0.0325622j 0.0724303+0.0671009j 0.0135728+0.0145743j 0.0295413+0.0517075j 0.0154214-0.0354781j 0.0137561-0.0148057j 0.0450752-0.0423192j 0.0480138-0.0211541j 0.0138094+0.00483357j -0.00771433-0.000659563j -0.0527754+0.0197057j 0.0510043-0.0411812j -0.0364276+0.0388557j -0.0100928-0.0241325j -0.052257+0.0152019j -0.0439704-0.0542585j 0.0238714+0.0144645j -0.00773144+0.0178521j -0.00821269-0.0238303j 0.022623+0.00959495j 0.0502843-0.018268j -0.00394398-0.0369903j 0.0562917-0.033649j -0.0256829-0.0318753j 0.00560133+0.0495734j -0.00366783+0.00965099j -0.0763301+0.0185149j -0.00453827+0.00221487j -0.0167927-0.0159475j -0.0243023-0.021476j -0.0289046-0.044453j -0.083872+0.0168903j 0.0697+0.0170813j 0.0078704+0.155929j 0.0532193-0.025925j 0.0904005-0.0891946j -0.0355726+0.0335288j 0.0650572-0.00874475j -0.0410723+0.0143047j 0.00295268-0.029017j -0.0375764+0.0421757j -0.0405036-0.0863763j -0.0576789-0.0211202j 0.0447281+0.0659586j -0.00816519+0.0215418j 0.101729+0.0703674j -0.0119234-0.020443j 0.0280428-0.0246306j -0.0515402-0.0698514j -0.0225504+0.0741463j 
0.033828-0.0768357j -0.0198213-0.012843j -0.0196791+0.0177731j 0.029745+0.00181548j 0.0596524+0.0671255j -0.0715208+0.0349193j 0.0563106+0.0583276j -0.00935277+1.72085e-15j -0.000732182+0.0192024j -0.111024-0.0681888j -0.053713-0.0695318j 0.0103827-0.132773j 0.071028-0.00870346j -0.0816802+0.00784433j 0.0210618+0.122354j 0.029616+0.128003j 0.0254486-0.236241j -0.0770401+0.0351646j -0.0527432+0.023462j 0.0154343+0.051378j -0.197303+0.0742928j -0.0402822-0.0252409j 0.0296895+0.00144627j -0.0338758+0.0057566j 0.00834856-0.0290688j 0.00120275-0.0328651j -0.00168857+0.0289443j 0.00170223-0.0821609j 0.0433682-0.0288166j 0.00931164-0.0203008j 0.023276+0.0391913j -0.0273181+0.00926051j -0.0360142-0.0556881j -0.102123+0.0906287j -0.0993947-0.0494722j 0.0200832+0.0435262j -0.104138-0.00402015j 0.0514712+0.0213077j -0.0774838+0.0252816j 0.0911765+0.0318825j -0.0847844-0.0858319j -0.0482846-0.0357289j -0.0189509+0.00874577j 0.0380572+0.0523095j -0.0756903-0.0849015j -0.0139352-0.0367614j -0.0246805-0.0517391j 0.00204581-0.0736853j -0.0810614+0.00394463j 0.016651-0.136717j 0.0221977-0.00516122j -0.0338016-0.0522727j -0.0498195-0.0196275j 0.0327911+0.0313991j 0.0429362-0.147069j 0.0389946-0.0244858j -0.0365844+0.0155322j 0.00784645-0.0450692j -0.0276753-0.0177475j 0.014631+0.0793652j 0.0436041-0.00598641j 0.0151488-0.0264144j 0.0181656-0.00553527j -0.0420954-0.0981431j -0.0452495-0.0630301j 0.0331794-0.0218727j 0.0262444+0.0447289j 0.0324368-0.0786051j 0.000306624+0.0136328j -0.0136381+0.00697666j -0.0148733+0.0387913j 0.0842165-0.0204991j -0.00309713+0.0694144j 0.0102018+0.018587j -0.0669343+0.0211813j -0.0597468+0.0132937j 0.0532489-0.091114j 0.0429343-0.00358629j 0.0510831+0.0317191j 0.0479334+0.0144532j 0.0156506-0.017374j -0.0116166+0.0328934j 0.0328601-0.0772622j -0.00900766-0.0180827j 0.0350241-0.00144317j 0.096347+0.0397198j 0.0790833+0.0467808j -0.0611927+0.100951j -0.0470826+0.0424436j 0.0555384+0.0246798j 0.0216915+0.0440647j -0.0515177+0.0642687j -0.0809596-0.0252087j 0.0735856-0.00334161j -0.0812023-0.132276j 
-0.0270561+0.0241714j 0.00850518+0.0171512j -0.0180318-0.0356604j -0.00966253+0.0395747j -0.0512352+0.126986j 0.0552128-0.112303j -0.175423-0.0267886j -0.000732182-0.0192024j 0.134498-9.64506e-16j -0.0757175+0.0652464j 0.0191329-0.113902j 0.00602882+0.0799639j -0.0202477-0.0396599j -0.0544671-0.0522457j 0.0365863+0.104351j 0.0758945+0.0322401j 0.0482302-0.117855j -0.118943+0.0258801j 0.0855679-0.105303j 0.0461538+0.0715013j -0.117307-0.062596j -0.00397059-0.0827592j 0.0886576-0.0588117j 0.0392418-0.172102j 0.000600779-0.000414287j 0.0389081-0.0525396j -0.00252771+0.0229705j -0.121067+0.0738299j 0.00382582+0.0224708j -0.0583771-0.00396217j -0.0113992-0.0224683j 0.00134873+0.0103038j 0.0481872-0.0190176j 0.0247574-0.0767875j -0.0175142+0.00450502j -0.0416883+0.00828309j 0.0114763+0.000376409j 0.0382442-0.0314886j 0.0505746-0.0445269j -0.0467699+0.0385328j -0.0238226+0.0558233j -0.00504141-0.0201184j 0.0288064-0.0975674j -0.0402385+0.00385737j 0.017474-0.0443419j -0.0478729-0.0295732j -0.0138563-0.0382682j -0.000923049+0.0327288j 0.0221526-0.0513766j -0.0148716+0.0578795j 0.0217815-0.0897206j -0.00838774+0.0474233j -0.00603713-0.000677017j 0.0506424-0.0275999j -0.0238526+0.0079921j -0.025404+0.0136711j 0.0410245-0.0265046j -0.0295624+0.00251221j 0.0129221+0.0419457j 0.00236749-0.0340358j -0.0176132+0.0822782j 0.018261+0.0115365j 0.000970355+0.00326358j 0.0216646+0.0270169j -0.0268058+0.00327635j -0.000584557+0.0112479j -0.0100959-0.0160708j -0.0468956+0.0715653j -0.00811572+0.0202428j 0.0313394-0.0341476j -0.0122287-0.0139687j 0.00919766+0.0251619j -0.00371561-0.0545635j 0.0156046-0.054945j -0.0222976-0.0497541j -0.0241277+0.0452012j -0.100224+0.0278862j -0.0255861-0.0802862j 0.0971176-0.0420976j -0.096007-0.0362839j -0.021795-0.14142j 0.000630395-0.019976j 0.0380595+0.0170539j 0.00784547+0.0012388j 0.0555286-0.0163138j -0.0711439+0.0265398j -0.0312189-0.0385154j -0.0106635-0.06938j 0.0866047-0.0364177j 0.0669701+0.0595618j -0.0121686-0.0450795j 0.0529427-0.0155701j 0.037901+0.0187919j 0.0220758+0.0242946j 0.0626816+0.0065796j 
0.0214394+0.0147489j -0.0286407+0.0183205j -0.0225+0.0737261j -0.017199-0.0649073j 0.0206899-0.00048103j 0.0415439+0.108693j 0.0243213-0.0192363j -0.111024+0.0681888j -0.0757175-0.0652464j -0.0369408+4.85723e-16j 0.0975316+0.172106j 0.0120651+0.0219403j -0.000853377+0.0897796j -0.0103865-0.0178489j -0.0657114-0.002022j -0.0877465+0.00640742j 0.0131394+0.142372j 0.0203792+0.0202969j 0.0828183-0.0389273j -0.0123138-0.0973276j 0.0685317-0.0982317j 0.0647428+0.0469072j -0.013489-0.0762521j 0.0604662+0.221994j -0.0720672+0.0606911j -0.0348589+0.0267645j -0.0547654-0.0994901j -0.0088681+0.00612625j 0.0234716+0.0701399j 0.0204589-0.076726j 0.057812+0.072524j -0.0384048-0.00525105j 0.0240461+0.0681348j -0.0556061-0.140919j 0.101566-0.0201471j 0.0627076+0.00294221j -0.100995+0.0150719j 0.0121025+0.0181914j -0.0192524+0.0367711j -0.0235367+0.0253354j 0.0291652+0.0234643j 0.0071093+0.0761296j -0.0139924+0.0436072j -0.087294-0.0410586j 0.0334203-0.0233023j 0.0125294-0.0208552j 0.0295801-0.00598748j 0.031577+0.0198275j 0.0187954-0.0764678j 0.0053456+0.0461416j 0.091924+0.0153712j -0.0603253+0.0411258j -0.000903667+0.0736931j 0.0174763+0.0227508j 0.0544424+0.0120397j -0.0286725-0.0247428j -0.00988363+0.030799j -0.0105956+0.0239961j 0.0295306+0.0206343j 0.0579167-0.00390729j -0.0487058-0.0103695j 0.014694-0.0356401j -0.0449697-0.0778931j 0.028476+0.0604156j 0.0176761-0.0428216j 0.00805101-0.0457823j 0.000948517+0.00242194j 0.000830366-0.0321989j 0.0280121+0.0488273j -0.00176461-0.0125094j -0.00248937-0.0737272j 0.0217259+0.0417362j -0.00240191+0.0357253j 0.0680405-0.0533342j 0.0210531-0.023461j 0.00832663+0.0152322j 0.0384681-0.012522j 0.0602307+0.00341763j 0.0194583-0.0103709j -0.0356275-0.0368942j 0.0330518-0.0632122j -0.0187666+0.00282764j -0.0137023+0.00673538j 0.0179119+0.0191074j 0.0187277-0.0212517j 0.0283257-0.03587j 0.0387779-0.00782952j -0.0104495-0.107545j -0.0130655+0.0214236j -0.0379374-0.0138874j 0.0491362-0.0530631j -0.02879+0.0126576j -0.0369454+0.0769109j 0.106141+0.174111j 0.130911-0.0594811j 
-0.0170524+0.0125673j -0.00722865+0.012902j 0.00736749-0.0627282j 0.0847617-0.157846j -0.0326012+0.0341707j -0.103649+0.225979j 0.0852211-0.00380599j -0.053713+0.0695318j 0.0191329+0.113902j 0.0975316-0.172106j -0.080666-1.249e-16j -0.0755958+0.0169022j -0.031248+0.10856j 0.0561514+0.0718048j -0.182768+0.0324805j 0.0667057-0.0390577j 0.221279-0.107229j 0.111768-0.101885j -0.0392259+0.159701j -0.0569826-0.00981843j -0.0956298+0.19047j 0.0973471+0.0609612j 0.138194-0.0753886j -0.0747562+0.0290957j -0.0123479+0.0294885j 0.0382944+0.0961294j 0.0144492+0.0389928j -0.0379753+0.0761473j -0.0279489+0.0229662j 0.0680796+0.0556286j -0.0357456+0.135534j -0.146306+0.080396j 0.0201396+0.0158142j -0.0701693+0.131714j -0.00634576+0.00206558j 0.056712-0.0251438j -0.0954584+0.10745j -0.0172053-0.0249628j 0.0167312+0.0174646j 0.0251821-0.00898498j 0.0245139-0.0487146j 0.0162432-0.00673911j -0.0165706+0.0332111j -0.025769+0.00792358j 0.0809322+0.0024943j -0.0435259+0.00110598j 0.0228225-0.0262074j -0.0711619+0.00781654j -0.0839805+0.0467529j -0.0719384-0.026409j -0.00785896-0.0281528j 0.0210272+0.0185286j 0.0175139+0.00850634j 0.00449996+0.0246109j -0.0302266+0.012398j -0.0482419+0.00597572j -0.0150852+0.0095202j 0.00285944-0.0237109j -0.00493017-0.0316036j -0.00637821+0.0226785j 0.0107543-0.00555931j -0.00877233-0.00339307j 0.0478582-0.0105239j -0.00608264-0.00254101j 0.0116842-0.0232029j -0.0431984-0.00060607j -0.0111433-0.0296568j 0.0497212-0.0734268j 0.0407942-0.00171385j 0.0241252-0.0267473j -0.0456395+0.0374448j 0.00255083+0.0126798j 0.0302129-0.0493071j 0.0182319+0.0211868j 0.0398117-0.0114454j -0.0165674+0.0115625j -3.34355e-05-0.00768071j -0.0231422-0.0200325j 0.0400793+0.031536j 0.0508055+0.00262265j -0.0403932+0.0490638j -0.00789969+0.0168232j -0.0129844-0.0184672j 0.0541572-0.0454033j -0.0135646-0.0486198j -0.00326969-0.00802229j 0.023823+0.0115292j -0.0177534-0.00746714j 0.0706139-0.0419398j 0.038317-0.0495604j 0.0263752-0.0135608j -0.102406+0.0247812j -0.00103047-0.0872299j 0.00856992+0.0215995j 0.0323645+0.0061077j 
