0.0219381-8.67362e-19j -0.0015789-7.2941e-05j -0.0146871-9.06566e-05j 0.0213154-0.000885885j 0.000444244+0.000107812j -0.00369619+0.000392342j 0.00640089+0.000391075j -0.00582974+0.000115127j -0.00166266+0.000131352j 0.026995-0.000483227j -0.0150658+7.10281e-05j -9.45702e-05-0.000532882j -0.0177455-0.000117037j -0.00390734-0.000176359j 0.00901553+0.000297291j 0.0086826-0.000254334j 0.00201753+0.000358389j 0.00358113+0.000372472j -0.0129822-1.97016e-05j 0.00201847+1.48547e-05j 0.00452203-0.0001358j 0.0112411+0.00028488j 0.00904744+0.00021013j 0.00658627+8.11159e-05j 0.0066692+9.49012e-05j -0.00337285+0.000178763j -0.00148236-0.000388682j -0.0104306+4.57856e-05j -0.00542734+0.00021745j 0.00368394+0.000643208j 0.0161413+1.74978e-05j 0.00818924-0.000146621j -0.0281706+0.000644256j -0.0121711+0.000517808j 0.024646+0.000672817j -0.0331615+0.00042958j 0.0219465-0.000188352j -0.00639929+0.000119323j -0.0429615+7.06864e-05j -0.00133042-0.000236237j -0.0131218+0.000155294j 0.0250343-9.80064e-06j -0.00965508+7.30688e-05j -0.01583+0.000363306j 0.0133807-0.000417141j -0.0158542+0.000101189j -0.0422048+0.000441383j -0.0474093-4.86001e-05j -0.00329212-0.000185853j 0.0135858-3.14866e-05j 0.00851525+2.56651e-05j 0.0301553-8.26731e-05j -0.0189892-8.74137e-05j -0.00339255+1.45369e-05j 0.0393131-0.000510594j 0.0220462-0.000489974j -0.0104918+0.000100869j -0.0106537-0.000354031j -0.0270504+0.000280314j 0.00675116+8.98608e-05j -0.00860625+3.27784e-05j -0.000235066+6.30578e-05j -0.00610621-0.000218021j -0.0362249+0.000864028j 0.0437822+0.00113556j -0.0217541-0.000459565j 0.0777906-0.0065687j -0.195118-0.00129777j 0.0123805+0.00179505j -0.842999+0.00493857j 
-0.0015789+7.2941e-05j -0.0271317-8.67362e-18j -0.000207011+0.000717603j -0.0242402-0.000370129j 0.00341032-0.00021958j 0.00524779+7.75214e-05j -0.00101049-0.00033605j -0.00415696+0.000465175j 0.00468327+0.000250603j 0.00646388-0.00049558j -0.0154244-0.000652298j -0.00523336+2.29976e-05j 0.014655-0.000317114j -0.00697018-0.000188463j -0.0127913-4.83488e-06j 0.0133131+2.10548e-06j 0.00895454+0.000181037j 0.000743939-1.65358e-05j -0.00137974+0.000268882j 0.01022+5.32116e-05j 0.01786+0.00044681j 0.00172736-2.4221e-05j 0.00323006+0.000168119j 0.0176973+1.14958e-05j -0.0238513+0.000142758j 0.00553088+9.84301e-06j 0.0144814+0.000221237j -0.00245483-0.000219449j -0.00229595+9.97257e-05j 0.00359693-0.000140805j -0.000942415+0.0001885j -0.00173114+0.00032797j 0.00222626+0.000199626j -0.00646126+0.000303181j 0.00797856+0.000255893j 0.0104904+0.000182191j 0.00210993+0.000172345j -0.0121587+2.09357e-05j 0.017132+3.56752e-05j 0.0222608+0.000313077j 0.0100676-0.000371816j -0.00839953+6.14217e-05j -0.0147748+0.00011386j -0.0432662+1.06496e-05j 0.0180027-0.000111961j -0.00823817-8.96463e-05j -0.0262926-0.000446268j 0.00783105-0.000759581j 0.00444042-0.000228086j 0.0136697-0.000101331j -0.0121719+0.000119601j 1.22966e-05-0.000186871j -0.00745733+8.82167e-05j 0.021722-0.000566335j 0.0330642-0.00030107j -0.0340968+0.00124576j -0.0265237-0.000732953j 0.00747439-0.00040064j 0.00875943-0.000329059j -0.00719248+0.000128919j 0.00130759-0.000190641j 0.010351+0.000258817j -0.0152717-7.87442e-05j -0.0423454-0.00153577j -0.0378388+0.00124731j 0.00324789-0.00181496j 0.276357+0.00101268j 0.105266-0.00618305j 0.821218-0.00497872j 0.0143418+0.00184789j 
-0.0146871+9.06566e-05j -0.000207011-0.000717603j -0.038598-3.90313e-18j 0.00606226-1.15775e-05j 0.0057258+1.39283e-05j -0.00404383+0.000252303j -0.0132751+0.000379907j -0.0236139-0.000290906j -0.00372431-0.00019296j 0.0676219-0.000693768j -0.0601639+0.000129828j -8.16318e-05+0.000208724j 0.0454529-0.000122129j 0.00198544-7.57834e-05j -0.0455819+5.29609e-05j 0.108113-0.000684435j -0.0197179+9.52603e-05j -0.048002+0.000712097j -0.00662753-0.000522728j 0.00155512-0.000148528j 0.0388615-0.000550728j -0.0413595-0.000100419j 0.00865228-0.000298248j 0.00631984+0.00066653j -0.0359606-0.000131533j -0.0281544+0.000210617j 0.0455037-0.000709098j -0.00337803+8.43193e-05j 0.0176544+0.000200815j 0.034751+0.000167136j -0.0111157-0.00031411j -0.0273549+3.81363e-05j 0.00738429+0.000774164j 0.0145783+4.74622e-05j -0.0347994+0.000617243j 0.000621916+0.000415979j 0.0107173-0.000792796j 0.0211744-0.00010496j 0.018911+0.000420723j 0.104683-0.00124095j -0.0248888+0.000899301j 0.0284345-0.000535146j 0.00834316+0.000306472j -0.00195242-1.22804e-05j 0.015762+3.10594e-05j -0.0303273+0.000461537j -0.0820618-0.000453115j -0.0747445+0.00089158j -0.041834-0.000804209j -0.0211449+0.000309454j 0.00898488-0.000102538j -0.0194689+0.000113316j -0.0126504-0.00102034j 0.0155077-0.000418663j 0.048542-0.000578191j -0.116344-0.000679333j -0.241211+0.00195844j 0.118579+0.00164259j -0.134378-0.000362273j 0.0581698+0.000126146j 0.0284303-0.000360907j -0.0156717-0.000438992j 0.132564+0.000328836j 0.00583063-0.00190254j 0.0136501+0.00285388j 0.0399204-0.00315256j 0.74836-0.00441356j -0.0628841+0.00707924j -0.207473+0.00348881j 0.0732391+0.00421581j 
0.0213154+0.000885885j -0.0242402+0.000370129j 0.00606226+1.15775e-05j 0.0347965-8.67362e-18j -0.0362305+0.000282074j -0.00865572-0.000131992j -0.0200968-0.000163537j 0.00483933-0.000168563j 0.0239118-0.00026003j 0.0087647+0.000899863j -0.072325+0.000510847j 0.0260324+0.000780197j -0.054592-0.000367359j 0.0156497+0.000458406j 0.0148777-0.000130383j 0.00210818-0.000839947j -0.0265954+0.000279727j 0.0643945-0.000114387j -0.00205181-0.000127185j -0.0170267-0.000149787j 0.0580456-0.000719865j 0.0450644+4.34915e-05j -0.029997-5.28028e-05j -0.00278683-0.000106253j -0.0203895+6.59808e-05j 0.0291607-0.000213608j -0.0107189-0.00044155j -0.00601999+5.06206e-06j 0.0537392-0.0007378j 0.0193211-0.000285177j 0.038926-0.000320929j 0.0301397+0.000522102j 0.00372836-0.000975797j 0.0102466-0.000297303j 0.0381051-0.000186971j 0.00657172+0.000113958j -0.0311298+0.000517795j 0.00127224+0.000197626j -0.0448373-0.00104207j -0.0710152-0.00065581j 0.0120773-0.000109746j -0.01268-0.000275155j 0.0395941-0.000184091j 0.0430066-0.000570772j 0.0232561+0.000663226j -0.012365+0.00011615j -0.0794264+0.000262213j -0.0802612+0.000935208j -0.0795608+0.000859883j 0.014339+0.000572601j 0.0396928-0.000362096j 0.00989671+0.000478154j -0.0514054-0.000267552j -0.0322344+6.88179e-05j -0.00561705+0.000346977j 0.0651879+0.000341242j -0.0224826+0.00520575j -0.0647072-0.00193535j -0.166814+0.00334907j 0.0507224-0.00146239j -0.0326817-0.000704962j -0.035477+0.000539539j 0.0227002-0.00422741j -0.223254-0.000321439j 0.152927-0.00165818j -0.40697+0.00084022j -0.0592566+0.00432438j -0.642789+0.00400429j 0.087746+0.00464494j 0.146882-0.00323567j 
0.000444244-0.000107812j 0.00341032+0.00021958j 0.0057258-1.39283e-05j -0.0362305-0.000282074j 0.0860847+5.9848e-17j -0.0424742-3.12312e-05j 0.0504143-0.000630866j 0.00555847-0.000193495j -0.061568+0.000229321j -0.0121699+7.94997e-05j 0.060512-0.00023333j 0.017817-0.000336167j 0.0988402-0.000115723j 0.00864664-0.000635325j 0.0189849+1.94259e-05j -0.0204971+0.000763905j 0.0525348-0.000277963j -0.105865-0.000475216j -0.0236903+1.30525e-05j 0.00765792+0.000409458j -0.127844+0.000446034j 0.0209495-0.000333562j 0.0389103+0.000114424j 0.0342494+0.000297647j 0.0546004+4.80348e-05j -0.030286+8.63973e-05j -0.0449225+0.000478737j -0.0120541+5.49474e-05j -0.0945003+0.000519275j 0.0208586+0.000335895j -0.0216936+0.000121155j 0.00547353-0.000733811j -0.00358452+0.000246748j 0.0317702+0.000192403j 0.0363305+0.000302545j 0.0594902-0.00127328j 0.0226739-0.000114905j -0.0190995-0.000444254j 0.036474-0.000544403j -0.01793+0.000320658j 0.00780011-0.000268984j 0.0253446-0.000143472j 0.01115-0.000927721j 0.0833916-0.000287246j -0.085322-0.000719931j 0.0284763-0.000995898j 0.135882+0.000557045j -0.0019955-0.00166878j -0.0650726+0.000344144j -0.0306004+0.000959506j 0.0626685-0.000105423j -0.147937-0.000368597j -0.00957105+5.34774e-05j -0.0254792+0.00135586j -0.0388676+0.00249552j -0.266103-1.55964e-05j -0.0710739-0.00137869j -0.0867783-0.00134693j 0.159218-0.00118076j -0.0300616+0.000447772j 0.0336878-0.000133613j 0.0645613-0.000319029j -0.0924486-0.00052579j 0.0228322+0.000115489j -0.697626+0.00609101j -0.138075-0.00203358j 0.0170172-0.00456386j -0.19443+0.00224193j -0.00921626+0.00151582j -0.00340509-7.95198e-05j 
-0.00369619-0.000392342j 0.00524779-7.75214e-05j -0.00404383-0.000252303j -0.00865572+0.000131992j -0.0424742+3.12312e-05j -0.0296486+5.33427e-16j 0.021852+0.000274664j -0.0186956+0.000385513j -0.0306287-8.25545e-05j 0.153732-0.000101615j -0.0714285+0.000159818j -0.0464155+0.000211323j 0.0748614-0.000366035j -0.0145528+0.00042432j -0.0463391+0.000495693j 0.24785-0.000595521j -0.0283675+0.000385324j -0.0741572-0.000331798j -0.0358893-0.000338535j 0.00868209+0.000171177j 0.110933-0.000769278j -0.0233965+5.94335e-05j 0.0596223-0.000344724j 0.0098884+0.000134525j -0.0735775+0.000605926j 0.0306738-0.000121664j 0.0996601-0.000806182j -0.00146111+0.000107159j 0.0662614-0.000225218j 0.0708374+0.000170424j 0.0787616-0.000163733j -0.102232-0.000250885j -0.00807889+0.000242998j -0.0297241+0.000322496j -0.107948+0.000646709j -0.0908393-0.00144383j -0.027459-0.000501853j -0.0215798+0.000289072j 0.0511077-1.56481e-05j 0.0306793-3.73535e-05j -0.100794+0.00090161j -0.0121499+0.000579445j -0.07042+4.38104e-05j 0.0189279-0.000395635j -0.0428807+0.00067719j -0.0815028+0.000274248j 0.0874185-0.000489188j -0.150747+0.00289464j 0.00676597-7.54155e-05j -0.02098+0.000992626j -0.000486973+0.000113399j 0.00828014-0.000186301j 0.077426-0.00104138j 0.12801+0.00159503j 0.1492-0.00210756j -0.13169+0.00148395j -0.309842+0.00260154j 0.0015224-7.8876e-05j -0.248245+0.00243336j 0.0842045-0.00140416j 0.0225612+0.000751357j 0.00970226-0.00106656j 0.185337-0.000523555j -0.359444+0.00399691j -0.140069-0.0034708j 0.319064+0.00258163j -0.278602+0.00113187j -0.00222244+0.00133501j 0.0483438-0.00108979j 0.00251376-0.00192062j 
0.00640089-0.000391075j -0.00101049+0.00033605j -0.0132751-0.000379907j -0.0200968+0.000163537j 0.0504143+0.000630866j 0.021852-0.000274664j -0.0783552-1.25507e-15j 0.0338776+3.67636e-05j 0.0292847+5.62037e-05j 0.0223728+1.1187e-05j 0.11707+0.000583135j -0.163681+0.000330972j 0.138288+0.000105932j -0.0986137+0.000301316j -0.104953+0.000200221j 0.150156-0.000909166j -0.0808262+0.000277164j -0.092193-0.00107017j 0.0228061+0.000278512j -0.0281101+2.92426e-05j -0.0262948-0.000324022j -0.0755371+7.62942e-05j 0.0849963-0.000642025j 0.0326169-0.00119j -0.00112749+0.000666173j -0.0194113-0.00106003j 0.0432527+9.16877e-05j -0.0151422+0.000171085j -0.0385608-0.00131279j 0.0132462-0.000721545j -0.0317222-0.00046097j -0.021151+0.000312407j -0.0288652-0.000345751j -0.0179303+0.000376712j -0.0640424-3.6248e-05j 0.06255-0.00112498j 0.0369181+0.000500898j -0.0463304+0.000591763j 0.163061-0.000720068j 0.238265+6.80924e-05j 0.130605-0.00116206j 0.0217187+0.000123245j -0.0409017-2.3984e-05j 0.0263692-0.000533699j -0.172277+0.000750985j -0.0123509+0.000193677j 0.0948914-9.77824e-05j -0.0785729+0.00149788j 0.0497519+0.000670205j -0.0180636+0.000577833j -0.0247359-0.000122191j 0.0678407-0.000442224j 0.104448-0.000657744j -0.263438+0.00228674j -0.0515166+9.29052e-05j 0.0474668+0.00144896j -0.321101+0.00352116j 0.0542748+0.00118694j -0.0751961+0.00434157j 0.0524078-0.00169914j 0.0422282+0.00046927j 0.0253677+8.56139e-05j 0.181705-0.00265463j 0.39075+0.00031566j 0.0905206-0.00371246j -0.319959+0.00592554j -0.125964+0.00259231j 0.0374445-0.00119688j 0.0453583-0.0010421j -0.035752-0.00135788j 
-0.00582974-0.000115127j -0.00415696-0.000465175j -0.0236139+0.000290906j 0.00483933+0.000168563j 0.00555847+0.000193495j -0.0186956-0.000385513j 0.0338776-3.67636e-05j -0.0855138-1.11022e-15j 0.0292265+7.89468e-05j -0.0325433+0.000191833j -0.17932+0.000194622j 0.126053+0.000847736j -0.00376864-0.000228168j 0.0707158+8.03165e-05j 0.0274912+0.000645588j 0.0751071+0.000348239j 0.0155304+0.000181307j 0.00814563+2.8625e-05j 0.00784017+0.000276283j 0.0467523-0.000299614j 0.103649-0.000208593j 0.010038+0.000128768j 0.0130225-3.28127e-05j -0.0207768-0.000130885j 0.0216073-0.000616805j 0.0332771-9.05737e-05j 0.0526274-0.000575184j 0.0187178-0.000270453j 0.0455365-0.000239012j -0.0416659+0.000176221j -0.000350962+0.00024898j 0.0163887-0.000111137j 0.0747356-3.57124e-05j 0.0203939+0.00066481j 0.0834911-0.000139579j 0.0140882+0.00138122j -0.0185116-0.000186427j -0.154762+0.000743302j 0.0150826+0.000118198j -0.112902-0.00104378j -0.00645184+1.59044e-05j -0.180969+0.000147383j 0.0439272+0.000723019j 0.0460024-0.000174524j 0.0454514+0.00112932j -0.0169618+0.000208759j -0.0550903-0.000482571j 0.0140783+0.0011928j -0.176498-0.000158865j 0.0245626-0.00033538j 0.0907088-0.000748033j -0.089044-0.00123647j -0.120897+0.000424611j 0.100599+0.00178953j 0.167447-0.00174769j -0.0731653+0.0010273j -0.268321+0.00136911j 0.0939179+0.000212894j 0.170599+0.000711488j -0.0215401-0.000590794j 0.0318692+0.000312547j 0.115175-0.00104826j -0.108327-0.00061878j -0.219964+0.00209698j 0.057035-0.00335737j -0.44924+0.0034004j -0.0433397+0.00538074j 0.334663-0.00393344j -0.0645252-0.00196283j -0.0427763+0.00125912j 
-0.00166266-0.000131352j 0.00468327-0.000250603j -0.00372431+0.00019296j 0.0239118+0.00026003j -0.061568-0.000229321j -0.0306287+8.25545e-05j 0.0292847-5.62037e-05j 0.0292265-7.89468e-05j 0.285258+8.23603e-15j 0.0664023+0.000555195j 0.211746-0.00029049j -0.137387+3.39484e-05j -0.151011-7.10506e-05j 0.0791057-7.55254e-05j -0.223813+2.57957e-05j -0.0486045-0.000276276j 0.0138507+7.03235e-05j 0.0706313+0.000295273j -0.000100254+0.000214591j 0.121175+3.67842e-05j -0.043676+0.000289463j -0.051405+0.000423597j -0.000590666-0.000303233j -0.0376151-0.000137804j 0.107578-0.000714415j 0.0506382+0.00027451j -0.0436114+0.000146673j -0.0140368-0.000129528j 0.0928716-0.000275245j 0.0218511+0.000366478j 0.0337267+0.000486706j 0.0892418+0.000450773j -0.111254+0.000750548j -0.0363835+0.00107253j -0.00837492-0.00071638j 0.0582271+0.00104917j -0.187113+0.000312643j 0.104308+0.000809575j 0.103204-0.000926492j -0.0710065-0.000697106j 0.196491-0.000751362j -0.218417+0.00110387j -0.165425+0.00124528j -0.167935+0.00113386j -0.140559+0.000807485j -0.0110091+0.0010166j 0.0420677-0.000535437j -0.048792-0.00114551j -0.00967133-0.00051925j 0.110137-0.000869096j -0.186664+0.000502549j 0.156707-0.000364297j 0.0452225-0.000404244j -0.118621+0.00091187j 0.196496-0.00122945j 0.256163-0.00225807j 0.074602+0.000236394j 0.137065+0.000422576j 0.00928682-0.00231907j -0.0693063+0.00136534j -0.0298311+0.000396138j -0.00234997-0.000885568j 0.0552534+0.000530495j -0.219579+0.00165549j -0.21352+0.00226236j -0.0691771-0.000956165j 0.0769659-0.000582313j 0.0334764+0.000444511j -0.0379175+0.000695127j 0.0129253+0.00131534j 
0.026995+0.000483227j 0.00646388+0.00049558j 0.0676219+0.000693768j 0.0087647-0.000899863j -0.0121699-7.94997e-05j 0.153732+0.000101615j 0.0223728-1.1187e-05j -0.0325433-0.000191833j 0.0664023-0.000555195j 0.134259-1.5805e-16j 0.0752831+0.000369916j -0.00244212-0.000401565j -0.0271898+0.000742623j -0.13726+0.000109536j -0.10162-0.000178876j 0.220224-0.00092578j 0.00145484+0.000630601j 0.00310405-0.000616307j 0.0395238+0.000144273j -0.0267376-0.000745105j 0.125737-0.000361895j -0.0446667+0.00013772j 0.0874676-0.000201333j -0.113496+0.000385377j -0.0119537+0.000489614j 0.103176-0.000108743j 0.0926197+0.000128984j -0.00623576+0.000365404j 0.0236807-0.00112608j 0.148459+0.000280734j 0.0413668-0.00086574j 0.0650777+0.000340425j -0.139804+0.00130427j 0.0027779-0.000454661j -0.0283274-6.45462e-05j 0.0776435+0.000659983j 0.128159-0.000105416j -0.0529017-0.000554985j -0.204176+0.000252379j -0.0614837+0.000362071j -0.0204616-0.000854384j 0.0104751-7.47501e-05j -0.0967166+0.000309769j -0.0597687+0.00054501j -0.0841055-0.00115066j 0.0179085-0.00012767j 0.103151+0.000754434j -0.172322+0.000136173j 0.135619+0.000939937j 0.0298835+0.000590005j -0.1064+0.00150172j 0.101224+0.000348711j 0.150654-0.00126584j 0.137663-0.00256023j 0.183759+0.000591377j -0.0912613-0.00117366j -0.0464823+0.00214009j -0.366358-0.00257156j 0.18893-0.000251725j -0.0702239+3.25262e-05j -0.011592-0.00050876j 0.139118+4.90725e-06j -0.360178-0.000748539j 0.119071-0.00111003j 0.0878525-0.000416317j 0.00929078-0.00328517j 0.0504586-0.00171558j -0.0472118-0.00156695j -0.0299496+0.0014937j 0.0404549+1.28632e-05j 
-0.0150658-7.10281e-05j -0.0154244+0.000652298j -0.0601639-0.000129828j -0.072325-0.000510847j 0.060512+0.00023333j -0.0714285-0.000159818j 0.11707-0.000583135j -0.17932-0.000194622j 0.211746+0.00029049j 0.0752831-0.000369916j -0.0115902+2.51914e-15j 0.0890509-0.000879939j 0.0630406+0.000196151j 0.132149-0.00115859j -0.217918+5.45799e-06j 0.0433287+0.000405135j 0.110226-0.000168002j -0.118446+0.00019559j -0.0377944+0.000115523j 0.245823-0.000267028j -0.0178035+0.000460053j -0.16109-0.000331753j 0.0267263-6.34619e-05j -0.0534804+0.00037875j 0.0297046+0.000514379j 0.0127408+0.00012217j 0.112686+9.93784e-05j 0.0512308-0.00106533j 0.0470924+1.30749e-05j 0.0599426-0.000684007j -0.129173+0.000708223j -0.0463526-0.00060309j -0.0663304-0.000945724j 0.0276467+0.00117021j -0.0420072-0.000452671j 0.133478-0.000181971j -0.0602471+5.28236e-05j 0.0381367+0.00146092j 0.271569-0.00111775j 0.173052+0.00112398j -0.29146+0.00194527j -0.0852267+4.44273e-06j 0.0381074+6.70983e-05j 0.0275072+0.000244364j 0.12439-0.000543637j -0.19127+0.00086943j -0.0999747+0.0012138j 0.0776246+0.000235579j -0.0947129-0.000617884j -0.182054+0.000418923j 0.141717-0.000792414j -0.0401724-0.000558657j -0.0271761-0.00049891j -0.0247553-0.000432301j 0.210129-3.31742e-05j -0.0733489-0.000399682j 0.206478-0.000337276j -0.0411474-0.00133548j -0.0298405+0.000807008j -0.028179-0.000185774j -0.0980058-0.000152229j -0.0367656+0.00058647j -0.0818867-0.000516719j 0.157172-0.000717475j 0.0611198+0.000308429j 0.0233878-0.000643886j -0.0719312-0.000372198j -0.0862015-0.000303233j 0.00795857+0.00015032j -0.00251164-0.000633807j 
