0.0247266-1.30104e-17j -0.0107237+0.00030568j 0.00792703-0.000210134j 0.0304811-0.00171346j 0.00672797+0.000297898j -0.0139231+0.00355426j -0.0406515+0.00330774j 0.00425607+0.0014823j 0.0167342+0.00223151j 0.00232658-0.00381179j -0.0341945+0.000963195j -0.0130053+0.000133366j -0.0550709+0.00193234j 0.0440766-0.000289235j -0.0745776+0.00100938j 0.0262453+0.000404767j -0.00913182+0.000621275j -0.00924161-0.00364893j -0.0367533-0.00196564j -0.0135659+0.00238308j -0.00060595+0.0013542j -0.0259365+0.00510994j -0.0374913+0.00108538j -0.0145368+0.000718984j -0.0105063-0.000591095j 0.013443-0.00198124j 0.0185894+0.00220512j -0.0354094+8.10645e-05j 0.00792216-0.000469169j -0.0236354+0.00141731j -0.0240309-0.000129048j -0.00797215+0.00336872j -0.0102736-0.00254637j -0.000404316+0.000464931j -0.0297654+0.00416574j -0.00702784+0.00127562j -0.00372736-0.00246193j -0.00299102+0.00506364j 0.0213082+0.00126085j -0.00279205-0.000392244j -0.0189276+0.00236115j 0.0157216+0.000864641j 0.0407182+0.00265155j -0.0583835+0.0131667j -0.066004+0.00704562j 0.155827-0.00666645j 0.00583786-0.00259533j -0.0188126+0.0039136j 0.0111844+0.0102828j 0.119341+0.013932j -0.0207362-0.000333293j 0.00226805-0.00399695j 0.0207735-0.00588958j 0.0471848-0.00624381j -0.0530024+0.0102992j -0.0194177+0.00307306j 0.0127118-0.00455598j -0.0355239+0.00677103j 0.0169465+0.00411276j -0.00456611+0.00173445j -0.012+0.00438599j 0.00131524+0.000413999j -0.0168946-0.00677834j 0.0556596-0.00297105j -0.0197869+0.0043755j 0.00233593-0.00908132j -0.0493539-0.0010569j -0.000805265-0.00210009j 0.0542035+0.00870974j 
-0.0107237-0.00030568j -0.0260511+1.38778e-17j 0.0327866-0.00220737j 0.00282566+3.70844e-05j 0.0140342+0.000400262j 0.0265688+9.81201e-05j 0.0261586+0.00232991j 0.0226188-0.000499078j 0.0255871-0.00298357j -0.0262896-0.00132123j 0.0080985+0.00230058j -0.000952987-0.000200593j 0.00682913+0.0052925j 0.0186055-0.00324634j -0.00535631+0.00696894j 0.000659996-0.00179612j 0.0217418-0.00145203j -0.052361+0.00211895j -0.0392473+0.00438118j 0.00390201+0.000875763j 0.0311095-0.000610286j 0.0435117+0.000737006j 0.00956615+0.00275978j 0.0192188+0.00084866j -0.0217909+0.00242377j -0.0126551-0.000228571j 0.0190035-0.00318726j -0.0124698+0.00334054j -0.00145863-0.000783136j 0.000573123+0.00242607j -0.010614+0.00311814j 0.0170613+0.00262003j -0.013403+0.000597649j -0.00395563-4.07189e-05j 0.0107246+0.0050341j 0.00568922+0.000693548j -0.0116151-0.00104576j 0.0338141-0.000840476j 0.0261545-0.00516804j -0.0162504-0.00187393j -0.00247281+0.000972983j 0.0260694-0.0021037j 0.028814-0.00670834j 0.115838+0.00182133j 0.0566754+0.00338067j -0.0127242-0.0156659j -0.0212927+0.000147008j 0.0346038+0.00181954j 0.105071-0.00539379j 0.146364-0.0190658j -0.00621557+0.00211179j -0.0251812+3.49318e-05j -0.0399228-0.00295676j -0.045333-0.00460797j 0.0603674+0.00558904j 0.0255815+0.00276612j -0.017027-0.0016799j 0.0344846+0.00314702j 0.0160899+0.000571388j -0.00431933-0.00174776j 0.0116737+0.00415904j 0.0112326+0.000357651j -0.0432555+0.0032213j 0.00130976-0.0121267j 0.0303588-0.00249826j 0.0559+0.000992696j -0.00351167-0.00992627j -0.0593491-0.00917j -0.00161196-0.00168902j 
0.00792703+0.000210134j 0.0327866+0.00220737j -0.00774314-3.81639e-17j -0.0250222-0.000747184j -0.017155-0.00238564j -0.0106815-0.000294811j -0.0152251-0.0053322j -0.00458227-0.00239632j -0.0502986+0.00169351j 0.0956133+0.003086j 0.0584289-0.00187001j 0.0273482+0.000462788j 0.028802-0.00177737j -0.0666819-0.000516286j 0.0771794-0.00172898j -0.0683395+0.00102978j -0.00923899+0.00047429j -0.0547292+0.00599768j 0.0218048+0.00843458j 0.0159067+0.00013632j 0.0529683-0.00322206j -0.00670467+0.000250879j 0.0922927-0.00545687j 0.0348675-0.00473817j -0.0589946+0.00218364j -0.0134368+0.00451077j -0.0190232-0.000589651j 0.021821+0.00287726j -0.00351404+0.000653918j 0.0234676-0.000813086j 0.00316965+0.000756589j -0.132892-0.00214327j -0.0284873+0.00155915j -0.0260968+0.00233797j -0.0287094-0.00867412j -0.0416364+0.00216258j -0.0870617-0.00361145j -0.0792022+0.00351235j 0.0924429-0.00274584j 0.0481849+0.00575435j 0.04134+0.000635842j 0.0570218-0.0091171j -0.0714039+0.00509062j 0.0238934-0.00385509j 0.0729935-0.000255382j -0.107815+0.00449467j -0.0124768+0.00509029j -0.102434-0.000707428j 0.0555908-0.00265207j -0.0259116-0.00323446j 0.027183+0.000647383j 0.0182553+0.00160312j -0.0221699+0.00386035j 0.0485987-0.00329469j -0.0261486+0.0104653j 0.00591851+0.000324312j -0.00935595-0.000807686j -0.0440705+0.00712981j 0.0283273-0.00214045j -0.0167061+0.00588044j -0.06861+0.00120931j -0.0321743-0.000454214j 0.0326119+0.00412992j 0.00880564-0.00453082j 0.057432+0.000595631j -0.00990832+0.00479328j -0.0369016-0.0109248j -0.00146609-0.00721504j 0.048796+0.00382101j 
0.0304811+0.00171346j 0.00282566-3.70844e-05j -0.0250222+0.000747184j -0.0182891+5.20417e-17j -0.0354207+0.00130324j 0.0240978-0.00220673j -0.0471219-0.000670301j -0.00546995+0.00118628j 0.011378+0.00450443j 0.0605442-0.00321381j -0.000893111-0.00388021j 0.00581735-0.00112097j -0.0105923-0.00384068j -0.0101944+0.0041242j -0.0170185-0.00387195j 0.0258926+0.00262907j 0.0165182+0.00220535j 0.205694-0.00348335j 0.232983-0.00691536j -0.0318713-0.000596482j -0.0546836-0.0011074j -0.0391539-0.000511147j -0.0383673-0.00425969j -0.053675-0.00484718j 0.0133204+0.00386715j 0.0482366-0.00118096j -0.0157527+0.00328977j 0.089489-0.000738542j 0.0372842-0.00146581j -0.00393913+0.000686297j 0.0303888+0.000246297j -0.0448823+0.00888297j -0.0165631+0.00679208j 0.0763588+0.0010795j -0.169584+0.00364809j 0.0255713-0.000373289j -0.122286+0.0140985j 0.0847509+0.000891925j -0.0541964+0.000818817j 0.0893551-0.00721212j 0.0344884-0.00398655j -0.0489276-0.00194714j 0.017233+0.00658478j -0.0609325-0.00807856j 0.00795634-0.00837251j 0.0133958+0.00926222j 0.0379315-0.000126466j -0.0891981+0.00771683j -0.0147577-0.00350108j -0.0187837-0.000964959j 0.000565068-0.00149974j -0.00605514+0.000722197j 0.0425834+0.00110721j -0.0528176-0.00150755j 0.0170485+0.00340712j 0.0261952+0.000316091j 0.0229166-0.00606435j 0.00676321+0.0032955j 0.0148492-0.0113768j -0.0608279-0.00247099j -0.00131582-0.000373369j 0.0279325+0.00132689j -0.0343426+0.00946183j -0.0065127-0.0032035j 0.0211496+0.0129919j 0.0089927+0.00920836j -0.00726734-0.00499721j -0.0428821-0.00390958j 0.00152191-0.00552212j 
0.00672797-0.000297898j 0.0140342-0.000400262j -0.017155+0.00238564j -0.0354207-0.00130324j 0.0181261-2.94903e-17j 0.00174712+0.00180764j 0.00194508-0.00264926j -0.0314458+0.000752134j -0.00364638+0.00330196j 0.10266+0.00106007j 0.0376611+0.000864379j 0.0554712-0.00276294j -0.034188+0.00569153j -0.14169+0.00104892j 0.00561522+0.00122154j 0.239692-0.00330241j 0.0303978+0.00231499j -0.133444+0.00513615j 0.00962143+0.00111269j 0.0370519-0.00268491j 0.0601575-0.00655006j -0.0559379+0.00371492j 0.0168678-0.00193813j 0.0044016-0.00255351j 0.000742169-0.000988478j 0.0196325-0.000625543j -0.0144551+0.000508229j 0.0349537+0.00166794j 0.00902583-0.000116046j 0.032884+0.000462527j -0.0386806+0.00117863j -0.0174348+0.00213712j 0.0428298+0.00228938j 0.0719581+0.000845434j -0.0937963-0.00506492j 0.0124685+0.000691825j 0.13413-0.00309148j -0.151102+0.0105403j 0.00087933+0.0082207j -0.000656232+0.00360007j -0.117436+0.0078539j 0.0277675+0.00425049j 0.0463683-0.00128616j -0.021394+0.00593721j 0.126961-0.00385335j -0.0485149+3.19207e-05j -0.0246567+0.00235185j -0.00271374-0.000616384j -0.0416148+0.00396846j 0.00827095+0.00830519j 0.0399547-0.00022428j -0.027333-0.000120418j 0.0403352-0.00479909j -0.0717407-0.0023468j 0.0196637-0.00068425j 0.0179213+0.00182301j -0.0115405+0.00267429j -0.00631118-0.00111217j -0.0265812+0.00566657j -0.00922973+0.00592625j 0.017579+0.00199716j 0.0138104-0.00249618j -0.00732984-0.00698803j 0.0140184+0.0119908j -0.0261625-0.00208941j 0.000218263-0.00595466j 0.041957+0.00753125j -0.0063539+0.00603578j 0.00397575-0.0024695j 
-0.0139231-0.00355426j 0.0265688-9.81201e-05j -0.0106815+0.000294811j 0.0240978+0.00220673j 0.00174712-0.00180764j 0.0667815-5.39933e-16j 0.0658855+0.00188252j -0.0450767+0.000878597j -0.0158406-0.00184508j -0.0811569-0.000911189j -0.00183206+0.00102479j -0.0255778-0.00090595j 0.218531-0.00104235j -0.211201+0.00104149j 0.014597-0.0026134j 0.135573-0.00286027j 0.213108-0.00111861j 0.123714-0.00197647j 0.0237418-0.00329435j 0.0330064-0.00270199j -0.0534283+0.00129612j -0.0279957-0.00119412j 0.0644961-0.00416192j 0.168074+0.000783746j -0.0948129-0.00218748j 0.0124429-0.000482567j 0.0223758-0.00074115j 0.0338824-0.00558356j -0.0038912-0.00212109j -0.0574618-0.000846671j -0.0812869+9.81681e-05j 0.0205263+0.00147673j 0.101046+0.000467783j 0.00970904-0.00657414j -0.0779414+0.00243453j -0.0499388+0.000365976j 0.0707968+0.00111425j 0.0847668-0.00148387j 0.00797867+0.000871329j 0.0993212-0.00333531j 0.113402+0.00430922j -0.0488766-0.00455612j -0.0534755-0.00224241j 0.12042+0.00446085j 0.00902905-0.00177862j -0.0877537+0.00234379j 0.0407318-0.00508286j 0.0304686+0.0027807j -0.0496862+0.00282804j -0.0773349-0.0052213j 0.0229068-0.000264556j 0.00808381+0.00189216j 0.0360205-0.0101663j 0.0255989-0.00727912j -0.00492726+1.32137e-05j -0.0237991-0.000109765j 0.0548565-0.00369131j -0.00814601-0.00168423j 0.0517237-0.00464447j 0.00901126-0.00489726j -0.0562284+0.00279945j -0.0251433+0.00144693j 0.00561255-0.00254071j -0.0119955-0.00203738j 0.0341472+0.00896516j -0.020318+0.009619j -0.00280849-0.00485336j -0.00249687+0.00334753j 0.033095+0.00292149j 
-0.0406515-0.00330774j 0.0261586-0.00232991j -0.0152251+0.0053322j -0.0471219+0.000670301j 0.00194508+0.00264926j 0.0658855-0.00188252j 0.127827+3.94216e-16j -0.0810015-0.000894595j -0.0515314-0.001738j 0.0474832+0.00274335j 0.0864533+0.0040057j 0.189741+0.0025287j 0.108248-0.00478499j 0.119781-0.00300068j 0.092599+0.00211174j 0.0918361+0.00522822j 0.0930432-0.000510698j 0.00754965-0.00878511j -0.0391247-0.00404134j -0.0530112+0.00220092j 0.129519+0.00181375j 0.0258921-0.000244319j 0.119073+0.00027672j 0.093118+0.00261189j -0.00228967-0.000124832j -0.0256299+0.00373652j -0.065114-0.000593489j 0.000427378-0.00315799j -0.00300999+0.00105367j -0.00694873-0.000819674j 0.0178924-0.00198278j -0.0663148-0.00457484j 0.0427581+0.000668268j 0.00202852+0.00202484j 0.0729678-0.0077623j -0.0863958+0.00239472j 0.0243156+0.00453207j -0.079407-0.00222509j -0.0986894+0.00651717j -0.0562915-0.00163876j -0.125106-0.00101173j 0.104219-0.000467541j -0.0184009+0.00192407j 0.16971+0.0014736j 0.172486+0.00207711j -0.150188+0.00560771j -0.0387801-0.000528239j 0.0571228+0.00236599j 0.165286-0.00713057j 0.0349277+0.00467075j -0.0101815+0.000837638j 0.0115915-0.000757471j -0.0739985+0.00348806j -0.0161933+0.00394637j 0.0399765+0.00150651j 0.0447988-0.001919j -0.0203974+0.000366309j -0.028214+0.00185368j 0.013459-0.00181626j -0.00797561-0.00172811j -0.0328872+0.00083736j -0.020424+0.00243117j 0.0154973+0.00679971j -0.0263312+0.00194838j 0.037129-0.00223045j 0.0465694+0.00992462j 0.0314563-0.0082084j 0.0292414+0.00375499j 0.0393063-0.00790113j 
0.00425607-0.0014823j 0.0226188+0.000499078j -0.00458227+0.00239632j -0.00546995-0.00118628j -0.0314458-0.000752134j -0.0450767-0.000878597j -0.0810015+0.000894595j -0.110635-1.66327e-15j -0.112672+0.00148022j -0.0592185+0.00231934j 0.0938553+0.00271746j 0.0137894+0.00247561j -0.13834-0.000603317j -0.32956+0.000468578j 0.207977+3.6956e-05j -0.321703+0.00245098j -0.0643387-0.00145876j -0.341839-0.00745978j -0.114541+0.00354432j 0.159894-0.00588729j -0.0333531-0.00450082j 0.0989942+0.0029422j 0.238375-0.00296918j 0.0410712+0.0012363j -0.0565233-0.00248965j -0.0173787-0.00384808j 0.0242941-0.00272994j 0.0330519+0.000230438j 0.0163132+0.00283272j 0.0294207-1.02629e-05j -0.00960243-0.000871131j -0.0983957+0.00188311j -0.0636446-0.0016085j -0.0135044-0.000822732j 0.0307895+0.00068907j 0.0623112+0.00230938j 0.0982736+0.000264261j 0.0145776-0.00827773j 0.129421-0.000150255j 0.0256871+0.00285916j 0.0614655-0.00155747j -0.00434577+0.00310056j -0.0565649-0.0030854j 0.0237858-0.00168805j 0.141362-0.0035155j -0.172809+0.00249184j -0.0502503+0.000562398j -0.094325+0.00251923j -0.0572296+0.0116942j -0.0837125-0.00376336j 0.0358425+0.00135784j -0.0402549+0.00247855j -0.0156957-0.00104491j -0.0567374-0.00578642j 0.0583394+0.000117902j -0.00511557+0.00221977j -0.0337152+0.00760266j 0.0311816+0.00414449j -0.00649064+0.000679022j 0.0194088+0.00635497j -0.0290817-0.00406988j -0.0171603-0.00222325j 0.0403332-0.0047278j -0.0365801-0.00361206j 0.0520202-0.00202897j 0.0318904+0.0105929j 0.0673687-0.00214943j -0.0122906+0.00675288j 0.0388052-0.00402377j 
0.0167342-0.00223151j 0.0255871+0.00298357j -0.0502986-0.00169351j 0.011378-0.00450443j -0.00364638-0.00330196j -0.0158406+0.00184508j -0.0515314+0.001738j -0.112672-0.00148022j -0.103799+7.94156e-15j -0.165198-0.000432655j 0.0171266+0.00340607j 0.0942114+0.00299775j -0.181861+0.000707992j -0.12711-0.00567881j 0.0729304+0.00545131j -0.0496487+0.000137059j 0.034611+0.00224221j 0.461967-3.13573e-06j 0.330435+0.00645066j -0.0314915-0.00412562j -0.165757-0.00378489j 0.0128672+0.000639893j 0.083707-0.00102174j -0.11233+0.00526153j 0.0809695-0.00431984j 0.0838092-0.00489082j -0.0262494-0.00227075j 0.127903+0.000283721j 0.0689762+0.00144845j -0.0296124-0.000657134j 0.0693435+0.000618472j -0.0665556-0.00259571j -0.0622016-0.00233442j 0.152143-0.000484077j -0.0339416-0.00272559j 0.0126165+0.00199974j -0.0525194-0.000483685j 0.113005+0.00502147j -0.154638-0.000703335j 0.0308876+0.00406282j 0.0630593-0.000170059j -0.118745-0.00307622j -0.0596542-0.00119681j -0.100575+0.000997945j 0.0155707+0.00312771j -0.102347-0.0044447j 0.0385178+0.00295839j -0.068488-0.00215321j -0.113476+0.00297417j -0.24111-0.00062521j -0.0148142+0.000102119j 0.0137789+0.0022573j 0.0372467+0.00252479j -0.00598888+0.000564661j 0.00625749+0.000875651j 0.00878575+0.00316414j 0.0417349-0.000189279j -0.0143463+0.00213724j 0.0258125-0.00922047j -0.0080611-0.00556127j 0.0075883-0.00797162j 0.00664237+0.00175921j 0.0202138+0.00492166j -0.0294178+0.00499686j -0.0380515+0.00727266j -0.114389+0.00465212j 0.0327911+0.0126368j -0.0394126+0.00947345j 0.0359041+0.0104206j 
0.00232658+0.00381179j -0.0262896+0.00132123j 0.0956133-0.003086j 0.0605442+0.00321381j 0.10266-0.00106007j -0.0811569+0.000911189j 0.0474832-0.00274335j -0.0592185-0.00231934j -0.165198+0.000432655j -0.281145-5.37764e-15j -0.259803-0.000873152j 0.06575+0.001093j -0.15888+0.00112829j -0.124174+0.000641133j -0.155665-0.000716235j 0.198697+0.00440798j 0.206521-0.00939715j -0.076308-0.00597793j -0.221527+0.00529339j -0.00513564-0.00279637j -0.125809-0.00467374j -0.011797-0.000932306j 0.00656885-0.00262846j 0.0771989+0.00274306j 0.125585-0.00184701j 0.0355285-0.00304648j -0.017782-0.00389949j -0.0527848-0.000505847j 0.0403095+0.00306661j -0.103707-0.00104523j -0.0105266-0.00134418j 0.032024+0.00112386j -0.0931119-0.000491254j 0.0846295-0.00290926j 0.0887286+0.00191378j -0.0255827+0.00167248j 0.100538+0.00345453j 0.105056-0.00933685j -0.159959+0.000905428j -0.0810448+0.00721356j -0.118559+0.000936525j 0.0143361+0.00490027j 0.0177854-0.000894883j -0.0805039-0.00591603j -0.104948-0.00595422j 0.24865+0.00484191j 0.0297465+0.00359152j 0.0627932+0.000147155j -0.0240282-0.00505258j 0.162427-0.00281694j -0.0513223+0.0015902j -0.0135497+0.00580307j -0.00169599-0.000285682j 0.0443859-0.00158504j -0.0546787+0.00352313j -0.0295423+0.00342777j 0.0300986+0.0054351j -0.0580113+0.00285519j 0.0328307+0.0024873j 0.0285107-0.00222063j 0.00954789+0.00405136j -0.000173918+0.000601389j -0.0245308-0.00239253j 0.0469877+0.00150991j -0.0558904+0.0022208j 0.0508671-0.0115404j -0.094786-0.0038963j 0.00263419-0.0137262j -0.0430078+0.000984777j 
-0.0341945-0.000963195j 0.0080985-0.00230058j 0.0584289+0.00187001j -0.000893111+0.00388021j 0.0376611-0.000864379j -0.00183206-0.00102479j 0.0864533-0.0040057j 0.0938553-0.00271746j 0.0171266-0.00340607j -0.259803+0.000873152j 0.239948+2.15973e-15j 0.345122-0.00209639j -0.12146+0.00104772j 0.281535+0.00192809j 0.0957699-0.00228586j -0.0911639-0.00258765j -0.30722-0.000731337j 0.26701-0.0022728j -0.128111+0.000945707j -0.0567335+0.000263531j 0.0997136-0.00485709j 0.130504+0.000369983j 0.0678051-0.00165786j 0.0555593-0.00265801j 0.0827855+0.00225513j 0.0499274+0.000221469j 0.0187479-0.00189948j -0.17304+0.00268329j 0.0549542+0.000458351j -0.116518-0.000818037j 0.000692485+0.00091618j 0.0226216-0.0036589j -0.0353508-0.00146338j -0.0585474+0.00175777j -0.0030117+0.000673336j 0.0202838-0.00282203j 0.158237-0.00512277j 0.136974-0.000984504j 0.0325638+0.00366281j -0.0680688-0.00215212j -0.0176479-0.000327323j -0.00318756-0.00147205j 0.062103-0.00633792j 0.137051+0.00129144j 0.0432467-0.00469886j 0.0383576+0.00158914j -0.0530203-0.00267123j 0.0614587+0.00588846j -0.0120777+0.00586377j 0.0423955-0.000524132j -0.0483466-0.00221969j -0.0240855-0.00893439j -0.0274368+0.00264675j -0.00376832-0.00324693j -0.00100105-0.00424215j 0.00295585-0.00244578j 0.0283363-0.00748907j 0.00293243+0.00649578j 0.0578566+0.000765767j 0.0327673-0.00437801j -0.000183858-0.00548513j -0.00678891+0.000488389j -0.028169-0.00897291j 0.0146062-0.00237785j -0.00236704+0.00050468j 0.0551987-0.00217432j -0.0141665-0.00433668j 0.0176211-0.00124177j 0.00542054-0.00381482j 
