-0.022019-6.93889e-17j 0.0115834-0.00233796j -0.0220004-0.00274286j -0.0418641+0.00428325j 0.0376253-0.00496765j 0.0508796-0.00589314j -0.0266277-0.00338268j 0.0270118+0.00827431j -0.0312183+0.0132193j 0.0263205+0.000285608j 0.0248782-0.00610808j -0.0268963+0.00263082j 0.0285175-0.00471201j 0.0248261+0.000355951j -0.0156662-0.00160013j -0.0171963+0.00270467j -0.0017322+0.00398815j 0.0109201+0.000721116j 0.0306824-0.00159346j 0.0195804+0.00907825j 0.0473207-0.000532275j 0.0178801+0.0011187j -0.0196329+0.0124765j 0.063512+0.00126723j -0.0253835+0.00588989j 0.0166795+0.00251675j -0.00903019-0.00772537j -0.0457986-0.00710734j -0.000140338+0.00284706j 0.00142814-0.000711058j -0.0127206-0.00315834j 0.0169015-0.00201782j -0.0325147+0.00148787j 0.0139992-8.76171e-06j 0.00865824+0.00296748j 0.0341143+0.00792486j 0.0332964+0.0107616j 0.00723748-0.00201364j -0.0044617-0.0212757j 0.0164309+0.00122444j -0.00143191-0.0131466j -0.00345566+0.00743428j -0.0109616+0.00639723j -0.011052+0.00703215j 0.0168566+0.0496324j -0.020423-0.00206711j -0.000522273+0.0134678j 0.00791528-0.0213433j -0.0189497+0.011856j -0.00913657-0.00563289j -0.0136652-0.0171453j 0.00497174-0.0127516j -0.000716749+0.0140063j 0.00117371+0.00744799j 0.000145376+0.0115682j -0.0100927-0.00335137j -0.00858645+0.0588867j 0.0109487+0.0199704j -0.00981198+0.00331728j -0.0138924+0.00483517j -0.0221363-0.013936j -0.00176935+0.0160484j 0.00747948+0.00673865j 0.0118126+0.00804344j 0.00258612-0.0175114j 0.017818-0.0314507j 0.00629307+0.0172519j 0.0140717-0.00451623j 0.00730186+0.00660621j 0.00849553-0.0145683j -0.00837804-0.0178556j -0.00764044-0.017657j 0.00658593-0.00657074j 0.00489743-0.00741659j -0.0173147-0.0103044j 0.0011437-0.00563358j -0.0119802-0.0254393j 0.000738179+0.0104448j -0.00205328-0.0129187j -0.022842+0.0142824j 0.0155443-0.00621848j 0.0132058+0.0191526j -0.0361343+0.00469267j -0.00925208+0.0405841j -0.0226557+0.0253932j 0.0151109-0.0759412j 0.0218192+0.0483186j -0.00693236+0.00369425j 0.045388+0.0799271j 0.201964-0.223046j 0.0641917+0.358676j -0.0761674+0.0770105j 0.0345397-0.0674659j 0.100298+0.0248209j 0.404004+0.0755836j 
0.0115834+0.00233796j 0.0285753+2.77556e-17j -0.032732+0.000238653j 0.00927217+0.00425945j 0.0278485-0.00683919j -0.0130421+0.00636632j -0.0358419+0.0106631j 0.00996542-0.000409388j 0.0332537+0.00825047j 0.00687208-0.00341614j 0.0087798+0.00027438j 0.0156112+0.00963822j -0.00759253+0.00570257j -0.0153193-0.00390374j -0.00419563+0.00690604j 0.0188373-0.00838282j 0.0384555-0.0035921j -0.0684042-0.00414276j 0.0129579+0.00128309j -0.0320664+0.00552249j 0.043573-0.000936742j 0.0128924-0.00692723j -0.00136783-0.00500259j -0.0406945-0.00132164j 0.0314894-0.0165281j 0.0441145+0.0158719j -0.0299398-0.0178294j 0.0209894-0.00476497j -0.0298825+0.00422089j 0.0138216+0.00316031j -0.00206872+0.00765694j 0.0203963+0.00321998j -0.0369623-0.000997145j 0.0129554-0.00400587j 0.0101175-0.00738605j -0.00186185-0.00253404j -0.0249206+0.015977j -0.0052906-0.0100471j 0.0135944-0.00709147j 0.0218297+0.0174937j 0.017971+0.00580156j -0.00410621+0.00218457j -0.00465857-0.00931059j -0.00851597+0.0170796j 0.000627528+0.0101447j -0.0136509-0.00825519j 0.0201943+0.0127132j 0.0073734+0.00478897j -0.00385721-0.00880907j 0.0132528-0.0130487j -0.00251641+0.00530813j 0.00914448+0.0209336j -0.00427206-0.0221017j -0.0207559+0.0243295j 0.000724097-0.0266058j 0.0021912+0.00782292j -0.010845+0.0109874j -0.00661182-0.00407981j 0.00155402-0.00896918j 0.000298774+0.0117033j -0.0043365-0.0326809j -0.00155287-0.00739711j -0.00308719-0.00215658j 0.00198141+0.0183751j -0.0202747+0.018674j 0.0144646+0.0162662j -0.00815912+0.0126428j 0.00185576+0.0215728j -0.000836333+0.000775441j 7.95935e-05+0.0227656j 0.00157567-0.00108294j -0.00800756-0.000915813j -0.0129296+0.0300508j -0.015069-0.00733419j 0.00220978+0.0105731j 0.0146895-0.0126632j 0.0119598+0.00205267j 0.000632411-0.0219094j 0.0177969-0.0150312j 0.00969277-0.0154074j 0.00353903+0.0114324j -0.00844358+0.0369708j -0.00361495-0.0544508j -0.0219492-0.00342131j -0.0170658-0.0241057j 0.051667+0.014601j -0.0417501+0.0392913j -0.00539419-0.0216929j -0.0453245+0.0655608j 0.0700792+0.35412j -0.213405+0.235072j -0.00930597-0.131951j 0.0591758+0.0156474j -0.402542-0.0747256j 0.0965771+0.0291211j 
-0.0220004+0.00274286j -0.032732-0.000238653j -0.0139883-5.55112e-17j -0.0794106+0.00229214j 0.0451017-0.00508467j 0.273722-0.00847125j -0.0709044+0.00246903j -0.0106498+0.00201459j 0.0891359-0.0108834j 0.133197+0.000383055j 0.0211626-0.00690884j 0.0594802+0.000530211j 0.0587044-0.00487373j -0.0336505+0.00224181j 0.0229024+0.00106352j -0.00976561-0.00803527j 0.0529843-0.00356686j 0.0896+0.00871691j 0.0197721+0.00460519j -0.00592823+0.00486331j 0.156646-0.0105787j -0.0108389+0.00291958j -0.0189133-0.000913946j 0.00879797+4.28039e-05j -0.0125864-0.00211513j -0.010867-0.0141959j 0.0173521+0.00797544j -0.0192182-0.00471568j 0.0651139-0.00121489j -0.0159879-0.000497452j 0.000662015-0.00836306j -0.00435577-0.00581224j 0.0723525+0.00563803j 0.00255064+0.00116886j 0.0192651+0.000993309j -0.0070551+0.0125282j -0.0257312-0.00482729j 0.0278365+0.00506296j -0.000628856-0.0190649j 0.0190113+0.0084998j -0.0296632-0.000665292j -0.0134329+0.00551046j -0.0228057-0.034842j -0.00656816+0.00166442j -0.00788915+0.00951017j -0.0034318+0.00523694j -0.0206148-0.0240088j 0.0106432+0.000457982j -0.000927865+0.00379099j -0.00276587-0.0146673j 0.000653629-0.0062669j -0.0183383-0.00970352j 0.00206405+0.029337j -0.00309933+0.0290501j 0.00414362-0.0194625j 0.0304918+0.0305583j -0.0386685+0.000676927j -6.05061e-05+0.0325228j 0.00965576+0.00310326j -0.0131835-0.00134198j -0.0395919-0.0164899j -0.00491163+0.00218564j -0.00148167+0.0145273j 0.0444625-0.0175229j 0.0116214+0.0343923j 0.0188423-0.0443735j 0.00113806+0.0187517j 0.0466515-0.0126829j -0.000812763-0.00925746j 0.0264215-0.00919911j -0.013252-0.00158039j -0.00702462+0.00548728j 0.0163641-0.0217855j -0.0235333+0.0591101j 0.00293666+0.00155054j -0.00773494-0.0581997j -0.0124719+0.0293132j 0.0177339-0.0581133j -0.0351121+0.0430243j -0.0320049+0.0207945j 0.0607808+0.0635964j 0.109217-0.0170691j -0.0598328+0.126198j -0.0177968+0.0428563j -0.0304691+0.0929124j 0.0182379-0.216374j -0.0522661+0.105059j 0.0367027+0.0455761j 0.00962767+0.102191j -0.0940575+0.055668j 0.0613864-0.0840555j -0.0881523-0.0541426j 0.269583+0.117201j -0.0342285-0.0115442j -0.10379-0.0489973j 
-0.0418641-0.00428325j 0.00927217-0.00425945j -0.0794106-0.00229214j 0.00157688-1.52656e-16j 0.215515-0.00533415j 0.00880136+0.0120074j -0.00136111-0.00453037j -0.00379177+0.000442434j 0.101398+0.00515121j 0.0286474+0.0136765j 0.0297187-0.00262917j -0.0370741-0.00336299j 0.0146583-0.0025393j 0.0486538+0.00213962j -0.104643+0.00189344j 0.074785-0.009046j 0.0462451-0.000437513j -0.0389903+0.00776874j 0.0819031+0.00993825j -0.0140909+0.0115583j 0.0113312+0.0145982j 0.0527958-0.0008269j -0.0457091+0.00898478j -0.0464047+0.00847407j -0.0330475+0.000769226j 0.0605018+0.000832324j -0.0602251+0.00937979j -0.0309745-0.0117545j 0.0455145-0.00871913j -0.0123666+0.00149145j -0.0098467+0.00285767j 0.0568499+0.00559833j 0.0364991+0.00918572j 0.00554306-0.00217432j 0.0221306+0.0118785j 0.0241452-0.000126453j -0.00473195-0.017031j 0.0223215+0.0134737j 0.00911414-0.00241889j -0.00101325+0.0171639j -0.0196354-0.0174564j 0.0450858+0.00780714j 0.0478544-0.00731143j 0.00387136-0.0236749j 0.0146179+0.0110924j -0.0198108+0.00894356j -0.0160198+0.0151977j -0.0127792+0.00666169j 0.0113505-0.0113146j 0.0169837-0.00967539j 0.0333616-0.0146404j 0.00502558+0.00762173j -0.0333769+0.0125525j -0.012578+0.00151886j -0.00939541-0.0109945j 0.0335111+0.00486211j -0.0247463-0.00803244j 0.00187419-0.0185107j -0.00328703-0.00786087j 0.00125992+0.0126015j 0.0266703-0.097084j 0.00565696-0.0305397j 0.00320962-0.0213255j 0.00102035+0.0276712j -0.0328795+0.0491635j 0.0426549+0.0293444j -0.025118+0.00913785j 0.00646756+0.0636615j 0.0216519+0.0105437j 0.0202418+0.0438373j 0.0001673+0.00885052j -0.0123125-0.00253577j 0.005935+0.0370872j -0.074882-0.0434607j -0.00761364+0.0189696j 0.0165997-0.0601513j 0.00159802+0.00885685j 0.00638089-0.0279719j -0.00382617-0.0665754j 0.0223192-0.0380259j -0.0952309+0.10943j -0.00123015+0.210934j -0.0121535-0.155841j -0.0206265+0.0162557j -0.0583388-0.00916096j 0.136447-0.0687685j -0.101294-0.00974402j -0.030526+0.0444603j -0.0740157-0.0184941j 0.0868351-0.0483873j 0.0687861-0.0732841j 0.2285+0.0800604j 0.0896708+0.074175j 0.0980516+0.0491567j -0.0659352-0.00446003j 
0.0376253+0.00496765j 0.0278485+0.00683919j 0.0451017+0.00508467j 0.215515+0.00533415j -0.0782911+4.58834e-16j -0.539454-3.44577e-07j 0.309478+0.00222842j 0.0136698+0.00206966j -0.0641735+0.00537697j -0.160818-0.0121593j -0.0450773-0.00455882j 0.0102836+0.00158044j -0.128696+0.00584922j 0.015171+0.00250306j -0.0373287-0.00549166j 0.0790477+0.00289152j -0.0190824-0.00385926j -0.0157001+0.00497569j -0.096192-0.00105874j 0.0149884+0.00722656j -0.251666+0.00284453j -0.0466817-0.00626536j 0.0406518+0.00265977j -0.153355+0.00626322j 0.0440825-0.0070989j -0.0379076+0.0185257j -0.0132542-0.00629128j 0.0801516-0.00664293j 0.0103434-0.00201967j -0.019684+0.00813102j 0.0313769-0.00542159j -0.0478144+0.00157355j 0.0379468+0.00137706j -0.0195399-0.00665472j -0.0355449+0.00628105j -0.0465881-0.00129151j -0.0481987+0.00286389j -0.0107369+0.00390174j 0.0558745-0.0212001j -0.0417185-0.00973767j -0.0523292+0.0130563j 0.0309585+0.0215293j 0.0616542-0.0163416j -0.0563183-0.00754185j -0.0438913+0.0472994j -0.0219191+0.0127262j 0.0174392-0.00876433j 0.00870973-0.0151288j -0.0128778-0.00221641j 0.00277645+0.00175522j 0.0251427-0.0118406j 0.00706241-0.00506588j 0.0143953+0.000664972j 0.0257074+0.0276468j -0.0124975-0.00579108j -0.0220657+0.00693648j -0.018217+0.0281956j -0.0282781+0.0229233j 0.0349576+0.00420464j -0.00893607-0.0156679j -0.000186732-0.0227537j -0.0199431+0.0141333j -0.00202435-0.0214829j 0.033866-0.00229628j 0.0177643-0.000569447j -0.0152833+0.00476961j 0.018346+0.020029j -0.0216265-0.000877184j 0.00223654+0.0193586j 0.00368746-0.00371402j 0.00851738+0.00268888j -0.000350999-0.00559719j 0.0139785+0.000453724j -0.00433619-0.0175881j -0.0204466+0.0107848j 0.00987334-0.0646335j 0.0237519+0.024234j 0.00616082-0.0623822j -0.0331706+0.00261344j -0.0442599+0.0577648j -0.0226613-0.0196489j 0.00855984+0.0123017j 0.0294999+0.0517028j -0.0173659+0.0410558j 0.00341766+0.0658676j 0.00270393-0.109501j -0.0877698+0.00724876j 0.0428714+0.0122001j 0.0538982+0.0531846j -0.108354+0.00943971j 0.0246821+0.0246733j -0.0207822+0.100542j 0.191967+0.0616985j 0.0208212-0.158716j 0.132003-0.0254208j 
0.0508796+0.00589314j -0.0130421-0.00636632j 0.273722+0.00847125j 0.00880136-0.0120074j -0.539454+3.44577e-07j 0.222983-9.04658e-16j -0.110189-0.00375327j 0.207749-0.00728815j -0.281202+0.00624243j -0.0306759-0.00776736j -0.098529+0.00196976j 0.136102+0.00180996j 0.097978+0.00696367j 0.0288855-0.0040629j -0.00163867+0.00246624j -0.0400042+0.00104201j -0.11111-0.00192944j 0.255884+0.000422515j -0.109455-0.000997981j 0.0418789-0.00782977j -0.0436122+0.00699849j -0.0859168-0.00741j 0.0309036-0.0123902j 0.0273003+0.000999684j -0.0355565-0.0113037j -0.0811373-0.00228121j 0.0797118-0.0119167j -0.0203707-0.0060124j 0.0130594-0.016082j -0.0162301+0.0099402j 0.0277149+0.01222j -0.071976+0.000171249j -0.000655473+0.00339832j -0.0191841+0.000196109j -0.0449687+0.00394797j -0.000177596+0.0131771j 0.10539-0.0182945j -0.0290503-0.0277714j -0.00732046+0.00529834j -0.043322-0.00671451j -0.0253218-0.000660146j -0.00324482+0.000803561j 0.0301833+0.0125908j 0.0086483+0.00851574j 0.0178804-0.0038249j 0.0417996+0.00620609j -0.0263388-0.00214412j 0.0102644+0.00772268j -0.0110425+0.000943604j -0.00943488+0.00545848j -0.00134029+0.0125278j -0.00350838+0.0359126j -0.0106057+0.00953942j 0.0189484-0.00286719j 0.0156252-0.000404097j 0.0138593-0.00568819j -0.00472632+0.0164504j -0.0248521-0.00350495j 0.00816251-0.022377j 0.00805044+0.0170923j 0.00906375-0.049965j 0.00861936-0.0322336j 0.00291137-0.0169396j -0.000988204+0.00183223j -0.00983627+0.0355399j 0.00775298-0.00960887j -0.0232206+0.00133024j -0.0179541+0.0273309j 0.00775245-0.0234587j 0.0115894+0.0444091j 0.0158767-0.0336692j -0.00417894+0.00189709j 0.0218909+0.0207101j -0.0471792-0.043249j -0.0310017+0.0174277j -0.00232383-0.00511821j 0.0410252+0.0393023j 0.0507793-0.0401015j 0.00849681-0.02436j -0.0347342-0.00918326j -0.0112144+0.0380093j -0.00373794+0.0705648j 0.00468771-0.0575011j 0.00829264+0.0012103j 0.0306326-0.0180015j -0.00136639-0.0272533j -0.0333478+0.0199459j -0.0334132-0.00659674j -0.00171162+0.0236128j 0.0132553+0.0308924j 0.0881366+0.0222889j 0.140866+0.0374239j 0.0515984-0.070194j -0.11703-0.0196868j 0.0461661-0.142146j 
-0.0266277+0.00338268j -0.0358419-0.0106631j -0.0709044-0.00246903j -0.00136111+0.00453037j 0.309478-0.00222842j -0.110189+0.00375327j 0.188078+5.07407e-15j -0.139187-0.00696569j 0.0766889-0.00256976j -0.0361814-0.00547654j 0.0415792-0.00236742j -0.208935-0.00593789j 0.0170292-0.00574728j 0.0631707+3.60717e-06j 0.0398848+0.000228649j -0.103231+0.00448499j -0.13918-0.00398747j 0.261383-0.000831977j 0.147795-0.00304336j 0.194234+0.00208233j -0.0821013+0.00607051j -0.0522925+0.00592937j -0.122841-0.00157036j 0.254466-0.0104238j -0.147079-0.0041157j -0.153022+0.00812253j 0.0623666+0.00986694j -0.110627+0.0148872j 0.0776688-0.0105494j -0.0247395+0.000920238j -0.0369395+0.00480966j -0.0551379+0.00536872j -0.0401418+0.00209961j -0.020755-0.0101363j -0.0450209-0.00558328j 0.0125288-0.0134146j 0.110632+0.00988945j 0.0126442+0.0114826j 0.00324312+0.0122261j -0.046588+0.000809485j -0.0106476+0.000453021j 0.0240489+0.0255219j -0.0193463+0.00548293j 0.00965838+0.000112303j -0.0120586-0.00181362j -0.0176113+0.0173517j -0.033412+0.0073179j -0.0366398+0.00630925j 0.00746294-0.00284145j -0.0219563-0.00272163j 0.00105221+0.00200407j -0.00218351-0.00362573j -0.0178788-0.0235753j 0.00572223+0.0156209j -0.0035773-0.0109122j 0.0254939+0.00130759j 0.013873+0.00941058j 0.00582152-0.0165019j 0.00355456+0.00852121j 0.0230842+0.0107084j 0.0332968-0.0089688j -0.00912271-0.00751428j 0.0151393-0.00764513j -0.0239644+0.0137572j 0.00820474+0.0412023j -0.0335891+0.0141222j 0.000862893-0.00248846j 0.00469899+0.00192163j 0.0320342+0.0127789j -0.0190147+0.000454324j -0.00377025+0.0374904j 0.00107814+0.0341727j 0.00521435+0.0320243j -0.0413364+0.0202088j -0.0568783+0.0295196j 0.00122185-0.0326323j -0.00310018+0.0169764j 0.0562479-0.0146643j 0.0356737-0.0512032j -0.0482289-0.0371542j 0.0190158-0.0662613j 0.0304234-0.00650288j -0.0276133-0.0152577j 0.010981+0.0163416j 0.033542+0.0294306j -0.0361399-0.00369907j -0.00947365+0.0124592j -0.081491-0.044465j 0.0940424+0.00711933j 0.0152847+0.0706657j 0.102855+0.0248825j 0.0165277-0.0405899j -0.00260789-0.0795023j -0.206522+0.0678074j -0.0339779-0.198341j 
0.0270118-0.00827431j 0.00996542+0.000409388j -0.0106498-0.00201459j -0.00379177-0.000442434j 0.0136698-0.00206966j 0.207749+0.00728815j -0.139187+0.00696569j 0.105761+3.17454e-15j 0.20853+0.00350775j 0.026174-0.00731725j -0.0306996+0.00214718j 0.00316755+0.00113279j 0.0711416+0.00446281j -0.0439127+0.00625585j 0.0636068-0.00647971j 0.0747296-0.00287431j 0.195501-0.00833861j 0.170938-0.000555878j 0.0757675+0.002634j -0.00846816+0.00192569j -0.0261297+0.0103445j 0.000860614-0.00551914j -0.014494-0.0100819j -0.15555+0.0104542j -0.039268-0.00636421j 0.0197528+0.00823178j -0.0526768-0.0113628j 0.0767398-0.00191674j -0.0247233-0.00781129j -0.0363018+0.00556666j 0.0427418+0.00838844j -0.0463573+0.00599448j -0.0263717+0.00645887j 0.00194061-0.00570795j -0.0169934-0.000851421j -0.0555227+0.00660195j -0.00395573+0.00917396j 0.001206-0.0177977j 0.0501086+0.0180393j 0.0400505-0.0256692j -0.0177732-0.00918827j 0.00954458+0.0599432j -0.0116178-0.029139j -0.00291242-0.0230598j -0.0277584+0.0298586j -0.053399+0.0307572j -0.025894-0.0216649j 0.0291771+0.0205973j 0.0283335-0.028196j 0.0198027-0.0129011j 0.0418017-0.0339747j 0.0604066+0.025208j -0.0671776+0.0292699j -0.0368983+0.00532296j -0.0230769+0.0368098j 0.0332648-0.0316182j -0.000330256-7.7942e-05j -0.0147346-0.0615202j 0.000917296-0.012356j 0.0134664+0.0160362j -0.00399804+0.0172483j -0.0185926+0.00467775j 0.00970295-0.0369898j -0.0421107+0.0193721j 0.0485573-0.058612j 0.0425182+0.00340908j -0.0171528+0.0100156j -0.025127-0.0192081j -0.0104344+0.0407871j -0.0380122+0.00930357j 0.00482125+0.00713385j 0.0265474+0.02103j 0.0079651+0.0534662j 0.031802+0.0127637j 0.0138591+0.0216192j 0.0343764-0.0958298j 0.0345902-0.00506862j 0.0377947-0.121749j -2.672e-05-0.0528093j -0.0599732+0.0655878j -0.0387631-0.122228j -0.0333968+0.0135955j 0.0398266+0.0255341j -0.0307397-0.00582019j 0.00743125-0.043482j -0.0256347+0.0500951j -0.144406-0.079037j 0.0580932+0.0604036j 0.13685+0.0308558j 0.0213188-0.0353487j -0.0555233+0.0139262j -0.00869545-0.0231859j -0.0796316+0.00766241j 0.0563832-0.0127106j 0.0237826+0.074171j 
-0.0312183-0.0132193j 0.0332537-0.00825047j 0.0891359+0.0108834j 0.101398-0.00515121j -0.0641735-0.00537697j -0.281202-0.00624243j 0.0766889+0.00256976j 0.20853-0.00350775j -0.308232-7.69749e-14j -0.0587997-2.92766e-06j 0.019554+0.00250759j -0.04742-0.00539167j 0.00483274+0.0111002j 0.18885+0.00302503j -0.21276-0.00286998j 0.0278925-0.00756266j 0.0203733-0.00751176j -0.0224516+0.0052518j 0.0529171+0.00442911j 0.00782237+0.00470627j 0.29942-0.00141619j 0.0662782+0.00153067j -0.139259+0.018772j 0.0588269+0.0178348j -0.0313798-0.00475802j 0.137145-0.00742948j -0.01856+0.0115599j -0.138733-0.0134568j -0.117917-0.00591067j 0.0688582-0.00537345j -0.0691677+0.00182268j 0.0588165-0.00198621j -0.134374+0.0141653j 0.0605259-0.00310462j 0.0369653+0.00668029j 0.111848-0.000518248j 0.104683-0.0110099j 0.0234891-0.00167069j -0.00576746+0.00950666j 0.0449153-0.0222093j -0.0331938+0.0145473j 0.0630448+0.00446354j -0.00436462+0.00067392j -0.0160188-0.0174273j -0.0505668+0.0029857j -0.0227165+0.0172093j 0.0119172-0.0312002j 0.00441058+0.0120174j -0.0167705-0.0280922j -0.0138586+0.0028753j 0.0117265-0.00485914j -0.00265547+0.0273113j -0.00723334+0.00538714j -0.000706161+0.0303854j -0.0062893+0.0242159j 0.0154885-0.0511698j 0.0342248-0.0483506j -0.0273527-0.0301784j -0.0435152-0.0188391j 0.0279689-0.0169395j -0.0238025+0.0414152j -0.0170787-0.00108352j -0.0156927-0.0234618j -0.0177874-0.0183011j -0.0170464-0.0190411j 0.0521272+0.0267464j -0.0328235+0.0112624j 0.00463379-0.000461115j 0.0109573+0.00145444j -0.0380905+0.0192752j 0.0170474-0.00986502j 0.021682-0.00151349j 0.0327144+4.35764e-05j 0.0326374-0.0174933j -0.00581572+0.0210183j -0.00563964-0.031086j -0.00442437-0.0223147j -0.00558825-0.0274026j 0.00504084-0.00826718j -0.0149978+0.0655629j 0.0188334+0.0123178j 0.000838036-0.00972261j -0.0485958+0.0113736j -0.0300886+0.00825512j -0.0372278-0.00877719j 0.0365557-0.00808861j -0.0148253+0.0214439j 0.0554824+0.0533852j 0.0342091+0.00251664j 0.109445+0.0383775j 0.0124485-0.0449811j -0.0679372-0.0633765j 0.00846457+0.0332111j -0.00932769+0.209592j -0.19043+0.044231j 
0.0263205-0.000285608j 0.00687208+0.00341614j 0.133197-0.000383055j 0.0286474-0.0136765j -0.160818+0.0121593j -0.0306759+0.00776736j -0.0361814+0.00547654j 0.026174+0.00731725j -0.0587997+2.92766e-06j -0.164044-3.9066e-15j -0.0621919+0.00864278j -0.0421138+0.000942355j 0.0269566+0.0112993j -0.0680416+0.00672083j 0.098908-0.000912196j -0.116336+0.00629933j -0.164179-0.000201998j -0.252932+0.00382634j 0.346734-0.0049343j -0.00911059-0.00502279j 0.174111-0.000845849j -0.0925182+0.00462124j -0.0328991-0.00362654j -0.0492863+0.000779652j 0.186021-0.00329502j -0.0118273+0.0108599j 0.0198162-0.00747819j 0.0502401+0.00789443j -0.0344462-0.00859912j 0.0265744+0.0111103j -0.0359275+0.00477539j -0.0189024+0.00891766j -0.0545204-0.0137195j 0.00375567+0.00477951j 0.0513078+0.00807037j -0.0372696+0.00378445j -0.0253832+0.00216999j 0.00173163-0.00285999j -0.0676537+0.00826934j 0.0396723+0.00197894j 0.0311483-0.0179796j -0.0454252+0.024622j 0.0603659+0.0268949j -0.00322631-0.0288122j -0.0441257-0.00910262j 0.00916449+0.000274964j -0.0223877-0.00731489j 0.0168743+0.0149879j -0.00441063-0.00582701j 0.00566805+0.00685511j 0.00626956+0.00678496j 0.0320598-0.00936393j -0.0270888-0.00886031j -0.0228756-0.0076647j -0.00570875-0.00628332j -0.0253199+0.000243476j -0.0210526+0.0540109j 0.055413+0.0458284j 0.0230904+0.0144662j -0.0267673-0.0322925j 0.0405271+0.0110734j 0.0330341+0.0208575j 0.019221+0.0247464j 0.00105408+0.0240314j -0.0205799+0.0233636j -0.0449452+0.00448655j 0.0350128-0.00901857j -0.0139882-0.00351169j -0.0354059+0.0362451j -0.0170923+0.0150845j -0.0374745-0.0218452j -0.0166064+0.0164177j -0.0267241+0.0316424j 0.0125707+0.0178279j -0.0321872-0.0179896j 0.0260455-0.050462j -0.0116278+0.0129431j 0.0287423+0.0280737j 0.0623826-0.0562839j 0.0137928-0.100142j 0.0451651-0.116679j 0.00836691-0.0239162j 0.0130144-0.0235702j -0.0232737+0.0234393j 0.00206292+0.0469437j 0.0462454-0.0181245j -0.0416412-0.0211004j -0.101208-0.0641954j 0.0715905+0.0628651j -0.0247641-0.0155956j -0.0519546-0.0673527j -0.00949477+0.0107721j 0.0393824+0.0586361j 0.0854553-0.0219176j -0.0365194+0.0692015j 
0.0248782+0.00610808j 0.0087798-0.00027438j 0.0211626+0.00690884j 0.0297187+0.00262917j -0.0450773+0.00455882j -0.098529-0.00196976j 0.0415792+0.00236742j -0.0306996-0.00214718j 0.019554-0.00250759j -0.0621919-0.00864278j -0.0160049+2.83541e-15j -0.0746066-0.000366069j -0.0493089+0.0041173j -0.0239177+5.30526e-05j 0.236637+0.00205685j -0.435932-0.000927809j 0.388265-0.00727471j 0.103165-0.00769826j -0.234813+0.00442611j 0.0371558-0.00545102j 0.356201+0.00141163j -0.166527+0.00311555j -0.0733591+0.00167968j 0.000387352-0.00501887j 0.126575-0.00932782j -0.0124865+0.0133144j 0.0358589-0.00601013j 0.00183016+0.00104972j 0.00803955-0.0133312j -0.0202764-0.00386226j 0.00633544+0.0107757j -0.176435+0.00268306j 0.00269632-0.00899253j 0.0183391-0.0115797j 0.0433787+0.00213898j -0.0892122-0.00845948j 0.0348989-0.00195546j -0.0598874+9.59299e-05j 0.00190468-0.0115508j 0.0209754+0.0081965j 0.00770904-0.000793328j -0.0078518-0.0062633j 0.00391254-0.00929408j -0.00863236-0.00579849j -0.0200287+0.0105177j 0.000386905-0.0265681j 0.0282097+0.00304197j 0.00303141+0.00539674j 0.0115671-0.00321056j 0.0178685-0.000703089j -0.00455716-0.00988764j -0.0314043+0.0248493j 0.00271984-0.028676j -0.00198082+0.00951241j -0.00225637-0.0285276j 0.0229515+0.0261185j 0.00019653-0.0240454j 0.000162464-0.00395302j 0.0260962+0.016372j 0.018128+0.0138006j -0.0331563+0.0159159j -0.032257+0.0099196j -0.00751196-0.00997956j -0.00222822+0.0232302j 0.0144622-0.00253415j -0.0626307+0.0239464j 0.0280685+0.0128542j 0.0138862+0.0134329j -0.0117041+0.0148125j -0.0079435-0.0187867j 0.00324335+0.0361686j -0.0125983+0.0157427j 0.0222561+0.0594444j 0.0136028+0.000289553j 0.0114285-0.017484j 0.0259041-0.00509778j 0.0319031-0.00313441j 0.0113856+0.0396292j 0.0468891-0.000542533j 0.00180371-0.00651668j 0.0122849+0.0360415j 0.00795503+0.0769694j 0.0348676-0.00513097j -0.025207-0.0182359j -0.0186099-0.0569655j 0.00873172+0.0115856j 0.00655046+0.0206219j -0.0188924-0.0071503j -0.0209976+0.0818532j 0.0197751-0.0410255j 0.0214615-0.0317519j 0.125574+0.0213713j 0.00118509-0.0437676j 0.0294577-0.0163922j 0.0176378-0.0205992j 
