-0.0816972+3.33067e-14j 0.315908+0.100518j 0.0860032-0.249291j 0.249911+0.0156523j 0.37195-0.800588j -0.00238509+0.0182349j 0.041535+0.0970235j -0.0551831+0.148913j 0.0567823+0.159878j 0.127992-0.129701j -0.147392+0.280655j 0.0555107-0.115793j 0.00493648+0.00579558j -0.0226096+0.0138855j -0.00300901+0.0108927j -0.0112336+0.0192605j -0.0657646-0.032688j -0.00851366+0.0645227j 0.0617252+0.0176543j 0.00237453+0.0627473j 0.0601573+0.0282523j 0.000879951-0.0229415j -0.0440032-0.0799943j -0.0402437+0.113041j -0.0588767+0.0313411j 0.0194791+0.135996j -0.113997-0.0193282j -0.0159355+0.0715082j 0.115288-0.0129979j 0.0341456+0.0106838j -0.0555485-0.0976923j 0.0920245+0.0264747j 0.041497-0.0584751j 0.0195241+0.0490352j 
0.315908-0.100518j -0.162205+7.66054e-15j -0.289826-0.2758j 0.195041+0.308827j -0.253322-0.0388615j -0.124543-0.0790635j -0.163239-0.0119203j 0.107983+0.0880406j 0.14355+0.247502j -0.138784+0.0549777j 0.16064-0.0298401j -0.16843-0.0417113j -0.0182643+0.0410752j -0.0193847-0.0518761j -0.0881339+0.0127574j -0.0494057+0.027563j 0.0649829-0.0248529j -0.0366936-0.0260013j 0.077484-0.017706j 0.0369783+0.0330788j 0.0804198+0.0462831j -0.0301243-0.11678j 0.0214093-0.0419191j -0.0212701+0.00769683j 0.184394+0.0771965j 0.106934-0.0491123j 0.0611352+0.113769j 0.054835+0.00362187j -0.00902428+0.086253j -0.0794696-0.0218893j 0.0955908+0.009131j 0.0499529+0.106282j 0.0375165+0.0852507j -0.0558074+0.0516005j 
0.0860032+0.249291j -0.289826+0.2758j -0.631269+8.06924e-14j 0.299935+0.268301j 0.0795146-0.25914j 0.0227932-0.0802997j -0.124696+0.0498317j 0.0665606+0.0886976j 0.09222+0.000395182j 0.0640477-0.0887855j 0.123629+0.0472567j -0.0263609-0.0799596j -0.026049-0.000954315j -0.0127585-0.0371243j -0.00683114-0.0329588j -0.0370634+0.0378368j 0.0138774-0.0277973j 0.0130122+0.0064696j -0.0302743-0.0346206j 0.020577+0.120933j 0.0769448-0.110945j 0.112552-0.0760217j -0.0092007+0.0617952j -0.0111956-0.0625173j -0.11312-0.0744206j -0.0769382-0.109943j 0.019319-0.118891j 0.0308344-0.0358136j -0.0126846+0.005948j -0.0148254-0.027354j 0.0358733+0.0359315j -0.00509547+0.0331808j -0.0107526+0.0368748j -0.0257996+0.0025724j 
0.249911-0.0156523j 0.195041-0.308827j 0.299935-0.268301j -0.180818+3.38618e-15j -0.308984-0.102047j -0.1666+0.0423066j 0.170096+0.0356393j 0.136222+0.0595551j -0.145904+0.240085j -0.103533+0.0810144j -0.169166+0.0194073j -0.116909+0.0803814j 0.0588862+0.0479825j -0.0340075+0.0894151j -0.0447347+0.105205j 0.101523-0.0135257j -0.0791361+0.0242552j -0.0129919-0.0831201j 0.0523363+0.000351238j -0.0674852+0.115522j 0.103458+0.0517436j 0.186928-0.0750186j 0.0238363+0.00436292j -0.0201216-0.0393932j -0.0336914+0.114419j 0.0778737-0.0415861j -0.0391779+0.0276023j 0.073077+0.0191584j -0.0373727+0.0263147j 0.0708133+0.0255337j -0.0497157-0.02661j 0.0863283+0.00929024j 0.0157563-0.0546764j 0.0209179+0.0384882j 
0.37195+0.800588j -0.253322+0.0388615j 0.0795146+0.25914j -0.308984+0.102047j -0.0669726+2.58127e-14j -0.0507829-0.116605j 0.14559+0.280658j 0.124003+0.124552j 0.0557961-0.170187j -0.0536148-0.149241j -0.0367342+0.0955355j 0.00629097+0.0153674j 0.0178452-0.0507805j 0.0445643+0.0563773j 0.0932938-0.0319136j 0.0525814-0.0975563j -0.0275692+0.00601675j -0.11702-0.00836822j 0.0138567+0.0744828j -0.112088+0.0161195j -0.0207744+0.135699j 0.0538665+0.0341065j -0.0415098-0.109645j -0.0448688+0.0807604j -0.00175352-0.0276938j -0.0629957+0.0280781j 0.00370203-0.064713j -0.063506+0.0182963j 0.0105254+0.0613544j 0.063224-0.0333682j 0.0144516+0.0177809j -0.00653807-0.0109922j -0.0223255-0.011812j 0.00356904-0.00711115j 
-0.00238509-0.0182349j -0.124543+0.0790635j 0.0227932+0.0802997j -0.1666-0.0423066j -0.0507829+0.116605j -0.0191055+4.996e-15j 0.125984+0.020743j 0.0805918+0.15966j 0.113904+0.116844j 0.242801-0.177664j -0.166146+0.0720443j -0.329621+0.512412j 0.0277686+0.024115j 0.0128744+0.04275j -0.00060736-0.00372751j -0.00865718+0.0914388j 0.0121208+0.0503089j -0.0586702+0.0996703j -0.0213672-0.087399j 0.0224347-0.0079682j -0.0613095+0.0928681j 0.0374865-0.0273379j -0.0791402+0.105061j -0.13275+0.0534708j 0.0145848+0.00685806j 0.124548+0.0866862j -0.00607903-0.113533j 0.0198342-0.206596j 0.0484316-0.0313891j 0.101067+0.0375873j 0.0626549-0.137779j 0.0166667-0.115973j -0.22574+0.257498j -0.156361+0.187079j 
0.041535-0.0970235j -0.163239+0.0119203j -0.124696-0.0498317j 0.170096-0.0356393j 0.14559-0.280658j 0.125984-0.020743j 0.286298-1.44468e-14j -0.079332+0.0138399j 0.00981906-0.222226j 0.133084+0.224445j -0.00407441+0.242567j -0.166964+0.0591661j -0.0331046-0.0471399j 0.140141+0.115496j -0.0286834+0.0106234j 0.0448472+0.106796j 0.0263221+0.0152183j 0.0240067-0.028698j -0.106655+0.0742738j -0.00495365+0.059564j 0.0338262-0.0298456j -0.0592208+0.0273944j -0.118601-0.0640954j -0.0549105-0.13317j -0.0407978+0.127371j -0.114503-0.0252856j 0.224489+0.01642j 0.0882749+0.199779j 0.0534849-0.183505j 0.0479416-0.0874029j 0.111102-0.153689j 0.0409237+0.0156359j -0.102483-0.0884145j -0.156162-0.0168315j 
-0.0551831-0.148913j 0.107983-0.0880406j 0.0665606-0.0886976j 0.136222-0.0595551j 0.124003-0.124552j 0.0805918-0.15966j -0.079332-0.0138399j -0.193995+7.08184e-14j 0.102884+0.175906j -0.42678-0.23849j -0.144064-0.220391j -0.242475+0.185129j -0.145149+0.0140523j 0.0288278-0.0787505j 0.000462061+0.0500664j -0.111677-0.0371818j -0.154434-0.00310224j -0.0639427-0.0332898j -0.00833263-0.10386j 0.00565434+0.0776289j -0.00212691+0.107892j -0.00225876+0.0379943j 0.156208+0.126083j 0.0720083+0.188116j -0.104831+0.0144864j -0.0731726-0.0723226j 0.133935+0.106511j 0.0372974+0.00375129j 0.143558-0.069429j 0.211784+0.0197973j 0.109021+0.0019763j -0.0647716-0.0904378j 0.116513+0.15265j -0.109614+0.134477j 
0.0567823-0.159878j 0.14355-0.247502j 0.09222-0.000395182j -0.145904-0.240085j 0.0557961+0.170187j 0.113904-0.116844j 0.00981906+0.222226j 0.102884-0.175906j 0.108937+8.5086e-13j 0.100969+0.173967j -0.0114776+0.222804j -0.112048-0.127188j -0.147573-0.0317757j 0.0782328+0.0266977j -0.00623311+0.0280956j -0.0153321-0.0610837j -0.0418512-0.0702906j -0.0487075-0.0196277j 0.139959+0.0840829j -0.0932034-0.210352j -0.0801618-0.142452j 0.0341146-0.083334j -0.153503+0.0286005j -0.153567-0.0318384j -0.0337346-0.0822391j 0.08275-0.139806j -0.094272+0.208968j -0.140607+0.0858092j 0.048048-0.0156797j 0.0375498-0.0695142j 0.0138149-0.0573802j -0.00742913-0.0255782j 0.0836099-0.0273584j -0.143884+0.0313668j 
0.127992+0.129701j -0.138784-0.0549777j 0.0640477+0.0887855j -0.103533-0.0810144j -0.0536148+0.149241j 0.242801+0.177664j 0.133084-0.224445j -0.42678+0.23849j 0.100969-0.173967j -0.202585+1.05554e-13j 0.0747795-0.0217813j -0.0812464-0.159248j -0.114892-0.131241j 0.111787-0.158247j -0.061972+0.0896016j -0.110311+0.00214199j -0.217601+0.0242016j -0.143465-0.0717928j -0.0386798+0.00693483j 0.135694-0.104318j 0.0730308-0.0682668j 0.106618+0.0147621j 0.0738605-0.186853j 0.157203-0.123127j 0.00290018+0.0374323j -0.00162124+0.108495j 0.00619357-0.0775775j 0.00803828-0.104766j 0.0623737-0.0332151j 0.150209-0.00434507j 0.111109-0.0357484j -0.00249016-0.0493651j 0.0356579+0.0790327j -0.141789-0.0102741j 
-0.147392-0.280655j 0.16064+0.0298401j 0.123629-0.0472567j -0.169166-0.0194073j -0.0367342-0.0955355j -0.166146-0.0720443j -0.00407441-0.242567j -0.144064+0.220391j -0.0114776-0.222804j 0.0747795+0.0217813j 0.29354-8.8124e-15j 0.117417+0.0194165j 0.156165-0.012923j 0.113879-0.0853017j -0.041894+0.0138446j 0.109389+0.156969j 0.0498056+0.091026j 0.0509689+0.179843j 0.0837209-0.192969j -0.223841+0.0146286j -0.114883+0.0261388j -0.0407711-0.127761j 0.051692-0.131764j 0.118127-0.0638759j -0.0588408-0.0257221j 0.0287467+0.0267708j 0.00877364+0.0628171j -0.109842-0.0679296j 0.0262855+0.0246685j 0.029838-0.0159612j 0.0487329-0.111579j 0.0265423+0.00857652j -0.135851+0.117434j 0.0243039-0.0441496j 
0.0555107+0.115793j -0.16843+0.0417113j -0.0263609+0.0799596j -0.116909-0.0803814j 0.00629097-0.0153674j -0.329621-0.512412j -0.166964-0.0591661j -0.242475-0.185129j -0.112048+0.127188j -0.0812464+0.159248j 0.117417-0.0194165j -0.0252549+1.43774e-14j 0.151881+0.189278j 0.227875+0.264127j -0.0171265-0.113267j 0.0555373+0.134002j 0.0984575-0.0422189j 0.0481097+0.0285172j 0.0194833+0.206392j 0.00926776-0.115877j 0.124225-0.0900387j 0.0152117-0.00422993j 0.131672+0.0547263j 0.0744335+0.104835j 0.038802+0.0268937j -0.0633412-0.0947953j -0.0220955-0.00751828j -0.0201203+0.0870658j -0.0588882-0.100944j 0.0108106-0.047058j -0.0088523-0.0879355j -0.000501391-0.0035741j -0.00938706+0.0384313j -0.0283505+0.0262059j 
