-0.0091423+1.42178e-14j 0.0463277+0.000233631j -0.0160773-0.033342j 0.182686+0.0402003j 0.69337-0.109816j -0.0107263-0.0100943j -0.0183984+0.0200164j 0.0253335-0.049287j -0.0395945+0.113341j 0.0710274-0.0861594j 0.360091-0.0476495j -0.423191-0.151433j 0.00496472-0.00749114j 0.0130212+0.0138265j -0.00806116-0.00159231j -0.021941-0.00278778j -0.00335405-0.0220661j 0.0285493-0.0143472j -0.0300031-0.0199469j 0.00753358-0.00672311j -0.0162994+0.0422636j 0.000794327+0.0181871j 0.0262869-0.00190662j -0.0287315+0.0766909j 0.0207528-0.0109891j -0.0992302+0.157356j -0.104272-0.0756637j -0.103751-0.102859j 0.16455+0.0697617j -0.0484909+0.00651067j -0.013829+0.208238j 0.147245+0.0874748j -0.117381+0.0590184j -0.142341+0.108716j 
0.0463277-0.000233631j 0.215106-3.79904e-15j 0.124403+0.0291597j 0.563856-0.0483709j 0.160529+0.043043j -0.00620277+0.0268263j 0.0726688+0.0960528j -0.0598023+0.00251487j 0.229171-0.11932j 0.40465+0.00560713j -0.374531-0.130401j -0.13476+0.0877663j -0.0232352-0.0167759j 0.0326454-0.0343225j 0.00566164+0.0261375j 0.0369293+0.0743403j -0.0130347+0.0291165j -0.0504588-0.0368476j 0.0283832+0.117927j -0.0353189-0.00879877j 0.0703006-0.05323j 0.0548024-0.0214371j 0.131035+0.088354j -0.119791+0.0334972j -0.161265+0.0392706j -0.0708805-0.0409668j 0.000266844-0.142153j 0.0507003-0.0874362j -0.0328201-0.204162j 0.191174+0.0449961j 0.0567612-0.0743397j 0.00806471+0.043882j 0.12871-0.111239j -0.00230091+0.0607754j 
-0.0160773+0.033342j 0.124403-0.0291597j -0.681916+8.0107e-10j -0.124365-0.0284274j 0.0135511+0.0346928j -0.039969-0.00795863j 0.0174787+0.0512883j -0.33286+0.0411392j -0.259345-0.000709419j 0.336737+0.0400266j 0.0133037-0.0516752j -0.0376603+0.00998477j -0.00767301-0.024035j 0.0270948+0.00064268j -0.00631087+0.0145826j 0.0454275+0.0730388j 0.0403262+0.0545246j -0.0361022+0.000757642j -0.0705297-0.0865212j -0.107313+0.221661j -0.182987-0.0141539j 0.14489+0.101457j 0.0259461+0.0987662j -0.0229627+0.0977286j 0.14603-0.102741j 0.184635-0.0161748j 0.108283+0.223439j -0.0683486+0.0893585j -0.0344701-0.00154703j 0.0398-0.0525359j 0.0444579-0.075657j 0.00524547+0.0148923j 0.0287434-0.00320042j -0.00565974+0.0240629j 
0.182686-0.0402003j 0.563856+0.0483709j -0.124365+0.0284274j 0.200664+1.1394e-13j 0.0350702-0.00021742j 0.150327+0.0814277j 0.359325-0.135838j 0.410689-0.00483148j -0.231656-0.113083j -0.0667081+0.00149813j -0.0639836+0.100914j 0.0116285+0.0243093j 0.0103888+0.0645887j -0.127934-0.104908j 0.0139732-0.0459276j -0.0563178-0.0713705j -0.193542+0.0395589j 0.0301238-0.200185j -0.0464667-0.087999j -0.000145691+0.147239j -0.0767074+0.0370846j 0.159142+0.0381548j -0.120571-0.0415285j 0.135917-0.0875117j -0.0528578-0.0215297j 0.0699136+0.0539853j -0.0335313+0.0102983j -0.027993+0.121251j 0.0495663-0.0355048j 0.0107326+0.026044j -0.0341657+0.0765342j 0.00408339-0.028625j -0.0368522-0.0302649j 0.0228262-0.0204745j 
0.69337+0.109816j 0.160529-0.043043j 0.0135511-0.0346928j 0.0350702+0.00021742j -0.0129615+1.26774e-14j 0.415192-0.153672j -0.373117-0.041316j 0.0584619+0.0863375j 0.0457785+0.118503j 0.0271728+0.0482603j 0.020727+0.0172907j 0.0108612-0.011109j 0.14227+0.104174j 0.125401+0.0609019j 0.147002-0.0843513j 0.0145635+0.207793j 0.0562315+0.0108002j -0.164822+0.0752741j 0.105196-0.101106j -0.104618+0.0740043j -0.0999637-0.159903j -0.0250492-0.0103202j -0.0255158-0.0726361j 0.0235738+0.00375299j 0.00352117+0.018672j -0.0178009-0.0438964j 0.00890997+0.00891999j 0.029433-0.0230235j -0.0312217-0.0114272j 0.00182053-0.0234909j 0.0227463-0.0062972j -0.00833929+0.00236506j -0.0115761+0.0155061j -0.00608016-0.00696597j 
-0.0107263+0.0100943j -0.00620277-0.0268263j -0.039969+0.00795863j 0.150327-0.0814277j 0.415192+0.153672j -0.00374735-3.36883e-15j -0.00318133-2.30441e-05j -0.0082725-0.00137298j 0.00973173+0.00258531j 0.00753054-0.010486j 0.0374185+0.0105443j 0.152126-0.0277175j 0.00262828+0.00655382j -0.00919654-0.00463989j -0.0111418+0.00152256j 0.00126094-0.000413398j 0.00725301-0.0180074j -0.0138686+0.0112676j -0.00278474-0.0265338j -0.00934777-0.011661j 0.0224698-0.00416953j 0.0242175+0.0039246j 0.022766+0.0436238j 0.0232035-0.0116116j 0.0112972+0.0443j -0.0787802-0.0889457j -0.0267114+0.00489139j -0.0680173+0.0488543j 0.0576323+0.0246011j 0.0381003+0.194893j 0.0599766-0.255066j 0.189358-0.259677j -0.159425-0.106076j -0.213517-0.119709j 
-0.0183984-0.0200164j 0.0726688-0.0960528j 0.0174787-0.0512883j 0.359325+0.135838j -0.373117+0.041316j -0.00318133+2.30441e-05j 0.0179253-2.27214e-14j -0.018826-0.00724014j 0.0371449-0.00246531j 0.042638+0.0137119j 0.120374-0.0190772j 0.0310517+0.0113403j 0.011053+0.00740409j 0.00691621+0.0202081j -0.0100267+0.013284j -0.00272483-0.0316794j -0.0453706-0.0165182j -0.014918+0.0259729j -0.066391-0.0168866j -0.0177942+0.0280985j 0.0370692-0.0270682j 0.00844684-0.0189621j 0.0124088-0.0616166j -0.0220479+0.0625627j -0.0342305-0.092166j 0.0304589+0.077707j -0.0204144-0.115985j 0.07075+0.0841513j -0.142071+0.267485j 0.244404-0.0993636j 0.0229783+0.214406j -0.0902593-0.23282j 0.169163+0.112078j -0.115864-0.000964818j 
0.0253335+0.049287j -0.0598023-0.00251487j -0.33286-0.0411392j 0.410689+0.00483148j 0.0584619-0.0863375j -0.0082725+0.00137298j -0.018826+0.00724014j -0.0509279+1.37099e-13j 0.00908875-0.00434177j -0.120404+0.00668844j -0.0394808-0.0133415j -0.00670047+0.0103095j 0.00862488+0.0118016j -0.0347364-0.0106589j -0.0267637+0.00585215j -0.0221497-0.00213953j -0.0046503-0.0676111j -0.00244449+0.027673j -0.024691+0.0174424j -0.0629671+0.00780046j -0.0419203+0.0341937j 0.0563901-0.0262983j 0.0703747-0.184397j -0.105299-0.0992452j -0.120544+0.295623j 0.0573757-0.0551133j 0.192326+0.0656283j -0.145574-0.009501j 0.00306627+0.249962j 0.141532+0.169548j 0.0892354+0.0446224j 0.0117161-0.0472791j -0.0475618+0.020159j -0.0253081-0.016463j 
-0.0395945-0.113341j 0.229171+0.11932j -0.259345+0.000709419j -0.231656+0.113083j 0.0457785-0.118503j 0.00973173-0.00258531j 0.0371449+0.00246531j 0.00908875+0.00434177j 0.138279+3.70548e-15j -0.0118789+0.00421694j 0.0316459-0.001813j 0.00837337+0.00241319j -0.0121136-0.0110833j 0.0462398+0.0246425j 0.0242322-0.00961844j -0.00122466-0.0165943j -0.0384002+0.0724211j 0.0396258-0.0200385j -0.100145+0.172131j -0.0144156-0.0610007j -0.122543-0.165303j 0.0022579-0.100432j -0.166197+0.130085j 0.1694+0.122011j 0.00138056+0.107112j 0.119799-0.173583j 0.0170567-0.0560783j -0.107074-0.177053j 0.0433525+0.0185395j -0.0420792-0.0712253j -0.00290615+0.0139506j -0.0229436-0.00304329j 0.0461193-0.0260616j -0.00874649+0.0113547j 
0.0710274+0.0861594j 0.40465-0.00560713j 0.336737-0.0400266j -0.0667081-0.00149813j 0.0271728-0.0482603j 0.00753054+0.010486j 0.042638-0.0137119j -0.120404-0.00668844j -0.0118789-0.00421694j -0.0466878+1.1981e-13j 0.0160949+0.00693603j 0.00689297+0.00114923j 0.0231597-0.0167888j 0.0503648+0.0175603j 0.0158129+0.0431723j -0.0817489+0.0365388j -0.135989+0.17191j -0.00180369+0.241755j 0.150831-0.0206882j 0.19039-0.0736114j 0.0567912+0.0599144j 0.122148+0.296888j -0.104793+0.104196j 0.071964+0.184282j -0.0556873-0.0304004j -0.0458883-0.0347261j -0.0642697-0.00547429j 0.0247789+0.0177481j 0.000683728+0.0211616j 0.000156414-0.0690663j 0.0202959-0.00461919j -0.0261656-0.00164122j 0.0355051-0.011371j -0.00642479+0.0120801j 
0.360091+0.0476495j -0.374531+0.130401j 0.0133037+0.0516752j -0.0639836-0.100914j 0.020727-0.0172907j 0.0374185-0.0105443j 0.120374+0.0190772j -0.0394808+0.0133415j 0.0316459+0.001813j 0.0160949-0.00693603j 0.0151137-2.14741e-14j -0.00301485-0.000124403j -0.119577+0.00436992j 0.156095-0.107971j 0.0812512-0.238207j 0.021971-0.207728j 0.248515+0.0754228j -0.143256-0.274479j 0.0713327-0.0887141j 0.0180936-0.111358j -0.0258133+0.0824697j -0.0333325+0.0896328j 0.0269099+0.0543667j -0.0195201-0.0679363j 0.00943424+0.020234j -0.0384097-0.0223684j 0.0212848+0.030143j -0.0666725+0.0211242j -0.0137411-0.0269598j -0.0440233+0.0209046j -0.00431621+0.0316373j 0.0120052+0.0147796j 0.00386772-0.0199232j 0.0128809-0.0081685j 
-0.423191+0.151433j -0.13476-0.0877663j -0.0376603-0.00998477j 0.0116285-0.0243093j 0.0108612+0.011109j 0.152126+0.0277175j 0.0310517-0.0113403j -0.00670047-0.0103095j 0.00837337-0.00241319j 0.00689297-0.00114923j -0.00301485+0.000124403j -0.00339349-4.16507e-15j -0.204081+0.117746j -0.164485+0.108919j -0.190553-0.246973j 0.0587606+0.264997j 0.0294384-0.194049j 0.0606537-0.0154499j -0.0711174-0.0460192j 0.0269995+0.0096694j 0.0789982-0.0926515j 0.0124973-0.0458664j -0.0254154-0.0134716j -0.0228938+0.0457083j 0.0234692-0.0040239j -0.0220458-0.00370325j 0.00880204-0.0121404j 0.00014935+0.0269388j -0.0137053-0.0107999j 0.00910344+0.0182459j 0.00238703-0.000311107j 0.0107584+0.000957599j -0.0102991+0.00526788j 0.00222952-0.00652248j 
0.00496472+0.00749114j -0.0232352+0.0167759j -0.00767301+0.024035j 0.0103888-0.0645887j 0.14227-0.104174j 0.00262828-0.00655382j 0.011053-0.00740409j 0.00862488-0.0118016j -0.0121136+0.0110833j 0.0231597+0.0167888j -0.119577-0.00436992j -0.204081-0.117746j 0.00138483+9.26342e-16j -0.0195095+0.000592463j -0.00173639+0.00476109j 0.0124874+0.0102809j 0.00561286-0.0178105j 0.00508071+0.00210573j 0.000469341-0.011622j -0.0143449-0.000291251j -0.000891468-0.000749519j 0.00391347-0.0140826j 0.0332781-0.0105348j -0.014438-0.0359346j 0.00201447+0.00822172j -0.0191504+0.0124209j 0.00364468+0.00260561j 0.00871538+0.0595971j 0.0146771+0.0378754j -0.0201408+0.0495739j 0.113592+0.0418357j -0.0352481+0.438346j -0.0731166+0.0141954j 0.450245+0.0576585j 
0.0130212-0.0138265j 0.0326454+0.0343225j 0.0270948-0.00064268j -0.127934+0.104908j 0.125401-0.0609019j -0.00919654+0.00463989j 0.00691621-0.0202081j -0.0347364+0.0106589j 0.0462398-0.0246425j 0.0503648-0.0175603j 0.156095+0.107971j -0.164485-0.108919j -0.0195095-0.000592463j 0.0035255-1.67019e-14j 0.00323261-0.0188831j 0.0290503+0.00561967j 0.027077-0.00551766j -0.0311667-0.0445742j 0.0332317-0.0172447j 0.00524998-0.0169325j 0.022777+0.0414324j 0.0049111+0.0208673j -0.0311503+0.0190946j 0.0105348-0.00930168j -0.00109123+0.0360009j 0.0332369-0.0554934j -0.0222631+0.0149094j -0.0428961-0.0694679j 0.12119-0.0301537j -0.0116716-0.329048j -0.123249+0.126731j -0.057456-0.112112j 0.348863+0.0438584j -0.056597+0.0163894j 
