-0.0803057+3.23908e-14j 0.109131+0.00556526j -0.0260036-0.0153444j -0.0947437-0.18226j 0.00197087+0.0133477j -0.0727582-0.183051j -0.061666-0.00650695j -0.000163597+0.131821j 0.141319+0.0616755j -0.2447+0.0242169j 0.110805-0.195177j -0.0500178+0.15265j -0.394481+0.182407j 0.193215-0.107218j 0.209079-0.386809j 
0.109131-0.00556526j 0.133377+3.45821e-13j 0.226651+0.0955958j 0.0862701+0.0873425j 0.103071-0.0131379j -0.0383234+0.0620782j 0.0108409+0.0865932j -0.165996+0.217141j 0.0196938-0.0932574j 0.0168393+0.167687j -0.175822-0.375371j 0.316003-0.271408j 0.16938-0.0593515j 0.0190709+0.172757j -0.193499+0.0782788j 
-0.0260036+0.0153444j 0.226651-0.0955958j 0.100633-3.65541e-14j -0.0934268-0.156444j 0.128274+0.0257879j -0.186198+0.00192597j 0.00669238+0.0216453j -0.0128185-0.0230703j 0.207919-0.0227544j 0.0638465-0.402784j 0.158818+0.0879336j 0.0646072+0.264182j 0.184346-0.201206j -0.194017+0.0651709j -0.384285+0.18074j 
-0.0947437+0.18226j 0.0862701-0.0873425j -0.0934268+0.156444j 0.0969131-1.36516e-13j 0.0660835-0.0192046j 0.114647-0.000841939j -0.0624475-0.288344j -0.0602907+0.0585178j -0.0199808+0.0926345j 0.134537+0.269482j 0.377014+0.147042j -0.179236-0.205346j 0.0742532+0.265264j -0.311027+0.289016j -0.0212783+0.127765j 
0.00197087-0.0133477j 0.103071+0.0131379j 0.128274-0.0257879j 0.0660835+0.0192046j -0.152832+1.22402e-13j -0.240612-0.0192962j -0.107314-0.199403j 0.0890455-0.0871394j 0.000752567+0.080287j -0.0794437-0.031751j 0.166735-0.307653j 0.382912+0.159771j 0.138747+0.0703148j 0.190417+0.358791j 0.102432-0.220729j 
-0.0727582+0.183051j -0.0383234-0.0620782j -0.186198-0.00192597j 0.114647+0.000841939j -0.240612+0.0192962j 0.0623042-2.3463e-13j 0.0144747+0.172681j -0.0688109-0.2634j -0.233867+0.254144j -0.0249006-0.0243416j -0.082611-0.0202338j 0.137683+0.252563j 0.0652671-0.408624j -0.0256342-0.175869j -0.238155+0.0344712j 
-0.061666+0.00650695j 0.0108409-0.0865932j 0.00669238-0.0216453j -0.0624475+0.288344j -0.107314+0.199403j 0.0144747-0.172681j -0.0650075-2.6891e-13j -0.352696+0.0920033j 0.417739+0.225715j 0.232356-0.253562j 0.00328078-0.069077j -0.000920281-0.0904484j -0.211737+0.030286j 0.00212223-0.098561j -0.143042-0.0551831j 
-0.000163597-0.131821j -0.165996-0.217141j -0.0128185+0.0230703j -0.0602907-0.0585178j 0.0890455+0.0871394j -0.0688109+0.2634j -0.352696-0.0920033j 0.156841-1.33086e-14j 0.352803-0.0828091j -0.0650984-0.261043j 0.0990647-0.0850704j -0.0614696+0.0634885j -0.00886119-0.0125424j 0.161506-0.20051j -0.0109583+0.149604j 
0.141319-0.0616755j 0.0196938+0.0932574j 0.207919+0.0227544j -0.0199808-0.0926345j 0.000752567-0.080287j -0.233867-0.254144j 0.417739-0.225715j 0.352803+0.0828091j -0.075773-6.59542e-13j -0.00872264-0.171035j 0.112726+0.208771j 0.0639387+0.285645j -0.0127768-0.0275854j 0.0105649+0.0879232j 0.0578891+0.00367475j 
-0.2447-0.0242169j 0.0168393-0.167687j 0.0638465+0.402784j 0.134537-0.269482j -0.0794437+0.031751j -0.0249006+0.0243416j 0.232356+0.253562j -0.0650984+0.261043j -0.00872264+0.171035j 0.0561987+1.675e-13j -0.238608-0.0107045j 0.110557+0.00996598j -0.192955-0.0027014j 0.0260359-0.0802696j -0.0809874-0.181704j 
0.110805+0.195177j -0.175822+0.375371j 0.158818-0.0879336j 0.377014-0.147042j 0.166735+0.307653j -0.082611+0.0202338j 0.00328078+0.069077j 0.0990647+0.0850704j 0.112726-0.208771j -0.238608+0.0107045j -0.146489+2.31981e-13j 0.0769353-0.0174557j 0.128569+0.0219541j -0.0974751+0.0117797j 0.00953475+0.00927477j 
-0.0500178-0.15265j 0.316003+0.271408j 0.0646072-0.264182j -0.179236+0.205346j 0.382912-0.159771j 0.137683-0.252563j -0.000920281+0.0904484j -0.0614696-0.0634885j 0.0639387-0.285645j 0.110557-0.00996598j 0.0769353+0.0174557j 0.0809939+5.25968e-15j -0.0944667-0.155346j -0.0938716-0.108768j -0.0895338-0.174859j 
-0.394481-0.182407j 0.16938+0.0593515j 0.184346+0.201206j 0.0742532-0.265264j 0.138747-0.0703148j 0.0652671+0.408624j -0.211737-0.030286j -0.00886119+0.0125424j -0.0127768+0.0275854j -0.192955+0.0027014j 0.128569-0.0219541j -0.0944667+0.155346j 0.120444+2.18159e-14j -0.223602-0.0931959j -0.00495172-0.00279506j 
0.193215+0.107218j 0.0190709-0.172757j -0.194017-0.0651709j -0.311027-0.289016j 0.190417-0.358791j -0.0256342+0.175869j 0.00212223+0.098561j 0.161506+0.20051j 0.0105649-0.0879232j 0.0260359+0.0802696j -0.0974751-0.0117797j -0.0938716+0.108768j -0.223602+0.0931959j 0.106074-1.15623e-12j -0.122957-0.00673722j 
0.209079+0.386809j -0.193499-0.0782788j -0.384285-0.18074j -0.0212783-0.127765j 0.102432+0.220729j -0.238155-0.0344712j -0.143042+0.0551831j -0.0109583-0.149604j 0.0578891-0.00367475j -0.0809874+0.181704j 0.00953475-0.00927477j -0.0895338+0.174859j -0.00495172+0.00279506j -0.122957+0.00673722j -0.0682476-3.71092e-14j 
