-0.0226323+0.0073934j 0.00226834+0.0174601j -0.015853+0.0193888j -0.0210574-0.0270577j -0.0169385-0.0194308j 0.0182467-0.0114305j -0.00632995-0.0534562j -0.0368783-0.0175998j 0.00634435-0.00579962j 0.0174713+0.00859049j -0.0201464+0.01663j 0.0309906-0.0119191j -0.000210177+0.0123839j -0.0136314+0.0158924j 0.0300164+0.00435429j 0.0119574+0.00439936j -0.00182496+0.0225966j -0.0163097-0.00152604j 0.00141343-0.012852j -0.00428109+0.00809285j -0.000263825+0.00450967j -0.0183616-0.0090578j -0.00523531-0.0160289j 0.000277839-0.00375609j -0.000124903-0.0114752j 0.00426763-0.00727129j -0.0119712-0.00204443j -0.0165724-0.00123259j -0.0034035-0.00620058j -0.00146292+0.0130735j 0.00712831+0.00927437j 0.0265684+0.0121118j 0.00441098-0.00892521j 0.00425153+0.0169221j 0.0173257-0.00136571j 0.00415514+0.0029121j 0.00559295-0.00821719j -0.0136047+0.00512096j -0.0100018+0.00567684j 0.0192606+0.0192074j 0.0191693+0.00631271j 0.00470505-0.00410628j -0.0103585+0.00551743j 0.0204861-0.00632202j 0.00960129-0.0124927j -0.0125915+0.00169301j 0.0220909-0.0103914j -0.0159653+0.00397098j 0.00994997+0.00246548j 0.0166613+0.00456679j 0.00350888-0.000318587j 0.0104001+0.000842924j 0.00480989-0.00132989j -0.00818947-0.000176321j 0.00764324+0.000712629j 0.015342+0.0051806j 0.00221787-0.00506143j 0.00105364-0.00329688j 0.00543978-0.00096967j 0.0039838+0.0122297j 0.000388681+0.0184732j 0.00656545+0.004401j -0.00668638+0.0276677j 0.00450922-0.00669041j 0.00430291+0.00777902j -0.00692544+0.00494011j -0.0153175-0.0211874j -0.00106993-0.00152784j 0.0203401+0.00567831j 0.000738227+0.00273549j -0.00743615-0.0326018j 0.00454308+0.00101811j -0.00400671-0.00889841j 0.0173703+0.000509907j 0.0168788-0.00283649j 0.00527351+0.00692865j 0.00348922-0.0049306j -0.0110006-0.00493737j 0.00295662+0.00445023j 0.00108431+0.0183158j 0.0302938+0.0182805j 0.0129627+0.017553j 0.0170814-0.00947773j -0.0206353+0.0108876j 0.0140672+0.00634463j -0.0154646-0.0290631j -0.00728338-0.0192614j 0.0709558+0.00485675j -0.0195627+0.0129963j -0.0274741-0.0323336j 0.028779+0.00339262j 0.00411364+0.0256176j 
-0.00489284+0.019851j 0.022614-0.00315216j -0.00818267+0.0220088j -0.0103294-0.0109717j 0.0392539-0.00974124j 0.00247171-0.0197719j 0.00587231-0.0148302j -0.00243229-0.00458996j -0.0123191-0.0181879j 0.0095419+0.0125859j 0.0161291-0.0257625j 0.0103317+0.00358601j -0.000744774+0.02733j 0.00602524-0.0295339j -0.0130204-0.00286813j 0.00492205+0.00908341j 0.0167127-0.0041198j 0.00591165-0.0141689j -0.00739451-0.011171j 0.00901275-0.00144847j -0.00942179+0.00285236j -0.00348048+0.000135267j 0.000972661+0.00759227j -0.0121755+0.0103195j 0.000801119-0.013079j 0.00852994+0.00744036j -0.00871548-0.000138181j 0.00468549-0.0135726j 0.00319947-0.0125762j 0.00187755+0.00148926j 0.00939268-0.00930399j 0.00965109-0.00649029j -0.00920218+0.00553224j 0.0100135-0.0211152j -0.0111804+0.000916677j 0.00274418-0.00168269j -0.00298398+0.00157708j -0.00262406-0.000208303j -0.00802463-0.00355207j 0.00544481-0.00285102j 0.00397011-0.0123101j 0.00187521+0.0021708j 0.0069215+0.0161249j -0.00300053-0.0149947j -0.00134817-0.00392299j -0.000125462+0.00786858j -0.0152636-0.00546507j -0.0105723+0.00387268j -0.0119546+0.0134129j -0.00283688-0.0163595j 0.00434548-0.0172244j 0.00140814-0.000603456j -0.0131567+3.14238e-05j 0.0154365+0.00772758j -0.0111168-0.00944005j 0.00252958-0.00665542j -0.00292131+0.0203275j 0.0181685-0.00711735j -0.0131768-0.00459424j 0.00141423-0.0181829j 0.0182055+0.0142058j -0.0144044-0.00258482j 0.0022623+0.0191465j 0.00219883+0.00307392j 0.0185612-0.010793j 0.0181722-0.0170893j 0.0214755-0.00384621j 0.0208142-0.00784249j -0.00961762-0.0102198j -0.00528236+0.00848275j -0.0216413-0.00276424j -0.0195812+0.0105366j 0.00469441-0.0265056j -0.000694949-0.000290003j 0.00441832-0.00608052j -0.0174883+0.00576506j 0.00751612+0.0153162j 0.0142095-0.00536238j -0.00571445-0.00275124j -0.0310713+0.0112174j 0.0062131+0.0251298j -0.0139184-0.00177275j -0.00261424-0.0092905j 0.0100029-0.0203159j 0.00597764+0.00328503j 0.0205489-0.0480326j -0.017714-0.00459355j -0.0233821+0.0498388j -0.0118228+0.0107391j -0.00236817-0.0303081j 0.00505935-0.0239122j 0.0224359+0.00687457j 
-0.00357384+0.0225871j 0.0286211-0.0120276j -0.0346127+0.024258j -0.0145139-0.0343741j 0.0481736-0.0101753j -0.0052422-0.016672j 0.0323902-0.0277845j -0.0225706-0.020444j -0.017592-0.024541j -0.00363425-0.0113235j 0.0093145+0.000602595j 0.021717-0.00741789j -0.0203998+0.019493j 0.00124446-0.00912927j -0.0010958+0.0160982j 0.0134593-0.00580846j 0.00502086-0.00490881j -0.00177365-0.00815238j -0.00534326-0.0131127j 0.00971672+0.00540308j 0.00704104+0.0128587j -0.0060644-0.00551631j -0.00189983+0.00655902j 0.00920104-0.000436415j -0.00456173-0.00127366j -0.0243704-0.0146145j -0.00279984-0.0138342j 0.00827556+0.00506398j -0.0108357-0.00419232j 0.0143329+0.00349115j -0.0038011-0.00398669j 0.0098608-0.0236725j -0.0111695+0.0200794j 0.0144422-0.011665j 0.00453625+0.0067759j 0.000342286-0.0148412j -0.0045787-0.00048623j -0.0115002-0.00627686j -0.000654612-0.00388322j 0.0116863+0.000515359j -0.0147792-0.0204077j -0.00977159+0.00734734j 0.0116551+0.0100927j -0.00875504+0.00687774j -0.00649206-0.00170456j 0.00557658+0.0115632j -0.0294158-0.0151508j 0.0138269+0.0159988j 0.0103987+0.0109206j -0.00865604-0.0130315j 0.00123185-0.00839725j 0.0151692+0.00856891j 0.0040245+0.00299104j 0.0158283-0.00635227j -0.0135077-0.0213849j 0.0159126-0.00921715j -0.0205589-0.00884219j 0.0202+0.0045753j 0.00389558+0.00179991j 0.00641889-0.0114261j 0.0018575+0.00499868j 0.00668414-0.00717154j 0.00475572-0.00854496j 0.000610152+0.000976226j 0.0125391-0.0289679j 0.00488651-0.0183473j -0.0110949+0.00628512j 0.00542633-0.00793642j -0.0286744+0.00625716j -0.00298062-0.0022307j -0.00682389+0.0121587j -0.0366359-0.00673089j -0.00637933+0.0111594j -0.014541-0.0124174j -0.00855108-0.0221599j -0.00893302+0.00545586j -0.0296987-0.00230003j 0.0217082-0.0162186j -0.0176808-0.00785167j -0.00910213-0.0105812j -0.00514126+0.0129884j -0.0366887-0.0284103j 0.0239993+0.00688218j 0.0400665+0.00290226j 0.0451893+0.00347713j 0.0271411-0.0441804j -0.0130137-0.00164887j -0.0102698+0.0222545j -0.0483361+0.0248838j -0.0276929-0.048589j 0.00255758-0.0107163j 0.0168017+0.00133984j 
0.0295614-0.0122053j -0.00687246-0.0233254j 0.00901713-0.0203778j 0.0157844+0.0189854j 0.00387073+0.030515j -0.0210301+0.012268j 0.00704509+0.0581901j 0.0226954+0.0154557j -0.00188582+0.00745764j -0.0218635-0.0277897j 0.0205064+0.00922789j -0.027076-0.00966179j -0.00927628-0.0258639j 0.0119008+0.0119641j -0.0279139+0.00605707j 0.00180322-0.00537465j -0.0097367-0.0218609j 0.0107229+0.0202314j 0.00345412+0.00516015j 0.0253836-0.0155603j 0.00679121-0.0148082j 0.010443+0.00390367j 0.0083404+0.0127593j 0.0102745+0.00721415j -0.000484728+0.0156231j -0.0165781-0.000691726j 0.0252897-0.00410318j 0.024095+0.0112249j -0.00595797+0.00367411j 0.00667374-0.00578146j -0.0111752-0.011029j -0.0366867-0.0227803j -0.0056437+0.021761j -0.00807099-0.00764949j -0.0130146+0.0112749j -0.0160433-0.00232879j -0.00778071+0.0089794j 0.0126969-0.00644378j 0.0141355-0.0149695j -0.0297451-0.0149527j -0.0155964+0.00165949j 0.00172964+0.00787494j 0.0111111-0.0101666j -0.0158087+0.0250368j -0.0030692+0.0130304j 0.0130466-0.00366127j -0.0150844+0.0125067j 0.023359-0.00110125j 0.000897705-0.00951256j -0.0228654+0.00789685j -0.0071177+0.00338542j -0.00369402+0.00928235j 0.00584917+0.0068543j 0.00392247-0.0140316j -0.0121103+0.00630183j -0.00877285+0.0014283j 0.00765684-0.0135189j -0.0157048-0.00166508j 0.00164848+0.00775788j -0.00838354-0.00589651j -0.0120128-0.0221805j 0.00360372-0.0166953j 0.00885192-0.046297j 0.00172858-0.00175594j -0.0103006-0.016831j 3.33752e-05+0.000173026j -0.0110559+0.0104692j -0.0236424+0.00799181j -0.0195019+0.00173441j -0.00118815+0.00150011j 0.0193862+0.0267724j 0.0102854-0.00234733j 0.00831185+0.0366847j -0.0261163+0.00108206j -0.0185101-0.0072725j 0.0118163-0.0162178j -0.0232332-0.0255437j -0.00188682+0.0078231j -0.00467469+0.0114755j 0.0032374-0.0216888j -0.0269283-0.0307495j -0.0139972-0.0379503j -9.36487e-05+0.0144607j 0.0245519+0.0224529j -0.0142908-0.00236051j 0.0223469+0.0278669j 0.000945351+0.0226152j -0.0650225-0.00480354j 0.0260119-0.0113066j 0.0158629+0.00970021j -0.028745+0.0134547j -0.0147182-0.0222733j 
0.00150475+0.0101451j 0.0162925-0.000846357j 0.0186165-0.00260407j 0.00764766+0.0219689j 0.0360689+0.0143781j 0.000185228-0.0119089j -0.00171499+0.0206559j 0.0318058+0.0117518j -0.000413624-0.00250735j -0.00104285+0.0315947j 0.0264562-0.037597j -0.0100732+0.0170632j 0.0140586+0.02852j 0.0214661-0.0528774j -0.0203346-0.0118251j -0.015681+0.0203081j 0.0209101-0.00244378j 0.0144539-0.0223883j -0.0168905-0.00306719j 0.0115831-0.00138412j -0.0107879-0.00926237j 0.00877596+0.00566576j -0.0172573+0.00714912j -0.0129271+0.00450038j 0.00963464-0.000226509j 0.0150489+0.0193872j -0.00482696-0.00071877j 0.0126453-0.0185913j 0.00179035-0.0142636j 0.000732991-3.25234e-05j 0.0169399-0.0200994j 0.000719976+0.00440606j -0.013442+0.00619523j -0.00236078-0.0326315j -0.0261673+0.000518982j -0.000759027-0.0150813j -0.00894137+0.00409019j -0.00664515+0.0161903j -0.00393027-0.0011357j 0.000243255-0.0171249j -0.000485397-0.00694604j 0.00119934+0.00802029j 0.00647449+0.0180238j -0.0152865-0.027172j 0.00240758-0.00139016j -0.00208465+0.00580115j -0.0242621+0.00604392j -0.0253877-0.00202926j -0.0168313+0.0161717j 0.00871165-0.0252881j 0.00397033-0.0167854j -0.00241715-0.00500167j -0.00948813-0.0192814j 0.0322218+0.0236668j -0.0181349-0.0210066j -0.0142303-0.000239434j 0.0106594+0.0278303j 0.0143462-0.0138935j -0.0312146-0.000697886j -0.00209142-0.0208963j 0.031329+0.00674019j -0.0296907+0.000191358j 0.00846264+0.00459704j -0.00875525+0.0127821j 0.00756863-0.00168774j 0.00474005-0.00305979j 0.0326443+0.0203835j 0.0312782-0.00285794j 0.0083526-0.0189746j -0.00779444+0.00188231j -0.0202612+0.0181235j -0.0181425+0.0196629j 0.00888022-0.0395693j 0.000682794+0.000326389j -0.0029246+0.00600026j -0.0170103+0.0159722j 0.029327+0.0273385j 0.00485665-0.00613384j -0.000812333-0.00362237j -0.0179904-0.00381017j -0.0113486+0.0118177j -0.00219749+0.0283016j -0.0180035-0.00943511j 0.00585354-0.0412254j -0.0279533+0.0271521j 0.00821294-0.0298599j -0.0116886+0.0109574j -0.0250529+0.0547052j 0.0204204-0.0338917j 0.00766236+0.00550878j -0.0100901-0.021j 0.0210206-0.00733542j 
-0.00616793-0.00706836j -0.0107014+0.00125818j -0.0252637+0.0089032j -0.0197093-0.0240889j -0.010307-0.00487157j 0.00131221+0.00932578j 0.00236744-0.0208408j -0.0218217-0.00951234j 0.00716519+0.00119082j -0.000289322-0.00807084j -0.0271168+0.0178864j 0.0156257+0.00206717j -0.0106458-0.00466565j -0.0150221+0.027942j 0.0123154-0.00442625j 0.00757217-0.0190625j -0.00410382+0.00333537j -0.0140254+0.0171317j 0.0199112-0.00451638j -0.0117135+0.00612302j -0.00208743+0.0178869j -0.0071194-0.00851218j 0.011116-0.0178051j -0.00976587-0.00451788j 0.00356626-0.00527335j 0.00936336-0.0121686j -0.00313886+0.000551612j -0.0162037+0.00536533j 0.0139425+0.0151278j -0.00561931-0.00713564j 0.00331334+0.0135339j 0.00367733-0.00507127j 0.0220842-0.0122196j 0.00524367+0.023918j 0.0166518-0.0134276j 0.00821047+0.00311311j 0.021558-0.0142129j -0.00872797-0.00383826j -0.0148351+0.0138713j 0.00803947+0.01999j 0.00165492+0.00734728j 0.000574632-0.0129377j -0.00771358-0.00770159j 0.0228915+0.000951241j 0.012771-0.00812969j 0.00389299-0.00508183j 0.0198804-0.0123595j 0.00178999+0.0106274j 0.00174158-0.0109924j -0.00891276+0.0108629j -0.00184974+0.0143155j -0.00174409+0.00284174j 0.000411745+0.0150132j -0.0170557-0.0110594j 0.00875574+0.0231491j 0.0201437+0.00844573j 0.000379835-0.0152742j 0.00543668-0.00348745j 0.0158441+0.000321904j 0.000170048+0.0237497j -0.0202464+0.00117562j 0.0266718+0.00622354j -0.0097507+0.000900321j 0.0106762-0.0131581j 0.00124104+0.00974774j -0.00416781+0.0038839j 0.00355919-0.0230894j 0.00257976-0.00168652j -0.00142859+0.0143875j -0.00663159-0.00651657j 0.0101684-0.000364081j 0.019965-0.0192639j -0.00581798+0.00815556j 0.00419929+0.015337j 0.00477679-0.0111616j 0.00802934-0.0211887j -0.00032099-0.0196163j 0.00361064+0.00357516j -0.00557827-0.00921178j 0.00529753+0.0157708j 0.0186664-0.0152636j 0.0131569-0.0133966j 0.000359938+0.00893404j -0.0147447+0.0278283j 0.0296254+0.00410853j -0.0217987+0.00376839j 0.00654471-0.00436299j 0.0274056-0.0171522j -0.0121119+0.0159891j -0.0352372+0.000874198j 0.0218691+0.0133054j -0.00620228+0.0076383j 
0.0133246-0.0315501j -0.0371691+0.00423402j 0.0420056-0.0293642j 0.0123616+0.0440368j -0.0555982+0.0240862j 0.022576+0.0187095j -0.0357839+0.0261272j 0.0202837+0.0166741j 0.0195175+0.0248802j 0.00473592-0.00609002j -0.0114814+0.00345871j -0.0243628+0.00154619j 0.00943264-0.0330128j -0.00683602+0.0344963j -0.00374137-0.0122968j 0.00105899+0.0118237j -0.020027+0.0103831j 0.000882254+0.0113082j 0.0126799+0.0119144j 0.00894814-0.0234199j -0.0132605-0.0332471j 0.00126964+0.00882981j 0.0170539-0.00333248j -0.00211128+0.00347736j 0.00360098+0.00646678j 0.0122066+0.0142906j 0.0100945+0.0191655j 0.00068214+0.0057811j 0.0107608+0.00299177j -0.0183866-0.00321303j -0.00167779+0.0124914j -0.010627+0.0182061j 0.00921765-0.0125437j -0.0130772+0.0164052j -0.00600043-0.0026273j -0.00946096+0.0231044j 0.00110603-0.00199599j 0.0234293+0.00679305j 0.00720147-0.000911539j -0.0240051-0.00404263j 0.0176915+0.033805j 0.0155659-0.00627672j -0.0107939-0.0155404j 0.0225675+0.00488123j 8.21187e-05+0.00965195j -0.00421974-0.00922879j 0.0368759+0.0135957j 0.00513105-0.0199682j -0.015883-0.0164659j 0.00669027+0.0203648j -0.00651604+0.00846516j -0.0150818-0.00470123j 0.00688671-0.00340099j -0.0283147+0.0145849j 0.00959982+0.0252626j -0.0290633+0.0162646j 0.0225312-0.00460841j -0.0309591-0.0113248j -0.00409032+0.00113971j -0.00735429+0.0103769j -0.0152457-0.0205448j 0.00330238+0.00352752j 0.00206242+0.00883361j 0.000394018-0.0031282j -0.0133183+0.019981j -0.00757918+0.00411614j 0.0207797-0.00768355j -0.015288+0.0286206j 0.0380365+0.00460182j -0.00919178+0.0130519j 0.0244825-0.00617243j 0.0405841+0.00619672j 0.00594359+0.0111761j 0.00820212+0.010072j 0.0132829+0.0378947j 0.0393358+0.0145098j 0.0202356-0.0150082j -0.028645+0.0201238j 0.0283295+0.0294089j 0.012747+0.00322125j -0.00315635-0.0270394j 0.029627-0.00307452j 0.00144259+0.015144j -0.0265586+0.00217909j -0.0257545+0.000217099j -0.0273749+0.0561322j -0.019765-0.00440279j 0.0118285-0.0187734j 0.0548148-0.0492238j 0.0216896+0.0523979j 0.00238434+0.0263191j -0.0270624-0.00768706j 
-0.032606-0.00840958j -0.0151417+0.0368319j -0.0153286+0.0255212j -0.0268776-0.0310974j -0.0437667-0.0626361j -0.0620496-0.00881318j -0.0265269-0.0109993j -0.0361797+0.0142431j 0.0134694-0.0208052j 0.0399025+0.0197506j -0.010989-0.00326651j -0.000621661+0.00516609j 0.045812+0.0336378j 0.00693967-0.0210561j 0.0318583-0.0160427j 0.00385957+0.00904884j 0.0195683-0.00816882j -0.0114755+0.0310665j 0.0310811-0.0242054j -0.029212+0.0405836j -0.00096699+0.0250117j -0.0207691+0.00141813j -0.0283634-0.00389044j -0.033908-0.0140305j 0.0145372-0.0268938j 0.0517221-0.00131119j -0.0144199-0.00324874j -0.0378188+0.00217511j -0.00352823+0.0138723j -0.0313609-0.00106385j 0.0322233+0.00627053j 0.011582+0.0307727j 0.00266718-0.00580549j -0.0113271+0.00316205j 0.00542404-0.0387806j 0.0144126+0.0178542j 0.0230254-0.000164329j -0.013733-0.00107149j -0.0168057+0.00861944j 0.00720862+0.0267132j 0.0489411+0.0127454j 0.0142127-0.00204826j -0.0335104-0.00641363j 0.0293937-0.0306219j 0.00620522-0.00501699j -0.00725605-0.00779326j 0.0203484-0.00935499j -0.0309883+0.0135404j 0.00376959-0.0181972j 0.0278187+0.0069981j 0.00627369+0.00354041j -0.0232588-0.0106179j -0.011963+0.00941816j 0.0127833+0.0173085j 0.0169997+0.00756435j -0.00424085+0.0052134j 0.0193465+0.0298225j 0.00719372+0.00924154j -0.0102886+0.000998372j 0.022358+0.0220152j 0.0175908+0.0335439j 0.0047552-0.0107745j -0.00842913+0.0266563j -0.0066459+0.00569895j -0.0157337+0.0291827j 0.00429836+0.0270471j 0.0331411-0.0212079j 0.0152808-0.00206644j 0.0155218+0.0126007j 0.00290963+0.0299389j -0.0292494-0.0258475j -0.00316397+0.00560214j 0.0128851-0.0238187j 0.0230738-0.0162974j -0.00804073-0.0141513j -0.00395751-0.0512579j -0.00819304+0.00888747j -0.0107088+0.0336637j 0.0132685-0.00738859j -0.00240393+0.021285j 0.0249022+0.049168j 0.0431101+0.0382546j -0.0316469-0.00217679j -0.0496348-0.0106483j -0.00023469+0.00280635j -0.0380174+0.0412438j 0.0855288-0.00683825j 0.0368461+0.0691656j -0.00485094+0.0142811j -0.0161204-0.0423802j 0.0283003-0.0133392j 0.0198001+0.0367972j 
-0.0199558+0.0151909j 0.018558+0.0130087j -0.0343591+0.00537535j -0.00544514-0.0445334j 0.0120284-0.043811j -0.0520095-0.0130643j 0.0262704-0.0172027j -0.0235033-0.014412j -0.00546947-0.0239801j -0.00490201+0.00380726j 0.00829647+0.0094714j 0.0248402-0.0076052j 0.00276458+0.024195j 0.00173564-0.0293302j 0.0282649+0.0170433j -0.00803912-0.01974j 0.0184041+0.0010045j -0.000383327-0.00532695j -0.00899997-0.00972102j -0.0302647+0.0493676j 0.0176542+0.046206j -0.00278619-0.0116528j -0.0350139+0.00420693j 0.00315373-0.00898896j -0.00333271-0.00766037j -0.00953759-0.0270592j -0.00602559-0.021445j -0.00653887+0.0116664j -0.0260724-0.00154145j 0.0160058+0.0221822j -0.00982939-0.0110428j 0.0140954-0.00627259j -0.0175765+0.0110879j 0.0140773-0.00353836j 0.0194852-0.00427044j 0.000910802-0.0217501j 0.00161685+0.0129592j -0.0288897-0.0204498j 0.00124711-0.00736133j 0.0217599+0.00144122j -0.000833459-0.0241012j -0.0108634+0.00926608j -0.00277216+0.00234241j -0.0204967+0.0126978j 0.00304892-0.00510127j -0.0132408+0.00293573j -0.0214466-0.0130571j -0.00842633+0.017727j 0.0379665+0.00953091j -0.00211748-0.0107878j 0.0135878-0.00131205j 0.0174811+0.00311229j -0.000229974+0.0233811j 0.0224633-0.0148067j 0.00925774-0.0225737j 0.0320874-0.0188351j -0.0105413+0.0122293j 0.0148538+0.0228351j 0.00429328+0.00455552j 0.0100175-0.00316657j 0.000663023-0.00335133j -0.00361868-0.0178145j -0.01815-0.0231325j -0.00675587-0.00706903j -0.0154361-0.00857835j -0.01482+0.0178281j -0.0447941+0.0257513j 0.00546075-0.0175695j -0.0412724+0.000751184j 0.026629-0.0101048j -0.00739672+0.00289109j -0.0426667-0.00454841j -0.0322287-0.00402653j 0.00792967-0.0295252j -0.0190716-0.0215002j -0.0290195-0.0239496j -0.0310091+0.00990251j 0.0113044-0.00448064j -0.0173501-0.0375453j 0.0154934-0.0178872j 0.00364948+0.0378393j -0.0230995+0.0368612j 0.0164819-0.0113703j 0.0223904-0.0122532j 0.0118423-0.0119717j 0.0119426+0.0256285j 0.0337236+0.00734233j 0.0122461+0.0305207j -0.0543794+0.0400942j -0.0193823-0.051474j 0.00564442-0.0172503j 0.00900347+0.00336851j 
0.009934-0.0236244j -0.0313998-0.00263926j -0.000225671-0.0411099j 0.0301184+0.00809746j -0.0659532-0.0172513j -0.0047932+0.0331331j 0.00356152-0.00981115j -0.021948-0.0126217j -0.00468517+0.000746238j -0.00275152-0.0469495j -0.0197829+0.0444611j -0.00821336-0.0119982j -0.00645658-0.0571636j -0.0248404+0.0582933j 0.0326045+0.023176j -0.00589876-0.0361407j -0.0374034+0.000254169j 0.000366849+0.0183388j 0.0157052+0.0314662j -0.0486192+0.0086206j 0.0150379+0.0191333j 0.000507584-0.0086566j 0.0289163+0.00444961j 0.0224671-0.0135994j -0.021202+0.00070844j -0.0299647-0.0259209j 0.000674629+0.00286242j 0.000703355+0.0238909j -0.00624375+0.0202599j 0.00994941-0.00551184j -0.0438161+0.0303683j -0.00773954-0.00279488j 0.00608435-0.0198249j -6.15397e-05+0.0460476j 0.0225497+0.00742143j -0.0119996+0.020923j -0.00554737+0.00228517j 0.0169238-0.0396596j 0.0181308-0.00716072j -0.00213648+0.00766766j -0.00197814+0.0134496j -0.0142753-0.00552591j -0.00290107-0.0297166j -0.000543405+0.0557216j -0.0219149+0.0147765j -0.00641945-0.0119504j 0.0143341+0.0051632j 0.0405899-0.016971j 0.0411177-0.0158246j -0.0236128+0.02862j 0.005596+0.0224761j 0.0207711+0.00126628j 0.0254763+0.0225361j -0.0462099-0.015693j 0.0418228+0.0185756j 0.0114837-0.0120352j -0.0199333-0.026402j -0.0410769+0.0213468j 0.0498014+0.00203858j 0.00595576+0.0172587j -0.0565676-0.0400618j 0.0378372+0.00902173j -0.0140469-0.0216895j -0.00377815-0.00165222j -0.0289972+0.015133j -0.023035-0.00312791j -0.0546231-0.0138498j -0.0556734-0.00360527j -0.028985+0.0104688j 0.0299374-0.0162889j 0.0402625-0.00887435j -0.00327148-0.00846191j -0.0390214+0.0687323j -0.0133705-0.0194419j 0.00613304+0.00823834j 0.0166128+0.00397738j -0.0363692-0.0156295j -0.0185304+0.0192538j -0.0030326+0.00325441j 0.0356992-0.0272217j 0.00190411-0.0098045j -0.00373823-0.0224827j 0.00802518+0.0169899j 0.01966+0.000787502j -0.0213488-0.039426j -0.0149057+0.0849591j 0.0199578+0.00439292j 0.0117887-0.0969562j -0.00466287-0.0188354j -0.0223363+0.0101073j -0.00601075+0.0559807j -0.0277215-0.0102682j 
-0.0317728-0.00493098j -0.0154628+0.0270131j 0.00524744-0.00153007j -0.0147238-0.000145524j -0.031843-0.021708j 0.0761896+0.00739436j -0.00778613-0.100215j -0.0245301-0.0363365j 0.00779403+0.0239779j 0.00897203+0.0169632j -0.0601268-0.00208192j 0.0120304+0.0250379j -0.00767392-0.000831758j -0.0347474+0.0382314j 0.0530871-0.0116823j -0.0064719-0.000106434j -0.0105303+0.0435205j -0.0225563-0.0428634j -0.00834826+0.0245955j -0.0543782-0.0003549j -0.0138373+0.0127654j -0.00372425+0.00934653j 0.0185105-0.0352165j 0.00225909-0.0334848j -0.0136362+0.00130015j -0.000809961-0.000910778j -0.0363495+0.0195656j -0.0427117-0.00449301j 0.0237152+0.0140121j -0.0142094-0.00868771j -0.00163297+0.0415806j 0.0550568+0.0419585j 0.0351315-0.0480286j 0.0079604+0.0533669j 0.0273627-0.00750684j 0.0292244+0.0155624j -0.00180214-0.0256362j -0.00275266+0.0171975j -0.0101364+0.0351761j 0.0537728+0.0220676j 0.00639741+0.015444j -0.0163455-0.0153676j -0.0176864+0.00421569j 0.0364671-0.0270024j -0.0110656-0.0029278j -0.0175037-0.0126737j 0.0446482-0.0109905j 0.00939895-0.00878012j -0.0103512-0.0153384j 0.0164819+0.00886407j 0.00664938+0.00659582j 0.00300723-0.0313857j -0.00894654-0.0238871j -0.0322514+0.0162842j 0.0372192+0.0141405j 0.0130541+0.00827992j -0.0426128-0.0209431j -0.00470317+0.0158978j 0.0277162-0.00668211j 0.00727578+0.0181418j -0.0213316+0.00612818j 0.0196237+0.0443653j -0.0309608+0.0647076j 0.00213683+0.00307643j 0.0183625+0.0357613j -0.0132724+0.00102402j 0.00931729-0.0378456j 0.00693416-0.00620397j 0.0464638+0.00659286j -0.00948765-0.0140843j 0.0221832-0.0323485j 0.0231763-0.0128007j -0.0113366+0.00146054j 0.0178069+0.0123127j 0.0347863+0.0430133j 0.0151613+0.0475493j 0.0415816+0.0183345j 0.00598439-0.0212194j 0.0126111-0.0107237j 0.0249708+0.0333872j 0.0154239-0.0132632j 0.0323642+0.0274645j 0.00163056-0.00397569j -0.0243318-0.000982934j 0.000373006-0.0100823j -0.0390419-0.0101956j -0.0431112-0.031854j 0.107754-0.0823185j 0.029422+0.00369277j -0.00653874-0.0118787j 0.0205404+0.0185866j -0.0121951+0.0381465j 
