-0.00692559-0.00382964j 0.00408572+0.00385643j -0.00646563+0.00303131j 0.0050326+0.00600747j -0.00417986+0.000893047j -0.00329974+0.00190986j -0.00599391-0.00613504j -0.000718484-0.000634952j 0.000860582+0.00354652j 0.00619431+0.00464886j -0.00471211-0.00271211j 0.00230326-0.00268746j -0.0128962-0.00702226j -0.0226396+0.00151677j 0.000169438+0.0106859j -0.0234619+0.016915j 0.0400708+0.0104856j -0.0216161+0.00252941j 0.00328558-0.0137573j 0.00688715+0.00141014j 0.00896958+0.00181361j 0.00560626-0.0132078j -0.00322074+0.00632328j 0.00207689-0.00198291j 0.00275194-0.00629361j 0.00729532+0.00182563j -0.00251884+0.00632204j 0.00290653+0.00391798j 0.000976899-0.00580379j 0.00465757-0.00528928j -0.00304322-0.00694882j -0.00577619-0.00071756j 0.00463714+1.53971e-05j 0.00104172+0.0125956j -0.0181575+0.000300419j 0.00608728-0.0274237j -0.0240263-0.0162756j -0.0135926-0.00106187j -0.00199505+0.0177609j 0.00696866-0.0265808j -0.00618408-0.0329203j -0.0156978+0.0147855j 0.0239289+0.0185568j 0.00482972-0.00788126j 0.0141998+0.00869094j -0.00334659+0.0275007j 0.010243+0.00407265j 0.00645761+0.00470309j 0.0168393+0.0187421j -0.00204092+0.00198211j -0.00410559+0.00249714j 0.00472765-0.00927362j -0.00458017-0.00444425j 0.00309045+0.00557337j -0.00487745+0.0030885j -0.00733288+0.012975j -0.0153006-0.0169595j 0.00656886+0.00327301j -0.00669536-0.00270329j -0.000853369+0.000622471j 0.007891+0.00432942j -0.00181268-0.0063384j -0.00855446+0.00761722j 0.00687233+0.00675181j 0.00114819+0.00060391j -0.00294203-0.00506781j 0.00168056-0.00859645j -0.00773933-0.0109779j -0.00496764+0.00369859j 0.00564831+0.00405738j -0.00283381-0.00567804j 0.00583699+0.00906079j 0.00397937-0.00202395j 0.000442877+0.00633841j -0.00221844-0.000975014j -0.0015999+0.00119164j 0.00671347-0.000672744j 0.00590176-0.00525456j 0.0144063+0.0128261j -0.00320764-0.00116324j -0.00395296+0.00572796j 0.0127601+0.0192746j 0.0009453+0.00191385j -0.00589949-0.00271867j -0.00337972-0.00309135j -0.0158046-0.0127579j -0.00180535-0.00334666j 0.00166542+0.019414j 0.0100261+0.0108508j -0.0214274-0.0199087j 0.00220965-0.0111781j 0.0127013-0.325238j -0.15871-0.143576j -0.00545984-0.0315879j 0.0227803-0.0485763j 0.089263+0.0693238j -0.62919+0.0350655j 
-0.00537932-0.00382463j -0.00763815-0.00444682j -0.00977602-0.00490464j -0.0104045+9.78521e-05j -0.00417437-0.002609j -0.00629277-0.0027777j 0.0104524-0.000914879j 0.00109818-0.000159918j -0.00677782-0.00100808j -0.00694274+0.00195816j 0.0035644-0.0019981j 0.00454088+0.0019956j 0.0092403-0.0066747j -0.00302594-0.0134874j -0.0182431+0.000577886j -0.0410609-0.0109689j -0.0232178+0.0167617j -0.00245609-0.0124409j 0.0229698+0.00136153j -0.00361481+0.00400417j -0.00665393+0.00881541j 0.0125568+0.00134161j -0.00493568-0.000595534j 0.00157147+0.00109602j 0.00618463-0.00154646j -0.00489451+0.00766611j -0.00442437+0.00101527j -0.0058614+0.005275j 0.00546851-0.00311605j 0.00431212+0.00232966j 0.00993525-0.00853172j 0.00323889-0.00803929j -0.00280395+0.00477597j -0.0128521+0.00276705j 0.00258454-0.0203561j 0.0257636+0.0174303j 0.00494005-0.0246846j -0.0023838+0.017537j 0.0144906+0.000366522j -0.00507658-0.0304088j -0.0096563+0.0272524j 0.0197935+0.0204414j 0.0156829-0.0147456j -0.010667-0.0108551j -0.00246869-0.00157501j 0.0157473+0.00791976j -0.0126605-0.0269544j 0.016796-0.0111157j 0.0134668-0.00151403j -0.00613122-0.00911743j 0.000681714+0.000180045j -0.0109115-0.0142002j 0.000969575+0.0193428j -0.0109622-0.00121572j -0.00431807-0.00190078j 0.0117912+0.0111604j 0.000516975+0.0081201j -0.00120998-0.00332199j -0.00426402-0.00248721j 0.00766006-0.00269025j -0.00377989-0.0145505j 0.0027752-0.00118963j 0.0112618+0.00461438j 0.0028492-0.00663953j 0.00712083+0.0132j 0.00660731+0.00779793j -0.00592611-0.00334136j -0.00380991+0.00116591j 0.00475893+0.00887577j -0.00768815-0.00267281j -0.000208007-0.00166107j 0.00644792+0.000991428j -0.00131781+0.00635626j -0.0023878+0.00473522j 0.00481809+0.00805543j 0.0071347+0.00850603j 0.00103756-0.000639409j -0.00563234-0.00193385j -0.0029797-0.0104743j -0.00566066-0.00986478j -0.00666471+0.00484798j 0.0104756+0.00370191j -0.00327141-0.0092548j 0.00718471+0.00613005j 0.00818299+0.00581789j 0.00251463+0.00561732j -0.0100326-0.0270658j -0.00104649-0.00445232j 0.0193058+0.00910644j 0.00827505+0.0118776j -0.0119832-0.0210634j 0.156729+0.144325j 0.0133417-0.326089j 0.0311986-0.0508818j 0.0079493+0.027552j 0.628625-0.0341397j 0.0888271+0.0691591j 
0.0211879+0.00481537j 0.00462394+0.00161691j 0.00383873+0.00421538j -0.009727+0.00514105j 0.00635361+0.00349302j 0.00679681-0.00474288j 0.00763163-0.00882108j 0.00287496-0.00801865j 1.05047e-05+9.0312e-05j -0.00593936-0.00377247j 0.00863417-0.00109625j -0.00228303-0.0139428j 0.0157978-0.00513869j 0.0237968-0.0422799j -0.0252029-0.0167904j 0.0283309-0.00644316j 0.00332722-0.0085368j -0.0120589+0.00107609j -0.0159407-0.0101846j 0.00842646+0.0176429j 0.0114698-0.000162248j -0.0222578-0.00950046j 0.00226962+0.00182191j -0.00829544-0.0018059j -0.00840703+0.0138556j 0.0213754+0.0163178j 0.0172324+0.0089291j 0.0187278+0.0040935j -0.0270552-0.0175193j -0.0107187-0.00162923j -0.0253372+0.00177844j -0.00282933+0.00948382j 0.0166517+0.0154288j 0.0894821+0.0197066j -0.0536972-0.00709267j 0.00432038+0.0398663j -0.0492357-0.0199244j 0.034268-0.00115872j 0.00102483-0.021658j -0.0102918+0.0310374j 0.00850186-0.0153639j 0.0165935-0.0077413j -0.00487827+0.0018119j -0.0142276-0.0133551j -0.015556+0.00213145j 0.00704489+0.00738426j -0.00163517+0.0150606j -0.0024327-0.00233892j 0.00742026-0.00359817j 0.000269682+0.000489847j 0.00477601-0.00315688j 0.00667343+0.0131813j 0.00377564-0.00159752j 0.00680877+0.00758276j 0.00454772+0.0210618j 6.7817e-06+0.00236532j -0.00537315-0.0101843j -0.00235375-0.00424508j 0.00477886+0.00809453j 0.000364663+0.00494179j 0.00207787+0.0143036j -0.00780433-0.00455867j 0.00499959+0.00540102j 0.00523295+0.00343655j 0.000225904-0.00299545j -0.00632113+0.00200037j -0.00290052-0.00398223j -0.00833585-0.0139233j 0.00317228+0.00231508j -0.0102131-0.00581643j -0.0186586-0.0214879j 0.00128687-0.00429417j 0.011047+0.00580248j 0.00418128+0.0067356j -0.0150941-0.0219241j 0.00517912-0.000805328j 0.0108475+0.0102423j -0.0106455-0.0222084j 0.020186+0.0272827j 0.0061655+0.0278357j 0.00184659-0.0125451j 0.0120885-0.00666339j 0.0107427-0.00954226j -0.00515853-0.00546673j 0.00175097-0.0100068j -0.0788369-0.128711j -0.021194+0.331039j 0.151299+0.289471j 0.0180598+0.145161j -0.000589513+0.00519827j -0.00476684+0.0899842j -0.0874174+0.140688j 0.0144354-0.0363146j 0.0447434+0.105877j 0.6651-0.0612641j 0.0167795-0.0302783j 0.0182706+0.00981898j 
0.00821466+0.000405435j -0.0206325-0.00552847j -0.0026087+0.000434491j -0.00304887+0.00172609j 0.00146638-0.00376145j -0.0108829-0.00527762j -0.00402122+0.00137504j -0.00825049-0.00291937j -0.00541792-0.00492207j -0.00652896-0.00295191j 0.000102638-0.00493653j -0.0061008+0.0124783j -0.00633123+0.004525j -0.0401477-0.0117319j -0.0278531+0.0454413j 0.0107456-0.00946339j -0.0301605+0.0102233j 0.0195167+0.0025142j -0.029295-0.00842487j 0.0100294+0.00767946j -0.0122788+0.00636865j -0.0294969+0.00151202j 0.0117776+0.00472372j -0.0083414+0.00470621j 0.0041148+0.00187528j 0.00208089-0.00142769j 0.0179777-0.0034481j 0.000204348-0.0033738j -0.0242926+0.0109622j -0.0178466-0.00201773j 0.00808552-0.000285104j 0.0311468+0.00147166j 0.0108491+0.00401883j 0.0334704-0.0225202j 0.0782678+0.0203824j -0.0695823-0.0315142j -0.00897647-0.0425604j -0.000219696+0.024405j 0.0419078+0.000209277j -0.0101418+0.0195467j -0.0113396+0.03264j 0.00686349+0.000415521j 0.0158618-0.00653176j 0.020857+0.00696372j -0.0121161-0.0252229j 0.00444067-0.00486631j 0.00304717+0.012485j 0.00142154+0.00266441j 0.0145649+0.00181241j 0.00672748+0.0172086j 0.00653789+0.00046848j 0.0176523+0.0238108j -0.00674176+0.00235612j 0.00819224-0.00190855j -0.0155268-0.00450146j -0.00146742-0.00406443j -0.0167761-0.0106761j -0.00146694-0.0132753j 0.00304571+0.00801658j -0.00411943+0.00679617j 0.00322704+0.000594242j 0.00215241+0.00704469j -0.000366403+0.00542817j 0.00336722+0.00507342j -0.00524811-0.00499187j -0.00808977-0.00254487j -0.00238939+0.00169113j -0.00334833-0.00153958j -0.00403897-0.00688753j -0.00983135-0.0186156j -0.0063503-0.010558j 0.000104958-0.014081j 0.00875288+0.0140277j 0.00092896-0.000508199j -0.0123866-0.026538j -0.0057425+0.00162887j 0.0073862-0.00261455j -0.0132274-0.0123392j 0.00713456-0.00134941j 0.0162929+0.0361668j -0.0132052-0.0303719j -0.00318028-0.0296592j -0.00579391-0.0623015j 0.0134509-0.016513j -0.024549+0.0531284j -0.019859+0.103861j 0.154848+0.326009j 0.0420557-0.38047j 0.0318412+0.0194823j -0.00553054+0.0129276j 0.0146795+0.0694472j 0.0310875-0.0303334j 0.0914887-0.142357j -0.658416+0.0372993j 0.0376994+0.0987987j 0.0301081+0.0081133j -0.0204875+0.0301561j 
-0.00538396-0.0103682j -0.00814319-0.00548602j 0.00297887-0.0017941j 0.00603021+0.00727433j -0.0013681-0.00914482j -0.0063176-0.00632129j -0.00105646-0.00477039j -0.00292101-0.000296862j -0.00406578+0.00166372j -0.00457807+0.00771167j 0.000918683-0.0203741j 0.00286146+0.0157911j 0.0107999-0.0430111j 0.00707078-0.0126842j 0.0396626-0.00676583j -0.00133277+0.00260961j -0.0135196+0.0276107j 0.0086992+0.000714728j -0.0152719-0.0115066j 0.0221859+0.00450951j -0.00891183+0.0105983j -0.00848001+0.000413673j -0.00335915-0.000336173j -0.00635684-0.000675033j 0.0300999+0.00217223j 0.0198387+0.0040423j 0.00910155+0.00241577j -0.00203605+0.000943219j -0.0176961+0.00262645j -0.0119723-0.00662841j 0.0276332-0.0130159j 0.0553228+0.00165585j 0.0758043+0.0161198j 0.0541197+0.00319007j -0.0292496-0.0331414j 0.0419506+0.000379065j 0.0688807+0.039688j -0.031821+0.00245578j 0.00882624+0.0128203j 0.00397567-0.00786747j -0.00813648+0.0133286j -0.0113922+0.00323938j 0.00660171+0.00386066j 0.0206147+0.0122093j -0.00183749-0.0165842j -0.00439462+0.00404427j 0.00189117+0.00624428j 0.00183018+0.00255281j 0.00871908+0.0128708j 0.00390564+0.01153j 0.000306663-0.00162498j 0.00857956+0.0111706j -0.0025691+0.0130228j 0.00255946-0.000453309j -0.00613168-0.00711264j -0.00161243+0.00312899j -0.00737792-0.0134325j -0.00435576-0.0103016j 0.00423576+0.00110054j -0.00162608+0.00187052j -0.00368675-0.00841605j 0.000881644+0.0119617j 0.00979067+0.00648571j -0.00267963-0.00399495j 0.00460545+0.0159317j 0.00978808+0.0204939j 0.000713073-0.00302101j -0.00466021-0.00873127j -0.00178815+0.00344065j -0.015511-0.0219611j -0.00981581-0.0107042j -0.00497243-0.00156661j 0.024195+0.0243916j 0.00483914+0.000488802j -0.0109008-0.0107532j 0.0048713-0.00426134j 0.000657581-0.0361192j -0.024372+0.0224962j 0.00750564-0.0314756j -0.00036599+0.0532449j -0.032321-0.0454841j -0.0566093-0.0117385j -0.0724184-0.327702j -0.016009-0.205045j 0.0704087+0.367825j -0.0239921-0.202464j 0.128797-0.15919j 0.00508111-0.0217053j 0.057296-0.0294136j 0.0230003+0.0902237j -0.673212+0.0629723j -0.00796352-0.0410972j 0.0208741+0.0318499j 0.0232702-0.0387171j 0.00151147-0.0188147j -0.0318301+0.00953947j -0.0249573-0.00979321j 
0.00911621-0.00647947j 0.0109228+0.0129085j 0.00770601+0.00915791j 0.00167533+0.00259595j 0.000110423+0.000113475j -0.00432304+0.024251j 0.00670243-0.000858951j -0.00241237+0.00733799j -0.0031489+0.0247685j -0.0149842+0.0282888j 0.00398999-0.00455859j -0.0112458+0.0378854j 0.0200738-0.00380059j 0.0322389+0.0353286j -0.00745349+0.0475022j 0.00646424+0.034795j 0.00910323+0.0015052j -0.00917575+0.0111856j -0.0124727+0.000278045j 0.0154139-0.018537j 0.0223757+0.00128896j 0.00255891-0.00391661j 0.00295131+0.011815j 0.000553037+0.00167107j -0.00332653-0.0145222j 0.0142183-0.00979164j 0.00320015+0.0099556j 0.00884234+0.00212449j -0.0082066-0.00722581j -0.0269892-0.00370501j -0.0877945-0.0284598j -0.0217859-0.0138252j 0.0717454-0.0105491j -0.0129944-0.0162461j -0.0229403-0.00134432j 0.0487067+0.0276243j -0.00208808-0.0107277j 0.00289733-0.00624643j -0.0169966-0.0087298j 0.0010353+0.00381493j 0.00829706-0.0184791j -0.00548415-0.0140456j -0.0119112+0.00227204j 0.00688804+0.0169024j 0.0077235+0.00321292j 0.000699468+0.00491871j -0.00314331+0.0100504j 0.0040727+0.00259705j 0.0104091+0.0102463j -0.00358897+0.00669416j 0.00481471+0.00934166j -0.00660941-0.0161539j 0.00156526+0.000663386j 0.000180647+0.00885493j -0.00372666+0.00458404j 0.00330804+0.00926291j -0.00610642-0.0208175j -0.000694933-0.00306382j -0.00593967-0.00606837j -0.00578515-0.00800202j -0.00517554-0.00911883j 0.00205438-0.00241867j -0.000840843+0.00449292j 0.000164274+0.00111569j 0.00471329-0.0107092j -0.000145486-0.00705973j -0.000820779-0.00826716j -0.00488953+0.000884396j -0.00326982+0.00588192j 0.00665096+0.0127757j -0.00411081+0.00108902j 0.0113667-0.0045902j -0.00155013-0.0216211j -0.0090638+0.0217771j 0.00352965-0.0185357j -0.00816719-0.0245436j -0.0307438-0.0217854j -0.000323381+0.0194831j 0.014442+0.113923j -0.0319281+0.190976j 0.0598332+0.238226j 0.0982342+0.436357j -0.100678+0.0919407j -0.0691291-0.2004j 0.0517655+0.00190158j -0.000305643+0.0819209j -0.00068323+0.00203587j -0.0230193-0.0439717j 0.0399599+0.108886j -0.671764+0.103966j -0.010193-0.0394141j 0.0384055+0.0725552j 0.0252179+0.0481886j -0.00894452-0.00487676j -0.000968162+0.0108342j -0.0108722-0.0257977j 0.0593844-0.007423j 
0.0153076+0.010477j -0.0210889+0.00391375j -0.00613038+0.00541139j -0.0166165-0.00931909j -0.00606407+0.00566352j -0.00130575+0.0109371j 0.0197616+0.00280699j -0.000263871+0.00270511j -0.00846176-0.00127984j -0.00877144+0.00201297j -0.00390511+0.0275274j 0.0289289+0.00794914j 0.0291603-0.0353721j -0.01059+0.0497293j -0.00980848-0.0493082j 0.0120144+0.000114177j -0.0158863-0.0253388j 0.0145057+0.00842495j -0.0284169+0.00329241j 0.000154835-0.00244966j -0.000376966-0.00382931j -0.0435625-0.010837j 0.0278137+0.00243794j -0.00905634-0.000298934j -0.0125656+0.0012953j 0.00309526+0.00935396j 0.0417602+0.00834103j 0.0102452+0.00549068j -0.0661932-0.00900263j -0.0427582+0.0038631j -0.0455295+0.00694398j 0.0372416+0.00501847j -0.0392335-0.0221952j 0.063396+0.0149956j -0.00855203-0.0382618j 0.0237687-0.00986519j -0.0130903-0.00541065j -0.00178826+0.0131085j 0.016742-0.00363404j -0.00935732+0.0253727j -0.00787616+0.0128917j 0.011092-0.0051531j -0.000939978-0.00788894j -0.00403702+0.00681073j 0.0114824-0.00676444j -0.00192686-0.00518857j 0.000100827+0.0131586j 0.00355899+0.0103616j -0.00743526-0.00834669j 0.0052897+0.0112602j -0.00572313+0.0106309j 0.00759024+0.0138678j -0.00961377-0.0222915j 0.00767348+0.00428987j 0.00318462-0.0026174j -0.0100546-0.0027936j -0.00840779-0.0159545j 0.00193421-0.00826213j 0.0139302+0.0174956j -0.0016507+0.00658741j 0.0103024+0.0154609j 0.00271657+0.0155302j -0.00901309+0.00546361j 0.011305+0.0137755j -0.0134408-0.0266292j -0.0165568-0.0230871j -0.00204551-0.0113716j -0.00546102-0.0124983j -0.0100355-0.036022j 0.00369336-0.0171494j -0.0140069-0.016156j -0.0134122-0.0270134j -0.0117584+0.0130344j 0.00189971+0.0336716j -0.0291895-0.0935466j -0.00608108-0.0192389j 0.0130445+0.0452891j -0.0183045-0.0413283j 0.0980445+0.128918j 0.0796986+0.341089j 0.0534067-0.208829j 0.0477409-0.196004j 0.0588163+0.317721j -0.0670725-0.105341j 0.0392837+0.119959j -0.0404189-0.0508171j 0.149855-0.151091j 0.086396-0.0634323j -0.640959+0.058257j -0.0287043-0.0815656j -0.0221592-0.0179281j 0.0331401+0.042994j -0.0354958-0.0658576j 0.0234743-0.0313959j -0.0300231-0.0102078j 0.0522855-0.00586359j 0.00331785+0.0246705j 
0.0202041+0.0092071j 0.00628008+0.00182154j -0.00268581+0.0113313j -0.00768712+0.00826492j 0.00833093+0.00426292j -0.00158279-0.00469066j 0.00578884-0.00787541j -0.00341698-0.0208005j -0.00753926-0.0019049j -0.0133647-0.0148139j 0.0144451-0.0351004j -0.0153186+0.0293956j 0.0283218+0.0379695j 0.0061198-0.00945246j 0.0120997+0.0185996j 0.00958545-0.0108361j 0.0108641-0.0133529j -0.0246154+0.0052542j 0.0106955-0.00920837j -0.0186842+0.00781066j 0.0111052+0.000394577j -0.00339374-0.00241966j 0.00170538+0.0128154j -0.00097922+0.00710354j -0.0434609+0.0011912j -0.00113586+0.00466108j 0.00211673+0.0039426j 0.0284287+0.00101893j -0.035779-0.00550108j 0.0141763-0.00380215j -0.0604168-0.00595584j -0.111924-0.00731442j -0.0123833+0.0182217j 0.0191072-0.0267678j -0.0799931-0.0197704j 0.0250716-0.000341857j 0.0784171+0.00832138j 0.0171834+0.000116048j 0.0134474-0.0164777j -0.0128615+0.0132356j 0.00312561-0.0146153j 0.00399846-0.00197668j 0.0109691+0.0118841j -0.00244789-0.0207038j 0.00461858+0.00829116j 0.0113689+0.0180086j -0.00585152+0.00630561j 0.00214932-0.00701539j -0.0104148-0.00634268j -0.00641193-0.00508625j -0.00451681+0.00797409j -0.0132509-0.00261663j -0.00190485-0.0143693j -0.00391832+0.00766826j 0.00449104-0.00275086j -0.0017504-0.00230774j 0.00874625+0.00518896j 0.00710847+0.0287664j -0.00593767-0.00812419j -0.000681357-0.00159837j 0.00637485+0.0284148j -0.00678552-0.0128911j -0.00625904-0.0219044j -0.00573273+0.0171102j 0.000252909-0.0130323j 0.00016222-0.0141865j -0.00051842+0.0129991j 0.000108013-0.0134889j 0.0119567-0.0126575j 0.0206454+0.0639543j -0.000749877+0.00782448j 0.0105737-0.0565068j -0.0325029+0.0400034j -0.010142+0.0716034j 0.0122513-0.0131692j 0.0379334+0.0327964j 0.0493681+0.13745j -0.0321289-0.330039j 0.0722493+0.403306j -0.104602-0.173712j 0.100912+0.14026j 0.0536967-0.12693j 0.118723-0.0879401j 0.0788388+0.0490662j -0.139525+0.155536j -0.569649+0.107347j 0.00328959-0.0321502j -0.25502-0.0539806j 0.00971207+0.0261927j 0.0189307+0.0297456j -0.0231736+0.0400326j 0.0198669+0.0357055j 0.0156518+0.0289977j -0.0125214-0.00836471j -0.0372887+0.0114752j -0.00537734-0.0105949j 0.0242914-0.00495853j 
-0.00104173+0.00231363j 0.0129739-0.00189654j 0.00152758-0.00576473j 0.00465058-0.00228449j 0.00457144+0.00540817j 0.00318414+0.00316869j -0.011416-0.00472794j -0.00261544-0.022117j 0.0182119-0.0169365j -0.00267308+0.0157927j -0.0126149+0.0550106j -0.0217105+0.00407939j -0.00259409-0.0061202j -0.00407927+0.000988228j -0.00358635-0.0134952j 5.62136e-05-0.00789451j 0.000929115-0.00557474j -0.0104446-0.00896232j 0.0294656+0.00499532j -0.022012-0.000178964j -0.00128937-0.00357896j 0.0378842-0.00257389j -0.0200645+0.00752912j 0.0031816+0.00693473j -0.00748431+0.00328435j -0.0331313-0.00266825j -0.0277497-0.0102724j -0.0273024+0.00563509j 0.0390891-0.014825j 0.0802033+0.0255667j -0.0292028+0.00651782j 0.00866156+0.00252182j -0.00919557-0.00777377j -0.00585206-0.00318618j -0.0067607+0.00435714j -0.0277537-0.0133962j 0.0373452+0.00503817j 0.0111079-0.00446214j 0.00137495-0.000597348j -0.00118744-0.0052045j 0.00600501-0.00334522j 0.000957041+0.00626098j 0.000424529+0.00191203j -0.0030462-0.0137624j 0.00575467+0.0108496j 0.00298357+0.00516045j -0.00407909-0.0177401j 0.000644755-0.000794567j -0.0152083-0.00226912j -0.00388008-0.0147465j 0.000914413+0.00640826j -0.0181233-0.0233209j 0.00422442+0.00246434j -0.00759087-0.0138282j 0.0105362-0.00334823j 0.0100604-0.0090766j 0.0264953+0.0406172j -0.00806596+0.0152679j -0.00328178+0.00081246j 0.000893832-0.00244453j -0.0151159-0.011013j 0.0065085+0.00476352j 0.00586463-0.0151688j -0.0139261-0.0167863j 0.0165441+0.00811464j 0.0261744+0.0189517j 0.00413405+0.00155095j 0.0188733+0.0323944j -0.000181898+0.0109703j 0.0111786+0.079617j 0.0274756+0.0657542j -0.0125327-0.0742932j -0.0671587-0.0244111j -0.0708632-0.0119628j 0.0564475+0.212769j 0.0139134+0.365241j 0.0644399+0.416755j 0.061072+0.0939468j -0.111353-0.0698907j -0.00320302+0.159239j 0.0883848+0.0905518j 0.132525-0.0831596j 0.216829-0.0521083j 0.399939-0.115333j 0.46178-0.0231498j 0.00281295+0.0121091j 0.0597531+0.0464843j 0.0292701-0.00137782j -0.0028079+0.0159178j -0.0242253-0.023312j -0.00823085+0.0070162j -0.0158513-0.0469417j 0.00474231+0.0196227j -0.0199714+0.00524887j 0.0126968+0.000330632j -0.018538+0.013033j -0.027782-0.00593826j 
0.00259741+0.000366447j 0.0202995+0.00199283j 0.0091768+0.00114359j 0.0153792-0.000232804j 0.00807517-0.00345758j -0.000300204-0.00898669j -0.0178969+0.0109814j -0.010539-0.0115854j 0.0100325+0.0161303j 0.0088991-0.0546772j -0.012691-0.0100571j -0.0152008+0.0165423j -0.000763776-0.0424636j -0.00586375+0.0255148j -0.00967855+0.00267632j 0.00619074+0.00421192j 0.0178488+0.000225981j -0.0183009-0.00274558j 0.0233426+0.00500695j -0.0149297-0.00292398j 0.00598665+0.00140282j 0.0372838+0.0164598j -0.0287462-0.00519278j 0.0026303-0.00114691j -0.0370148+0.00659887j -0.0316022-0.0106595j -0.0549204+0.00182055j -0.00636148-0.00977751j 0.11432+0.0173757j 0.00547768-0.00737604j 0.0316872+0.00137177j -0.0571793+0.0153123j -0.0383197-0.00765763j 0.0386885-0.00520272j 0.0484936-0.00570582j -0.0406072-0.00507502j -0.0366935-0.0132749j 0.0263188-0.0010787j 0.00370951-0.00695548j -0.00289943-0.00315291j 0.0075748-0.0160686j -0.00341559-0.000654843j -0.00647214+0.0028639j 0.00516824-0.0119171j 0.00535394+0.00624558j 0.00856443+0.00749712j -0.0038485-0.0109434j 0.0043934-0.00805056j 0.000510338-0.0099501j -0.00620311-0.0110937j -0.00896628-0.00179905j -0.0143044-0.0295288j 0.00120604+0.0047219j 0.000662439-0.000904588j 0.000198678+0.0170097j 0.0129376+0.00455657j 0.0088429+0.0363457j -0.00144855+0.0301605j -0.0139206-0.00171501j -0.0117211+0.014148j 0.00990118-0.00811817j -0.0120649-0.0309383j -0.00321398+0.00641299j -0.0267096+0.0410084j 0.0130712-0.0198299j 0.0340352+0.0113026j 0.0161204+0.0239479j 0.0136797+0.0427067j 0.0230487+0.0388283j 0.0514053+0.0744706j 0.0690594+0.0887733j 0.0253236+0.00452995j -0.0284894-0.173969j -0.0172792-0.0566382j 0.140462+0.425692j -0.0959873-0.34548j -0.0345083+0.0168074j -0.00799501-0.134363j -0.123716+0.0828527j -0.320112+0.182523j 0.102781-0.130744j -0.135033+0.0177439j 0.295756-0.0790548j -0.406406+0.0152249j 0.138671-0.0123119j 0.0130299-0.0418611j 0.075292+0.0471914j 0.0173595-0.0148442j 0.00632066+0.0136419j 9.71846e-05+0.000382488j -0.0179996+0.00425003j -0.00235078+0.00113028j 0.00122017-0.0168601j -0.0182687+0.00873509j 0.0194043+0.0146141j 0.0190256-0.00281168j 0.00410947+0.00445303j 
0.00381783+0.0106093j -0.00919628+0.00403207j -0.00728137-0.00487679j -0.00575071-0.0181156j -0.00357043+0.0116797j -0.0110593+0.027591j -0.00164641+0.0193614j 0.00438462-0.000465849j -0.015209+0.0256193j -0.00133845+0.0195942j 0.0135734-0.0435051j 0.000396996-0.0224905j 0.0020707+0.0526879j 0.000332076+0.00814756j -0.00443617+0.0126856j 0.0141702+0.000161044j -0.00400246-0.0244442j 0.0192668-0.00277999j -0.012453+0.01503j -0.0183398-0.0143495j -0.00592308-0.00798124j -0.0118711-0.000905014j 0.0114227+0.0130778j -0.012952-0.00190155j -0.0391813-0.0101003j -0.0582092-0.0152024j 0.0332882+0.00656745j -0.0581594-0.0100299j 0.0333304-0.00922164j -0.0964864-0.00672228j -0.0302394-0.012164j 0.0213973-0.00538956j 0.0155954+0.016199j -0.0245706+0.00914111j -0.00987367-0.0100116j -0.029479-0.00823048j -0.0215569-0.018738j 0.00673169+0.00932461j 0.00402271-0.00183025j -0.00289779+0.014434j -0.000780534+0.00507091j 0.00300143-0.000482089j 0.00502422-0.0134184j 0.00358856+0.00720103j -8.94754e-05-0.00543843j -0.0019161-0.0107215j 0.00760571+0.00233531j -0.00758138+0.00866214j -0.00851634-0.0120429j 0.0048203+0.00674559j -0.0016618+0.00708082j 0.00131526-0.00691294j -0.00178677-0.0225007j 0.0133981-0.0148204j 0.0197398+0.0100636j -0.00659085-0.0180323j 0.0105845+0.0272595j 0.00263217-0.000376197j -0.00373818+0.0222591j -0.00909064+0.0134221j 0.000488184+0.0103276j 0.0182112+0.023135j -0.00459589+0.00938276j -0.0018529-0.00519733j -0.00953339-0.026354j 0.0100416-0.0500817j 0.024524-0.0151381j 0.00561248+0.00619742j -0.043878-0.140806j 0.0562649+0.0521466j -0.00913239+0.161376j -0.023452-0.215181j -0.1388-0.270613j -0.104484-0.361261j -0.0981817-0.22293j -0.152222-0.0388499j -0.10572+0.135634j 0.105732+0.0699016j -0.0392073+0.0695662j 0.194895-0.137732j 0.477203-0.134456j -0.324524+0.0596517j -0.0647104-0.0583293j 0.0543239-0.0519791j -0.025386-0.0110947j -0.0153193+0.0107748j -0.0136666-0.00409529j 0.00747058+0.0212427j 0.0345767+0.0156805j -0.00209617+0.0155603j -0.0162128-0.0104149j 0.0055963-0.00509168j -0.0188136-0.0783082j 0.0116604-0.014813j 0.0111274-0.00207598j 0.0552102+0.00278125j -0.0195795+0.025081j 
