0.0231323+0.0663585j 0.0582398-0.0277908j 0.0562557+0.067028j 0.0747279-0.0462507j 0.00101005+0.00895955j 0.00184262+0.0107863j -0.0119902+0.00687104j 0.000628008+0.0209344j -0.0206805-0.031832j -0.0181471+0.029015j 0.0342603-5.76676e-05j -0.00871497-0.0222564j 0.004932+0.00107306j 0.0173847+0.0100263j 0.000682928+0.0218329j -0.00935001-0.0108875j -0.0259528-0.0266703j -0.0106286+0.0111662j 0.00219362-0.0153246j -0.0136891-0.0254139j -0.0366254-0.0160075j -0.00361761+0.0122173j -0.00780465-0.000925837j -0.00158988+0.00108699j 0.0177615+0.00752486j 0.00515961-0.0178355j 0.0108512-0.0195421j -0.00734081+0.00529769j 0.011265+0.0062127j 0.0122571+0.00411429j 0.0188306+0.00689643j -0.00379669+0.0108002j 0.0101213+0.0208431j -0.0347377+0.010521j -0.0109867-0.0189304j 0.00714609-0.0221133j 0.0187315+0.00187585j -0.026726-0.00479902j -0.00105683-0.0145525j 0.00631651+0.0142205j 0.0148458+0.00145246j -0.00351074-0.00478145j -0.0244185-0.00641195j 0.0134777-0.00292752j -0.0361608+0.00418609j 0.000258985+0.00230517j -0.00899125-0.00913508j -0.0243052+0.0229086j 0.0230617+0.0233835j 0.0149988+0.00793117j 0.00722318-0.0319154j -0.00262389-0.00900634j 0.00845207-0.00482691j -0.0111494+0.0232043j -0.013084+0.00326398j 0.008042+0.00216741j -0.0064512+0.005467j -0.000769947-0.000255153j -0.0168692+0.0135468j -0.0133341+0.0111945j -0.00696881-0.0145771j -0.0199262+0.023996j -0.0257157+0.0133108j 0.0137519-0.00437388j -0.0210896-0.0165829j -0.00268471+0.0121446j -0.00879204+0.00156064j 0.0128811+0.00707424j 0.0225352-0.0280318j 0.0109844-0.0257426j 0.021397+0.00776802j -0.00879048+0.0328837j 0.0100885-0.0128791j -0.0122837+0.0170089j 0.00393281+0.000253633j 0.00752426-0.00497574j 0.0180167+0.00532242j 0.0117903+0.0162065j 0.00216544-0.0112275j -0.00326921+0.0166163j -0.00937984-0.0147181j -0.0181832+0.0251036j 0.00916558-0.0161369j 0.00791596-0.00669081j -0.00622454+0.0178815j 0.0361113-0.010855j 0.00701574-0.00336509j 0.0206418-0.0111401j 0.0371231+0.0495456j -4.29285e-05+0.00322223j -0.00955559+0.00474196j 0.0715961+0.0426929j 0.0267723-0.0773895j 0.046476+0.058813j -0.0592531+0.0489764j 
-0.0352526+0.00395342j 0.00386332+0.0435316j 0.0118937-0.00266727j 0.00364898-0.0157272j -0.0230123+0.00393874j -0.00168661+0.0138066j 0.0332405-0.0387728j -0.0294808+0.0105963j -0.0468137-0.0122507j 0.0101629-0.00207285j -0.000619378-0.0204226j 0.00442383+0.0144269j 0.00153139-0.00503638j -0.000488004-0.00826738j 0.0185082-0.0188863j -0.0112168-0.0169794j -0.000212771+0.0148937j -0.00830205+0.0161264j 0.00218301-0.00210041j -0.000817044-0.000751444j 0.0038803+0.0170034j -0.0181565-0.00106195j 0.0017204+0.00570175j -0.00361299+0.00156424j -0.0083412+0.00921792j -0.0030613+0.00722027j 0.00427359-0.00289313j -0.00380201-0.000310249j 0.0109487-0.000949985j 0.00780357+0.00725516j 0.00114497+0.00349934j 0.00652665+0.00353477j 0.00318374-0.0117998j -0.00507703+0.00906957j 0.00701422-0.00701581j 0.00267588+0.00311836j -0.00102331-0.00841991j 3.82182e-05+0.00232338j 0.00737624-0.000356184j 0.00668599+0.0217581j 0.00256388+0.0215568j 0.00304013-0.0118664j 0.00907186-0.000548955j 0.0108288+0.0377044j 0.00543952+0.0175424j -0.00395764-0.00568393j -0.0183498+0.0199158j -0.0146887+0.00428649j -0.0309686-0.00103097j -0.0126237+0.011602j 0.015647-0.00589596j -0.000218748+0.00235273j -0.00211298-0.0177733j -0.00798634+0.00229499j 0.0200698+0.00570779j -0.00663889-0.0112557j 0.00538174-0.0149637j -0.00910292+0.00631758j 0.00590196+0.00606836j -0.00289277+0.0189059j -0.0124104+0.000611605j 0.0129342+0.00270804j -0.00899352-0.00229545j 0.00621502-0.010313j 0.00534613-0.00743243j 0.0118545+0.00826932j -0.00710598+0.00361337j -0.0069132-0.00340663j 0.00449075+0.00363902j -0.0194758-0.0180368j -0.0110538+0.00709867j -0.00581276-0.00339718j -0.0108242-0.00126409j 0.00853057-0.0040178j -0.00116134+0.0129368j 0.014442+0.0117606j -0.00323733-0.0371421j -0.00540042+0.0133485j -0.0262994-0.0326476j -0.000661261+0.00691615j 0.00894406+0.0212534j -0.0013759-0.0153982j -0.0168486+0.0204543j -0.0320545+0.00181948j 0.0064789+0.0155836j -0.020658-0.0257035j -0.0277121+0.0252851j 0.035732+0.013199j 0.0551978+0.016337j -0.00260624-0.00540033j -0.00239963+0.00541028j -0.00414072-0.0363199j -0.0421824+0.0163116j -0.0472943+0.0179214j -0.0144472-0.0414939j 
-0.0123859-0.0450615j -0.0375365+0.0135053j -0.0143846-0.0341484j -0.0295285+0.0116347j -0.0126182+0.0354772j 0.0259674+0.0106021j -0.00231678-0.00862968j -0.000992279+0.00760059j 0.000256669+0.0135906j -0.0185613+0.00915034j -0.00537725+0.0259959j 0.0337062+0.0042046j 0.00324632+2.48993e-05j -0.0265251-0.00938343j -0.0168762-0.00746025j -0.00790596-0.0169466j -0.00392859+0.00885055j 0.00360688-0.00676363j -0.000713016-0.0101693j 0.0112128+0.00493875j 0.00433911-0.00293159j 0.00823103-0.0026613j -0.00728218-0.00123196j -0.0184448-0.00129054j -0.00708278+0.00522177j -0.00507758+0.0222453j -0.00581078+0.00427609j -0.00826296+0.00603584j -0.0177322-0.00170994j -0.00848691+0.00636678j -0.0191299-0.0120941j 0.000240321+0.00719583j -3.1611e-05-0.0102729j 0.0226885-0.0368033j 0.0111188+0.0176525j -0.00437412+0.00598737j -0.0102878-0.00143853j 0.00742255+0.00601867j -0.0294209-0.0136633j 0.0129802-0.00581535j -0.0318453-0.00679623j 0.00703269-0.00390597j 0.0264076+0.0039809j -0.0171854-0.0194501j 0.00396775+0.00485858j -0.0269964-0.00547292j 0.0025655-0.00205092j 0.027344-0.00389494j -0.011934-0.00696947j 0.00268907-0.00480276j -0.00527407+0.0262831j 0.00323635+0.00383115j -0.0164593-0.0117073j 0.0123387-0.0209121j 0.0128348+0.00237925j 0.00167455-0.0269041j -0.000389047-0.0130732j 0.00447516+0.0103637j 0.0116156-0.0129788j 0.00117404-0.00870574j 0.00198255+0.00161373j -0.000852952+0.0119132j 0.0113527-0.0152554j 0.00675436+0.00527437j -0.00209364+0.0301127j 0.00726744-0.0128212j -5.33334e-05+0.00247856j 0.00828286-0.0119079j -0.0134839-0.0132775j -0.0234262+0.0175595j 0.00199196-0.0086969j -0.00262899-0.00557216j 0.00032043+0.00231391j -0.00714573-0.0286424j 0.0109225-0.0101232j 0.00670389+0.00765229j -0.0249066+0.00525508j 0.000253232-0.00526377j -0.0108688+0.00299102j -0.0123171-0.00394074j 0.0050916+0.027125j -0.0060136-0.0158915j -0.0224833+0.0373662j 0.0163853+0.0155353j -0.0253596-0.0117224j -0.0277356+0.0396199j 0.0146692-0.0150979j -0.0239768-0.0282906j -0.0154511+0.00446844j -0.00307124-0.0322344j -0.0310488+0.00230632j -0.0114395+0.00339549j -0.0150548-0.0235559j -0.0253486-0.0154469j 0.0240677-0.0284717j 
-0.0132291-0.0492442j -0.0462488+0.0185585j -0.0131547-0.0162896j -0.0238968+0.0114803j 0.00218391+0.0456754j 0.0463115-0.0180031j 0.0352519+0.0126798j -0.00726648+0.0159517j -0.0229977-0.00314469j -0.0231142-0.00999699j 0.00292978-0.00569998j -0.0187613+0.0472361j 0.00974568+0.0133373j -0.0106632-0.0180083j 0.00829451-0.0243163j 0.00145262-0.00115304j 0.0367838+0.054284j 0.027053-0.0133936j -0.00105205-0.0172141j 0.020115+0.029j 0.0445557+0.0355428j 0.00771857-0.0114773j -0.00889647-0.00334524j -0.0179849-0.00214897j -0.0385995-0.00350677j -0.0152987+0.0319526j -0.0282082+0.0334457j 0.00517843+0.0154605j 0.0174556-0.017176j 0.0134306-0.0144153j -0.0226763-0.00927515j -0.00615329+0.00151981j -0.0127323-0.0406961j 0.054757-0.0475379j -0.00586983-0.00925556j 0.00204917+0.0119864j -0.0213449-0.0166751j 0.0091344+0.0129339j 0.0184927+0.0142301j 0.0108665-0.0133268j -0.0402951+0.00559094j -0.0114913-0.0115843j 0.0247929+0.0388236j -0.026975+0.0151661j 0.0672455+0.023079j -0.0113262-0.0155789j -0.0122521+0.00445501j 0.0277366-0.0325585j -0.0366281-0.00825376j -0.0081981+0.00539028j 0.00603576+0.0378747j 0.00890949-0.00896134j 0.00350225-0.0111928j 0.0168843+0.0160725j 0.0189645-0.0158682j 0.00265572-0.0226716j 0.0021113-0.021768j 0.029318+0.00857262j -0.00897374-0.0141134j -0.0355742+0.0132284j -0.0121681+0.030671j 0.0119871-0.0244287j 0.00783103-0.0223497j 0.00135533-0.0157095j 0.00526498+0.00460792j 0.0203192-0.0138172j 0.0118787+0.0260997j 0.0105121-0.00143605j -0.0186726+0.0179652j -0.0313872+0.0323256j -0.0250302-0.000580739j 0.0180555-0.0249234j 0.0134633+0.0321945j 0.00924724-0.041526j 0.00518613-0.0156615j 0.0257042-0.00978489j -0.0200093-0.0148697j -0.0286638-0.0087258j -0.0222894+0.0104305j -0.00372828-0.000295688j 0.00979215+0.0275338j -0.0206116-0.0333547j -0.0411964-0.000567197j -0.00679336+0.0295611j 0.0465127+0.0039816j -0.0117023-0.00964311j 0.0171527+0.00802305j -0.0216337-0.0038375j -0.0427672-0.00981095j -0.0479328+0.0204116j 0.0270629+0.0493631j -0.0203418-0.0149076j 0.0176996+0.0161248j -0.0478987-0.0270716j 0.0209072-0.0405063j 
0.0578816-0.00533978j -0.0099058-0.0705633j -0.033624+0.035951j 0.025034+0.0402707j 0.0462659-0.00215948j 0.00245396-0.0347925j -0.039314+0.0417727j 0.0423661+0.0132237j 0.0249579+2.37354e-05j -0.0196266+0.00949005j 0.0153874+0.0127696j -0.0124686+0.00349927j -0.00137152-0.00274938j 0.00398307-0.0102202j -0.0224187+0.0165093j 0.0122048+0.0225707j 0.0292655-0.00372408j 0.00401855-0.0170621j -0.00162573-0.0101708j 0.000353593-0.00434337j 0.0100749-0.00544756j 0.0250073-0.00885182j -0.00484766-0.000816721j -0.00139574-0.00500669j -0.00976715-0.00896478j 0.00505443+0.0029779j -0.0224648+0.0143619j 0.0199111+0.00187339j -0.00762437-0.011039j 0.00800889-0.0120141j -0.00087624+0.00518853j -0.0181243-0.00617352j -0.0233873-0.00279995j 0.0269494-0.011594j -0.0166629-0.00432507j -0.00953715-0.000775156j -0.0277166-0.00920669j 0.00164947+0.00462548j -0.00245301+0.0173246j -0.00821974-0.0363381j -0.0109451-0.0233224j -0.000849903+0.0188719j -0.000543687+0.024309j -0.00445995-0.0621373j 0.0224061-0.0107512j 0.0026923+0.035558j 0.0281463-0.0196631j 0.0297735-0.00442735j 0.0494926-0.00239786j 0.00624876-0.0210989j -0.0277398+0.000574128j 0.000929461-0.0127539j 0.00573396+0.0353845j 0.00860489+0.0119751j -0.0190285-0.0233493j 0.00774419+0.00872474j -0.000901174+0.0200015j 0.0219611-0.00321293j -0.0182654-0.00816092j -0.0123166+0.00690402j 0.0115003+0.00541106j -0.00456147-0.00514488j 0.00592408-0.0182612j -0.0262632+0.0152574j 0.0075807+0.00913147j 0.00229903-0.0135382j -0.00483388+0.00682548j -0.00322108+0.0159555j -0.00160775+0.0142423j 0.0206306+0.0020667j 0.0322294-0.0249794j 0.0347069-0.00152472j 0.00923443+0.00611657j -0.0218556-0.0110187j 0.0359898+0.00375207j -0.0168564-0.0322573j -0.00023647+0.0525604j -0.00570782-0.0222475j 0.0314259+0.0449163j 0.0121725-0.0150949j -0.0243637-0.0113545j -0.0106682+0.0159183j 0.0164799-0.0534376j -0.00611049-0.00104902j 0.00527958+0.00293556j 0.0291756-0.00136455j 0.0555175-0.0393657j -0.0534224-0.0039597j -0.0435039-0.0291946j -0.0108821+0.037631j 0.0233564+0.0098985j 0.0304095+0.072515j 0.0756554-0.0110373j 0.0447502-0.0439622j 0.0268398+0.0444777j 
-0.0331673-0.00150634j -0.000593589+0.0390374j 0.0405324+0.037757j 0.0402452-0.051738j -0.0030873+0.0258143j 0.0112202+0.00108795j 0.0314133-0.0410638j -0.0610168+0.00864599j -0.0435372-0.043302j 0.00966786-0.0138127j 0.00628591-0.0125505j 0.0126605+0.0132289j 0.026606-0.00942205j -0.00439955+0.0100111j 0.0198638-0.0237505j -0.0195318-0.0241856j 0.00500642+0.0369518j 0.01675-0.000325505j -0.0126753-0.0179522j 0.0163952+0.00983857j -0.00202013+0.0177344j -0.0196091-0.0124911j 0.00664183-0.0103424j -0.0114588+0.0169613j -0.000736695+0.0212774j -0.0293494+0.0113028j -0.000262379+0.00693882j -0.0239498+0.00921681j 0.0391525+0.00819955j -0.00304933+0.00292119j 0.0216584-0.00370837j 0.00996526+0.0392218j 0.0257183-0.00723101j -0.017981+0.0105695j 0.0106686-0.0120671j 0.00135832+0.00617576j 0.019533+0.00831111j -0.0153002-0.00293946j 0.0222456+0.000432954j 0.0348447+0.0340968j 0.00894843+0.00723013j -0.01619-0.010479j 0.016637-0.0154016j 0.010585+0.0652775j 0.00415102+0.0195639j -0.00327443-0.030184j -0.0432725-0.0060529j -0.0310403-0.0120616j -0.0705211+0.0202773j -0.0117578+0.00841436j 0.0340203-0.000355722j -0.0123884+0.00236981j -0.0116315-0.0271654j -0.00462802+0.00382984j 0.0290229-0.00247444j -0.00674808-0.00688581j 0.00245758-0.0132946j -0.00879143+0.0244761j 0.0173705+0.0194007j -0.032864+0.0151303j -0.0227551+0.0198815j 0.0150989-0.00507361j -0.0135076-0.00836967j 0.00814699-0.020877j -0.0167697-0.0256163j 0.0123286+0.0185081j -0.0118566-0.0156577j 0.0151022-0.00959761j 0.001887+0.0158379j -0.00271924-0.00267182j -0.0105188+0.0328885j -0.00464769+0.0215611j -0.0108446+0.00684327j 0.0171316-0.0168718j -0.0206392+0.0251977j 0.021437+0.0199427j -0.00273639-0.0160039j -0.000255475+0.0279896j -0.0398355-0.031066j 0.00271499-0.00262996j 0.00799016+0.0281734j -0.0179549-0.0208018j -0.0420541+0.011632j -0.0467709+0.0389341j 0.00747869+0.0584673j 0.00263728-0.00658402j 0.00598481+0.0273593j 0.0260397-0.0350622j 0.042377-0.0185493j -0.00377587+0.0196548j 0.0171978+0.0252099j 0.0495226-0.0335087j -0.0328686-0.0290606j -0.0326501+0.0343074j -0.0326377-0.0399572j 
-0.0244609+0.0814809j 0.0817277+0.0261504j 0.0695592-0.00725451j 0.013802-0.0710331j -0.0126793-0.0968481j -0.104583+0.0257532j 0.00665994-0.0695451j -0.0116909-0.0656564j 0.0455483+0.00114426j 0.062555+0.0641764j 0.00389326+0.0297716j 0.0978139-0.0914139j 0.0076689-0.116101j 0.0678709+0.0296751j -0.0389336-0.0471458j -0.0606767+0.033868j -0.100651-0.0685059j -0.0626073+0.123259j 0.0683919+0.115149j -0.084929-0.0244359j -0.135991-0.15273j -0.0168001+0.0669044j 0.083259+0.0258623j 0.0989307-0.0941556j 0.0786479-0.00747821j 0.0495916-0.0105873j 0.170875-0.172037j -0.0441402-0.0436612j -0.0046625+0.0551771j 0.0285826+0.044969j -0.0340027+0.0610443j 0.0626722-0.0459605j 0.0594083+0.121589j -0.0682011+0.0970781j -0.0194645+0.05636j -0.0633258-0.0654131j 0.00501172+0.060774j 0.0204133+0.0936349j -0.0437991-0.0628176j -0.105939+0.000188707j 0.132743+0.0390934j 0.138951+1.6099e-05j -0.0125041-0.0636013j 0.0624916+0.0387108j -0.0304629+0.014056j 0.0549915-0.0302722j -0.0148174+0.000132555j -0.0329005-0.0133426j 0.0186798+0.0166929j 0.0317598+0.000196376j 0.0110401-0.0256889j -0.0124823-0.00254871j -0.0741827+0.0237387j -0.0290308-0.00441418j -0.035724+0.0364328j -0.0289116+0.0342673j 0.0065266+0.0223039j -0.0336098+0.00797544j -0.00919271+0.0288886j 0.0432324+0.031302j 0.0141978-0.0303134j -0.0186798+0.0443874j 0.0127668+0.0572692j 0.0428823-0.00732671j -0.0268846-0.0420467j 0.0165627+0.0385738j -0.0401912-0.0687981j -0.00876819+0.000380856j -0.0226945-0.0291386j 0.0529635-0.0291456j 0.00743506-0.0188105j -0.0808735+0.00846711j -0.00882879-0.033013j 0.0150198+0.020108j -0.032477+0.0490094j 0.00668553+0.0194553j 0.0120597+0.0193906j 0.0192782+0.0105553j 0.00432439-0.0309917j 0.00501789+0.0385259j -0.0292936-0.00936436j -0.0221162-0.0121383j 0.0183271+0.00706376j 0.00446459-0.0399648j -0.0616927+0.00614099j -0.0140107+0.0218757j -0.0469093+0.0311113j 0.0422691+0.0324237j 0.0351583+0.0162238j 0.056143-0.0916974j -0.0868732-0.0571154j 0.0108174-0.0430579j -0.0126788-0.0334649j 0.0445223+0.0493626j -0.0531832+0.0524462j 
0.00677403+0.0104593j 0.00542578-0.00754881j -0.0376107-0.043617j -0.0693467+0.0282343j 0.0508475-0.148871j -0.114653-0.064387j 0.00259354+0.00166853j 0.0319163-0.0264799j 0.0311321+0.0374095j 0.0505381+0.000592956j -0.0242596-0.00514319j -0.0305291+0.00310197j 0.0102205-0.0289245j 0.0405566+0.00075863j 0.0179653-0.0420053j -0.033257+0.0771502j -0.0069948+0.0372646j -0.0270176+0.105816j 0.0744813+0.11536j -0.0173689+0.0444921j -0.0394902-0.10505j 0.0305146+0.0250353j 0.0890869+0.0186761j 0.126965-0.125508j 0.00895925-0.0613392j 0.0256553+0.0343161j 0.0995659-0.0605646j 0.0334146-0.0424352j 0.0140968+0.0564781j 0.0868408+0.0404405j -0.128513+0.138764j -0.00541388-0.0642143j -0.0195675+0.0128262j 0.0390473+0.073256j -0.0361594-0.0066399j -0.0619849-0.0202708j -0.0254468+0.0211313j 0.0921525+0.0898015j 0.0451647+0.0290087j -0.126797-0.0834605j 0.0978148+0.0362082j 0.129028+0.0272501j -0.00313105+0.0241442j 0.0228152-0.00740818j 0.0945442+0.0274964j 0.0524122-0.0157452j -0.000420058+0.00884398j -0.0192287-0.0899468j 0.0127821-0.0257762j 0.0175526-0.00430147j -0.027504+0.0023336j -0.0262426-0.0138305j 0.0018687-0.00563859j 0.0195506-0.0136391j 0.0367668-0.0115615j -0.031402+0.0334351j 0.00749007+0.0123614j -0.0180022-0.0200234j -0.00328646+0.0205991j -0.0176508+0.00890131j -0.00554824+0.0404323j 0.00760839-0.0627783j 0.0135643+0.0264886j 0.0187774-0.0179468j 0.0140872-0.0151497j 0.0312343-0.0101418j 0.00792364+0.000415397j -0.0409485+0.0203889j 0.00266123+0.0752494j -0.0151346-0.0219779j -0.00167994-0.0311109j 0.0112633-0.0394919j -0.00674784-0.0242654j 0.00554001+0.0636551j -0.00678763+0.00459449j -0.0232355-0.0195488j 0.0568646-0.0329778j -0.0320991+0.00524095j 0.00242854+0.0227523j 0.0490569-0.0388969j 0.00624249+0.0215104j 0.0418044-0.0146513j 0.0344485-0.00202066j -0.0564056-0.00405699j 0.0651031+0.0641309j 0.0228603-0.0512351j -0.0286044+0.0236878j 0.00492454+0.00820632j -0.0338621+0.00571818j 0.0350233+0.0575059j 0.0612519-0.0460453j -0.105758+0.0237286j 0.0193907+0.0958325j -0.00466337-0.0276287j 0.0339706+0.00109699j 
0.0258955+0.00222034j 0.00505208-0.0293243j -0.026101+0.00212876j -0.00830966+0.0451927j 0.0368518-0.0562483j -0.0502611-0.0415914j -0.000984201+0.00383435j 0.0497843+0.00619247j 0.0139897+0.0143898j -0.0209524+0.0650185j 0.015944+0.0277512j 0.0475645-0.0139761j 0.000745566-0.0783279j 0.0577972-0.0282689j -0.0600123-0.0442435j -0.0356841+0.033495j -0.0311948-0.052617j -0.0642229+0.101069j 0.0810128+0.101674j -0.0442285-0.00994771j -0.0592313-0.106265j 0.0486778+0.0543679j 0.0479643+0.0140238j 0.0953871-0.141952j 0.0167817-0.0427358j 0.0256901+0.0374847j 0.0960619-0.0975758j 0.00228-0.0274079j -0.00375659+0.0201665j 0.0927841+0.0581907j -0.0876765+0.0927935j 0.00409086-0.0708716j -0.049949+0.0382j 0.0768391-0.00283081j -0.0425308-0.00293002j -0.0810734-0.044122j -0.0479702+0.0178384j 0.0513486+0.0940419j -0.037794-0.030606j -0.110414-0.08722j 0.0651821+0.0241805j 0.137246+0.0186828j 0.00765378+0.0558727j 0.0388572-0.0780494j 0.0615287+0.0400583j 0.0191409+0.00991786j 0.00292657-0.00533049j 0.0253611-0.0621415j 0.0628421-0.0301835j 0.0176506-0.0214696j -0.030749+0.0289077j 0.00739889-0.0337133j -0.0494767+0.0519571j 0.0346632-0.0103558j 0.00527076-0.00230098j 0.0182426-0.0113999j 0.0244044+0.0390938j 0.0161184-0.00563508j -0.0663048+0.0132681j -0.0048508+0.0364515j 0.00916568+0.0196933j -0.0201158+0.0111188j 0.000267595-0.0123939j 0.00432891-0.0317101j 0.0350052+0.0146981j 0.0145805-0.0263198j -0.0411966+0.00475399j 0.00943479+0.0369117j -0.0429331+0.00550416j 0.0120869-0.00891654j 0.0133334-0.0329651j -0.0247828-0.0060695j -0.0110282+0.0304168j -0.0364137-0.0236198j 0.0340404+0.0308063j -0.00849628-0.0238902j 0.00184248+0.0331663j -0.0323145-0.0199477j 0.00638782+0.00702924j 0.00163102+0.0336877j -0.0517813+0.0311883j -0.0553336-0.0184539j 0.00566351-0.00250913j -0.0105071+0.00210441j 0.0106593-0.0140492j -0.00763366+0.00799262j 0.0100084-0.0359122j -0.0518379-0.00576978j -0.00655571-0.0223659j -0.00498717-0.0109499j -0.0214415+0.00431666j 0.0253902+0.0549788j 0.0342087+0.00172984j 0.0327747-0.0350399j 0.0332089+0.0144959j 
-0.0371762-0.110057j -0.102976+0.0452174j -0.0046967-0.095492j -0.111666-0.029714j -0.00289062-0.00700383j 0.0117513+0.010713j -0.0229465-0.0208918j -0.0470027+0.037306j -0.00619044+0.0242533j -0.0510418-0.0103608j -0.0597687+0.142301j 0.0433462+0.0347508j 0.082419+0.0358771j -0.0972947-0.00267722j 0.0195059-0.0402776j -0.0758279-0.0198622j -0.0295848+0.169942j 0.0649413+0.0347481j 0.045408+0.03811j 0.0724147+0.11069j -0.0426902-0.12797j 0.0328486-0.0419958j 0.0748947+0.000556303j 0.0168159-0.0678529j -0.0189585-0.020375j -0.0208745+0.12292j 0.0621653+0.00658045j -0.0107862+0.00462373j -0.0204691+0.0794702j 0.00355565+0.0634489j -0.185023+0.0589505j 0.00972118+0.0446679j 0.0476748-0.0324689j 0.0506468-0.0640183j 0.0271251+0.0481919j -0.0295038+0.00442637j 0.00930711+0.040889j 0.0953892+0.0677185j 0.0141534-0.022233j -0.0316781-0.0244179j -0.053191-0.0240679j 0.0931804+0.00687287j 0.0799608-0.00207129j -0.0815258+0.00204379j 0.0693803+0.0138864j -0.0490204-0.127742j 0.0126305-0.00315165j 0.0236955-0.0754648j -0.152406-0.0164354j 0.0842451+0.037605j -0.0283822+0.0698098j -0.0139861+0.015468j -0.00139584-0.119581j 0.0610055-0.0225167j 0.103219+0.0024643j -0.0267739-0.0300872j -0.0381203-0.108871j 0.000329613+0.039458j 0.0936538-0.0417745j -0.0232996-0.0827143j -0.0129375+0.0185651j -0.0508336-0.0574355j -0.0209878-0.0201859j 0.128488-0.0285199j -0.0937421+0.0467803j 0.0266141-0.0908488j 0.0440621+0.00674455j 0.021695-0.0480069j 0.0254338-0.0137967j -0.0726871+0.0634073j -0.00790991+0.0210018j 0.0188533+0.00922624j 0.026533-0.0726215j 0.00375884-0.0175024j -0.0207196-0.0411875j 0.0196737+0.0119133j 0.0499061-0.0124969j 0.0281162+0.0717944j -0.0126933+0.0499393j -0.000297057-0.0641559j 0.108966+0.0390699j 0.0343918+0.0133397j -0.0112966+0.0679335j -0.00958224+0.00920707j -0.0344169+0.0643071j 0.0490507+0.0128077j 0.0773097-0.0070729j -0.0114717-0.0663975j -0.0140283-0.00589967j 0.0348798-0.0301369j -0.0225362-0.0423091j -0.054271-0.0591955j -0.0714371+0.040107j -0.079584-0.0342156j 0.0265114-0.079944j 
0.0237455-0.00722493j -0.00663753-0.0230153j -0.0883177-0.0353074j -0.0359979+0.116533j -0.0532659-0.0291048j -0.0181484+0.0249856j 0.0136671+0.0211049j 0.0982749+0.10627j -0.133373+0.02761j -0.0752258+0.102925j 0.0493861-0.0398312j -0.0238789+0.0212021j -0.0605852+0.0297965j 0.0145883-0.0944871j 0.00301613+0.0841278j 0.0164395-0.0861624j -0.0487685-0.133705j -0.149012+0.0239207j 0.0209972+0.00295198j 0.0258549-0.0929013j 0.0166115+0.0415131j 0.0782328+0.0193797j -0.0945833+0.030387j 0.0162948-0.0643774j -0.0186062-0.0458965j 0.010411+0.00803311j -0.0718243+0.0252464j 0.0704847-0.00789846j -0.0802357-0.068009j 0.0864892+0.0755497j -0.0679782+0.115697j -0.127193-0.117549j -0.189137-0.0838645j 0.113303-0.0715397j 0.0145341-0.0845873j -0.00864903-0.00647097j -0.0510515-0.0944262j 0.0540888-0.0564454j -0.1172-0.00202945j -0.0478676-0.0522888j -0.0638432+0.066607j 0.0163761+0.0263842j -0.0113917+0.155192j 0.0601142-0.202786j -0.0267928+0.0348302j -0.101209+0.128299j -0.00087932+0.00752663j -0.00154887+0.0296668j 0.174155-0.104607j -0.0477317+0.0439782j -0.08046-0.0549337j 0.043235+0.018313j 0.0285005+0.0762702j 0.0951608-0.0457282j 0.0438261-0.00121685j 0.0962176-0.0452451j 0.0377413+0.0317224j -0.0319842-0.0454667j -0.125198-0.0451305j 0.036741+0.0237019j 0.0280681-0.0277179j -0.0151206+0.00204651j -0.0584558-0.0862963j -0.0355475-0.0380256j 0.136369+0.0947497j -0.0356944-0.137573j -0.000740376+0.0896532j -0.0479237+0.0725588j 0.0368372-0.0197399j -0.10737-0.0597216j 0.0422466-0.00831193j -0.0331517-0.049488j -0.000303534+0.0427249j -0.0702002+0.00849898j 0.0241806-0.00956774j 0.00325484+0.00175737j 0.0244449-0.0541705j -0.0517221+0.0605121j -0.0159961-0.035542j -0.0316146+0.0696584j 0.0563825+0.0356774j 0.0387479+4.88441e-05j 0.00719356+0.102719j -0.00224406-0.0414935j 0.00173293-0.027202j -0.0631696-0.0453682j -0.0606773-0.00980594j -0.0275595+0.0084568j 0.10384-0.00418412j -0.0110854-0.0275957j -0.0271099-0.00268448j -0.0220731+0.0557984j 0.0300343+0.0134306j -0.0244052-0.0132036j 0.014347-0.0186463j 
