-0.0354561+0.00850261j -0.00627256-0.0286563j 0.0310922-0.0417486j -0.0406526-0.0367657j 0.00172535+0.0296861j 0.033576-0.0102277j 0.0100756-0.077676j 0.0481999+0.0137318j 0.00497434-0.000709417j 0.00761952+0.00238387j -0.0188232+0.00303535j -0.00357475-0.0156317j 0.0111587+0.0182519j 0.00947578-0.0151202j 0.0118181+0.0127131j 0.0066684+0.0174361j -0.0056236+0.0149432j 0.0130485-0.00467443j -0.0204728-0.0192901j -0.012043-0.012146j -0.0265093-0.00571713j 0.00713005+0.00488586j -0.00844869-0.00157098j -0.0042197-0.00560911j -0.0194544-0.000160507j 0.00920438-0.00694605j 0.0118807-0.001605j -0.0403591-0.0180876j -0.00949095+0.00731231j -0.00952063-0.000948699j 0.000823086+0.00298862j 0.00326974-0.00692406j -0.000482914-0.00131338j -0.00921609+0.000921408j -0.00716033-0.000536577j -0.00921782-0.00845248j 0.00515251-0.0111635j 0.0422289+0.000376556j 0.0334113-0.00720243j -0.000648443-0.00456406j 0.00847047+0.0126333j -0.0178539-0.0058742j 0.00497135+0.0039035j -0.00960243+0.0178423j -0.00915552-0.0101213j 0.0153273+0.0286708j -0.00943324-0.0141372j 0.00121073+0.0130521j 0.00660341-0.0186121j -0.00131974-0.0279989j -0.00240693+0.0168489j -0.00287784-0.00848139j -0.00276134-0.011705j 0.00373991+0.00326574j -0.00293051-0.00196298j -0.0181973-0.00763552j 0.00676346-0.0032376j -0.024344-0.0205888j 0.00858882+0.00371722j -0.0201516+0.0125393j -0.00522949-0.00698312j 0.00590501-0.0143767j 0.0205631+0.0179396j -0.00430612-0.025346j 0.0732825-0.022865j 0.0301468-0.0354977j -0.0476506-0.0305684j -0.0466265+0.00515655j 0.0105874+0.0410547j 
-0.0093972+0.0291683j -0.0364875-0.0020592j 0.0148523-0.0233495j -0.015028-0.0139546j -0.0524512-0.0110569j -0.00371365-0.0274328j 0.00522852+0.00406394j -0.00429854+0.0100223j -0.0103966+0.0213637j 0.000192603-0.0144423j 0.00904336+0.00871038j -0.0129413-0.0223114j -0.0256358+0.0299012j -0.00438896-0.0084463j -0.00115384-0.00928022j 0.0103999-0.0171226j 0.0159194-0.00493982j -0.0144881-0.0095856j 0.0016308+0.00499383j 0.00126134-0.0134948j 0.0108332-0.0251257j -0.0137903+0.0159681j 0.00808226+0.0100238j 0.0113064+0.00683841j -0.00260156+0.0085832j -0.0138295+0.00456348j -0.0106079-0.00344809j -0.00302142+0.0076147j -0.00693491-0.00519636j -0.00320191-0.00028412j -0.000180239+0.00960939j 0.000558087-0.0116768j -0.0101155+0.0286908j 0.00244244+0.0064189j -0.00258566+0.0215252j -0.0157708-0.0154494j -0.0212832+0.00111682j -0.0273552+0.00334967j 0.0113118-0.0155513j -0.0109725-0.0102389j -0.00626496+0.00371468j -0.0139519+0.010438j -0.00856077+0.0142664j 0.022616-0.00253779j 0.00413734-0.00609208j -0.000692002+0.0158363j -0.000452271-0.0165776j 0.0058403-0.0115096j -0.002394-0.0110808j -0.0291022+0.0144229j -0.0101595-0.0097465j 0.029147-0.0190632j 0.0212861-0.0255017j 0.00646624+0.00530392j -0.0103332+0.0192933j 0.0105371+0.00864084j -0.0122324-0.0136508j -0.0032608-0.00693111j 0.025456+0.017108j 0.00859823-0.0044173j 0.0061329+0.0145977j 0.0203871-0.00599233j -0.00623367+0.0520731j -0.0201943+0.0134605j -0.0107055+0.0512174j 0.0250005-0.00965587j -0.0130678-0.0412612j -0.00389679+0.0384188j 0.0366745+0.00616895j 
0.00249065+0.031544j -0.0435344+0.0125814j 0.0349563-0.0158121j -0.0139988-0.0384709j -0.0496072-0.0263423j -0.00472801-0.0204103j 0.0186886+0.00696929j 0.0068514+0.00474831j 0.00689123+0.0142414j 0.00506492+0.00829117j 0.00176431+0.0209134j -0.0148027+0.000999704j -0.0127565+0.00520989j 0.0337536+0.00572327j 0.0120361+0.00984336j 0.0176642-0.00433306j -0.00905158+0.00892685j -0.0104809-0.00458625j 4.48059e-05+0.00575419j -0.00185284-0.00322946j 0.00923036-0.00276141j -0.00706557+0.0014559j 0.0029068+0.00319994j 0.00571647+0.0117852j -0.0036073+0.0184769j -0.0156269-0.00432101j -0.0055242-0.00416711j 0.0105622+0.0223454j 0.00434642+0.0263253j 0.0179765+0.00440355j 0.00597528+0.00949853j -0.00871617-0.0117798j -0.00256948+0.0216535j 0.0094509+0.0109485j 0.00441662+0.0265887j -0.0132234-0.00375618j -0.0217441+0.00792371j -0.039618-0.00198447j 0.00683917-0.0149956j -0.0218572-0.0143952j 0.0205885+0.0193232j -0.00578681-0.00164919j -0.00946536-0.0140682j 0.0203789+0.000162196j -0.00416815+0.0141369j -0.0131164+0.00255194j -0.00304336+0.00895232j 0.0125439-0.00973862j 0.012979+0.012114j -0.0372415+0.0212835j -0.0113105+0.00998936j 0.0099749-0.00996083j 0.0206032-0.00256398j -0.00644062+0.012363j 0.019011+0.0284138j 0.0117269+0.0142686j -0.0162524+0.0196536j 0.0315596+0.00887009j 0.00654123-0.00198643j 0.0264959+0.00518766j -0.0306974+0.00435102j 0.04663+0.0189856j -0.01507+0.0521823j -0.0334007+0.0233581j -0.0145672+0.0260113j 0.0545179-0.0295317j -0.0392911-0.0448175j 0.00576994+0.0235362j 0.024127-0.00744019j 
-0.048901+0.0117152j -0.00970366-0.0394459j 0.0338669-0.0458003j -0.0442817-0.0370296j -0.0197674+0.0361767j 0.0253784-0.0101844j 0.0236816-0.0751531j 0.0315257+0.0170588j 0.00379926+0.00115912j 0.0112821-0.00743723j -0.0146847-0.0198236j 0.0166652-0.0437843j 0.00416089+0.0666881j -0.0124394-0.0193373j -0.00324145-0.00596944j 0.017265+0.012251j 0.022486+0.0129606j 0.0376267-0.00303477j -0.0246282-0.027561j -0.0168424-0.00894388j -0.0400239+0.0052747j -0.00367421+0.0177104j -0.0132145-0.000389532j 0.00335836+0.0131627j -0.0250084-0.0187411j 0.0121098-0.00667808j 0.0242356-0.008694j -0.0443474-0.020146j -0.0245852-0.00913854j -0.018636-0.00788718j -0.0114677+0.00138733j 0.00113711-0.012472j -0.00319724+0.00741606j 0.0158781+0.000601969j -0.00434185-0.00175057j -0.0110004-0.0219634j 0.00347604-0.0175472j 0.0290782-0.00555563j 0.0520891-0.0250303j 0.00153168+0.000868569j -0.00432147+0.00139137j -0.0348788-0.00803424j -0.00241634+0.0337591j 0.00711563+0.0223485j 0.00102615-0.0295808j 0.0175356+0.0477614j 0.000972031-0.0191485j -0.000922669+0.0223359j 0.00498696-0.0146352j -0.010341-0.0247295j -0.0212622-0.00393307j 0.00589372-0.00309456j 0.00734818-0.0153977j -0.00678079-0.00312436j -0.0161233+0.0309742j -0.0257842-0.00836002j -0.0223223-0.0224197j -0.0424296-0.0320253j 0.0205794+0.00377985j -0.0146409-0.0111224j 0.0233734+0.00494844j 0.0111237-0.025111j 0.034202+0.00512098j 0.0110392-0.0343127j 0.0664122-0.0315824j 0.0332161-0.0436515j -0.0361651-0.00979658j -0.049535+0.0267606j 0.0256761+0.0404793j 
-0.00653902+0.0175391j -0.0249062-0.00685846j -0.0236546+0.0110106j 0.0200241+0.0265115j -0.0470686-0.027833j -0.0206147-0.0296757j -0.00273548+0.046792j -0.0386204+0.012211j -0.0258109-0.00245865j 0.0158665-0.0322656j 0.00781985+0.0121537j -0.00625588-0.03035j -0.036952+0.0473618j -0.0449748-0.0226789j 0.00839095-0.00847438j -0.00240757-0.036099j 0.0394933-0.013008j -0.00834202-0.0198111j -0.00405444+0.0033302j 0.0149099-0.0159374j 0.0293273-0.0372049j -0.0281646+0.0155609j 0.0367388-0.00310444j 0.0100761+0.0104529j 0.0139368+0.0154689j -0.00879474+0.0125157j -0.0272436-0.0130892j 0.0106924+0.0059874j 0.000298935-0.0169028j -0.00970942+0.00590341j 0.0105767+0.00870481j -0.000402644+0.0011399j -0.0220793+0.0461802j 0.0199727-0.00661775j -0.0178376+0.0258934j -0.0334257-0.0134073j -0.0336414-0.0125505j -0.0395141-0.00249507j -0.00155407+0.00392244j -0.0169536-0.021957j 0.0127712-0.0215651j -0.0142085+0.0280349j 0.00254253+0.0303328j 0.031954-0.00678761j 0.012986-0.00307197j 0.00954984+0.007254j 0.0112929-0.0142649j 0.0227683-0.02186j -0.0278874+0.000480723j -0.00897471+0.047664j 0.00455962-0.0329431j 0.0149317+0.0157948j 0.0162319-0.0369907j 0.00321723+0.010115j -0.0110152+0.0224286j 0.0176214+0.0318251j -0.0217653-0.0161083j -0.0300596-0.0272047j 0.0141053+0.0217623j 0.00146066-0.0273575j 0.0372986+0.0297498j -0.00904949+0.00734191j 0.0130509+0.0243189j 0.0123262+0.0172118j 0.00432081+0.0699165j -0.000579042+0.0556058j 0.0205194-0.00499378j 0.016371+0.0343689j 0.0353515-0.0139468j 
0.00326191-0.0391291j 0.0477089-0.0017127j 0.0075976+0.00450757j -0.0180114-0.0118476j 0.0669337+0.023462j 0.0207703+0.0409974j 0.00468777-0.0474129j 0.0226757-0.0150975j 0.0181181-0.00435058j -0.00969883+0.0263637j -0.0178863-0.0344563j 0.0308017+0.00291682j 0.033863-0.0158491j 0.0168622+0.0118277j -0.0172366-0.00480842j 0.00116192+0.0360404j -0.0197371+0.0138861j 0.0224226+0.0253247j 0.000554308-0.00852225j -0.0170327+0.0145879j -0.0386247+0.0491378j 0.0185964-0.0153102j -0.0411324+0.000717905j -0.000462542+0.00281019j -0.0153744-0.0259197j 0.0184428-0.0120714j 0.0324195+0.00904929j -0.0214152-0.0199895j -0.0108279+0.00536879j -0.0143014-0.00946266j -0.0185971-0.0101831j -0.000265662+0.00448994j 0.0234615-0.0579261j -0.00855164-0.00361352j 0.0251316-0.0409539j 0.017088+0.0144913j 0.0489616+0.00359175j 0.0632272-0.00607514j 0.0116068-0.00294811j 0.0182755+0.0342594j -0.0197286+0.0112742j 0.0097429-0.0166626j 0.00148023-0.0178379j -0.0310616+0.0105887j 0.00350866-0.0170211j -0.0071132-0.00980188j 0.0173987+0.0106473j -0.0198779+0.0344325j 0.0193118+0.0119825j 0.037896-0.0477375j -0.0176827+0.0164114j -0.0146685+0.00177852j -0.0232884+0.0383724j -0.0180501-0.0132432j 0.00590608-0.0232109j -0.0192082-0.0222733j 0.0211509+0.000152311j 0.00615309+0.026664j -0.0123572-0.0368244j -0.0191381+0.000734175j -0.0128244-0.0307829j -0.0114939-0.00302381j 0.0123747-0.0562194j -0.000182238-0.019994j 0.0212621-0.0646541j -0.0260927-0.0118307j -0.0326381+0.0441446j -0.0293572-0.0437885j -0.0429008+0.011103j 
-0.0145668-0.0614505j 0.0813422-0.0291958j -0.0782606-0.00530747j -0.0111644+0.0892154j 0.0718371+0.0740408j -0.0146384+0.0178175j -0.0485418-0.0102853j -0.00196845-0.0106674j -0.0499616+0.0327259j -0.0543127-0.0368446j 0.0199236-0.0574798j 0.0549487-0.0220334j 0.0113707-0.0317145j -0.0677335-0.00671409j -0.0395671-0.0585075j -0.0305961-0.00394926j 0.0383894-0.0282333j -0.0192524-0.0215115j 0.0242734+0.0151984j 0.0232014-0.00581154j -0.0163875+0.00198331j 0.0209196+0.00885231j 0.00637396+0.0188721j 0.0143505-0.02496j 0.00230359-0.052587j 0.00926993+0.024678j 0.045359+0.0141864j -0.0201698-0.0583806j 0.0184806-0.0993245j -0.0388419-0.0332169j -0.0382558-0.0393212j 0.0413328-0.0169959j 0.00720112-0.113298j -0.0577287-0.0262383j -0.039064-0.0492611j 0.0607221-0.0130216j 0.0422938+0.0406106j 0.0838471+0.00429394j -0.0634211+0.0217798j 0.0399773+0.00477506j -0.110647-0.0525065j 0.019319+0.0339401j 0.00112324+0.0547429j 0.0106791+0.0249986j 0.00413482-0.0422334j 0.042193-0.0197151j 0.0543067-0.0658358j -0.00268421+0.0139047j 0.00175671-0.0329664j 0.0353837-0.0394846j 0.00834367+0.00711377j -0.0176115-0.0263532j -0.045958-0.0133944j -0.0150232-0.0717231j -0.086261-0.0609622j -0.0067873-0.00461274j 0.0610361-0.0576284j -0.0663367+0.0217167j -0.0112383+0.0402326j -0.0304793-0.0132833j 0.0213238-0.0203825j -0.0491544-0.048183j 0.0224029-0.102856j 0.0583895-0.0474589j 0.0547501+0.0267318j -0.0884849+0.0904012j 0.0589713+0.0595228j -0.0266475-0.0305007j -0.0261653+0.0208752j 
-0.0781705+0.00553228j -0.00296569-0.0637158j 0.0605495-0.0874482j -0.088992-0.0795169j -0.0113963+0.0876608j -0.0638449-0.0233412j 0.016974-0.0411806j 0.0632838-0.00776852j -0.0121317+0.00625079j 0.0144325-0.0289801j -0.0249546-0.0133674j 0.042582-0.095295j 0.00946419+0.0811212j -0.0296679-0.0149105j -0.0149353+0.00960439j 0.0674863+0.00811051j 0.0478849+0.0259717j 0.0585277+0.0140724j -0.0356173-0.0266412j -0.0192053-0.00504707j -0.0686708+0.050722j -0.0318596+0.0261418j 0.00798201-0.00914669j 0.0196176+0.00713038j -0.0278361-0.0461179j -0.00114272-0.0185472j 0.0530277-0.0109159j -0.0613887-0.044049j -0.0444283-0.0249411j -0.0373222-0.0270414j -0.0255322-0.01743j 0.021457-0.0375758j -0.00932792-0.0154301j 0.0174869+0.00752105j -0.0191421-0.00330478j -0.00277589-0.021829j 0.0306838-0.0198629j 0.024144-0.0205816j 0.0636606-0.06964j 0.00413094-0.00702855j -0.0189559-0.0117422j -0.0303075-0.0351489j 0.0138779+0.0500252j 0.0107095+0.0363716j 0.00234863-0.0578709j 0.0560074+0.0444094j 0.0191574-0.0647459j -0.00301104+0.0190403j 0.0291247+0.00245978j -0.00925672-0.0105698j -0.00524711+0.013556j -0.00502663+0.00572019j 0.033119+0.0140113j -0.00628633-0.00134965j -0.0316965+0.0411427j -0.0289959-0.0114942j -0.0437746-0.0495041j -0.0590455-0.0222596j 0.0615128+0.00592143j 0.0051804+0.0255494j 0.0249269+0.0206768j 0.0289787-0.0064485j 0.0222979-0.0622939j 0.113599-0.0379861j 0.0589084+0.0363376j 0.0296961-0.076273j -0.0591979-0.0662668j -0.0667075+0.0371371j 0.0532373+0.0675654j 
0.0281809-0.0289731j 0.0295326+0.0279582j 0.0389107-0.0296342j -0.064984-0.0292695j 0.0518048-0.0342827j 0.0783336+0.0687561j 0.016185-0.0726656j -0.000329333-0.0203822j 0.0232841+0.0964284j -0.133246+0.0387807j 0.0476037-0.130638j 0.131693+0.00960514j 0.0317637-0.0355117j 0.0476925+0.0151585j -0.114243-0.161671j 0.031208+0.0465329j 0.0639047-0.00821058j -0.01208+0.0248029j 0.0549913-0.014105j -0.00963085+0.01281j -0.142349+0.135688j 0.0604984+0.0162655j -0.134347+0.0671392j 0.0694121+0.0463453j -0.0377715-0.0981139j -0.0338814-0.0403248j 0.110345-0.0297892j -0.00625094-0.0205758j 0.0165685-0.0632724j -0.0162713-0.108948j -0.0982805-0.0679439j -0.0178897-0.0868506j 0.0340259-0.225576j -0.0111278-0.0314771j 0.0958733-0.0484365j 0.119955+0.000443223j 0.0725948+0.124323j 0.084556-0.0496953j -0.0355541-0.0451909j -0.00626369+0.123155j -0.128605+0.00571972j -0.00497613+0.00521496j -0.0806651-0.0117747j 0.070549-0.0255444j -0.0617915-0.0975207j -0.01892+0.0596117j 0.0667833-0.03783j -0.021915+0.0510038j 0.12898+0.0539079j -0.0515693-0.135176j -0.109463+0.0293989j 0.0608775-0.101085j -0.0613811-0.0143799j -0.0695973-0.0794739j -0.0563823+0.0452796j 0.00214329-0.0228303j -0.00210986-0.0397263j 0.059596+0.105566j 0.0382026-0.0717298j 0.0181434-0.0173934j -0.00236364-0.0866539j -0.0141819-0.00150759j -0.0108421+0.0886287j -0.0739734-0.0020686j -0.0346392-0.0756929j -0.0649646-0.0527307j -0.0546366+0.0480347j -0.017113-0.0333762j -0.0283987+0.019858j 
0.0557046+0.000710661j -0.00424147+0.0525399j -0.0330626+0.0137514j 0.0266202+0.0488432j -0.00649648-0.0255256j -0.0622831-0.00570208j -0.0501322+0.10319j -0.0170257-0.0218875j -0.0494677+0.0526939j -0.0504552-0.0325434j 0.0146613+0.0448757j -0.0716877+0.0121105j -0.0161621-0.149204j 0.0283688+0.0332995j -0.0163508-0.00469493j -0.0332204-0.0271359j -0.0524049-0.0417287j -0.12356-0.0136062j 0.0658072+0.0801735j 0.0639645+0.00451105j 0.0884683-0.0657293j -0.0177388-0.00630131j 0.0389041+0.0456885j 0.0143738-0.034597j 0.0333861+0.0246157j -0.0208469+0.0185886j -0.0235253+0.045211j 0.053647+0.00276458j 0.020692-0.0236878j 0.0233851-0.00958457j 0.0165823+1.83235e-05j 0.0319963-0.00247628j 0.0200703-0.0331342j -0.0891647-0.00858533j -0.0272305+0.0223874j 0.00751882+0.00828777j -0.0123398+0.049121j -0.0146263+0.0444741j -0.107289+0.0133696j 0.00139093-0.0618829j -0.0631562+0.0242382j 0.0277918+0.0376893j 0.000842401-0.0316927j -0.00564195-0.00113362j -0.000315983+0.0357825j 0.0127637-0.0675229j 0.0047482+0.00486686j 0.0168576-0.0470491j -0.0237366-0.0274882j -0.0490617+0.0406321j 0.0228975+0.0146834j -0.00723318-0.0409789j 0.0184179-0.000356073j 0.0499061-0.0226863j -0.0339322-0.0791954j 0.0588465+0.0414002j 0.0684868-0.0185431j 0.0412825+0.0528783j 0.01241+0.0381291j 0.028365+0.055325j -0.0524025+0.0126563j 0.0490777+0.0232921j -0.0292265+0.0246024j 0.0207723+0.0321981j -0.0745176+0.0909538j 0.0110104+0.0394756j 0.0413139+0.0145469j 0.0491113-0.0054146j -0.00383914-0.047955j 
0.0186236-0.0257698j 0.0427209+0.011358j 0.00756728+0.0631155j 0.0485239+0.00210446j 0.0779833+0.0067143j 0.129251+0.0548613j 0.0259849-0.13563j 0.0443767+0.0251282j 0.0801546-0.0954003j 0.0770959+0.0794909j -0.0548058+0.0374099j -0.0677534+0.0952726j 0.0452514-0.00974986j 0.0363916-0.00327995j 0.0764557+0.108731j -0.0708334+0.0475267j -0.126803+0.0383173j 0.0616418+0.0307936j -0.0503509-0.0316199j -0.0446356+0.00934227j 0.0332529-0.0424975j 0.0532116-0.0415887j -0.0194456-0.0554989j -0.0896623-0.0247425j -0.011072+0.0570328j 0.0720707+0.0071094j -0.0621057+0.0310039j -0.0237839+0.0232677j -0.00677054+0.119027j 0.0172846+0.0916234j 0.0686571+0.0566819j -0.0324429+0.0950387j 0.0191731+0.0994112j 0.0135347+0.0224469j 0.0269719-0.0212391j -0.0410256+0.0401614j 0.0176234-0.103495j 0.0498435+0.0333385j 0.0790426+0.10209j 0.0372808+0.00715528j 0.118991+0.0429164j 0.00641777-0.0471143j 0.0358546-0.0714504j -0.125127-0.00396172j 0.00888855+0.0671469j -0.052475-0.0311894j -0.0949676+0.102391j -0.0203191+0.0484809j -0.060255-0.0213989j 0.0837554-0.0309176j 0.0439204+0.020197j -0.0213808+0.0734685j 0.0053795+0.0613667j 0.0117421+0.0639826j 0.115909-0.0828875j -0.0317189-0.0237719j 0.0667717+0.0743256j 0.0113743-0.0368403j -0.0953233-0.0351656j -0.0465991-0.0156065j 0.00814972-0.0484392j -0.0606065-0.0139551j 0.0362888-0.0143841j -0.0743357-0.0162979j 0.03243-0.205006j -0.0206058+0.00951288j -0.0379952+0.0281091j -0.0222473-0.09144j -0.0750034+0.010501j 
