-0.020009+0.00460182j -0.000311631+0.0167342j 0.0191329-0.0102316j -0.013764-0.0267461j 0.017352+0.0172964j -0.0200766+0.0078114j 0.00379112+0.0449824j 0.039991+0.0282913j -0.0174357+0.0115076j -0.0291973-0.00178385j -0.00292395+0.00290528j 0.0315768-0.0376083j -0.0247532-0.0103353j -0.013671+0.00645365j 0.0124744-0.0114819j -0.00632112-0.0267787j -0.00626036-0.0110835j 0.00688177-0.0160609j -0.0294698-0.000328014j -0.0234145+0.00255896j 0.0156712-0.0143783j -0.0400172-0.0232822j -0.00922077-0.00536981j -0.00910787+0.00374316j 0.0150175+0.000406089j 0.0139293+0.0122138j -0.0223277+0.00796418j 0.00300177+0.0112291j 0.0200879-0.00252724j 0.00924079+0.0016667j 0.00110628-0.0285238j 0.00267012-0.0161031j 0.0184621+0.00888359j -0.00910778+0.00823429j 0.00371705+0.0190195j -0.00530479+0.00445394j -0.00992083+0.00181356j 0.0182366+0.00213153j -0.00711672-0.0103221j 0.0123583+0.00670857j -0.00852584-0.0143479j 0.0227188+0.017523j 0.00326259+0.000105252j -0.0261192+0.0169218j 0.0094053+0.00789732j 0.021674+0.0198919j 0.00792272+0.0138681j 0.0691052-0.00142979j 0.00812482-0.0203456j 0.0231199+0.017421j -0.0270843-0.0117264j -0.00382128+0.0216664j 
0.00652426-0.018287j -0.0213284+0.000677548j -0.0101792+0.0194429j 0.0116048+0.0176944j 0.0356059-0.0126578j 0.00199419-0.0226368j 0.000800673-0.0193814j -0.000723579-0.00845502j -0.0101504-0.00744298j 0.0185347+0.0110569j -0.000817044-0.0421558j 0.0105596-0.030655j -0.00668747+0.00388162j -0.00779816-0.0121936j 0.00649778-0.00554652j 0.0105236-2.34621e-05j 0.00878632-0.0232822j 0.0213946-0.0159955j 0.0175901+0.00392346j 0.00168659+0.0108388j -0.00275994+0.0308451j 0.0132617-0.00939089j -0.0275359+0.0040405j -0.00608542-0.00859662j 0.0258388+0.0115129j -0.0252842+0.0019928j -0.00661003+0.0134664j 0.0049128+0.00570083j 0.0134818+0.017572j 0.00695299-0.0016837j 0.0301702-0.0154375j 0.00393459+0.0167864j 0.0138841+0.0017329j -0.0200431+0.0186802j -0.0239076-0.00530668j -0.00347557-0.0223065j 0.0164798-0.0192544j -0.00186859-0.00652266j -0.0157346-0.00922301j 0.0149435-0.0160627j -0.0172958-0.0015594j -0.00782331-0.0261546j -0.0137387+0.0125954j 0.00189062+0.008564j 0.0150657-0.0291677j 0.00573534-0.0428006j -0.0124913-0.0140611j 0.00697628-0.0490385j -0.00719284+0.0195624j -0.00956004-0.0150774j 0.0105183-0.0203007j -0.0219453-0.011722j 
-0.00499487+0.0346648j 0.0439254-0.01755j 0.0536498-0.0243492j -0.0122234-0.0640003j -0.0749877+0.0219096j 0.0186131+0.02557j -0.0462097+0.0386763j 0.0244501+0.0434694j 0.0389843+0.0441856j -0.0218332+0.0134426j -0.0224911+0.0351106j 0.0100441+0.00887831j -0.00285633-0.0116964j 0.00969932-0.0121471j -0.0214889-0.0216579j -0.00669906-0.00637249j 0.0105966+0.0225749j -0.00207063+0.0425006j 0.0200336+0.0281389j 0.0176207+0.00637281j -0.00724099+0.0363366j -0.0238749+0.0239359j -0.0305424+0.0126095j 0.021205+0.0129632j 0.026816+0.0250689j -0.00401786-0.0605678j 0.00868281+0.00712959j 0.00838561-0.00851233j 0.00617723+0.000692163j -0.0130987-0.00418081j -0.0589248+0.0459273j -0.0202442+0.0101642j -0.0464611-0.00652937j 0.0507786+0.0214515j -0.0241907-0.0311168j 0.0361905+0.000289247j 0.00724347+0.0314732j -0.0217716-0.0284081j -0.0330977+0.0302153j -0.0360754-0.00200339j 0.0692478+0.0421931j 0.00229397+0.0299285j 0.0679522-0.00179416j 0.041846+0.00437205j -0.0712477+0.0469468j -0.00879429+0.0540158j 0.00359404+0.0143484j -0.0048969+0.0295985j 0.0432597-0.0743845j 0.0696713+0.035953j -0.00103848+0.0119338j 0.0252735+0.00212976j 
-0.0511016+0.0300133j 0.0353928+0.0414299j -0.00657152-0.042863j -0.0343334-0.018701j -0.041614+0.0301224j -0.0459825+0.0599275j 0.0245185+0.0989179j 0.0165295+0.0121341j -0.0227285+0.00191823j -0.0755881-0.0722047j 0.0271466+0.133728j -0.0285146+0.0910492j 0.000652562-0.0240737j -0.00805543+0.0693154j 0.0017943+0.0402802j -0.0410829-0.0149173j -0.0499841+0.0711846j -0.094877+0.00302357j -0.0933621-0.0418652j -0.0156527-0.0366208j 0.020936-0.117265j -0.0811259-0.0127529j 0.0987049+0.00385807j -0.0233475+0.041785j -0.0967208-0.0946937j 0.119786+0.0282403j 0.00715574-0.0283874j 0.0194939-0.0298242j -0.0594248-0.067322j -0.0277667-0.0113944j -0.0503453-0.00669297j 0.00990268-0.054605j 0.0132434+0.000463433j 0.0458066-0.0675587j 0.130665+0.0468204j -0.0318774+0.118029j -0.0502098+0.041357j 0.0336674+0.0819462j 0.0394656+0.0438231j 0.0144996+0.0574377j -0.00844315-0.0815032j 0.0294155+0.0809717j -0.00129426-0.0492785j -0.0523929-0.0515479j 0.0278802+0.0350093j 0.025448+0.119756j 0.0328792+0.0482261j 0.0882237+0.107863j 0.0175845+0.00242728j -0.00719781+0.0268974j -0.0545346+0.0523349j 0.0607357+0.0589512j 
0.0558726+0.00811265j 0.0336377-0.0402985j -0.0869523+0.00602585j 0.0310058+0.0947611j -0.0756457-0.0652938j 0.0589488+0.0199779j 0.000303791-0.145333j -0.130598-0.110912j 0.0704075-0.0560746j 0.0869698-0.00882925j 0.0200149+0.0536394j -0.156738+0.174443j 0.100084+0.00109292j 0.0641185+0.0103141j -0.0650415+0.0689278j -0.024582+0.110557j 0.0083597+0.0863936j -0.0567803+0.0475625j 0.095539-0.00807684j 0.0840981-0.0165868j -0.0762858+0.00156181j 0.128048+0.0952799j 0.0743089+0.0454411j 0.0312185+0.0356701j -0.099746-0.0351785j -0.0391985-0.0853569j 0.0773743-0.0270137j 0.00217889-0.0690472j -0.0926783-0.0104505j -0.0376169+0.0204191j -0.0234157+0.132417j 0.0162994+0.0350016j -0.0535202-0.0456507j 0.041495-0.0425656j 0.037658-0.0925882j 0.0198067+0.0345287j 0.0352553+0.0191827j -0.0420658+0.0293707j 0.0305586+0.0483074j -0.0429589+0.00669515j 0.0186152+0.0137671j -0.0759549-0.0215983j 0.0157825-0.0254496j 0.0803159-0.0698878j -0.0176186-0.014547j -0.113201+0.0228149j 0.0145198-0.0384389j -0.210363+0.108879j -0.0306604+0.0884388j -0.0819744-0.0248218j 0.0922856+0.0758481j 0.0419791-0.0579089j 
0.0185308-0.0304824j -0.0486148+0.00750698j -0.0833606+0.0590163j 0.0559634+0.101623j 0.10032+0.000622546j -0.0469742-0.0462305j 0.0129286-0.0153193j -0.0120534+0.00954306j -0.00672718-0.0343287j 0.0409386+0.0198757j 0.0242645-0.117209j 0.0266376-0.0423706j 0.0175245-0.0359152j -0.0329296-0.010884j -0.0263707+0.0643704j 0.0284467+0.0144182j 0.0577511-0.000705752j 0.0271508-0.0421278j 0.10022+0.0384243j 0.023641+0.0501044j -0.0846943+0.113005j 0.0126963-0.0512148j -0.110035+0.0128538j -0.0286357+0.0241347j 0.112475+0.0373639j -0.111352-0.0330662j -0.0492681+0.0396103j 0.0601194-0.0293403j 0.0516+0.00655597j 0.0719897-0.0398091j 0.0553784-0.0190802j 0.0601714+0.00242152j 0.00965572+0.0193367j -0.071506+0.0698902j -0.0657235-0.0692315j 0.0376295-0.0132384j 0.0132364-0.0820028j 0.0268108+0.0564394j -0.0731612+0.0416973j 0.0605057-0.0107584j -0.0329364-0.0538322j -0.0498688-0.022051j -0.010242-0.0240916j 0.0423559-0.0333396j 0.0518888-0.0572091j -0.0595538-0.115347j 0.0405514-0.0115326j -0.0334338-0.162912j -0.000634391+0.0679184j -0.0661103-0.0139237j 0.0391678-0.0490706j -0.0657999-0.0472216j 
-0.0372489+0.0292204j 0.0387659+0.0184441j 0.0706407+0.0082638j 0.0330798-0.0941765j -0.00160968+0.153158j 0.159598+0.0261379j -0.0688141+0.0463938j 0.106262+0.0747246j 0.0551299+0.141162j -0.105156+0.0322749j 0.0256411+0.134438j -0.0446708+0.0639074j -0.0124867+0.036713j 0.00828629-0.0201j 0.00890393-0.0922043j 0.0746443+0.00981404j 0.00803089+0.0876828j -0.0594814+0.135436j 0.0913444+0.0997462j -0.00253387+0.0854241j -0.100241+0.310199j -0.0548474-0.103383j -0.153436+0.0103131j -0.0439959+0.0726518j 0.101354+0.0221106j -0.0984607-0.131843j 0.101568+0.0856245j 0.179088-0.0183094j 0.0710101-0.0293192j -0.0412431-0.0481914j -0.0567974+0.0633434j 0.0188067+0.0422839j -0.192733-0.0585908j 0.0234322+0.0337599j -0.0332301-0.0780724j 0.175705+0.147038j -0.00685516+0.00587454j -0.0316269-0.078366j -0.249688+0.136603j -0.0438508-0.0510639j 0.115589-0.09347j 0.0329739+0.137038j 0.0548047-0.0649253j 0.0819313-0.111877j -0.0136303+0.00167387j -0.103333-0.056931j -0.131058+0.0315587j -0.0312432+0.0360607j 0.115239-0.164561j 0.147911+0.0916602j 0.0119742+0.0154839j 0.0343716-0.0122468j 
0.00827921+0.0587281j 0.0584429-0.0500126j -0.00818133-0.00746407j -0.0172173+0.0151236j -0.140815-0.110045j -0.228464+0.0168179j -0.0720881+0.153985j -0.0346497+0.138317j 0.0201688-0.0638138j 0.0341819-0.0485344j -0.06876-0.102429j 0.146284-0.00952405j 0.080087-0.13678j 0.0150988+0.0602608j -0.113926+0.198811j -0.0503438-0.0150235j 0.0821051+0.0741868j 0.0404132-0.0278245j 0.12051+0.100264j 0.0352269+0.0213431j -0.103918+0.0120821j -0.120443+0.0387623j -0.138436+0.0757332j 0.0370353+0.0757771j 0.130413+0.10166j -0.0209961-0.0992836j -0.148821+0.00713489j -0.0720256-0.0376297j 0.0497097-0.0175329j 0.0650943-0.0528147j -0.198984+0.0644039j 0.0643985-0.0217323j 0.00494538+0.048147j -0.0241844+0.163604j -0.0751169-0.0968826j 0.05123-0.043174j -0.0017182-0.0162707j 0.0467014+0.118366j 0.0203425+0.072701j 0.0303463+0.0729348j 0.0884244+0.0190545j -0.0587844+0.0107508j 0.161725-0.0956467j 0.126347+0.0978865j -0.092117+0.126013j -0.0101608+0.203708j 0.26981+0.0176666j 0.0189068-0.195562j 0.0238252-0.0050767j 0.00132828+0.00463938j 0.00490399-0.0420019j -0.0122982-0.0243091j 
-0.039306+0.0446068j 0.0129255+0.0330836j 0.099311-0.0618244j -0.08177-0.0894768j -0.0220508+0.139928j 0.158751+0.000725532j 0.0367404-0.118246j -0.10348-0.0314102j 0.0559324-0.263067j 0.160732+0.0158444j -0.148427-0.0554485j 0.148315+0.00727942j -0.038286+0.000156497j 0.192114+0.0638003j 0.0028733-0.0295239j -0.0592387-0.0740866j -0.014999+0.164928j 0.00193941-0.0266026j -0.0127629-0.114973j -0.139633+0.090553j 0.0296734-0.0329765j 0.0635042+0.0400247j -0.190138+0.0184122j 0.0244239+0.0173594j -0.113697+0.106014j -0.0454033+0.0903371j -0.0338806+0.173739j -0.0236702-0.105749j -0.0343116+0.0249865j 0.134078+0.0502449j -0.00940199+0.103246j -0.00466982+0.171532j 0.0409684+0.0291489j 0.0240649+0.0774771j 0.0367825+0.110336j 0.0629916-0.0997521j 0.102304-0.0535786j -0.0832068-0.178069j 0.0866295-0.0755701j -0.0368475-0.116672j -0.174077-0.0322266j -0.126834+0.200282j 0.200347+0.0304478j 0.0211284+0.290086j -0.157798-0.00525343j 0.0175282+0.0118922j -0.134727+0.0171836j -0.0653055+0.0446353j -0.0519717-0.0615507j 0.032483-0.0254784j 0.00808445+0.00475361j 0.00106984-0.0399106j 
-0.0373346-0.0500853j -0.068901+0.0655268j -0.0758288-0.0216813j -0.0307463+0.0757424j 0.147795+0.0313585j -0.0443034+0.00719778j 0.149029+0.0271927j -0.00951955-0.0221719j -0.121051-0.139667j -0.0519052-0.108564j 0.102403+0.0912508j 0.00694631+0.156774j 0.0210746-0.0480758j 0.132728+0.166446j -0.0346758+0.123363j 0.01778+0.048212j -0.104609+0.183352j -0.0499506-0.146161j 0.0423395+0.0581557j -0.0837567+0.068975j -0.140972+0.0693038j -0.0831851-0.130145j -0.0350007+0.067912j -0.0309604+0.0861972j -0.102263-0.112371j -0.0538676+0.146639j -0.000257509-0.0227012j 0.0173391-0.054043j -0.0264788-0.12608j -0.0709568-0.0899944j 0.003632+0.020085j 0.212845+0.171599j 0.0599731-0.065606j -0.165631+0.0912464j 0.100619+0.0155812j -0.0100633+0.206101j 0.0134543-0.113972j 0.107123+0.14989j -0.0827936+0.0832069j 0.112159+0.0651304j -0.134135-0.236351j -0.0798348+0.104894j -0.0125116-0.0527733j -0.0294401-0.0593879j 0.0650464-0.037931j -0.0150042-0.0189928j -0.00747604+0.0343711j 0.0132196+0.0114405j -0.0338847+0.10786j -0.110811-0.00338343j -0.0215836+0.00906552j -0.00580538+0.0101549j 
0.0701942-0.0526905j -0.0137044-0.0989684j 0.124488-0.0440985j -0.0634636-0.131984j -0.00251473-0.215922j 0.00971524+0.00666021j 0.0440433-0.083272j 0.0506826+0.0159572j -0.10712+0.0679108j -0.104005-0.0296061j 0.00969794+0.0534053j 0.0713408+0.00783996j 0.0087442+0.0661889j 0.181218+0.0519632j 0.00832983-0.0830044j 0.0240371+0.0725918j -0.153774-0.0468152j 0.17677-0.0766901j 0.0663402+0.175326j -0.0944348-0.015142j -0.0420218+0.0673543j -0.0415015-0.00914094j 0.0705891+0.0518803j 0.159363-0.0383753j -0.0671086+0.014789j -0.0686538+0.122002j 0.0827843-0.159801j -0.237956+0.164401j -0.0108787-0.0303312j -0.294999-0.00671749j -0.0689267+0.100667j 0.0914315+0.293787j -0.0372334-0.114281j -0.14406+0.12444j -0.0899986+0.0313999j -0.075835+0.00123427j 0.0681447+0.0503041j 0.00489875-0.0324207j -0.00288058-0.0377852j -0.0267625+0.0136371j 0.161839+0.134441j 0.054491-0.122551j 0.0116452+0.0649358j -0.0261789+0.0457441j -0.0863178+0.146119j 0.0706596+0.0580991j -0.0204241-0.0451876j -0.0399806+0.0732319j -0.0285754-0.0661963j 0.0757929-0.0422227j 0.0103087-0.0158823j 0.00476431+0.0111081j 
