-0.0117546+0.0108101j 0.00994819+0.00272197j 0.000601134+0.0116405j -0.00323377+0.023286j 0.00580168+0.00464304j 0.00129881-0.00758515j -0.00828205-0.00548311j -0.0194086+0.00264096j -0.00164954-0.00180571j 0.00169762-0.00145716j 0.00366161+0.00451702j 0.00915796-0.00418618j 0.00220838-0.00422359j 0.00402445+0.00257005j -0.00504891-0.000695759j -0.00187123+0.00280035j -0.000812604-0.00175052j 0.00850342-0.00831748j 0.00544393+0.00612715j 0.00666104-0.00135462j -0.00903006-0.00816112j 0.00146221+0.000241143j -0.00922962-0.00139828j 0.00252865+0.00297079j 0.00120646-0.00158839j 0.00341295-0.000358525j 0.000352006-0.00354396j -0.00470129+0.00214152j 0.0069968-0.00609517j -0.0108474-0.000158853j 0.0133196+0.00771563j -0.00282162-0.000939573j 0.00773934+0.0104411j -0.00107258-0.0213427j 0.0184909-0.00915599j 0.00900492+0.0125748j 
0.00983268+0.0107206j 0.00386503-0.00863553j 0.00146572-0.0082406j -0.000430514+0.00235875j 0.0107182-7.17566e-05j -0.00234986+0.000315056j 0.0120434-0.00238425j 0.0139211+0.00208892j -0.00966052+0.0034799j 0.00748057+0.00644314j -0.00363938-0.00863656j -0.000246943-0.00040552j 0.00514755+0.00426009j -0.00167451-0.00408123j 0.00262994-0.000494359j -0.0113429+0.00121164j 0.00388185+0.000774881j 0.00863181-0.00634902j -8.90785e-05+0.00308309j -0.00795907+0.00368985j 0.00386356-0.00502705j 0.00218034-0.00203158j -0.012945+0.00204789j 0.000647403+0.00990697j 0.00784504-0.00173662j 0.00573652+0.00677535j -0.0024419+0.00124862j 0.0165223-0.00375273j -0.00120993+0.00311842j -0.000459272+0.00210234j 0.00976668+0.00348502j 0.00850127+0.0116565j -0.00993158-0.0157686j -0.0119867-0.0143933j -0.00687931-0.0193039j 0.0160889-0.0177337j 
-0.00783324-0.0112613j -0.00664193+0.002919j -0.00104972+0.00199683j 0.0019935-0.00213132j -0.0116558-0.000632019j -0.00111107+0.00124696j -0.00415509+0.00270181j -0.00361107+0.00200772j 0.0114648-0.000931712j -0.00958192-0.00226057j 0.00334756-0.00118655j -0.00490768+0.00248271j -0.00761328-0.00150439j -0.00107331-0.000544589j -0.00139052+0.00128691j 0.0118172-0.00305257j 0.00282218+0.00241862j 0.00100252-0.00256039j -0.00137831-0.00994468j -0.00414251+0.00329179j 0.00610884+0.00390135j 0.00482253+0.00396019j -0.00567002+0.00174589j -0.000186531-0.000424612j 0.0102603+0.00115685j -0.00333928-0.00399186j -0.00299094-0.000781296j 0.0110701-0.00447462j -0.0180582+0.000950614j 0.0166479-0.00249236j 0.00283455+0.014933j 0.00814959-0.00706371j -0.00938159-0.0333537j 0.0124316+0.00645383j -0.016076+0.00140888j 0.0121211-0.0180103j 
0.00789288-0.0118346j 0.000651498-0.00767763j 0.00220478-0.0185387j -0.0050718+0.00762204j 0.00593768+0.00299303j -0.00770275+0.00397997j 0.00628352+0.00225623j -0.0182707-0.00843304j 0.00686417+0.00305564j 0.00294085-0.00765833j 0.000120293+0.00353547j -0.00129643+0.0043346j 0.000345258+0.00674171j -0.00270441-0.00269451j -0.00157067+0.00429331j -0.0151795+0.00116095j -0.00793556-0.0120755j -0.015156+0.0134476j -0.000261652+0.0055352j 0.0033774-0.0016678j 0.00290466+0.00655233j -0.00527304-0.00508473j 0.011635+0.000752567j -0.00522049-0.00659761j -0.00400138+0.00103973j -0.00508034-0.0027364j -0.0021021+0.00202058j 0.0136234-0.00507878j 0.010875+0.00688299j -0.00923328+0.00357554j -0.0194402-0.0081333j -0.000418667+0.0259346j 0.00146708+0.00374783j -0.00888005+0.00545902j 0.00261761-0.00209386j 0.00753389+0.00752534j 
0.00644749+0.00462523j 0.00984813+0.00867705j 0.00312502-0.00175681j 0.00015098-0.0105848j 0.00914461+0.00555531j 0.0126112-0.000147607j -0.00534611+0.00201306j -0.00468683-0.00446067j -0.0159635+0.000836851j 0.00608884-0.00659995j 0.00347463+0.00894561j 0.000913596-0.000127448j 0.0116093-0.000347148j -0.00185742-0.00201078j 0.00848189-0.0103914j 0.00769095+0.00243717j 0.00257659+0.00747303j -0.00746025+0.0154264j -0.00660474+0.00250977j 0.00211296-0.006121j -0.00522162+0.00347193j -0.0106576-0.00954424j -0.000298042+0.010771j -0.0197105+0.0015345j -0.0122752+0.00883548j 0.0170725+0.0108691j -0.0182013-0.0031455j 0.0134091-0.00113077j -0.0113312-0.0060284j 0.0123546-0.029358j -0.0126781-0.0114767j -0.0088167+0.00292032j -0.0114171-0.0245989j 0.00877039+0.00700059j -0.0153525+0.00906249j 0.00376369-0.00667331j 
0.00378415+0.0105733j 0.0134371-0.00531244j -0.00397472+0.0104957j -0.00246158+0.00950795j 0.00676807-0.00447206j 0.00603792-0.00128131j -0.015748-0.00102436j 0.00190814-0.00369055j 0.000905831+0.00379725j -0.00351186-0.00240936j -0.000203125-0.000573759j 0.00143807-0.00456219j 0.00779569+0.00567846j 0.00916872+0.00419953j 0.0136785-0.00867975j 0.00761931+0.00196837j 0.00259574+0.00153281j -0.0138227+0.00750595j -0.00243887-0.0156236j -0.0100499+0.00468409j 0.00598992+0.00213195j -0.0117261-0.0136375j 0.00841091-0.00236955j 0.00583427+0.000894819j 0.00916521-0.00567711j -0.00674244-0.00575457j 0.0144287+0.0144322j -0.0106991+0.0206479j -0.0166657+0.000833689j 0.00564774+0.0114661j 0.000353468+0.00298445j -0.00467595-0.0155461j 0.0152908-0.00626625j 0.0104008+0.0145284j -0.00200341+0.0103183j -0.00511508+0.00860864j 
-0.00741016+0.000277228j 0.00773624-0.00156575j 0.00698922-0.0188813j -0.00127645+0.0184821j -0.000600099+0.00914493j 0.00646854+9.26e-05j -0.00982697-0.00480491j -0.00511887+0.00570209j 0.0036883+0.00383826j -0.00408408-0.0052609j 0.0120589-0.00172451j -0.0188963+0.0192781j -7.82187e-05+0.000997881j -0.0217508-0.0184961j 0.000962437-0.00282425j 0.00090379-0.00672599j 0.0068895+0.00585014j 0.00635582-0.00915635j -0.00718809+0.00555544j 0.00393144-0.00718049j -0.00395749-0.0028908j 0.00411912-0.00229467j -0.00849956-0.00177476j 0.00664513-0.000719331j -0.0040383+0.0110527j 0.00168302-0.00739699j -0.00720416-0.00928853j -0.00961573+0.00415671j -0.00936752-0.0078812j 0.0063882-0.00575246j -0.00483676+0.00401476j -0.00450726-0.0118992j 0.00663218-0.00176375j 0.00779258+0.0125292j -0.00273572+0.00663092j -0.0073127-0.00137724j 
0.0117587-0.00140306j 0.00228576-0.00972359j -2.25785e-05+0.000185601j -0.000420968-0.00935953j -0.00345769-0.00243155j 0.0153495+0.00377369j -0.0070451+0.00458822j 0.0186292+0.00296198j 0.00287049+0.00699642j -0.00338025-0.00672958j 0.00862185-0.00708838j -0.0147112-0.00610172j 0.00184899+0.010045j 0.00465314-0.0139918j -0.00254979+0.00413724j -0.0278652+0.000618981j 0.000641986-0.0124585j 0.000746427-0.00138671j 0.00163687+0.0165345j 0.00318059-0.00816152j -0.00216822-0.00581719j -0.0112966-0.000870431j -0.00253204+0.000381162j -0.00901036+0.00418573j 0.0160923-0.0238189j 0.00471492+0.0128687j 0.0204778+0.0153129j -0.0188682+0.015382j -0.00500086-0.00355605j 0.00105132+0.008481j 0.0241169+0.0158322j 0.00465894-0.0175099j 0.00808613+0.00898157j 0.00630216-0.00367643j 0.00678567-0.00650359j -0.00333983+0.00436455j 
-0.00549193+0.00266126j -0.00392229+0.00999668j -0.000476219+0.00789805j -0.00366788+0.00686594j 0.0012468-0.00635586j 0.00435292+0.0035315j -0.00620754-0.00843127j -0.00251803-0.00522627j -0.00953291-0.00829284j 0.00324833+0.00347969j -0.0105189+0.00614712j -0.00822841+0.000932247j -0.00316018-0.015016j -0.00404105-0.00545276j -0.0180251+0.00888429j -0.00569469-0.00390965j -0.00584977-0.00491431j 0.000113845+0.00433761j 0.0044142+0.0192044j 0.0189396-0.0120382j -0.0143409+0.00209741j -0.00469425+0.0130754j 0.0162069+0.00490592j -0.0206228-0.0144184j 0.0117656-0.0207599j -0.00529099+0.00505568j 0.00643502+0.0210919j -0.00228182+0.0031325j -0.0224947+0.0055725j 0.0141933-0.0150176j 0.00530052+0.00289372j -0.00210937-0.0168755j -0.010756-0.0219541j 0.0194106+0.0131135j -0.0187814+0.0100487j -0.00340782-0.00788805j 
0.00503036-0.00717026j 0.00444817+0.00668931j 0.00316012-0.0131017j 0.00356393-0.0118718j 0.0130237-0.00371572j 0.0166681+0.011558j -0.00383437+0.00342513j -0.00939443-0.00362073j -0.0124475-0.00289414j -0.00960391+0.0138241j -0.0248094-0.00577071j -0.0106727-0.00241316j -0.00102909-0.00700036j 0.00170609-0.00357211j -0.0121049+0.0112543j -0.0121302-0.00233229j 0.00531051-0.0131036j 0.00906233-0.00622633j 0.00784463+0.0120032j -0.00335364-0.00984j -0.0065014+0.00328328j 0.00306757+0.0115994j -0.00115784-0.0010158j -0.0148544+0.0149037j -0.000820564+0.00232594j 0.0144568+0.0114796j 0.00507161+0.00417531j -0.0132792+0.014592j -0.00815309-0.00828169j -0.00226927-0.0062945j 0.00379731+0.00527863j -0.00349505-0.0150454j 0.0122911+0.00621656j 0.00777645+0.00151823j 0.00426799+0.00173725j -0.00427385+0.00579293j 
-0.00298731-0.0111126j 0.00186447-0.0112941j 0.00462213+0.00202657j -0.00511901+0.00194251j 0.0051117+0.00828788j 0.0176941-0.00437572j -0.0129624+0.00386561j -0.00931596-0.00757461j 0.0251594-0.00496635j -0.00809542-0.00932621j 0.0058025+0.00300462j -0.00203212-0.0114995j -0.000233694+0.0120784j 0.00893717+0.00217212j 0.00537368-0.00141355j 0.0149552-0.00126286j 0.00881809+0.00887624j -0.000405713+0.000796517j 0.00233442+0.000129608j 0.00887597+0.000782439j 0.00577624+0.00468496j -0.00548486+0.00317421j -0.00295504+0.0145208j -0.0130232+0.0129045j -0.0101771+0.00503655j 0.0221198+0.00489167j -0.0126086-0.00532012j -0.00280361-0.00859904j -0.00761313-0.0113839j 0.0046946-0.0201239j 0.00859604-0.00647838j -0.00127626-0.0106434j -0.0132408-0.00553946j 0.000900517-0.000522336j -0.00699711+0.00656093j -0.000836523-0.0142366j 
