0.0020824-0.00145953j -0.00194965-0.0034852j -0.00161509+0.000723367j 0.00252289-0.00220823j -0.000930884+0.00150507j 0.00319631+0.00239403j 0.00172245-0.00187077j 
0.00710282+0.00536423j 0.00950867-0.0102454j -0.00414793-0.00460038j 0.0100706+0.00602529j -0.00601483-0.00148005j -0.0045324+0.0132227j 0.00808496+0.00372269j 
-0.00877542-0.00152446j -0.00377516+0.0134683j 0.0057962+0.00219652j -0.0117191-0.000755023j 0.00603014-0.00143458j -0.00201569-0.0138414j -0.00889849+0.000385791j 
-0.0207653-0.00224438j -0.00680374+0.0320864j 0.0138949+0.00426622j -0.0275378+1.03518e-16j 0.0138949-0.00426622j -0.00680374-0.0320864j -0.0207653+0.00224438j 
-0.00889849-0.000385791j -0.00201569+0.0138414j 0.00603014+0.00143458j -0.0117191+0.000755023j 0.0057962-0.00219652j -0.00377516-0.0134683j -0.00877542+0.00152446j 
-0.00808496+0.00372269j 0.0045324+0.0132227j 0.00601483-0.00148005j -0.0100706+0.00602529j 0.00414793-0.00460038j -0.00950867-0.0102454j -0.00710282+0.00536423j 
-0.00172245-0.00187077j -0.00319631+0.00239403j 0.000930884+0.00150507j -0.00252289-0.00220823j 0.00161509+0.000723367j 0.00194965-0.0034852j -0.0020824-0.00145953j 
