0.149486+0.130125j 0.121989-0.15467j -0.00895374+0.0338349j 0.0274105+0.0530135j 0.164228+0.143275j 0.108401-0.151097j 0.133485+0.0284612j 0.198244-0.100089j 0.0149905-0.0324993j -0.0597974-0.0659165j -0.00604217+0.0964308j -0.0956145-0.0104666j -0.0966572-0.168111j -0.118152+0.041993j -0.11563-0.0172549j -0.000149581-0.0300081j -0.0393854+0.0283084j 0.0881911-0.0420443j 0.0262451+0.14215j -0.0119182-0.0109656j 0.0988503-0.0612144j -0.0320598+0.0244749j -0.0347-0.0568291j 0.0056804+0.0564219j -0.125948-0.0719775j -0.0561475-0.0206054j 0.0643757-0.100064j -0.0123605+0.0213011j -0.0224067+0.0629643j 0.0115334-0.12259j -0.232866+0.0367008j -0.00745632-0.00823131j 0.0922671-0.0139072j -0.0177549-0.191217j 0.0523729+0.0500787j -0.12208+0.0631392j -0.0215464+0.0159498j -0.0511359+0.173515j 0.0519605+0.0141666j -0.138751+0.0354149j 0.0328325-0.00803286j -0.0396199+0.0664136j -0.182954-0.118586j -0.12313-0.0444853j 0.109235+0.0101625j 0.0623386+0.0207627j 0.0266599+0.125524j 0.118275-0.0836613j -0.00920505-0.27035j 0.162261+0.000534226j -0.0630822+0.0982996j -0.116046-0.0363149j 
-0.0086652-0.0542339j -0.0449236-0.00768279j -0.0447237+0.0174132j -0.00854475+0.0157272j 0.00542783+0.00679026j 0.0236952+0.0367638j -0.0216926-0.0512885j -0.0353935+0.0114128j -0.0457521+0.0203938j -0.015015-0.0117874j 0.023803+0.0100046j -0.0114466+0.0175949j 0.0444521+0.0223652j 0.0244232-0.00222596j 0.0185694+0.0300948j 0.0188577-0.02406j 0.00674806-0.00572414j -0.0425831+0.00338598j 0.0113997-0.0255317j -0.00554987-0.00123204j -0.0459675-0.000284642j 0.029035-0.0363573j 0.0326436+0.0050183j -0.00416113+0.0154723j -0.00850984-0.012237j 0.0274628+0.00245712j -0.0407626+0.0175059j -0.014735-0.0406925j 0.00314023-0.0418065j 0.00201609+0.0603589j 0.0500263-0.00354773j 0.0161752+0.0240102j -0.0231257+0.0418601j -0.00866442+0.0459492j -0.00318596+0.00230011j 0.0436927-0.0158382j -0.00305902-0.00344435j 0.0142755-0.0247664j -0.00526491+0.00429604j 0.0070183-0.0314509j -0.0219497+0.00243726j -0.00667837-0.0327428j 0.0500322+0.00934657j 0.0275584+0.0021594j -0.0175851+0.0163169j -0.0165847+0.00262973j 0.0225573-0.023248j 0.0178617+0.0244946j 0.0457461+0.0137935j 0.00811235+0.0103759j 0.0471436-0.0113626j 0.0105595+0.0480554j 
0.0236565-0.135406j -0.106659-0.0658691j -0.0854513+0.163903j 0.0645965+0.0187829j 0.011369+0.106632j 0.149322+0.0496378j -0.047355+0.0120676j 0.0119263+0.0653207j -0.0789026+0.0404629j 0.0240581-0.0761471j 0.00276636+0.0107191j -0.146052+0.00611944j 0.0313976+0.02637j 0.00186025-0.00457704j -0.0344741+0.0701331j 0.062294-0.0464384j 0.0148749+0.00767406j -0.0306882-0.0349268j 0.0220626+0.0442211j -0.00738893+0.0184237j -0.0655204-0.0249686j 0.0441203-0.0531282j 0.0801536+0.026192j -0.10448+0.0216756j -0.0718845-0.0846801j 0.0553692+0.0676242j -0.0433661+0.00478549j -0.0512743-0.0589249j -0.000786303-0.0616893j -0.0171821+0.0126185j -0.0143875+0.0136225j 0.0129624+0.0686949j -0.0191585+0.0676774j -0.00710106-0.0195829j 0.0347466+0.021599j 0.0521547-0.0394083j 0.02428+0.00644607j 0.0120454+0.027739j 0.0372053-0.00356243j -0.0368103-0.0635054j 0.00679369-0.0116139j -0.0548039-0.0132682j -0.00828643-0.0240437j -0.0452499-0.0204238j -0.0402315+0.00881784j -0.0564532+0.0393103j 0.0251708-0.00197346j 0.0399813+0.057203j 0.081699-0.0413147j 0.0444379-0.032547j 0.20092-0.00546012j 0.000270527+0.213456j 
-0.0903436+0.00230185j 0.0229596+0.0734074j -0.143879-0.115801j -0.0854697+0.167325j 0.119206+0.0371133j 0.0242105-0.0496439j 0.134177-0.261165j -0.0674284-0.0076769j -0.111213-0.0996062j -0.181462+0.000501613j -0.123239+0.14012j 0.0104596+0.113411j 0.00400412-0.00135473j -0.0444431-0.061127j -0.0332409-0.0294906j -0.0236193+0.0222139j -0.0398633-0.0103019j -0.236308-0.00973337j -0.041768-0.0308809j 0.0345441-0.0180566j -0.0261911-0.0776373j 0.0757146+0.0349641j -0.122671+0.0375753j 0.101936+0.159826j 0.0141246+0.123043j -0.0755507-0.128406j -0.104795-0.079981j -0.0862273-0.0497942j 0.0121939+0.0100329j 0.0569988+0.137981j -0.128027-0.0561692j 0.159355+0.0227339j -0.0378512+0.0710725j 0.0372928-0.0268315j -0.0305804+0.0506769j 0.086649-0.0149532j -0.0595691-0.272576j -0.0145017+0.0527579j 0.0749048+0.0616741j -0.0947533+0.0481244j -0.081987+0.202473j 0.0664791-0.129326j 0.067738+0.00935413j 0.239567-0.0247072j 0.157008-0.0918022j -0.0976794-0.0923423j 0.126941-0.0308485j -0.0116254+0.00626741j 0.0901776-0.030562j 0.0198621+0.0298601j 0.0102655-0.0277002j 0.0137557+0.0133098j 
-0.00283063-0.112655j -0.0872275-0.0462298j -0.115955+0.161409j 0.0441922+0.0284522j 0.0263906+0.100152j 0.14856+0.0747076j -0.0529995-0.0504647j 0.00123734+0.0913777j -0.126573+0.020044j 0.0241368-0.0705351j -0.00503392+0.00997913j -0.138186-0.000980659j 0.0216028+0.0104111j 0.0235895+0.025171j -0.013509+0.0774747j 0.0653124-0.0692752j 0.00329542-0.000550923j -0.00403154-0.0503009j 0.0208064+0.0397411j -0.0173187+0.0143655j -0.0671406-0.00975691j 0.0687346-0.0571077j 0.0518019+0.0416947j -0.0982651+0.0326021j -0.0758199-0.0616992j 0.0631782+0.0436622j -0.0617572-0.02994j -0.0624768-0.061981j 0.00446467-0.0515089j -0.0181681+0.0514854j -0.00531183+0.0106746j -0.00551679+0.0694327j -0.0237939+0.0857788j -0.00790906-0.0277256j 0.0410667+0.0315285j 0.0616127-0.0557002j -0.00968938+0.0485242j 0.0380298+0.0140701j 0.0251965-0.011856j -0.0398881-0.0804386j -0.0356562-0.0282513j -0.0202385-6.45776e-05j -0.0148011-0.0251535j -0.0630241-0.0190803j -0.0165484-0.00378757j -0.044973+0.010046j 0.0627665+0.000425227j 0.0289009+0.0502387j 0.100635-0.0337003j 0.0334476-0.0290093j 0.190011-0.0353055j 0.0273702+0.204997j 
-0.0205082+0.0718975j 0.0446025+0.0543886j 0.0681626-0.0819345j -0.0181562-0.003332j -0.00938915-0.0674572j -0.0837669-0.0493055j 0.0175937+0.000358866j 0.00642547-0.0370131j 0.0588134+0.00207083j -0.0244623+0.0388537j -0.012545-0.0176897j 0.0915158+0.00710641j -0.0142117-0.0222506j 0.00232185-0.00264073j 0.0251274-0.0595154j -0.0218128+0.0350177j -0.00232225-0.0104229j 0.0221587+0.0251299j -0.0056072-0.0397787j 0.00325616-0.0181758j 0.0543881+0.00510484j -0.0375163+0.0381488j -0.0484917-0.0147663j 0.0599528-0.0179728j 0.066361+0.0411334j -0.0290926-0.0144241j 0.0192078-0.00883136j 0.0450476+0.0412336j 0.00664992+0.0484715j 0.00370751-0.00500239j 0.0118459-0.0119131j -0.0146671-0.0503678j 0.0168461-0.0435045j 0.00567347+0.00268182j -0.0200899-0.0138248j -0.0433406+0.0227j -0.00917033+0.000394518j -0.014751-0.0175336j -0.0226171-0.00461565j 0.0352157+0.0367453j 0.00804839+0.00565844j 0.0384143+0.0126093j 0.00898642+0.021142j 0.0158863+0.00657012j 0.0218795+0.00195843j 0.0476303-0.0407557j -0.0109294+0.00937243j -0.0354698-0.0260654j -0.0435343+0.0390491j -0.0293748+0.0380878j -0.086255+0.0174092j -0.0194365-0.102202j 
0.010801+0.0132408j 0.0107479-0.0119015j -0.00303566-0.0217242j -0.0184979+0.00884246j 0.0191266-0.00950167j -0.0130995-0.00972757j 0.00628847-0.011724j 0.0104564-0.0179955j -0.00322767-0.00213899j -0.0157375-0.00832205j 0.0140409+0.0179449j 0.00327513+0.00242846j 0.0055601-0.00794019j -0.0102091+0.00752715j -0.00426966-0.00903353j -0.0008651-0.00766222j -0.01179-0.00250062j -0.00433346+0.00821213j 0.0059862+0.00383919j 0.00127748-0.00435135j -0.00265067-0.00253018j 0.00270019-0.00201197j 0.00229035-0.0117889j 0.00937889+0.00574069j -0.0050576-0.00624736j -0.00105348-0.0144273j 0.00852576-0.000435181j 0.00537299+0.0021768j 0.00187299+0.00073408j 0.00781185-0.00127949j -0.00277632-0.00178005j -0.00131347-0.00735426j 0.00761639+0.00739022j -0.0013096-0.00365969j 0.00103246+0.00263885j -0.00781506+0.0100525j -0.00712369+0.00140174j -0.0123122+0.00544465j -0.00315468+0.00734334j -0.01134+0.0025988j -0.00702031+0.00355836j 0.000291226-0.00625337j 0.0105247+0.0014634j -0.000319805-0.000251201j 0.00853942+0.0230071j 0.0129358-0.00111725j 0.0100731-0.000410027j 0.0153261-0.0141833j -0.00700744-0.0196079j 0.0169253+0.00596889j -0.0213656+0.00759445j -0.00928322-0.020082j 
-0.00591096+0.000636629j -0.00312634+0.00329296j -0.00689305-0.00765709j -0.0284979+0.0134262j 0.00935062-0.0284581j -0.0195403+0.00258909j -0.0240596-0.0014033j -0.0170297+0.000601523j 0.00169167-0.00776438j -0.00472083-0.0222671j -0.00728112-0.00254932j -0.0242391-0.0105606j 0.009905+0.0336459j -0.011853-0.00295117j -0.00912369-0.0204931j 0.00121647-0.00606411j -0.0159382-0.0158115j -0.0149555+0.00271125j 0.00965747-0.00354991j 0.00209113+0.00567841j -0.0090146+0.000388964j 0.0169537+0.00377137j -0.010169-0.00121303j -0.0186058+0.0020637j 0.0257776-0.0103181j 0.0246247-0.0134918j 0.0118539-0.0043663j 0.00764822+0.00764205j 0.00311842+0.0178602j -0.00199793-0.00183281j -0.00828275-0.0101278j -0.0104882-0.0193456j 0.00959144+0.0154928j 0.0134876-0.0327441j 0.0164298-0.0101902j 0.0018431-0.00546971j 0.000434373-0.0144926j -0.0231649+0.00516767j -0.00264262-0.00260161j -0.0231957-0.00690888j 0.000915321+0.0190441j 0.00729433+0.00839487j 0.0211781+0.0133008j -0.00164236+0.00466579j 0.00428958+0.0233704j 0.000297071+0.00918408j 0.0115449-0.0185908j 0.00062182-0.00895221j -0.0234904+0.00184262j -0.00159594-0.0102659j -0.00866515-0.00572878j 0.00679075-0.00604411j 
0.00402106+0.0187403j 0.0143996-0.00434724j 0.00226617+0.0184503j 0.00141283+0.0101399j 0.0137385+0.00387647j 0.0199577-0.000634926j 0.0108508-0.00753668j -0.047043-0.0237012j 0.0208518-0.0221338j -0.00643354-0.00617812j 0.00101752-0.00933333j 0.00265396+0.00117221j 0.0186127+0.0159525j 0.00841869-0.0106906j -0.00432976-0.00368574j -0.00183291+0.00707907j 0.0103125-0.00501029j 0.00487344-0.00673068j 0.0167989-0.037584j -0.0117963+0.0126239j 0.0127612-0.00944302j 0.0116676-0.00453998j -0.00214443-0.0167212j 0.0304037+0.00178404j 0.0228892+0.00599666j 0.0189974-0.0136788j 0.0134921-0.00302908j 0.00127153-0.0057876j -0.00295045-0.000250371j 0.00309857+0.0212681j -0.00321554+0.00841235j 0.0117655+0.00420804j -0.00446168+0.00471671j -0.00935876+0.00558944j 0.0256959-0.0234342j 0.00301423-0.00297114j 0.0185583+0.00139337j 0.00993877+0.00322311j -0.0103642-0.00372545j 0.00419546-0.00384554j 0.0115497+0.0167908j 0.0209188+0.0430394j -0.0111354-0.00330274j 0.016122-0.00801175j 0.0114837-0.021131j -0.0118286+0.0114786j -0.00580543-0.000598424j -0.00181803+0.0200975j 0.0173993-0.00650984j 0.00214143+0.00485708j -0.00739992+0.00175249j -0.00316613-0.004139j 
-0.00429081+0.0158431j 0.0211756+0.00019406j -0.0030819-0.0155516j -0.0136505-0.0169386j -0.0105167-0.00416556j -0.0167531+0.0171928j 0.00801449+0.00182213j -0.0152253+0.00467329j 0.00172206-0.0286474j 0.0207192+0.0189163j -0.00350642-0.000238461j 0.00649531-0.0106932j -0.0124406+0.0067019j 0.00196003+0.0019061j 0.0074503+0.00891586j -0.0207856+0.000701337j -0.00437313+0.00332576j 0.00535884-0.00152221j -0.0146844+0.00803289j -0.00074461+0.00807523j -0.00583523+0.0117602j 0.00341294+0.0058296j -0.00408273+0.0085533j 0.010941+5.22442e-06j -0.0100189+0.0174257j -0.00379177-0.0264792j 0.0116393+0.0151904j -0.00938735+0.0010185j -0.0006418-0.000130172j 0.00788833-0.00093807j -0.00264878+0.00269273j -0.000143988+0.00408575j -0.00801925-0.0109718j -0.00307879+0.010664j -0.00242388+0.000241119j 0.00454324+0.000768136j -0.00679109+0.00301102j 0.0177919-0.00559577j -0.00534953+0.000858783j 0.000253124+0.00737647j -0.0101666-0.00505267j -0.000330312+0.00492871j -0.00923722-0.00144776j 0.0138745+0.0055105j 0.00206883-0.0163425j -0.0010646+0.0059901j -0.0125508-0.00228278j -0.00124206-0.0124828j -0.0132607-0.00192638j -0.00805871-0.0138966j -0.0394789-0.0108848j 0.0169022-0.0342833j 
0.00210711+0.0016305j 0.00133178-0.00449851j -0.00486726+0.00641591j 0.00878708+0.0068067j -0.00037739+0.00178371j 0.00904235+0.00377544j 0.0143505-0.00037566j 0.00552421+0.00265126j -0.0117678-0.0102701j -0.0103563-0.010368j 0.0160593+0.0137595j -0.00370573+0.00142261j 0.0023225-0.0196688j 0.00306413+0.0115374j -0.0140705-0.00336875j 0.018836-0.00400151j -0.00177077+0.00716078j 0.0117366-0.0015444j 0.00596902-0.00381281j -0.00577805-0.00778554j -0.00609249-0.0165576j 0.00738302-0.00893286j 0.00908861-0.0147707j -0.00179833+0.00249139j -0.0170865+0.000992696j -0.010371+0.0112522j 0.0020215-0.0150602j -0.000741137+0.0145861j -0.00424872-0.0126189j 0.00994646-0.00682426j -0.00801767-0.00147096j 0.0147156+0.00658685j 0.00257838+0.0132584j 0.00550402+0.0100385j 0.00536052+0.0088285j -0.00426293+0.00902152j 0.00716045+0.011035j -0.0127712+0.0145493j 0.00902854+0.00783387j 0.00290988+0.00673823j -0.0104888+0.00922347j 0.0112321-0.00327761j 0.00396312+0.010573j -0.00635304-0.00244431j 0.00755537+0.00533074j -0.00937883+0.0180016j 0.0102056-0.002178j 0.00355698+0.0113212j 0.00259628+0.00319009j -0.000250833+0.00257924j 0.0125856-0.00602447j 0.00217713+0.0171267j 
