-0.00562154-0.00324183j 0.0145619-0.0152735j 0.00248977+0.00899877j -0.00358063+0.0289248j -0.00364119+0.0174027j 0.0100618+0.00411346j -0.00211989+0.00596732j 
0.00334187-0.00539399j 0.0208128+0.0158637j -0.0134645-0.00335686j -0.0431115-0.0101678j -0.0237065-0.00305995j -0.0102453+0.00620727j -0.00560465-0.00235121j 
-0.00236807-0.00122683j 0.00808736-0.0149913j -0.00688617+0.00917322j -0.0107014+0.0314972j -0.000643796+0.0165918j -0.0013055+0.00908073j -0.000868126+0.00225717j 
0.00673134-0.000987684j -0.0111819+0.00779942j -0.0102345+0.0129072j -0.000124357+0.0129108j 0.00587973-0.00547766j -0.00705749+0.0207735j -0.00260813-0.00642635j 
0.000447938-0.011374j 0.0135427+0.0220188j 0.0153939+0.0167863j 0.0115948-0.000753951j -0.0118318-0.0111478j 0.0282799+0.0152367j -0.0112561+0.00225866j 
-0.00172625+0.00125414j 0.00146672-0.00535796j 0.000280697-0.00337749j -0.00133617+0.000452779j 0.00021931+0.00378278j -0.00113489-0.00504656j 0.00161898+0.00138078j 
0.0123787+0.00130131j -0.0249747+0.0149712j -0.0181714+0.0140726j 0.000768512+0.00837593j 0.0123742-0.0138942j -0.0180123+0.0279931j -0.00162631-0.0124048j 
0.000652837-0.00869459j 0.0110707+0.016346j 0.00958446+0.013091j 0.00530113+0.00128226j -0.00976541-0.00751319j 0.0196038+0.0128328j -0.00866606+0.00137804j 
