-0.0248134-0.0122751j -0.0552107+0.0512933j -0.0420579-0.044799j 0.0444659+0.107258j -0.0949361+0.000485847j -0.0852177+0.101268j -0.00406465+0.0834215j -0.0229707+0.0339656j -0.0922682+0.0463805j 0.0793647-0.221602j -0.15756-0.216237j 0.0554116-0.222407j 0.355642+0.0888209j 0.2802+0.0824317j 0.153487+0.304203j 0.0235212-0.137755j 0.0396263-0.143889j -0.0783327+0.174058j 0.118807+0.176015j -0.0480332-0.0341626j 0.209099-0.0929662j 0.0791554-0.0653183j 0.0152552+0.0237659j -0.00886742-0.0209336j -0.0504199-0.0542714j -0.0261528-0.0466905j -0.0662917-0.0414205j -0.00432743-0.0260545j 0.0641393+0.0477944j -0.0662239-0.0463485j -0.0207272+0.0082049j 0.00329563+0.000787123j 0.0333177+0.00242068j -0.0224244-0.0575722j -0.0388338+0.0497074j -0.0262429+0.0876918j 0.0184363+0.201699j 0.0828676-0.0568081j -0.0867496-0.103994j 0.262162-0.109102j 
0.0680433+0.0154734j -0.0681016-0.0482361j -0.127165-0.0529244j -0.0158786+0.183362j -0.125232+0.0966791j -0.043167+0.0923306j -0.0572674+0.107925j -0.0298592+0.0833982j -0.220622+0.0367967j 0.106381-0.143211j 0.20147+0.187842j -0.256063+0.153164j -0.0013063+0.106465j -0.3664-0.32919j 0.122908-0.107594j 0.11458-0.12833j 0.017167-0.113195j -0.0762845-0.00721406j -0.109306+0.172722j 0.0566487+0.0379476j 0.220834+0.0452862j 0.0583148+0.0853687j -0.0939434+0.0577165j -0.030431-0.0101012j -0.105707-0.0063299j 0.0524294+0.0646802j 0.0600611+0.0281559j 0.00489328+0.01487j 0.00255845+0.0342497j 0.012749+0.121897j -0.0562401-0.00603937j -0.0188477-0.0867944j 0.0618874+0.106862j -0.011248-0.0663535j -0.00658938-0.0581072j 0.0686142+0.0486255j 0.134257-0.0450192j -0.112406-0.130705j 0.133723-0.114566j 0.101812+0.00976323j 
0.0666709-0.0341088j 0.0859977+0.148476j 0.130103+0.0424315j 0.156724-0.10182j 0.00786325-0.165059j -0.0680294+0.0421611j 0.107551+0.0343104j -0.0529498-0.0837678j 0.0999437-0.213106j 0.257137-0.309614j 0.388604-0.098951j -0.350746-0.129513j -0.198231-0.0698733j 0.00110615-0.0210098j 0.0350201-0.100601j -0.250774+0.0928452j 0.113421+0.169181j -0.150324+0.273222j 0.0973331+0.0904377j 0.00375416-0.0258246j -0.0876034-0.0620767j 0.10393+0.0243414j -0.0485292-0.0788291j 0.0628867-0.0451418j -0.0256776-0.0518818j 0.031889-0.0078869j -0.0311497-0.00928924j 0.00849523-0.00638189j -0.0772025-0.0424925j -0.0345243-0.0749591j 0.011044-0.0234159j 0.0375785-0.024096j -0.0318594+0.0338911j 0.0326889+0.0324193j -0.0163368+0.0147302j -0.0217938+0.025717j -0.0419245+0.023566j 0.0294914+0.0689683j -0.0678413+0.0332522j -0.0119077-0.0235716j 
0.0148159-0.00732119j 0.00733178-0.026301j 0.00609862+0.03345j -0.0379836-0.0504648j 0.0179311+0.0298194j 0.0241954-0.0571391j -0.0071503+0.0222752j -0.00766652+0.0234323j 0.0121818+0.00247045j -0.0741711+0.0698303j -0.0243757+0.145945j -0.0583514+0.0922245j -0.102054-0.0660972j -0.170903-0.0906175j -0.066573-0.197236j 0.0527913+0.0557873j -0.0345499+0.0336666j 0.0194192-0.14918j -0.063246+0.0197414j 0.0111403-0.031403j 0.00451467+0.13175j 0.0642593+0.0641073j 0.0393437+0.107529j 0.0467396-0.0153559j -0.017079+0.0375395j -0.0660815-0.198989j -0.138866-0.136566j 0.0142958+0.00237393j -0.066194+0.00688354j 0.0435759-0.0301616j 0.0235765+0.0248149j -0.105247-0.0149528j -0.045417+0.0160484j -0.0069815-0.0603015j -0.157703+0.0124567j -0.251422+0.0416103j -0.0043574+0.18265j 0.272102+0.0275961j -0.288291-0.00486995j 0.286964-0.174042j 
0.0362232-0.0203263j -0.0507731-0.0436348j -0.0335059-0.0580768j -0.0755743+0.0632658j -0.0504884+0.0359483j -0.0531547+0.0130593j -0.0702789-0.0748326j -0.097017-0.0547251j -0.036001+0.00532752j 0.0686393+0.00435775j 0.0715698-0.0196525j -0.0205046+0.0438336j 0.0623245+0.139009j -0.134123-0.143866j 0.145787+0.0149768j 0.023346-0.249772j -0.0412981-0.159424j 0.0157996+0.116635j -0.044298+0.0209752j 0.0528539+0.072792j 0.152107-0.0837499j -0.0632803-0.0373285j -0.103824-0.0695503j -0.0544296+0.0400203j -0.117364+0.0126639j -0.00936286-0.128787j -0.10088-0.0808865j 0.0176597-0.0226574j 0.0978106+0.000671496j -0.131216+0.0117132j 0.17918-0.035015j -0.0047101+0.0453692j 0.049574-0.231685j -0.09598+0.12827j 0.0239523+0.0559425j -0.0282811-0.0493036j -0.245037+0.128717j 0.109402+0.136949j -0.143389+0.167118j -0.227353+0.0504108j 
-0.0211376+0.0416738j 0.0804333+0.0146872j 0.13248+0.0448169j -0.0565022-0.0647352j 0.00442914-0.0659426j 0.0455788-0.0197222j 0.0274628-0.127087j -0.100564-0.0599952j 0.151991-0.0130121j 0.0112788+0.0494004j -0.063189+0.0339823j 0.0257545-0.0107726j 0.128476+0.00309277j -0.0413976+0.0241997j -0.0255322+0.00471547j -0.0295441-0.11563j -0.0168552-0.124871j 0.0833124+0.0514642j -0.0108018-0.0234677j 0.0952575+0.0363926j 0.0711867+0.0596517j 0.219153+0.0702842j 0.0928575+0.207902j 0.08143-0.000276559j -0.260633+0.0645548j 0.00213588+0.19026j 0.0791913+0.0335873j 0.326665-0.00212977j 0.012763+0.0165068j -0.0544571+0.0706435j 0.0342545+0.056729j 0.0336945-0.0409834j -0.148444+0.158947j 0.105171-0.174372j 0.171949-0.259466j -0.0124408+0.317321j -0.0148202-0.0346027j -0.152311+0.121157j -0.0318235+0.00807183j -0.038281+0.0102878j 
-0.0174131+0.0445414j 0.083037+0.0342723j 0.125252+0.0460343j -0.0488415-0.139914j 0.0885106+0.0834685j -0.0707249-0.00939305j 0.0309869-0.0126334j -0.0738183-0.0582989j 0.108623-0.0387891j -0.0441554+0.0427656j -0.0618135+0.0102025j 0.0866499+0.0447157j 0.0735334-0.0603799j -0.0776665-0.021646j 0.0209667-0.00157902j 0.016804-0.00721193j -0.00332561-0.0920173j 0.0529796-0.0535085j -0.0407261+0.238947j -0.0666553-0.273722j 0.138425-0.00113768j -0.218772+0.0649007j -0.0559384-0.0637504j 0.136375-0.350323j -0.094023-0.0445683j -0.00686218+0.177047j 0.0407878-0.0493124j -0.299818+0.00756532j -0.0958276-0.0144376j -0.0413478+0.0212777j -0.153032-0.0518421j 0.119344-0.259469j 0.153695+0.0970871j 0.134058+0.270102j -0.086982+0.138894j 0.0653108+0.0571484j -0.00482+0.0063336j -0.0924088+0.029815j 0.00279826-0.00769152j -0.0158556+0.0168547j 
0.0240009+0.0683554j -0.053992-0.105062j -0.141455-0.118106j -0.1209-0.0281856j 0.133687+0.0479502j 0.0504764-0.00500742j -0.215674-0.0907805j 0.229682+0.0345909j 0.0998521+0.0840724j -0.0893893+0.142067j -0.010034-0.0967253j -0.0710167+0.0125501j 0.0427866-0.0244211j -0.0125994-0.0272037j 0.0433824-0.00571917j -0.240797+0.0108926j 0.189447+0.187846j -0.0565228+0.302865j -0.161179+0.00538511j -0.217377-0.126736j 0.0852934+0.0518771j 0.116566-0.0106161j -0.0311231+0.0383572j 0.0673123-0.0477986j -0.0639661-0.0157037j -0.105851+0.318016j -0.0235257-0.306505j 0.012813+0.0357805j -0.0161387+0.0121514j -0.0245355+0.102982j -0.0393762-0.0202421j -0.0438959+0.0885139j -0.0396801+0.0289051j -0.00552997-0.104977j -0.0195023-0.00433731j 0.0158619-0.0538096j 0.065498-0.0140132j -0.00434923-0.0286703j 0.019939-0.0449852j 0.0622165-0.0248322j 
-0.00852649-0.00543191j 0.0283951-0.0412698j 0.0261081+0.0309523j -0.0418868-0.0504353j 0.0342035+0.0157834j -0.00934341-0.015537j 0.00467536-0.0174361j 0.0014371-0.0221053j 0.0447526-0.0305011j -0.0404783+0.0497858j -0.0307589+0.0496496j -0.041617+0.0197877j 0.00903641+0.00300292j -0.0426947-0.0104661j -0.01127-0.0718131j -0.048093-0.0297929j -0.0081022-0.00232222j 0.0388736-0.00873347j -0.0409969+0.0599196j -0.0136931-0.0551946j 0.0182289+0.0726483j 0.0377341+0.0489556j -0.00672029+0.0582786j 0.0467514-0.0363572j -0.0538211+0.009098j -0.0379529-0.153974j -0.117289-0.193068j 0.00790639-0.0085817j -0.0144275+0.0110555j -0.0180825-0.0535024j 0.0405325+0.00661009j 0.0352795+0.0131901j 0.00254843-0.0823014j 0.0381439-0.0496568j -0.138255+0.0240051j -0.134907+0.0244565j -0.0566909+0.220448j 0.110252+0.0794025j -0.114015+0.0275072j 0.0315663-0.170472j 
0.0171461-0.000861442j 0.00694947+0.0645245j 0.0110166+0.0354032j 0.0671025+0.0194724j -0.0677111-0.00523215j -0.00621392+0.00437805j 0.0612919+0.0932432j 0.00474129+0.0676072j -0.0472356-0.0224764j 0.00450802-0.0965646j -0.0610228+0.00853274j -0.00256376-0.0641994j 0.00696645-0.0601934j 0.0377259+0.0169185j -0.0829632+0.0195752j -0.00248838+0.124172j -0.0479387+0.0146472j -0.00557485-0.131602j 0.0603599+0.0775619j 0.0248811-0.0181139j 0.0239151+0.103064j 0.0905855+0.0642367j 0.0371668+0.111177j 0.00640779+0.0167493j 0.0335923-0.0164616j 0.0175894-0.0392558j 0.0130783+0.0684095j -0.0058247-0.0024756j 0.0433588-0.00494752j -0.00418876-0.0417207j -0.142329+0.0177134j 0.0306377-0.0476837j -0.00882777+0.103219j 0.0816739-0.102305j -0.0665825-0.0976056j -0.0101483+0.0624978j 0.0703989+0.0198738j -0.0190421-0.120141j 0.0320987-0.19851j 0.0730256-0.132703j 
-0.0145185+0.0137813j 0.0289071+0.0250877j -0.00190509+0.00933076j -0.00660799-0.0249341j -0.0126649+0.00703686j -0.0467597+0.00534603j 0.0113431+0.00964285j -0.0206825-0.00515732j 0.0137093-0.0173909j 0.0139727-0.00101508j -0.0029683-0.0260426j 0.0141582-0.0100256j 0.0599696+0.00735238j 0.0487071+0.0013002j 0.00992723+0.000843958j -0.0135212-0.0173252j 0.00197566-0.0204612j -0.00150659+0.00556846j 0.0233924+0.0310972j -0.0075398-0.0174972j 0.0234052+0.00245587j 0.0158793-0.00484309j 0.0110885+0.0125724j 0.030177-0.0159325j -0.00973023-0.00859079j -0.0579436-0.0479983j -0.0747618-0.0192525j 0.0026106+0.0120158j -0.0225039-0.0231236j -0.0200603-0.00989076j 0.0190497+0.0668391j -0.000529982+0.0358174j 0.0810659+0.0257846j 0.0223222+0.043415j 0.00180113-0.0663439j -0.0479321-0.0223892j 0.0402024+0.0511939j 0.0710763+0.0497802j -0.049217-0.00112907j 0.0402918-0.030756j 
