0.00841982+0.0282027j 0.00900187+0.0131002j -0.0119955-0.00285399j -0.0145625+0.0192048j -0.00999439+0.0133467j -0.00763397+0.0171751j 0.0424253+0.0087529j -0.00886889+0.0133653j -0.00612138-0.0136315j -0.0209584+0.0216075j 0.00288548-0.0193279j -0.0279249-0.00813773j -0.0185777-0.013438j -0.0597829+0.0543073j -0.0103172-0.0293447j -0.0613475-0.0317744j 0.0222358-0.0120222j 0.0235513-0.000943931j -0.0124532-0.058181j -0.0336024+0.0201769j -0.0179543-0.00274782j 0.0493662-0.0147243j -0.0195996+0.0129071j 0.0214379+0.045233j -0.00664531+0.0285115j 0.0350875+0.0497902j -0.0368091+0.0454855j 0.109046-0.11615j -0.179816+0.161287j 0.129434-0.169225j -0.0895052-0.00112064j -0.00619893+0.0209449j -0.261635-0.37651j 0.138653+0.167918j -0.371467+0.0154596j -0.208198+0.271219j 
0.00863652-0.00928099j -0.00144022-0.019444j -0.00665387+0.0221585j 0.00218086+0.00106543j 0.00606659-0.0125596j 0.0284912+0.00688814j -0.00664629-0.0307088j 0.00456415-0.0304119j -0.0210003+0.029498j 0.0195634+0.048536j -0.0309332-0.0181639j -0.0489929+0.0499808j -0.0422622+0.0117692j 0.0285163+0.047771j -0.0160758-0.00758529j -0.0391073+0.0319838j 0.0235039+0.0145062j -0.0111214+0.0547084j 0.0479323+0.0166762j 0.015616-0.0523707j -0.00482389+0.00668382j 0.000174362+0.0531419j 0.00282146-0.0644085j -0.00205301-0.00895787j -0.0661281+0.113424j 0.0241528-0.0363476j -0.0180543+0.0587699j 0.1579-0.209198j 0.124898+0.0775475j -0.126289+0.0903906j 0.112699-0.00907031j -0.136408-0.271925j -0.25067+0.00646308j -0.255185-0.280528j 0.170791-0.222036j -0.272895+0.0968489j 
-0.0221298-0.00462163j 0.00881462+0.00262601j 0.0230744-0.00274136j -0.0531546-0.0285438j -0.0450372+0.00843481j -0.0282502-0.0111053j -0.0289232-0.0450321j 0.00374401-0.119438j -0.00572724+0.0658284j 0.0769047+0.0568375j -0.095884+0.00426663j -0.0486734+0.119151j -0.0690538+0.067303j -0.0529763+0.0296681j -0.0342187+0.0152477j -0.022596-0.038707j -0.0203817-0.00398996j -0.0126441-0.0296865j -0.00912738+0.0310582j 0.0289395-0.0927836j -0.0142567+0.0254997j -0.0125912+0.114743j 0.129657-0.0613232j -0.00598988-0.0801882j -0.115746+0.244542j -0.114944-0.0617674j 0.111503+0.100066j -0.248957+0.144762j -0.217633-0.08729j 0.127452-0.0556543j 0.430923+0.209453j -0.0557296+0.40831j -0.0384272-0.113737j 0.155679-0.112737j -0.00717699-0.00425909j -0.0544812+0.081082j 
0.0210207+0.0293989j -0.0340631-0.0191617j -0.0196826+0.0269839j -0.0424901-0.0358028j -0.0270498-0.129237j 0.00506242-0.0948074j 0.0115389-0.0121172j 0.0108583-0.00504434j -0.00483284+0.037961j 0.0404029+0.00593805j -0.0439297-0.0831388j 0.0181544+0.0872498j -0.101168+0.0538653j -0.00853839+0.0968189j -0.0552413-0.00642289j -0.045729-0.0695285j -0.013264+0.000161526j 0.0292504-0.0158468j 0.0126853-0.0630747j 0.053872-0.0351247j -0.0401123-0.016263j -0.0696219+0.219864j 0.21862-0.0980353j 0.0262735-0.215145j 0.168055-0.278116j -0.459516-0.079396j -0.339971-0.142107j -0.0387436-0.0635746j 0.0334047-0.234746j 0.0118968-0.359437j -0.125127-0.101267j 0.060851-0.0463535j -0.0475415+0.00739149j 0.000908917+0.0165626j -0.039106+0.00344488j -0.000230789+0.0365909j 
0.0661821+0.0351478j 0.0820662+0.0019251j 0.0585991+0.0328051j 0.0690523+0.0384294j 0.00297624+0.0719311j 0.0110091-0.0493953j 0.0632888+0.0584235j -0.0386031+0.206657j -0.0166121-0.054996j -0.14508+0.0347372j 0.0181871-0.134665j 0.121248-0.0373136j -0.0628585+0.0280268j 0.00373953-0.0364693j 0.0496052+0.0325323j 0.048812+0.0109181j 0.000620098-0.0207338j -0.0919682+0.00590746j 0.0756839-0.117236j -0.0390058+0.219787j -0.0562414-0.124027j 0.23195+0.0327552j 0.00563713-0.183474j 0.455298-0.139927j -0.135474+0.162045j -0.204127-0.260236j 0.140612+0.326656j -0.000453625+0.126275j 0.0375272-0.0756698j -0.0866996-0.0205069j 0.065756-0.0552852j -0.00268927-0.0607969j 0.0457629+0.0565909j -0.024913-0.0360467j 0.029598-0.00962453j -0.00689742-0.051255j 
0.0677037+0.102405j -0.072438+0.0758305j 0.157861+0.0458455j 0.0296253+0.187147j -0.0468935+6.9887e-05j 0.016289+0.0703372j 0.140048+0.02263j -0.196808+0.166511j -0.0567685+0.0472506j -0.0181455+0.142998j -0.00398919+0.0879664j -0.046401+0.0328767j 0.0384478+0.0293426j -0.0261124+0.064541j -0.0627077+0.0336312j -0.0344804-0.0326993j -0.0463392-0.128805j 0.0903695+0.114483j 0.257684-0.169397j 0.0815234-0.29129j -0.307636-0.0050293j 0.0663725+0.194875j 0.196601+0.232583j -0.20479-0.0847725j 0.011879-0.0203765j 0.0518626+0.011549j 0.101204-0.0291999j -0.101417+0.128797j 0.0870151+0.018279j -0.00329302+0.101221j -0.0213607+0.0371246j 0.0522179+0.0391094j 0.103233+0.0922335j 0.0554705+0.0446854j 0.0244341+0.0751718j 0.0508219-0.0926534j 
0.00480826+0.0459302j 0.0274872-0.0222045j 0.0528833+0.0827256j -0.0461251+0.0177851j -0.0233278+0.0441072j 0.0595578+0.011331j 0.0309726+0.0358305j -0.0192274+0.071777j -0.0440802+0.0563676j -0.0528953-0.001205j 0.0359227-0.0282652j 0.0464158-0.0352074j 0.019725-0.0174336j 0.0327405+0.0162445j 0.0679234-0.0189625j -0.0111111-0.0516382j -0.0686861+0.123072j -0.0469597-0.0102414j 0.0478659-0.0778676j 0.00915513+0.128732j 0.0916528+0.0322829j 0.119462-0.0295867j -0.00125722+0.0694759j 0.0600915+0.0264116j 0.00640455+0.00751413j 0.0141801+0.0078479j 0.0687573+0.0804743j -0.00633363+0.0894844j -0.21034+0.0579684j 0.187954-0.0553842j -0.163618-0.0176413j -0.00296779+0.0701083j -0.0633915-0.153523j 0.107685+0.206833j -0.0670986+0.107849j 0.102996+0.0694496j 
0.0986231-0.148026j 0.0356002+0.0224049j -0.10729-0.191806j 0.172509+0.0847516j 0.0305407-0.0122373j -0.222538+0.005988j 0.0465849+0.0239125j -0.0386428-0.0105321j 0.148336-0.262693j -0.0145776+0.0571362j -0.00147509-0.0200267j 0.0302019-0.0147117j 0.0318393-0.0148704j -0.0275937+0.0483233j -0.151551-0.0331591j 0.0433839-0.0308551j 0.226666-0.418407j 0.0378601-0.107481j -0.0746278-0.0258252j -0.1511-0.11747j -0.345522-0.203106j -0.135358-0.0737706j -0.0993537-0.099617j 0.0812488+0.0360586j -0.00896563+0.013558j -0.0214186+0.00756513j -0.0665547-0.0117645j -0.00734473-0.0158366j -0.0704668-0.0381676j 0.0527533-0.0487752j 0.0504101+0.00129517j -0.00742006+0.0487987j -0.0214406-0.0450711j 0.0192307-0.0152815j 0.0176883+0.000290373j 0.032595+0.020433j 
-0.0368366-0.0393261j 0.0353766-0.044946j -0.0483846-0.0423984j 0.017479-0.0629058j 0.0344483+0.0115312j -0.0173571-0.0315092j -0.0803012+0.0227299j 0.0978599-0.0513924j 0.029897-0.0404056j 0.00870602-0.11696j 0.0257092+0.0265442j 0.0206633-0.0452816j 0.0210467-0.00133655j 0.0531471-0.0840674j 0.0407476+0.0154388j 0.0716187-0.0187468j 0.0131127+0.0488434j -0.012549-0.105083j -0.0878318+0.12367j -0.0492509+0.0818468j 0.134292+0.0168298j -0.0406046-0.108125j -0.110305-0.068762j 0.0100324+0.0120804j 0.0594286-0.0524932j -0.0380821-0.00492511j 0.0259294-0.0577381j -0.268042+0.106383j 0.0488061-0.108898j -0.0266141+0.0153607j -0.0217621-0.000592384j 0.127381+0.141474j 0.151829+0.132985j 0.116579+0.0699421j 0.0603082+0.0919524j -0.0190781-0.142711j 
0.0571013-0.0392665j 0.00585241+0.0365701j 0.00500668+0.00783192j 0.0555368+0.0595127j 0.0127206+0.015024j -0.0198176+0.0168114j 0.0234536+0.0509037j -0.0559486+0.102219j 0.0330193-0.0787049j -0.0395888-0.00910793j 0.023259-0.0258508j 0.0812697-0.0702009j 0.0695951-0.0591205j -0.0184833-0.031124j 0.0103448-0.00545958j 0.000880299+0.0328268j 0.0398822-0.0788086j -0.0390076-0.0156924j 0.0700637-0.0343776j -0.108485-0.00026002j -0.0603677-0.0535825j 0.0549754-0.0528845j -0.116223+0.0292179j 0.00489528+0.0234252j 0.125746-0.0649866j 0.0185958+0.0123648j -0.00174318+0.0103214j -0.0216752+0.00845485j 0.0323448+0.0454035j 0.0162856-0.0080214j -0.170052-0.0767906j -0.0393094-0.0766743j -0.0223904-0.00201049j 0.104509+0.126003j 0.0525315+0.0592851j -0.0815259-0.024563j 
-0.000548022-0.00320533j 0.00374106+0.0280651j -0.012253-0.0300685j 0.0179818+0.000442162j 0.001065+0.00400289j -0.0300807+0.0254883j 0.00615187+0.00995585j 0.0510013-0.0583001j 0.0248291-0.0315103j 0.0458045+0.0172879j -0.0291039-0.004005j 0.000664571+0.00909036j 0.038682-0.0377836j 0.0416104+0.0022858j -0.0137686-0.0237739j 0.00719095-0.0218631j 0.0368311-0.0443464j 0.0104278-0.0582545j -0.0468146+0.00463791j 0.036383-0.0287693j -0.0583102-0.0110157j -0.0149082-0.0459447j -0.0688511+0.0158008j -0.0299867+0.0523324j -0.122498+0.0324012j 0.0501114+0.0462994j 0.00232675-0.00455135j -0.0312367-0.00515494j 0.0535232+0.030606j 0.0959885+0.0316747j -0.00112201+0.0120933j 0.0935185+0.0182257j -0.0564619-0.0361378j -0.0364521-0.0114573j -0.0551362-0.0166301j -0.0324019+0.024746j 
