-0.718445-0j 0.700737-0j -0.0844039-0j -0.00180959-0j 0.118685-0j -0.0515245-0j -0.00743692-0j -0.00104149-0j -0.0368109-0j -0.000150326-0j -0.00531319-0j 0.0507753-0j 0.00732879-0j 0.0635831-0j 0.00917742-0j -0.0375102-0j -0.00663092-0j -0.000552577-0j -0.000734135-0j -0.0345968-0j -0.000129778-0j 0.033744-0j -1.08148e-05-0j -0.0061159-0j -0.000524491-0j -0.000509659-0j 0.00596516-0j 0.0486485-0j -9.27178e-05-0j 0.000497097-0j 0.0312251-0j -7.72648e-06-0j 0.00859992-0j 0.00551987-0j 0.00071666-0j 0.000459989-0j -0.0295614-0j -0.00492689-0j -0.00301709-0j -0.000566875-0j -0.000615862-0j -3.629e-05-0j -0.0258662-0j -9.44791e-05-0j -0.0172441-0j 0.0252287-0j -5.78564e-05-0j -1.18099e-05-0j -0.00431103-0j -0.000522846-0j -6.95904e-07-0j -0.00287402-0j -0.00263996-0j -0.0106693-0j 0.00420478-0j 0.0342918-0j -0.00175997-0j 0.00257489-0j -0.000538879-0j 0.0180242-0j -8.7141e-05-0j -0.000359253-0j -3.17538e-05-0j 0.000525597-0j 0.0319198-0j -0.00177821-0j -5.33627e-05-0j 0.0057153-0j -2.11692e-05-0j 3.09711e-05-0j 0.0139113-0j -0.00108893-0j 0.00300404-0j -1.08926e-05-0j 0.00349989-0j -0.000222276-0j 0.00183959-0j 0.00531997-0j 0.000714412-0j -6.41854e-07-0j 0.000375505-0j -1.30978e-05-0j 0.0032578-0j 0.00231854-0j 4.20971e-05-0j 0.000664996-0j 2.21268e-05-0j 0.00141981-0j 3.91852e-05-0j 0.000289818-0j 1.70777e-05-0j 
-0.0710151-0j 0.0738534-0j -0.404906-0j 0.486782-0j -0.292276-0j 0.0052422-0j -0.07211-0j 0.0061159-0j -0.0110224-0j -0.0841284-0j 0.15162-0j -0.00519907-0j 0.0715167-0j 0.00220735-0j -0.0303635-0j 0.00381636-0j -0.0318101-0j -0.00806497-0j 0.00431103-0j -0.00341974-0j -0.0359333-0j 0.00355642-0j -0.00911035-0j 0.0285042-0j -0.00906449-0j 0.00722681-0j -0.0296435-0j -0.0024685-0j 0.0755544-0j -0.00751565-0j 0.000811807-0j 0.0191557-0j 0.0205754-0j -0.00676658-0j 0.00521659-0j -0.00171556-0j 0.00300763-0j -0.0236355-0j 0.000306965-0j 0.00332884-0j -0.00597153-0j -0.000707444-0j -0.00255676-0j -0.0261597-0j 0.00175445-0j 0.00265895-0j 0.000339748-0j -0.00660927-0j 0.0200923-0j -0.00298289-0j -0.000782997-0j -0.0137874-0j -0.000260948-0j -0.00533485-0j -0.0208954-0j 0.001791-0j 0.000179063-0j 0.000271378-0j 0.00507634-0j -0.00559078-0j 0.023441-0j -0.00348339-0j 0.000601391-0j -0.00527924-0j -0.00107658-0j 0.041924-0j -0.00030444-0j -0.0140746-0j -0.000412676-0j -0.000625428-0j 0.000289082-0j -0.000544486-0j 0.0439352-0j 0.0059224-0j 0.000182793-0j 0.0105921-0j -0.000570606-0j 0.00846031-0j -0.00355596-0j 0.000701623-0j 0.0111003-0j 0.00125484-0j -0.000109878-0j -0.00227175-0j -0.000421273-0j 0.00213751-0j 0.00131504-0j 2.95043e-05-0j 0.000253229-0j -0.000573961-0j -6.79968e-05-0j 
-0.0738534-0j 0.074574-0j 0.409102-0j -0.488696-0j 0.265139-0j -0.00529653-0j 0.0728573-0j 0.00596516-0j -0.00378402-0j -0.0820548-0j 0.0520518-0j 0.00540363-0j -0.0743305-0j -0.0105409-0j 0.144997-0j -0.00385591-0j 0.0321398-0j 0.00814854-0j 0.00420478-0j -0.00355642-0j -0.0350477-0j 0.00359112-0j -0.0088858-0j 0.0296435-0j 0.00300404-0j 0.00751565-0j -0.0299327-0j -0.00230491-0j -0.0250393-0j -0.00758898-0j -0.00860101-0j -0.00634832-0j 0.0192119-0j 0.0716912-0j 0.00487089-0j 0.0181762-0j -0.0030388-0j 0.0238804-0j -0.000310146-0j 0.00324679-0j 0.00603341-0j 0.000714775-0j -0.00265895-0j -0.0255149-0j -0.00177263-0j 0.00268489-0j 0.000331374-0j -0.00644637-0j 0.0208954-0j 0.00299461-0j -0.000763698-0j 0.0139302-0j -0.000271378-0j -0.00109676-0j -0.0210992-0j -0.00162471-0j -0.000180919-0j 0.000274026-0j 0.00527924-0j 0.00191818-0j -0.0235332-0j 0.00351949-0j 0.000625428-0j -0.00533074-0j -0.00529171-0j 0.0086189-0j 0.000305637-0j 0.0127678-0j 0.000416952-0j -0.00063153-0j -0.0053092-0j -0.000111938-0j -0.015074-0j -0.00594569-0j -0.000165821-0j 0.00217757-0j 0.000195773-0j 0.0415849-0j 0.00322579-0j -0.000704382-0j -0.00380847-0j 0.000257976-0j -0.000540083-0j 0.0417224-0j 0.000382158-0j 0.0105065-0j -0.000451187-0j -0.000541868-0j 0.0012447-0j 0.0105412-0j 0.00124881-0j 
0.0420696-0j 0.0425056-0j -0.00971974-0j 0.0061159-0j 0.00356761-0j -0.28845-0j 0.00043548-0j 0.66181-0j -0.206078-0j -0.000999153-0j 0.000311122-0j -0.294459-0j 0.000444553-0j -0.121458-0j 0.000183369-0j 0.00219646-0j -0.0371219-0j 3.2357e-05-0j 0.00248117-0j -0.00398408-0j -0.0419336-0j -0.00402536-0j 3.65511e-05-0j 0.0673339-0j 0.00177263-0j -5.8691e-05-0j 0.0680316-0j 0.00146235-0j -0.0299588-0j -5.92992e-05-0j 0.000467227-0j 2.61133e-05-0j -0.0247148-0j -0.00789649-0j 2.15424e-05-0j 6.8829e-06-0j 0.00173101-0j 0.000288502-0j -0.0339579-0j 0.00191588-0j -0.00344778-0j 2.12502e-06-0j 0.00151463-0j 0.000319313-0j -0.00498133-0j 0.00153033-0j -0.0375845-0j -0.00381599-0j 0.000252439-0j -0.00347513-0j 2.35196e-06-0j -0.000830222-0j -0.0297131-0j 0.000624754-0j 0.000255055-0j -0.00202716-0j 0.0977207-0j -0.030021-0j -0.00301681-0j 0.00109332-0j -0.000579189-0j 0.00992169-0j 1.85939e-06-0j -0.00304807-0j 0.00063777-0j 0.000104126-0j 0.0681729-0j -0.00033786-0j -6.11517e-06-0j 1.87866e-06-0j 0.000166378-0j -0.012256-0j 0.00018222-0j 0.00692167-0j 0.0397675-0j -0.00124437-0j -0.0214481-0j 0.000106295-0j 0.00403764-0j -4.26613e-06-0j -0.00217765-0j 7.66959e-07-0j -0.0125114-0j 2.77297e-05-0j -2.48857e-06-0j -0.00127029-0j 1.34218e-06-0j -0.0032639-0j 7.82937e-07-0j -0.000331387-0j 2.04248e-07-0j 
-0.00607222-0j -0.00613515-0j -0.133701-0j 0.0841284-0j 0.0490749-0j -0.00043548-0j -0.279423-0j 0.000999153-0j -0.000311122-0j 0.6411-0j -0.19963-0j -0.000444553-0j -0.285244-0j -0.000183369-0j -0.117657-0j -0.000317032-0j 0.0053411-0j -0.0636249-0j -0.000358126-0j 0.000575052-0j 0.00603341-0j 0.000581011-0j -0.071872-0j -0.009688-0j -0.000255857-0j 0.115407-0j -0.0097884-0j -0.000211072-0j 0.00431048-0j 0.116603-0j -6.74384e-05-0j -0.0513478-0j 0.00355596-0j 0.00113615-0j -0.0423598-0j -0.0135342-0j -0.00024985-0j 0.00396853-0j -2.55002e-05-0j -0.000276533-0j -0.0231394-0j -0.00841579-0j -0.000218619-0j 0.00439236-0j 0.000718994-0j -0.000220884-0j -2.82235e-05-0j -0.0256106-0j 0.00347247-0j 0.000501592-0j -0.00931457-0j -0.0114203-0j -2.23127e-05-0j -9.01755e-05-0j 0.00350845-0j 0.000292595-0j 7.3382e-05-0j -2.25439e-05-0j -0.020247-0j -0.000157807-0j -0.00796713-0j 0.0665884-0j -0.00736381-0j -0.0204568-0j -9.20542e-05-0j 0.00143232-0j 5.11935e-05-0j -0.00464749-0j 0.0242181-0j -0.00744013-0j -2.40146e-05-0j -9.2035e-06-0j 0.00250656-0j 0.0464541-0j 2.98629e-05-0j -0.00835146-0j -1.61061e-05-0j 0.00146216-0j 0.0270982-0j 0.0168953-0j -0.0146151-0j -0.00303742-0j -9.39524e-06-0j 0.00038144-0j 0.0098556-0j -0.00852545-0j -0.00531548-0j -2.45098e-06-0j -0.0031007-0j -0.00222407-0j -0.000808893-0j 
0.0505765-0j 0.0507753-0j -0.0061159-0j 0.00012739-0j 0.00859992-0j 0.356938-0j -0.000538879-0j 0.00721496-0j -0.750508-0j -1.08926e-05-0j 0.00113306-0j 0.341735-0j -0.000515926-0j -0.440474-0j 0.000664996-0j -0.00271798-0j 0.045936-0j -4.00397e-05-0j -5.31954e-05-0j 0.00243552-0j 0.000899042-0j 0.00244509-0j -7.83642e-07-0j -0.0411621-0j 0.00011185-0j 3.58785e-05-0j -0.0413239-0j -0.00342472-0j -0.00189035-0j 3.60196e-05-0j 0.00226257-0j 1.64771e-06-0j 0.0578803-0j -0.0382391-0j -5.04509e-05-0j 3.33308e-05-0j -0.00214202-0j -0.000357003-0j 0.0420207-0j -4.10757e-05-0j 0.00426641-0j -2.62957e-06-0j 0.00182091-0j -6.84595e-06-0j -0.00124951-0j 0.00182807-0j 0.000805797-0j 8.18135e-05-0j 0.000303485-0j 3.68069e-05-0j -5.04252e-08-0j -0.000208251-0j -0.0357214-0j 0.00379945-0j 0.000304678-0j 0.00248478-0j 0.0245121-0j -0.0358619-0j -0.00362683-0j -0.00384374-0j 6.13448e-06-0j 0.00248874-0j 2.23538e-06-0j -0.00364109-0j -0.00224706-0j 0.000633241-0j -0.000722054-0j 0.00041413-0j -1.53392e-06-0j 2.24416e-06-0j 0.00100801-0j -0.0745351-0j -0.000640624-0j -7.3311e-05-0j -0.0487449-0j -0.00756763-0j 0.0754041-0j -0.000374511-0j -0.00494912-0j 4.51847e-08-0j 0.00765586-0j 4.66426e-06-0j 0.0440815-0j 0.000168002-0j 3.05036e-06-0j 0.00447564-0j -4.71864e-06-0j -0.0197745-0j -2.75853e-06-0j -0.00200772-0j 1.23745e-06-0j 
-0.00730009-0j -0.00732879-0j -0.0841284-0j 0.00175234-0j 0.118298-0j 0.000538879-0j 0.345769-0j 1.08926e-05-0j -0.00113306-0j 0.00698919-0j -0.727022-0j 0.000515926-0j 0.331041-0j -0.000664996-0j -0.426691-0j 0.000392307-0j -0.00660927-0j 0.0787318-0j 7.67809e-06-0j -0.000351536-0j -0.000129354-0j -0.000352919-0j 0.00154091-0j 0.0059224-0j -1.61442e-05-0j -0.0705495-0j 0.00594569-0j 0.000494315-0j 0.000271984-0j -0.0708269-0j -0.000326574-0j -0.00323996-0j -0.00832782-0j 0.00550185-0j 0.0992037-0j -0.0655398-0j 0.000309173-0j -0.00491081-0j 3.15549e-05-0j 5.92877e-06-0j 0.0286336-0j 0.010414-0j -0.000262825-0j -9.41706e-05-0j 0.000180351-0j -0.000263859-0j 6.05102e-07-0j 0.000549083-0j 0.00417463-0j -5.31262e-06-0j 0.000199701-0j -0.00286464-0j -2.68245e-05-0j -0.000548403-0j 0.00419105-0j -0.000358647-0j 1.8407e-05-0j -2.693e-05-0j -0.0243411-0j 0.000554797-0j 8.43839e-05-0j 0.0167029-0j -0.00885285-0j -0.0244368-0j 0.000324336-0j 0.00871065-0j -5.42217e-07-0j 0.00569664-0j 0.00607484-0j -0.00888766-0j -0.000145494-0j -5.59711e-05-0j -0.00881221-0j -0.000492019-0j -3.66043e-05-0j -0.0507894-0j 5.66237e-05-0j -0.00515164-0j -0.0332155-0j -0.000178947-0j 0.0513816-0j -0.0184721-0j 3.31024e-05-0j 0.00231097-0j -0.0120805-0j 0.0300378-0j 0.0186874-0j -1.48494e-05-0j 0.0109247-0j -0.0134746-0j -0.00490072-0j 
0.0303674-0j 0.0275478-0j 0.00356761-0j -0.00859992-0j 0.00989947-0j -0.208214-0j 0.000314346-0j 0.473206-0j -0.148755-0j -0.000714412-0j 0.00022458-0j -0.190839-0j 0.000288114-0j -0.104965-0j 0.000158468-0j 0.00158549-0j -0.026796-0j 2.33565e-05-0j -0.00348891-0j 0.00146235-0j 0.0589652-0j 0.00132657-0j -5.13965e-05-0j -0.0247148-0j -0.0024926-0j 2.15424e-05-0j -0.02242-0j 0.00405775-0j 0.0421268-0j 1.95422e-05-0j -0.00429546-0j -3.67195e-05-0j -0.068579-0j 0.0725966-0j 5.97763e-05-0j -6.32782e-05-0j 0.00124951-0j 0.000208251-0j -0.0245121-0j -0.00269402-0j -0.00248874-0j 1.53392e-06-0j 0.00109332-0j -0.000449004-0j 0.00072888-0j 0.000991806-0j 0.0528497-0j 0.00536588-0j 0.00018222-0j -0.00248478-0j -3.30723e-06-0j 0.00012148-0j -0.0214481-0j 0.000450972-0j 0.000165301-0j 0.00286026-0j -0.0142987-0j -0.0194566-0j -0.00217765-0j 0.00070858-0j -0.00041413-0j -0.00145176-0j 1.34218e-06-0j -0.00197545-0j 0.000551164-0j 7.51619e-05-0j 0.0487449-0j 0.00047671-0j 8.94785e-07-0j 1.21756e-06-0j -0.00524227-0j -0.00884688-0j 0.000118097-0j 0.00494912-0j -0.0561108-0j -0.000898233-0j -0.0139005-0j 9.18607e-05-0j -0.00569699-0j -3.05036e-06-0j -0.00141133-0j 5.5362e-07-0j -0.0108124-0j -0.000873711-0j 3.5113e-06-0j -0.00109779-0j 8.69865e-07-0j 0.102839-0j 6.76618e-07-0j 0.0104414-0j -6.43549e-06-0j 
-0.00438316-0j -0.00397619-0j 0.0490749-0j -0.118298-0j 0.136174-0j -0.000314346-0j -0.201698-0j 0.000714412-0j -0.00022458-0j 0.458398-0j -0.1441-0j -0.000288114-0j -0.184867-0j -0.000158468-0j -0.10168-0j -0.000228846-0j 0.00385541-0j -0.0459269-0j 0.000503581-0j -0.000211072-0j -0.00848393-0j -0.000191474-0j 0.101063-0j 0.00355596-0j 0.000359776-0j -0.0423598-0j 0.00322579-0j -0.000585685-0j -0.00606121-0j -0.0384267-0j 0.000619997-0j 0.0722031-0j 0.00986715-0j -0.0104452-0j -0.117541-0j 0.124427-0j -0.000180351-0j 0.00286464-0j -1.8407e-05-0j 0.000388849-0j -0.0167029-0j -0.00607484-0j -0.000157807-0j -0.00617635-0j -0.000105205-0j -0.000143155-0j 3.96867e-05-0j 0.0360126-0j 0.00250656-0j 0.000358647-0j 0.0130977-0j 0.00167104-0j -1.61061e-05-0j -6.50921e-05-0j 0.00227383-0j -0.000412843-0j -1.07374e-05-0j -1.46107e-05-0j -0.0146151-0j -0.000102275-0j -0.00569664-0j -0.00974337-0j -0.00531548-0j -0.013258-0j -7.95537e-05-0j 0.0010339-0j 3.66043e-05-0j 0.00655747-0j -0.00354365-0j -0.00482194-0j 0.000756656-0j -6.64344e-06-0j 0.0016245-0j 0.0332155-0j -4.21356e-05-0j -0.0060284-0j -1.04384e-05-0j 0.00126361-0j -0.0382348-0j 0.0120805-0j -0.00947201-0j -0.00219252-0j -8.11942e-06-0j -0.0120185-0j -0.013906-0j -0.00736773-0j -0.00344496-0j 7.72259e-05-0j -0.00267964-0j 0.0700764-0j 0.0254867-0j 
0.0296544-0j 0.0299617-0j 0.00348384-0j 0.00431103-0j 0.00251477-0j -0.00631192-0j -0.000911047-0j 0.00248117-0j 0.0015194-0j 0.000358126-0j 0.000219306-0j 0.00217102-0j 0.00031336-0j 0.000895501-0j 0.000129254-0j -0.223513-0j 0.000273697-0j 2.28081e-05-0j 0.749353-0j -0.206153-0j -0.000917601-0j -0.208289-0j -7.64667e-05-0j 0.000252439-0j -0.180384-0j 2.10366e-05-0j 0.000255055-0j -0.148809-0j 0.000220884-0j 2.12546e-05-0j -0.0475452-0j 1.8407e-05-0j 0.00018222-0j 5.82202e-05-0j 1.5185e-05-0j 4.85168e-06-0j 0.00122017-0j -0.029358-0j 0.000124533-0j 0.00135048-0j 2.54202e-05-0j 1.4979e-06-0j -0.00316869-0j -0.0324934-0j 0.000711766-0j -0.00320153-0j 0.000137833-0j 2.8135e-05-0j 0.0762406-0j 0.00124559-0j 1.65787e-06-0j -0.0171255-0j -0.000323403-0j 0.000440382-0j 0.0770307-0j 0.000726594-0j 7.26443e-05-0j -0.000326755-0j -6.60144e-05-0j 0.000770669-0j -0.0299696-0j 1.48284e-05-0j -3.88994e-06-0j -6.66985e-05-0j 0.000449557-0j -0.0105959-0j 0.000127127-0j -0.0174823-0j 8.73775e-07-0j -3.93025e-06-0j 0.000117278-0j 4.49463e-05-0j -0.0185428-0j 2.59498e-05-0j 7.41577e-05-0j 9.17463e-06-0j 7.86561e-05-0j -0.0108166-0j 1.51374e-05-0j 1.52911e-06-0j 1.60556e-05-0j 5.40621e-07-0j 4.58827e-05-0j -0.00282178-0j 8.91978e-07-0j 9.36577e-06-0j 9.46086e-07-0j 1.19696e-05-0j 5.51883e-07-0j 2.44329e-06-0j 1.43972e-07-0j 
-0.0052422-0j -0.00529653-0j 0.0290385-0j 0.0359333-0j 0.0209611-0j -0.106676-0j -0.0153486-0j 0.0419336-0j 0.025679-0j 0.00603341-0j 0.0036947-0j 0.0366919-0j 0.00527924-0j 0.0151346-0j 0.00217757-0j -0.000273697-0j -0.218106-0j 0.000578393-0j 0.000917601-0j -0.000252439-0j 0.731225-0j -0.000255055-0j -0.00193913-0j -0.201166-0j -0.000220884-0j 0.00053347-0j -0.20325-0j -0.00018222-0j -0.17602-0j 0.000538998-0j -5.82202e-05-0j 0.000466786-0j -0.145209-0j -0.046395-0j 0.000385079-0j 0.000123035-0j -0.000215698-0j 0.00169506-0j 0.00423142-0j -0.000238733-0j -0.0409437-0j 5.07356e-05-0j 0.000560151-0j 0.00187609-0j -0.000125824-0j 0.000565956-0j 0.00468332-0j -0.0453164-0j -0.00440195-0j -0.000220191-0j 5.6154e-05-0j 0.000988785-0j -0.0109887-0j -7.78494e-05-0j -0.00444757-0j -0.000128445-0j 0.00246833-0j -0.0111026-0j 0.106328-0j -0.000136236-0j 0.00173037-0j -0.0238838-0j -0.000131757-0j 0.10743-0j -7.94712e-05-0j 0.00061178-0j 0.00431957-0j 0.00100938-0j 2.95958e-05-0j -0.000133122-0j -2.0732e-05-0j 0.0015272-0j 0.00107061-0j -0.0417967-0j 0.00251975-0j -0.0147774-0j 0.0026726-0j 0.000624525-0j -0.0243814-0j 5.17926e-05-0j -0.0258604-0j 1.83114e-05-0j 0.00155902-0j 0.000162923-0j 3.02123e-05-0j -0.0150852-0j 3.2045e-05-0j 0.000406708-0j 1.86929e-05-0j -0.00393535-0j 4.87651e-06-0j 
