-0.00459308-0j -0.000765513-0j -0.000468779-0j -9.56892e-05-0j -5.63854e-06-0j 1.00464-0j -0.000667723-0j -0.000545194-0j -7.86919e-05-0j -6.81492e-05-0j -8.03146e-06-0j -3.66584e-07-0j -0.00266252-0j -0.00269011-0j 0.102214-0j 0.103273-0j -0.000332814-0j -0.000221876-0j -4.80376e-05-0j -0.000336263-0j -0.000224176-0j -4.85354e-05-0j -5.54691e-05-0j -1.96113e-05-0j -4.62242e-06-0j -5.60439e-05-0j -1.98145e-05-0j -4.90282e-06-0j -4.67032e-06-0j -4.95363e-06-0j -4.08568e-07-0j -4.12802e-07-0j -1.52264e-08-0j -1.53842e-08-0j -0.00200636-0j -0.00248274-0j -0.00144827-0j -0.000312796-0j -0.000387066-0j -0.000225788-0j 0.0588282-0j 0.00849111-0j -0.00022118-0j 0.0727961-0j 0.0105072-0j 0.0424644-0j -3.90995e-05-0j -0.000273697-0j 0.00612921-0j -2.60664e-05-0j -3.25829e-06-0j -0.000159656-0j -2.25741e-05-0j -4.83832e-05-0j -3.22555e-05-0j -4.60792e-06-0j -4.03193e-06-0j -2.82235e-05-0j -2.30396e-06-0j -2.79341e-05-0j -2.71524e-07-0j -1.88157e-05-0j -2.35196e-06-0j -5.70201e-06-0j -1.62949e-05-0j -3.32548e-07-0j -2.85101e-06-0j -3.35994e-07-0j -3.32618e-06-0j -2.14659e-08-0j -1.66309e-06-0j -4.11507e-07-0j -1.95997e-07-0j -6.76112e-10-0j -2.40046e-07-0j -2.65627e-08-0j -8.36646e-10-0j -1.54949e-08-0j -4.88044e-10-0j 
-0.14337-0j -0.00582477-0j 7.56489e-05-0j -0.00147163-0j -0.000174344-0j 0.000667723-0j 0.982746-0j 8.79803e-05-0j -0.00121023-0j -0.000518545-0j -0.000185926-0j -1.41833e-05-0j 0.000429662-0j 0.000434114-0j -0.00320323-0j -0.00323642-0j -0.0103886-0j 3.58051e-05-0j 0.142902-0j -0.0104962-0j 3.61762e-05-0j 0.144383-0j -0.000422062-0j 3.16476e-06-0j -0.000107007-0j -0.000426436-0j 3.19755e-06-0j -7.5402e-05-0j -0.000108116-0j -7.61833e-05-0j -1.26329e-05-0j -1.27638e-05-0j -7.07431e-07-0j -7.14762e-07-0j 0.000323775-0j 0.000400651-0j 0.000233713-0j -0.00238006-0j -0.00294517-0j -0.00171801-0j 3.90995e-05-0j -0.00053784-0j -0.00690399-0j 4.83832e-05-0j -0.000665543-0j 2.82235e-05-0j 0.0575462-0j -0.00854325-0j -0.000388234-0j -0.000198338-0j 0.01459-0j -0.00498356-0j 3.64288e-06-0j 0.0712097-0j -0.000245431-0j -7.08667e-05-0j 0.0180541-0j 0.041539-0j -1.75308e-05-0j 4.50784e-06-0j -8.39553e-06-0j -0.000143168-0j 0.0105316-0j -8.7693e-05-0j 2.62957e-06-0j -7.69837e-06-0j -2.16932e-05-0j -1.03889e-05-0j -5.11543e-05-0j -8.30522e-07-0j -1.26544e-05-0j -9.52625e-06-0j -6.06022e-06-0j -3.66662e-08-0j -5.55698e-06-0j -1.02772e-06-0j -4.53722e-08-0j -5.99503e-07-0j -2.64671e-08-0j 
0.000605192-0j -0.0145613-0j -0.0118723-0j -0.0012054-0j 7.42943e-07-0j 0.000545194-0j 8.79803e-05-0j 0.991467-0j -0.00149684-0j -0.00172594-0j -0.000101173-0j 4.83017e-08-0j 0.000350817-0j 0.000354453-0j 5.54691e-05-0j 5.60439e-05-0j -0.00419249-0j -0.00847011-0j 6.32951e-06-0j -0.00423594-0j -0.00855788-0j 6.39511e-06-0j 0.100874-0j -0.000746302-0j -8.79257e-05-0j 0.101919-0j -0.000754036-0j -0.000124168-0j -8.88369e-05-0j -0.000125455-0j -5.14677e-06-0j -5.2001e-06-0j 2.00626e-09-0j 2.02705e-09-0j 0.000264361-0j 0.00032713-0j 0.000190826-0j 4.12145e-05-0j 5.10004e-05-0j 2.97502e-05-0j -0.00305216-0j 4.60792e-06-0j -0.0042072-0j -0.00377685-0j 5.70201e-06-0j -0.00220316-0j -0.00049254-0j -0.00520614-0j 3.32618e-06-0j -0.000995081-0j 4.29318e-07-0j -0.00303692-0j 0.0825341-0j -0.000609487-0j -0.00123135-0j 0.00837978-0j 5.31254e-07-0j -0.000355534-0j -8.76767e-05-0j 0.102131-0j -5.16482e-06-0j -0.000718287-0j 3.09898e-07-0j 0.0103694-0j 0.0595763-0j -8.42209e-06-0j -0.000108494-0j -6.39114e-06-0j 0.00604885-0j -2.70408e-07-0j -6.32884e-05-0j -1.04218e-05-0j -3.72817e-06-0j 8.90856e-11-0j -6.07938e-06-0j -3.34612e-07-0j 1.10238e-10-0j -1.9519e-07-0j 6.43054e-11-0j 
-8.73519e-05-0j -0.2003-0j -8.91531e-06-0j -0.00808995-0j -0.00294231-0j -7.86919e-05-0j 0.00121023-0j 0.00149684-0j 0.960441-0j 0.000123518-0j -0.00208086-0j -0.000319933-0j -5.06361e-05-0j -5.11608e-05-0j 0.000763014-0j 0.000770921-0j -6.32951e-06-0j 0.00122255-0j -0.00406129-0j -6.39511e-06-0j 0.00123522-0j -0.00410338-0j -0.0145137-0j -3.7297e-07-0j 0.172892-0j -0.0146641-0j -3.76835e-07-0j -0.000414504-0j 0.174684-0j -0.0004188-0j -0.000213199-0j -0.000215409-0j -1.99748e-05-0j -2.01818e-05-0j -3.81572e-05-0j -4.72172e-05-0j -2.75433e-05-0j 0.000566933-0j 0.000701544-0j 0.000409234-0j -4.60792e-06-0j -0.00295665-0j 0.000607257-0j -5.70201e-06-0j -0.00365866-0j -3.32618e-06-0j 7.08667e-05-0j 0.000751442-0j -0.00213422-0j -0.013688-0j -0.000844186-0j 0.000438341-0j 6.19779e-05-0j 8.7693e-05-0j -0.016938-0j 0.0562401-0j -0.00104463-0j 5.11543e-05-0j 4.17586e-06-0j 7.66937e-05-0j 0.0204545-0j -0.00988052-0j -0.000609366-0j 0.0695935-0j 4.4738e-05-0j -8.61594e-05-0j 5.16736e-06-0j 0.0253111-0j 0.0405962-0j -1.87342e-05-0j 3.01429e-06-0j -0.000106617-0j 0.0147648-0j -1.24347e-06-0j -6.21932e-05-0j -2.31824e-05-0j -1.53871e-06-0j -1.3523e-05-0j -8.97583e-07-0j 
-7.56489e-05-0j 0.000594488-0j -0.141135-0j -0.0288696-0j 1.77939e-05-0j -6.81492e-05-0j 0.000518545-0j 0.00172594-0j 0.000123518-0j 0.967429-0j -0.00364737-0j 1.44757e-06-0j -4.38521e-05-0j -4.43066e-05-0j 0.000326928-0j 0.000330316-0j 0.0010536-0j -3.65435e-06-0j 7.5402e-05-0j 0.00106452-0j -3.69222e-06-0j 7.61833e-05-0j -0.00827975-0j -0.0178997-0j 1.09214e-05-0j -0.00836555-0j -0.0180852-0j 0.140674-0j 1.10346e-05-0j 0.142132-0j -0.000247825-0j -0.000250393-0j 7.22018e-08-0j 7.29501e-08-0j -3.30451e-05-0j -4.08913e-05-0j -2.38532e-05-0j 0.000242913-0j 0.00030059-0j 0.000175344-0j 0.00076703-0j 5.48931e-05-0j -3.64288e-06-0j 0.000949151-0j 6.79267e-05-0j 0.000553671-0j -0.0058363-0j -4.50784e-06-0j 3.96239e-05-0j 2.02428e-05-0j 7.69837e-06-0j -2.62957e-06-0j -0.00679638-0j -0.00722206-0j 2.50492e-05-0j -0.00139022-0j 9.52625e-06-0j -0.00421287-0j 0.0991529-0j -0.0084101-0j 8.56865e-07-0j 1.4612e-05-0j 5.55698e-06-0j -0.00172031-0j -0.00490589-0j 0.0143626-0j 0.122695-0j 1.06032e-06-0j -0.00100351-0j -1.62927e-05-0j 0.0715723-0j 0.0177727-0j 6.18518e-07-0j 3.74223e-09-0j 0.0103674-0j -2.01611e-05-0j 4.63078e-09-0j -1.17607e-05-0j 2.70129e-09-0j 
8.91531e-06-0j -0.000213155-0j -0.000174895-0j -0.241911-0j -0.0284171-0j 8.03146e-06-0j -0.000185926-0j -0.000101173-0j 0.00208086-0j 0.00364737-0j 0.936779-0j -0.00466775-0j 5.16803e-06-0j 5.22158e-06-0j -0.000117221-0j -0.000118436-0j -6.17612e-05-0j 4.30669e-07-0j 0.00127026-0j -6.24012e-05-0j 4.35132e-07-0j 0.00128343-0j 0.00147664-0j -1.09941e-05-0j -0.00563938-0j 0.00149194-0j -1.1108e-05-0j -0.0249192-0j -0.00569782-0j -0.0251775-0j 0.19686-0j 0.1989-0j -0.000389798-0j -0.000393838-0j 3.89441e-06-0j 4.81908e-06-0j 2.81113e-06-0j -8.70972e-05-0j -0.000107777-0j -6.287e-05-0j -4.49625e-05-0j 0.00092476-0j 4.29318e-07-0j -5.56383e-05-0j 0.00114433-0j -3.24557e-05-0j 0.00104087-0j 5.31254e-07-0j 0.000667527-0j -7.2581e-06-0j -0.00397513-0j 3.09898e-07-0j -8.42209e-06-0j 0.00128801-0j -8.98144e-06-0j -0.0116493-0j -0.00491898-0j 0.000751337-0j 0.000185284-0j -1.04218e-05-0j -0.00136843-0j -5.23917e-06-0j -0.0028694-0j -0.0144152-0j -6.07938e-06-0j 0.0779817-0j 0.000229277-0j -0.00169334-0j -0.00840889-0j 0.0261315-0j 0.000133745-0j 0.0964974-0j -0.000987783-0j -3.03851e-05-0j 0.0562901-0j 0.0323361-0j -3.75996e-05-0j 0.0188627-0j -2.19331e-05-0j 
-4.06927e-07-0j 1.62605e-05-0j -4.15318e-08-0j -0.000389038-0j -0.308996-0j -3.66584e-07-0j 1.41833e-05-0j -4.83017e-08-0j -0.000319933-0j 1.44757e-06-0j 0.00466775-0j 0.906186-0j -2.35887e-07-0j -2.38331e-07-0j 8.94215e-06-0j 9.03482e-06-0j -2.94859e-08-0j -1.96573e-08-0j -0.000195304-0j -2.97914e-08-0j -1.9861e-08-0j -0.000197328-0j 1.17823e-06-0j -1.73747e-09-0j 0.00268648-0j 1.19044e-06-0j -1.75548e-09-0j -1.99331e-05-0j 0.00271432-0j -2.01397e-05-0j -0.0223898-0j -0.0226219-0j 0.23853-0j 0.241002-0j -1.77755e-07-0j -2.1996e-07-0j -1.2831e-07-0j 6.64418e-06-0j 8.22175e-06-0j 4.79602e-06-0j -2.14659e-08-0j -0.000142182-0j -1.95956e-08-0j -2.65627e-08-0j -0.000175942-0j -1.54949e-08-0j 8.30522e-07-0j -2.42483e-08-0j -0.000102633-0j 5.53682e-07-0j 0.00189367-0j -1.41448e-08-0j -1.99997e-09-0j 1.02772e-06-0j 6.85146e-07-0j -1.87342e-05-0j 0.00234329-0j 5.99503e-07-0j 4.8939e-08-0j -2.47483e-09-0j -0.0148797-0j 3.99669e-07-0j 0.00136692-0j -2.31824e-05-0j -1.44365e-09-0j 0.000193272-0j 6.05589e-08-0j -0.0184127-0j -1.3523e-05-0j 0.0530631-0j 3.5326e-08-0j 0.000239161-0j -0.0107408-0j 0.037733-0j 0.000139511-0j 0.0656622-0j 0.0466922-0j 0.038303-0j 0.0272371-0j 
0.00422305-0j 0.000703842-0j 0.000431014-0j 8.79803e-05-0j 5.18429e-06-0j 6.59142e-05-0j 1.06369e-05-0j 8.68496e-06-0j 1.25357e-06-0j 1.08562e-06-0j 1.27942e-07-0j 5.8397e-09-0j -0.715997-0j 0.698349-0j 0.000387066-0j -0.000377525-0j 0.000306002-0j 0.000204001-0j 4.41676e-05-0j -0.00029846-0j -0.000198973-0j -4.3079e-05-0j 5.10004e-05-0j 1.80314e-05-0j 4.25003e-06-0j -4.97433e-05-0j -1.75869e-05-0j 4.50784e-06-0j -4.14528e-06-0j -4.39673e-06-0j 3.75653e-07-0j -3.66394e-07-0j 1.39998e-08-0j -1.36547e-08-0j 0.00184472-0j 3.95502e-05-0j -0.00259397-0j -0.0841163-0j -0.00180342-0j 0.118281-0j 0.000222771-0j 3.21543e-05-0j 0.000203362-0j 4.77614e-06-0j 6.89376e-07-0j -0.000313252-0j 3.59496e-05-0j 4.36e-06-0j -4.5214e-05-0j 2.39664e-05-0j 2.9958e-06-0j -0.000285958-0j 2.07555e-05-0j 7.70746e-07-0j 5.13831e-07-0j 4.2367e-06-0j 6.42289e-08-0j -5.05508e-05-0j 2.11835e-06-0j 4.44991e-07-0j 2.4965e-07-0j -3.37005e-05-0j -4.21256e-06-0j 9.08333e-08-0j -2.91855e-05-0j 3.05757e-07-0j 4.54167e-08-0j 5.3524e-09-0j -5.95746e-06-0j 1.97366e-08-0j -2.97873e-06-0j 6.55533e-09-0j -3.51047e-07-0j 6.21643e-10-0j -4.29943e-07-0j 4.23145e-10-0j 1.33278e-11-0j -2.77527e-08-0j -8.74128e-10-0j 
-0.000667723-0j 0.00524731-0j -6.81492e-05-0j 0.00132574-0j 0.000157059-0j 0.00253045-0j 7.93003e-05-0j -1.37321e-06-0j 1.88895e-05-0j 8.09355e-06-0j 2.90196e-06-0j 2.21375e-07-0j -0.000387066-0j 0.000377525-0j -0.700638-0j 0.683369-0j -4.83832e-05-0j -3.22555e-05-0j 0.000665543-0j 4.71907e-05-0j 3.14604e-05-0j -0.000649139-0j 0.00038022-0j -2.85101e-06-0j 9.63989e-05-0j -0.000370848-0j 2.78074e-06-0j 6.79267e-05-0j -9.40229e-05-0j -6.62525e-05-0j 1.13805e-05-0j -1.11e-05-0j 6.37297e-07-0j -6.21589e-07-0j -0.000291676-0j -6.25343e-06-0j 0.000410143-0j 0.0021441-0j 4.59687e-05-0j -0.00301494-0j 0.0085522-0j -0.117641-0j -3.21543e-05-0j 0.000183356-0j -0.00252218-0j -0.0120257-0j 0.000268013-0j -6.89376e-07-0j 0.165422-0j 0.000178675-0j 6.79505e-05-0j 4.5214e-05-0j -3.28173e-06-0j 5.74609e-06-0j 3.83073e-06-0j 6.3841e-05-0j 1.45683e-06-0j -0.000376868-0j 1.57928e-05-0j -7.03592e-08-0j 7.56321e-06-0j -0.000251245-0j -9.55491e-05-0j 1.36873e-06-0j 4.61463e-06-0j 6.93517e-06-0j 3.38592e-07-0j 1.62153e-07-0j -8.97705e-05-0j 7.48186e-07-0j -2.22071e-05-0j 1.48688e-07-0j -1.06351e-05-0j 3.30312e-08-0j -9.75194e-06-0j 1.60408e-08-0j 7.08177e-10-0j -1.05207e-06-0j -4.64471e-08-0j 
0.102107-0j -8.79803e-05-0j 0.0103556-0j 0.00105142-0j -6.48036e-07-0j -8.23927e-06-0j 0.000257183-0j 0.000103791-0j -1.56696e-07-0j 2.60834e-05-0j 1.52898e-06-0j -7.29963e-10-0j -0.000306002-0j 0.00029846-0j -4.83832e-05-0j 4.71907e-05-0j -0.707351-0j -2.55002e-05-0j 0.00106791-0j 0.689916-0j 2.48717e-05-0j -0.00104158-0j 0.000609487-0j 0.000650966-0j -5.31254e-07-0j -0.000594464-0j -0.000634921-0j 0.000108307-0j 5.1816e-07-0j -0.000105637-0j 4.48929e-06-0j -4.37864e-06-0j -1.74997e-09-0j 1.70684e-09-0j -0.00023059-0j -4.94377e-06-0j 0.000324246-0j -3.59496e-05-0j -7.70746e-07-0j 5.05508e-05-0j 0.00266226-0j -4.01929e-06-0j 0.00491698-0j 5.70779e-05-0j -8.6172e-08-0j -0.00374356-0j -0.0831006-0j 0.000105418-0j 5.65175e-06-0j -2.9958e-06-0j 7.24339e-05-0j -0.00691404-0j 0.000498677-0j -0.00178165-0j -6.42289e-08-0j 5.06313e-05-0j 1.55296e-06-0j 0.116852-0j 7.64765e-05-0j 1.06915e-05-0j -3.12062e-08-0j 4.21256e-06-0j -0.000101853-0j 1.08552e-06-0j -0.000701219-0j 7.34621e-06-0j 1.63963e-06-0j -6.69051e-10-0j -7.11955e-05-0j 2.35864e-07-0j -0.000107538-0j 1.575e-07-0j 4.38809e-08-0j -7.77054e-11-0j -1.03299e-05-0j 5.05685e-09-0j -1.66598e-12-0j -3.31662e-07-0j 1.09266e-10-0j 
-0.000351921-0j 0.0169935-0j -3.59178e-05-0j -7.33169e-06-0j -4.32024e-07-0j -5.49285e-06-0j -8.86405e-07-0j 0.000209689-0j 3.0266e-05-0j -9.04683e-08-0j -1.06618e-08-0j -4.86642e-10-0j -0.000204001-0j 0.000198973-0j -3.22555e-05-0j 3.14604e-05-0j -2.55002e-05-0j -0.708577-0j -3.68063e-06-0j 2.48717e-05-0j 0.691112-0j 3.58991e-06-0j 0.00123135-0j -1.50261e-06-0j 0.000102612-0j -0.001201-0j 1.46558e-06-0j -3.75653e-07-0j -0.000100083-0j 3.66394e-07-0j -3.13044e-08-0j 3.05328e-08-0j -1.16665e-09-0j 1.13789e-09-0j -0.000153727-0j -3.29585e-06-0j 0.000216164-0j -2.39664e-05-0j -5.13831e-07-0j 3.37005e-05-0j -1.85643e-05-0j -2.67952e-06-0j 0.00490995-0j -3.98012e-07-0j -5.7448e-08-0j 2.61043e-05-0j -2.9958e-06-0j 0.000105268-0j 3.76783e-06-0j -0.0832446-0j -2.4965e-07-0j -0.00690416-0j 0.000501119-0j -6.42289e-08-0j -0.00178474-0j 0.000102291-0j -5.3524e-09-0j 4.21256e-06-0j -1.76529e-07-0j 1.07438e-05-0j 6.02753e-06-0j 0.117055-0j 3.51047e-07-0j 2.19307e-06-0j -0.000704653-0j -2.54798e-08-0j -3.78472e-09-0j 1.29228e-07-0j -0.000143837-0j -1.64471e-09-0j 2.48228e-07-0j -5.46277e-10-0j -8.47565e-06-0j -5.18036e-11-0j 3.58286e-08-0j -3.52621e-11-0j -1.11065e-12-0j 2.31273e-09-0j 7.2844e-11-0j 
