-0.294042-0j -0.363858-0j -0.212251-0j 0.10756-0j -0.0428542-0j -0.0262427-0j -0.0374974-0j -0.0154669-0j -0.0232169-0j -0.00335106-0j 0.0767964-0j 0.0110846-0j -0.0214136-0j -0.00309079-0j -0.0216355-0j -0.0187369-0j -0.00312282-0j -0.00270444-0j -0.0154572-0j -0.00223105-0j -0.00493864-0j -0.000712831-0j -0.017294-0j -0.00305717-0j -0.000254764-0j -0.0191409-0j -0.00338366-0j 0.0443106-0j -0.000281972-0j -0.0100881-0j 0.0447697-0j 0.00783307-0j -0.00178335-0j -0.0176542-0j 0.000652756-0j 0.00791425-0j -0.00624172-0j -0.000148612-0j -0.0102983-0j 0.000659521-0j -0.00312086-0j -0.010923-0j -0.00110339-0j -0.000260072-0j -0.0018205-0j -0.00637175-0j -9.19492e-05-0j -0.00193093-0j -0.000151708-0j -0.00166223-0j -0.00112638-0j -0.000160911-0j -9.38648e-05-0j -0.000293843-0j -2.44869e-05-0j -0.0138573-0j -0.00230955-0j -0.0014143-0j -0.000288694-0j -0.0151227-0j -1.70114e-05-0j -0.00252045-0j -0.011714-0j -0.00154345-0j -0.0118354-0j -0.000315056-0j 0.0313126-0j -1.85649e-05-0j -0.00195233-0j 0.0387474-0j -0.00119555-0j -0.00197256-0j 0.00521877-0j -0.00882158-0j 0.0226026-0j -0.00120794-0j -0.000244042-0j 0.00319583-0j -0.00763971-0j -0.000246571-0j -1.43803e-05-0j 0.000652346-0j 0.0064579-0j -0.0109161-0j -1.45293e-05-0j -0.00147026-0j 0.00395464-0j -0.00545807-0j 3.84399e-05-0j 0.00376711-0j -0.00450268-0j -0.000900348-0j -0.00127329-0j 0.00230687-0j 0.000807237-0j -0.00551463-0j -0.000779725-0j -0.00181936-0j -0.000183783-0j 4.75669e-05-0j 0.000470888-0j -0.00249178-0j -0.000909679-0j -0.000159161-0j -0.00111412-0j -0.000750447-0j -1.08295e-05-0j 2.77474e-05-0j -0.000549385-0j -0.000557062-0j -0.000919106-0j -0.00022742-0j -0.000459553-0j -9.37863e-06-0j -0.00011371-0j -0.000562835-0j -1.34008e-05-0j -0.000415296-0j -9.38058e-05-0j -0.000254316-0j -0.000114888-0j -6.70042e-06-0j -9.15642e-05-0j -5.52756e-06-0j -5.1912e-05-0j -5.60714e-05-0j -6.76985e-06-0j -3.05895e-06-0j -1.14455e-05-0j -6.74434e-07-0j 
-0.666997-0j 0.00840193-0j -0.480548-0j 0.0428542-0j -0.00192401-0j 0.0306165-0j -0.0420152-0j -0.0527055-0j 0.0270863-0j 0.00390958-0j 0.000605596-0j 8.74102e-05-0j -0.0485741-0j -0.00701107-0j 0.0471347-0j 0.000432658-0j 0.00680331-0j 6.24489e-05-0j -0.034996-0j -0.00505123-0j -0.0224768-0j -0.00324425-0j 0.0201763-0j 0.0035667-0j 0.000297225-0j 0.000441987-0j 7.81329e-05-0j 0.0176542-0j 6.51108e-06-0j -0.0575368-0j -0.0171311-0j 0.00312086-0j -0.0101712-0j -0.000792618-0j 0.000260072-0j -0.00302838-0j 0.007282-0j -0.000847598-0j 0.0453337-0j -0.000252365-0j -0.000140116-0j -0.0122391-0j 0.00128729-0j -1.16764e-05-0j 0.00801395-0j -0.0217126-0j 0.000107274-0j -0.00216358-0j 0.000667829-0j -0.00946604-0j -0.00383828-0j -0.000180298-0j -0.000319857-0j -0.00167337-0j -0.000139448-0j 0.0161669-0j 0.00269448-0j 0.00165002-0j 0.000336809-0j 0.000349202-0j 1.98467e-05-0j 5.82003e-05-0j 0.0136663-0j 3.56402e-05-0j -0.0132614-0j 7.27504e-06-0j -0.0242566-0j 4.28686e-07-0j 0.00227772-0j 0.000305551-0j 0.00139481-0j -0.00221023-0j -0.00404276-0j -0.000995821-0j -0.017476-0j -0.00135348-0j 0.000284715-0j -0.00247567-0j -0.0173297-0j -0.000276278-0j 1.6777e-05-0j -0.000505345-0j 5.09252e-05-0j 0.0237817-0j -1.62799e-05-0j -0.00016597-0j 3.11852e-05-0j 0.000126034-0j -2.97777e-05-0j -0.00291267-0j 0.0298327-0j -0.000101636-0j -0.00288829-0j -0.00178364-0j 6.36566e-06-0j -0.0124855-0j -0.00176871-0j 0.00396362-0j -2.07463e-05-0j 3.751e-07-0j -0.000364083-0j -0.0113406-0j 2.10056e-05-0j -0.000361036-0j 0.00242721-0j 0.00497211-0j -1.22249e-06-0j -2.14538e-05-0j -0.00375689-0j 1.28632e-05-0j -0.00208091-0j 0.000495452-0j 0.00304478-0j -2.12742e-05-0j 2.6257e-06-0j -0.00127429-0j 2.91948e-05-0j -0.0018901-0j 0.000621514-0j -0.00115745-0j -0.000260114-0j 1.54721e-07-0j -0.000626149-0j 3.6623e-05-0j -0.000236263-0j -0.000383436-0j -1.53274e-05-0j -1.39219e-05-0j -7.82686e-05-0j -4.61202e-06-0j 
0.210074-0j -0.759919-0j 0.151639-0j 0.0262427-0j 0.0306165-0j 0.0159276-0j -0.0783134-0j 0.0110501-0j 0.0165869-0j 0.00239412-0j 0.0187369-0j 0.00270444-0j -0.0447224-0j -0.00645512-0j 0.0154572-0j 0.0113721-0j 0.00223105-0j 0.00164142-0j -0.0322823-0j -0.00465955-0j 0.00352834-0j 0.000509271-0j 0.0123554-0j 0.00218415-0j 0.000182012-0j 0.0136749-0j 0.00241741-0j -0.0316037-0j 0.000201451-0j 0.00720732-0j 0.010923-0j -0.00558679-0j 0.00127409-0j -0.0368709-0j -0.000465566-0j 0.00193093-0j 0.0549318-0j 0.000106174-0j 0.00735747-0j 0.000160911-0j -0.00651792-0j 0.00662954-0j 0.00971066-0j -0.00054316-0j 0.00130063-0j -0.0133074-0j 0.000809221-0j 0.00117195-0j 0.000108386-0j 0.00118755-0j -0.00235244-0j 9.76624e-05-0j -0.000196037-0j 0.000209932-0j 1.74943e-05-0j 0.00990013-0j 0.00165002-0j 0.00101043-0j 0.000206253-0j 0.0108042-0j 1.21536e-05-0j 0.0018007-0j -0.0244647-0j 0.0011027-0j 0.00845561-0j 0.000225087-0j 0.00763971-0j 1.32634e-05-0j -0.00407745-0j -0.0276358-0j -0.00249692-0j 0.00140927-0j 0.00127329-0j 0.00630244-0j 0.00551463-0j 0.000862997-0j -0.000509681-0j 0.000779725-0j 0.0046368-0j 0.000176159-0j -3.00333e-05-0j 0.000159161-0j -0.00460597-0j -0.0227984-0j 1.03802e-05-0j 0.00105041-0j -0.00282057-0j 0.0480351-0j 9.37863e-06-0j 0.000919106-0j 0.00321687-0j 0.00064324-0j 0.0007728-0j 0.000562835-0j -0.000575746-0j 0.00334702-0j 0.000473241-0j -0.00379973-0j 0.000131301-0j -3.39262e-05-0j 0.000114888-0j -0.00520408-0j 0.00800585-0j 9.66e-05-0j -0.00232685-0j 0.000536145-0j 7.73698e-06-0j 6.76985e-06-0j 0.0003925-0j 0.00490256-0j 0.000557837-0j -0.000474967-0j 0.00032832-0j 5.69221e-06-0j 0.00100073-0j 0.000341604-0j -2.79877e-05-0j -0.000867347-0j 6.70181e-05-0j -0.000531139-0j 6.97296e-05-0j 5.89687e-05-0j 6.54166e-05-0j 3.94908e-06-0j -0.000108418-0j 4.00593e-05-0j 4.10885e-06-0j -6.38861e-06-0j 8.17708e-06-0j 4.81839e-07-0j 
-0.300168-0j -0.343053-0j -0.191451-0j -0.0374974-0j 0.0420152-0j 0.0783134-0j -0.0367817-0j -0.0740197-0j -0.0237005-0j -0.00342088-0j 0.0257128-0j 0.00371133-0j 0.0210214-0j 0.00303417-0j 0.022069-0j -0.0537013-0j 0.00318538-0j -0.00775111-0j 0.0134077-0j 0.00193523-0j -0.0525028-0j -0.00757813-0j -0.0176542-0j -0.00312086-0j -0.000260072-0j 0.0187662-0j 0.00331743-0j 0.014855-0j 0.000276452-0j -0.0102983-0j 0.0155953-0j 0.00262602-0j -0.0018205-0j -0.0166448-0j 0.000218835-0j 0.00275689-0j 0.0311256-0j -0.000151708-0j -0.00928911-0j 0.000229741-0j -0.00294241-0j -0.0325709-0j 0.00550229-0j -0.000245201-0j -0.0016421-0j 0.0293237-0j 0.000458524-0j -0.00575777-0j -0.000136842-0j -0.0306482-0j 0.00518375-0j -0.000479814-0j 0.000431979-0j -0.00541788-0j -0.00045149-0j -0.014146-0j -0.00235767-0j -0.00144377-0j -0.000294708-0j 0.0148267-0j -1.73658e-05-0j 0.00247111-0j 0.0114994-0j 0.00151324-0j 0.0120725-0j 0.000308889-0j -0.0109161-0j 1.82014e-05-0j 0.00191657-0j -0.0124758-0j 0.00117365-0j 0.00201208-0j -0.00181936-0j 0.00864888-0j -0.00696246-0j 0.00123214-0j 0.000239571-0j -0.00111412-0j 0.0227984-0j 0.00025151-0j 1.41169e-05-0j -0.00022742-0j -0.00207929-0j -0.0107078-0j 1.48204e-05-0j 0.00144148-0j -0.0012733-0j -0.0261404-0j -1.34008e-05-0j -0.00116041-0j -0.0215484-0j 0.000882723-0j 0.00379973-0j -0.000710603-0j -0.000259912-0j 0.0145411-0j 0.00232685-0j -0.00178463-0j 0.000180185-0j -1.53154e-05-0j -0.000145051-0j 0.0254742-0j -0.00435674-0j 0.000474967-0j -0.00109286-0j -0.0035914-0j 1.06175e-05-0j -8.54723e-06-0j -0.0154963-0j -0.00266795-0j 0.00242352-0j -0.000223079-0j -0.00219928-0j 2.79877e-05-0j -0.000544592-0j 0.0014841-0j -1.3145e-05-0j 0.00424569-0j -0.000448926-0j 0.00259995-0j 0.00030294-0j -3.20904e-05-0j -0.00258272-0j -2.64532e-05-0j 0.000530712-0j -0.00158158-0j 1.78509e-05-0j 3.12725e-05-0j -0.00032284-0j -1.90235e-05-0j 
0.123813-0j -0.447502-0j 0.109356-0j 0.0154669-0j -0.0527055-0j 0.0110501-0j 0.0740197-0j -0.0896241-0j 0.00977597-0j 0.00141104-0j -0.0322551-0j -0.00465563-0j 0.00901668-0j 0.00130145-0j 0.0427085-0j -0.0230442-0j 0.00616443-0j -0.00332614-0j 0.00796386-0j 0.00114948-0j -0.0385939-0j -0.00557055-0j 0.007282-0j 0.00128729-0j 0.000107274-0j -0.023541-0j -0.0041615-0j 0.00637175-0j -0.000346792-0j 0.00424784-0j 0.0301805-0j 0.00112638-0j 0.000750918-0j -0.0217126-0j 9.38648e-05-0j 0.0053352-0j 0.00262821-0j 6.25765e-05-0j 0.00530591-0j 0.0004446-0j -0.00383828-0j 0.021562-0j 0.000464607-0j -0.000319857-0j 0.000937961-0j -0.0369216-0j 3.87173e-05-0j 0.00381165-0j 7.81634e-05-0j 0.0214839-0j -0.00652688-0j 0.000317638-0j -0.000543907-0j 0.00379786-0j 0.000316488-0j 0.00583493-0j 0.000972488-0j 0.000595525-0j 0.000121561-0j -0.0185991-0j 7.16305e-06-0j -0.00309985-0j 0.00493244-0j -0.00189826-0j 0.023363-0j -0.000387482-0j 0.00450268-0j -2.28326e-05-0j 0.000822073-0j -0.0162742-0j 0.000503415-0j 0.00389383-0j 0.000750447-0j -0.0108495-0j 0.00397693-0j 0.00238448-0j 0.000102759-0j 0.000459553-0j 0.00321687-0j 0.000486729-0j 6.05514e-06-0j 9.38058e-05-0j -0.00271237-0j 0.0215484-0j 2.86808e-05-0j -0.00180825-0j -0.00166098-0j -0.00671278-0j 5.52756e-06-0j 0.000662822-0j -0.0260911-0j -0.00110732-0j 0.000536145-0j 0.000405894-0j -0.000339046-0j 0.00284126-0j 0.00032832-0j 0.0035914-0j -0.000226031-0j -1.99785e-05-0j 8.28527e-05-0j -0.0194724-0j -0.0011188-0j 6.70181e-05-0j 0.00219928-0j -0.00434852-0j -1.3319e-05-0j 4.88214e-06-0j 0.0462707-0j -0.00068512-0j 0.000473543-0j 0.000448926-0j -0.00266292-0j 3.94908e-06-0j -0.00013985-0j 0.000289984-0j 2.64532e-05-0j -0.0032454-0j -0.000543565-0j -0.0019874-0j 5.91928e-05-0j -8.24071e-06-0j 0.00771178-0j -3.20299e-05-0j -0.000405675-0j 0.00472248-0j 3.48797e-06-0j -2.39047e-05-0j 0.000963973-0j 5.68027e-05-0j 
0.0379368-0j 0.0469444-0j 0.0273842-0j -0.222882-0j -0.260029-0j -0.159234-0j -0.227525-0j -0.0938493-0j -0.0117221-0j 0.160837-0j 0.00338366-0j -0.0464265-0j 0.00276275-0j -0.0379071-0j 0.00279138-0j 0.00241741-0j -0.0382999-0j -0.0331687-0j 0.00199426-0j -0.0273628-0j 0.000637175-0j -0.00874254-0j 0.00223124-0j -0.0185501-0j -0.00470327-0j -0.00966418-0j 0.0803464-0j 0.00195233-0j 0.0203713-0j 0.00130156-0j 0.00197256-0j -0.0162314-0j -0.0108209-0j 0.00227772-0j -0.00411537-0j -0.0163996-0j 0.000805296-0j -0.00274358-0j 0.00132867-0j -0.00415801-0j -0.0189366-0j 0.00140927-0j -0.0066951-0j -0.00480126-0j -0.0110464-0j 0.000822073-0j -0.0016975-0j -0.0117164-0j -0.00280073-0j 0.000214458-0j -0.00683458-0j -0.00297063-0j -0.00173287-0j -0.00178297-0j -0.000452061-0j 0.00178785-0j -0.0140138-0j 0.000182471-0j -0.00354069-0j 0.00195111-0j -0.000419469-0j -0.0152935-0j -0.00591436-0j 0.000199134-0j -0.00597565-0j -0.00386402-0j 0.00137964-0j -0.000457774-0j 0.0463589-0j 0.00170722-0j -0.000603632-0j 0.0468393-0j -0.0108141-0j 0.00113815-0j 0.000995877-0j -0.000609887-0j 0.0117129-0j 0.000140809-0j 0.000985663-0j 0.0118343-0j 0.00138764-0j -0.00273227-0j -0.0133818-0j 0.00140838-0j 0.00140202-0j -0.0089212-0j 0.000174242-0j 0.000704192-0j -0.000323695-0j -0.00780605-0j 0.000580928-0j 0.000116161-0j -0.00772598-0j 0.000101641-0j -0.00338102-0j 0.000711489-0j 0.000100599-0j -0.0110394-0j -0.00225401-0j -0.000400552-0j -0.00197226-0j 0.000321485-0j -0.00551971-0j -0.00195203-0j 0.000143742-0j -0.00455353-0j -0.000267035-0j -0.000233655-0j 7.08808e-05-0j 7.18712e-05-0j -0.00557691-0j -0.0027892-0j 5.92908e-05-0j -0.000231259-0j -0.0013946-0j 7.2616e-05-0j -0.000330439-0j -0.00251992-0j -0.00115048-0j 3.28114e-05-0j -0.00140905-0j -0.000165219-0j -0.000555589-0j -0.000136299-0j -0.000636676-0j 7.23424e-06-0j -0.000166932-0j -7.54277e-05-0j -0.000140374-0j -1.66302e-05-0j 
-0.0428542-0j -0.00104958-0j 0.0600308-0j -0.737245-0j 0.00581371-0j 0.179874-0j -0.246843-0j -0.309649-0j -0.00338366-0j 0.0464265-0j 0.000221526-0j -0.00303951-0j -0.00312086-0j 0.0428206-0j 0.00302838-0j -5.40483e-05-0j -0.0415517-0j 0.000741585-0j 0.00437175-0j -0.0599838-0j 0.00280783-0j -0.0385257-0j -0.00252045-0j 0.0209546-0j 0.00531291-0j -5.52136e-05-0j 0.000459037-0j 0.0064579-0j 0.000116386-0j -0.00147026-0j -0.00626654-0j -0.0536899-0j 0.0122235-0j -5.09252e-05-0j -0.0136127-0j 0.052099-0j -0.000909679-0j 0.0030992-0j 0.00291267-0j 0.0132094-0j 0.000423384-0j 0.00152892-0j 0.00756292-0j 0.000107346-0j -0.0242154-0j 0.00271237-0j 0.00191753-0j -0.0127112-0j -0.00613968-0j 0.00118251-0j -0.0225502-0j -0.00322285-0j -0.00571747-0j -0.00983121-0j -0.00249264-0j -0.00201959-0j 0.0158303-0j -0.000206123-0j 0.00399964-0j -4.36228e-05-0j 0.000473841-0j 0.000341931-0j -0.00170722-0j -4.45223e-06-0j 0.00165663-0j 8.63916e-05-0j 0.00456355-0j 1.02349e-05-0j 0.0133818-0j 0.00011177-0j -0.000174242-0j -0.0129853-0j -0.0357708-0j -2.54466e-05-0j -0.0063927-0j 0.000169079-0j 0.00338102-0j 0.000465766-0j -0.00111342-0j -0.00328083-0j 0.000400552-0j -0.00903777-0j -0.000876096-0j 0.00152796-0j -0.000388683-0j 0.00019946-0j 1.14075e-05-0j -1.57443e-05-0j -0.00107071-0j 0.0501083-0j 0.00191673-0j -2.59714e-06-0j 0.00872742-0j -0.000652452-0j -0.000221353-0j 0.0015597-0j -0.000113638-0j -0.0119767-0j 5.03951e-05-0j -2.62239e-05-0j 0.0126602-0j 0.00141668-0j 0.00012341-0j 0.00220505-0j 0.000155947-0j -0.015024-0j 5.97036e-06-0j 0.00149987-0j 0.000469317-0j -1.6069e-06-0j -0.0122255-0j -0.00302601-0j 0.000195626-0j 0.000261235-0j 3.11804e-05-0j 0.000159186-0j -0.000358494-0j -0.0111045-0j -0.00379594-0j 0.00014459-0j -0.00308887-0j 3.69397e-06-0j -0.00367867-0j -0.000449709-0j -0.00280564-0j 4.78994e-05-0j -0.000365942-0j -0.000332387-0j -0.000929446-0j -0.000110112-0j 
0.0680323-0j 0.0416377-0j -0.0252573-0j 0.205571-0j -0.466311-0j -0.429335-0j -0.201805-0j 0.0865601-0j -0.00276275-0j 0.0379071-0j -0.00312086-0j 0.0428206-0j -0.00476444-0j 0.0653719-0j 0.0050058-0j 0.00651792-0j -0.0686835-0j -0.089431-0j 0.00176882-0j -0.0242696-0j -0.000587687-0j 0.00806352-0j -0.00205794-0j 0.0171094-0j 0.00433798-0j -0.00227772-0j 0.0189366-0j 0.00173164-0j 0.00480126-0j 0.00586864-0j -0.00181936-0j -0.0143965-0j -0.0487909-0j -0.003928-0j -0.00365015-0j 0.0151258-0j 0.00362829-0j -0.0123706-0j 0.00238271-0j 0.00383506-0j 0.0326567-0j 0.00379973-0j -0.030165-0j 0.00827991-0j -0.0198095-0j 0.000729144-0j -0.00764815-0j -0.0315904-0j -0.00502258-0j -0.000197801-0j -0.00606198-0j -0.00800954-0j -0.00153698-0j 0.00164449-0j 0.00041695-0j -0.00164899-0j 0.0129253-0j -0.000168299-0j 0.00326569-0j -0.00179957-0j 0.00038689-0j 0.0141056-0j 0.00134048-0j -0.000183667-0j -0.00140838-0j 0.0035639-0j 0.00247412-0j 0.000422219-0j -0.0105071-0j 0.00151423-0j 0.000136812-0j 0.0110394-0j -0.019393-0j 0.00513183-0j -0.000918528-0j -0.000143742-0j -0.00265471-0j 0.000252514-0j -0.0051672-0j 0.0027892-0j -0.000314506-0j -0.0048998-0j -0.0118691-0j -0.0024288-0j 0.000330439-0j -0.0402252-0j 0.000154545-0j 0.00317276-0j -0.000580485-0j 0.00719976-0j 0.00104178-0j 0.000523766-0j 0.0405024-0j -9.37469e-05-0j -0.00299882-0j 0.00191835-0j -0.000527375-0j 0.0190378-0j -0.0101632-0j -0.000355273-0j 0.00181908-0j 0.000285143-0j -0.0248692-0j 0.0102333-0j -0.000247888-0j -0.00816587-0j -0.00120405-0j 0.000215508-0j -6.53755e-05-0j 0.000323818-0j -0.0150367-0j 0.00481005-0j 0.000106327-0j 0.00121234-0j -0.00628341-0j 0.000195791-0j 0.000569851-0j -0.00223506-0j -0.00206317-0j 2.91023e-05-0j -0.00379914-0j -0.000744401-0j 0.000512437-0j -0.000244426-0j -0.000564705-0j -6.67236e-06-0j -0.000450088-0j -6.69011e-05-0j 0.000129471-0j 1.53386e-05-0j 
-0.0687373-0j -0.0420152-0j 0.0225485-0j -0.207701-0j -0.452493-0j -0.148389-0j 0.211862-0j -0.410001-0j 0.00279138-0j -0.0382999-0j -0.00302838-0j 0.0415517-0j -0.0050058-0j 0.0686835-0j 0.00505371-0j -0.00216358-0j -0.0693409-0j 0.029686-0j 0.0016421-0j -0.0225309-0j 0.00618363-0j -0.0848442-0j 0.00207927-0j -0.0172867-0j -0.00438293-0j -0.00221023-0j 0.0183755-0j 0.00181936-0j 0.00465899-0j -0.00592946-0j -0.00183677-0j -0.0151258-0j 0.0492965-0j 0.00396362-0j -0.00383506-0j 0.0152706-0j 0.000750447-0j 0.0124988-0j -0.00212717-0j 0.00387177-0j -0.0329529-0j -0.00131225-0j -0.00623909-0j -0.00835499-0j 0.017685-0j 0.0035914-0j -0.00158188-0j 0.0109099-0j 0.00448392-0j 0.00360965-0j -0.0298584-0j 0.00276613-0j -0.0075704-0j -0.0300101-0j -0.00760887-0j 0.00166607-0j -0.0130593-0j 0.000170043-0j -0.00329953-0j -0.00174624-0j -0.000390899-0j 0.0136877-0j 0.00140838-0j -0.000178225-0j -0.00142186-0j 0.0034583-0j -0.00249976-0j 0.000409708-0j -0.0110394-0j -0.00152796-0j 0.000143742-0j 0.0111451-0j 0.019594-0j 0.00497977-0j 0.000820018-0j -0.000145118-0j -0.0027892-0j -0.00025513-0j -0.00178591-0j 0.00281589-0j -0.000330439-0j 0.00495058-0j 0.0119767-0j 0.00254984-0j 0.000333602-0j -0.0390332-0j -0.000155947-0j -0.000630252-0j 0.0005865-0j -0.0064276-0j -0.00493451-0j 0.000508245-0j 0.0139986-0j 8.36928e-05-0j 0.00302601-0j 0.000585849-0j -0.000182274-0j -0.0199865-0j -0.00986205-0j 0.000358494-0j -0.00162398-0j 0.00311993-0j 0.00494014-0j 0.00353687-0j 0.000260242-0j 0.0386785-0j -0.00116837-0j -0.000192395-0j 0.00182511-0j -6.43248e-05-0j -0.0045921-0j -0.00504976-0j -0.000503626-0j 0.000419016-0j 0.00124817-0j 5.9793e-05-0j -0.00059825-0j -0.0244551-0j 0.00977242-0j 0.000318427-0j -0.00116023-0j 0.000147871-0j -0.0143059-0j 0.00115775-0j -0.00617879-0j 0.000186274-0j -0.000137454-0j -0.000732007-0j -0.00361449-0j -0.000428212-0j 
0.0306165-0j -0.00219205-0j -0.0428881-0j -0.179874-0j -0.00415352-0j -0.109172-0j -0.515532-0j 0.221224-0j 0.00241741-0j -0.0331687-0j 5.40483e-05-0j -0.000741585-0j -0.00651792-0j 0.089431-0j -0.00216358-0j 3.28038e-05-0j 0.029686-0j -0.000450093-0j 0.00913041-0j -0.125276-0j -0.00200601-0j 0.0275241-0j 0.0018007-0j -0.0149707-0j -0.00379573-0j 3.94465e-05-0j -0.000327952-0j -0.00460597-0j -8.31502e-05-0j 0.00105041-0j -0.00152892-0j 0.0382933-0j -0.00873291-0j -0.000106358-0j 0.00970903-0j 0.0127112-0j 0.00800585-0j -0.00221418-0j -0.00208091-0j 0.00322285-0j 0.000884239-0j -0.000927954-0j -0.0665593-0j 0.000224193-0j 0.0173004-0j 0.00566479-0j -0.0168757-0j 0.00771486-0j 0.0043864-0j -0.000844827-0j -0.0470962-0j 0.00195606-0j -0.0119409-0j 0.00702375-0j 0.00178083-0j 0.00144286-0j -0.0113097-0j 0.000147262-0j -0.00285748-0j 3.11656e-05-0j -0.000338528-0j -0.000244287-0j -0.00356553-0j 3.18083e-06-0j -0.00118355-0j -6.17212e-05-0j 0.00111342-0j -7.31217e-06-0j 0.0279479-0j -7.9718e-05-0j -0.000363905-0j 0.00927712-0j -0.00872742-0j 1.818e-05-0j -0.0015597-0j -0.000120796-0j 0.00706126-0j 0.000113638-0j 0.000675775-0j 0.00234394-0j 0.000836554-0j -0.00220505-0j 0.000624859-0j 0.00319115-0j 0.000277689-0j -0.000142501-0j -8.13619e-06-0j 0.000138562-0j -0.000261235-0j 0.0122255-0j -0.00136938-0j 1.85548e-06-0j -0.00529697-0j -0.000159186-0j 0.000157875-0j -0.000946636-0j 6.8971e-05-0j -0.0250134-0j -3.6004e-05-0j 1.87037e-05-0j 0.00308887-0j 0.00295875-0j -0.0010861-0j -0.00133832-0j 0.000325695-0j 0.0107337-0j -4.26543e-06-0j 0.000365942-0j -0.000335296-0j 1.41419e-05-0j 0.00742008-0j -0.00631983-0j -0.000139762-0j -0.000158552-0j -0.000274411-0j -9.66157e-05-0j -0.000748716-0j -0.0231917-0j 0.00271195-0j 0.000301976-0j 0.00187474-0j -3.25097e-05-0j 0.00262817-0j 0.000321288-0j -0.00585958-0j -3.4221e-05-0j 0.000222102-0j -0.00069419-0j 0.000664028-0j 7.86681e-05-0j 
-0.0252573-0j -0.0583267-0j -0.06968-0j 0.148389-0j -0.335961-0j -0.30991-0j -0.128714-0j 0.076453-0j -0.00199426-0j 0.0273628-0j 0.00437175-0j -0.0599838-0j 0.00176882-0j -0.0242696-0j -0.0016421-0j -0.00913041-0j 0.0225309-0j 0.125276-0j 0.00487983-0j -0.0669551-0j 0.00532903-0j -0.0731184-0j -0.0014855-0j 0.0123502-0j 0.00313132-0j 0.00319067-0j -0.0265267-0j 0.00124996-0j -0.00672568-0j -0.000866541-0j -0.00116041-0j -0.010392-0j 0.00720428-0j -0.00282998-0j -0.00263482-0j 0.00964746-0j 0.00261904-0j 0.0018266-0j -0.00338084-0j 0.00244605-0j 0.023528-0j 0.00242352-0j -0.0217742-0j 0.00596539-0j 0.0281078-0j 0.000644006-0j -0.00552073-0j -0.0201487-0j 0.00712655-0j 0.00616611-0j -0.00535416-0j -0.00510859-0j -0.00135751-0j -0.051264-0j -0.0129977-0j -0.0011903-0j 0.00933001-0j -0.000121485-0j 0.0023573-0j 0.00252086-0j 0.000279272-0j -0.0197594-0j 0.000967607-0j 0.000257284-0j -0.000898285-0j -0.00499237-0j -0.000918528-0j -0.000591451-0j -0.00758445-0j -0.00212116-0j 9.8756e-05-0j 0.00704108-0j 0.00719976-0j 0.0014705-0j -0.00253404-0j -9.16808e-05-0j -0.00191627-0j -9.37469e-05-0j 0.00191835-0j 0.00177899-0j -0.000227023-0j 0.00181908-0j 0.0166264-0j 0.00079674-0j 0.000210758-0j -0.0115263-0j -0.00021649-0j -0.00444445-0j 0.000215508-0j 0.0198627-0j -0.000473245-0j 0.000150082-0j -0.0150367-0j -0.000258629-0j 0.00420079-0j 0.00529235-0j 0.000195791-0j -0.00624514-0j -0.00291222-0j 0.000497671-0j 0.00501847-0j -0.00258563-0j 0.0348372-0j -0.00379914-0j 8.1317e-05-0j 0.00370947-0j -0.000345013-0j 0.000594543-0j 0.00454438-0j -0.00045361-0j -0.0414833-0j -0.00157788-0j -4.83004e-05-0j -0.000450088-0j 0.00880189-0j 0.000540148-0j -0.000186933-0j 0.0202671-0j 0.000937226-0j -0.000263894-0j -0.0104811-0j 0.00104277-0j -0.0356205-0j 0.000111034-0j 0.00512063-0j 0.000463809-0j -0.00124171-0j 0.000606647-0j -0.00899981-0j -0.00106622-0j 
