-0.225061-0j 0.754544-0j -0.207581-0j -0.209732-0j -0.181633-0j -0.14984-0j -0.0478745-0j -0.0295614-0j -0.0327184-0j 0.0767687-0j -0.0172441-0j 0.0775643-0j -0.0301772-0j -0.0106693-0j -0.0176034-0j -0.0186712-0j -0.0108915-0j -0.00284133-0j -0.0192918-0j -0.00278453-0j -0.0210534-0j -0.0030388-0j -0.0163079-0j -0.00235384-0j -0.0164769-0j 0.0441834-0j -0.00237824-0j 0.00637733-0j 0.0546742-0j -0.0122812-0j 0.00789154-0j 0.0318933-0j -0.0106358-0j -0.00177263-0j 0.0046034-0j -0.00153514-0j -0.0151972-0j -0.00759858-0j -0.00219352-0j -0.00626851-0j -0.00767732-0j -0.00109676-0j -0.000904781-0j -0.00110813-0j -0.00346898-0j -0.000500705-0j -0.000764839-0j -0.000110395-0j 
0.262571-0j 0.00513894-0j -0.476267-0j 0.464528-0j 0.00367144-0j -0.34054-0j -0.218576-0j 0.0344883-0j 0.000661354-0j 0.0301772-0j -0.099247-0j -0.0294334-0j -0.0011996-0j 0.0124475-0j 0.0786781-0j -0.0210283-0j -0.0372398-0j -0.0162298-0j 0.022507-0j 0.00324861-0j 0.000425563-0j 6.14247e-05-0j 0.0190259-0j 0.00274615-0j -0.0185569-0j -0.0341563-0j -0.00267846-0j -0.00493004-0j 0.000372368-0j -0.00122464-0j 5.37466e-05-0j -0.0244224-0j -0.0244025-0j -0.000176762-0j -0.00352507-0j -0.00352219-0j 0.0336597-0j 0.000153594-0j 0.00485836-0j 0.0421501-0j -0.0174482-0j 2.21694e-05-0j 0.00608384-0j -0.00251843-0j -0.015838-0j -0.00228602-0j -0.00524565-0j -0.000757145-0j 
0.160791-0j 0.181633-0j -0.436465-0j 0.14984-0j 0.115199-0j -0.315057-0j 0.0342032-0j 0.0211197-0j 0.0233752-0j -0.054387-0j 0.0123198-0j 0.0186712-0j -0.0634515-0j 0.0952235-0j 0.0125765-0j 0.011842-0j -0.0229008-0j 0.00202994-0j 0.0137827-0j 0.00198936-0j 0.0150413-0j 0.00217102-0j -0.0342894-0j -0.00494925-0j 0.0117717-0j 0.0106358-0j 0.00169909-0j 0.00153514-0j -0.038734-0j 0.00877408-0j -0.00559078-0j 0.00767732-0j 0.00674564-0j 0.00126643-0j 0.00110813-0j 0.000973649-0j -0.031954-0j 0.0678176-0j -0.00461216-0j 0.00447844-0j 0.00486926-0j 0.00978862-0j 0.000646407-0j 0.000702817-0j -0.00729398-0j -0.0010528-0j 0.000546427-0j 7.887e-05-0j 
-0.22975-0j 0.250537-0j 0.205873-0j 0.213973-0j -0.526785-0j 0.133426-0j -0.512482-0j -0.0301772-0j 0.0322427-0j 0.0256534-0j -0.0176034-0j 0.0266627-0j -0.0288919-0j 0.0535275-0j -0.0161344-0j -0.0560617-0j 0.0510541-0j -0.0527238-0j -0.0196937-0j -0.00284254-0j 0.0207473-0j 0.00299461-0j 0.0161737-0j 0.00233448-0j 0.0168101-0j -0.0151972-0j 0.00242633-0j -0.00219352-0j -0.0176371-0j 0.0121026-0j -0.00254569-0j -0.00984927-0j 0.031954-0j 0.00174686-0j -0.00142162-0j 0.00461216-0j -0.0150631-0j -0.036801-0j -0.00217417-0j -0.0302446-0j 0.0207093-0j -0.00531176-0j -0.00436544-0j 0.00298914-0j 0.0360773-0j 0.00520731-0j -0.0217053-0j -0.0031329-0j 
0.0947669-0j -0.313733-0j 0.0874065-0j 0.417398-0j -0.224142-0j 0.0755371-0j -0.375327-0j 0.0124475-0j -0.0403757-0j 0.0108915-0j 0.00726103-0j 0.0520111-0j -0.0372398-0j 0.00449253-0j 0.00887421-0j 0.0371585-0j -0.0638056-0j 0.0376194-0j 0.00812322-0j 0.00117249-0j -0.0259807-0j -0.00374998-0j 0.00686681-0j 0.000991138-0j 0.0327915-0j 0.00626851-0j 0.00473305-0j 0.000904781-0j -0.0227331-0j -0.0151554-0j -0.00328124-0j 0.00541728-0j 0.00447844-0j -0.00218749-0j 0.000781917-0j 0.000646407-0j 0.0302446-0j -0.00937691-0j 0.00436544-0j -0.0367227-0j 0.00387029-0j -0.00135344-0j -0.00530046-0j 0.000558628-0j -0.0271962-0j -0.00392543-0j 0.0653825-0j 0.00943716-0j 
-0.115147-0j 0.0327184-0j 0.0267145-0j 0.0269913-0j 0.0233752-0j 0.0192835-0j 0.00616118-0j -0.179381-0j 0.789289-0j -0.156958-0j -0.104639-0j -0.158585-0j -0.183118-0j -0.0647419-0j -0.106819-0j -0.113298-0j -0.0660907-0j -0.0172414-0j 0.00248274-0j -0.0341518-0j 0.00270946-0j -0.0372704-0j -0.00834354-0j 0.114771-0j -0.00843-0j 0.00191588-0j 0.11596-0j -0.0263542-0j 0.00237078-0j 0.00158052-0j -0.0326116-0j 0.00138295-0j 0.00136877-0j -0.0217411-0j -0.0190234-0j -0.0188283-0j 0.00195579-0j 0.000977895-0j -0.0269032-0j 0.000806723-0j 0.000988029-0j -0.0134516-0j -0.011097-0j -0.013591-0j 0.000446439-0j -0.00614107-0j 9.84306e-05-0j -0.00135398-0j 
-0.0327184-0j 0.00190051-0j -0.0301772-0j 0.0294334-0j -0.00045749-0j 0.0424339-0j 0.0272363-0j 0.202632-0j 0.00388571-0j -0.526221-0j 0.118202-0j 0.513251-0j 0.00358391-0j 0.0731338-0j -0.235057-0j -0.123549-0j -0.218798-0j -0.0953564-0j -0.00280456-0j 0.0385785-0j -5.30285e-05-0j 0.000729443-0j -0.00237078-0j 0.0326116-0j 0.00231234-0j 0.00642321-0j -0.0318078-0j -0.0883555-0j 0.000137711-0j -3.09333e-05-0j -0.00189431-0j -0.00903204-0j -0.00154619-0j 0.000425508-0j 0.124242-0j 0.0212689-0j 0.00213274-0j -1.9139e-05-0j -0.0293373-0j 0.00267071-0j 0.00217418-0j 0.00026327-0j -0.0367375-0j -0.0299074-0j 0.00197354-0j -0.0271473-0j 0.00065365-0j -0.00899139-0j 
-0.0267145-0j -0.0301772-0j -0.0470769-0j 0.0489585-0j 0.0634515-0j 0.0172795-0j -0.00568265-0j 0.165448-0j 0.183118-0j -0.140646-0j -0.476112-0j 0.146268-0j 0.322694-0j -0.293468-0j -0.193754-0j -0.307546-0j -0.0592222-0j 0.0159023-0j -0.00228991-0j 0.0314993-0j -0.00249902-0j 0.0343757-0j 0.00188063-0j -0.0258693-0j -0.00195579-0j 0.00347513-0j 0.0269032-0j -0.0478028-0j 0.00212439-0j 0.00719143-0j -0.0292224-0j -0.00127554-0j -0.00730691-0j -0.098923-0j 0.0175459-0j 0.100511-0j -0.00344654-0j 0.00443269-0j 0.0474095-0j 0.00146328-0j 0.00268199-0j -0.0609746-0j -0.0201284-0j -0.0368925-0j 0.000400043-0j -0.00550285-0j -9.07856e-05-0j 0.00124882-0j 
0.0269913-0j -0.0294334-0j -0.0489585-0j 0.0494361-0j -0.0210283-0j 0.0161344-0j 0.0602071-0j -0.167163-0j 0.178604-0j -0.146268-0j 0.481045-0j 0.147695-0j -0.323963-0j -0.0603323-0j 0.175764-0j 0.105518-0j -0.291095-0j -0.292057-0j 0.00231364-0j -0.0318257-0j -0.00243742-0j 0.0335284-0j 0.00195579-0j -0.0269032-0j -0.00197487-0j -0.00351114-0j 0.0271657-0j 0.0482981-0j -0.00213274-0j 0.00701418-0j 0.0293373-0j 0.00115711-0j -0.00250848-0j -0.0964848-0j -0.0159168-0j 0.0345059-0j 0.00358214-0j -0.000879712-0j -0.0492747-0j -0.00698771-0j 0.000826677-0j 0.012101-0j 0.0961206-0j -0.0113715-0j 0.0043626-0j -0.0600105-0j 0.00254997-0j -0.0350766-0j 
0.0233752-0j 0.00045749-0j -0.0634515-0j -0.0210283-0j 0.000290158-0j 0.0892227-0j -0.0194585-0j -0.144767-0j -0.00277609-0j 0.372802-0j -0.0844476-0j 0.123549-0j 0.00753563-0j -0.652721-0j 0.167933-0j 0.0783598-0j -0.460051-0j 0.0681259-0j 0.00200367-0j -0.0275618-0j 3.78854e-05-0j -0.000521139-0j -0.00498486-0j 0.0685701-0j -0.00165202-0j 0.00154619-0j 0.0227246-0j -0.0212689-0j -9.75618e-05-0j 2.20998e-05-0j 0.00134203-0j -0.00217418-0j 0.000980654-0j -0.000303998-0j 0.0299074-0j -0.0134895-0j 0.00448437-0j 0.000170816-0j -0.0616855-0j -0.00190805-0j -0.00137895-0j -0.00234969-0j 0.0262465-0j 0.0189684-0j 0.00414962-0j -0.0570807-0j -0.00046699-0j 0.00642376-0j 
-0.0192835-0j 0.0424339-0j 0.0172795-0j -0.0161344-0j -0.0892227-0j 0.0479474-0j 0.0522436-0j 0.119427-0j -0.257492-0j -0.101524-0j 0.0696657-0j 0.0947959-0j 0.230732-0j -0.211836-0j 0.273381-0j -0.19932-0j -0.0511801-0j -0.501051-0j -0.00165295-0j 0.0227374-0j 0.00351401-0j -0.0483376-0j 0.00135751-0j -0.0186734-0j -0.00126755-0j -0.00127554-0j 0.017436-0j 0.0175459-0j -0.00298723-0j 0.00204984-0j 0.0410913-0j -0.00353939-0j 0.00268199-0j -0.0281969-0j 0.0486867-0j -0.0368925-0j 0.00113582-0j -0.00623305-0j -0.0156239-0j -0.000643025-0j 0.00744202-0j 0.0857398-0j 0.00884524-0j -0.10237-0j -0.0036778-0j 0.0505906-0j 0.0063722-0j -0.0876538-0j 
