0.0118506+0.00357903j 0.013836+0.0103383j -0.00562634-0.00391546j 0.00368413-0.0024269j 0.00995887-0.00660562j -0.00419922-0.00472879j -0.0321984+0.00222668j -0.00147076+0.0255145j 0.00138061-0.0113642j 0.0133042+0.0155233j -0.000186604-0.0144875j -0.00924426+8.65169e-07j 0.0211996-0.00129645j 0.00674974-0.0263257j 0.013765+0.0181127j -0.00962944-0.0090733j 0.00131257-0.0251979j -0.00629963+0.00053434j 0.000660171+0.00586617j -0.00121602-0.00905555j 0.0012198-0.000540872j 0.00536409+0.00446784j -0.00479315-0.00626977j 0.00239091+0.00573668j -0.00937199-0.00589863j -0.000835111-0.0151685j 0.0034755-0.0120806j -0.00511938-0.00851394j -0.00103024-0.0351612j 0.0325905+0.169453j -0.0633161+0.00755541j 0.0147789+0.0658744j 0.0610061-0.0524071j 0.165075-0.0286292j 
0.0070087+0.0066264j -0.0110005-0.00404007j 0.0200617+0.00730304j 0.00204414+0.00108265j -0.0254106+0.000491507j -0.0189604-0.011353j -0.00545917+0.0120638j 0.0233605-0.00215442j -0.00852871-0.00778119j 0.00132107-0.0286433j -0.0122655+0.00770541j 0.00499974+0.0306558j 0.00124456-0.030246j -0.00723562-0.0169156j 0.00431913-0.00778504j 0.000325399+0.0102931j -0.0265479-0.0113076j 0.00145744+0.00783104j 0.00914298+0.000132016j -0.00928054-0.00466816j -0.00161351-0.00287154j -0.000582055-0.009484j -0.00967964-0.00514692j 0.00561847+0.00700101j -0.00589179+0.000753984j -0.00760959-0.00780368j -0.011594-0.0211728j 0.0040981+0.0151213j -0.0166995-0.0206393j 0.0516639-0.0234058j 0.0254101+0.186891j 0.016281+0.032728j 0.17542-0.0170644j -0.0670198+0.0600339j 
-0.0118881-0.00846902j -0.00325551-0.00776053j 0.00584754+0.0069603j -0.00716138-0.000217297j 0.0120115-0.00444174j -0.0494785-0.00414208j -0.0214438-0.0112651j 0.0116401-0.0097327j 0.00834538+0.00215291j 0.00879901-0.00656577j 0.00188061+0.00327202j -0.0167104-0.0265375j -0.00166082-0.00720878j 0.00352596-0.0514141j -0.0050783+0.0430414j -0.00169976-0.0110405j 0.00703893-0.00229528j -0.00152376+0.00599732j -0.00035075-0.0204075j 0.00169992-0.013442j 0.000558691+0.000907247j -0.00180253+0.00531179j 0.00375214+0.0184272j -0.00639409-0.0211093j 0.0228784+0.0315315j -0.0118306+0.0110523j 0.00529521+0.0747128j 0.00183851-0.0709317j 0.0482007+0.068286j -0.041464-0.0619084j 0.0226988+0.0824313j 0.108059-0.0611918j 0.0193671+0.0231179j -0.128307+0.0445204j 
0.0199497+0.00547724j 0.013231+0.0191746j 0.0107045-0.00741104j 0.0153795-0.0025428j -0.0138755-0.000205756j 0.000824192-0.00105585j -0.0260564-0.00832214j 0.00662031+0.013025j -0.00540095-0.0404749j 0.0152259-0.00577417j 0.00692944-0.00175796j -0.003431+0.0493032j 0.0179002-0.0100796j -0.010937-0.0291809j 0.0193206+0.00804009j -0.00173575+0.0174613j 0.027369-0.014863j 0.0125112+0.030022j -0.0120106-0.01906j 0.00426778-0.0180789j -0.00531503-0.015362j -0.00611958-0.0148408j 0.0326736+0.03772j -0.0119991-0.0238058j -0.00762414-0.0576357j 0.0263509+0.064986j 0.0501623+0.0574462j -0.0550908-0.0568928j -0.0294228+0.115725j -0.0668686+0.0186703j -0.0250029-0.0276115j 0.122764-0.0449643j -0.0787366+0.0116613j -0.0238982+0.00282342j 
-0.00462428+0.0003974j 0.00107994-0.00748123j -0.0238476-0.00163355j 0.0589719+0.0181595j -0.00935893-0.00183603j -0.0283853-0.00238308j -0.0191856+0.00178909j 0.000314347-0.00322297j -0.00514749+0.0434054j 0.0126965+0.0255206j -0.00279189+0.0146935j -0.0158832+0.0770831j 0.00922406-0.00217843j 0.0106745+0.0659973j -0.00630519-0.0520468j -0.00393353+0.0262159j 0.00747898+0.0317888j 0.00465352-0.0116538j -0.0184534+0.00922243j -0.00668871+0.0369363j -0.00308417-0.00173562j -0.00627017+0.0303694j -0.00243486+0.00126395j -0.0218493-0.0846662j -0.0260476-0.011874j -0.0199769-0.0159343j 0.0625253-0.00864261j 0.0529176-0.0408625j 0.0172219+0.0127355j 0.000290987-0.0141903j 0.0220737+0.0173133j 0.0480867-0.00409659j 0.00935504+0.0160304j -0.0152975+0.0149715j 
-0.0124876-0.0305256j 0.00413014-0.00365039j 0.0327514-0.00129584j 0.00635765-0.0102392j -0.0219376-0.0118055j 0.0287454+0.0144689j 0.0484373+0.00204063j 0.0234987-0.0101682j -0.00791998+0.00528596j 0.0228004+0.0490142j 0.00603001-0.0169039j -0.0227823-0.0146935j 0.0147848+0.0489331j 0.014507+0.0298567j 0.00402253+0.00292852j -0.0151281-0.0206633j 0.00031834+0.0273672j -0.021835-0.0261752j 0.0155325+0.00530323j 0.0200076+0.0166001j -0.000848408+0.00148519j 0.011193+0.0117665j 0.016421+0.0534305j -0.0315329-0.00677133j 0.0653175+0.0621416j 0.0148373-0.0921841j -0.0102417+0.038171j 0.080904-0.0649848j 0.100236-0.0083312j -0.0101575-0.0318335j 0.0341948+0.00786694j 0.0320158-0.0521938j -0.00674709+0.0200386j -0.0450053+0.00309318j 
0.0122909+0.0102504j 0.0130892+0.0147453j 0.0306719-0.00548704j -0.0128221+0.0134544j 0.00434625-0.00123265j -0.00933785+0.0119011j -0.0294204+0.00543773j 0.0183342+0.0203938j -0.025591+0.103747j 0.0208018-0.0297474j -0.00933689-0.0126256j 0.0082251-0.0268418j 0.0198797+0.00623845j -0.000345446-0.00441428j 0.017149+0.0101054j -0.00872238-0.0274086j 0.00434773-0.0147172j 0.0143031-0.0137175j 0.00565331+0.0226469j 0.0187331+0.0425218j 0.00559998-0.0265183j 0.0283211-0.0179562j 0.0266887+0.0541205j -0.0392792-0.0828356j -0.0255669-0.0734036j 0.0250542+0.00159741j 0.0852629-0.0358708j 0.0459061-0.033064j -0.0498534+0.0146222j -0.0212587+0.00618289j 0.00359759-0.0100382j 0.0285813-0.0118569j -0.013513+0.00680005j 0.0024769-0.00460916j 
0.0170505+0.0327125j -0.0243865-0.00738039j -0.0268983+0.00118113j -0.0338756-0.00171093j -0.0281048+0.000577365j 0.0634947-0.0124546j 0.0299055+0.00368436j 0.0235003-0.000391135j 0.00540244-0.00253253j 0.0233887+0.0194952j -0.0326885-0.00424364j 0.0270774+0.0240692j 0.0166073-0.0420292j -0.00297489+0.00739818j 0.001396-0.0113013j -0.0102002+0.0239328j 0.0110202+0.00302175j 0.0184928+0.0328561j -0.0172196-0.0314985j -0.0393378-0.0178784j -0.0257189+0.00218546j -0.0342815+0.0323975j 0.0590683+0.0994678j -0.0290768+0.0257664j 0.0294112-0.0749858j 0.0812112+0.0158105j 0.0182329-0.00473192j -0.0149996-0.00391178j -0.0580781+0.0620761j -0.0219229+0.0122987j -0.0037786+0.0211896j 0.0566567-0.0148013j -0.00276461+0.000768147j -0.0105101+0.016918j 
0.0112011+0.0108193j -0.0154024-0.00628687j 0.00574514-0.00228831j 0.0430238+0.00580726j -0.0401272-0.00374024j -0.00692128-0.013459j -0.00967376-0.00513981j -0.00909458-0.0325289j -0.0226712+0.0498915j -0.0231969+0.0933934j -0.00358748-0.0199489j 0.0122199+0.0627265j -0.0179107-0.0384738j -0.0242063-0.0199699j 0.0057496+0.017863j 0.00926393+0.010459j 0.0220885+0.00208856j -0.0410212-0.0196572j 0.0679292+0.065674j -0.016586+0.0166841j -0.0179214+0.0678775j 0.0398614-0.0557609j -0.0285615-0.0437018j 0.0252207-0.00760359j -0.0490663+0.00471627j -0.0110737+0.0220098j 0.00148546-0.00628234j -0.0317935+0.0118419j -0.00091418-0.0114716j 0.00113018+0.00970291j -0.0116954-0.00200368j -0.0122823+0.0172663j 0.00911494-0.00685673j 0.0138865-0.00745107j 
-0.011268+0.0179819j 0.0193653-0.0221156j 0.0497741+0.0250593j 0.0300275+0.00195248j -0.008867-0.00779231j 0.0348532-0.0178189j -0.0331939+0.00515587j -0.034535-0.0239414j 0.0442469+0.0202974j -0.00907983-0.0547948j 0.042633+0.0266834j -0.000577194-0.000395127j -0.0187681-0.0324905j -0.00144826-0.0262761j -0.028927-0.0179415j 0.0152855+0.0293934j -0.024582-0.00822048j 0.0443358-0.00965109j -0.0320519-0.0560447j -0.0597515-0.0281715j -0.00246725+0.0208316j -0.0534374+0.0606341j -0.053618-0.0751181j 0.0366687-0.0198752j -0.0479952+0.0121743j -0.0594265+0.0877521j -0.0015219-0.006494j -0.0496102+0.0488781j -0.0286067-0.0133164j 0.0210404-0.00355154j -0.0101318+0.0193409j -0.0171573+0.0276968j 0.0177732-0.00827299j 0.00365173+0.0115669j 
0.00948456-0.0117052j -0.00963036-0.0400863j -0.00677412-0.00958877j -0.0723679+0.0427204j -0.0301404+0.00311889j 0.00504765+0.0130172j -0.00563188-0.0237234j -0.0215066+0.0439477j 0.0457168+0.0941732j -0.00359707-0.00493542j 0.0290705+0.0648503j 0.0160232+0.0321009j -0.0095722+0.016202j 0.00253643-0.0438101j -0.0152653-0.0206221j -0.00333193-0.00814592j 0.0132979-0.00551572j -0.0105925-0.0451709j 0.0415768+0.00616604j -0.0954487-0.00344211j -0.0349318+0.101579j 0.00179576+0.0355388j -0.00939532+0.0114547j 0.00514993-0.0190994j -0.019319+0.00750588j -0.00364582+0.0209439j 0.00423864-0.0153868j 0.00374101+0.00706856j -0.0016803-0.0148888j 0.00662424-0.0139629j 0.00328617+0.00303664j -0.00935168+0.00365901j 0.00371697+0.00334207j -0.00574442+0.00195433j 
