-0.00119426-0.00636311j 0.00789205-0.000835305j -0.000341678-0.00134452j -0.00105863-0.00298999j -0.000865074-0.00147713j -0.00385704-0.00150235j 0.00643935-0.00554825j 0.001889+0.0034627j -0.00596127-0.00650036j 0.00425797+0.00259062j -0.00639594+0.00911687j -0.00565362-0.00455903j 
-0.0185695-0.00478513j 0.00587173-0.0258963j -0.00698042+0.000692121j -0.0204802+0.00308425j -0.00779528-0.0120985j -0.00358468+0.00409359j 0.00459721-0.0158103j 0.00779652+0.00394636j -0.019457-0.00405335j 0.0117543-0.00102577j 0.00110929+0.0252186j -0.0161314+0.000192031j 
-0.000480516+0.00633842j -0.00661215-0.00563514j -0.00358042+0.000513705j -0.0121297-0.00141423j 0.00705931-0.01109j 0.0109181+0.00243845j -0.00377692+0.0189736j -0.00754944-0.00252728j 0.0171611+0.00140754j -0.0089419+0.0021901j -0.0023134-0.0208508j 0.0135418+0.000123024j 
0.0165302-0.00822881j 0.0111209+0.0308261j 0.0113022-0.00419728j 0.0364503-0.00984733j 0.00426943+0.0284746j -0.0138357-0.00352522j -0.00372384-0.0125481j 0.00358233-0.00174094j -0.0056792+0.00510994j 0.000842142-0.00351958j 0.0058939+0.00492795j -0.00399808+0.00207756j 
-0.0143448+0.00397254j -0.0065454-0.0210077j -0.00548074+0.0035509j -0.0165039+0.0109308j -0.0103749-0.00947854j 0.00113219+0.00286739j 0.000502543-0.00912328j 0.00528517+0.00106601j -0.0123504+0.00099635j 0.00705131-0.00284469j 0.0054581+0.0147987j -0.00933854+0.00336826j 
0.00722929+0.00752261j -0.0103424+0.00375277j -0.00184013+0.00188947j -0.008551+0.00299179j 0.00435692-0.0123659j 0.0134319-0.00380247j 0.0045194+0.0258111j -0.0111952+0.000246768j 0.0236336-0.00638388j -0.0112057+0.0072214j -0.0135168-0.0269798j 0.0182615-0.00692961j 
0.00588076-0.00239645j 0.00224181+0.00737369j 0.001188-0.000503783j 0.00249633-0.00130372j 0.000949642-0.00134614j 0.000720307-0.00419875j 0.00700793+0.00506834j -0.00295335+0.00267157j 0.00497121-0.00737107j -0.00152979+0.0047684j -0.0104193-0.00414022j 0.00316605-0.00659307j 
