-0.000542967+0.0116639j 0.0187437+0.00228899j 0.00427047-0.0102939j -0.00159639+0.00159711j 0.00464986+0.0130382j 0.0102581-0.00335679j 0.0129043-0.00417288j -0.000421075-0.00214541j -0.0045858+0.0108692j 0.0138857+0.010175j 0.00636661-0.00803034j 
-0.0117062-0.0224367j -0.0376854+0.0135294j -0.00200551+0.0202924j 0.00053427-0.00407013j -0.0174273-0.025884j -0.014468+0.0137515j -0.0256529+0.014695j 0.00263247+0.00240418j -5.92483e-06-0.0246991j -0.0271677-0.00914314j -0.00521136+0.0143811j 
-0.0101919-0.0105435j -0.0204923+0.0154955j 0.00311882+0.0176427j 0.000557241-0.00228739j -0.0221006-0.0110606j -0.00908291+0.0117097j -0.0128885+0.0213066j 0.00137976+0.00200647j -0.00574365-0.0164271j -0.0267631-0.00410004j -0.00448264+0.015262j 
-0.00263857-0.00555353j -0.00526422+0.00210501j 0.0035061-0.00409936j -0.00104071-0.00189846j 0.00750688+0.000233501j 0.00236368+0.00386315j 0.00304433-0.0078564j 0.00225338-0.000464118j 9.01319e-05-0.000819097j 0.00418495+0.0113566j 0.00970773-0.00174101j 
-0.0152702-0.0156701j -0.0186099+0.0134869j 0.00298696-0.0109159j -0.00478889-0.00436016j 0.016823-0.0141716j 0.00761607+0.00927125j -0.00728274-0.021707j 0.00564809-0.00342367j -0.000105692-0.00702629j 0.0196585+0.0214107j 0.0213128-0.013754j 
-0.000666561+0.000443111j 0.000369256+0.000839843j -0.000202736-8.54609e-05j -0.000169349+0.000120541j -0.000544242-0.000486188j 0.00036261-9.4906e-05j -0.000625581+0.000316436j -6.65304e-05-0.00019255j -0.000354308-5.43457e-05j 0.000615761-0.000374576j -0.000266455-0.000634094j 
0.0202344+0.0116912j 0.015599-0.0191655j 0.000791287+0.0114941j 0.00611977+0.00297269j -0.0124896+0.0204491j -0.010035-0.00703793j 0.0149972+0.0196375j -0.0046367+0.00512849j 0.00192853+0.0076228j -0.0260497-0.014744j -0.0167961+0.0203076j 
0.00521754-0.00159771j -0.00117327-0.00530276j 0.00234185+0.00303026j 0.0016892-0.000566971j -0.000306337+0.00555999j -0.00352055+0.000999844j 0.00558494+0.002558j 4.1646e-05+0.00185812j 0.00121205+0.000295679j -0.00895758+0.00141689j -2.67651e-05+0.00756365j 
