0.0702211-0.143334j 0.0594266-0.0369228j 0.357549+0.170838j 0.0265769+0.215961j 0.0743733-0.0363751j 0.0754941-0.0865878j -0.117583-0.00528117j -0.0742503+0.0975856j -0.0293328-0.0772265j 1.7804e-05+0.398173j 0.210932-0.101197j 0.0949871-0.0877208j 0.0857444+0.0296005j -0.365337-0.05273j 0.0774761+0.112813j -0.0354861+0.0933317j -0.0779116+0.111577j 0.0458026+0.0353926j 0.0992253-0.00214388j -0.103596+0.101767j 0.331244-0.0990614j 0.027897+0.406956j 
0.0584828-0.16154j 0.0858549-0.0183493j 0.297155-0.10818j -0.181692+0.0738248j -0.243643+0.0980202j -0.0436813-0.218362j 0.023201+0.0569493j -0.11652-0.368465j -0.157354+0.019217j -0.0359176-0.168271j 0.0823614+0.0137137j 0.113055+0.0184837j -0.0580057+0.131427j 0.189036+0.0293731j -0.1316+0.352968j 0.0162681-0.064357j 0.0395238-0.232796j -0.239201-0.0983401j -0.189649-0.0921289j 0.337691+0.0882175j 0.0616717+0.028484j 0.0631311+0.141227j 
0.0151302-0.385549j 0.324843+0.0977862j -0.140044-0.0929675j 0.114673-0.0114242j 0.0556154-0.0396927j 0.0762285+0.128208j -0.036509-0.0972513j 0.0758482-0.0841683j 0.387476-0.059976j 0.10252-0.0201855j 0.194851+0.086023j 0.0736148+0.0638388j -0.0102553-0.427643j 0.0298146-0.086739j -0.0665358-0.129651j -0.121208+0.0117711j -0.0785207-0.0707362j 0.0929273+0.0452669j 0.0398032-0.207244j 0.342326-0.178472j 0.0394632+0.0369811j 0.0647552+0.120129j 
-0.00827299-0.0313587j -0.00100018+0.0037594j 0.0632924-0.0195991j 0.0261162+0.0110142j -0.000749634-0.00909272j 0.0207255-0.0087668j -0.0297909-0.0212207j -0.000498304-0.00594042j -0.0243332-0.0189891j 0.029293+0.0803435j 0.0434382-0.0225568j -0.000581393-0.0281313j 0.00495456+0.00106323j -0.0459033-0.0289393j 0.00686559+0.00214863j -0.0268532+0.00667797j 0.00505441-0.0294221j -0.0439117-0.0184905j 0.0238114-0.0104823j 0.0136192-0.0137817j 0.0346885+0.00760213j -0.0523754+0.0111845j 
-0.0253394-0.0121933j -0.00444269+0.00664207j -0.00966043-0.0434325j 0.00930086+0.00983665j -0.00670625+0.0373255j 0.0335347+0.0074742j 0.00102044+0.0270584j -0.000448099-0.0288743j -0.00403443+0.0105069j -0.0161224-0.0336151j 0.00432271+0.0212131j 0.0496104-0.0354985j -0.00979636-0.0509278j 0.000105127-0.00671376j -0.00337169+0.0392859j -0.0248282-0.0185759j 0.0257946+0.00141271j 0.0167138+0.000938791j 0.0200113-0.0214577j -0.0228932+0.0248391j -0.0101039-0.0156783j -0.0264243+0.00762661j 
-0.00293439+0.00197925j 0.000795931+0.00235045j -0.00179002-0.0223797j -0.00897707-0.0370616j -0.0293568-0.0449794j 0.00422546-0.00644816j 0.0338503+0.0132646j 0.0419568-0.0175233j 0.0400231-0.0232076j -0.0172804+0.013318j -0.0131096+0.000212686j 0.0191044+0.00261282j -0.0194468-0.017334j -0.0318143-0.0222696j 0.0405472+0.0154555j 0.0345965-0.0144649j -0.0084733-0.0071294j -0.0286507+0.0440623j -0.0102287+0.0354291j 0.00654826+0.0209762j -0.00337338-0.000401837j -0.00062164-0.00470502j 
0.0310444-0.00173907j 0.00521415-0.0149098j 0.0520434+0.0146692j -0.0261578-0.0117233j -0.0207168+0.00536443j 0.0386082-0.0102085j 0.0256664-0.0115246j -0.00431993+0.0248107j -0.0212926+0.0104928j 0.00128945-0.0413425j 0.00322907+0.0178582j -0.0330614-0.0542101j 0.0161493-0.0208936j -0.0209061-0.0152189j 0.00168541-0.00211325j -0.00346085+0.0215728j 0.0450379-0.0132381j -0.00370932+0.0334561j -0.0100481+0.00577143j 0.00116466-0.0338612j 0.0200099+0.00299141j 0.0182034+0.00427058j 
0.054472-0.0640362j 0.0199598+0.0258347j -0.0142144-0.0354462j -0.00683808+8.46341e-05j 0.048199-0.0200646j 0.0208893+0.0437987j 0.0178011-0.00252036j 0.000985905-0.0309978j 0.00772214+0.0184052j 0.00714081+0.00636066j -0.00298373-0.0090037j 0.0307144-0.0158261j -0.0325963+0.0234769j -0.0267861+0.00459786j -0.0108709-0.00440422j 0.00893092-0.0254956j 0.00751939-0.00689602j 0.00646835-0.00942188j -0.0208986-0.0298742j -0.00320884-0.0369192j 0.0191735+0.00720351j 0.0158819+0.00781167j 
-0.00711836+0.00252712j -0.00246089+0.00178752j -0.0040399-0.013293j 0.00460351-0.00428211j -0.00131745-0.00105018j 0.00275173-0.000156584j -0.00730735+0.000832407j 0.00202079-0.00223793j -0.00756046-0.00241679j 0.0142321+0.00854062j 0.00295738-2.00493e-05j -0.00661242-0.00186484j -0.00244142-0.00209181j -0.00548479-0.0082081j -0.00172687-0.00335584j -0.00619233+0.00510764j -0.000684035-0.018579j -0.0106147-0.00831841j 0.00719851+0.0065183j 0.00587841-6.46524e-05j -0.000182914+0.006618j -0.0169139-0.0260094j 
0.00919734-0.000896075j 0.0154804-0.00626421j -0.0146343+0.00655417j -0.0123925+0.014097j 0.00324923-0.000815248j -0.00209156-0.00917888j 0.0029516+0.0216306j -0.00280905+0.00735339j 0.00228276+0.00713308j 0.0164722-0.0199643j 0.00890981+0.00805737j 0.00100541+0.0174302j -0.00130131-0.00235505j -0.0238556+0.00651901j -0.00637898+0.0121082j 0.0173096+0.0193197j -0.0292433-0.00762015j 0.0111802-0.0112061j 0.0188372+0.0157113j 0.0230838+0.00686092j 0.0235379-0.00467381j 0.000375519-0.0342177j 
0.00312099-0.0115397j 0.00154498+0.0032774j 0.0134498-0.0018971j -0.00261225+0.00234411j -0.00350642+0.00278615j 0.00434256+0.00402328j -0.00407566-0.00629018j 0.000227361-0.00119744j -0.000609402-0.000542297j 0.0060195+0.00512434j 0.00167681+0.000119118j 0.00605644+0.0125148j -0.00241147+0.00427112j -0.00158798-0.00991228j -0.00656835+0.0012582j 0.00521238-0.000670209j -0.0115443+0.00233786j 0.00283568-0.00204296j -0.00328209+0.00128957j 0.00916725-0.00115687j 0.00258475+0.00815506j 0.0165547+0.0121459j 
-0.0128896-0.00169409j -0.0128703+0.0114471j 0.0106495-0.0145901j 0.00219099-0.000651471j -0.00498925+0.0161156j 0.0171301+0.013521j -0.0195671+0.000756118j 0.00363827+0.00430309j -0.00630894+0.00425793j 0.00664141+0.00404148j -0.00248312+0.00519055j 0.0376475+0.0133902j -0.00729047+0.0104448j -0.0133904-0.0276012j -0.00076322+0.013866j -0.00797301-0.0101869j -0.012458+0.0304887j 0.0162251-0.0161329j 0.0110486+0.00667862j 0.0014416+0.0185244j -0.00654249+0.0184192j 0.0276+0.0120248j 
