-0.0226836+0.000706874j -0.000405898-0.022566j 0.00971498-0.0091921j -0.0107765-0.00991693j 0.00575181-0.00305721j 0.00105984-0.00578703j -0.00216788-0.00105256j -0.00187304+0.000964964j -0.00239087+0.000316851j -0.00425681+0.000341996j 0.00753998-0.00157639j -0.000232534+0.00115103j -0.00295298-0.0109804j -0.00207091-0.00370192j -0.00200177-0.00282399j -0.00104206-0.00283041j -0.00183305+0.00503137j -0.00456723+0.000311641j -0.000994674-0.00589353j 0.00308414-0.00507364j -0.000861772+0.00210273j -0.00189961-0.00212536j -0.0010571+0.00122633j 0.00470295-0.0049676j 0.000841214-0.000734692j -0.00400405+0.00361365j -0.00392495+0.00238862j -0.00307935-0.000374413j 0.00358118-0.00317456j -0.00139899-0.00302976j 0.000132861-0.00308397j 0.00305717-0.00138843j 0.00351957-0.00147262j 0.00282665-0.000873296j -0.0075277-0.00314716j -0.00679954-0.00609785j -0.000222654-0.00197379j -0.00333461-0.00417918j 0.00658657-0.000961249j 9.58393e-05+0.000842701j 0.00311666+0.0024618j -0.00383636+0.0055847j 0.00159529-0.00414747j -0.00103061-0.00341947j 0.00336689+0.00261584j 0.000468332+0.00132064j -0.00056272+0.00574503j -0.00207976+0.00438094j -0.00135934-5.27722e-05j -0.00572092+0.00124921j -0.00111098-0.00713941j -0.0061945-0.00124458j -0.00244111+0.000349683j 0.00375912+0.00487007j 0.00434967-0.000514802j -0.00528225+0.00225433j -0.00387394-0.00186848j 0.00259174+0.00405722j -0.00259184+0.00637921j -0.0007128+0.00429929j -0.00148226+0.00320655j 0.0010291+0.00539862j 0.00480576+0.00073968j -0.00109623+0.00235665j 0.00517118+0.00132588j -0.00261851+0.00250949j 0.00727738-0.00609893j -0.000638941+0.00423832j -0.00602016+0.000269353j -0.00385607-0.00354841j 0.00473275+0.000547319j -0.00323377-0.00525726j 0.00154412-0.000508735j 0.00367934+0.0162358j -0.0149982+0.00172573j -0.0128026+0.0193041j 0.0190504+0.0127738j 
-0.00846539+0.00826666j -0.00825594-0.00828191j 0.00590793+0.00805234j 0.0070753-0.00634544j -0.00260759+0.00211304j 0.00441707+0.00554392j 0.00282937-0.00375092j -0.00358991+0.00295458j -0.00690787-0.00172574j -0.000148112+0.000321987j 0.00397452+0.00508059j 0.000294936+0.000398879j 0.00398841+0.00122931j -0.00208207-0.00280543j 0.00206552-0.000197346j 0.00290273-0.0035293j 0.000373928-0.00138559j 0.00200659-0.00144749j -0.0020017-0.0049303j 0.000560453-0.000342474j -0.00100607+0.000908172j -0.00428379-7.27768e-05j 0.00312446+0.00180497j 0.000325236-0.00289973j 0.00192557+0.000386693j -0.00175475+0.00344423j 0.000844469+0.0033211j -0.00256738-0.0032941j -0.000112258-0.000231821j -0.000585917-0.006272j 0.000712107-0.00292796j 0.00348066-0.00131327j 0.00393677-0.00205854j -0.000521723-0.00226432j -0.00141709-0.00291649j -0.00673658+0.00020228j 0.00148596-0.000772376j 0.000543118+0.00265573j 0.00444187-0.000661538j 0.00107281-0.0010139j 0.0016673+0.000715465j -0.00341739+0.00338977j 0.00134339-0.00174971j -0.00133383+0.000321988j 0.00128114+0.000210008j 0.000804864+0.000669026j -0.00125619+0.000801187j -0.00156252+0.00355646j -0.00390478-0.000971661j -0.00121148+0.00270294j -0.00346718+0.000554622j 0.00151366+0.00154096j 0.00155856-0.00151821j 0.00205495+0.000591856j -0.000504257-0.00248118j 0.00144319+0.000741473j -0.000812541+0.000589982j 0.000265457+0.00515158j -0.0025745+0.000177901j -0.000268214-0.000704622j 0.003928+0.000970252j -0.00186247+0.00152722j -0.00104142-0.000165998j -0.00383605+0.00244705j -0.00216069+0.0062746j -0.00124633+0.00126641j 0.00224816+0.00375189j -0.00562235-0.00386609j -0.00299396-0.0019678j 0.00296305-0.00509215j -0.00530266+0.00272983j 0.00268979+0.00334478j 0.00490586+0.00139547j -0.00944333+0.0062905j -0.00343249-0.00876078j 0.00242773+0.0180293j 0.0180713-0.00266318j 
-0.00260441-0.00913677j 0.0092025-0.00279947j -0.00249242-0.013184j -0.0119027+0.00312427j 0.00290105+9.80573e-06j 0.000234761-0.00653416j -0.00462793+0.000278569j 0.0031492+0.000950814j 0.00136216+0.00393846j -0.00152185+0.00114991j 0.00221595-0.0050348j -0.00163788+0.000968736j -0.00528773-0.00782054j 0.000974141-0.00100989j -0.00328631-0.000755508j -0.00240932+0.000852929j -0.00375144+0.00308997j -0.00280552-0.000256428j 0.00189294+0.00267293j 0.00127036-0.00332891j -0.000425131-0.00117437j 0.00400579-0.00411347j -0.00591433+2.72781e-05j 0.00067417+0.000486256j -0.00211728-0.00101171j 0.00131724-0.00221675j -0.00368575-0.00220581j 0.00111638+0.00076732j 0.00515275-0.000624244j -7.28548e-05+0.00311092j -0.00114294+0.00158637j -0.00215658+0.00115279j -0.00155665+0.00341913j 0.00262446+0.000958891j -0.00407068+0.0016848j 0.00484351-0.00276845j 0.000391259-0.00198501j -0.00205405-0.00752998j 4.04218e-05+0.00217935j -0.0013559+0.0027412j -0.000884311-0.000525026j -0.00133854-0.0017752j -0.00220518-0.00246334j 0.00189344-0.00175295j 0.00128751+0.00253488j -0.00234503-0.000341229j 0.000992805+0.00291643j -0.00054041-6.54133e-05j 0.00339279+0.00088239j -0.00215844-0.000972981j 0.00331422-0.004234j -0.00454275-0.00217028j -0.00311061+0.000218223j -0.000733202+0.00209443j 0.00413739+0.00385307j -0.00304592-0.0021137j -0.00121245-0.00207698j -0.000526939-0.00303914j -0.000472473+0.00532375j 0.00328547+0.00258813j -0.00333909-0.0025711j 0.00238215+0.00258375j 0.00353435-0.000577013j 0.0019156-0.00106482j 0.00636763-0.00335223j 0.00183347+3.47475e-05j 0.000719397-0.00790553j 0.00274991+0.00210803j -0.00205132+0.00474846j -0.00475491+0.00296266j 0.0103534-0.000855683j -0.00093455-0.00573935j -0.00283808-0.00780905j 0.0167539-0.00525248j 0.004167+0.0140212j -0.00757553-0.00951316j -0.00990858+0.00799769j 
0.0449151-0.00262794j 0.00217893+0.0447317j -0.0208024+0.00862566j 0.0109976+0.0217167j -0.00826984+0.0025038j -0.0059748+0.00521064j 0.0013074+0.00739422j 0.00912972-0.00338308j 0.00949624+0.00243466j 0.0082355+0.00189553j -0.0170495-0.00302863j 0.00225663+0.00083182j 0.00091003+0.0211989j 0.00399117+0.00957378j -0.000408434+0.00597895j -0.00188967+0.00787175j 0.00594943-0.0100672j 0.00756376+0.00258679j 0.00338408+0.0145802j -0.0102729+0.010618j 0.00443948-0.00405582j 0.00633299+0.00696093j 0.00109965-0.00526221j -0.0120715+0.00996225j -0.00283887+9.03685e-06j 0.0086631-0.00639573j 0.0107872-0.00717436j 0.00841791+0.00600715j -0.0101555+0.00545211j 0.00388367+0.0122712j 0.00096509+0.010577j -0.00803291+0.00418367j -0.010039+0.00371779j -0.00489334+0.00432974j 0.0156396+0.00950592j 0.0168821+0.0145816j -0.000525079+0.00713845j 0.00534191+0.00754384j -0.0182201+0.000882243j -0.0035552-0.00146904j -0.00528322-0.00427282j 0.0151712-0.015055j -0.00211201+0.00930027j 0.00030843+0.00811368j -0.00737495-0.00576921j -0.00117277-0.00129729j 0.00204664-0.0109298j 0.00559023-0.0133533j 0.00427717+0.00406922j 0.0115435-0.00822848j 0.00843446+0.0127277j 0.0126637+0.00167966j 0.00565124-0.000750577j -0.0112892-0.00833037j -0.00793988+0.00186708j 0.00926124-0.00114004j 0.00637019+0.00522177j -0.00692787-0.00806256j 0.00644481-0.0157755j 0.000748492-0.00622654j -0.00272825-0.00741201j -0.0031926-0.0118704j -0.00780195-0.000361523j 0.00539926-0.00737994j -0.00831739-0.0115278j 0.00127021-0.00874535j -0.0156088+0.0103997j 0.00389595-0.00492877j 0.0142502-0.00271254j 0.010258+0.00514807j -0.00949539-0.00765211j 0.00423743+0.00699376j -0.0120207-0.00381964j -0.00791068-0.027188j 0.0211161-0.00731654j 0.0167027-0.041881j -0.0412701-0.0164251j 
-0.00247439-0.00133052j 0.00120212-0.00255532j -0.00325089+0.00173018j 0.00240458+0.00180117j 0.000182456+0.00127755j 0.00215519+0.0014418j 0.000175218-0.00439951j -0.00328953+0.000504656j -0.00423273-0.00104371j -0.000812528-0.00100658j 0.00296972+0.000918933j -0.000290533-0.0017828j 0.000554064-0.00242922j -0.000713336-0.00469061j 0.00144045+0.00165088j 0.0028135-0.00252716j -0.00392768+0.00298018j 0.000802789-0.00194284j -0.00126814-0.00266648j 0.00274115+2.89461e-06j -0.000992148-0.000748797j 0.0007009-0.00413101j -0.00307918+0.00303495j 0.00298623-0.00230134j 0.00145132+0.000998293j -0.000392192-2.62991e-05j -0.00454176+0.000483359j -0.00200762-0.00694356j 0.00285572-0.000158894j -0.0015617-0.0059384j -0.003251+0.00120096j -0.000439385-0.000149038j 0.00132716+0.00139932j -0.00164642-0.00129343j -0.00227439-0.0010086j -0.00539437+0.000183835j -0.00133008-0.00187299j 0.00218684-0.00282898j 0.00493352-0.000309084j 0.0042928-0.00143166j -0.0015318-4.14907e-05j -0.00316384+0.00390867j -0.00381419-0.00162953j 0.00114262-0.00298862j -0.00153851+0.00283886j -0.000999004-0.00314718j 0.000991881+0.000588286j 0.00147748+0.00368057j -0.000287596-0.00253381j 0.00602406+0.00450996j -0.00269977+0.00544035j 0.00209652+0.00377884j 0.00308218+4.73094e-05j -0.00259107-0.00379103j 0.00436842+0.00115141j -0.000755767-0.00175304j -0.000466094-4.16318e-05j -0.00241999+0.000170338j -0.000770076-0.00100665j 0.000775083-0.00399808j 0.00280853-0.00527949j -0.00248349-0.00321647j 0.000853939+0.00059114j -0.00228737-0.00130586j 7.59188e-05+0.00152416j 0.00010158-0.0013733j -0.00300695+0.000937503j -0.00276857-0.00548119j -0.00344173-0.00296596j -0.00198811-0.00819925j -0.0049063+0.00355046j 0.00257585-0.00495354j -0.00625884+0.0103888j 0.00616404+0.00981393j -0.00958634+0.0118823j -0.000649646+0.00982677j 0.01087+0.000129631j 
-0.00452882+0.0177142j -0.0176633-0.00440415j 0.0039551+0.0236927j 0.0240581-0.00256158j -0.0122442+0.0103066j 0.00853603+0.0195185j 0.013782-0.00430298j -0.00252119+0.00385037j -0.0154719-0.00200863j 0.00333309+0.00444787j 0.00252266+0.0121302j 0.00171215-0.00183508j 0.0122185+0.0108931j -0.00588192-0.0029852j 0.00914584+0.00234139j 0.00952588-0.0091003j 0.00570963-0.0130078j 0.00839531-0.00725781j -0.000509667-0.0117351j -0.00676131+0.00380946j 0.00182354+0.00509785j -0.00787884+0.00804844j 0.0082464-0.00157876j -0.00406378-0.00151707j 0.00612315+0.00323367j -0.00310946+0.00454707j 0.00689914+0.00899991j -0.00497363-0.00100559j -0.00423407-0.000167854j -0.00134204-0.00647767j 0.00191998-0.00290585j 0.00980264+0.000142479j 0.00580024-0.00292147j -0.00443821-0.00729097j 0.00548986-0.00588895j -0.00695551+0.0038025j 0.00132747+0.00196498j -0.000496619+0.0151992j 0.0023342+0.000268058j -0.00126248-0.00546628j 0.00114365-0.00112068j -0.00422984+0.0022907j 0.00837732+0.00122456j -0.00742919+0.00628651j 0.000244574-0.00571644j -0.0049011-0.000181372j -0.00536399-0.00296184j -0.00588122+0.00455932j -0.0127259-0.00277246j -0.00326738+0.00358946j -0.00694315+0.00191408j 0.00565935+0.00349656j 0.00309209-0.0026414j 0.00559371+0.00238652j -0.0110113-0.00650639j 0.00877076+0.00810243j 0.000334133+0.00294753j 0.00840318+0.0117105j -0.00368539+0.00237175j -0.00366431+0.00133512j 0.0126292-0.0012189j 0.000854683+0.00278851j -0.00392352+0.0026479j -0.00629814+0.00698725j -0.0115804+0.0194247j -0.00263025+0.00734003j 0.00373567+0.0127496j -0.0124894-0.00489137j -0.00392838-0.00246624j 0.00341674-0.00806102j -0.0118489+0.0117946j 0.0148963+0.00949945j 0.00139351-0.00642583j -0.0243415-0.0132946j 0.013258-0.0257316j 0.0143214+0.0135652j 0.0131747-0.0141637j 
0.0307186-0.0154401j 0.0150698+0.0303498j -0.0239897-0.0146186j -0.0104893+0.0263404j -0.00821334+0.00356132j 0.00146363-0.00220301j -0.00790481-0.000228018j 0.00917279+0.00482764j 0.00313993+0.00864483j 0.00191107+0.00677354j -0.00776862-0.0111555j -0.0041782+0.00369426j -0.010415+0.00146352j 0.0052709+0.00377365j -0.00530121+0.0024446j -0.0036773+0.00802328j -0.00422298-0.0044398j 0.0025987+0.00176539j 0.00444071+0.0165552j -0.00303016+0.00046304j 0.00282632-0.00775934j 0.0137949-0.00598249j -0.0113695-0.00186819j -0.00904822+0.00913029j -0.00841622-0.00165417j 0.0108721-0.00939152j 0.000647267-0.00916675j 0.0095315+0.0025301j 0.00438047+0.00405651j 0.00254189+0.0131677j -0.00347853+0.0111088j -0.00796325+0.0027688j -0.0106075+0.0106206j -0.000803492+0.00528951j 0.00369906+0.0121855j 0.0218923+0.00839851j -0.00197988+0.00116202j -0.000180517-0.0112339j -0.0144561+0.00284638j -0.00292747+0.00366893j -0.00953593-0.00396303j 0.0104877-0.0148129j -0.00906715+0.00168724j 0.00595947+0.000468622j -0.00766013-0.000666775j -0.00465737-0.000965603j 0.00273634-0.00757698j 0.0049449-0.00981905j 0.00826421+0.000809708j 0.0121745-0.00435613j 0.0113576+0.00640713j 0.00498454+0.00257991j 0.00078379-0.00224212j -0.0133512-0.00791616j 0.00405117+0.00952825j 0.00411903-0.00740353j 0.00537586-0.000895008j -0.0125571-0.0134989j 0.00654764-0.00628574j 0.00985366-0.00131759j -0.0055279-0.0192515j -0.000134006-0.0080113j -0.000278581-0.00231498j 0.0065767-0.00919373j 0.00331994-0.0146527j 0.00640291-0.00784377j -0.0156171-0.00258451j 0.00928268-0.00887571j 1.92432e-05-0.00102972j 0.00318656-0.000190812j 0.00620679-0.00530524j 0.00408609-0.0122072j -0.0247114-0.005495j 0.0238764-0.0228823j 0.0145408+0.0253328j -0.00344591-0.0403073j -0.0394247+0.00384679j 
0.0285207+0.0102085j -0.0106234+0.028632j -0.00441997+0.0211984j 0.0218178+0.00399676j -0.00716346+0.00184381j -0.010939+0.0113207j 0.00681162+0.0143822j 0.00708037-0.0048923j 0.00854876-0.00323599j 0.00488421-0.00508467j -0.00660942+0.00544239j 1.51221e-05+0.00538319j 0.00968871+0.0200684j 0.00605182+0.00783313j 0.00361371+0.00271917j -0.000567075+0.00471808j 0.0134383-0.00571586j 0.00660111+0.00204283j 0.00339768+0.00844179j -0.00947574+0.00951662j 0.00345141-0.00114504j -0.00134907+0.0110901j 0.00944332-0.00638576j -0.0088111+0.00466578j 0.000980719-9.73755e-05j 0.00182211+0.00226773j 0.0149136+0.000779147j 0.00463168+0.00686248j -0.0129502+0.00652396j 0.00452029+0.00601445j 0.00296389-0.00111966j -0.00191704+0.00192466j -0.00202365-0.00388557j -0.008395-0.000488785j 0.014414+0.00547479j 0.00722313+0.0107136j -0.00176911+0.00441339j 0.00468817+0.0176096j -0.00956269+0.000150521j 0.000933757-0.0034486j -0.00203304-0.00175431j 0.0118082-0.0119201j 0.00417271+0.00984718j -0.00064709+0.00885628j -0.00755138-0.00698147j 0.00874705-0.000459729j 0.000990407-0.00966243j 0.00571895-0.00914085j -0.00175924+5.57315e-05j 0.00978997-0.000549683j -0.00346852+0.0124913j 0.011024+0.00559671j 0.00547795-0.000147026j -0.00510044-0.00930739j -0.0118653-0.000830985j 0.00940128+0.00289675j 0.00205664+0.00482387j -0.000641933-0.00290702j 0.000792832-0.0175383j -0.00429343-0.00895436j 0.00660482+0.00554761j -0.00582354-0.012566j -0.0111829+0.00201664j 0.0070114-0.00355246j -0.0139235+0.00738174j -0.00106141-0.00703159j -0.000908897+0.0153764j -0.00157407+0.00182637j 0.0152019-0.00602363j 0.0111943+0.00234104j -0.0138515-0.00897877j -0.0112906+0.0115289j 0.00623472+0.0180177j -0.0220105-0.0128684j 0.0143831-0.0166247j 0.0168664-0.0209543j -0.0207613-0.0175353j 
-0.0039623+0.0157576j -0.0158338-0.00390877j 0.00334555+0.0215985j 0.0232405-0.00437811j -0.0045493+0.00844052j 0.00160631+0.0133595j 0.0124117+0.000322669j -0.00231818-0.00433227j -0.00847075-0.00621187j 0.00566731-0.000479973j -0.00484+0.0106988j 0.00503444-0.00470509j 0.013286+0.0195654j -0.00541243-0.0017018j 0.00988286+0.00477946j 0.00979829-0.00846193j 0.00831627-0.00853065j 0.00940629-0.00620373j -0.000455751-0.00944477j -0.00756837+0.00493978j 0.00309177+0.00606174j -0.00867082+0.00757916j 0.0118682+0.000772603j 0.0019279-0.00491635j 0.00808083+0.0011727j -0.00723472+0.00384013j 0.00987416+0.010587j -0.00649906-0.00190592j -0.00842969-0.00166102j -0.00334834-0.00694066j -0.00247437-0.00114383j 0.00380335+0.00393413j 0.00440261-0.00617973j -0.00660955-0.00677466j 0.00918824-0.00998331j -0.00928637+0.0033156j -0.0030584+0.00376496j 0.00108833+0.0210118j 0.00190121-0.0011116j -2.79989e-05-0.00860098j 0.00557774-0.000481155j -0.00185561+0.00634857j 0.0101339+0.00669801j -0.00743815+0.00506131j -0.000285025-0.00766522j -8.91713e-06-0.00272416j -0.000363199-0.00306018j 0.000111181+0.00303838j -0.0103801-0.0020054j 0.0014575+0.00301679j -0.00946384+0.00988975j 0.00834744+0.00427809j 0.0103227+0.000321027j 0.000923297-0.00293324j -0.00777509-0.00807231j 0.00447342+0.00742651j -0.000842175+0.00647012j 0.00624454+0.00970941j -0.000425497-0.00586195j -0.00664426-0.00652423j 0.00997674+0.00299483j -0.00336367-0.00550582j -0.00776878+0.00533691j -0.00626139+0.000773409j -0.0141601+0.0128153j -0.00112189+0.000867146j 0.000776021+0.0129556j -0.00652503-0.00843331j -0.00333947-0.00476923j -0.0022267-0.0127355j -0.0172776+0.0184966j 0.0149683+0.00831214j 0.00523449+0.0105101j -0.0280602+0.00603564j -0.00300144-0.0214721j 0.01478+0.015102j 0.0156425-0.0153669j 
-0.0448131-0.0118575j 0.0124909-0.0447847j 0.0199375-0.0190052j -0.0236458-0.0233402j 0.0232203-0.00994264j 0.00043471-0.021836j -0.0101725-0.00496785j -0.009519+0.000346363j -0.000516047-0.00466873j -0.0146701-0.0123372j 0.0238123-0.0058202j 0.0037794-0.00454469j -0.0054347-0.0375975j -7.76043e-05-0.0121501j -0.00639471-0.00727086j -0.00178686-0.00322052j -0.0131356+0.0255088j -0.0140034+0.00101699j -0.00456329-0.0155847j 0.0215093-0.0110621j -0.0091067-0.000301923j -0.00376026-0.0157151j -0.00953237+0.00708978j 0.0180513-0.0117941j 0.000300219+0.000331732j -0.0102582+0.00541171j -0.0234152-0.000809156j -0.00935277-0.0154522j 0.0158941-0.00433488j -0.00367009-0.0158502j 0.00273752-0.0102016j 0.00229534-0.00324477j 0.00689392-0.00121967j 0.0121225-0.00157937j -0.0269192-0.0128186j -0.0209453-0.019421j 0.00154809-0.0138135j -0.00680475-0.0207813j 0.02872-0.00385466j 0.0056978+0.0079007j 0.00464927+0.00628228j -0.0210317+0.017749j -0.00270007-0.0125337j 0.00740313-0.0143038j 0.0106643+0.0163076j 0.00310649+0.00213024j -0.00246087+0.018267j 0.000953769+0.0137678j 0.00549656-0.00297812j -0.0157516+0.00584688j -0.0040278-0.0205886j -0.0169382-0.00251151j -0.00903562+0.00240146j 0.00999471+0.0113427j 0.0170948-0.00253233j -0.0147382-0.00483411j -0.00980765-0.00487421j -0.000613938+0.00133841j -0.00277545+0.016095j 0.000117028+0.00602961j -0.00276547+0.0101793j 7.01381e-05+0.0121276j 0.00952734-0.000795949j -0.00454174+0.00633568j 0.0214646+0.00186565j 0.00255809-0.00174976j 0.0161741-0.0274508j 0.00200465+0.00815569j -0.00954736+0.0135018j -0.0135862-0.00349361j 0.0222988-0.00877055j -0.0212227-0.013465j 0.0148235-0.00514597j 0.0313348+0.0429711j -0.0329209+0.0243776j -0.0215053+0.0453138j 0.0444473+0.0216217j 
0.00401511-0.00886511j 0.00881513+0.00387837j 0.00253331-0.0133513j -0.0148246-0.0024306j 0.0123467-0.0133335j -0.0113654-0.0154435j -0.00692448+0.00537641j -0.00152856-0.0111785j 0.0226922-0.00045331j -0.0042966-0.0143312j 0.00290653-0.00681145j -0.00849993+0.001452j -0.00777501-0.0139202j 0.013454+0.00798329j -0.00575827-0.00585089j -0.0114723+0.0105202j -0.000394755+0.0160473j -0.0114213+0.00586271j -0.00348677+0.0101489j 0.0137965-0.000107275j -0.00639108-0.00183238j 0.00240739-0.00202756j -0.00490317-0.00288591j 0.00458632+0.00189604j -0.00210695-0.004405j 0.00114593-0.00243371j -0.00900221-0.00481896j 0.0049524+0.00310731j 0.000637537+0.00335688j 0.00116079+0.00535284j 0.00242582-0.00101998j -0.00843507-0.00756073j -0.00478243-0.00035062j 0.0037385+0.00873035j -0.000824736+0.0102386j 0.0021398-0.00683381j 0.00325923-0.00645108j 0.00314848-0.0102288j 0.00366234-0.000841566j -0.0013063+0.00519032j -0.00190236+0.0026141j 0.00472921-0.000670038j -0.00675827+0.00247201j 0.00921197-0.0051866j -0.000824053+0.0125766j 0.00247485-0.00379543j -0.000251065+0.00334481j 0.00476973+0.0017807j 0.00915064+0.00267365j 0.00395113-0.00876424j 0.00221587-0.0033772j -0.00711136-0.00366267j -0.0115589+0.00161812j -0.00248902+0.00577209j 0.00750932+0.00701427j -0.00531562-0.00172417j -0.00567568-0.00374527j -0.00197188-0.00907453j 0.00104575-0.00489088j -0.00515368-0.000159033j -0.0111851+0.00743954j -0.00422031-0.00119465j 0.00201754-0.000840286j 0.0117893-0.00178625j 0.00283759-0.010288j -0.00495262-0.0130026j -0.00171845-0.0123508j 0.00932218+0.0125822j 0.0177589+0.00321639j -0.00955538+0.0145255j 0.00553196-0.0203986j -0.0244011+0.00231145j -0.0052222+0.00699429j 0.0189589+0.00850134j -0.0136818+0.0157432j -0.00990234-0.00920184j -0.00887352+0.010469j 
