-0.0725598-0.0812341j 0.0813084-0.0907825j -0.000492573+0.000777784j 0.0691676+0.0302993j -0.0101809-0.0288356j 0.134627+0.0806819j 0.232658-0.371691j 0.00765128+0.00677298j -0.569458-0.155559j -0.0497448+0.0302929j 0.0154983+0.562121j 0.284862-0.0641753j -0.0960572-0.0101767j 0.0247453-9.95429e-05j -0.0511118+0.109764j -0.0200772+0.0235162j 0.0244595+0.00929398j -0.0760259+0.0134996j -0.0476048+0.00417738j -0.0514671+0.00658759j -0.0254193-0.00310889j -0.0373818+0.00121696j 0.0208132-0.0031021j 0.00245396+0.0243113j -0.0107661-0.0346737j -0.022313-0.0299397j 0.0142526+0.0337258j 0.0001046-0.0235331j -0.0544413-0.0906864j -0.0321969-0.00655459j -0.0123831+0.0114053j -0.0645638+0.0348308j -0.0364691+0.0126973j -0.0060198+0.039351j 
-0.0537746-0.07406j 0.0228906-0.0224821j 0.00418759-0.0178863j -0.0279893-0.0246882j -0.0265075+0.0527597j 0.0632658+0.134754j 0.110863-0.0455075j 0.034097-0.0398965j 0.0318745+0.0165633j -0.0312213-0.0269654j 0.0431734-0.0520011j -0.0300224+0.0286633j 0.116384+0.0866833j -0.166584-0.203259j 0.191705-0.137919j 0.297543-0.223768j 0.0496295+0.0375165j -0.0172434+0.0553185j 0.000528498+0.164978j 0.023485-0.0394717j -0.0509269+0.148547j 0.0729957+0.205418j -0.0158942-0.104731j 0.311184-0.00902991j 0.051329+0.0668986j 0.0415134+0.113716j -0.0846447+0.116425j 0.0751641-0.0198269j 0.00405352-0.229368j 0.0524908+0.16615j 0.231961+0.11339j -0.215364-0.249975j -0.264926+0.0574367j -0.130319+0.230879j 
-0.0260326+0.0272937j 0.00863378-0.0039977j -0.00253995-0.0200515j -0.0321612+0.00286179j -0.010435+0.0273785j -0.0721672-0.158966j -0.1187+0.0394624j -0.0151662+0.0372918j -0.0286748-0.0134594j 0.0248211+0.0134072j -0.0582093+0.0669245j 0.0774519+0.0230858j -0.156321-0.127102j -0.111559-0.184326j -0.272235+0.19706j 0.237902-0.119766j 0.0433217-0.152152j 0.0323314-0.207473j -0.0440546-0.0591446j -0.0938759-0.206305j -0.0494392+0.0660174j -0.0996373+0.0577388j -0.299913-0.00912114j 0.0273096-0.064264j -0.0772753+0.163178j 0.0385597+0.190962j 0.0188802+0.0936689j 0.00112637+0.11558j 0.0488406+0.103858j 0.0690681-0.033303j 0.301495+0.217386j 0.261305+0.016817j -0.0315175+0.262131j 0.135957-0.176238j 
0.000705902-0.0234651j -0.00633783-0.000464982j 0.0135447-0.000255975j 0.00233508-0.0077053j 0.0142499+0.000308502j -0.0220088+0.0508009j 0.0144947-0.00943964j 0.0419885+0.00365312j -0.0168108+0.027946j 0.0116903-0.0115638j -0.00108395-0.0030772j -0.0252315+0.0527309j -0.0208276+0.0193955j 0.0260939-0.0238112j 0.0339598+0.0114247j 0.025841+0.0174695j -0.0605566-0.0231299j 0.00877108-0.00905976j -0.03435-0.0210987j 0.0509299+0.0152468j 0.00689918-0.0248806j 0.0146055-0.0112841j -0.0129401+0.0224976j -0.0424718+0.041833j -0.00933559+0.00621836j -0.00251423-0.00930248j 0.00576788-0.00167799j 0.000717544-0.0108476j 0.000798219+0.0373631j 0.0172621+0.00470779j 0.00936101-0.0262127j -0.0646244+3.91948e-05j -0.00873769+0.0442553j 0.0360072+0.0833525j 
-0.0153243-0.0205764j 0.00381572+0.00445365j -0.00168937+0.0247005j -0.00815821-0.00626023j -0.000376491-0.00716417j -0.0032788+0.0487414j 0.027961+0.00582509j -0.0386434+0.00884891j 0.00955659+0.0148927j 0.0453762+0.0305947j 0.0162362-0.00247152j 0.00797635+0.00908643j -0.00902936+0.0162157j 0.0106944-0.0355883j 0.0325461+0.0175468j 0.0266081+0.0116366j 0.0348617+0.0352732j -0.00726167-0.00219934j 0.0261928+0.0339208j -0.0266218-0.00642646j -0.00246432-0.0125109j -0.00869483+0.00152655j 0.0229505-0.0188329j -0.00259818-0.0863107j -0.00742093-0.0238854j -0.00810748-0.0134541j 0.0173423-0.0153149j 0.0381918-0.00772173j 0.0171279+0.00780414j 0.0914968-0.0317879j -0.0198342+0.0143157j -0.0141628-0.0209407j 0.00172024-0.0052086j 0.00278367+0.00881423j 
0.0201687+0.0209103j 0.0198107-0.00951316j -0.0279732+0.0365287j 0.000346971+0.0178025j -0.0377398+0.00913404j -0.00399496+0.00649608j -0.0013337+0.00427658j -0.00995927+0.00834236j -0.00160752-0.00541234j 0.00268908+0.00423378j 0.00162006+0.00302184j 0.00118223+0.00270124j -0.0223713+0.0249445j 0.000499772+0.0104351j 0.00936206+0.00837124j -0.00236614+0.0130147j -0.0655185-0.019552j 0.00556465-0.0204827j 0.00966226-0.0098739j 0.0102705-0.00795132j -0.00132435-0.00628908j -0.0120081+0.00165413j -0.0217298+0.0431014j -0.0203966+0.0193271j -0.00960958+0.00663257j -0.000109487+0.0100779j 0.00962944-0.00874051j -0.00615653-0.00381179j 0.00271842+0.0303526j -0.00802688+0.000629236j -0.0229834-0.0041232j -0.0154533+0.03912j -0.00831879-0.0107132j 0.0305277+0.0498937j 
0.0378272-0.00138704j -0.00670339-0.00979273j -0.0212624-0.0513582j 0.0215034+0.00335513j -7.43627e-05+0.0193681j 0.00193387+0.0182617j 0.00731238+0.0078128j -0.00895096+0.00560803j 0.00195871+0.000458977j 0.00776358+0.00377229j 0.00579727-0.00337j 0.000291587+0.0018522j -0.0159698+0.0362499j 0.00100942+0.00102032j 0.0300547+0.0211881j -0.0016896+0.00390434j 0.010521+0.0179089j -0.00316578-0.0132805j 0.00657149+0.00382514j -0.00961028+0.00148645j -0.000467777-0.0108753j -0.00940447-0.0136404j -0.00197466-0.0225785j -0.0232955-0.0360384j -0.00228803-0.00493273j -0.00159027+0.00271311j -0.0166927-0.00523499j -0.0014704+0.00119248j 0.0118908+0.0243993j 0.0609202-0.0307978j -0.0250428+0.00144823j -0.00289093+0.0048889j -0.000444516-0.0124456j 0.0191122+0.0185018j 
-0.00997744-0.00431478j -0.00824657+0.009137j 0.00629805-0.021179j -0.00175399-0.00854671j 0.0168806-0.00747177j -0.0107821-0.0233249j 0.000785965+0.00336696j -0.0323754+0.0352364j 0.00703925-0.0178161j 0.0208757+0.0163227j 0.00250653-0.00377085j 0.0159108-0.0198539j -0.0170719+0.0018757j -0.0115038+0.000359538j -0.0206417-0.00362142j 0.0158905+0.00516495j -0.0863578-0.0321715j 0.00796244-0.0258802j 0.0400894-0.00388982j -0.00813064-0.0264339j -0.00577112+0.011142j -0.017334+0.0334581j -0.0234626+0.08153j 0.00727311+0.0112999j -0.0148871+0.00993859j 0.00294495+0.0218323j 0.0349019-0.0150093j 0.0101887-0.00958676j -0.000786151+0.00984244j -0.0452895+0.0223595j -0.00923208+0.0232274j 0.00440618+0.0481846j -0.0220103-0.0122715j 0.0194069+0.0335078j 
0.00827773-0.000261298j -0.0018087-0.0082528j -0.0156511-0.00702889j 0.00653442+0.00261987j -0.00573505+0.0113295j 0.0391401+0.00350253j 0.00689668-0.010122j 0.00306588+0.00728224j 0.0128496+0.0156381j 0.0355149-0.000328921j 0.00423299-0.00161752j 0.000288495+0.0178875j 0.0163834-0.0741364j 0.0185969-0.0269148j -0.0418284-0.0294283j 0.0202038+0.0151736j 0.000148415-0.00883585j 0.000732105+0.0367375j 0.003295+0.0109183j 0.010311+0.00468769j 0.00109498-0.000132959j 0.0241765+0.0220167j 0.0426469+0.0392748j 0.0236556+0.0166697j -0.00815889-0.0140099j -0.0124951-0.0318811j 0.0584155-0.0215839j 0.0337921-0.024293j -0.0117498-0.0352949j -0.0610574+0.0319537j 0.0267529-0.0108396j -0.0152-0.0218511j 0.0207158+0.0217088j -0.0363006-0.0339884j 
0.0055786-0.00602973j -0.000274973-0.00317862j -0.00265341+0.00516706j -0.000364706+0.00121675j -0.00401306+0.00219436j -0.0118907+0.0196801j -0.00397645-0.00796614j 0.00295372+0.0142282j 0.00121167-0.000815535j -0.00955744+0.00832956j -0.000140734-0.0104031j 0.0110289-0.00500212j -0.0166853+0.0172228j 0.00944516-0.0101157j 0.0143688-0.00940367j 0.00541307-0.00442852j -0.0151983-0.0233613j 0.00633475-0.0136172j -0.00150677-0.0128249j 0.0074423+0.0108308j 0.00650425-0.0113441j 0.00378387-0.00374015j -0.00101729-0.00367602j 0.00430491-0.0126664j 0.00210608-0.00447953j 0.000859989+0.00468546j -0.0205915+0.0126275j 0.0235074-0.0112147j -0.00152598-0.0208125j 0.0105503+0.0124817j -0.00398386+0.000119319j -0.011343+0.010865j -0.00133696-0.0126033j 0.0179416-0.0201228j 
-0.00169015+0.0127668j 0.00547599+0.000250084j 0.00175457-0.00404678j -0.00204695-0.00425152j 0.00367429-0.00342622j 0.00569116-0.0294094j 0.00979177+0.000443379j -0.00412996+0.000190693j 0.00677975-0.00308314j -0.000161979-0.000517035j 0.0102371+0.0028617j 0.00504009+0.00635999j 0.0138682-0.0186354j -0.0108011+0.0217925j -0.00831075+0.00289964j -0.00146579+0.00715929j 0.0106669-0.0133965j -0.025107+0.00170961j 0.0111872-0.000891718j 0.00234154+0.00641544j -0.0298619+0.00519715j 0.00637045+0.0100391j 0.00282985-0.000428883j 0.00309075+0.0156758j 0.00304213+0.00193487j -0.00372208+8.96965e-05j 0.0028314+0.016532j 0.0077088-0.0274477j 0.0084107+0.0091103j 0.0147588+0.0167638j -0.0104959+0.00210448j 0.0155033-0.0139942j 0.0109994+0.000698731j 0.0093923-0.00491971j 
