-0.023402+0.00591729j -0.0105419-0.0205036j 0.0630153+0.0292583j 0.0106528-0.0689183j -0.0426428+0.0141075j -0.076123-0.0491212j -0.0739898-0.0475307j 0.0556114-0.0815689j 0.0594526-0.1039j 0.020254-0.0450314j 0.00171211-0.0152598j 0.0032463+0.00395439j -0.0848928-0.026609j 0.00983503+0.0112153j 0.0104355+0.0144124j -0.0427271+0.00640823j -0.149058+0.00957975j -0.03833-0.084897j 0.198309-0.0652503j 0.015599+0.231121j -0.0151937-0.0599791j -0.0186911-0.0787721j 0.0403748+0.257747j 0.0596122+0.299667j -0.0357816-0.0888611j 0.062767+0.0672784j 0.0296042+0.0138556j -0.000906604-0.00451639j 0.0958925-0.00564694j -0.519159+0.19792j 0.0640902-0.0342573j 0.139548+0.105627j -0.0190529+0.013282j -0.220957-0.394282j 0.0841439-0.0641784j -0.176159+0.114118j 
-0.0360675+0.0409878j -0.0397827-0.034718j -0.0169827-0.0156909j -0.000982021+0.0100745j 0.00845706-0.010666j 0.0640149+0.0486076j 0.0098656-0.00680002j -0.0641383+0.0782005j 0.00083226+0.0208131j 0.000537677+0.0114725j 0.0395094+0.0283061j -0.0061425-0.00589586j 0.037163-0.000304248j -0.00368252+0.0162196j -0.0167109-0.0149898j 0.0555497-0.000877274j 0.136021+0.0282938j 0.00461759+0.1283j 0.175282+0.0987378j 0.142001-0.321496j -0.0275226+0.132344j 0.0244276+0.0229321j 0.0399718+0.231145j 0.0162762+0.221728j 0.00964171-0.0461772j -0.577488+0.0501969j -0.0266479-0.00564146j 0.0320207+0.00893821j -0.0389789-0.300253j -0.0651989+0.0483346j 0.0229283+0.083636j 0.184244+0.323472j 0.143604-0.121386j 0.0233319+0.133729j 0.122316-0.0718143j 0.0967704-0.0325363j 
-0.00678646+0.0164539j -0.0155733-0.0098104j -0.0198067+0.030821j 0.017187+0.0344303j 0.0202886-0.005618j -0.097677-0.080566j 0.03214+0.0359523j 0.0969773-0.122622j -0.0210686+0.0188209j -0.0014174+0.0029129j -0.0853737-0.0280348j 0.0108033+0.00328039j -0.0335753+0.00289136j -0.0144717-0.0410192j 0.0293256+0.0317921j -0.139617-0.0709052j 0.0469842+0.13493j 0.2141-0.349254j -0.0157534+0.000659301j 0.130773-0.152714j -0.0929359-0.00773179j 0.537501+0.16384j 0.0526684+0.0109991j 0.0415173+0.0029564j -0.0420714+0.00920255j 0.00505275-0.0281117j 0.0220533-0.0501631j -0.0118855+0.0563741j 0.00503059-0.415751j 0.00507094-0.117385j 0.0176276-0.0274134j -0.00687345-0.253138j 0.199784+0.0206834j 0.012711-0.126039j -0.167295+0.0463685j -0.108415+0.02336j 
0.00342156+0.00440305j 0.0018181-0.0037354j -0.0183911-0.0259155j -0.00551214+0.00217845j -0.0168078-0.0130029j 0.0119411+0.0619785j 0.00929723+0.0335165j -0.0409802+0.0164619j -0.0277444+0.0137705j -0.0100118-0.00614009j 0.000742105+0.00209237j -0.00533958+0.0231574j -0.0115307-0.0195798j 0.00140385+0.00564348j -0.0513496+0.036347j 0.000380377+0.0233136j 0.00864408+0.046055j -0.0336468+0.0237299j -0.0142836-0.0443536j 0.0554339-0.0106532j -0.00393167-0.0011879j -0.0301259-0.004658j 0.0545745-0.0087438j 0.0360241+0.0157817j -0.0044647-0.00883104j -0.00731475-4.4771e-05j -0.0326124+0.0359657j -0.00648576+0.0233512j -0.00466591+0.0017087j -0.0313943+0.00602945j -0.0459081-0.0372591j -0.0102601+0.0391767j -0.00371979-0.0141044j 0.107152+0.00869831j 0.0174322+0.0467717j 0.00663797-0.101313j 
-0.025277+0.0150811j 0.0159604+0.0219872j 0.037753+0.00433584j 0.0049561-0.00588808j 0.0331843+0.00329471j 0.00286273+0.0231799j -0.0152177-0.0275738j -0.0143913+0.00131531j 0.0197878-0.00853738j 0.00778307-0.014246j -0.00484592-0.00942774j 0.00110427-0.00773292j 0.00587301+0.00191165j 0.0284263-0.0180619j 0.00409217-0.00192781j -0.00347289+0.0359421j 0.00319864+0.0337562j -0.0480009-0.00132746j -0.00734411+0.0222282j 0.0478786+0.019334j -0.00553472-0.0193177j -0.00518597-0.0108831j 0.00306662-0.0121238j -0.018316+0.0293587j 0.012571-0.00847304j 0.0308168-0.00374131j -0.00854525-0.00953574j 0.0300712+0.026665j -0.00705572+0.0180806j -0.0343645+0.0254195j -0.000740697-0.014392j 0.0625445+0.00828036j -0.0201247-0.032471j 0.0286252-0.0259167j 0.011499-0.0458456j -0.00554529-0.0568527j 
0.00124345-0.000268645j -0.00103026-0.000406804j -0.0284727-0.000992385j -0.00590768-0.00100125j -0.0322764+0.00160072j -0.00299038+0.0184279j -0.0480739-0.0501789j -0.0187129+0.00856203j 0.0306058-0.00929934j 0.0153564-0.0294718j -0.0286691-0.0227095j 0.00215788-0.0208058j 0.0268723+0.00717212j 0.044494-0.0471923j 0.0181446-0.0260093j -0.00849792-0.00109776j 0.0117091-0.013665j -0.00742483-0.00553065j -0.00647037-0.0372138j -0.0184339-0.00997553j 0.0156387+0.000167022j 0.000385443+0.000494211j 0.00771555+0.00372312j 0.0287117-0.00356243j -0.00409192+0.014933j -0.008512-0.00425007j 0.000517604+0.0160916j -0.0131025-0.00310439j 0.0281133-0.00212092j -0.00638286+2.87398e-05j -0.0102094-0.00111247j -0.0150113+0.0186544j 0.00354947+0.0234122j 0.0067636-0.00551518j 0.00821472+0.0126446j -0.00134677-0.00850303j 
-0.0267807+0.0346125j 0.0332436+0.0251617j -0.0209484+0.00625492j -0.0037226+0.00510308j -0.0177949+0.002911j 0.00699138-0.00914042j 0.00922515+0.0108882j -0.000675101+0.00669656j -0.00986281+0.00964451j -0.00474235+0.00688556j 0.00310441+0.00524191j 0.00260331+0.00610317j -0.00270654+0.000699593j -0.00841345+0.0102131j -0.00568504+0.0048307j 0.00641659-0.0334908j -0.00449749-0.0176148j 0.0422278+0.0139695j 0.00893927-0.0104126j -0.0233877-0.0142514j -0.00159317+0.0212534j -0.010846+0.0089733j 0.00102464+0.0160434j 0.00856665-0.0148206j -0.0134374-0.00297811j -0.0410303+0.00636124j 0.00626544+0.00857587j -0.0188805-0.0171554j -0.00975567-0.0184003j 0.0146167-0.0105195j -0.000897184+0.0131008j -0.0383331+0.0115529j 0.0209593+0.00214244j -0.0187294+0.0215982j 0.000215283+0.0399069j 0.00822655+0.0397789j 
0.00119354-0.0075231j -0.00802728-0.00180794j 0.0181152-0.0102463j 0.00426091-0.00282038j 0.0208635-0.00689576j 0.0417847+0.00151757j -0.0109934-0.00611957j -0.0236788+0.0318248j 0.00671158+0.00662994j -0.0068494-0.0162029j -0.0138874+0.00200545j 0.00389352+0.00297027j 0.000169524+0.00169206j 0.0216444-0.0205531j -0.013286+0.0120285j 0.00470924-0.0727471j -0.0254042+0.0156862j 0.0805161+0.0393951j 0.00488719+0.00359654j 0.00743145+0.0197849j -0.0263786+0.0382671j -0.0638388+0.0123919j 0.00191964+0.00848942j -0.0221595-0.0136015j -0.0340972-0.0372289j -0.0266099+0.00625786j -0.00186755+0.00799254j -0.00333716-0.0154598j -0.0692487+0.0142097j -0.00718779+0.0038297j -0.00232037+0.00991376j -0.042323+0.0176691j 0.0091505-0.0708261j -0.020323+0.0157797j 0.0103673+0.0659785j 0.00923912+0.0479844j 
0.00210109-0.00264092j -0.00189644-0.00260573j 0.000665346+0.013502j -0.00490364+0.00203932j -0.00703612-0.000847844j -0.00242861-0.0440916j -0.00326471-0.0172419j 0.000735825-0.00335829j -0.00173546-0.00149218j -0.0113214+0.00076531j 0.00182697+0.00519692j 0.018657+0.0019477j -0.00286634+0.0145326j -0.00463992+0.000903705j -0.016551-0.00357972j 0.00677627-0.029867j 0.000182714-0.0382899j 0.0274216-0.0094746j 0.00294605+0.0230012j -0.0275055+0.0115122j -0.00982681+0.00348632j 0.00152192-0.0015029j -0.023444+0.00900488j 0.00739305+5.33042e-05j -0.0127729-0.00269458j -0.000620031-0.00482553j 0.0383514+0.00393761j 0.0123116-0.00571443j 0.000709906-0.00838179j -0.0180939+0.0293733j -0.0044156+0.0063674j -0.00877702-0.00980464j 0.00503524+0.00390876j -0.0262539+0.0043965j -0.0187588+0.0266542j 0.0240473+0.000709965j 
-0.00026339+3.27726e-05j -0.000296093+0.000218576j -0.00670057-0.00333074j -0.00178344-0.0065309j 0.00423766-0.00240749j 0.012587+0.0191402j 0.00898011+0.0106587j -0.00666218-0.00325421j 0.000856152-0.0090141j -0.00760466+0.00770718j 0.000251348-0.00520161j 0.00998046-0.0238557j -0.00809718-0.00760002j 0.00398412+0.000937202j -0.00537518-0.00778992j -0.00062664+0.00992029j 0.00459041+0.0216081j -0.0103073+0.00304593j -0.00676206-0.0210257j 0.00890007+0.000760466j -0.0145478-0.00242076j -0.00575401-0.00328294j -0.00759176+0.00437519j 0.0249502+0.00406835j -0.00940716-0.00153339j 0.00141294+0.00144j 0.0276964-0.00649077j 0.0143037-0.011194j 0.00192401+0.00558074j -0.0115406-0.010624j 0.0426238+0.0428904j -0.007782-0.000436483j -0.00130654-0.00321529j 0.0210148-0.00278214j 0.00123443-0.00655381j 0.011475-0.00623458j 
-0.0108557-0.0109347j -0.0117282+0.00947062j 0.0183517+0.00734093j -0.0105439+0.0167503j -0.00610837-0.00657142j -0.00427229+0.00437544j -0.0105039-0.021736j -0.00528818+0.000284279j -0.00823586+0.000395478j -0.000378955+0.0038847j 0.00532459-0.00628164j 0.0206182-0.0126837j 0.00521781+0.0111915j -0.0104108+0.000313655j -0.0143054-0.00236261j -0.00149384+0.0305305j 0.00906251+0.0119939j -0.0193216+0.00470541j -0.00508783+0.024441j 0.0107699-0.00342746j 0.0140268-0.00213184j -0.00358657+0.00201525j 0.00888642+6.30456e-05j -0.0116+0.00365911j 0.0102031+0.0044766j -0.0103336+0.0152727j 0.0212564-0.00934526j 0.00963733+0.00453175j 0.00299741+0.00314047j 0.000760546+0.0112199j 0.00713108+0.00692018j 0.0109364+0.00201455j -0.0118985+0.0133421j 0.0107163+0.00242273j -0.0118342+0.00659689j -0.00815144-0.0127183j 
