-0.00315546-0.211574j 0.140937-0.0292972j -0.435125+0.135948j 0.0895757+0.139976j 0.0130804-0.0198423j 0.0793804+0.380015j 0.0845603+0.333419j 0.183214+0.10862j 0.277743-0.0492918j -0.00187148+0.104162j 0.00130304+0.166524j -0.0872823-0.0318003j -0.101058+0.0563611j 0.394756+0.0399815j -0.0854405+0.351147j 
-0.0869204-0.338112j 0.386714-0.0411302j 0.121802+0.0459016j 0.0818713-0.0419242j -0.00405629+0.169446j -0.00506164-0.120963j -0.286422-0.0629064j 0.170847-0.117819j -0.0994323+0.340174j 0.0760315-0.384265j -0.0115496-0.0323485j -0.0843538+0.141698j 0.441052+0.137463j 0.120698+0.0254847j 0.000820086+0.194841j 
-0.0281819-0.00790045j 0.00121477+0.00624151j -0.00499392+0.0688621j 0.024821-0.0157211j -0.0129319-0.00442333j 0.000748255+0.0245013j 0.00343588+0.0298236j -0.00435623+0.0320856j 0.0491117+0.00938029j 0.0335905-0.0469796j 0.0321782+0.0354135j -0.00944429-0.00516811j 0.015948-0.014641j 0.00217211+0.0297395j -0.0521085-0.0341291j 
0.0301547-0.0114695j 0.00527193-0.00394774j -0.0521134-0.00792684j -0.0471563-0.0146096j -0.0402571-0.0153996j -0.00232434+0.0348156j 0.0190789-0.0263597j -0.0291338+0.00683458j -0.00509899-0.0348724j 0.0021731-0.0297398j 0.0429307-0.00643283j 0.0505222-0.0157383j 0.0458896-0.0225697j 0.00887537+0.0108559j 0.0262395+0.00835931j 
-0.0396865+0.0608301j -0.0274913-0.0289003j -0.0184552-0.0287373j -0.00771609-0.00749935j -0.0369224+0.0226419j 0.0337605+0.0486567j -0.0323196-0.00102908j -0.0255888-0.0305116j -0.00809773+0.00401391j -0.00804357-0.00269469j 0.0188374-0.0104489j -0.00881818-0.0275203j -0.0171252+0.0594408j -0.0159609-0.0112038j -0.01961-0.012178j 
-0.00298413+0.00551245j -0.0016664-0.0016121j 0.0112984+0.00554588j 0.00125514-0.00130971j -0.00187213+4.51255e-05j 0.00185173-9.10719e-05j 0.00243889+0.00859616j -0.000773366+0.00586931j 0.00589116-0.00442412j 0.00383724-0.0146969j 0.000245751+0.0093079j -0.00398763-0.00715001j 0.00258961+0.00369021j -0.00381509+0.00510524j -0.00573171-0.0247433j 
-0.0132979+0.00508304j -0.00993462+0.0138435j -0.00600118+0.0284173j 0.00138612-0.0174887j -0.00673237-0.00305469j -0.00791055-0.0038221j -0.0253782-0.0104469j -0.02017+0.00135855j 0.0184553+0.0183729j 0.0232544+0.0133743j 0.00806706-0.0281863j 0.018624+0.0120551j -0.025903-0.0111197j -0.0167104-9.61048e-05j -0.00162888+0.0425171j 
0.00834365+0.001896j -0.00304411-0.00721406j -0.00126537-0.00950024j -0.00313098-0.00366513j -0.00437139-0.00932813j 0.0126062-0.0122506j -0.00316819+0.000363418j -0.000461604-0.00908225j 0.00635011+0.00255875j 0.00642598+0.00425034j 0.00205563-0.00662658j -0.00411081-0.000712017j -0.010072-0.00433798j 0.00382673-0.00988903j -0.0108293-0.0104893j 
-0.0139742+0.00759037j -0.00134099+0.0131907j 0.0138518+0.0192732j -0.00266507+0.00353768j 0.00223378+0.0116539j -0.0155317+0.0371233j 0.0112518-0.00752198j 0.000353244+0.0110668j -0.0050039+0.00566546j -0.0207519+0.0102936j -0.0196521+0.0162958j -0.00512529-0.000155541j 0.0139037+0.0127206j -0.00929984+0.0170649j 0.0191577+0.0133365j 
-0.00634267-0.000730807j -0.000743586+0.00327533j -0.00474376-0.00140914j 0.0209162+0.0131128j 0.0348771+0.0163841j -0.00853818+0.000652862j -0.015897+0.0127934j -0.000562583+0.0108275j -0.017638-0.0177714j -0.00429636-0.0108359j 0.0269892+0.0074595j 0.0234886-0.00349535j -0.00655655+0.0136371j -0.00203919+0.005223j 0.00975987+0.00532553j 
-0.0192799+0.00837593j 0.0132847+0.0124868j 0.00971015-0.0132843j 0.0153037-0.000587357j 0.00232199-0.0123183j 0.0178251-0.00112985j -0.0164792+0.00608745j 0.0061299+0.0118329j 9.5321e-05+0.00699706j 0.0208503+0.0204996j 0.0203206-0.01582j 0.00392307-0.0059162j 0.0111636-0.014746j 0.0044273+0.0139666j 0.00993128+0.00488099j 
