0.00151815-0.00410118j 0.0173395+0.00803182j 0.00746483-4.82927e-05j 0.0257073-0.000414399j -0.00442159+0.00320985j 0.00212536-0.00257781j 0.0125337+0.00276416j -0.0094465+0.000788388j 0.0278909-0.00304041j -0.0126678+0.0020012j 0.00758285-0.00686568j 0.0041867+0.00118368j 
-0.00557151-0.000702106j 0.0132995-0.0237172j 0.00134611-0.0108896j 0.00468429-0.038808j 0.00493741+0.00928646j -0.00183421-0.00533023j 0.0026247-0.0101397j 8.27945e-05+0.00785684j -0.000180799-0.0235138j 0.000460634+0.0105925j -0.00486318-0.00602092j 0.00103902-0.00390439j 
0.00253422+0.00277525j -0.00833534-0.00343794j -0.00370649-0.000950661j -0.0146644-0.00444976j 0.00682624-0.00171217j -0.00350298-0.00236294j 0.00477657+0.00698313j -0.00482153-0.00335674j 0.0143914+0.00836161j -0.00705295-0.00334262j 0.00759726-0.000538579j 0.000589924+0.00227971j 
-0.00189303-0.000868241j 0.0169018+0.00770662j 0.00872401+0.000533837j 0.0330039+0.000323043j -0.00777162+0.00890203j 0.00824876-0.00280254j -0.00537829+0.00923648j 0.0010993-0.00800061j -0.00113132+0.0245169j 1.49445e-05-0.0116907j 0.00365111+0.00926573j -0.0011235+0.00210498j 
0.000575057+0.00276186j -0.0127393-0.000121938j -0.00462148+0.00197993j -0.0161288+0.00697758j 0.00227414-0.00351894j -0.00109645+0.00197356j -0.00673362+0.00178647j 0.00440532-0.00268476j -0.0129323+0.00816284j 0.00570714-0.00397415j -0.00191116+0.00507238j -0.00241486+0.000517166j 
0.00282857-0.00675382j 0.00111017+0.0211673j 0.0022473+0.00878942j 0.0078359+0.0346651j -0.0106737-0.0105448j 0.000294635+0.00879627j 0.0058508-0.01257j -0.000584593+0.00947028j -0.000856853-0.0265845j 0.00155299+0.012448j -0.00746-0.0103328j 0.00286643-0.00247463j 
-0.00560483-0.00199678j 0.0122788-0.000741968j 0.0052032-0.000757531j 0.0214853-0.00203037j -0.00859109+0.00636044j 0.00648804+0.00165689j -0.0130581-0.00742026j 0.0103923+0.00164744j -0.0299233-0.00238047j 0.0140575+5.50116e-06j -0.0117037+0.00657513j -0.00284136-0.00306495j 
