-0.000654073+0.00413421j 0.00842033+0.000659038j 0.00436719-0.00506922j -0.00307753+0.00212144j -0.00701845+0.0239581j 0.0122629+0.00364045j 0.0011109+0.023007j 0.00259321-0.00262807j -0.00472006-0.0035086j -0.00483956+0.00584229j 0.00189807+0.00218169j 
-0.00474985-0.000473691j -0.000300914+0.00819218j 0.00588366+0.00594012j -0.00259524-0.00170039j -0.0349436-0.0133687j -0.000379993+0.0104539j -0.035153-0.00326761j 0.00278708+0.00113836j 0.0054446-0.00483888j -0.00487337-0.004544j -0.00257783+0.000994404j 
0.000112054+0.00273768j 0.0035241-0.000706377j 0.00389354-0.00341159j 0.000559992+0.00194239j -0.0117838+0.0251679j 0.00363467-0.00374344j -0.00569113+0.0261062j -0.00095087-0.00172282j -0.00221559-0.00393451j -0.00129306+0.00160279j -0.000307076+0.00128373j 
-0.000279182-0.00295229j -0.00846824+0.00380514j 0.000701295+0.00225073j 0.00489117-0.00502377j 0.000192073+0.00859963j -0.02155+0.000699896j -0.000206283+0.0125564j -0.00379296+0.00592305j 0.00217008-0.00316901j -0.000346494-0.00992562j -0.00380689+0.00160369j 
-0.00545044-0.000305473j 0.00405577+0.0151294j 0.0045217+0.000630068j -0.00726695-0.00871512j 0.00674944-0.00236892j -0.00300086+0.0349591j 0.0123877+0.00086473j 0.0088783+0.00709337j -0.00326781-0.00463471j -0.0159958-0.00219159j 0.00126285+0.00619556j 
0.000661272+0.000908052j 0.00172205-0.00242314j -0.000310444-0.000945376j -0.000244587+0.00208034j -0.00118275+0.000975047j 0.00513652-0.00395886j -0.00106289-0.000239518j -0.000176395-0.00208621j -0.000442556+0.000816441j 0.00154024+0.00250836j 0.000692661-0.000816831j 
0.000605593-0.00610661j -0.0167621+0.00350619j -0.00136311+0.00525469j 0.00962661-0.00740114j 0.00304293+0.00406864j -0.0373632-0.00488801j -0.00150749+0.00986181j -0.00796068+0.00918404j 0.00547834-0.00274838j 0.00347135-0.0170931j -0.00665705+0.000789648j 
-0.00424131-0.00020671j 0.0027948+0.0115863j 0.00388852+0.000688444j -0.0051988-0.00652459j 0.00219685-0.000632373j -0.00287113+0.025825j 0.00663274+0.0025193j 0.00640313+0.00536315j -0.00210589-0.0040143j -0.0120027-0.00216687j 0.000594983+0.00470471j 
