2.3405e-16+0.0370378j 1.48043e-16+0.00195986j 3.48701e-18-0.020478j 2.44492e-17-0.00172664j -1.4278e-16+0.0107648j 1.8026e-17+0.0264693j -6.56226e-18-0.0138566j 3.12487e-17-0.00125329j 2.49006e-17-0.00731458j 8.76476e-17-0.0106312j 3.7009e-17-0.00285092j 5.0946e-17-0.0215282j -8.29688e-17+0.0129345j 4.47907e-17+0.00713411j 3.47684e-19-0.00880531j 3.26094e-17-0.0100376j 1.15369e-17-0.0153315j -1.07837e-16-0.00902164j -2.46662e-17+0.00240809j 6.94762e-17+0.0104925j -3.66623e-17+0.014101j 2.19244e-18+0.00389765j 2.72399e-16-0.00736239j -1.36724e-16+0.00721324j 1.68074e-16+0.00861578j -8.7709e-17+0.0197127j -7.00713e-17-0.0115306j 1.35732e-16+0.0192397j 6.01515e-17+0.0157178j 8.60104e-18+0.00931255j 1.94737e-15+0.0054067j -1.84665e-17+0.00690071j -5.02395e-17+0.00144711j 2.51269e-17-0.00580694j 1.45252e-16+0.00307949j -5.55142e-17+0.00588728j -2.40953e-17+0.0160665j -2.79393e-16+0.00920017j -1.54732e-16-0.0163328j 1.1612e-15-0.00350554j 1.13343e-15+0.00940916j -5.49163e-15+0.00369892j -3.27086e-16-0.00653276j 3.47755e-17+0.0011251j 6.62308e-17+0.00378884j -1.24291e-16-0.00643036j 3.09394e-16+0.0151958j 1.88229e-16+0.0105568j 2.15767e-16+0.0184632j 5.47917e-17+0.00640369j 1.09237e-16+0.0175983j 1.62896e-16+0.0172056j 1.09916e-15+0.0103486j 4.50484e-18-0.00805988j 6.09881e-17-0.0212065j -1.23499e-16-0.0039382j -3.98046e-16-0.0242692j 2.03494e-17+0.00319551j -3.8006e-17-0.00235664j -2.81817e-17-0.00686522j 7.93371e-17+0.00985617j 1.48855e-18-0.00401301j 2.38474e-17-0.0273455j 1.26821e-17-0.0122952j 4.6893e-17-0.0104793j 1.01105e-17+0.013312j 1.17331e-18+0.0259239j -2.78356e-17-0.00964398j 4.02381e-17-0.00572059j 2.63134e-17-0.0208995j -2.76907e-17-0.00486603j 6.52517e-17+0.0367919j 
-5.18003e-17-0.00734596j -3.75826e-17-0.00353789j -5.09334e-18+0.00491853j -1.1385e-17-0.00834855j 1.70564e-17-0.00111387j 4.02826e-18-0.00474347j -7.20656e-18-0.00161586j -1.81571e-17-0.0131971j -1.37042e-17+7.60266e-05j -3.99699e-17+0.00512362j -4.85939e-18+0.00177693j -1.73929e-17+0.00798633j 4.72894e-17-0.00235539j -7.85639e-18+0.00149568j -1.61961e-18-0.00485029j -7.15072e-18-0.000785436j 1.08142e-17-0.000569442j 2.72705e-17+0.00851057j 7.84e-18+0.00334123j -9.36545e-18-0.00209258j 3.24061e-17-0.00473148j 4.48586e-17-0.00897109j 1.38796e-16-0.0020742j -9.16548e-19-0.00423016j 4.49599e-18+0.000448309j 3.55377e-17-0.00177173j -2.66599e-17+2.85776e-05j -2.70443e-16-0.00258518j 4.28066e-16+0.00432571j -1.44225e-16-0.000562269j 5.65204e-16+0.00156627j -1.62736e-17+0.00256951j -3.06051e-17+0.00915057j -6.6619e-17+0.00609784j 1.99893e-16+0.00296601j 1.58086e-17-0.00310064j -5.32027e-17-0.000655849j 1.38983e-16-0.00564235j -7.35973e-17+0.00106411j 1.63378e-15+0.00513594j 1.37903e-15+0.00129156j 9.41148e-15-0.00622507j 1.08516e-16+0.0058669j -1.93617e-17+0.00862204j 4.91311e-17+0.00636732j -6.10597e-19-0.00134622j -6.65395e-17-0.00549903j 5.28352e-17+0.00827632j -2.71669e-18-0.00482206j -2.00648e-17-0.0049174j -5.50304e-18+0.00122154j -6.02027e-17-0.00645017j -4.82357e-16-0.0044338j 1.749e-17+0.00780513j -1.67932e-17+0.00180338j 1.19378e-16+0.0133138j 3.39179e-17+0.0030563j -1.51619e-17-0.0105889j 2.56653e-17-0.00198434j 5.6076e-18+0.00141445j -4.73385e-17-0.00499968j -1.37129e-17-0.00160881j -1.02811e-17+0.00116304j -3.20236e-18+0.00435474j -2.09822e-17-0.0125923j -1.42975e-19-0.00662827j 1.46569e-18-0.0070059j 1.44754e-17+0.0038615j -1.30886e-17-0.00781166j -6.18436e-18+0.00435037j 2.17852e-18-0.0020941j -7.15962e-18-0.00861226j 
-1.6957e-16-0.0266191j -1.03928e-16-0.00148061j -1.96719e-18+0.0155876j -1.08429e-17+0.0014143j 1.16841e-16-0.00890532j -1.54466e-17-0.0198351j 8.26488e-18+0.00929759j -1.21074e-17+0.00125516j -1.71894e-17+0.00567343j -8.31218e-17+0.00989991j -4.04502e-17+0.00474936j -3.3217e-17+0.014919j 4.85803e-17-0.00850644j -2.98983e-17-0.00705587j 1.08693e-17+0.00514701j -2.18138e-17+0.00441071j 4.46198e-18+0.0123564j 7.70224e-17+0.00546826j 1.52619e-17-0.00354712j -5.9681e-17-0.00748399j 2.76636e-17-0.0117673j 4.79949e-17-0.00304524j -5.94777e-17+0.00148365j 1.00475e-16-0.0028508j -1.19384e-16-0.00558309j 9.39321e-17-0.0145982j 1.78244e-16+0.0119111j -2.64783e-17-0.0124637j -1.35524e-16-0.0110507j 2.03799e-17-0.00433393j -2.3216e-15-0.00667525j -6.29698e-17-0.00332663j 4.07532e-17-0.000418014j -1.61323e-17+0.00261989j -1.32615e-16-0.00257788j 3.94489e-17-0.00524607j 3.3468e-17-0.0128903j 1.87734e-16-0.00609051j 1.00322e-16+0.0109075j -2.05596e-15-0.00107192j -1.86834e-15-0.00797083j 8.33546e-15-0.00554964j 2.63684e-16+0.005724j -3.51563e-17-0.00116999j -4.66554e-17-0.00422298j 7.79308e-17+0.0030555j -2.32118e-16-0.0118957j -1.3489e-16-0.00515188j -1.50376e-16-0.0143878j -3.51447e-17-0.00440495j -7.91399e-17-0.0121345j -1.13292e-16-0.00905068j -8.69932e-16-0.00839202j -7.57279e-18+0.00644554j -3.98145e-17+0.0145373j 7.32282e-17+0.00275238j 2.41275e-16+0.0148814j -1.41329e-17-0.00108796j 4.32002e-17+0.00242734j 3.82207e-17+0.00608066j -6.70013e-17-0.00858681j -4.76252e-18+0.00279634j -1.3122e-17+0.0203511j -9.68377e-18+0.00854118j -2.04808e-17+0.00738513j -3.9788e-18-0.00895933j -1.59553e-18-0.0189461j 2.09877e-17+0.00770143j -2.26407e-17+0.0039875j -1.99885e-17+0.0156284j 2.28547e-17+0.00355552j -4.84524e-17-0.026313j 
-3.02908e-16-0.046224j -1.91519e-16-0.0066533j -8.07689e-18+0.0284832j -2.83965e-17-0.00867677j 1.93748e-16-0.0145672j -1.83493e-17-0.034082j 3.33305e-18+0.0102871j -3.82785e-17-0.0150127j -4.13021e-17+0.00823026j -1.79385e-16+0.0218839j -7.17658e-17+0.0107747j -6.36491e-17+0.0304958j 1.19746e-16-0.0142182j -4.85307e-17-0.00919394j 1.85318e-17+1.75953e-05j -3.86916e-17+0.00307927j 2.79631e-17+0.0172855j 1.44306e-16+0.0177895j 3.11523e-17-0.00189101j -1.01746e-16-0.0129904j 7.98972e-17-0.0235106j 1.55976e-16-0.0159352j 1.93121e-16-0.00333981j 1.37508e-16-0.00772088j -1.57501e-16-0.00669833j 1.9793e-16-0.0227499j 3.02008e-16+0.0190723j -3.34407e-16-0.0195696j 3.00969e-16-0.00951417j -1.38703e-16-0.00502624j -3.13479e-15-0.00919167j -1.61101e-16-0.000119233j 2.39492e-17+0.0116533j -1.04318e-16+0.0103642j 5.56316e-17+1.55936e-07j 7.36882e-17-0.0119631j -1.0021e-17-0.0196052j 4.27069e-16-0.0153068j 3.56441e-17+0.0158413j -1.60407e-15+0.00257254j -1.55463e-15-0.0102066j 2.67639e-14-0.0177457j 5.26286e-16+0.0161963j -7.70809e-17+0.00923231j 2.54581e-18+0.00129931j 9.80005e-17+0.00136825j -4.14558e-16-0.0242069j -1.14275e-16+0.00528346j -2.08676e-16-0.0268793j -7.30678e-17-0.0122766j -1.15445e-16-0.0148183j -2.33457e-16-0.0184422j -1.88093e-15-0.0179818j 1.16803e-17+0.0194211j -7.406e-17+0.021897j 2.49108e-16+0.0208948j 3.45204e-16+0.0226611j -4.30439e-17-0.0142795j 1.03017e-16+0.00131971j 7.28967e-17+0.0110377j -1.61972e-16-0.0193713j -2.77445e-17+0.00172689j -2.95802e-17+0.0301016j -1.67339e-17+0.0171941j -5.16181e-17-0.00612534j -5.42605e-18-0.0204771j -2.30551e-18-0.0354139j 4.93076e-17+0.0161595j -4.71619e-17-0.00464365j -3.57475e-17+0.0276207j 3.5343e-17+0.00225449j -7.88324e-17-0.0473402j 
2.04715e-16+0.0332309j 1.20038e-16-0.00218123j -4.37038e-18-0.0197061j 8.57432e-18-0.0134744j -1.85521e-16+0.0143071j 3.08612e-17+0.0267102j -1.93097e-17-0.0163044j 5.0302e-18-0.0198175j 1.1492e-17-0.00954925j 1.01744e-16-0.0119611j 7.40882e-17-0.00860112j 2.15901e-17-0.0128606j -3.60174e-18+0.00964819j 2.97344e-17+0.0156848j -2.20592e-17-0.0132385j 2.85752e-17-0.00473037j -1.62507e-18-0.0222887j -9.8203e-17+0.00362123j -1.78065e-17+0.0123223j 9.51591e-17+0.00923772j -1.32413e-18+0.0147241j -6.55195e-17-0.00659922j 1.18428e-16-0.000487086j -1.61424e-16-0.0038107j 1.92652e-16+0.0088458j -1.46813e-16+0.0217174j -4.73246e-16-0.0235662j -4.02565e-16+0.0150243j 8.80935e-16+0.0232005j -2.57298e-16+0.00337403j 5.60181e-15+0.0162117j 1.66189e-16+0.00675476j -1.26985e-16+0.0119564j -7.18843e-17+0.00569135j 5.05016e-16+0.0085003j -3.94985e-17+0.00560914j -1.4872e-16+0.0215439j -9.80091e-17+0.00175627j -2.40894e-16-0.0151661j 6.94144e-15+0.0128544j 6.10151e-15+0.0160145j -6.38071e-15+0.00427043j -3.23938e-16-0.00275677j 2.9041e-17+0.0136693j 1.26729e-16+0.0170078j -1.08047e-16-0.00478976j 3.01491e-16+0.0131201j 2.69176e-16+0.0162284j 2.33804e-16+0.0182019j 3.06903e-17+0.0003884j 1.12465e-16+0.0205369j 1.03075e-16+0.00206501j 8.67741e-16+0.00885122j 3.08879e-17-0.000911868j 4.21912e-17-0.0201973j 3.77548e-17+0.0131767j -2.85721e-16-0.016844j 1.83819e-17-0.0136494j -5.09815e-17-0.00741504j -7.56708e-17-0.00933292j 6.2103e-17+0.00908819j -1.74518e-18-0.00651614j 1.12451e-17-0.0321142j 9.61252e-18-0.00767487j 1.37702e-17-0.0282907j 8.04391e-18+0.00497708j 6.99211e-18+0.0216963j -1.85392e-17-0.00826726j 2.64999e-17-0.016553j 2.62609e-17-0.0202005j -3.23001e-17-0.0085558j 7.06794e-17+0.0309142j 
6.76225e-17+0.00700639j 2.63552e-17+0.00915468j 1.3781e-17-0.00736996j -4.58698e-17+0.023431j -4.88368e-18+0.000738124j -5.63452e-18+0.00466522j -1.43675e-17+0.0102815j -6.68189e-17+0.0364056j 1.70399e-17+0.00186837j 1.22567e-16-0.0132691j 2.45142e-17-0.007394j 4.70955e-17-0.0136086j -8.3038e-17+0.00084049j 2.48475e-17-0.00417454j -5.61663e-17+0.0180743j -1.33837e-17+0.00940778j -7.87111e-17+0.00532292j 8.80104e-18-0.0189334j 1.78832e-17-0.00772058j 1.54379e-17+0.0019426j -8.78035e-17+0.0101297j -2.44206e-16+0.0236773j -6.81302e-16+0.0133121j 2.95863e-17+0.00605556j -5.84521e-17-0.00511488j -8.84137e-17-0.0016109j -8.70543e-17-0.000661845j 6.16453e-16-0.00153027j -1.0292e-15-0.0178856j 3.69611e-16-0.0048513j -1.03769e-15-0.00263117j 1.77971e-16-0.0116855j 1.60821e-16-0.0265784j 2.0588e-16-0.0127272j -5.41744e-16-0.00881351j -3.47625e-17+0.00776752j 1.55356e-16-0.0021975j -2.91154e-16+0.0115968j 2.55266e-16+0.00399364j -3.30444e-15-0.00824708j -2.81722e-15-0.0053625j -2.97467e-14+0.0196132j -1.90005e-16-0.0151881j 1.15013e-16-0.0237258j -1.10419e-16-0.0169772j 4.27584e-17+0.00805436j 7.17898e-17+0.0109995j -1.42227e-16-0.0297864j -7.98691e-17+0.00814828j 6.38329e-18+0.0110195j 1.20077e-17-0.0103413j 8.35165e-17+0.00732648j 1.02752e-15+0.00977005j -3.64494e-18-0.0195009j -6.29846e-19+0.0035339j -1.80054e-16-0.0352279j 9.21396e-17+0.00358816j -3.41512e-17+0.0265041j -9.54314e-17+0.00536586j -3.02317e-17-0.00293549j 9.6974e-17+0.0122215j 2.4997e-17+0.00599098j -1.98398e-17+0.00567676j 1.6044e-17-0.00722935j -7.81445e-17+0.0386922j -3.2644e-17+0.0127326j -1.13433e-17+0.0104575j -2.00964e-17-0.00820364j -4.85525e-17+0.0237664j 6.3255e-18-0.0053103j -2.17504e-17+0.00744566j -3.94953e-18+0.0104206j 
1.36096e-16+0.0204701j 5.80716e-17-0.00365107j -9.94632e-18-0.0109686j -2.96628e-17-0.0144308j -1.05508e-16+0.00880099j 3.50459e-17+0.0162993j -3.85564e-17-0.0135992j -5.17289e-17-0.021637j -6.86795e-18-0.00660389j 4.20854e-17-0.00376167j 4.32875e-17-0.00270572j 1.59579e-17-0.00560621j 1.91598e-17+0.00659775j 3.39239e-17+0.0105217j -3.73458e-17-0.0136457j 2.16948e-18-0.00669579j -3.09556e-18-0.0154692j -3.43386e-17+0.00640947j 4.69548e-18+0.00917417j 5.9718e-17+0.00571847j 1.54545e-17+0.00663906j -6.76784e-18-0.0101079j 2.80077e-16-0.00526708j -1.25262e-16-0.00286933j 1.58836e-16+0.00738659j -4.16955e-17+0.0146385j -2.50981e-16-0.0138267j -3.64509e-16+0.0110087j 8.35155e-16+0.0197932j -2.34213e-16+0.00450579j 3.5571e-15+0.0101018j 5.82079e-17+0.00803061j -6.67194e-17+0.0145392j -7.09496e-17+0.00606674j 4.72358e-16+0.00757211j -2.67942e-17+0.00141973j -1.07232e-16+0.0142315j -1.9728e-17-0.00132687j -2.45547e-16-0.0114344j 4.84988e-15+0.00881631j 4.25366e-15+0.0113616j 4.82418e-15-0.0031572j -1.34285e-16+0.00224082j 3.72844e-17+0.0145416j 1.52064e-16+0.0146321j -1.054e-16-0.00583203j 1.71717e-16+0.00567575j 2.7649e-16+0.0189971j 1.7815e-16+0.00966585j 3.38889e-18-0.00225402j 1.06082e-16+0.016362j 4.22142e-17+0.00120525j 2.88106e-16+0.00313344j 5.07566e-17+0.00431181j 7.08251e-18-0.0146159j 1.28816e-16+0.017067j -2.54474e-16-0.0132713j -3.34497e-17-0.0147859j -1.84609e-17-0.00586032j -3.71916e-17-0.00497971j 6.07913e-19+0.0024529j -2.40847e-17-0.00579682j -2.17122e-17-0.0223967j 7.53712e-18-0.00354013j -5.29697e-17-0.0280557j -1.63861e-18+0.000589838j 7.94406e-18+0.0118254j -2.72764e-19-0.00320182j -2.05884e-17-0.0167001j 7.53991e-18-0.0119083j -3.42452e-17-0.00743004j 5.62409e-17+0.0181812j 
2.30112e-16+0.040441j 1.50138e-16-0.0027684j -3.64102e-19-0.0277953j 2.86925e-17-0.0183951j -3.0352e-16+0.0228375j 3.0258e-17+0.0362454j -6.66537e-18-0.0174621j 3.33722e-17-0.0275968j 2.1739e-17-0.0136958j 2.00002e-16-0.0243493j 1.46066e-16-0.0225065j 3.74954e-18-0.0126303j 3.95414e-17+0.00820108j 6.53919e-18+0.0282132j -3.36949e-17-0.011691j 5.17365e-17+0.00652937j -2.85923e-17-0.0336761j -1.47334e-16+0.00993681j -3.15887e-17+0.0237409j 1.53597e-16+0.0109829j -1.20735e-18+0.0250306j -2.54054e-16-0.00807251j -4.17465e-16+0.0161282j -2.01341e-16-0.0155774j 2.15122e-16+0.00831261j -3.40411e-16+0.0286749j -1.14243e-15-0.0453786j -8.65884e-16+0.0122901j 1.49858e-15+0.0281629j -4.68323e-16-0.00637951j 1.11024e-14+0.0327085j 5.16268e-16+0.00138783j -2.35426e-16+0.013056j -1.27373e-16+0.0146403j 7.52375e-16+0.0124925j -3.76242e-17+0.0111445j -2.85757e-16+0.0326446j -3.36767e-17-0.000754061j -2.34919e-16-0.0150038j 1.42101e-14+0.0324998j 1.23903e-14+0.0253933j -2.64134e-14+0.0175014j -5.39542e-16-0.00736831j 2.96438e-17+0.0195038j 1.17555e-16+0.028473j -6.33361e-17+0.000884833j 4.1495e-16+0.0200252j 2.71506e-16+0.0101875j 2.64116e-16+0.027045j 3.29359e-17-0.000928937j 1.0362e-16+0.0233294j 1.07427e-16-0.0128979j 1.38789e-15+0.0147543j 2.98408e-17-0.00319492j 6.0502e-17-0.0217328j 6.19923e-17+0.0181381j -1.23581e-16-0.00916629j 7.11731e-17-0.023465j -1.16657e-16-0.0126829j -1.70005e-16-0.0165343j 1.28029e-16+0.0174307j 2.8858e-17-0.0078687j 3.60318e-17-0.042832j 1.1803e-17-0.007737j 4.44041e-17-0.0358154j 8.22072e-18+0.00275148j 5.7375e-18+0.0275658j -3.09112e-17-0.0132714j 5.70413e-17-0.0208334j 4.88315e-17-0.0273029j -3.28581e-17-0.0111028j 7.6856e-17+0.0368533j 
5.29207e-16+0.0811626j 3.2948e-16+0.0063285j -1.92463e-18-0.0534273j 6.16558e-17-0.00167242j -4.50912e-16+0.0341434j 5.55905e-17+0.0654199j -1.09902e-17-0.0222659j 8.24749e-17-0.000291086j 6.27658e-17-0.0193542j 3.69746e-16-0.0458476j 2.03913e-16-0.0321715j 5.21864e-17-0.0435705j -9.14329e-17+0.0208257j 5.11739e-17+0.0325221j -5.2937e-17-0.00534198j 7.46777e-17+0.00557033j -7.08322e-17-0.044625j -2.88738e-16-0.0131097j -6.42663e-17+0.0207197j 2.42555e-16+0.0224617j -8.97685e-17+0.0470933j -4.16634e-16+0.0143662j -7.4518e-16+0.0212073j -2.83296e-16-0.00493778j 3.22769e-16+0.0122217j -5.07333e-16+0.0463276j -1.31738e-15-0.0583862j -2.73718e-16+0.0288013j 7.52784e-16+0.0289273j -1.76651e-16-0.00233733j 1.25072e-14+0.0369521j 6.5649e-16-0.00193464j -2.09833e-16-0.00674379j 2.25047e-17-0.000240377j 4.56822e-16+0.00863839j -1.05286e-16+0.0232802j -2.00749e-16+0.0467539j -4.94344e-16+0.0168972j -1.76188e-16-0.0270376j 1.31924e-14+0.0241899j 1.16797e-14+0.0306269j -5.68611e-14+0.0376676j -1.03963e-15-0.0259626j 1.07157e-16+0.00205644j 5.17423e-17+0.0193474j -1.35713e-16+0.00176902j 7.90896e-16+0.0435358j 2.91593e-16-0.00424026j 4.19805e-16+0.0514787j 1.13355e-16+0.0137463j 2.02458e-16+0.0317051j 3.61822e-16+0.00782727j 3.29265e-15+0.0326813j -5.61122e-18-0.0264761j 1.15246e-16-0.0388149j -2.64266e-16-0.0132924j -4.21447e-16-0.0283353j 1.24659e-16-8.09419e-05j -2.20428e-16-0.0110097j -2.30055e-16-0.025853j 3.03868e-16+0.0370495j 6.24682e-17-0.00693244j 5.03197e-17-0.0646538j 1.75978e-17-0.0249891j 9.83793e-17-0.01527j 2.29842e-17+0.0251689j 2.40776e-17+0.0605704j -8.88376e-17-0.0292185j 1.014e-16-0.00751835j 6.66229e-17-0.0516046j -6.30456e-17-0.00989431j 1.66862e-16+0.0799732j 
9.21477e-17+0.0222186j 8.5823e-17+0.00165229j 1.17217e-17-0.0327117j 2.92253e-17-0.00860504j -4.70278e-16+0.034756j 8.83668e-18+0.0354505j 2.65257e-17+0.00574621j 3.87398e-17-0.0145196j 3.67668e-17-0.0148705j 4.80961e-16-0.0591132j 3.29334e-16-0.0656875j -8.11046e-17+0.00176099j 1.92677e-16-0.011005j -9.65919e-17+0.0514617j -1.11983e-16+0.0203115j 6.40207e-17+0.0597947j -1.90391e-16-0.0425497j -1.64378e-16+0.0214829j -3.23861e-17+0.0463083j 2.5395e-16+0.00492999j -3.07592e-17+0.0466694j -1.00712e-15+0.00492554j -2.91838e-15+0.0850737j -1.10334e-16-0.0524728j 1.9086e-17-0.00851798j -8.66641e-16+0.0229482j -3.049e-15-0.09431j -1.77979e-15-0.0205256j 2.22939e-15+0.00650379j -7.36057e-16-0.0502133j 2.34934e-14+0.0708661j 1.70341e-15-0.0332815j -3.51019e-16-0.010253j -1.38659e-16+0.0355509j 7.7355e-16+0.0119632j 7.96347e-18+0.0269925j -5.04644e-16+0.0427005j 2.33182e-16-0.00843956j 2.06016e-16+0.00917681j 3.05128e-14+0.0853719j 2.63841e-14+0.0357355j -1.04651e-13+0.0690611j -9.4209e-16-0.0266729j 7.93883e-17+0.0127926j -1.05749e-16+0.0408852j 2.57363e-16+0.0324863j 4.36311e-16+0.0313935j -9.69746e-17-0.0477008j 1.9872e-17+0.0373108j -1.26367e-17-0.00230995j -4.61204e-17+0.000161739j 1.3335e-17-0.0700029j 2.49176e-15+0.0280501j 4.42708e-18-0.0179687j 3.36619e-17+0.00313062j 9.09887e-17+0.0044473j 9.05404e-16+0.045873j 1.86375e-16-0.0308625j -3.42268e-16-0.0198924j -4.3487e-16-0.031466j 3.17042e-16+0.0405895j 1.40727e-16-0.00126079j 5.81637e-17-0.0347439j 9.20695e-18+0.000431991j 2.50368e-17-0.00858424j -2.12361e-17-0.00810084j 2.49619e-18+0.022325j -5.70451e-17-0.0234021j 6.42874e-17-0.00400657j 7.99241e-17-0.0269655j -1.68075e-17-0.00551825j 2.6636e-17+0.0184646j 
-6.32766e-16-0.0914803j -3.28807e-16-0.00989277j 5.19652e-18+0.0651015j 6.48156e-17-0.00392292j 5.48858e-16-0.0433802j -9.33906e-17-0.0772918j 8.55923e-17+0.0185448j 1.12152e-16-0.00823843j -5.2277e-17+0.0227859j -5.60967e-16+0.0649591j -3.07849e-16+0.0503076j -7.81309e-17+0.0492647j 6.15241e-17-0.0194763j -8.60638e-17-0.0437988j 1.98548e-16-0.00476608j -3.632e-17-0.0220222j 2.06253e-16+0.0540339j 2.5227e-16+0.0149852j 1.46535e-17-0.0292563j -3.24473e-16-0.0250492j 1.40465e-16-0.0624932j 8.41825e-16-0.0236509j 1.69742e-15-0.0451066j 3.37679e-16+0.0147595j -3.60082e-16-0.00916568j 6.96249e-16-0.0526731j 2.11061e-15+0.0816869j 4.39312e-16-0.0248949j -1.06131e-15-0.0257158j 1.97181e-16+0.0150783j -1.78844e-14-0.0531825j -1.17807e-15+0.0131272j 1.12586e-16+0.0178446j -1.1922e-16-0.00349201j -5.22533e-16-0.00877119j 1.395e-16-0.0326493j 2.18524e-16-0.0572872j 5.97634e-16-0.0194321j 1.03536e-16+0.0247733j -1.94287e-14-0.041315j -1.71014e-14-0.0379751j 9.18426e-14-0.0607044j 1.29328e-15+0.0377595j -2.87775e-16+0.00269467j -9.51114e-17-0.0236468j 1.1444e-16-0.011608j -9.23178e-16-0.055706j -3.90746e-16+0.0245457j -4.18411e-16-0.0643437j -7.44035e-17-0.0173256j -2.88178e-16-0.0296356j -3.85687e-16+0.0049585j -4.2803e-15-0.0432952j -7.03645e-17+0.037763j -7.02171e-17+0.0384911j 1.45708e-16+0.024193j 2.60877e-16+0.0181513j -2.803e-17-0.00165427j 3.70891e-16+0.0140974j 3.50746e-16+0.0347505j -3.85105e-16-0.0513921j -6.66806e-17+0.00554704j 2.91382e-17+0.0730031j -3.78925e-17+0.0281968j 1.29591e-16+0.00527417j 3.07008e-17-0.0284662j -2.47895e-17-0.0712253j 9.48057e-17+0.0381664j 2.47653e-17+0.00102669j -6.91006e-17+0.0612749j 1.23342e-16+0.00909446j -2.00651e-16-0.0905176j 
