-9.14253e-15-0.0197005j -6.17977e-16-0.00186354j -7.30977e-18+0.00140403j -7.05184e-18-0.00814997j -6.27531e-18-0.0031375j 8.50983e-18-0.0093368j 1.97858e-17-0.0101253j -5.62167e-18-0.000392821j -1.20245e-17+0.00495017j -5.50869e-18+0.0022979j 3.74887e-17+0.00682681j -1.52104e-17+0.00873806j 4.17359e-18+0.00436589j -2.35335e-17+0.00892163j -1.80557e-17+0.000915479j 9.95954e-18+0.00123322j 1.3179e-16-0.0117729j 5.59798e-17+0.00163978j 4.23981e-17+0.00781532j 2.01576e-17+0.00060674j -5.2062e-17-0.00438112j 1.96788e-18-0.00369167j -6.26591e-18+0.00671802j -3.10617e-17-0.0105298j -4.28412e-17+0.0065601j -4.85115e-17+0.00435563j 1.04827e-16-0.0099346j -4.52541e-16+0.00391331j -9.25927e-18-0.00273243j -3.87531e-18-0.00209136j 8.75021e-17+0.000526163j 5.51882e-16-0.0216215j -1.19704e-16+0.00153926j 1.10431e-16-0.0047206j 5.25264e-17-0.00284778j 3.02721e-16+0.00367584j 6.09049e-17+0.00201704j -3.48025e-15+0.00124331j 2.50037e-14+0.00783845j 2.42439e-14+0.00226575j 5.77048e-17-0.009912j -9.2228e-17+0.00020424j 4.04048e-17+0.00127771j -1.93474e-17+0.00555885j -3.03991e-17-0.00523014j 7.26962e-17-0.00234259j 9.69985e-17-0.0011483j 5.4999e-17-0.00258108j 1.0703e-16+0.014403j -2.03255e-17-0.000495252j 1.04722e-16+0.00730834j -5.94545e-17+0.00451769j -7.54335e-17-0.000353602j 2.96266e-18-0.010195j -2.72099e-17-0.00746614j -1.84158e-17-0.00875396j 4.13147e-17-0.00108367j 1.41339e-17-0.00363857j 4.25934e-18-0.00136933j -2.10413e-17-0.00292837j 7.27316e-17-0.00666517j -7.29603e-17-0.013053j 1.0085e-17-0.00752976j 2.17119e-17+0.00168672j 2.02202e-17+0.00478608j 4.63205e-17-0.00794835j 1.24533e-17-0.00221486j -2.53167e-17-0.00405424j 9.50797e-18-0.0035636j 7.83541e-18-0.00651626j -1.11248e-17+0.00521701j -2.4042e-17+0.00732274j -5.63998e-19-0.00311008j -4.28823e-18-0.0120625j 2.67241e-17+0.00220633j 4.76924e-16-0.0103732j -6.99287e-15-0.0153961j 
-4.73129e-15-0.0107829j -3.17903e-16+0.00850538j 9.99502e-19-0.00125025j -4.10301e-18+0.0104027j -5.52228e-18-2.8144e-05j -1.08934e-17-0.00764076j -6.08746e-19-0.00110589j -1.04602e-18+0.00454709j -8.63921e-18-0.00220667j -1.46244e-18+0.00144112j 4.87007e-18+0.00117645j -1.14215e-17+0.00325598j 6.06875e-18-0.00133784j 4.42379e-18-0.00519107j -7.55863e-18+0.0068382j -5.72114e-17+0.00881222j 6.65766e-17-0.00607944j 3.97054e-17-0.0070081j -2.41184e-17-0.00251054j 8.21737e-18-0.00206851j 2.99036e-17+0.000916513j -7.19452e-19-0.00799249j 2.04485e-17+0.00521818j -3.0603e-17-0.00585779j -4.82997e-17-0.00497579j -3.54776e-17+0.00326058j -2.00331e-16-0.0088224j -8.62597e-17-0.00352231j -1.70465e-16-0.0118552j -6.09244e-17-0.00112695j -3.5803e-17+0.00553494j 4.75066e-17+0.00130643j -3.20288e-17+0.00078037j -8.51507e-17-0.00793933j 2.4952e-17+0.00328709j -6.52548e-17-0.000574485j -4.39943e-17-0.00629656j 2.78463e-15-0.00113851j -1.83044e-14-0.00603167j -1.77728e-14-0.00138123j -2.77426e-17+0.00177125j -2.64264e-16+0.00164764j 1.38127e-16-0.00197726j -6.96326e-17+0.00885185j 1.55674e-16+0.00557249j -1.06802e-15+0.0166213j 8.35575e-17-0.00163129j 9.17984e-17-0.00396763j 6.69915e-17+0.00225817j -1.18759e-16+0.00156173j 8.0213e-17+0.00983281j -6.53497e-17+0.00117347j -5.20226e-17+0.00517031j 1.73359e-17-0.00647309j -3.44038e-17-0.000910854j -1.26747e-17-0.00458589j -6.22513e-17+0.00386806j -1.02498e-17+0.000885446j -1.22621e-17+0.004672j 1.04562e-17-0.00203582j 4.07202e-17-0.0106668j 1.86138e-17-8.64915e-05j -5.11174e-18+0.00273564j -5.15499e-18-0.00552134j -6.08359e-18-0.0041525j 3.21509e-17-0.00484209j 1.24798e-17-0.00349544j 4.02522e-19-0.000556835j 1.21201e-17+0.00165134j 2.19142e-18+0.000202131j 8.57985e-18+0.00605519j -2.2075e-18+0.00849099j -3.66815e-18+0.00542092j -6.57939e-20+0.00641895j -2.23394e-17-0.00170241j 4.57284e-16+0.00185568j -6.89118e-15-0.0142951j 
-5.682e-15-0.013339j -4.05621e-16+0.0133787j -9.39514e-18+0.00299647j -2.75659e-18+0.0173234j -2.14967e-17+0.0050801j 2.44109e-17-0.00728514j 5.7854e-17-0.00494041j -1.69572e-17+0.00881316j -5.91966e-17+0.00374057j -2.00669e-17+0.00482437j -2.63488e-17-0.000670944j -5.22965e-17+0.00515496j 2.47647e-17-0.00800592j -1.6973e-17-0.0055822j -2.28151e-17+0.00781308j -1.35467e-16+0.0143136j 6.4661e-17-0.00564942j -3.92218e-18-0.00422423j -6.07904e-17-0.00471234j 4.93559e-18-0.00557807j 6.14493e-17+0.00329157j 8.90797e-18-0.00720622j -2.24282e-17+0.00738224j 1.92364e-17-0.0102601j -7.6608e-17-0.00193308j -7.50684e-17+0.00428364j -1.27297e-16-0.00601378j -1.92114e-16-0.000306507j -1.68947e-16-0.0183565j -1.36161e-16-0.00363214j -2.3217e-17-0.0016027j -1.0655e-17+0.010095j -5.84412e-17+0.00715703j -1.27434e-16-0.006117j 2.37126e-17+0.00378756j 1.19082e-17+0.000984101j -8.63435e-17-0.0121305j 5.38515e-15-0.00217267j -3.82949e-14-0.0120289j -3.70989e-14-0.00349704j 2.84302e-18+0.00690802j -1.03772e-15+0.00658852j 1.03944e-16-0.0021631j 1.48676e-17+0.0042376j 3.3014e-16-0.00136197j -1.91627e-15+0.0274488j 3.12858e-17+0.0016156j 6.3804e-17-0.00194343j 3.84521e-17-0.000276486j -2.78606e-16+0.0042117j 4.45492e-17+0.0108618j -1.64677e-16+0.00413987j -9.95164e-17+0.00821475j 1.07199e-16-0.0110116j -6.54376e-18-0.00668126j 1.11243e-17+0.000337741j -1.00649e-16+0.00534025j -2.52241e-17+0.00152006j -2.54023e-17+0.00911574j 1.56553e-17+0.00343158j 6.2704e-17-0.0135759j 9.7894e-17+0.00435142j 1.56826e-17+0.00145489j 1.75427e-17-0.0103893j -2.39086e-17-0.00633463j 7.84663e-17-0.00594201j 3.75328e-17-0.00683584j 1.96388e-17-0.00203028j 6.95878e-17-0.00603039j 2.34871e-17+0.00197956j -2.86474e-17+0.012205j -3.65919e-17+0.0105672j 1.26082e-17+0.0044108j 6.30976e-18+0.0136229j -4.15665e-17+0.00165085j 6.61736e-16+0.00532797j -9.6036e-15-0.0199081j 
1.83532e-14+0.0393856j 1.17997e-15-0.000709205j -1.18468e-17+0.0012686j -2.16412e-19+0.00927609j 5.07187e-18+0.00844151j 9.09031e-17+0.0214248j 7.31237e-17+0.0154458j -2.74202e-17-0.000747093j -4.1716e-17-0.00238416j -3.04888e-17-0.00301807j -1.14559e-16-0.0126717j -5.10142e-17-0.0160837j 1.94331e-18-0.00946915j -5.43814e-18-0.0113192j -6.1412e-18-0.00487951j -6.6263e-17-0.00613036j -1.86804e-16+0.0245905j -1.42274e-16+0.0044767j -9.47165e-17-0.012021j -2.55786e-17-0.00120561j 9.17024e-17+0.00794731j 4.62875e-17+0.0131833j -9.28158e-17-0.0125868j 1.96778e-16+0.0193376j 6.28603e-17-0.00635105j 4.47257e-17-0.00846561j 8.45473e-17+0.0246046j 7.56329e-16-0.00250007j 2.28032e-16+0.0102875j 6.13056e-17+0.00402797j -9.30434e-17-0.00850078j -8.9541e-16+0.0390988j 1.77519e-16+0.00188512j -7.38746e-17+0.0159615j -1.12485e-16+0.00296067j -3.93681e-16-0.00434341j -5.54518e-17-0.00111748j 4.94895e-15-0.00170662j -3.69886e-14-0.0113721j -3.58415e-14-0.00357889j -2.39569e-17+0.0172096j -9.61167e-17+0.00108021j -1.87858e-16-0.00132461j 8.42959e-17-0.0185468j 5.09173e-17+0.000788332j 2.02464e-16-0.00362717j -2.38326e-16+0.00645583j -1.72568e-16+0.00747659j -3.19517e-16-0.0267463j -2.0985e-18+0.00215256j -3.55466e-16-0.0198165j 5.18207e-17-0.00714493j 1.15335e-16-0.000171212j 1.29995e-16+0.0190741j 1.5124e-16+0.0106516j 9.94229e-17+0.0208295j -5.37061e-17-0.000389082j -1.1166e-17+0.00536396j -2.82309e-17+0.00117762j 3.70496e-17+0.0101075j -5.67133e-17+0.0176848j 2.01375e-16+0.0237305j 3.27315e-17+0.0108197j 6.25743e-18-0.00205908j -4.38277e-17-0.00512022j -1.42187e-17+0.0158046j 1.69274e-17+0.00491159j 7.86268e-17+0.00597762j 4.73062e-17-6.77077e-05j 2.64473e-17+0.0112746j -7.93593e-17-0.00929752j -5.54879e-17-0.0179058j 1.46181e-17+0.000161933j 2.79421e-17+0.0190896j -5.36437e-17-5.79276e-05j -9.87182e-16+0.0177369j 1.54866e-14+0.0332938j 
-3.7807e-15-0.0089265j -2.43414e-16+0.0138434j 2.72234e-17-0.00657759j -1.7542e-17+0.0192468j 1.86815e-17-0.00244487j -3.03924e-17-0.0099551j -6.06427e-17+0.00634811j 6.85744e-18+0.00573559j 5.37207e-17-0.0117155j 1.89257e-17-0.00103776j 2.46189e-17+0.000447828j 3.31583e-17+0.001266j -8.16724e-18+0.000287905j 5.72495e-17-0.0139941j 1.01043e-17+0.0120776j -6.16452e-17+0.0130515j 7.71024e-17-0.00581131j 1.08044e-16-0.0166483j -2.90579e-17-0.00705103j 1.06915e-17-0.00155373j 5.91899e-17+0.00204931j -4.33077e-18-0.0151944j 8.24987e-17+0.00468426j -7.80931e-17-0.00235607j -3.33789e-17-0.0151377j -9.32658e-18+0.00319431j -4.66302e-16-0.0139759j 1.58782e-16-0.0111231j -3.05231e-16-0.016524j -5.49102e-17+0.000633074j -1.4421e-16+0.0164315j -1.51689e-16+0.00710965j 3.84443e-17-0.00484096j -1.52285e-16-0.0143718j 1.17468e-17+0.00683915j -4.04824e-16-0.00489838j -9.38225e-17-0.00947253j 5.28801e-15-0.00209316j -3.37994e-14-0.0113322j -3.28548e-14-0.00233271j -1.22211e-16+0.0044369j 2.00299e-16-0.00121527j 2.63325e-16-0.00472876j -2.32225e-16+0.0175656j 1.66096e-16+0.019109j -1.51042e-15+0.0256582j 1.5265e-16-0.00608712j 1.92597e-16-0.00756574j 8.31575e-17-0.00147903j -8.00908e-17+0.00109949j 1.06692e-16+0.0146249j -1.78758e-17-0.00215609j -2.01524e-17+0.0075414j -3.41288e-17-0.00360143j -8.30591e-17+0.00627834j -3.15391e-17-0.00897178j -1.19213e-16+0.00715823j -1.60882e-17+0.00339118j -1.33471e-17+0.00670062j 4.82006e-17-0.0067329j 4.71739e-17-0.0148325j 2.45728e-19+0.00272049j -4.06039e-17+0.00958053j -5.00468e-17-0.00808473j 5.54925e-19-0.00932857j -8.49393e-18-0.00519809j -5.89375e-18-0.00366818j -3.88837e-18+0.00230566j -5.06438e-17+0.011135j -1.44579e-17+0.00266391j 5.04303e-17+0.00393901j 1.23755e-17+0.0109414j -3.76042e-17+0.0130413j -4.62608e-18+0.0132671j -2.94283e-17-0.00723424j 4.90559e-16+0.00631466j -7.76488e-15-0.0156846j 
-9.94784e-15-0.0208765j -6.18186e-16-0.0092414j -3.34559e-18+0.00717252j 6.37872e-17-0.0201237j 3.01448e-18-0.000781887j -6.72465e-18-0.00661894j 3.33912e-17-0.0180276j 1.95887e-17-0.0030742j -1.49003e-17+0.0159463j 4.25399e-18+0.00447702j 5.52725e-17+0.00852855j 1.44277e-17+0.00995769j -9.88479e-18+0.00431035j -6.87248e-17+0.0187364j 2.56202e-17-0.00389634j 1.21034e-16-0.005778j 8.86078e-17-0.0116926j -6.046e-18+0.0128183j 6.96981e-17+0.0137085j -3.80354e-18+0.000923156j -9.04048e-17-0.00598235j -3.97056e-17+0.00573922j -2.35007e-18+0.00846j -5.22273e-17-0.0136874j -4.72244e-17+0.0164957j -3.17456e-17+0.00496898j 3.6061e-16-0.00440926j -6.65719e-16+0.0114547j 8.35423e-17+0.00464933j 3.69609e-17-0.00216217j 2.28963e-16-0.0103201j 7.92006e-16-0.0306345j -1.23098e-16+0.008856j 2.30942e-16+0.00397047j 5.20149e-17-0.00630752j 7.55468e-16+0.00913593j 7.90101e-17+0.00801956j -7.11911e-15+0.00264929j 4.91684e-14+0.0156908j 4.7716e-14+0.00419191j 1.57239e-16-0.0147549j -4.74211e-16+0.00260419j -1.3019e-16+0.00389601j 1.48445e-16-0.00385755j -1.26637e-16-0.0194487j 9.69037e-16-0.0165218j 6.68338e-17+0.00565953j -1.01093e-16+1.77844e-05j 1.14302e-16+0.0194267j -2.05526e-17+0.000856161j 8.04343e-17+0.000216159j -6.56153e-17+0.00714026j -3.39547e-17-0.00183549j -2.25162e-17-0.0127187j -2.16027e-17-0.0134913j -2.50466e-17-0.00402067j 1.41778e-16-0.00540328j 1.89994e-17-0.00716324j 6.04613e-17-0.00479026j -2.17828e-17+0.00240055j 3.43513e-18-0.000842308j -1.01102e-16-0.0173897j 3.45514e-17-0.0135594j -3.90006e-18+0.00483402j 8.24795e-18+0.0124763j 2.11136e-18-0.00741123j -2.08692e-17-0.000514802j -5.36136e-17-0.00750692j 7.94513e-18-0.0136761j 1.93289e-17-0.0101732j 2.05222e-17+0.00707878j 1.62758e-18+0.0032741j 3.19766e-17-0.0122533j 3.71821e-17-0.0214469j 7.04155e-17+0.00859617j 3.8372e-16-0.0160946j -5.28869e-15-0.0120876j 
-1.47842e-14-0.0331831j -9.37089e-16+0.0213449j 2.71151e-17+0.00374165j 5.41635e-17+0.0245783j -4.16667e-18+0.00468855j -6.78665e-17-0.0188081j -1.80209e-17-0.0124568j 2.96923e-17+0.0143657j -5.39939e-18+0.00538125j 2.27678e-17+0.00833939j 2.10994e-17+0.00212817j 5.75618e-19+0.0121536j 6.87593e-18-0.00971414j -1.03003e-17-0.00589876j 2.72082e-17+0.0128195j -1.07194e-16+0.024036j 9.49347e-17-0.0172584j 4.86846e-17-0.00902249j -5.81143e-17-0.00422228j -1.56011e-17-0.0085108j 7.33618e-17+0.00276288j -3.6511e-17-0.0154093j 8.68606e-17+0.0145947j -1.47415e-16-0.0220726j -1.23536e-16-0.00108616j -7.86228e-17+0.00886342j -3.08571e-16-0.0178321j -5.20223e-16-3.08151e-05j -4.62044e-16-0.0326995j -2.71843e-16-0.00768736j -4.01314e-17+4.47077e-06j 2.29141e-16+0.00387286j -6.73233e-17+0.00939303j -2.29961e-16-0.0162857j 8.69202e-17+0.0055034j 1.85893e-16+0.00299051j -1.69066e-16-0.0185836j 7.00023e-15-0.00291728j -4.95219e-14-0.0155606j -4.79437e-14-0.00451887j 2.91458e-19+0.00628868j -1.59677e-15+0.0103604j 2.16853e-16-0.00209029j 2.11917e-17+0.013688j 4.54142e-16-0.0018419j -2.97199e-15+0.0448317j 1.60567e-16-0.000204217j 1.37904e-16-0.00522645j 2.25435e-16+0.0081691j -3.7129e-16+0.00495232j 2.77247e-16+0.0243708j -2.22624e-16+0.00869272j -1.28388e-16+0.0119439j 5.49495e-18-0.023125j -1.33014e-16-0.0137788j -3.47279e-17-0.00570621j -1.18033e-16+0.00847951j -4.70853e-17+0.000820729j 1.90124e-17+0.0135455j 4.23038e-17+0.00112895j 2.11251e-17-0.0275574j 6.33926e-17+0.0002429j -3.82183e-18-0.00111666j -4.05501e-17-0.014642j -2.36334e-17-0.00888046j 5.12314e-17-0.013056j 7.46216e-18-0.0119551j -3.08584e-17-0.00472379j 1.6111e-17-0.00838827j 6.56501e-18-0.000364895j 8.80559e-17+0.0217735j 4.22743e-17+0.0231006j 1.05758e-17+0.00754405j 2.92266e-17+0.0153988j -1.52726e-17+0.00197143j 1.3335e-15+0.00281391j -2.00976e-14-0.0416596j 
1.08714e-14+0.0229165j 6.91525e-16+0.00655939j 2.95394e-17+0.00539589j -9.26374e-18+0.016177j 1.72239e-17+0.0129033j 7.5998e-17+0.021307j 3.34036e-17+0.0104031j -2.39176e-17+0.00317734j 4.50907e-18+0.00522183j -2.52065e-19+0.00158307j -2.69743e-17-0.00496819j 8.00627e-18+0.00482029j 1.49959e-17-0.0134035j 3.20743e-17-0.00240426j 2.21985e-17+0.00235243j -1.8799e-16+0.0130336j -2.72888e-16+0.0230206j -1.2879e-16+0.00823476j -4.10065e-17-0.00731137j -2.01558e-17-0.00339227j 7.78488e-17+0.00617047j -5.89661e-19-0.00203018j -2.62857e-17-0.00634351j 1.25827e-16+0.0107457j 1.00964e-16+0.000753305j 4.67277e-17-0.00391564j 2.24285e-16+0.0243585j 4.46371e-16+0.00460299j 1.85738e-16+0.00264398j -1.01318e-17+0.000842156j -1.34833e-16-0.00682509j -8.76089e-16+0.0387816j 1.83566e-16+0.0051944j 3.07849e-17+0.0188762j -6.43409e-17-0.00589011j -9.25143e-16-0.00988623j -2.1292e-16-0.0160608j 7.26523e-15-0.00273331j -5.49718e-14-0.0165868j -5.31162e-14-0.00566599j -8.97794e-17+0.0130397j 1.53063e-16-0.00111189j -1.94648e-16-0.00909966j 6.59258e-17-0.0251243j 2.05136e-16-0.00480867j -1.08253e-15+0.0143095j -2.98695e-16-0.00112991j -4.50599e-17+0.0105097j -2.44798e-16-0.0270738j -1.84595e-16+0.00651009j -2.89857e-16-0.0151476j -8.18214e-17+0.000182685j 7.02753e-17+0.00364894j 1.20493e-16+0.0103552j 5.90911e-17-0.00120481j 4.52158e-17+0.00936836j -1.28225e-16+0.00441193j -4.83327e-17+0.00751423j -3.73936e-17+0.0114843j 5.66815e-17+0.0158365j -7.35534e-17+0.0134242j 1.04331e-16+0.0137195j 7.55529e-18+0.000142164j -1.61871e-17-0.0138785j -2.0693e-17-0.00998515j 6.70527e-18-0.00341791j 2.21573e-17-0.00832542j 5.28923e-17+0.00337534j 6.26579e-18-0.00957469j 1.42825e-17+0.0130468j -2.7517e-17-0.00306743j -3.92078e-17-0.0151267j -1.01282e-17-0.0011288j 5.13295e-18+0.0236715j -1.56801e-17+0.0031278j -4.12479e-16+0.0171199j 6.35819e-15+0.0143107j 
-1.34398e-14-0.0303223j -8.51583e-16+0.0220206j 3.21345e-17+0.00611797j 5.2606e-17+0.0266111j -5.32756e-18+0.00652545j -5.4438e-17-0.0204631j -6.37156e-18-0.0163977j 2.56597e-17+0.0174699j -1.87723e-18+0.00744885j 2.31335e-17+0.0100519j -5.62947e-18-0.0045654j 2.78562e-17+0.00328178j 1.46696e-17-0.0150874j 1.62751e-17-0.00934557j 3.62118e-17+0.00689074j -5.11896e-17+0.0192223j 1.263e-16-0.0190498j 5.18959e-17-0.00811105j -7.54491e-17-0.00844955j -3.17634e-17-0.0115574j 9.00516e-17+0.00559846j -4.31209e-17-0.00627701j 7.60718e-17+0.0122912j -1.52219e-16-0.0242489j -1.26908e-16+0.00161512j -8.46204e-17+0.00692929j -2.94397e-16-0.0163615j -5.41759e-16+0.00126587j -4.86981e-16-0.0368839j -3.82007e-16-0.0113113j -2.27723e-17-0.0109434j 1.81332e-16+0.0105249j -6.66099e-17+0.0126414j -3.38371e-16-0.0191154j 3.89965e-17+0.0102712j 6.51648e-16+0.00868174j -1.58537e-16-0.0166191j 8.02229e-15-0.00329779j -5.87229e-14-0.0181019j -5.6857e-14-0.00572683j 2.67026e-17+0.0141802j -2.73398e-15+0.0180839j 1.51704e-16+0.00433403j 1.12167e-16+0.0136671j 4.94975e-16-0.00859677j -3.19917e-15+0.0472j 1.39542e-16+0.00565595j 5.93145e-17-0.00351111j 2.32067e-16+0.00846371j -3.62624e-16+0.00319803j 2.95145e-16+0.025814j -2.11045e-16+0.00947735j -1.39676e-16+0.0101682j 1.18078e-17-0.0250951j -1.41064e-16-0.0165423j -3.49047e-17+0.00556497j -9.56861e-17+0.00690451j -5.05831e-17-0.000108443j 5.13616e-17+0.0118286j 6.72468e-17+0.00211744j 3.16436e-17-0.0301593j 1.18658e-16+0.00978086j -2.65689e-17+0.000163447j -5.05561e-17-0.010889j -3.37948e-17-0.00871864j -9.84179e-18-0.00288145j -2.03397e-17-0.00871749j -3.49585e-17-0.00521026j 1.7938e-17-0.0117225j 1.3337e-17-0.000339089j 8.3664e-17+0.0254943j 2.49981e-17+0.0264768j 6.91484e-18+0.00683143j 2.48799e-17+0.0180953j -1.20673e-17+0.00378045j 1.27731e-15+0.00474265j -1.93075e-14-0.0398788j 
1.07851e-14+0.0240535j 7.40581e-16-0.00949208j -1.84988e-17+0.000725608j 1.93339e-17-0.00811763j -1.24126e-17+0.00110045j -1.74375e-17+0.0142102j -3.20245e-18+0.00568907j 8.43218e-18-0.00403449j -1.5465e-17-0.001284j 3.46069e-18-0.0025534j -2.60581e-17-0.00769208j 4.60528e-17-0.00957977j 9.00993e-18-0.0029067j 1.12448e-17+0.00221499j 3.13007e-17-0.0136596j 8.86802e-17-0.0113431j -1.72801e-16+0.0126837j -1.09734e-16+0.00751822j 4.75814e-19-0.00220526j -1.98946e-17+0.00116919j -1.4009e-17+0.00145176j -4.86927e-17+0.0122579j -2.25103e-17-0.013811j 3.97269e-17+0.0124438j 7.56649e-17+0.00620973j 7.59513e-17-0.00839673j 1.92352e-16+0.016869j 2.65144e-16+0.00416364j 1.8279e-16+0.0144792j -2.53893e-17-0.00120355j 6.14411e-18-0.0110345j -3.90105e-16+0.0122827j 5.41745e-17-0.00487809j -6.874e-17+0.00908793j -5.27344e-17-0.00309092j -9.94725e-17-0.00116779j -4.9017e-18+0.00536045j -1.14073e-15+0.000556179j 4.08491e-15+0.00212525j 4.07099e-15-0.000468788j -1.04472e-17+0.00624345j 1.17648e-16-0.00039245j -2.20716e-16+0.00467951j 1.67182e-16-0.0140797j -1.0468e-16-0.00654659j 1.11532e-15-0.0167955j -2.43676e-16-0.000159389j -1.21101e-16+0.00922188j -1.24682e-16-0.0107229j 2.0947e-16-0.00475363j -4.49751e-17-0.0137067j 1.23469e-16-0.00238722j 7.85515e-17-0.0105605j -4.28001e-17+0.0133612j 5.0246e-17+0.00204786j -2.25641e-17+0.0121845j 6.90722e-17-0.00445695j 1.49092e-17+0.00144933j 2.31281e-17-0.00540119j -3.86155e-17+0.00264387j -1.13283e-16+0.0159072j 1.27449e-17+0.0096743j -1.12745e-17-0.00255409j -1.42435e-18+0.00872065j -2.0669e-17+0.000553796j -9.38013e-17+0.0131225j -3.65631e-17+0.00486247j 2.39346e-17+0.00349949j 1.27962e-17-2.45608e-05j -8.9722e-18+0.00400015j -1.22336e-17-0.0108079j 4.37219e-17-0.0124946j 2.66354e-17-0.00469529j -3.67435e-18-0.0013538j -1.07615e-17+0.000351516j -8.32868e-16+0.00320164j 1.22101e-14+0.025888j 
-6.20957e-15-0.0132581j -2.05778e-16-0.0127648j 2.14635e-16-0.0100804j 4.07361e-16-0.0226651j 3.96723e-16-0.0172484j 2.20345e-16-0.00816137j -2.05207e-17-0.000868788j 1.46567e-16-0.00771312j 3.83634e-16-0.0145744j 1.25098e-16-0.00523603j -9.08761e-17+0.0070488j -1.50328e-16+0.00793587j -3.49044e-16+0.0154152j -2.37633e-16+0.0134284j 2.1328e-16-0.0118486j 1.90482e-16-0.00629476j 5.16877e-16-0.0132866j 3.26323e-16-0.00605172j -1.45327e-16+0.0114442j -9.63834e-17+0.00719139j 1.11239e-16-0.0105171j 2.65817e-16-0.0109854j 2.03588e-16-0.00921457j -4.86784e-17+0.00079216j -1.3313e-16+0.00862245j 7.99794e-17-0.00347264j 4.74672e-16-0.013672j -4.02704e-16+0.00166348j -9.55017e-17+0.00997955j 8.656e-17-0.0054774j -3.40013e-16+0.0120645j 1.45363e-15-0.0357699j 3.9842e-16-0.0251108j 4.84714e-16-0.016119j 2.79671e-16-0.00934537j -2.3391e-16-0.0045378j -4.39553e-17+0.00847134j -8.16867e-15+0.00304586j 5.57261e-14+0.0182873j 5.44204e-14+0.00443161j 3.06772e-16-0.016107j 1.92865e-15-0.0111725j -4.60094e-17+0.00573103j -5.89638e-16+0.014117j -4.94332e-16+0.007862j 1.72128e-15-0.0195367j 5.04047e-16-0.0218498j 2.8755e-16+0.00157305j -3.1458e-16+0.0170253j 8.31399e-16-0.0147455j 2.90693e-17+0.0104436j 1.09694e-16+0.00168999j 3.53884e-16-0.0196441j -1.5857e-16+0.00230966j -1.24595e-17-0.00176486j 4.21691e-16-0.0215114j 1.68241e-16-0.00372204j 1.19493e-16-0.00185935j 2.16835e-16-0.0106072j 3.73824e-16-0.019784j 1.62168e-16+5.08589e-05j 2.5043e-16-0.0204386j 2.92431e-16-0.0153109j -3.59752e-16+0.0180514j 2.06208e-17+0.00227788j 9.26083e-17-0.00350699j -8.69518e-18+0.000572836j -5.52133e-17+0.00212753j -4.44326e-16+0.0165108j 1.4007e-16-0.0070691j 2.50847e-16-0.0135975j -1.65742e-16+0.00520836j -8.71753e-17+0.00105312j 5.71029e-16-0.0279887j 2.26482e-16-0.00861314j 4.23475e-16-0.0183435j -5.5365e-16-0.00261769j 
