-0.010486-0.0106698j -0.00664445+0.00219329j -0.00822654+0.0169258j 0.000617364+0.00648904j 0.00518132-0.00245937j 0.0114393-0.00843754j -0.00979611+0.0112913j -0.000543898+0.00244986j -0.00406719+0.000869411j 0.00944849+0.00602308j -0.00664408+0.00142404j 0.00615791+4.79885e-05j 0.016426-0.000532198j 0.0157818+0.00565775j 0.0112084-0.00930676j -0.0190653-0.00833786j 0.007759-0.000390811j -0.0125506-0.00108861j 0.00895507+0.000483046j 0.0144314-0.0111819j 0.00402471-0.0117131j 0.0237437+0.00466744j -0.00374505-0.0196299j -0.00391693+0.0126636j -0.02693-0.0148535j 0.0231838-0.0232807j 0.00786415-0.0210277j 0.00412439+0.00316048j 0.00712964-0.00612677j -0.00153989+0.00945861j -0.0130866+0.000735612j 0.00152837+0.00329796j -0.00653568+0.00780501j -0.014793+0.00078812j -0.0111727-0.008808j 0.000214555+0.0067515j 0.00493862+0.00976228j -0.00749637-0.00409053j -0.00756339-0.00106963j -0.0137262-1.93252e-05j -0.00742326+0.00357803j 6.06608e-05-0.00488157j 0.00465613+0.00878069j 0.00425502+0.0036686j 0.000947318+0.000811282j -0.00285832-0.000718951j -0.00274112-0.00496291j 0.00297928-9.58501e-05j 0.00649494-0.00977065j 0.00939303-0.010343j -0.0058263+0.00819605j -0.00179694-0.000275121j -0.00618229+0.0108157j -0.00330146+0.00997107j 0.00374093-0.00110897j -0.00585445-0.00531229j 0.000494407+0.00131871j -0.00412709-0.00860901j -0.0148578-0.00212305j -0.00210783-0.0208139j 0.0184497+0.00581229j -0.0237879-0.00146181j -0.0244832-0.0358935j 0.00946589+0.0166858j 0.0186831-0.0168185j 0.0154765-0.00671204j -0.0143693+0.0322353j -0.0138669+0.0166986j 0.00284785+0.0032019j -0.00247721-0.000379968j -0.00428354-0.00569823j -6.50086e-05+0.00128297j 0.0124702+0.0104604j 0.000631623+0.00233928j -0.00626058-0.00103252j 0.00288389+0.000836648j 0.00472484-0.00442958j 0.00425414+0.00283347j 0.0100449+0.000388277j 0.00361497+0.00586267j 0.00315863+0.00881531j 0.0029458-0.00401192j -0.0129827+0.00644743j 0.00124342+0.00783346j -0.00503842-0.00309242j 0.0161556-0.00638308j 0.000126327-0.0174898j 0.0103326-0.0175168j 0.00154518+0.0389416j -0.0114401-0.0147751j 0.0279021-0.0399701j 0.0372639+0.0218818j 
-0.00557514+0.00202923j 0.0077545+0.0101794j 0.0122432+0.0176398j 0.000656724-0.00241696j 0.00797223-0.00314474j 0.00546063-0.00539486j 0.000386194+0.00748394j 2.97765e-05-0.000620701j 0.000259076-0.0030366j 0.0108872-0.00555686j 0.000918895-0.000702986j -0.00168753+0.000996807j 0.00761619+0.00497567j 0.00522463-0.00516049j -0.00934218-0.00293209j -0.00154197+0.0167376j 0.0122851+0.00834434j 0.00101062+0.0174439j -0.00224209+0.00173604j 0.00253061-0.00346457j -0.0113542-0.00532293j 0.0100297+0.00275992j -0.0181209+0.000105193j -0.0043651-0.000374176j -0.0108154+0.0248888j -0.0172905-0.0236762j -0.0283752-0.00644195j -0.000238169-0.00188076j -0.00672371-0.00485707j 0.00368798+0.00734929j 0.0070694+0.00269024j -0.00454873-0.00588332j 0.00707782+0.00525227j 0.00921198+0.0121668j -0.00186932+0.00239545j 0.00458198+0.0079562j 0.0119225-0.00556893j 0.00230833+0.00266676j 0.00176888+0.00518815j 0.00523092+0.0107752j 0.00392097+0.00295351j -0.00608162-0.00345521j 0.0100706-0.000780115j 0.00517042-0.00404359j 0.000104726+0.00403151j 0.00439456+1.92816e-05j -0.00427975+0.00477536j -0.00156689-0.00610045j -0.00369486-0.00204209j -0.00416069-0.00593678j 0.00639491+0.00628094j -0.00233397+9.31072e-05j 0.0100248+0.00425538j -0.0074954+0.0087715j -0.00655982+0.0029894j -2.7367e-05+0.0100132j 0.00184745-0.00240339j 0.0123093+0.00479963j 0.0103682+0.0246294j -0.00767947+0.0108542j -0.00166505-0.000765079j -0.0132973+0.0360792j -0.032218+0.0342906j 0.0305856-0.0160196j -0.0297966-0.0340667j 0.00206375+0.00269633j 0.0305603+0.00391206j 0.00889008+0.00600832j 0.000251911-0.00538467j -0.00254603+0.0059105j -0.00517414+0.00575127j 0.000531971+0.000133975j 0.0139771-0.00709022j 0.00186774-0.00500228j 0.0013931+0.00793486j -0.000461095+0.000861667j -0.0039933-0.00455954j -0.00261095-0.0179791j -0.000261252+0.00296373j 0.00340259-0.00372523j -0.00070064-0.00581367j 0.00227092+0.00107719j 0.0091895+0.00438967j -0.000319264-0.00613854j 0.00325135-0.0170278j 0.00137288+0.00189125j 0.0182542-0.010758j 0.00115901+0.0220559j 0.0155068+0.0153682j -9.48571e-05+0.0397207j -0.0416967-0.0194554j 0.0224406-0.0426121j 
-0.00195277+0.000619631j -0.00572174+0.00640938j -0.00773605-0.0495259j 0.0147348-0.00844422j -0.0116887+0.0358393j -0.00193847+0.00758202j 0.0228938-0.00142719j 0.000151178+0.00261467j -0.00579433-0.00283284j -0.00211643-0.00610933j 0.014633-0.000355126j 0.00280899-0.00138395j 0.00713276-0.00567264j -0.0158993-0.00427165j -0.00884499+0.00140495j -0.0131378+0.00287003j -0.0146719-0.00298492j 0.00282841+0.00291733j -0.0172298-0.00149959j -0.000834719-0.000973734j 0.0259941-0.00918382j -0.00252071+0.000915804j -0.000894698-0.00816272j 0.00481029+0.000185348j 0.000820483-0.0020434j 0.0061308-0.00903258j -0.00573493-0.00596614j -0.00736602-0.00255781j -0.00306627-0.00479199j 0.00486083+0.00189253j 0.0038188+0.00348795j 0.00897499+0.00151782j 0.00377508+0.00803907j -0.00376681+0.00400033j -0.00702486-0.00504397j -0.00471828+0.00177753j -0.00130755-0.00125212j 0.00438402+0.00234019j -0.00176934+0.000994472j -0.00356185+0.00379454j -0.00118304+0.00360661j -0.00167561-0.00497813j 0.00238685+0.00370657j 0.00230431-0.00650182j 0.00027893+0.0016947j 0.00050714+0.00260808j -0.00244334-0.00124139j 0.00165087-0.00096842j 0.00137274-0.0052518j 0.000201107-0.00797785j -0.00199858+0.00192215j -0.00315212+0.00230655j -0.00246342+0.000657044j 0.00263599+0.000584459j 0.00409518+0.0050312j -7.59155e-05+0.00441679j 0.00367794+0.00385099j 0.00738391-0.000431869j -0.00257895-0.000276057j -0.00256651-0.00616292j -0.000239638-0.00607397j -0.0175761+0.00900728j -0.0191131-0.00436349j 0.0105933+0.00407186j 0.00100965-0.0152941j 0.0129892+0.00148161j 0.00377932+0.0158966j 0.000192005+0.00922245j -0.00140748-0.0020371j -0.000425152+0.00232261j -0.00359262+0.00047137j 0.00239143-0.00264685j 0.00681328+0.00206493j 0.00548769+0.00103382j -0.00111235+0.00285748j -0.00204181+0.000361781j -0.000840309-0.00462575j 0.00139391-0.00367866j -0.00323519+0.00219437j 0.00158096+0.000400387j -0.00147516+0.00029957j 0.0040155+0.000983628j -0.000477358+0.00755998j -0.00282271-0.000777172j 0.000624425-0.00630775j 0.00375372-0.00322056j 0.005614-0.0106992j 0.00748774-0.000610082j 0.00929327+0.0205219j -0.00135915+0.00524815j -0.00150659-0.0239661j 0.0232072-0.00336851j 
-0.010415-0.00729448j 0.009847-0.000200424j 0.035622+0.0100259j -0.00372617+0.00327644j -0.0257494-0.00728727j -0.0170506+0.00234692j 0.000400747+0.0107124j -0.0021517+0.00645238j 0.00690557-0.00183646j 0.0111113-0.0163156j 0.0075289-0.004324j -0.00913796+0.0141494j -0.0172921-0.00471806j 0.00178445+0.00591933j -0.0229917-0.00413768j -0.0157186-0.00130558j -0.0240153-0.0153655j -0.015257-0.00212571j -0.000842713+0.00837101j -0.00324834-0.0156158j 0.00604129-0.00815436j -0.00946119+0.00404126j 0.00157434+0.0011304j 0.0140954+6.78837e-05j 0.0196959+0.0181306j 0.00254943-0.00228833j 0.0182514+0.0123698j -0.00233698+0.000587603j 0.00912918-0.00842209j 0.000979533-0.00167659j 0.00155684+0.00193783j 0.00482363-0.000800535j 0.00377174+0.00719409j 0.00226141+0.00464065j -0.00390263+0.00181795j -0.00631207+0.00311761j 0.00132317-0.000255999j -0.00588227-0.00533805j -0.00537336+0.000999056j -0.00480488+0.000644253j -0.00292379+0.00131087j -0.000790939-0.00378301j -0.001402+0.00283647j 0.0082967-0.00428884j -0.00156517+0.000483477j 0.00372724+0.00303278j -0.00275991-0.00322417j 0.00107289-0.00930201j 0.00098344-0.00129699j -0.00190706-0.00166078j 0.00270473+0.00179859j -0.00294101-0.00757422j -0.00363768-0.00267311j 0.0126431+0.00360241j 0.00430143+0.0023283j -0.00273593-0.00598358j 0.00505611-0.0053369j 0.0112562-0.00262475j 0.000709231-0.013764j 0.00184223-0.00158355j 0.000117004-0.0118436j -0.0154116+0.00730576j -0.0123925-0.0178657j 0.0108532+0.0151803j 0.0112092-0.0142715j 0.0068656-0.00716402j 0.000400741+0.0143853j 0.00195275+0.00952421j -2.17417e-05+0.00110002j 0.00233603+0.000476009j 0.00308099+0.00376957j -0.00193669-0.000532347j -0.0019423-0.0041235j -0.000845549-0.00358442j -0.00133009+0.00545571j 0.000592591+0.00147017j 0.00219491-0.00622772j 0.00787239-6.75604e-05j -0.00431176+0.000237636j -0.0030784-0.00343209j -0.00288782+0.00214458j -0.000782283+0.000397606j -0.00119549+0.00646517j -0.00238664-0.00224717j 0.00824446-0.00583389j 0.000950859-0.015818j 0.00448843-0.00305882j 0.0148085+0.00181273j 0.00017792-0.00894161j 0.00929974-0.00150051j 0.00862708-0.0138105j 0.0118144+0.00245402j 
0.00341647-0.000112317j 0.00453073-0.0010138j -0.0130719+0.000266059j -0.00144957+0.00775151j 0.0111511+0.000388737j -0.00920917-0.0107122j -0.00430737-0.00554099j -0.00997704+0.011885j 0.00236576+0.00054409j -0.00477962+0.00117105j 0.00661183+0.00483847j -0.00638118+0.00353016j -0.020714-0.0104183j -0.00658849+0.0065822j -0.00614888+0.0238071j -0.000595264+0.0157291j -0.0159483+0.00476137j 0.00662662-0.0115367j 0.00364783-0.00474464j -0.00809856-0.0070808j -0.00511634+0.00278705j -0.00297252-0.020474j 0.00282414-0.000942161j -0.0114171+0.00977324j 0.0064659-0.0173691j 0.0125453-0.00956782j -0.00127424+0.00824568j 0.00312193-0.000622912j -0.00184544-0.00568103j 0.016154-0.00306859j 0.00166825-0.00895252j -0.00601845-0.0034789j -0.0122495-0.0120702j 0.00617516+0.0120878j -0.00385363-0.0031565j -0.00607171-0.00715723j 0.000236001-0.00710313j 0.00734798-0.00180381j 0.00119099-0.010037j -0.00385486-0.00345316j -0.00466288-0.00481457j 0.00119722-0.00216402j 0.00145525+0.0173276j 0.00401213-0.00235014j -0.00779548+0.00967002j 0.0123775+0.00481549j -0.00858001-0.00335172j -0.000700216+0.0168416j -0.00284778+0.0128086j 0.0056949-0.00138214j 0.0103075-0.0116333j -0.00102731-0.0288897j 0.002825-0.0104148j -0.0118001+0.0159378j -0.00836654-0.0136967j 0.00143289+0.00667861j -0.00647795-0.00761597j 0.0108269-0.0151014j 0.00937072-0.00114292j 0.00985826+0.00088765j -0.00635449-0.00648092j 0.00392357+0.00801343j -0.0148196+0.00578273j 0.00248606-0.00132101j -0.0142354-0.00274371j 0.0105787-0.00492926j -0.00172582+0.0047383j -0.00621298+0.00458917j 0.00254194+0.00292949j -0.000449826-0.0019772j 0.00215332+0.00427777j -0.00454031+0.00267823j 0.00955593-0.000755945j -0.0155153+0.000543162j 0.00030172+0.00348641j 0.0125887-0.000758104j 0.000395165-0.00570616j 0.000721098-0.00226986j 0.0231467+0.000803012j -0.00180656+0.00432562j 0.000256987-6.95649e-05j -0.0117547-0.00377368j 0.00323627+0.000627472j 0.00208511+0.00151344j -0.00364315+4.16435e-05j 0.00640365+0.0050717j -0.000568968+0.00289134j 0.00897498-0.00219686j -0.0042425-0.00871094j 0.00265143-0.00353764j 0.00188082+0.00384856j -0.00142057+0.000414446j 
-0.00226838+0.00119241j -0.00177523+0.000376748j -0.00630678+0.00853622j 0.000457645+0.0122785j 0.0132041+0.00238255j -0.00767936-0.00673332j -0.00471396-0.00765293j -0.00237761+0.00614938j 0.00733917-0.00291519j -0.0033215-0.00388081j -0.00485232+0.00578203j -0.00125415-0.00106937j 0.00248908-0.0295355j 0.00513946-0.0119877j 0.000576344+0.0124156j -0.000400908-0.0117239j 0.00029341+0.0202762j -0.00226732-0.00028342j 0.00411752-0.0102436j -0.00730589+0.00663535j 0.000115879+0.00601793j 2.62616e-05-0.0163056j 0.0120593-0.0056627j -0.0010772+0.00243729j 0.00746936-0.0199717j 0.0139557-0.0123949j 0.0164788-0.000649534j 0.00730905+0.00208322j -0.00715832+0.00720263j 0.00702603-0.0124364j 0.00710116+0.0060899j 0.0026219+0.00636603j 0.00445616+0.00337872j -2.9639e-05-0.00823783j 0.0121065+0.0135891j -0.00216498-0.00384394j 0.00892322+0.00903575j 0.0053227+0.00624623j 0.00553201+0.00462607j -0.00120568+0.00398126j -0.000958805+0.00629022j 0.00441076+0.0146655j -0.00105761-0.0186487j 0.00755274+0.00356354j -0.00852791-0.0116992j 0.0140871-0.00655953j 0.00152856-0.00116293j -0.00175862+0.00373907j 0.00930594-0.0112141j 0.00416857+0.00599444j -0.00774009+0.0108439j 0.00425211+0.0212371j -0.00592413+0.00878424j 0.0102665-0.0197415j 0.00660291+0.0092013j -2.30193e-06-0.00753871j -0.0108824+0.0108276j -0.00696801+0.0112221j 0.00359818+0.00137122j 0.0181386-0.0047974j 3.67048e-05-0.00582339j -0.00206207+0.0108478j -0.0200242-0.00327998j 0.0142074+0.00299226j -0.00915082-0.00196149j 0.0056105+0.000366732j -0.00327242+0.00486014j 0.00207137+0.00180662j 0.00266116-0.00276391j 0.000412577-0.000515269j 0.000815024-0.00325991j 0.00687592-0.00355887j -0.0132855+0.0035206j 0.0133179-0.00311848j 0.00346584+0.00114024j -0.0130681+0.000107662j -0.00603078+0.000366543j -0.00276098-0.00790738j -0.0243258-0.000168611j -0.0038662-0.00365252j -0.0028662-0.00276335j 0.0118812+0.00329736j -0.00482053+0.00118008j -0.00481434-0.000808724j -0.00687539-0.00449685j -0.00600985-0.00135749j 0.00374527-0.00483947j 0.0124084-0.00115206j 0.00507085+0.00843483j 0.00653355+0.00446679j -0.00797144-0.0140532j 0.0133151-0.00746185j 
-0.00782039+0.00131699j 0.00364855-0.00335485j -0.000216883-0.00382422j 0.00762518+0.00264486j 0.00845926+0.00296504j 0.00514194+0.0025152j 0.00457545+0.00495527j -0.000183452-0.0120624j -0.00154081-0.000193493j 0.000785551+0.0156734j 0.00336077+0.0138172j 0.00318205-0.00263644j 0.00676511-0.00227328j -0.000866424+0.0146422j 0.00170765+0.0112819j 0.000745458+0.00567541j -0.00204068-0.0148326j 0.00465748-0.0127814j -0.000844622+0.00829724j -0.00611975-0.0284822j -3.57499e-05-0.014007j 0.00280803-0.00483377j -0.00223611-0.00769686j -0.00145073-0.00966982j -0.0124908+0.00111164j -0.00849709-0.00548698j 0.0125291-0.0252318j -0.000306776-0.000360606j -0.00868663+0.00935446j 0.00837784-0.000488967j 0.00122592+0.00578124j 0.00105106-0.000739435j -0.00304688-0.00404855j -0.00446709-0.00548919j -0.00152377-0.00385139j 0.00660445+0.00260002j 0.00069199-0.00320708j 0.00420858+0.00824253j 0.00304795-0.00881172j 0.00242069+0.00513569j -0.000989042+0.00145073j 0.00930957+0.0187946j -0.0072729+0.00127299j -0.00859185+0.00352826j -0.00805909-0.00279779j 0.000243207-0.0040043j 0.00614731+0.00887577j -0.00522754+0.0193156j 0.00675209-0.0100303j 0.00388921+0.00977062j -0.00530898+0.00843035j 0.00749366+0.00434772j -0.00394422+0.0249435j 0.00277918-0.00236062j 0.0158402-0.0024622j -0.00475083+0.00144726j 0.00346478-0.0036456j -0.0231166+0.00524501j -0.00459126+0.0085564j 0.00210526-0.000577772j -0.00391293+0.0026052j -0.00470917+0.00427492j -0.00419892+0.00943041j 0.0100165+0.00274407j -0.00187132-0.00137335j -0.00772713+0.00519815j 0.0112618-0.00398217j 0.00667197-5.91781e-05j -0.00616675-0.00462207j 0.00472055+0.00445256j 0.000857859+0.00302062j -0.00510905+0.0013034j 0.0072097-0.0052431j -0.0135908+0.000587188j -0.00145248+0.00225717j 0.0153585-0.000191388j 0.00345507-0.000467037j 0.00169274-0.00325471j 0.0334586+0.000491512j -0.00180026-0.00683406j 0.00194931-0.00572468j -0.0144606-0.00057558j -0.000315999-0.00179126j 0.00482068-0.00418571j 0.00623888-0.0019777j -0.000984624+0.000522009j 0.00493884+0.00091053j 0.00563266+0.0134411j -0.00808051-0.00159267j 0.00805001+0.0198926j -0.0170231+0.00388684j -0.00647241-0.0205916j 
0.0010969-0.00142273j 0.000560347+0.00138557j -0.00264316-0.00145535j -0.00162037-0.0022155j -0.00112116-0.000398742j -0.00164116+0.00345149j 0.00145479+0.00247883j -0.000466607+0.00222987j 0.000351188-0.00333337j 0.00434351-0.010468j -0.00163079-0.00911257j -0.00613195+0.00275125j -0.00728742-0.00260761j -0.00370081-0.0081461j -0.0024956-0.0113761j -0.00363804-0.0077544j -0.0044675+0.00299732j -0.00545448+0.00987589j -0.00577509-0.00234727j 0.0024967+0.00930806j -0.000110167-0.00241664j -0.00673546+0.00724245j -2.98017e-05+0.00345266j 0.00326705-0.00173527j 0.0031354+0.00333816j -0.0026324+0.00447318j 0.000368556+0.0116526j 0.00728875+0.00246491j 0.00124329-0.00484154j -0.000523341-0.000786315j 0.0119673+0.00634167j -0.00649394-0.00248583j -0.0119029+0.00131554j -0.00186422+0.000322543j -0.0174617-0.00858153j 0.0155252+0.00935552j 0.000756611-0.00443223j -0.0056677+0.0137938j -0.00630675-0.026652j 0.00652961+0.0174538j -0.00415057+0.0111239j 0.0110658+0.0430667j 0.00207344+0.0175093j -0.0282784+0.00764559j -0.0108657+0.00231923j 0.00481314+0.00383931j -0.000260905+0.0213276j -0.00765065+0.0425737j 0.00565613-0.00697765j 0.00401559+0.0229698j 0.00175542+0.000908837j -0.00202268-0.00589061j -0.00931855+0.0179087j -0.0133258+0.0264023j -0.00895933-0.00582536j -0.0121466-0.00115577j 0.0128227-0.00750946j -0.00569565+0.00240332j 0.010429-0.00390636j -9.09073e-06-0.00376123j 0.0029314+0.000839583j -0.00645575+0.00167851j -0.0066282-0.000107011j -0.00850197+0.00455858j -0.00547856-0.000593286j -0.000761586-0.00268226j -0.0075513+0.00388043j 0.00457439+0.000438226j 0.00532622+0.00264591j -0.00587267+0.000640139j 0.00238127+0.00324628j 0.00772152+0.000888193j -0.00833462+0.00184566j 0.0138178-0.00189803j -0.00010429-0.000610378j -0.0109861+0.000467195j -0.00355624-0.000163924j -0.00030184+0.00131014j -0.0178425-0.001512j 0.00207834+0.00335395j -0.00313504-0.000411238j 0.00514805-9.03139e-05j -0.000226885+0.000432497j 0.00222334+0.0022145j -0.00109017-0.000130449j -0.00142327-0.00221283j 0.00109199-0.00087595j -0.00129794-0.0030857j 0.000346037-0.000945822j -0.00160098-0.00449352j 0.00489124-0.00232798j 0.00293108+0.00459523j 
-4.23235e-05-0.00412805j 0.0150599-0.000974525j -0.0422141+0.00383146j -0.00807651+0.00129983j 0.0225872-0.0010044j 0.00495597+0.00613628j 0.00131242+0.0108165j -0.00233128-0.00561405j 0.000481981-0.00963986j 0.00466169-0.0202498j -0.00409876+0.000541704j -0.0195204+0.00411859j -0.016158-0.0255513j -0.00540413-0.00616558j -0.00837196-0.00637549j -0.00978961-0.0137476j -0.0162689-0.00305565j -0.00583642+0.00453663j -0.00105722+0.00951982j 0.000204293-0.0129078j -0.00313619-0.0179472j -0.0139839-0.00130164j -0.0017331+0.00013467j 0.0038262-0.00887569j 0.00533279-0.00160835j -0.00953795-0.00150584j 0.0128343-0.00699291j -0.00790094+0.000143136j 0.00472463+0.000297969j 0.00196855-0.00564376j -0.00624311+0.00975579j 0.00245775-0.000714223j -0.00158039+0.00462751j 0.00885555+0.000967098j -0.00433725-0.000353586j -0.00495555+0.00106287j 0.00270981-0.000479611j -0.00635015-0.00434909j -0.00276398+0.00491018j -0.00036248-0.00429945j -0.00190768-0.00321971j -0.00129539-0.0151186j -0.0056628+0.00157452j 0.00247546-0.00196203j 0.00186583+0.00335839j -0.00137449-0.00103492j -0.00181212-0.00593737j 0.0022251-0.0088857j -0.00542757+0.000929302j 0.000460011-0.0122286j 0.00628052-0.00200459j -0.00240664-0.00135707j -0.00298337+3.98181e-05j 0.00392258-0.00090804j 0.00884289-0.000257054j -0.00414932+0.00194097j 0.002272+8.92996e-05j 0.00600664-0.0080079j 0.00352089+0.00509499j -0.0134175+0.00342372j -0.00134711-0.00151507j -0.0108211+0.00684652j -0.00554393+0.0102642j 0.0092184+0.000769572j -0.00660609-0.0106466j -0.00663112-0.00480636j 0.00624852+0.000976531j 0.0116632+0.00265123j 0.00779213-0.00134464j -0.00157376+0.00106565j 0.000139101+0.00384609j 0.000687749-0.00130919j -0.0119242-0.00564277j 0.00742707-0.00479224j 0.000207265+0.00265477j -0.00793988+0.000540592j -0.000371422-0.00137677j 0.00104799-0.00190352j -0.0179397-0.00158128j 0.000541334-0.00320793j 0.000171748-0.00393356j 0.0032664-1.65504e-05j 0.00303123+0.00129783j -0.00111583-0.000758479j 0.00791847-0.000209287j 0.00449623+0.00267168j 0.00629003-0.000685358j 0.000478483+0.00651692j -0.00560097-0.00524637j 0.00384538+0.0126939j -0.00974578+0.00168235j -0.00135231-0.0155059j 
0.0102684-0.00764678j 0.0135366+0.00217356j -0.011996-0.00389125j 0.000512981-0.00663383j -0.000725433+0.00219229j -0.0104178-0.012413j 0.00119626+0.00297649j 0.001117+0.0234923j -0.00518714-0.0119213j 0.00645465-0.0183952j 0.00437565-0.00976327j 0.0044319+0.0166941j 0.00834334+0.014046j 0.00334428+0.00960588j 0.0086359+0.00805651j 0.000806412+0.0238986j 0.0014655-0.00685771j 0.00123991-0.00235466j -0.000757469+0.00143593j 0.00963925-0.00252371j 0.00435434-0.00824028j -0.000790742-0.00147934j -0.0117005-0.000711465j 0.00151979+0.0224479j -0.00198825+0.0127002j 0.0106531-0.00573142j 0.00121281+0.00873707j 0.00831925+0.00152347j -0.00504741-0.00520246j -0.00512819-0.0102494j 0.0146979+0.00713835j 0.00294573+0.00707276j 0.0211628+0.00770202j 0.0035375-0.00434901j -0.000270367+0.00824212j -0.00244063+0.00668046j 0.0206129+0.0040667j -0.0131659+0.00197623j -0.00668169+0.000575551j 0.00426494-0.00298039j 0.00446677-0.00182049j -6.54565e-05+0.0138413j 0.0046892-0.0170006j -0.00164761-0.00111154j -0.000467074-0.00932056j 0.00535209-0.00723152j -0.00959349-0.00304296j 0.0075753-0.0014427j 0.00467751-0.0147098j -0.0041812+0.00353318j -0.00891616+0.0118845j -0.00253483+0.0206495j -0.00327147+0.00377041j -0.000621083-0.00804433j -0.00589807+0.00144716j -0.000824745-0.0058924j 0.00564727+0.00288323j -0.00357544+0.0180557j 0.0110767-0.00060442j 0.00451746-0.000372003j -0.000139158+0.00152294j 0.0100662-2.86844e-05j 0.00990969-0.00384927j 0.00979922+1.96529e-05j -0.00521868-0.00125649j 0.0035669+0.000395997j 0.0031286-0.00623392j -0.00218691-0.00566571j -0.00229515-0.000775481j 0.000348521-0.000193166j -0.00301068-0.0032267j -0.0026119-0.000932858j 0.0105671-0.0031004j -0.00388419+0.00159683j -0.00455818-0.0023701j 0.00527069-0.000508874j 0.00741381+0.00615234j 0.00118503-0.00153096j 0.00973503+0.00216333j -0.00119553-0.00139196j -0.00611883+0.00179624j -0.00235769+0.00392982j -0.00451693-0.00761607j -0.000631072+0.000625015j 0.00146582+0.0041836j 0.00765186-0.00141908j 0.00163304+0.00478811j -0.0039785-0.000535468j -0.0055442-0.00947088j -0.00288883-0.000995656j 0.00437454+0.0100184j -0.00911664+3.60687e-05j 
0.00353921+0.00333091j -0.00829252+0.00652356j -0.0201086+0.00429866j -0.0126183+0.00184511j -0.000290569-0.00154775j -0.0157658+0.00375304j 0.0022253-0.00486872j 0.00547081-0.00237771j 0.0187751+0.00887777j 0.00669409+0.0126817j -0.00079833+0.00396907j -0.0206528-0.00221308j -0.0162381+0.0168971j -0.00848372+0.00738886j -0.0203768+0.00237902j 0.0038326+0.0127163j -0.0341459-0.00966866j -0.00817264-0.00541029j -0.00623726-0.000862898j 0.00386626-0.00323209j -0.00122222+0.00964872j -0.00885667-0.00937606j 0.012042+0.00631798j 0.00696209-0.0088499j 0.00493648+0.00627383j -0.00733366+0.00617227j 0.00670413+0.0139873j -0.00342968-0.00250912j 0.00995839+0.00218924j -0.0143954+0.00219923j 0.0178872-0.00713322j 0.00315926-0.00829659j 0.00349254+0.000537453j 0.0024577-0.00300838j 0.0124391+0.00236518j 0.00205041-0.00141003j -0.0012757+0.00329042j -0.00221665+0.00208295j 0.00210525+0.00524756j 0.00620889+0.00721292j 0.00384685+0.00773999j -0.00223729+0.00475745j 0.00616102-0.00958321j -0.0029679+0.00121776j 0.00117855-0.00761967j 0.00755552+7.93051e-05j 0.0120041+0.00268128j -0.0033732-0.00213914j 0.00574829-0.00894741j -0.00418563+0.00594154j -0.00829732+0.0106589j -0.001106+0.0160359j -0.00419361+0.00669204j 0.00431334-0.00909867j -0.00145129+0.0124064j -0.0068043-0.0092933j 0.00126614+0.00935654j 0.00645204+0.0108766j -0.000823922-0.00286018j 0.00230783-0.00641047j 0.00981059-0.00716386j -0.00571748+0.00935092j -0.0120091-0.0053517j 0.00453858+0.00514244j 0.0114121-0.00669469j -0.00831167-0.00746708j 0.0049711+0.00988736j -0.004521+0.00158294j -0.00430363+0.00832367j 7.7199e-06-0.00657127j -0.00150317-0.00548795j -0.00369087-0.00135411j 0.0114806+0.00323763j -0.00927384-0.000735825j -0.000898189+0.00193448j 0.00938945+0.000199255j 0.00111711-0.00138989j 0.00581436-0.00444049j 0.0169391+0.00176698j -0.00127797-0.00106415j 0.00508242-0.000500256j -0.00794994-0.00243207j -0.00236384+0.00642331j 0.00784416+0.00447235j 0.00597449-0.00638512j -0.00826375-0.00305322j 0.00426759-0.00988078j 0.00788596-0.00915558j 0.00405709+0.00996106j 0.00291224-0.00685454j 0.000900899-0.022894j 0.0239506+0.00304985j 
