0.000931619+0.014479j 0.00986468+0.0396844j -0.0110044+0.0036151j -0.041059+0.0487847j 0.00310011+0.00503216j 0.0154276-0.0142076j -0.00908706+0.0706325j 0.00443977-0.00146429j -0.0123102+0.00339753j -0.014553-0.00779203j 0.000789301-0.0162863j 2.79063e-05+0.00814864j -2.84536e-05+0.0252004j 0.0076522-0.0178023j -0.0193704+0.00262361j 0.011119+0.0199349j 0.00568753-0.0232754j 0.000189041+0.0341417j -0.0219429-0.00200234j -0.0153453-0.00900049j 0.00294939-0.00341373j -0.00597726-0.00032296j -0.00210983+0.00310505j 0.00538124-0.022302j -0.00099347-0.00792108j 0.00949548+0.00676247j -3.07095e-05+0.0309627j -0.00459213-0.00727819j -0.00215991+0.02069j -0.0135209+0.00549213j -0.00402305-0.024867j -0.00322649-0.00250814j 0.0103974-0.00608273j 0.0118088+0.0165114j -0.00481961+0.0183738j 0.00601649+0.007222j -0.000706234-0.00134338j 0.0101024-0.00217066j 0.00700413+0.0215891j 0.0134595+0.00895673j 0.00874585-0.0271148j 0.0333143+0.0234711j -0.0053554+0.0282116j -0.0168914+0.0189847j 0.00938383-0.0325963j -0.00616264-0.0284696j 0.00361466-0.0200641j -0.00012532+0.0203842j 0.0361724-0.00751778j -0.013764-0.0335102j 0.0070093-0.043191j -0.0162047+0.00473607j -0.0448045-0.0488145j 0.00817052-0.0115078j 0.0033962+0.0274423j -0.0414744+0.0209915j -0.0176852-0.0398611j -0.00208817+0.00106512j 0.0291041-0.0494738j 0.0285954+0.0640755j 0.0370602+0.0279778j -0.0297291-0.0285721j -0.0198774-0.0040684j -0.00478177+0.012233j -0.00258861+0.00174833j -0.0384245-0.0627489j -0.0268465-0.0263165j 0.0666491-0.00365072j 0.084388+0.110406j -0.066972+0.00468865j 0.0963249+0.146193j 0.0445106-0.000412246j 
-0.0107104-0.0423067j 0.0024886+0.0144953j -0.0391689+0.0415961j 0.0054587-0.00380457j 0.00680432+0.0266664j 0.0180142-0.0481576j 0.00616057-0.00907502j 0.00670752-0.0460281j 0.0102069+0.00201902j -0.0144321-0.011098j 0.0107242+0.00916207j -0.00967631-0.00341914j -0.00336637-0.0100371j 0.000930961-0.0095711j 0.00280596-0.0362088j 0.00268032-0.00721508j -0.00294456+0.00502557j -0.0185159+0.0247212j 0.0091233-0.0367253j -0.0025255-0.00524855j 0.000777799-0.000360696j 0.00612121-0.0025886j -0.00290458-0.0234424j 0.0158315+0.0098514j 0.0128857+0.00196033j -0.00531787+0.0219574j -0.00607952-0.0110743j 0.00928639+0.0124533j -0.00216411-0.000971059j -0.0106692-0.0127254j 0.00888887-0.00361657j -0.00419229+0.00853394j -0.00194681+0.0105799j -0.011996+0.00753563j -0.0111236+0.0168731j -0.0112972-0.0157767j -0.00966147+0.00191057j 0.0100708+0.0160117j 0.00568637+0.0286336j 0.00600635+0.0106243j 0.000354157+0.0142741j -0.00131801+0.0471069j -0.0121567+0.00455782j -0.0183871-0.000938196j 0.00977189+0.0075659j 0.0163894-0.00674221j 0.0043921+0.00391386j -0.0312365-0.0453926j -1.83035e-05+0.0278272j 0.0131154+0.00153905j 0.0320847+0.00820349j 0.0101225-0.0278928j 0.0299995-0.0447381j -0.00219205+0.0375096j -0.027233-0.0015106j -0.0165666-0.0289053j 0.0466505-0.0165074j -0.0121095+0.0242932j 0.0433881+0.0763157j -0.0332048+0.0238183j 0.0246872+0.0421807j 0.0337724+0.000318323j 0.0150116-0.0141925j 0.00507532+0.00859424j 0.00113176-0.0490174j -0.00335001+0.0134271j -0.0661974-0.0580652j -0.027203-0.0497462j 0.0745077-0.0113308j 0.0829295+0.0992584j 0.0419583-9.61285e-05j -0.0982892-0.145942j 
0.00104762+0.0537971j -0.00214458+0.0233345j 0.0185685-0.031059j -0.0326813+0.0171492j -0.0357458-0.00493894j -0.0503281+0.0395885j -0.0100432+0.00075458j -0.000542269-0.00541701j -0.00577928-0.0293057j 0.00126882+0.00381982j -0.00313851+0.00431659j -0.00245729-0.0261012j -0.0205458+0.0208118j -0.00349774-0.0019942j -0.0261799+0.0329259j -0.015579-0.00697449j -0.00855749-0.0241043j 0.0288105-0.0207391j 0.00493382+0.00991966j 0.00852248+0.0202563j -0.00557789+0.0094489j -0.0121467-0.0194907j -0.0153321+0.0146178j -0.00841722-0.00897452j -0.0127999+0.00102626j 0.00477551-0.025407j -7.59756e-05+0.00791195j -0.00012297-0.0106791j 0.00596453+0.0267359j 0.0089332+0.0159495j -0.0202848+0.0084634j 0.0116321-0.0326892j -0.0127548-0.00784061j 0.0122778-0.00186983j 0.0237528-0.0172362j -0.0168142+0.00245394j 0.00104191-0.0178468j -0.0267539-0.00631506j 0.0202754-0.0248412j -0.00347359+0.0100083j -0.0245571-0.0211567j 0.00848985-0.0133424j -0.0233064+0.0203117j 0.020989-0.0215512j -0.0171865-0.0297994j 0.0300567-0.00889818j 0.0118712+0.0269426j -0.00450148+0.0290925j -0.00377118+0.0389909j 0.0094837+0.00923511j 0.0239438+0.0362978j 0.00724448+0.000603908j -0.0424965+0.0548821j -0.000362692-0.00833192j -0.048196-0.0279168j -0.0286888-0.0266682j 0.0382026-0.0170346j 0.0464388+0.0398468j 0.0025353-0.016472j -0.00127436+0.0589349j -0.00431387-0.0453319j 0.045484-0.00385205j 0.0326556-0.0475025j -0.0278162+0.00783081j 0.0603255+0.0645258j 0.0530197-0.000928545j -0.039539+0.066496j 0.0085453-0.00525342j 0.00648756+0.0297774j -0.0783593+0.0352337j 0.0453279+0.0589437j -0.000870047+0.025153j 
-0.00115668+0.0155853j 0.00837656-0.0675705j 0.0480885-0.0161834j 0.0137675-0.0473219j 0.0548439-0.0170914j 0.00657343+0.0222252j 0.0105982+0.00255289j 0.00798888+0.0182737j -0.00904776+0.0232155j 0.0148948+0.0199456j -9.6885e-05+0.0024909j -0.00436385+0.000266057j 0.0214237-0.00557387j -0.015592+0.023122j 0.0160942+0.0140897j -0.00938874+0.0269185j -0.00324608+0.00937216j 0.00263636-0.0333392j -0.00130538+0.0207867j 0.00547277+0.00763693j 0.035989+0.0240225j -0.00413852+0.0255423j 0.0189216+0.00527741j -0.0266472+0.0252437j -0.00319326-0.00848948j -0.000367261-0.00782645j 0.00973307-0.017635j -0.00758933-0.0043819j 0.0198414-0.00585239j 0.00554426+0.00822846j 0.00938753+0.0293016j -0.0032439+0.0102934j -0.0113162+0.0225619j 0.00901617-0.0159065j -0.0033863+0.00913104j 0.017169+0.0138114j -0.00738135+0.0197892j -0.0130921-0.0124805j -0.0058678-0.0288835j 0.0140884+0.000634307j -0.0130137+0.0150853j -0.00643009-0.0216191j 0.017845-0.0278356j 0.00100598+0.0134758j -0.0143375+0.0429309j -0.00677509-0.00433324j 0.0443613-0.0148529j 0.0168409-0.00586015j 0.00694547+0.018461j -0.0178493-0.00668547j -0.0129154-0.0110339j 0.0262559+0.00505457j 0.00804237+0.0569964j 0.00858804-0.025023j 0.00227004+0.0106956j 0.0107008+0.0309714j -0.00295921-0.0190351j 0.0286308-0.0613057j 0.0216953+0.0408247j 0.0667334+0.0188536j -0.0459839-0.0319719j -0.0127848+0.00542599j -0.0022789-0.0383331j -0.0262988-0.00912196j -0.0984206+0.00894036j -0.00277584+0.147715j -0.0410388-0.0430909j 0.077607+0.0285258j -0.103944+0.032638j 0.010056-0.0299347j -0.00571694-0.0403298j 0.0518355+0.075896j 
-0.00645373-0.0159057j -0.013627-0.018326j 0.00371044+0.0144131j 0.0448127-0.0360592j -0.0155108+0.00934662j -0.0250427+0.0113686j 0.000744863-0.0798573j -0.0288866-0.00135502j 0.00319423-0.0129895j 0.000742504-0.0159016j 0.00758259+0.00868681j -0.0106499+0.0012622j -0.0239266-0.0144479j -0.00675535+0.0291095j 0.0148202+0.0139675j -0.00931187-0.0471203j -0.0104941+0.0424482j -0.021458-0.025982j 0.0520446-0.00932299j 0.0284115-0.00223933j 0.0217572-0.0245517j 0.018425-0.0153658j -0.00697206-0.00170555j 0.0121228+0.0649541j -3.77351e-05-0.0023554j -0.0181807+0.0150995j -0.0258722-0.0360719j 0.021535+0.0424315j 0.0147606-0.0418131j -7.40551e-05+0.00699848j 0.0286937-0.00972468j 0.00913023+0.00348582j -0.0168855+0.0206536j -0.0293836-0.00260048j 0.0440378+0.0146724j 0.00694244-0.0198918j 0.000354097-0.0176331j 0.00948+0.0119369j -0.00194171-0.0110073j -0.00179329+0.017532j -0.00702558-0.0227162j 0.00556486+0.00144556j 0.0208867-0.0145486j 0.0192906-0.00116269j 0.00665328+0.0194228j 0.0301228+0.0802596j 0.00865502+0.030002j 1.59857e-05-0.0367278j -0.0554054-0.0100019j 0.0377181+0.0515535j -0.0209295+0.0425151j 0.0335276+0.0226563j 0.0405059-0.0113349j 0.0145747+0.0288018j -0.0254045-0.0375648j 0.0629613+0.00356586j 0.0427969+0.035327j -0.0251523-0.00144484j -0.0350665+0.0493113j -0.0268177-0.0201279j 0.00698813+0.0268737j 0.0590407-0.0302256j 0.00186916-0.0308372j -0.00509145+0.00314607j 0.00522231-0.0257197j 0.0272489-0.00284786j 0.007466+0.0283395j -0.0898554+0.0112012j -0.0286285-0.119544j 0.0866084+0.00144231j -0.0270899-0.0678678j -0.0334728-0.0566413j 
0.0147922+0.0207656j -0.0136383+0.00209617j 0.0241902-0.0279866j -0.00274094-0.00305991j -0.0133642-0.0215356j -0.0126551+0.0396951j -0.0337025-0.00278413j -0.00932244+0.0464157j -0.0116401+0.0218752j 0.00107725-0.00185895j 0.0114495-0.00967882j 0.00463603+0.0108416j -0.00321609+0.026394j 0.00818711+0.010169j 0.0146142+0.0307801j -0.0188503+0.028307j 0.00477386-0.00488292j 0.0230694-0.0320114j -0.00512528+0.0333918j -0.00313369+0.0373457j 0.0213965-0.00756357j -0.0149202-0.028128j 0.00434125+0.0200398j -0.0389314+0.00338338j -0.0184639-0.024824j -0.00384279-0.000997566j 0.0136578-0.00812561j -0.0292936+0.0319655j 0.0156781-0.00706044j 0.0317388+0.0430813j 0.00343124+0.00390935j -0.00641406-8.36487e-05j -0.0116781-0.0285927j 0.0108233-0.0367322j 0.0108395-0.00339441j 0.0177698+0.034915j 0.0377032+0.0127345j -0.00693932-0.0190669j -0.0429298-0.0371991j -0.0331994-0.0517684j -0.0134076-0.00327507j -0.0176047-0.0398495j 0.00230682-0.0303679j 0.0340342-0.00556809j -0.00741908+0.00664594j 0.0235093+0.0357092j -0.0121187-0.0385848j -0.00550178+0.00243286j 0.00118295-0.0298797j 7.81351e-05-0.009179j -0.0595187-0.00987516j -0.0177726+0.0118116j -0.0140823+0.0306795j -0.00580826-0.0497804j 0.0134758-0.0221621j 0.0400128+0.0038756j -0.0825661+0.00104636j -0.00123575+0.00827632j -0.0296928-0.01877j 0.01849-0.0298268j -0.0350262+0.00243893j -0.00279626+0.0387638j -0.0182973+0.0157641j -0.00844649-0.0751847j -0.00832361-0.00915609j 0.0116205-0.0390219j 0.0825887+0.0220725j -0.0267365+0.0459764j -0.0703945-0.00168342j -0.0388557-0.104747j -0.0285485-0.04733j 0.0159972+0.0496482j 
-0.0240073+0.0546567j -0.00386659+0.0116317j -0.000200084-0.0200733j -0.073577+0.00395808j 0.0287039+0.00854962j 0.0129316+0.0117212j -0.0124089+0.0542849j 0.0239878-0.0121144j 0.000314224-0.0234582j -0.0028672+0.0265802j 0.0110334+0.0217564j -0.0155523-0.0386005j -0.0300774+0.00380255j 0.0142689+0.00625946j -0.047734+0.0261889j -0.0293263+0.00468085j -0.0109194+0.00723646j -0.00551753-0.0172367j -0.0201779+0.0114497j 0.00470746-0.00985725j 0.00978892+0.0163182j -0.0187541-0.0130014j -0.00349581+0.0118201j -0.000606151-0.0113366j 0.0191776+0.00325783j -0.0108049-0.0468001j -0.0224476-0.00585251j 0.0355954-0.0159982j 0.0122503+0.0442184j -0.00159341+0.011131j -0.0119532+0.00667779j 0.0072646+0.00146262j -0.00855785+0.0304465j 0.0131906+0.0415384j 0.0184106+0.0344632j -0.00157735+0.00251423j -0.0201668-0.00799059j -0.00900713+0.00309032j 0.0167536-0.0101977j 0.0363171+0.020379j -0.0144202+0.027888j 0.00360312-0.0257729j -0.0016074+0.00113717j -0.0136786+0.0332209j 0.0134872-0.0186169j -0.00553891-0.0208506j 0.0340456+0.0219368j -0.0239043-0.0114909j 0.0109547+0.0338199j -0.0200277+0.00926515j 0.0654431-0.00902571j -0.0302274-0.0160489j -0.0249784+0.0292833j -0.00143791-0.0226939j -0.0130813-0.0224876j -0.0470704+0.022021j 0.00810208+0.00258565j 0.0121398+0.0211896j 0.0328425+0.0216429j -0.00641+0.00105491j -0.0258505-0.0399948j 0.0163289-0.0403272j 0.0518521-0.00524603j -0.0363934+0.0443913j 0.0120674+0.0884611j 0.0524707+0.0328658j -0.0463289+0.0757107j 0.0340762-0.0695639j 0.0425732+0.0105448j -0.0283863+0.0342742j 0.0532021+0.0458975j -0.0307113+0.00550261j 
-0.00698518+0.0116163j 0.0227656-0.0454776j 0.0406903-0.00824916j 0.0234772-0.0591648j 0.00792079-0.0020274j -0.0645608-0.0175128j 0.0473646-0.0131316j 0.0356781-0.0288661j -0.0228545+0.0166754j 0.0036542-0.0195266j -0.0216499-0.0179334j -0.0252261+0.00974835j 0.0283095+0.0429183j -0.0305864-0.0348975j 0.0422977+0.00031128j -0.0154959+0.00903038j -0.0221357-0.00704009j 0.0266292-0.040636j 0.05288-0.00482498j 0.00307215+0.00757836j 0.0151647+0.00827285j -0.00913724+0.0093429j 0.0471219-0.0116195j -0.0224583+0.044887j -0.0205913+0.0181178j -0.00801962+0.0362073j 0.0359911-0.0202254j -0.0134659+0.00513358j -0.0115071-0.0118666j 0.0183822+0.00856658j 0.0093707+0.0013974j 0.00556822-0.0273198j -0.0291964-0.00578192j 0.0130193-0.0163706j -0.032811-0.037144j -0.0191915+0.0124189j -0.0234279+0.0016309j -0.0443366-0.0437537j -0.010938-0.0287653j -0.028013-0.00149566j -0.0444556-0.0419281j 0.0240088+0.0640375j -0.0159146+0.0180631j 0.0179478+0.0264324j -0.0102643+0.0350772j 0.0402985-0.00811939j -0.00234443+0.0132932j 0.043547+0.00211596j -0.0141518-0.00396932j 0.0164404-0.0455196j -0.0130446+0.0415017j 0.0358318+0.0625928j -0.0426144+0.0324014j 0.00283529+0.0460704j 0.0285084+0.0276206j 0.0172513-0.0188359j 0.059875-0.0239096j 0.0849981+0.0354217j -0.0690758+0.0384549j 0.0476267+0.0842289j -0.0156954+0.0686819j -0.0787929+0.0307382j -0.00655362-0.081059j -0.0135374-0.0624016j 0.038191+0.0479624j 0.0910358+0.0288315j -0.0577612+0.038477j 0.0407323+0.00832152j -0.101395-0.0242079j -0.0229035+0.000666719j -0.000359812-0.0204164j 0.00577542+0.0201235j 
0.0241963-0.0427805j -0.0261165+0.0472376j -0.0897269+0.0364222j 0.010604+0.0201266j -0.00784786+0.0425256j 0.0266327-0.0153725j 0.0206379-0.00472173j 0.0266112-0.0212052j 0.021927-0.0397485j 0.0136507+0.00033263j 0.0389871+0.00790597j 0.0226471-0.0234939j -0.0334505-0.0130688j 0.0149473+0.0405478j -0.0242344+0.0175746j 0.0060197-0.00507196j 0.0142366+0.00260979j -0.033718+0.0155334j 0.0256474-0.0315495j -0.00449358-0.0353067j -0.0144626-0.0240935j 0.00263246-0.0388281j 0.00689961-0.0141745j 0.0163538+0.0166946j 0.0108273-0.00947063j 0.0183685+0.00470135j -0.0173632+0.0168562j 0.0133798+0.0229806j -0.0445792-0.023286j -0.00266575-0.00241492j 0.025544-0.0178849j -0.00962218+0.0171641j -0.0118238+0.0413255j -0.0249515+0.00259865j -0.0212587-0.00791718j -0.0168794+0.00678743j -0.00535872-0.0336029j 0.00634142+0.00322798j 0.00310875+0.0183586j -0.0540791+0.0090535j -0.0233361+0.0100223j 0.0356335-0.0144234j 0.0374985+0.0152147j -0.0353216+0.0018066j 0.0426037-0.0238931j 0.0442357+0.0164878j 0.00673555+0.00586259j 0.0272501+0.0134542j -0.0390558+0.00220241j -0.00313435+0.022059j 0.0537909+0.0327545j -0.00643829+0.0129049j 0.00593232-0.0124239j 0.00928684+0.00412755j 0.022602+0.0367325j 0.0453308-0.0329349j 0.0148311+0.0146263j 0.0622797-0.0347268j -0.0613339+0.0420251j -0.0194274-0.0430432j -0.0852454+0.0586852j 0.00283809-0.152119j 0.0541445-0.0246141j 0.0638334+0.0556048j 0.029703-0.0208323j -0.0121724-0.0561838j -0.00651841+0.0322842j -0.0175027+0.00333569j 0.011932-0.0491398j 0.10554+0.036585j -0.0385054-0.00876787j -0.0516147-0.0565881j 
0.0028117+0.0294432j -0.00454737+0.0371127j -0.0127442-0.0262352j -0.0357973+0.0138131j -0.0640936+0.000565408j -0.053033+0.0314602j -0.0289178-0.0310088j -0.00123504-0.0509753j 0.00190856-0.00839127j -0.0283108+0.0201782j 0.000335168+0.016525j -0.043259-0.0272704j -0.00974669+0.0291666j 0.0445156-0.0391153j -0.0302764+0.00653642j -0.0373053+0.00347851j -0.0298458-0.0326142j 0.0415157-0.0540589j 0.0110287+0.0128123j -8.02378e-05+0.0230442j -0.0396563-0.0444486j -0.0484229-0.07695j 0.0179046-0.00478172j 0.0024307-0.033015j 0.000880338+0.0134461j -0.0536437-0.0339539j -0.0118627+0.0258914j 0.0385644-0.0250022j -0.012595+0.0655752j -0.00417222+0.0549849j -0.0642278-0.00836227j 0.0129235-0.0243541j -0.0395105+0.00988637j 0.0449444+0.0794871j 0.0660018-0.0233234j -0.0512152+0.00576636j -0.0147783+0.017837j -0.0583822+0.017572j -0.000729261-0.0158897j 0.0165536-0.0704681j 0.0139321-0.0074419j 0.0375385+0.0400385j -0.044236+0.0447749j 0.0473356-0.00734508j -0.0356525-0.0124191j -0.0106133-0.021905j -0.0335742+0.0881203j 0.00780952+0.00279096j -0.000796817+0.0170065j -0.0225163+0.0157482j 0.0731505+0.0366874j -0.0180089-0.0199056j -0.0178471+0.0501131j 0.0015787+0.0422761j -0.0561551-0.0324651j -0.0332532-0.0699022j 0.0801669-0.00878417j 0.00509698+0.0544651j -0.010883-0.00672368j -0.0123491+0.0600203j 0.00140496-0.0384167j 0.0330952+0.020393j -0.0139123-0.00811184j -0.0399734+0.0102424j 0.0737473+0.0574988j 0.0890464-0.0381556j -0.0237555+0.091617j -0.0166233-0.0400214j 0.048871+0.0112409j -0.0476513+0.0460477j -0.00963002+0.0127566j -0.0442334+0.0223075j 
0.0198107-0.00801004j -0.00224871-0.0394642j 0.0217418+0.043238j 0.0255039-0.0126294j 0.053173+0.00336159j 0.0309056+0.00798937j -0.00191121+0.00784121j 0.0115456-0.0073593j 0.00905555+0.0224034j 0.021673-0.000716204j 0.0314299+0.0333694j -0.00305666-0.0161016j -0.0331399+0.000198838j -0.0531753+0.0595165j 0.0162422-0.0034383j -0.0266929-0.0111058j 0.0133415+0.0286342j -0.0232699-0.0226905j 0.00028541-0.00401644j 0.0214721+0.0237457j 0.071567-0.0058052j 0.0454781+0.0689403j 0.0186361-0.0146944j -0.00122504+0.0546659j 0.0144258-0.0231444j -0.0174879+0.00810966j -0.043267-0.0574226j -0.0118344-0.0397316j 0.0643655+0.0273055j 0.0262018+0.0254729j -0.0276589+0.0363508j 0.0475579-0.0359944j -0.0175984+0.040624j 0.029642+0.040256j -0.0198159+0.0749542j 0.0130477-0.0384277j -0.0582062+0.0124479j -0.0542464-0.0151212j 0.0600701-0.0553883j 0.12343+0.0116746j -0.00257955+0.00808898j -0.00244882+0.0586357j -0.0192139-0.0220762j 0.00366693+0.0462688j -0.00536318-0.0319864j -0.00797267-0.038784j 0.0318774-0.0272252j -0.0292732-0.015259j -0.0247379+0.0538068j -0.00873685+0.011289j 0.016098+0.0198731j 0.0659741+0.020568j 0.0193654+0.029422j 0.0116672-0.038453j -0.00171786+0.0369234j -0.017155+0.0502182j 0.0489806-0.0353754j 0.0393074-0.0532597j 0.103704+0.0818921j 0.0289753+0.0341402j -0.0907912-0.0109357j 0.0487815-0.0351265j 0.0965184+0.00112637j 0.0446793+0.110503j -0.132631+0.0392245j -0.0400388+0.183232j -0.125355-0.0941229j 0.072307-0.0365774j -0.0362233+0.0603997j 0.0466613+0.0351488j 0.0512662-0.016842j -0.00409764-0.0144973j 
