-0.498328-0j -0.499525-0j -0.0010304-0j -0.0840006-0j 0.0594546-0j 0.035307-0j 0.00509613-0j 0.000600815-0j 8.67202e-05-0j 0.00595153-0j -0.0767161-0j -0.011073-0j -0.000158247-0j -0.00647155-0j -0.0448362-0j -0.00420232-0j -0.00421242-0j 0.0361803-0j 0.00522218-0j 7.46315e-05-0j 0.000495961-0j -0.0237719-0j 0.0336669-0j -0.000350194-0j -0.023829-0j -0.000895182-0j -0.000351035-0j -0.00387914-0j -1.31873e-05-0j 0.000422179-0j 6.21929e-06-0j 0.0046416-0j -0.000323262-0j 0.0262569-0j -0.0219437-0j 0.0003868-0j 
-0.274019-0j -0.29614-0j 0.0840006-0j -0.0969321-0j -0.0346818-0j -0.0197311-0j -0.00284793-0j 0.048194-0j 0.0069562-0j -0.0069797-0j -0.0150783-0j -0.00217636-0j 0.00427697-0j -0.00149253-0j -0.0103405-0j -0.00231076-0j -0.0024973-0j -0.0211052-0j -0.00304627-0j 0.00598652-0j -0.000581642-0j -0.0130717-0j -0.0394832-0j -0.000192564-0j -0.0141269-0j 0.0241942-0j -0.000208109-0j 0.00746242-0j 0.000356414-0j 0.0338649-0j 0.000498876-0j -0.0027076-0j 0.000621869-0j -0.0153165-0j 0.0422138-0j -0.000225633-0j 
-0.0525406-0j -0.0511883-0j -0.34091-0j -0.190515-0j -0.288193-0j 0.00372255-0j -0.051369-0j -0.00420232-0j 0.0579896-0j 0.0134982-0j -0.00786139-0j 0.108483-0j -0.0523564-0j -0.10286-0j 0.00745396-0j 0.0209582-0j 0.0204188-0j 0.00370754-0j -0.0511618-0j 0.0246919-0j 0.00342211-0j -0.00250636-0j -0.00161423-0j 0.00531339-0j -0.00244185-0j 0.00626123-0j 0.00517663-0j -0.0506213-0j -0.0132736-0j -0.00295288-0j 0.00625998-0j -0.0224991-0j -0.0128337-0j 0.00269064-0j 0.00605374-0j -0.00570405-0j 
-0.41451-0j -0.410258-0j -0.0594546-0j -0.0346818-0j 0.0958383-0j -0.0298472-0j -0.00430808-0j 0.0680413-0j 0.00982092-0j -0.0024973-0j -0.0208887-0j -0.00301503-0j -0.00302719-0j -0.00177699-0j -0.0123114-0j 0.00697245-0j 0.00690094-0j -0.0292381-0j -0.00422016-0j -0.00423718-0j -0.000208109-0j 0.0394422-0j -0.0141269-0j 0.000581038-0j 0.0390376-0j -0.0171244-0j 0.000575078-0j -0.000797901-0j -0.000252266-0j -0.0239691-0j -0.000353099-0j -0.00375098-0j -6.64917e-05-0j -0.0212188-0j -0.00451361-0j -0.000312582-0j 
0.0583606-0j -0.0594546-0j 0.00580122-0j -0.465341-0j -0.656979-0j 0.00420232-0j -0.0579896-0j 0.000140353-0j -0.00193679-0j -0.0335074-0j -0.00302719-0j 0.0417734-0j 0.000295375-0j -0.0724593-0j 0.0052509-0j 0.0464361-0j -0.0473065-0j -0.00423718-0j 0.0584706-0j 0.000413439-0j -0.00849492-0j -0.00555323-0j 0.00400711-0j 0.0117726-0j 0.00565733-0j -3.53236e-05-0j -0.0119933-0j -0.0214894-0j 7.48845e-05-0j -4.94427e-05-0j 0.000104816-0j 0.0257133-0j -0.00544807-0j -0.00307502-0j 0.00256989-0j 0.00651892-0j 
-0.0367857-0j 0.108057-0j -0.740739-0j 0.14559-0j 0.201693-0j 0.00786139-0j -0.108483-0j -0.00302719-0j 0.0417734-0j -0.0311137-0j -0.00173578-0j 0.0239527-0j 0.0118989-0j 0.0150768-0j -0.00109257-0j 0.0146736-0j -0.0431034-0j -0.00259473-0j 0.0358058-0j 0.0177871-0j -0.00788805-0j -0.0017548-0j 0.00372085-0j 0.00372011-0j 0.00515469-0j -0.00142297-0j -0.0109277-0j 0.00334948-0j 0.00301664-0j -0.00212714-0j 0.00450945-0j 0.0157461-0j 0.000849171-0j -0.00188306-0j -0.00040056-0j 0.00399201-0j 
-0.103518-0j -0.0214583-0j -0.43292-0j 0.0998439-0j 0.118873-0j -0.00745396-0j 0.10286-0j 0.0052509-0j -0.0724593-0j 0.00718937-0j -0.00109257-0j 0.0150768-0j -0.0220426-0j -0.125324-0j 0.00908185-0j 0.041293-0j 0.00855961-0j -0.00152928-0j 0.0211032-0j -0.0308531-0j 0.00182267-0j -0.00493818-0j -0.000859768-0j 0.0104687-0j -0.00102363-0j 0.00263604-0j 0.00217006-0j -0.0368995-0j -0.0055883-0j 0.00368969-0j -0.007822-0j 0.00928041-0j -0.00935488-0j -0.00110983-0j 0.00441276-0j 0.0023528-0j 
0.0514892-0j 0.0509611-0j -0.349342-0j -0.203783-0j -0.282311-0j 0.00370754-0j -0.0511618-0j 0.00423718-0j -0.0584706-0j -0.0146736-0j 0.00259473-0j -0.0358058-0j -0.0177871-0j -0.0211032-0j 0.00152928-0j -0.0205388-0j -0.0203281-0j -0.0109613-0j 0.15126-0j 0.0751408-0j -0.00372011-0j 0.00245621-0j 0.0017548-0j -0.00520706-0j 0.00243102-0j 0.00212714-0j -0.00515366-0j -0.00468829-0j -0.00450945-0j -0.008986-0j 0.01905-0j -0.0220399-0j -0.00118859-0j 0.00263573-0j 0.000560667-0j -0.00558764-0j 
-0.0253729-0j -0.0767161-0j -0.000158247-0j -0.00427697-0j 0.00302719-0j -0.521709-0j 0.000782654-0j -0.00294329-0j 4.41545e-06-0j -0.0879419-0j -0.118567-0j 0.000177872-0j -0.000244577-0j -0.000329505-0j 0.219645-0j 0.0205865-0j 0.0622442-0j -0.177241-0j 0.000265892-0j -0.000365607-0j 7.61687e-05-0j -0.00121037-0j 0.0051705-0j -1.78305e-05-0j -0.00365962-0j 1.43798e-05-0j -5.39113e-05-0j 0.0190032-0j 2.11834e-07-0j 2.14957e-05-0j 3.16661e-07-0j -0.0227384-0j -1.64592e-05-0j 0.00133689-0j -0.00111729-0j 1.96943e-05-0j 
0.00366226-0j 0.011073-0j -0.00218372-0j -0.0590197-0j 0.0417734-0j -0.000782654-0j -0.505419-0j -4.41545e-06-0j -0.00285138-0j 0.012613-0j -0.000177872-0j -0.114865-0j 3.50782e-05-0j 0.212786-0j 0.000329505-0j -0.0029526-0j -0.00892732-0j -0.000265892-0j -0.171707-0j 5.24369e-05-0j -0.150728-0j 0.000174702-0j -0.000746298-0j 0.0352841-0j 0.00052822-0j -2.07554e-06-0j 0.106683-0j -0.00272552-0j -0.000419192-0j -3.10264e-06-0j -0.000626631-0j 0.00326124-0j 0.0325706-0j -0.000192964-0j 0.000161266-0j -0.0389725-0j 
-0.0197311-0j 0.0209818-0j -0.00595153-0j -0.0069797-0j -0.0024973-0j -0.134504-0j 0.000201779-0j -0.333888-0j 0.000500889-0j -0.0475797-0j -0.310035-0j 0.000465106-0j 0.0879419-0j -0.000107471-0j 0.0716391-0j 0.016009-0j -0.0170238-0j 0.146217-0j -0.00021935-0j -0.0414745-0j 4.12099e-05-0j -0.000941239-0j 0.00279742-0j -1.38658e-05-0j 0.0010009-0j -0.0051705-0j 1.47447e-05-0j -0.0516996-0j -7.61687e-05-0j 0.00243848-0j 3.59221e-05-0j 0.0187582-0j 4.47783e-05-0j -0.00110288-0j 0.00303965-0j -1.6247e-05-0j 
-0.0301443-0j 0.0298472-0j -0.00420232-0j 0.00231076-0j -0.00697245-0j 0.20884-0j -0.000313295-0j -0.462716-0j 0.000694154-0j -0.016009-0j -0.146217-0j 0.00021935-0j 0.0205865-0j 0.000617273-0j -0.411468-0j -0.0487859-0j 0.0483051-0j -0.204661-0j 0.000307026-0j 0.0288151-0j 1.38658e-05-0j 0.00286834-0j 0.000941239-0j 4.22547e-05-0j -0.00284008-0j -0.00121037-0j -4.18383e-05-0j -0.0590742-0j -1.78305e-05-0j -0.00169417-0j -2.49574e-05-0j -0.0262561-0j 5.11656e-05-0j 0.00154371-0j 0.00347324-0j 2.2741e-05-0j 
