0.00901015+0.0454118j 0.0343117+0.017668j 0.0386746-0.0295683j -0.0397197+0.052297j 0.00238711-0.0158732j 0.00315023-0.037723j -0.0149803+0.0933291j -0.00227817+0.0268908j 0.00958684-0.0177302j -0.00240338+0.0101715j -0.0249274-0.0338529j 0.0155178+0.030549j 0.00559403+0.00308698j 0.00239239-0.0651825j 0.0157261+0.00116669j 0.00629771+0.0112144j -0.0143499+0.00873439j -0.00703679+0.0398761j -0.0397529-0.0191223j -0.0173516+0.0139721j -0.011477+0.0127817j 0.00524784-0.0276593j 0.000598792+0.026163j -0.00996309+0.0185477j 0.0102342-0.0164572j -0.0131995+0.0113584j -0.0120307+0.0113585j -0.00406219-0.0095979j -0.0225303-0.0153094j 0.0191395+0.0323718j 0.0141795+0.0122703j 0.0249531-0.0260238j -0.0112502-0.040739j 0.0088821-0.0094844j 0.00271022+0.0122778j -0.0072181-0.0147828j -0.0105411-0.0136695j 0.0104077-0.00306536j -0.00237823-0.0180378j -0.0201683-0.00184297j -0.0216632+0.0104022j 0.000979506-0.0293805j 0.000661466-0.0177552j -0.0106733-0.0209219j -0.0144206-0.0111893j 0.00285513+0.0128715j -0.024226-0.00607703j 0.00852447+0.0168951j 0.0081179-0.00644588j 0.0229547+0.0308259j 0.0173133-0.00205747j 0.0169749+0.000796472j 0.0115472+0.0067405j 0.0154813-0.00144811j 0.00521594-0.00403911j -0.00204843-0.0172698j -0.0265878-0.0186363j 0.00179895+0.0364673j -0.0267539+0.016372j -0.0515943-0.0334697j -0.0159593+0.00514052j -0.00480176+0.0111788j 0.0441776-0.004307j -0.00784487+0.00743505j 0.0233164+0.0296124j -0.0251634+0.0408628j -0.00458536-0.0549876j -0.0102494+0.0344138j -0.0469436-0.053706j -0.00612953+0.017262j -0.0118417-0.0309497j 0.0218306-0.00367336j -0.0174919+0.0674487j 0.0107378-0.00570053j 0.00446171-0.0247097j -0.0420785+0.0160357j -0.0584782-0.0104015j 0.146538+0.0250436j -0.01558+0.080137j -0.029622-0.102355j -0.03255+0.0532353j -0.0618055+0.0252578j 0.0501614-0.00175421j 0.0392423+0.0755159j -0.00486031-0.100037j -0.0253899+0.0376312j 0.0276761+0.0622885j 0.0772281+0.0244912j -0.0424182-0.0278567j 0.0580888+0.00143111j 0.0163365-0.0719533j -0.0440174-0.0808322j 0.00281272-0.0218851j 0.131549+0.0261627j 0.0795445+0.165144j -0.164205-0.0422666j 0.133672+0.233003j 0.173937+0.0964829j 
0.0350967+0.0187941j -0.0104051-0.0457252j 0.037879-0.0459842j 0.0432238-0.0325741j -0.00012896-0.0417431j 0.0248207-0.043406j 0.0139333-0.0433092j 0.0028199+0.0706072j -0.00243798+0.0042818j -0.0274897-0.021226j -0.0025385-0.0179658j 0.0213951+0.00282598j -0.025829+0.0112506j -0.0101842+0.00489593j -0.0271483-0.0776045j 0.00519877-0.0288952j 0.00764058-0.0241231j 0.00457564+0.000252929j -0.0143492+0.0166081j 0.0210039-0.00058191j -0.00134029+0.0268523j -0.018804-0.00764696j 0.018742-0.00794965j 0.0265342+0.00506439j -0.010104-0.0410725j 0.0205426+0.0175986j 0.00250739+0.0251134j 0.00844638+0.0413401j 0.00604584+0.00942347j 0.00462114+0.00861848j 0.00811635-0.0424244j -0.00550137-0.0165174j -0.0269327-0.0148318j 0.00061599-0.0105005j 0.00266237-0.00959884j -0.00213269+0.00729519j -0.00437469-0.00258446j 0.0100039-0.00644175j 0.00381375-0.0159399j 0.00395482+0.0230352j 0.0114583+0.0254931j -0.013319-0.0296549j -0.0128247+0.00866271j -0.0174809+0.00607227j -0.0148441-0.0146212j 0.0159011+0.0180922j 0.00741299-0.000951981j -0.00117859-0.00773756j -0.0185841-0.0201709j 0.01856-0.0157586j -0.0168747+0.0162462j -0.0158433-0.0199663j -0.0190546-0.0393421j -0.0205109-0.00821244j 0.0166545-0.0133006j 0.0288531+0.00157166j 0.0140361+0.0152183j 0.00110371+0.0183549j 0.0262374+0.0187682j -0.00635093+0.0424429j 0.0285314+0.0200688j 0.00716362-0.0316535j 0.000473137-0.0213682j -0.00801149-0.0168892j -0.0247457-0.0160182j 0.0179336-0.00173381j 0.00227706-0.00635442j 0.0513763+0.0200494j -0.036453+0.0387797j 0.0115329+0.034409j 0.0100713+0.0229773j -0.00794329-0.0280079j 0.0348834+0.0495531j 0.00146714+0.0438563j -0.074719-0.0342793j -0.000988821+0.0218411j -0.0276615+0.0312205j 0.0050675-0.136577j 0.0782131+0.044394j -0.0966975+0.0619621j 0.0689138+0.0406132j -0.00225733+0.0280045j 0.00307591-0.0260345j 0.0725656-0.0632144j -0.0796576-0.0352567j 0.0364591+0.0722348j 0.0308672-0.0102978j -0.0227302-0.0775702j -0.0687522+0.0116596j 0.00275863+0.0119874j 0.0356482-0.0489313j 0.01705+0.0418869j 0.128748+0.0777851j -0.00363929+0.0917452j -0.176329-0.0394017j -0.0812198-0.148625j -0.173005-0.0966177j 0.135705+0.232787j 
0.0215752+0.0563633j 0.0141594-0.0146502j 0.0343083-0.0196234j 0.00186057-0.012044j -0.0130429-0.0115556j 0.0797504-0.0459515j 0.0296066-0.0242215j 0.0272651-0.032473j -0.00835286+0.0123117j -0.00837998-0.0137687j 0.0107414-0.0349996j 0.0163096-0.0598476j -0.0452852+0.0348362j 0.0108804-0.0286029j 0.0273441-0.00645699j -0.0182691-0.00484103j 0.0153513+0.0353537j 0.00206631-0.0202178j -0.0153828+0.0473231j 0.0497552+0.00198143j 0.00403171+0.025292j -0.0318233-0.00208772j -0.00141114+0.0443007j -0.0270692-0.0329149j -0.0198455-0.0237065j 0.0300334-0.00205404j -0.0143018+0.0354434j -0.0213828+0.0164586j 0.0170046-0.0266506j 0.0139248-0.0171629j -0.0326785+0.000746642j -0.022537-0.00148652j 0.00692642+0.0197821j -0.0125648-0.00881186j 0.00942361-0.0130745j -0.02612+0.0241977j 0.000832635+0.0165833j 0.0205274-0.00402914j -0.0185746+0.00114207j -0.00869451+0.00408044j 0.0193456+0.019868j 0.0141717-0.00880553j -0.00590328+0.0265296j 0.0264867+0.00301006j -0.00570966-0.0070493j -0.0218552+0.00496956j 0.0115017+0.00978319j 0.00285813-0.0192221j -0.0171814-0.0206798j 0.034975+0.0196589j -0.0483006+0.060062j -0.0056508-0.0246779j 0.00876491-0.0229675j -0.00555611-0.00690404j -0.0116138-0.0363868j 0.00960783-0.0130619j 0.018063+0.0217082j 0.0356339+0.0177366j 0.00835428-0.00606504j -0.0116543+0.019975j 0.00825866+0.0138779j 0.0232191-0.0087886j -0.00216129+0.0136888j 0.0474915-0.0370139j -0.030346+0.0440114j 0.0668869-0.0291368j -0.0239396-0.078309j 0.0141485-0.0575102j 0.0802885-0.0095523j -0.0118275-0.00741832j -0.0164752-0.072497j -0.00576957-0.0859013j -0.00141751+0.0198503j -0.0667309+0.0273071j 0.053343-0.0243805j -0.011033-0.0711819j -0.0821071-0.0260393j 0.0341326-0.060854j -0.0342551-0.0643077j 0.0340401-0.0186869j -0.0650238-0.0714154j 0.128095-0.015951j 0.0611308+0.0701402j -0.0229794+0.0835558j 0.034746-0.0623637j -0.00102459+0.0153257j -0.0202769-0.0799197j -0.00658473-0.0105504j 0.0859477-0.089398j 0.0642277-0.0205454j -0.0641079-0.131965j 0.115321+0.0846077j -0.101+0.0803603j 0.0397249+0.00216928j -0.0475031+0.0239041j -0.0703573+0.0879734j 0.0668674+0.0551798j 0.0208772+0.0399048j 
-0.0161614+0.0270813j 0.0176697+0.0651909j -0.0090717-0.0157855j -0.02852+0.0289581j -0.0778353+0.00668973j 0.051633+0.00044899j 0.00462801+0.0141751j -0.001136-0.0179294j -0.025897+0.0411735j -0.0109461+0.0214009j -0.00600414-0.00539388j 0.0142294+0.0167863j 0.00534318-0.0422316j 0.0485771-0.0258144j 0.008177-0.00591836j 0.00678171+0.0427036j -0.0230136+0.0316105j 0.0051238+0.0169082j -0.0176722+0.0217086j 0.030919+0.0354799j -0.0296247+0.0405713j -0.00450163+0.0067905j -0.013531+0.034322j 0.00993677+0.000487509j 0.0146198-0.00965008j 0.00353485+0.0156624j -0.0212234+0.00639098j -0.0152981-0.0458126j 0.0128813-0.00150904j -0.00200016-0.0129148j -0.0293145+0.0139125j 0.0194342-0.0528436j -0.0140519-0.00565506j 0.0035696-0.00087019j -0.00226189-0.0176655j -0.0154702-0.0045612j 0.0290739-0.00104362j 0.049419+0.00973872j -0.000525331-0.00996791j -0.0170565-0.0414383j 0.0191039+0.0148695j 0.00987213-0.0144194j 0.00864594-0.0436322j 0.0282033+0.00446033j -0.0152965+0.00852463j -0.0135579-0.0619266j -0.0043485+0.020498j 0.0180584-0.0106063j 0.0156828-0.0319787j -0.0246206+0.0432458j -0.0226093-0.0558558j 0.0127856-0.0243643j -0.0195065-0.00655057j 0.000678117-0.015914j -0.0159527-0.00914755j 0.0401432-0.0302989j -0.0140777-0.00766064j -0.042617+0.0379352j 0.000615093+0.0393396j 0.0601301+0.025054j -0.0107418-0.010583j 0.029446+0.00445222j -0.0128726-0.0168947j 0.00801888+0.00904326j 0.0349175+0.0242283j 0.0373125-0.00257671j 0.0333267-0.0281853j 0.061905-0.0256654j -0.0115143+0.0643704j 0.01651-0.0394216j 0.0422615-0.00465335j 0.0693055-0.0618328j -0.06658+0.0209871j 0.00253311-0.0464579j 0.0301141+0.030261j 0.0801366+0.0758242j 0.0359359-0.0941031j 0.00442193+0.0694777j -0.0214685-0.0211461j 0.00410762-0.024033j 0.0853757-0.0185746j -0.00600733+0.106079j -0.0530506+0.0473963j -0.063828-0.0334928j 0.0363569+0.0898136j 0.0477685+0.0811606j 0.0184021+0.0209608j 0.0262126+0.0481041j 0.011288-0.001989j -0.0438399-0.0214765j -0.21183-0.0450182j 0.0675719-0.222154j 0.0806884+0.139282j -0.125376-0.00181338j 0.0907354-0.0863178j -0.0791705+0.0187085j 0.0186348+0.04803j -0.0679067-0.0603078j 
-0.00456939-0.0243306j -0.0194634-0.00778668j -0.0269202+0.0111604j 0.0455143-0.0143632j -0.0281314+0.0119004j 0.0178242+0.0191407j 0.0301717-0.0740947j -0.0287985-0.00368366j -0.00333184+0.0332858j 0.0020112+0.011747j 0.0131596+0.00233969j -0.0095323+0.00432488j 0.0139713-0.0102324j 0.0212492+0.06665j 0.0228555-0.0684862j -0.0316564+0.00834765j -0.0149059+0.00717351j 0.0190908-0.023392j 0.0651316+0.00898392j 0.020993+0.0263716j 0.00801622-0.00983584j -0.00238205+0.000833003j -0.00676393-0.0172313j 0.0186133+0.0117646j -0.0293593-0.00204885j 0.0269657-0.0198444j 0.0144014-0.0434523j 0.0284117-0.0217528j 0.0297275-0.0215071j -0.0109113-0.0506005j -0.0226783-0.0327361j -0.0200486+0.04063j 0.0117849+0.0409824j 0.0290737-0.018309j -0.0325824+0.0209655j 0.0168995+0.03494j 0.00367461+0.0761408j -0.0515577+0.0362623j 0.0281305+0.0659364j 0.0695303-0.0133611j -0.0313506-0.0525546j -0.0307686+0.0175411j 0.0300813+0.052215j -0.00176325+0.0464139j 0.032213-0.00668892j -0.00190943-0.10053j 0.0667727+0.0356619j 0.00687046-0.0249729j 0.0150467+0.00985661j -0.0645402-0.0545044j -0.0085687-0.0954328j 0.0487096-0.0690045j -0.0494863+0.0538101j -0.0282923-0.00666452j 0.0289174-0.00788199j 0.0217657+0.0180912j -0.0236722-0.0347134j -0.0451443+0.00140235j -0.0712056-0.0291858j 0.0181971+0.00527052j 0.0143342+0.0346867j 0.00966949-0.0659318j 0.00242189+0.021419j 0.0164083-0.00206331j 0.0498415-0.0106209j 0.0680642+0.0229591j 0.0119002+0.00969931j -0.0658671-0.0288876j 0.0701674+0.144921j -0.0395149-0.0156263j 0.0320703+0.0251327j 0.0120364+0.0675593j -0.0227981-0.0329389j -0.048448-0.0125515j -0.0760516+0.0377263j 0.0776909+0.0302444j 0.00714083-0.0504615j -0.082358+0.0250475j 0.0670583+0.019541j 0.00428485+0.0702956j -0.0544369-0.0422728j 0.0738765-0.044795j -0.106308-0.0696552j 0.0255485+0.0450738j -0.0597374-0.0299563j -0.0094313-0.0504657j -0.0212843+0.0348912j 0.0346279+0.0281942j -0.0298751-0.0834943j -0.052773-0.0116512j -0.00264015+0.0816865j -0.0454939-0.0426406j 0.00282812-0.00415929j -0.0572405+0.0544083j -0.00722605-0.0782397j 0.0670372-0.00787645j -0.0203464-0.031569j -0.0079955-0.0409957j 
0.0143741+0.0180948j -0.00368407-0.00594492j 0.0302396-0.0191621j 0.0220307-0.0069151j -0.00412228-0.0249892j 0.0253657-0.0178582j -0.0195444-0.00848738j -0.0190685+0.0621088j 0.0185766-0.0125702j -0.00564736+0.0122925j 0.0139809-0.0094835j -0.00556491+0.0414215j 0.0053497+0.0168235j 0.00838637-0.0381014j -0.0307286-0.0616682j -0.00913368-0.013072j 0.0178459-0.023369j 0.0145171-0.00956055j 0.00122101-0.0267105j -3.92516e-05+0.0390678j -0.0105901+0.0344083j -0.076856+0.0359801j 0.0156415-0.0141591j 0.0214935-0.00739262j -0.0124244-0.0794442j 0.0150177-0.000768709j 0.00964345+0.049725j 0.00706855+0.0551854j -0.0385605-0.0116035j 0.0120989+0.0894582j 0.0548353-0.0301269j 0.000825694-0.0144412j -0.04378-0.00510618j 0.0304279-0.0235309j -0.0159479+0.0168796j -0.0121529+0.061681j -0.0324989+0.0496327j -0.0126229-0.0250421j 0.000464161+0.0105952j 0.00734248+0.0530279j 0.00417316+0.0123139j -0.0205142-0.00815466j -0.0569134+0.0312477j -0.0370975+0.0199271j -0.0160314+0.029085j 0.0678936-0.00911022j 0.0423395+0.0585769j 0.0257111+0.023099j -0.0322142-0.0211959j 0.0327385-0.0529516j 0.054122-0.000255442j 0.00450038+0.022542j -0.0383206-0.096777j -0.0719213-0.0611923j -0.0240474-0.0490229j 0.0642453-0.00208559j 0.056569-0.00163742j -0.0187587-0.00946679j 0.0353764-0.0417862j 0.0732626+0.0868769j 0.0462662+0.00477526j -0.0468154+0.00571282j -0.0110093-0.0303453j 0.008058+0.0140243j -0.107274-0.0619309j 0.0157985-0.0445919j 0.0315678+0.0544607j -0.00147427+0.0950622j 0.0395951+0.0151961j -0.00507726+0.0179756j -0.044951-0.0118281j 0.11171+0.0641198j 0.0487658+0.0644767j -0.00747442+0.0404997j -0.0488882+0.0318073j 0.0205358-0.0117446j 0.0384028+0.0745053j 0.0200469-0.0397508j 0.0486156+0.00684831j -0.0189635+0.0694394j 0.0316899+0.00814032j -0.0526482+0.0170399j 0.0237824+0.0772001j 0.114353+0.0655097j -0.0050302+0.0419666j -0.00587939+0.00524609j -0.00893519-0.0364091j 0.0368907+0.0811605j -0.0368714+0.0313669j 0.0222173+0.0898725j 0.027065+0.0340296j 0.0117157-0.0193577j 0.0557106-0.0181577j -0.0405091+0.0527365j -0.0535344-0.0004712j -0.031454-0.0762268j -0.0115106-0.0294699j 0.00670696+0.0175134j 
0.00102561+0.043971j 0.0101859-0.0305541j 0.0241792+0.00274224j -0.0385414-0.0156361j 0.0703017+0.010627j -0.0174641-0.0410555j -0.014858+0.0280956j 0.0259084+0.00326942j 0.00997111-0.00589585j -0.00156025-0.0130312j 0.00776235-0.00608532j -0.000615565-0.0630329j -0.0270414+0.0358983j 0.0126168+0.00141419j 0.0279658-0.0196969j -0.0042092-0.0255548j 0.0434361-0.0313246j -0.0242062-0.0283943j 0.0159942+0.00173951j -0.0304472-0.0687272j 0.036785-0.0323848j 0.0210151-0.0658596j 0.00838267+0.0341076j -0.0358457+0.0104355j -0.02113+0.0171155j 0.00639036-0.019973j -0.0150857+0.0324845j 0.0156223+0.0309264j -0.00316073+0.0206433j -0.0254661-0.0258777j 0.0177754+0.0104446j -0.0321693+0.072871j 0.0244572+0.0136238j -0.00536086+0.00566994j 0.0241746-0.00286493j 0.0129857+0.00303358j 0.00852007+0.02758j -0.00511687-0.00345552j -0.0103715+0.0292073j 0.00238134+0.0167205j -0.0104704+0.0215256j -0.0119456-0.0540013j 0.00771936+0.0522622j 0.0166211+0.0270958j -0.00270802-0.0101628j -0.0521483-0.0254639j 0.0297687-0.0605858j -0.0264016+0.00498577j 0.0218984+0.0281151j -0.0187759-0.0237124j -0.0126505+0.000815j 0.0481462+0.0128166j 0.0416904+0.0353243j -0.0276193-0.000681433j 0.00656347+0.0182578j -0.0377243-0.00672442j 0.0550108-0.0117954j -0.0151011+0.0148076j -0.0172524-0.0139345j -0.0121859+0.0146782j 0.0246686-0.0547442j -0.0220382+0.0152905j -0.0181661-0.0123899j 0.0389454-0.00440216j 0.0418502-0.0389082j 0.0289107+0.0291712j -0.0227421+0.0153695j 0.00398544-0.0432285j 0.0689127+0.0423724j -0.0589716+0.0534268j 0.0324551+0.000656725j -0.0101963-0.00526687j 0.00294694+0.052832j -0.0537853-0.0957707j 0.0110123-0.0441157j 0.00782768-0.0298312j -0.0246683+0.0393048j 0.0439088+0.0250147j -0.073213-0.00781808j 0.027745+0.0544952j 0.146834-0.00813195j -0.0364775+0.0844122j -0.0106011+0.00113913j -0.0172198+0.010392j 0.0260618+0.0148413j 0.0189117-0.0545438j 0.0428967+0.0351849j -0.0924199-0.0365289j 0.0500116-0.0755014j 0.0593391-0.0191271j -0.00553392-0.127629j 0.144475+0.0565442j -0.0684778+0.136265j 0.00371362-0.123122j -0.0279142-0.0151259j -0.00458667+0.0250484j 0.0397039+0.0266156j -0.0224664+0.0255622j 
-0.00653066+0.0312941j 0.00451974+0.0131116j 0.0467918-0.0306838j -0.00562866+0.0224207j -0.0340753-0.0406879j -0.0193888-0.0371233j -0.0639752-0.0127284j -0.0618618+0.0388658j -0.0477541+0.0133105j -0.0108049-0.0317775j -0.00533808+0.0142126j 0.0189517-0.000747434j 0.0126643-0.00411233j 0.0282318+0.0134139j 0.0203971+0.0114818j 0.0424104-0.0422803j 0.0227483+0.0196387j 0.00427033-0.037355j -0.027451+0.0230136j -0.0315031-0.0435471j -0.0288421+0.0221145j -0.028365-0.0384558j -0.0343032-0.0495788j 0.0208059+0.0419369j 0.0593567-0.00702359j -0.0245104+0.0160535j 0.0558015+0.0677467j 0.0444455-0.00359964j 0.0386243+0.0588119j -0.020131-0.00747617j 0.0283099-0.00579426j 0.0660075-0.00919502j 0.0191953-0.0381409j -0.0177947-0.01816j 0.0228256-0.022816j -0.064016+0.00265816j 0.0507756-0.0113771j -0.0134666+0.00451137j 0.00327469-0.0374846j 0.0482044+0.065761j -0.0104775+0.00576167j 0.0436809-0.0286329j 0.0521273-0.0695132j 0.00334058+0.0347096j -0.012275-0.0403461j 0.00224485-0.0473326j -0.107511-0.0143695j 0.120979+0.0390397j 0.0292803-0.0389893j -0.0617354-0.0304112j -0.0644712+0.00430663j 0.0532998+0.0546068j 0.0574781+0.0354748j 0.0363051+0.0302805j 0.01585+0.0178229j 0.0410742-0.0024632j -0.0487136+0.0156407j 0.0294724-0.114708j 0.0203844-0.0162333j -0.0380714-0.0123969j 0.0308614-0.0355058j -0.017213+0.0152511j -0.028107-0.0370032j -0.0766142-0.0134223j 0.0160439-0.0294255j 0.0104043-0.0775453j 0.0341063+0.0505439j 0.00859981-0.0215603j -0.0579202-0.0229564j -0.0617726-0.024193j -0.0369652-0.116789j -0.0265748+0.057817j 0.00776679-0.0394327j 0.0396169-0.0139158j 0.0564345-0.0807135j 0.040411+0.0482056j 0.0230022+0.0672818j 0.011458+0.0158007j -0.0259196+0.00973048j 0.0564782+0.0380346j -0.0264863-0.0123842j -0.126922+0.0529946j -0.0498363-0.0213516j -0.0109148+0.016191j 0.0982936+0.00602859j -0.0134907+0.129359j -0.0846441-0.100589j 0.139019-0.143746j 0.0664784+0.119132j 0.0285286-0.0315207j 0.00491012+0.0358347j -0.0450346+0.0106761j 0.0668233-0.0628206j -0.0383437-0.00321309j 0.0914016+0.037714j -0.0529518-0.0325477j 0.0298318+0.00623921j 0.00406341+0.0187363j 
0.0153649-0.00290675j 0.01672-0.0809734j 0.042956+0.00495022j 0.0586037-0.0325117j 0.0233045-0.0244214j 0.0323749+0.0326188j 0.0136736-0.0224283j 0.00215215+0.0275784j 0.0132121-0.0254788j 0.0361464+0.0149823j -0.0187576+0.0266124j -0.0453167+0.0675717j -0.0608942+0.0123206j -0.0513082-0.0122055j -0.0239981+0.0023609j -0.037652+0.00965786j 0.0174508-0.000428308j 0.0396661-0.00644796j 0.00541976+0.0406338j -0.0279+0.0139278j 0.0206398-0.0569869j -0.0423597+0.042053j 0.00284689-0.0041888j -0.0419593-0.0677482j 0.00320163-0.016263j 0.0172372-0.0288159j 0.0281173-0.0576754j 0.00231365+0.0325679j 0.0138617-0.00873072j -0.00595607+0.000772428j -0.0100296-0.0072769j 0.00691949-0.0313413j 0.0101426+0.0330945j -0.0362678+0.0636993j -0.0298777+0.0240617j -0.0318607-0.000696021j -0.066957+0.0159456j -0.066523-0.00895199j -0.00870768-0.0234502j -0.0243468-0.00844653j 0.0169434+0.0140743j 0.0187647+0.0132008j 0.00290206+0.0202775j -0.00633944+0.0160021j 0.0340766+0.0510595j -0.0454145+0.0468572j -0.0758259+0.0327352j -0.00924664-0.0169361j 0.00651858-0.0877993j 0.0191911+0.0742483j -0.0180842+0.0399194j 0.0247373+0.0794828j -0.0168484+0.0205481j 0.0413393+0.001724j 0.0143914-0.0380779j -0.0367863+0.0306604j -0.0841079-0.0322713j -0.0258651+0.0111045j 0.022695-0.0530575j -0.035962-0.000196018j -6.64719e-05+0.0444358j 0.0444246+0.0165218j 0.00368779+0.0105298j -0.0632483-0.0178954j -0.110693+0.0122572j -0.0339421-0.014645j -0.0325563-0.0535883j 0.0640937-0.0172023j 0.0018062-0.0279922j -0.0420196-0.0644797j -0.0661896+0.0519518j 0.0611822+0.00440123j 0.043739+0.0271842j -0.0929314-0.0295564j -0.0774017-0.00370251j -0.0278494-0.0971211j 0.00990678+0.0953762j -0.00425994+0.0052357j -0.0130179+0.0664875j -0.0314413-0.0397878j -0.0122007-0.0306295j 0.0101303+0.0872588j 0.0173632-0.0560056j -0.0325683+0.0565839j -0.0123506+0.0146096j -0.0728281-0.0168265j 0.105306-0.149569j 0.0994292+0.144822j -0.111076+0.0929351j 0.0714522+0.0781843j 0.0512624-0.0448475j 0.0887972+0.0840366j -0.0875904-0.0381006j 0.00830927-0.0315233j -0.0810029-0.00332675j -0.0586204-0.0174883j 0.0230448-0.0266043j 0.0483926+0.0336098j 
0.00736832-0.0225803j -0.014952+0.00416586j 0.00480975+0.0149387j 0.00404167+0.048639j 0.00511226-0.00588176j -0.0337747-0.0189827j -0.0258801-0.000749772j -0.0331669+0.00109041j 0.0289714-0.00915944j -0.00143294+0.000531481j 0.0504226-0.0239809j 0.0378887-0.00483882j 0.025975+0.061181j -0.00518776+0.02387j 0.0393402+0.0301077j -0.0309183-0.0207238j -0.0257373+0.0389758j 0.00765335-0.0240159j 0.0253549-0.0150872j -0.00182371+0.0110082j 0.00211063-0.0595808j -0.0133598-0.00392731j 0.000934581+0.0148691j -0.0514185-0.0305022j 0.0580337-0.0173226j -0.0338305-0.0407181j 0.0590284+0.00715417j 0.00890415-0.00367968j 0.0435599+0.0237193j -0.0277811+0.0243658j 0.0128732-0.028606j -0.0400066+0.0414073j 0.0354849-0.0362556j 0.0101964-0.111482j 0.0420793-0.0350196j 0.00970388-0.0298535j -0.0762531+0.0678377j -0.0324869+0.0326934j 0.0494188+0.0169188j 0.0320125+0.0583023j 0.0133599+0.000395905j 0.0058906+0.0995253j 0.0738904+0.0486193j 0.0898589-0.0794787j 0.0579189+0.012426j 0.02847+0.126824j -0.0631666+0.00227992j -0.0019247+0.0479977j -0.115584-0.0536319j 0.0749441-0.0837792j 0.0364161+0.0899837j -0.0438357-0.02737j 0.0683304+0.128607j -0.0919762+0.085317j 0.10261+0.0430397j -0.0901+0.0183301j 0.0424792+0.0457071j 0.150986-0.0547241j -0.0329623-0.118255j -0.186467+0.0260961j -0.0216276+0.0456416j -0.0208316+0.0558428j 0.0181497+0.127375j -0.0466665-0.0374122j -0.091597-0.0782143j -0.0385411+0.153046j -0.052869-0.0333176j 0.00849336+0.0298902j 0.0929228-0.12295j 0.0684871+0.0664338j -0.0372244+0.0101452j -0.053144+0.00811932j -0.0389993-0.0270538j 0.0198149+0.0355498j 0.0459849+0.0539366j -0.0369984-0.00104858j 0.030852-0.0043843j -0.00951376-0.0271962j 0.0727647+0.0297647j -0.0326774+0.00936085j 0.00124407-0.0142335j 0.016035+0.0143086j 0.00883762+0.0311934j 0.0219445+0.0130368j 0.0913186-0.070714j 0.0248596-0.0307782j -0.0510551+0.0994975j -0.0637809-0.123885j 0.119772+0.0377491j -0.01116-0.05338j 0.111458-0.0248729j -0.093936+0.072049j -0.0208778-0.0912391j -0.000324227+0.00877773j 0.023015+0.042734j 0.0548086+0.0200105j 0.0241704-0.00574442j -0.00143067-0.0119751j 
-0.00721071+0.0349734j 0.00406551+0.00919172j 9.5657e-05+0.00451193j -0.0193768-0.00908299j -0.0211305-0.0075576j 0.0385839+0.00466939j -0.0166219-0.00853437j 0.0339413-0.0329782j -0.0166311-0.0204946j 0.0084361+0.00164087j -0.00521232+0.0414385j -0.057027-0.0476579j -0.021107+0.0194286j 0.0286302-0.048435j 0.0138427-0.0173306j -0.0302148+0.0335817j 0.0779533+0.0256101j -0.0173001-0.0338637j -0.0348899+0.0737278j 0.0116381+0.00510386j -0.0118464+0.071116j -0.0660385+0.0577101j -0.0258073+0.0729349j -0.0882437-0.0410841j -0.0838458-0.0163509j 0.0901259-0.0118481j -0.0302458+0.0291477j 0.0188214+0.0025905j -0.00615155+0.0225138j -0.0986054-0.0505086j -0.0809075+0.0342169j -0.0529958+0.083213j 0.0250022+0.074541j -0.0520129-0.00443013j -0.00448952-0.040102j 0.0383379-0.00146909j 0.0438791+0.0590397j 0.034107+0.0353149j -0.0202554-0.0238646j -0.0539146-0.000800867j 0.0436971+0.0416131j -0.00532623-0.103588j -0.0697544+0.033355j 0.0885241+0.0985313j -0.0607245-0.0407454j -0.133318+0.0363239j -0.0516804-0.0514441j -0.0314436-0.00727891j 0.0605019+0.0353852j 0.00334805+0.167249j -0.0963157+0.0887013j 0.10524+0.0312898j 0.0324123+0.00450231j 0.0298564-0.148851j -0.0468239+0.0476744j 0.0391184+0.116779j -0.0133894-0.0384486j -0.00613652+0.0388864j -0.0958555-0.00174366j -0.00823789+0.0711863j -0.023058+0.0356897j 0.136662+0.0142504j 0.0664336-0.0631999j 0.0426207+0.0763904j -0.00824476+0.055685j 0.0493535+0.0297634j -0.0213052-0.041921j 0.0884162-0.0790935j 0.01778-0.0407878j 0.0435356-0.0697982j 0.0281375+0.00558352j -0.00869142-0.0491786j 0.0587551-0.0246527j 0.0218081-0.0430705j 0.052391-0.0784138j -0.0816323-0.00103937j -0.0310552-0.0161572j -0.00842453-0.0130206j -0.0516266-0.0483736j 0.000636085-0.0547826j -0.0448748-0.0599487j 0.0454208-0.0670904j -0.0350874+0.0368863j -0.0729471+0.0430387j -0.0377729+0.00528033j -0.00698457+0.0171095j -0.0736147-0.0414844j 0.0119137-0.0170225j 0.0214362+0.0121743j 0.0339876-0.0387157j -0.0222696-0.0458067j 0.0683973+0.00549101j -0.0194364+0.0323976j 0.0113863-0.0236975j 0.0274045-0.00221311j -0.00113091+0.0237793j 0.0112369+0.00109327j -0.038749-0.00385626j 
