-0.0125679+0.0349484j 0.00855216-0.0379223j -0.048856-0.051549j -0.0118654-0.0404788j -0.010383+0.0193917j -0.00937628-0.00190591j 0.00330837-0.021463j -0.000187277-0.0755439j -0.0244524-0.0182454j 0.00353903+0.0143127j 0.019643-0.000557983j 0.00410285+0.0194759j -0.00192998+0.00701931j -0.0325029+0.00111412j 0.0048833-0.0128162j -0.00250357-0.0182218j 0.000265244+0.00737472j -0.00132587-0.0532657j 0.000776039+0.016041j -0.00695322+0.00111114j 0.00161571+0.0325623j -0.0115771-0.0257802j -0.00179641+0.00991296j -0.00108747-0.000962421j 0.00143164+0.00604323j 0.00566064-0.0077081j 0.00566759-0.00196744j 0.0064361-0.00156452j 0.0184749+0.00121231j 0.00759662-0.00944709j -0.00650964-0.000490335j -0.00942587+0.00713989j -0.0209727+0.0384569j 0.0155883-0.021529j 0.005323-0.0150878j -0.0217024-0.0178687j 0.00911048+0.0141516j 0.0123024+0.0164682j -0.0177735-0.00889631j 0.00698408-0.0103731j 0.015738+0.0322678j -0.00605248+0.000193398j -0.0106183+0.0138472j 0.00522897+0.00167217j 0.000631425+0.00208542j -0.0177252+0.0170584j -0.000618663+0.0113471j -0.00955666-0.0407081j -0.0217835+0.0267448j -0.0002669-0.0336652j -0.0134997+0.0203421j -0.011199-0.0125799j -0.0096225+0.00407036j -0.00190824-0.00151638j 0.000497221-0.000704899j 0.0178635+0.00168924j -0.0227187-0.0437688j 0.00825821+0.00901653j -0.0107116-0.0176003j -0.0284889+0.0160257j 0.00451891-0.0234975j 0.0112807+0.01734j -0.00720273-0.00459932j 0.00518315+0.0026676j -0.00544375+0.0468034j -0.0174817+0.0326221j -0.000317701-0.0162102j 0.0162029+0.0146707j 0.00325409+0.00314466j -0.0451252+0.00973877j 0.00276102+0.0320217j 0.00380484+0.0378278j -0.0350583-0.0309189j -0.00458885+0.0590152j -0.00385826-0.0351456j 0.0122663+0.052311j 0.0137236-0.0224069j 0.0384721+0.0081022j 0.00543399-0.0165386j -0.0324909+0.023123j -0.0333918+0.019157j -0.0165653+0.0192477j 0.0504246-0.0406236j -0.0113916+0.00447812j -0.0195648+0.0208741j 0.0155813-0.0100416j -0.00270672-0.00966573j 0.00171822-0.0106535j 0.0631341-0.0654577j 0.0183384-0.0218733j -0.0742672-0.0126909j 0.013415-0.0053848j 0.000369147-0.0091815j -0.102099+0.132641j 0.0811659+0.0177367j -0.0886228+0.157177j -0.0574957+0.00718158j 
-0.0124692+0.0462088j -0.00991691+0.0374411j -0.0126483-0.0303082j 0.0447799+0.0579492j -0.0104937+0.0169539j 0.00633062-0.00405272j 0.0162952-0.00917484j 0.0067373+0.00724522j -0.0147755-0.0686964j 0.011641+0.0359641j 0.0114539+0.0105884j -0.0170777+0.00998628j -0.00301643+0.0140835j 0.00336048+0.00113906j 0.00106595-0.0222009j -0.00602022-0.00413468j 0.00421565-0.0122231j 0.0013353+0.000331363j 0.0142447+0.00511381j 0.0078362+0.00931312j 0.0131587-0.00373226j -0.00567062-0.0163908j 0.00571429-0.00388163j -0.00998072-0.00784671j 0.0112188+0.00980902j 0.00211908+0.0169278j -0.00235666-0.012157j -0.00148657+0.0110105j 0.00396611+0.00616763j 0.00410347-0.0321065j 0.0096855+0.0103578j -0.0127187-0.0123144j 0.0154019+0.0172234j -0.0249654-0.00502638j -0.0131198+0.0148007j -0.00872874+0.0338669j 0.0199926-0.00697032j 0.00426163+0.00293685j -0.00156803+0.0116975j 0.00357928-0.0182628j 0.0156827-0.000872028j 0.0140905-0.0121956j 0.00753055+0.013711j -0.00720523-0.0133617j -0.00478547-0.00543039j -0.00140626+0.0108804j 0.00785936+0.000260397j -0.019148+0.0122412j 0.0114884+0.050265j -0.0201841-0.00317291j 0.0199165-0.00618985j -0.010318+0.00566385j -0.00835852-0.0233992j -0.0083624+0.0131648j -0.00391906+0.0179655j 0.0100727-0.00536935j -0.0246067+0.0360305j 0.0178726-0.0321539j -0.00414341+0.0152772j 0.00479128+0.0208232j -0.0135786+0.00185783j 0.0103249+0.00440917j -0.0116708+0.0169432j -0.0101518-0.0328387j 0.0183158-0.0043906j 0.038551+0.00428628j -0.00176044-0.00871739j 0.00130625-0.00752333j -0.00261532+0.00656256j -0.0090679+0.0446188j 0.0441917+0.00485519j 0.0461281+0.00680144j 0.0132442+0.0365006j 0.0385168-0.00808187j -0.0273824+0.0166773j 0.0192373-0.0365149j -0.0189696-0.00366993j 0.0171498-0.0869878j -0.00210869-0.0254253j -0.0274109+0.0477314j 0.0209467+0.00103851j 0.0132191+0.0274693j -0.0316694-0.0314008j 0.0277161-0.000355847j -0.0109461+0.0322879j -0.00250455+0.029109j 0.0049781-0.0344872j -0.00886818-0.0142613j 0.0245852-0.0073372j 0.0506954-0.0606997j 0.0467569-0.0545427j -0.0181653+0.00428766j 0.025434-0.0179032j -0.094991-0.0324399j -0.0929114+0.115521j -0.0501949+0.00630595j 0.0965205-0.158348j 
0.0144324-0.0149769j -0.00300742-0.0726911j -0.0389735+0.0190687j -0.0412541-0.0561111j 0.0183778-0.00832751j 0.0136573+0.00460382j -0.058253-0.0223432j -0.0140267+0.019827j 0.0477277+0.0267549j -0.0187698+0.0043643j -0.00901666-0.00616062j 0.0160961-0.00983202j -0.0127752-0.0188476j 0.00312056+0.00255092j -0.0104473+0.019103j 0.00816241-0.012203j -0.00106742-0.00270696j 0.00675944+0.0149151j -0.0325009+0.0180847j -0.0130393-0.0102367j -0.00469874+0.0111374j 0.00498879+0.00535073j -0.00476734+0.00295989j 0.013518-0.017856j 0.00222556+0.00464457j -0.0163183-0.0211297j 0.0173247-0.00806282j -0.0026915-0.0177418j -0.000786362-0.00641037j 0.0198317+0.023727j -0.00900042-0.0209005j 0.0301415-0.015801j -0.00115455-0.00579814j 0.0188533-0.00467226j 0.0112295+0.00322165j 0.0159143-0.0333168j -0.0093869+0.00951479j -0.0130652+0.00466707j -0.00660125-0.0253229j 0.0263737+0.0290648j -0.0314184+0.0404528j -0.00958779+0.0182588j -0.00858091-0.00333373j -0.00467076+0.0186795j -0.00691415+0.0081421j 0.00282642-0.0169628j -0.0148176-0.00415626j -0.0141704-0.0217468j -0.0103413-0.00824054j 0.0330477-0.0139946j 0.0137986+0.0334926j -0.015823+0.00216313j -0.00316675+0.0144137j -0.025823-0.00162317j -0.0380321+0.000570105j -0.0325168-0.0260997j -0.0113965+0.0103216j 0.00520804+0.0167967j -0.00294149+0.00763934j -0.00881051+0.00904511j -0.0129664-0.0107491j -0.00152933-0.0408909j 0.00453303-0.0306551j 0.00419471+0.0498602j -0.00626682-0.0229671j -0.0174005-0.00890267j -0.00687218+0.00932557j -0.00273663-0.0073041j 0.00774529+0.00499246j -0.0175628-0.0298819j 0.0300572-0.00674477j -0.0174577+0.0396171j 0.00335261+0.00662571j 0.0277132-0.0112164j 0.00227454-0.0277911j 0.0277689-0.026747j 0.00129041-0.0315813j 0.043767-0.00279651j 0.016347-0.0148253j 0.00751293-0.0352749j 0.0345681-0.0229217j 0.0379452+0.00576332j -0.00997144-0.000721795j -0.00466628+0.0717616j 0.00659211-0.0255635j 0.0450866-0.0291665j -0.0304591+0.00171713j -0.0334145+0.0495717j -0.074932+0.0314187j 0.0597473+0.104275j -0.030648-0.013777j 0.0285831+0.0106605j 0.0328069-0.0412579j -0.0116574+0.0450118j 0.0771008+0.0100274j -0.0443461+0.0503469j 0.00404467+0.0315573j 
0.00227214-0.0548206j -0.0079623+0.0225897j 0.0415855+0.0494258j -0.0418578+0.0256807j -0.0177736+0.015765j -0.013868+0.00249968j 0.015473+0.0339367j -0.0329531+0.0239156j 0.0402821+0.0616362j 0.0036214-0.0164398j -0.0107213+0.0439794j 0.0086193-0.0320561j 0.00634133-0.014055j 0.0208979-0.0131446j 0.00118648+0.00157281j -0.00389974-0.00227782j -0.0104595+0.00760598j 0.0141867+0.0146893j -0.0241229-0.0304869j 0.00478188-0.0125664j -0.0424504-0.0115048j 0.0285692+0.0346494j -0.000969397-0.000464274j 0.0118164+0.0256921j 0.00455966-0.00113645j 0.00948792+0.00141108j -0.011188-0.00205841j -0.0116041-0.0149943j -0.00140335+0.0256943j -0.00507183+0.0157853j 0.0232337-0.0155927j 0.0261056+0.0207385j 0.00301306-0.0141107j -0.0123044+0.0497365j -0.0114054+0.00934136j 0.030296+0.0103598j -0.0411723-0.0303405j -0.0107132-0.0035814j 0.027369+0.014899j -0.0239688+0.00916753j -0.0168795-0.0201955j -0.00271031+0.0052607j 0.00398175-0.0246788j -0.0164314-0.0137282j -0.00540759+0.0116565j 0.0182165-0.017627j 0.0147148+0.0138661j 0.0467223-0.00382693j 0.0140882-0.0481654j 0.00296314+0.0325318j -0.0219837-0.0308653j 0.0251006-0.000340586j 0.0165166-0.0275929j 0.01873+0.00307124j 0.0048151+0.0146633j -0.022441+0.028826j 0.016087+0.00455179j -0.0284366+0.0029101j 0.00414582+0.00807524j 0.0155221+0.00580679j -0.0221116-0.00113733j -0.0124645-0.0308235j 0.0292338+0.00794538j -0.00830079-0.0236346j -0.00937437+0.018282j 0.0145839-0.0183424j 0.0133609+0.00323806j 0.00833223-0.0203059j -0.0249039+0.0267207j 0.0366038-0.0215909j -0.0382138+0.027041j -0.00350371-0.0466301j 0.0277327-0.00488261j 0.0174938-0.0141808j 0.0103705+0.0317824j -0.0259394-0.0137413j 0.00650609-0.00180021j 0.00742874-0.024234j -0.0240408+0.0172237j 0.0181124+0.0102343j 0.0191347+0.00531858j 0.0416908-0.0121137j -0.0253595-0.0136582j -0.00268769+0.0202023j 0.00340209-0.0338422j 0.00266-0.0468984j 0.0482473-0.0473899j 0.0989874-0.00533087j -0.0330733+0.10651j 0.0269344-0.0357017j -0.000454443+0.0445039j 0.0580573-0.0948138j -0.0361136+0.00203874j 0.0794904-0.0315761j -0.0540856-0.0225049j 0.0011079-0.060842j -0.0120757+0.00984089j 
0.00638192-0.0120888j 0.0158863+0.00325465j 0.00249925-0.00298391j -0.0254895-0.0177758j -0.011175+0.00744639j 0.000185532-0.0435782j 0.021136+0.0237561j -0.00376462-0.0554146j -0.033459+0.0554099j 0.0319001+0.0187891j -0.0254306-0.0125798j 0.0198728+0.00399367j 0.0202982+0.00833902j -0.0164137+0.00677667j -0.00613724-0.0202363j -0.000668882-0.00130731j -0.018828+0.0277635j 0.00539274+0.0101606j -0.00903121+0.0165279j -0.00317674-0.0241127j 0.00675289+0.0116101j 0.00803266-0.000401016j -0.00156988+0.0053189j -0.0137957-0.00515895j 0.00977762-0.00522013j -0.0166179-0.0225912j 0.00942014-0.0188284j 0.0106869+0.0117065j 0.00564508+0.0226327j -0.0214211+0.0112816j -0.0178357-0.00283246j 0.000439422+0.0127937j -0.0280102+0.00992831j 0.0268213-0.0118033j 0.0259539+0.000464063j 0.0244884-0.0282435j -0.0291583+0.00547854j 0.0125496+0.00315611j 0.00978992+0.00944891j -0.0336292-0.00846693j 0.0026719-0.0156826j -0.0310477-0.00375294j 0.00466429-0.0168083j -0.0194821-0.00295406j 0.0209544+0.0145028j 0.0056023-0.0336106j -0.0114033-0.0591193j 0.00409044-0.0416551j -0.00279732-0.0326058j 0.00648063+0.00977337j -0.00597285+0.0137854j 0.0243763+0.0102902j 0.00952541+0.0319139j 0.00381629-0.00938044j 0.0195885-0.019662j 0.0176762-0.0221133j -0.00440814-0.0816176j -0.010072+0.0199214j -0.00785486+0.00383012j -0.0102969+0.0418657j -0.0203846+0.0310229j -0.0404925+0.00722898j -0.00869863-0.0257833j 0.0123579-0.00797506j 0.0162071-0.0196224j -0.0202782-0.020752j -0.000313139-0.0284087j 0.00414307-0.0332042j -0.00210996+0.0229567j -0.0216626-0.0196186j -0.017889+0.00168105j -0.0663829-0.00096942j -0.0348441+0.000754538j -0.034957-0.0230067j 0.0425587-0.00442234j -0.0141719+0.0380826j 0.0205565-0.0193502j -0.0151351+0.0395352j -0.0187698-0.00252063j 0.034674+0.00183806j 0.0501485-0.0526598j -0.0282759-0.0195639j 0.0429959+0.0294974j 0.00144867-0.0367843j 0.00145772-0.0609317j 0.0361811+0.0142306j 0.0961769-0.0181947j -0.0173204+0.0721813j 0.0314205+0.00379029j -0.0371362-0.0718149j -0.071107+0.0525204j 0.0271941+0.00311116j 0.0312102-0.0976204j 0.0822092+0.0433675j 0.0258245-0.0719722j 0.0209197-0.0399229j -0.0193211+0.0540374j 
0.0267441+0.0443151j -0.0104444-0.0159992j -0.0186844-0.0196515j 0.0440655-0.00422612j 0.00935315+0.0168522j 0.0203854+0.0166814j -0.0195192+0.00042427j -0.0430403+0.0256686j 0.0219372-0.00269536j -0.00543066-0.019385j 0.0159024+0.0480173j -0.0251677-0.0101416j -0.00172898+0.0149134j 0.024853+0.0122174j -0.0107896-0.00246927j 0.0065071-0.0373918j -0.00182932+0.0180993j 0.0116925+0.0175984j -0.00475692-0.0117643j 0.0253345-0.00388041j -0.017788-0.00258057j 0.00282381+0.0286297j -0.0135078-0.00473575j 0.00326859+0.0121075j -0.000977054-0.0007924j -0.00780984+0.0288357j -0.00906717+0.000246411j -0.0091519+0.00430424j 0.0131069-0.0277641j 0.00781657-0.00249658j -0.00740178+0.01921j 0.00562474-0.00843985j 0.0356035+0.00891218j -0.0387729-0.0133587j 0.0173394-0.00614229j -0.0108449+0.00480978j 0.0144085-0.032309j 0.00180021+0.00693464j 0.0110346+0.000670123j 0.0133846-0.0208302j 0.024708+0.0241032j 0.000686429+0.0354637j 0.00762782+0.0221304j 0.0120945-0.0303001j 0.00277678+0.0145268j 0.0214199+0.0220393j 0.015355-0.00430618j 3.31994e-06-0.00625452j 0.027268+0.00586503j -0.00281217-0.0220886j 0.00783629-0.0134573j 0.00288831+0.0160343j 0.000216679-0.0304626j 8.53259e-06+0.00856175j -0.00625155+0.0499412j -0.00742571+0.0366694j 0.0214627+0.0129893j 0.00792592+0.00960055j -0.000200877-0.00810314j -0.0300034+0.0290702j -0.0137902-0.000445296j 0.00614541-0.0495652j 0.00822976-0.0184065j -0.00856529+0.0068396j -0.00585257+0.00885406j 0.00238814+0.0197043j 0.0218286+0.0236073j 0.0385412-0.0419725j 0.0226648-0.0114839j 0.0157062-0.0126073j -0.0177058-0.00279163j 0.0297057-0.0236022j 0.00764034+0.0147711j 0.0224058-0.0359831j 0.0288451+0.00921343j -0.0476802-0.0225789j -0.0347377+0.0417712j -0.000181691-0.0207277j -0.0141854+0.0236465j -0.00286024+0.0333638j 0.0123046-0.00107774j 0.0551861-0.00251199j -0.0377106-0.0195642j -0.00315617-0.0251581j 0.00252766-0.01783j 0.0566731-0.0464328j -0.0114274-0.0545729j 0.0143889-0.0152379j -0.0478763-0.102404j -0.0720235+0.0662944j 0.0906516+0.00982939j 0.0145904-0.0603898j 0.00981049-0.0123793j -0.034721-0.0765484j -0.0437895-0.0142284j 0.00907213-0.00696377j 0.0411162-0.0639538j 
-0.0073329+0.0215322j 0.0132149+0.0495139j 0.0531556-0.0495466j 0.0630042+0.0410679j 0.00863729-0.0157244j -0.000649784+0.0246917j 0.0612086-0.0103256j 0.0227589-0.0276675j -0.0645399-0.0443381j 0.0181846-0.0377824j 0.0508221-0.0259375j -0.0276768+0.0240149j -0.00214195-0.00875899j 0.0133103+0.00471179j 0.016428+0.0106652j -0.00530037+0.0275216j 0.0158724-0.0278333j -0.0399314-0.0229766j 0.0629303-0.0150648j -0.010833+0.0273146j 0.028486-0.0203925j -0.0187348-0.0165833j 0.0212276+0.0250393j -0.0144661-0.000509704j -0.0205845-0.0137039j 0.0246139+0.0175594j -0.00449362+0.00213659j 0.0022717+0.0415411j -0.0463414-0.0191912j 0.023027-0.0197952j -0.0291346+0.016322j -0.039518+0.00583481j 0.0154821-0.00693893j -0.0139071-0.0196536j -0.00763441+0.00365661j -0.0353844+0.0360742j 0.0168048-0.00143159j 0.00737639-0.0267173j 0.0114329-0.0059373j 0.0100572-0.0462787j 0.0464696-0.0476207j 0.012817-0.0257135j 0.0301117+0.0075264j 0.00785609-0.025648j 0.0276293+0.0101531j 0.00782956+0.00898035j -0.00465517-0.020385j 0.0129083+0.0349543j -0.0099965+0.0416333j -0.0593711-0.0186365j 0.0140087-0.045722j -0.00381887+0.00385755j 0.00338276+0.00889243j 0.026157-0.00901515j 0.0273003+0.00808756j 0.0187661-0.00357873j 0.0091324-0.0186252j 0.0192809-0.0134905j -0.000469171-0.0253963j -0.0180761+0.013804j 0.0202238+0.0165218j -0.00294744+0.00850574j -0.00356754-0.00643973j -0.00870468-0.0070998j 0.0152698-0.00488682j -0.00666864+0.0500669j 0.0108809+0.00691692j 0.0216875-0.0195466j -0.00279477-0.0208294j 0.0077913+0.00641329j -0.010734-0.00430175j 0.00948061-0.024825j -0.0115485-0.00933973j 0.00791301-0.00371101j 0.0337687+0.0231372j 0.0182599+0.00771338j 0.011652+0.00649582j -0.00053593+0.0353416j 0.000588777-0.0206263j -0.0348193-0.0151602j 0.034162-0.00801601j 0.0290523+0.0293817j -0.0140847-0.0420678j -0.011675-0.0519568j -0.0179461+0.0638903j -0.0505388+0.0148153j 0.0285075-0.016605j 0.0225064-0.029704j 0.102006-0.0100419j -0.0220944-0.0869071j 0.0127781+0.0035625j 0.0010899-0.00176781j -0.0187544+0.0233928j -0.01251-0.00340688j -0.0448894+0.00538181j 0.0268887+0.0145408j -0.0423785-0.00649377j 
0.00424195+0.00675736j -0.0143828-0.0505295j -0.0832692-0.0244041j -0.0224493-0.0568579j -0.00476043-0.0139821j 0.00228771-0.00830855j -0.011832-0.022454j -0.0265195-0.0439203j -0.0522282-0.0179634j -0.0155562+0.011484j 0.00862346-0.0446351j -0.00501007-0.0295116j -0.0446559-0.046145j -0.0470518-0.00362001j 0.0179966+0.00173238j -0.0745126+0.0422927j -0.00634198+0.00707699j -0.0243085-0.0329199j -0.0259928+0.0128752j 0.00510031+0.016123j 0.0309964-0.00307013j 0.0329941-0.0296322j 0.0403896-0.00432556j 0.03692-0.0306355j -0.0218442+0.042134j -0.0509417-0.0073854j 0.0428759+0.0160917j -0.0106839-0.00508854j 0.0322829+0.00857498j 0.0422293-0.00661543j -0.0226641-0.00240295j 0.0280186-0.00361242j -0.00903505-0.0391168j 0.0490107-0.00512686j -0.0127685-0.0212351j -0.0166658-0.0356672j 0.0333281+0.0601526j -0.0114818-0.0356283j -0.0652368-0.0214416j 0.0226167+0.055675j -0.000920811+0.0656965j -0.0134384+0.0184004j -0.019649+0.0168383j -0.04493-0.0120793j -0.0112207-0.00758675j 0.00653654+0.00683837j 0.00755518-0.0168105j -0.00188233+0.0181401j -0.0437688+0.0292125j 0.0249033+0.013552j -0.0012627-0.0126052j -0.0159155-0.00399462j 0.000402712-0.018079j -0.0115017-0.016463j -0.00556275+0.00380338j 0.0116761-0.0319858j 6.70147e-05-0.0282715j 0.03811-0.00319556j -0.0189285+0.000339821j -0.0582567-0.00552766j 0.0105432-0.0254926j 0.0437609-0.00936787j -0.01378-0.0206369j -0.0123707+0.00440343j 0.01434+0.0246305j 0.00828819+0.0152581j 0.00327541+0.0158062j 0.0175358+0.0239269j 0.0444608-0.0327797j -0.0230723-0.0156643j -0.0126845-0.0347439j 0.0113405+0.0374798j -0.00683481+0.00172012j 0.0232876+0.00222771j -0.0136528-0.040142j 0.0930824-0.0578591j 0.0710296-0.00842182j 0.0879831+0.00912067j -0.0210329+0.0599702j -0.00302067-0.0599306j 0.0180905-0.0470338j 0.0262938+0.0252122j -0.0730239+0.0144601j 0.00556663+0.0557933j 0.0445084+0.10179j -0.0217852-0.0301439j 0.0160327+0.0553114j 0.0228287+0.0190529j 0.0183348+0.0440202j 0.0528518+0.0454437j -0.0270125-0.050081j 0.00249966+0.0209144j 0.000926107+0.00634856j -0.10269+0.0438979j 0.0452869+0.0545224j -0.0362862+0.0490983j 0.00859705+0.0129771j 
0.0103731+0.0101591j -0.0137513-0.00423006j -0.00467068-0.00940286j 0.00738921-0.0312526j 0.0056546+0.0221316j -0.0171259+0.0496742j 0.0337293+0.017627j -0.0410935-0.0197466j -0.0289283-0.0245012j 0.0168159-0.0772638j 0.0767124+0.00413388j -0.0270856-0.0172469j -0.00823937-0.0542189j 0.0244033-0.0126102j 0.0332295+0.0279938j -0.0110284+0.0774605j 0.0129544-0.0175489j -0.0399907-0.0355559j 0.022911+0.0125351j -0.0348642+0.0293012j 0.0326478-0.0418827j -0.0138263-0.00942379j 0.0319547+0.0545383j 0.0293793+0.0217815j -0.00639167-0.0278843j -0.00188616+0.0132933j -0.00529615-0.00575531j -0.0182436+0.00455973j -0.0214385+0.0045705j 0.0575004-0.00732093j -0.016255-0.00685035j -0.0174293-0.00912736j -0.014396-0.0127793j 0.0323117-0.00518833j -0.0292401-0.0201074j -0.0243507-0.00508401j 0.0210013+0.00732934j -0.00741539+0.00271019j 0.00881454+0.0363679j -0.0345253-0.0307397j 0.0630094-0.0587267j 0.00145116-0.0396831j -0.0323785-0.0426286j 0.0137409-0.0277599j 0.00808934-0.0134318j 0.0428078+0.0052777j 0.0236708+0.0169118j 0.0861091+0.0402203j 0.000227057-0.0110822j -0.0363728-0.00329543j 0.00933144-0.0890824j -0.0107011-0.0128414j 0.00515721+0.0344301j 0.013719+0.0417467j 0.0505094-0.0138552j 0.0463562+0.0306108j -0.0296273-0.0206936j 0.0103345+0.0293732j -0.0437657+0.0102046j 0.00135092-0.015274j -0.00523063-0.03354j 0.0307043+0.0113778j 0.0390847-0.0176291j 0.0245138-0.0434978j 0.041217+0.03402j -0.00918896+0.0542779j 0.0213714-0.00988529j -0.000817904+0.0621578j -0.046932-0.0275224j 0.0134278-0.0578535j -0.0509164-0.00628321j 0.00637639-0.00359703j -0.014244+0.0175006j -0.0575036-0.00261358j -0.00156336+0.0279342j -0.0104786+0.0353175j 0.0110346+0.00386359j 0.0130343+0.0334713j 0.0680707+0.055945j 0.002953-0.0513707j 0.014591+0.0486403j 0.0191762+0.033293j -0.00428543+0.070614j 0.0595199-0.0663865j 0.0133706+0.026753j 0.000398512-0.0207393j 0.0259104-0.0180214j 0.0849072-0.0382162j 0.0773817-0.0768789j -0.0991178-0.0464841j 0.0358839+0.036669j -0.00132607-0.0388388j 0.00497501+0.0480591j -0.0187515-0.0102064j -0.00841014-0.0243993j -0.0118944+0.00555654j -0.0171186-0.0231194j 
0.0458943+0.0310284j 0.0128447-0.0212645j -0.0369404+0.0122094j 0.0078765-0.0523469j 0.01582-0.0186793j 0.0123832-0.00739582j -0.0349913+0.0120776j -0.0782889+0.0593999j 0.0403692+0.0678565j -0.0313873-0.00144993j -0.0769611+0.0142253j 0.0172411+0.0120378j 0.0255903+0.0405497j -0.0143332+0.0106474j 0.00446092-0.0232626j 0.00260762+0.00415245j -0.0218371+0.0520706j 0.0393848+0.0254606j -0.0378651+0.0541193j 0.0380409-0.0407973j 0.0204206-0.0168444j -0.0152159+0.015676j -0.0303272-0.0337829j 0.0119794-0.00268662j 0.0380285-0.021525j -0.0462637+0.00592536j 0.000351772-0.0324047j -0.0088404-0.0336701j 0.0222273-0.0304896j -0.000962295+0.0476628j 0.0193076+0.0173349j 0.0398556-0.020285j -0.0162805+0.020719j -0.012889+0.00236355j 0.00910866-0.0337536j 0.0085404-0.0440681j -0.0052027-0.0214356j 0.0229979+0.0316943j 0.0240186+0.0590661j -0.0222575-0.00498791j 0.0367343-0.0111471j -0.016671-0.00851209j -0.000561129+0.0374527j 0.0270814-0.00115952j -0.000204178-0.00469524j 0.0481227-0.0261959j 0.0264789-0.029575j 0.0404687+0.0172198j 0.0413829-0.093594j 0.0413138+0.0197472j -0.00676859-0.0348683j 0.017503+0.0199534j 0.00857593+0.0215734j 0.0180046+0.0167107j -0.023217-0.00401336j -0.00517786+0.00923819j -0.0313681+0.0105868j 0.0146494+0.0427059j 0.00855626-0.00371181j -0.00878355-0.00738855j 0.00391788+0.0189127j 0.00249873+0.0147247j -0.0184741-0.0302026j 0.0542733-0.00522044j 0.00603799-0.0344907j -0.0471641-0.00283106j -0.0296357-0.0186798j 0.0128977+0.0421256j -0.0173898-0.036173j 0.008941-0.0084501j -0.0474889-0.0376047j -0.0112059+0.0352783j 0.0419358+0.0182825j -0.0450168-0.0111188j 0.0146852-0.014196j -0.0390571+0.00200602j 0.0364387-0.00724627j -0.0185652+0.0959339j 0.032832+0.0245003j -0.0217315-0.0344731j -0.00164036-0.0331381j -0.000765983-0.0233404j 0.0133129+0.0111139j -0.0235743-0.0502424j 0.0845902-0.0391025j -0.0290874+0.0414408j 0.031196+0.00492226j -0.0299573-0.0236432j -0.0301014-0.0895978j -0.0888801-0.0278873j 0.071566+0.0475279j -0.0300309+0.042726j -0.00346805+0.00567061j 0.0202963-0.00438724j 0.00252319-0.059525j 0.061584-0.0450444j 0.021857+0.031103j 
0.0293828-0.00466378j -0.013218-0.00412545j -0.000615785+0.0087332j -0.00674418+0.0391579j -0.00630773+0.0133765j -0.00990723+0.0115795j 0.0211391-0.00168048j -0.124326+0.0173075j 0.0690274+0.0231395j 0.0202209-0.0496839j -0.00725951+0.0945464j -0.0126048-0.0628776j -0.0577475-0.0449862j 0.0497102-0.00080276j -0.00143753+0.00687263j -0.0717388-0.0588341j -0.0464367-0.0202366j 0.109972-0.012532j -0.123344-0.0412298j 0.0302628+0.0419154j -0.147992-0.0434915j 0.0556642+0.0770858j -0.0185166-0.00341651j 0.0623815-0.00964637j -0.0304238-0.0404163j -0.016047+0.0868019j -0.0879429-0.0166138j -0.123979-0.0286354j 0.00445428-0.0475353j -0.00141833-0.00321111j 0.0279441-0.0431258j 0.0133324-0.0799536j 0.0948508+0.00207667j -0.037792+0.0674456j -0.0403084-0.0159811j 0.0169364+0.0426085j -0.00646642-0.00422835j -0.00636994-0.00933149j 0.0403677+0.00774035j -0.00330223-0.0120694j 0.0510685+0.00617385j 0.0478967-0.0194627j 0.0260153+0.0355716j -0.0140035-0.0320448j -0.030429+0.0171285j -0.00136855+0.042406j 0.0735701-0.00150687j 0.0814442-0.00163045j 0.0092507+0.0228124j -0.00608849-0.0251336j -0.0129953-0.0573694j -0.0114318+0.0146398j 0.00308769-0.00698321j 0.047636+0.00404844j 0.020861+0.0646592j -0.0360768+0.036857j 0.0161475+0.0643842j 0.0119751-0.00253907j 0.0156096+0.00908795j -0.0126484+0.00245955j -0.0315192+0.0311061j 0.0138205-0.0074822j -0.0146837-0.0334036j -0.0354239-0.0155682j -0.0217447-0.0107868j 0.0221597+0.0229473j -0.0422387+0.00870684j 0.0423746-0.0559126j 0.0031606+0.0358948j 0.0184227-0.0350718j 0.000782949-0.0118665j 0.0496879+0.00733679j 0.0259741-0.00133393j 0.0369863-0.0313721j 0.0258023-0.00219742j -0.00860328-0.00977718j -0.026096-0.00633207j 0.0249599+0.0104694j -0.0533849+0.0284321j 0.0350933-0.0206785j 0.0540633-0.0557306j 0.0584419+0.0495924j -0.0883253-0.0536057j 0.0138044+0.029745j -0.0326845+0.0871219j 0.000989307-0.0294952j 0.0159712-0.0346428j 0.0266468+0.0210155j -0.0151015+0.00581711j 0.0594791+0.00958609j 0.021408+0.0223247j -0.00355052-0.0261174j 0.00148551-0.011621j -0.0148961-0.0435664j -0.0865608+0.0233397j -0.0225902-0.0320034j 0.0539866-0.0281438j 
