0.00519258-0.00177771j 0.000807269+0.00431253j 0.00086832+0.00264186j 0.00339144-0.00312838j 0.000300208+0.00296486j 0.000473375+0.00261396j 0.00277368-0.00124671j 0.00157689+0.00159343j -0.000236925+0.00148719j -0.00114893+0.00126592j -0.00254818-0.000755667j 0.000405839+0.00254211j 0.000851084-0.00111966j 0.00123882-0.000246656j 0.00237754-0.000713675j 0.00116097-0.00113102j -0.00036569-0.00129464j -0.000537801+0.00144023j -0.000928907-0.00113124j 0.00272176-0.00234919j 0.00209151+0.00135951j 0.000759621+0.00176284j 0.00163+0.00183415j -0.00122671+0.00053668j -0.000384098-0.00127021j 0.00138197-0.00216466j 0.000682859+6.5532e-06j -0.000296674+0.00134348j -0.000977826-0.00112814j -0.000386286-0.000818843j 0.00277943+0.000577903j 0.000434027+0.000428398j 0.00106504-0.000853122j -0.000841546-0.00202969j -0.0019115+0.00377732j -0.000535216-0.000214108j 0.00370611+0.000476056j 0.00116185-0.0019929j 0.00136081-0.00134499j 0.000409319+0.00149421j 0.00155611-0.000132622j -0.00353541+0.00212295j -0.00166802+0.00114506j -0.00113948+0.00368153j -0.00140212-0.00118316j 0.00123646-0.000825779j 0.0027502-0.00363392j -0.0016132-0.00049957j -0.000345066+0.00179343j 0.00116173-0.00104708j -0.00258985-2.47708e-05j -0.00135732+0.00176965j -0.00102364+0.00111357j -0.000126645-0.00338735j 0.00612911-0.00738051j -0.00787973-0.00418053j 
-0.00206855-0.00624541j 0.00508316-0.00108037j 0.00272819-0.00121615j -0.00372047-0.00356638j 0.00303331-0.000658222j 0.00297898-0.000859589j -0.00150193-0.00288928j 0.0014027-0.00174753j 0.00142325+0.000233257j 0.00123862+0.00129227j -0.000702022+0.00289041j 0.00255292-0.000998294j -0.00139179-0.000459624j -0.000531187-0.00109579j -0.000793656-0.00273194j -0.00127714-0.00127467j -0.00135113+0.000511201j 0.00134525+0.000683218j -0.000826592+0.000981049j -0.00253226-0.00260323j 0.00107205-0.00234173j 0.00134567-0.000819589j 0.00144737-0.00149655j 0.000389434+0.00109669j -0.00105222+0.000763601j -0.00134381-0.00116271j 0.00028903-0.000772974j 0.00144901+0.000881991j -0.00149059+0.000329919j -0.00117839+0.000349657j 0.00175023-0.00350391j 0.000698533-0.000866052j -0.000892814-0.0011475j -0.00312981+0.000545858j 0.00470221+0.00237247j -0.000544194+0.000581665j 0.000782839-0.00477312j -0.0027617-0.001355j -0.00129301-0.00157228j 0.00167807-0.000273268j -0.000264945-0.00225288j 0.00213523+0.00402306j 0.00143109+0.00215947j 0.00399511+0.00098244j -0.00120743+0.00150469j -0.000588903-0.00113573j -0.00393135-0.00317983j -0.000621397+0.00164208j 0.0020634+0.000167596j -0.000803982-0.00107104j 3.91295e-05+0.00246792j 0.00173325+0.00137062j 0.00140709+0.000909883j -0.00377009+0.000352437j -0.00813372-0.0067759j -0.0048247+0.00881949j 
0.00527953+0.0015662j -0.000499191+0.00347345j -0.000682646+0.000226497j 0.00166078+0.000355589j 0.000202561-0.000592677j 0.0014936+0.00264651j 0.00192584+0.000388595j -0.000150747+0.000277785j 0.000178845-0.00211411j -0.00112315+8.09829e-05j -0.00343682-0.000450788j 0.00122689+0.00161294j -0.000872081-0.000849017j 0.000482583+0.000879152j 0.00176078+0.000515953j 0.00154708+1.50805e-05j 0.000868242-0.000575688j -0.00147733-0.000709481j -0.000523834-0.00290496j 0.00265332-0.00197921j 0.00210862-0.000229857j 0.00202087+0.000662915j 0.000512874+0.00160834j -0.00057161-0.00192283j -0.000855085+1.64315e-05j 0.00132622+0.00121836j 0.000273935+0.000545604j 0.000120049+0.00157761j 0.000767785-0.00151085j -0.000649003-0.00097304j 0.00316462+0.00158871j 0.00195402+0.00156363j -0.000220984+0.000689531j -0.00164182+0.000101185j -0.00218227-5.06323e-05j -0.000593371-0.000382356j 0.00464564+0.000292396j 0.000596046+0.00146312j 0.000832342+0.00148793j -0.000156032+4.26926e-05j 0.000876617-0.000198797j -0.00299832-0.00190361j -0.00122902-0.000935955j -0.000265464-0.00018664j -0.00192372-0.00127595j 0.00208576+0.000462971j 0.000547322+0.000404056j -0.000536828-0.000163246j 0.00188975-0.00193082j 0.00242704-1.70936e-05j -0.00151701-0.00198275j 0.000391439-0.000853389j 0.000754954+0.00457373j -0.00353284-0.000171488j 0.00511925-0.00185607j -0.0041355-0.00592025j 
0.000934208-0.00330673j 0.00126036-0.00129628j -0.00292955+0.000328366j 0.00148664+0.00194245j -0.00410969-0.00175606j 0.00158799-0.00324994j 0.000330762+0.000193788j -0.00235935+0.00073173j -0.00478109-0.00110037j -0.000717348+0.000512353j 0.00155677+0.00307029j -0.000367664-0.00350429j -0.00124641+0.00315378j 0.000526345+5.67147e-05j 0.00018549-0.000504438j 0.0001602-0.001538j 0.000814144-0.000833222j -0.00235142+0.00147407j -0.00278098+0.00153161j -0.00274367-3.53246e-05j -0.00303955-0.00157761j -0.00157448-0.00408882j -0.000555566-0.000685117j -0.00280739-0.000332925j 0.00162935+0.00153461j 0.00294586+0.000817752j 0.000995605+2.38539e-05j 0.000538364-0.000775709j -8.4584e-05-0.00121751j -0.000690865+0.00131513j 0.00144682-0.00175378j 0.00226133-0.00192118j 0.00114165+0.00137715j 0.00263635+0.00142031j -0.00325383+5.15533e-05j -1.2033e-05+0.000335472j -0.000793007-0.00282081j 0.00355691+0.000611739j 0.00336317+0.000614105j -0.00225405-0.000762328j -0.00057411-0.000454506j -0.00388245-2.01775e-05j -0.0021874+7.9754e-05j -0.00329217-0.00225649j 0.000532558+0.00300434j 0.000858853-0.00067166j 0.00343289+0.00356995j 0.00130351-0.000238224j -0.00487441-0.0037296j 0.000516008-0.000982812j -0.00084961-0.000328617j -0.00306762-0.00349026j 0.00701776-0.00364506j 0.00398466+0.00732387j 0.00125085+0.00240382j -0.000775716+0.00163701j 
-0.00372287+0.00536012j -0.00399483-0.00285661j -0.000964061-0.000933937j -0.000326667+0.00296706j -0.000415604-0.000296693j -0.00307213+0.000158831j -0.000571122+0.00287217j -0.00123207-7.34566e-05j 0.00175405-0.000454109j 0.000461593-0.000816569j 0.000966263-0.00342329j -0.00242074+0.000154063j 0.00127654+0.000690747j -0.00028081+0.000856793j -0.00142935+0.00157069j -0.000293214+0.00160141j 0.00163331+0.00108797j 0.000767418-0.00121419j 0.00236086-0.000795441j 0.00201122+0.00273654j -0.000864493+0.0018945j -0.000946965+0.000422405j -0.000653054+0.000511154j 0.0013781-0.000968207j 0.00139178-0.00082146j -0.000890217+0.000538465j -0.000607379+0.000962713j -0.0009409-0.00108813j 0.000706781-0.000367066j 0.000779657-0.000527133j -0.00342676+0.00173619j -0.00243304+0.000511381j -0.0015422+0.000374108j -0.000163877-0.000480762j -0.000171138-0.00239979j 0.00164281-4.81214e-05j -0.0017802+0.00352463j -0.000681704+0.00137892j -0.00131165+0.000181983j -0.000649834+0.00029925j -0.00130873+6.88683e-05j 0.00185802-0.00293445j 0.00151819-0.00132362j -0.0003367-0.00143196j 0.00178642-0.00177242j -0.000454845+0.00228208j -0.00059479+0.00168229j 0.000964869-0.000571461j 0.00108516+0.000553405j 0.00054506+0.00212242j 0.00160195-0.00247109j 0.000249218+8.05029e-05j -0.00384941-0.000880003j 0.00147865-0.00211947j 0.000842955+0.00740935j 0.00797223-0.0031185j 
-0.0013063-0.00167694j -0.00131355+0.000206481j 0.000641496+0.00428801j 0.00343077-0.00250956j -0.00147636+0.00528397j -0.0028197-0.000936082j 0.00123556-0.000754502j 0.00108165+0.00257207j -0.000826263+0.00506205j 0.000349265+0.00130001j 0.00121903-0.00181021j -0.00265624+0.00128624j 0.00289646+0.00101193j 0.000107163-0.000405202j 0.000341529-0.000813538j -0.0010648-0.000103121j -0.000556628-0.000632758j 0.00120075+0.00255313j 0.00105989+0.0020576j 0.000985276+0.00136848j 0.000153186+0.00217368j -0.00285619+0.00076711j 0.000602825+0.00157762j -0.000402303+0.00283901j 0.000829404-0.000714676j 0.000443287-0.00314081j -0.000222917+0.000240786j -0.000519404-0.00146192j -0.000135364-0.00161602j 0.00153232-0.000563774j -0.00095046-0.00101009j -0.000247733-0.00314468j 0.00108409-0.00205396j 0.00144797-0.00370557j -0.00285733+0.00541427j 9.679e-05+0.000730709j 0.000516287+0.000329776j 0.00195254-0.00464202j 0.00168453-0.00393116j -0.00196167+0.0032752j 0.000838305+4.12386e-06j -0.0023098+0.00445812j -0.00155415+0.00301943j -0.00253036+0.00428907j 0.00256247-0.00108132j 0.000271452-0.00117328j 0.00496232-0.00433619j -9.76633e-05-0.0012274j -0.00323163+0.00491818j 0.000345409-0.000626968j -0.00126581+0.000311496j -0.00430898+0.00378525j -0.00344775-0.00676602j 0.00709679-0.00501952j 0.00562922-0.00401902j -0.00140828-0.00127123j 
0.00209858+0.00294186j -0.00107078+0.00168261j -0.00125654-0.00169126j -0.000992553+0.000603352j 0.000686389-0.0011781j -0.000625809+0.00459125j 0.00135249+0.00219273j -0.00139545+0.000505905j -0.000218431-0.00161111j -0.0017221+0.000101564j -0.000833606-0.0021731j -0.000840927-0.00026893j -0.00136854-0.000275786j -0.000790985-0.000479835j 0.000161793+0.000161038j 0.00264893-0.00108868j 0.00140782-0.00151478j -0.00213509-0.00105053j 0.000221864-0.00229272j -0.00111157-0.000754323j -0.000360293+0.000689227j 0.000324379+0.00285732j -0.00262522+0.000935442j 0.00126225-0.00319072j -0.00045853+0.00137551j 0.00111457+0.00193243j 0.000872702+0.00252844j 6.11355e-05+0.00293242j -0.000647046-0.00211463j -0.000454742-0.00327075j 0.00152588+0.00510151j 0.00130896+0.00383696j -0.000144333+0.000285765j 0.00135599-0.00289174j -0.000895611-0.00093712j -0.00130612-0.0021278j -0.000302164+0.000434096j -0.000149095+7.58098e-06j 0.000824943+0.00199515j -0.00182516+0.0011493j 0.00255232-0.00159095j -0.000238465-0.00253437j -0.000795642-0.00121371j -0.00280503+0.00092227j 4.67034e-05-0.00233306j -0.000504183+0.00190568j 0.00310925-0.00303561j 0.00145536-0.000438774j -0.00137837-0.00389969j 0.00101913+0.00205768j 0.00368828-0.00120756j 0.00186779-0.0031214j -0.000524504+0.00454913j -0.000966293-0.00147464j 0.00410828+0.00128766j 0.00129642-0.00569475j 
-0.000717608-0.00207295j 0.00234239-0.00284974j -0.00276877-0.000277778j -0.000948254+0.00346468j -0.00180073-0.0019144j 0.00269584-0.00122084j -0.000158912+0.000482096j -0.000533082+2.65369e-05j -0.00108274+0.00110361j -0.00119511+0.00123675j 0.00144638-0.000593617j -0.00103395-0.00123746j -0.00196336+0.00239008j -0.00164455+0.000497927j -0.000142151+0.000447197j -0.000811995-0.0026465j -0.00143867+0.000444772j -0.00146271+0.00193193j -0.00119073+0.00229741j -0.00177441+0.00470622j -0.00148361+0.00147299j 0.00353575-0.00140459j -0.00103346+0.00201519j -0.00260229-0.0002286j 0.0019006+0.00169974j -1.09921e-06-0.000584136j 0.00249561-0.000418753j 0.00102797-0.00197347j -0.000228382+0.00267518j -0.00245283+0.00126462j 0.0027778+0.000188782j 0.00178759-0.000574669j 0.000822597-0.000643553j -0.000595348-0.00270579j -0.00212538-0.00278545j -0.00199073+0.00150422j -0.00167545+0.00505546j -0.000455758-6.35001e-06j 0.00166972-0.000214664j 0.000380431+0.000124872j 0.000105503-0.00183081j -0.000152182-0.00289784j -0.0018164-2.83984e-05j 0.000889099+0.00136417j -0.000512622+0.00140739j -0.000372948+0.00260365j -0.00281055-0.000192458j 0.000124774-0.00167498j -0.00393402+0.00355505j -0.000901453+0.00266335j 0.00337543-0.00347733j -0.00330444-0.00378108j 0.00502447-0.00282096j 0.00147364+0.00241728j -0.0020893+0.00334618j 0.00117812+0.000869218j 
0.00111909+0.00220495j -0.00146016+0.000192229j -0.000462473+0.00148433j 0.00128227+0.00152641j -0.000394034+0.000522334j 0.00227551+8.11866e-05j 0.00117613-0.000672318j 0.00147681+0.000901985j 0.00058904-0.000185409j 0.00164042+0.000351863j -0.00235929-0.00101176j -0.000189044+0.00282952j 0.0016764-0.000258989j 0.000413671+0.000472024j 0.000178907+0.00123709j -0.00198246+0.000573937j -0.000816368-0.000276261j 0.00133949+0.000146054j -0.000299849-0.000914086j 0.00182517+0.000187737j 0.0023298+0.000575995j 0.00214199-0.000680075j 0.00156324+0.00183205j -0.000700846+0.000285834j 0.000389946-0.000806042j -0.000278347-5.62259e-05j 0.000463872-0.000517151j 0.00161321-0.00133748j -0.000457552+0.000823549j -0.000722524+0.000556716j 0.00164217-0.000459876j 0.00184835+0.000119558j -0.000384005-6.91903e-05j -0.00266741+0.000860027j 0.000461537+0.000388444j 1.13784e-05+0.000733147j 0.00105773+0.000951009j -0.000535206+0.000752627j -0.000665659-0.000365579j 0.00181633+0.00128774j -0.00286698-7.71977e-05j -0.000396519-0.000539253j 0.00104541+3.3702e-05j 0.00243671+0.000643997j -0.00129991-0.00175575j 0.001796+0.000304356j -0.00424631-0.000564696j -0.00103877-0.000816895j 0.000512282+0.00207845j 0.00181786-0.00115087j -0.00284168-0.0033275j -0.00154602+0.00126442j -0.000356667+0.0011443j -0.00223392-0.00182581j 0.000945094-0.00119172j -0.00175384-0.00280459j 
0.0012619-0.00101735j -0.000358769-0.00137692j 0.000333707-0.00048969j 0.00127203+0.00025176j 0.0010812-0.000819801j -0.00174856-0.00109394j -0.000261886+0.0017123j -0.000586644-0.00301628j 0.00137609-0.00119523j -0.00196801-0.000201589j -0.00156544-0.000438265j 0.00289777-0.000754255j -0.00232857-0.000162297j -0.0017716+0.000343396j 0.00268593-0.00148625j 0.00194669+0.00112743j -0.000836681+0.00250052j -0.000456335-0.00111156j 0.00245068+0.000327729j 0.00296373-0.00129726j 0.00288551-0.00126557j 0.00115244-0.00447348j 0.00117932+0.00103026j 0.00108441+0.00128759j -0.00340333+0.00170121j -0.000474075+0.00241637j -0.00213729-0.000682749j -0.00118177+0.000511165j 0.00439309+0.000669354j 0.00205267+0.000100459j 0.000360967-0.000193647j 0.000785741+0.000684955j 0.000824329-0.00234459j -0.000708124+0.00149726j -0.00327587-0.00230239j -0.00232592+0.00104679j 0.00636392+0.00151086j -0.000452031+0.00186404j -8.57738e-05+0.00212118j 0.00041797-0.00361821j 0.0046118+0.00126551j -0.001285-0.00403218j -0.00290589-0.00123956j 0.000755611-0.00366667j -0.00166681+0.00167716j 0.00154779+0.000706126j 0.00148066+0.00623433j -0.00182399+0.00180257j 0.007763-0.000817159j -0.000240851+0.00402663j 0.000569415+0.000595908j 0.00193804+0.000239915j 0.000288242+0.000743987j -0.00312456+0.00201148j 0.000914839+0.00366146j -0.000946557-0.000130767j 
0.000797892-0.000490736j 0.0018059+0.000337528j -0.000954111-0.000310696j -0.00125068+0.000142551j 0.000495708+0.0012745j -0.00253138+3.25896e-05j -0.00112738+0.00167865j -9.5797e-05+0.000376341j -0.00187494+0.00237557j -0.0038413-0.00187948j 0.00204007-0.000708485j -0.00038663-0.000422355j -0.0024314-0.000873791j -0.00237435-0.00195318j 0.00220889+0.000952935j 0.00282762+0.000291587j -0.000725763-0.00257033j -0.00226401+0.000163675j -5.68279e-05+0.00358729j -0.00286868+0.00218015j -0.00166084+0.0028817j -0.00185741+0.00205774j -0.00252251-0.0001249j -0.00127192+0.00042599j -0.0029232-0.000633775j -0.00155559+0.000370532j 0.00189586+0.000658796j -0.00320471-0.000579358j -0.00208726+0.00151625j 0.000476215-0.000801559j -0.000523399+0.00516866j -0.00136998-1.40523e-05j 0.0024481+0.00073552j 0.00342145-0.00411957j 0.00157876-0.0004917j -0.00221666-0.00340529j -0.00108865+0.00475776j 0.00046473-0.00420325j -0.00078629-0.000859232j -0.000597485+0.00221132j 0.00411977+0.00379755j 0.00193847-0.000463572j -0.00346485-0.00153245j -0.00199682+0.00224788j 0.000171397-0.00069203j -0.00181236+0.00149964j 0.00469105-0.000272818j 0.00106644-0.00334068j -0.00329677+0.00480828j -0.0058459+0.0016125j 0.00482099+0.00395869j 1.03005e-05-0.000724681j 0.000470287-0.00201416j 0.00333917-0.00222888j 0.000487431+0.00111866j 0.00149169-0.00174498j 
