-0.0767731-0.017925j 0.0100356+0.0252205j -0.0084446-0.0108856j 0.00699664+0.00588098j 0.0165565+0.0129241j 0.0185468+0.00839636j 0.00360898+0.00334386j 0.0103564+0.00494438j 0.00727287+0.0037262j -0.00273752-0.000966596j 0.0200474+0.00493164j -0.00609007+0.000779971j -0.00633214+0.00180025j -0.0270001+0.00116729j -0.00910294+0.00320946j -0.000146266-0.000189198j 0.00614721+0.00193298j 0.00139772+0.000495999j 0.000372976-0.000318083j -0.000761847+4.06299e-05j -0.0111065-0.00129634j 0.00256874-0.0013062j -0.00178277+0.00122564j 0.000352737-0.00107243j -0.000293474+6.70661e-05j 0.00147451-0.00016305j -0.00182145+4.5018e-06j 0.00940367+0.00195335j -0.0118423+0.00744167j -0.00870167+6.9485e-05j 0.0017517-0.000482227j -0.000319445-0.000817125j -0.00469693+0.00911846j -0.0141356+0.0109159j -0.0129167+0.00595992j 0.00297525-0.00166928j -0.00751341+0.00407383j 0.00831546-0.00882848j 0.00484737-0.00592671j -0.000720004-0.00190946j 
0.040861-0.214684j -0.0512551+0.0182861j 0.0127644-0.0104622j -0.0130324+0.00913723j -0.0162709+0.0191689j -0.014928+0.0236963j -0.00055312+0.00256292j -0.000496171+0.00552041j 0.0029285+0.00348221j 0.00158284-0.000973047j -0.00114725+0.00995242j 0.00513139-0.00693502j 0.00378131-0.00885209j 0.00292797-0.019253j -0.00161543-0.00784978j 0.000747184-8.02446e-05j 0.00408676-1.91094e-05j 0.00125796+0.000380523j 0.000103332+0.000160273j 0.000408949-0.000418728j -0.00574364+0.00209429j -0.00275049+0.000595776j 0.000736043+0.00076987j 0.000617244+0.000513304j -0.000124972-3.00095e-05j -0.000727439-0.000431041j 0.00309082+0.00182176j 0.00466281-0.00540343j 0.000549193-0.00243312j -0.00196304+0.00315141j -0.000767756+0.000832011j -0.000143346+0.000964123j 0.000507556-0.00735452j -0.00037569-0.00409796j -0.00173248+0.00176339j 0.000549629-0.000855897j -0.000668668+0.000100177j 0.00180786+0.00303593j 0.000663873-0.00033169j 0.000344636-0.00091309j 
0.00739902+0.0337928j -0.00202941+0.0121157j 0.0117762-0.0149846j 0.0148829-0.0169654j -0.00444798+0.0210237j 0.00512258+0.00151812j -0.00507497+0.0032642j -0.00326231+0.0108111j -0.0145602+0.0192884j -0.00971341+0.00451706j 0.00161376+0.0157965j -0.00567632+0.0181086j 0.00159533+0.01498j -0.00374091-4.66332e-05j -0.000465004-0.000719455j 0.000253888-0.00159283j -0.0070884+0.00616805j -0.00394382+0.00363449j -0.00147248+0.00122409j -0.000841038+0.000100738j 0.00435843-0.0107242j 0.011003-0.00643343j -0.00418662+0.00419079j -0.000683811+0.00947267j 0.000205097-0.00532726j 0.00217317-0.00131891j -0.0089053+0.00649897j 0.00204956+0.0145612j 0.00172435+0.00874627j -0.0049697-0.00491494j -0.00240276-0.00817853j 0.00132606+0.00695531j 0.010386+0.00945154j 0.00418194+0.00733195j -0.00117604-0.00271112j -0.000135097+0.000454459j 0.00146227+0.00120358j -0.00424849-0.00177851j -0.00107442+0.000495677j -0.000139884+0.00103153j 
0.419872-0.0055556j -0.0160187-0.0565227j 0.000576204+0.000126767j -0.00439457-0.0136687j -9.54287e-06-0.00268666j -0.00665536-0.0106307j 0.00120532+0.00385325j 0.00458487+0.00704407j 0.00546898+0.00735865j -0.0011531-0.00576782j 0.0109488+0.0087242j 0.00181315+0.00897222j 0.00562273+0.0103831j -0.00791462+0.00280741j -0.00148721+0.0013229j -0.000102579-1.09794e-05j 0.00422353+0.00254619j 0.00179966+0.000627202j 0.000298786-0.000822232j -0.000143853-0.000256931j -0.00606559-0.00455413j -0.00157592+0.00358273j -0.00175631-0.000373081j -0.00179919-0.00430477j 0.000910418+0.0015033j 0.0017337+0.000367452j -0.0052206-0.000735784j 0.00711204+0.00498182j -0.00578205+0.00350001j -0.00635944-0.00516016j 0.00258231+0.00182489j -0.00289299-0.00324391j 0.00286224+0.00739688j -0.00677027+0.00378765j -0.00852808-0.000105053j 0.0021163-6.20977e-05j -0.00536897+0.000352309j 0.0036217-0.00233174j 0.0034136-0.00221032j 0.000318484-0.000819388j 
0.0729788-0.0684374j -0.0155678-0.0159759j 0.00300685+0.00599949j -0.000928896-0.00527785j -0.00563605-0.00838191j -0.00708966-0.00821173j 6.14304e-05-0.000749451j 0.00051991-0.00514514j -0.00163205+0.00314521j 0.00729192+0.0204105j -0.00370877-0.0101362j -0.00272968-0.00895559j -0.0102841-0.0110889j -0.00021177+0.000770345j -1.39523e-05+0.000459417j 0.000331251-2.26394e-05j 0.000207933-0.000667329j -0.00248129+0.000812776j -0.000601717+0.00284441j -1.71137e-05+0.000627452j -0.00160769+0.00820311j 8.24637e-05-0.0139253j 0.000256084-0.0031025j 0.00587883+0.0161223j -0.00230227-0.00658671j -0.000611983+0.00191167j 0.00374213-0.0105282j -0.00365716-0.00331625j -0.0123242-0.00368983j 0.00462585+0.00777983j -0.00503647-0.0101895j 0.00889053+0.0115152j -0.0160601+0.0024578j -0.0120839+0.00449304j -0.00401187+0.00402473j 0.000638914-0.00120762j 1.62887e-05+0.00337723j 0.00657035-0.00631436j 0.00207959-0.00332293j -0.000650388-0.00134379j 
0.0387973+0.0300326j 0.0331868+0.00400011j -0.0187194-0.0188913j -0.0349542-0.018593j 0.0225983+0.0100138j -0.00767654-0.000125023j -0.00105746+0.00220379j -0.000112432+0.00155224j 0.00590219+0.00930362j 0.00369893+0.0082314j -0.00184023+0.00207492j 0.0109691-0.000390536j 0.00833927-0.00534144j 0.00928519-0.00712059j 0.00180068-0.00421051j -0.000148968-0.00108873j -0.00246927-0.00383357j 0.000291373-0.00107732j 0.000872102+0.00238173j 7.78658e-05-0.00107579j 0.00767764+0.00199056j -0.00168087+0.00860224j -0.000122425-0.00110555j 0.0096571+0.00721401j -0.00515293-0.00430619j -0.000218606+0.000565383j 0.000936171-0.000215985j -0.00664444+2.12899e-05j -0.00101619-0.00356961j 0.00423061-0.00371208j -0.00783741-0.00246767j 0.0107287+0.00365997j -0.00426001-0.00113525j -0.000573822-0.00462462j 0.00310026-0.0029077j -0.00116695+0.000815641j 0.00372289-0.00289236j 0.00064795+0.00278179j -0.000554846+0.00204549j 0.000284367+0.000119729j 
0.0139485-0.00426432j 0.010208+0.000360967j -0.00660162-0.00477264j -0.000861979-0.00220991j 0.0103425+0.00317219j 0.00675674-0.00046921j -0.000616669+0.0008543j -0.000393173+0.00162934j -0.000395281+0.00183788j -0.00584774-0.00103583j 0.000594266+0.00191402j 0.00487709+0.00449635j 0.00681072+0.00220582j 0.00468842+0.000807202j 0.00247907-5.18675e-05j 0.00049298-0.000523439j -0.000847949-0.00461638j -0.00156699-0.00240396j 0.00109537-0.000183152j -0.000739412-0.000600506j 0.00189218+0.00526842j 0.00481718+0.0016382j -0.00773201-0.00514748j 0.00210247-0.00515264j -0.00176601+0.00250815j 0.00589343-0.000438679j -0.0244134+0.00324055j 0.00363739-0.00917363j -0.00382763-0.00951468j -0.00419737+0.00324735j -0.000217973+0.00651187j 0.00040841-0.0034042j 0.00516484-0.0199966j -0.00720311-0.00918419j -0.00424445+0.000325037j 0.00114388+0.000399141j -0.00366421-0.00204364j 0.00711727+0.00581693j 0.00273293+0.000704509j 0.0010201-0.00101165j 
-0.150574-0.342537j -0.0150002-0.00360775j -0.0102779+0.0030123j -0.00183262-0.0138211j 0.0138674-0.0116912j 0.00279299-0.0174305j 0.00210077+0.000108206j 0.00722112+0.00144543j -0.000507726-0.00357967j -0.0203063+0.00320171j 0.013848-0.00135486j 0.00886027-0.00456746j 0.0123996-0.01039j -0.00548911-0.00260491j -0.00286889-0.00103415j -0.0010333+0.000140555j -0.00311969+0.0023101j 0.000438424+0.000961269j -0.00241151-0.000872971j -0.000115724+0.000268901j 0.00658686-0.00491725j -0.00215715+0.00131724j -0.00139067-0.00120581j -0.0140211+0.00469725j 0.00724546-0.00243103j 0.00174769+0.000651384j -0.00868692-0.00152586j -0.00622468+0.00902242j -0.00186664-0.000756927j 0.00318199-0.00647635j 0.00926872-0.00693976j -0.00915015+0.00600529j 0.000626797+0.0036175j -0.00167593-0.000722077j 0.000292723-0.0063998j -0.000365344+0.00144546j -0.000682233-0.000115057j 0.000712528+0.000751926j 0.000354527+0.00189982j 5.74185e-05+0.000454265j 
-0.202537-0.298149j -0.0287946-0.00752197j -0.00892933+0.00358212j -0.0131144+0.00537446j 0.00717294-0.0072194j -0.00409715+0.000575672j -0.00189422-0.00030126j -0.00244802+0.000272132j -0.00711674+0.0043268j -0.00417142-0.00301785j -0.000846084+8.94582e-06j -0.00625983+0.017015j 0.00124421+0.0176511j 0.00108384+0.0174084j 0.00360494+0.00605963j 0.000756511-0.000933451j -0.00457708-0.00567351j -0.00240151-0.00352201j 0.00271063+0.000984095j -0.00131806-0.00107039j 0.00424387+0.000463949j 0.0145634+0.0102325j -0.00281826-0.000256541j 0.0150577-0.00496975j -0.00811644+0.00141287j 0.00131445-0.000144506j -0.00328867+0.00103612j -2.00898e-05+0.000658524j -0.000343904+0.00557474j -0.00564139-0.00300632j -0.00962113+0.00596886j 0.0109752-0.00740316j 0.00484226+0.00653442j -3.81771e-05+0.00544517j 2.50657e-05+0.00290121j -0.000333757-0.000125536j 0.000678147-0.00118178j -0.00130626-0.00308671j -0.000977184-0.0012369j -0.000424799+0.00034532j 
-0.103075-0.0539776j -0.0111862+0.0175248j 0.000502559+0.000350652j -0.00908459-0.0104579j -0.00211577-0.00449338j -0.00997186-0.00621094j 0.00397615+0.00106144j 0.00314558-0.00161304j 0.0197132+0.000528721j 0.0274834-0.0129497j 0.00181232-0.00164606j -0.000985049+0.00485005j -0.00482462+0.0135887j -0.00368562+0.00926789j -0.000138293+0.00451022j -0.00234591+0.00041357j 0.00187786+0.00935277j 0.00266302+0.00633703j -0.00036731+0.000372276j 0.00115614+0.00140272j 0.00222222-0.00632849j -0.0212934-0.0133868j -0.00165476+0.00292554j 0.000107363+0.0016093j 0.00104962-0.00025618j 0.000713768-0.0023731j -0.00571996+0.0113308j -0.000381431+0.0041374j -0.00271734-0.00187914j 0.00851465-0.000991799j -0.000255022-0.000812117j 0.000557306+0.0012796j -0.00607196-0.0044429j -1.81334e-05-0.0013273j -0.00011469-0.00388828j 0.000201332+0.00128819j 0.000535237-0.00125909j 0.000572268+0.000749917j 0.000983014+0.00207559j 0.000447744+0.000672227j 
0.00170395+0.00924427j -0.000183917+0.0361299j 0.0134573-0.00858147j -0.000504662-0.0341767j -0.0121195+0.00532216j -0.0144778-0.0139994j 0.00295368-0.00385024j 0.0027598-0.00782188j 0.00313495-0.0096078j 0.000368569-0.0036746j 0.00126444-0.0128476j 0.00033366-0.0019425j 0.000651803+0.000301345j 0.00185958+0.0125465j 0.00249302+0.0048151j 0.000142796+0.00118314j 0.00460746-0.00122735j 0.000874895-0.00313434j -7.73972e-05+0.000286976j 9.79361e-06+0.000104687j -0.00866944+0.00301326j 0.00457862+0.000783457j 0.0038013-0.00847297j -0.00100096-0.000488748j 0.000273763-0.000291611j 0.000232797+0.00569639j 0.000441619-0.0243603j 0.00728345+0.00139277j -0.000741736-0.00727383j -0.00557689-0.000307573j 0.000395681+0.000131305j -0.00175741-0.000290734j 0.00713934+0.00391978j -0.00408132-0.00488831j -0.00648322-0.00261144j 0.00150675+0.00105271j -0.0034671-0.00142258j 0.0023397+0.0024649j 0.00305726+0.00016718j 0.000982177-0.000347691j 
