-0.000213549+0.00324771j 0.0207879+0.0137978j -0.00309984-0.00187205j 0.0217139-0.00520017j 0.020358-0.00821916j 0.00110004-0.000700191j 0.00158847-0.000428241j 0.00645996-0.00786518j 0.00260715-0.00789707j 0.00526932-0.00525356j 0.00803081-0.00815762j -0.00769204+0.00464497j 0.0160379-0.0255326j -0.0014762+0.00238378j 0.00188-0.00772794j -3.24258e-05-0.000746026j 0.000118833+0.00011435j 0.00140847-0.00411538j -0.000455876-0.000714741j 0.0012696+0.00502296j 0.00195869-0.00348838j -0.00614219+0.0056754j 0.00417418+0.00213183j 0.00111409+0.00568331j 0.000207745-0.00314657j -0.00481762+0.0132388j -0.00204122+0.00544805j -0.00223569+0.00214896j 0.000514596+0.00387736j -0.00662833-0.0245196j 0.00187778-0.000615702j -0.0034407+0.00340913j 0.000223453-0.00148815j 0.00250228+0.012905j -0.000278111-0.000553684j 0.00143578-0.000983172j 
-0.00420468+0.00441731j 0.0183443-0.0381795j 0.00569772+0.00190683j -0.000359108-0.030647j -0.0136441-0.0220148j -0.00345322-0.000615386j -0.00267564-0.000622827j 0.00367112-0.004929j 0.00165113-0.00980248j -0.00435747-0.00458134j -0.00185197+0.000863165j 0.0068471+0.00173579j -0.0170383-0.0135625j 0.00136969-0.00125246j -0.00760237+0.00163033j -0.000283272+0.00023101j -0.00169441-0.000308455j 0.00317449+0.001025j 0.00272732-0.000379342j -0.00558023+0.00152994j 0.000357404+0.00160757j -0.00211821-0.00804771j -0.00301846+0.00440038j 0.000488064+0.00211417j 0.000452018-0.00149821j -0.00856856-0.0029206j 0.0027369-0.00175695j 0.00382675-0.00192267j 0.00031477-0.00191457j -0.00293073-0.00495371j -0.00400405+0.00281776j -0.00282529-0.00295047j 0.000398381+0.000587487j 0.002897-0.0050887j -0.000414135+0.000644162j -0.00110951-0.00107825j 
0.0200235+0.0141849j -0.0537002-0.0107436j -0.00179364-0.0102608j -0.0171661-0.00968355j -0.00725404+0.00571624j 0.000891006+0.000756658j 7.30932e-05+0.00211963j 0.00532427-0.00530174j -0.00562238-0.00968797j 0.00143766-0.00317045j 0.0148353-0.00463343j -0.00528409-0.00164919j 0.0031418-0.00971546j -0.00410838+0.00300259j 0.00255794-0.00152851j 0.000709427-0.000940721j 0.000519322-0.000586707j 0.00035536-0.000715771j 0.000144402-0.000627973j -0.000763503+0.00176421j 0.0026349-0.00156333j -0.00312075+0.000898513j 0.00493963+0.00236433j 0.00108877+0.00463064j -0.000212935-0.0012369j -0.0116153+0.00736804j -0.00175177+0.000994322j -0.00227251+0.00122501j 0.00201524+0.00104837j -0.00202652-0.0132832j 0.00113973+0.000871136j -0.00449223+0.00374869j 0.000557637-0.000818251j -0.00201868+0.00735862j 0.000522495+0.000127744j 0.00107044+0.000211559j 
-0.00218581+0.000161819j 0.000637223-0.00269072j 0.00378466+0.00158186j 0.0155779+0.00431247j 0.00836228+0.000751147j 0.000328132-0.000772643j -0.000153036+0.00158732j 0.0137095+0.0117716j -0.0117589-0.00871504j -0.00458084-0.0020809j 0.0324776+0.0143163j -0.00414672-0.00156113j -0.00217337+0.000694468j -0.00733822+0.00087856j 0.00135947-0.000351251j 0.00139981+0.000755796j -6.79322e-05-0.000492643j 0.000143936+0.00566588j -0.000373617-0.000621264j 0.00128841+0.00236759j 0.00119348+0.00261951j -0.0165265-0.0217515j 0.00584732-0.00394718j 0.00693783-0.00422895j -0.00127489+0.000767852j -0.00636194+0.00568261j -0.000523381-0.00168693j 0.00157943+0.00060442j -0.0042675-0.0111923j -0.0173056+0.00760087j 8.69511e-05-0.00039534j -0.00559891-0.000300804j 0.00118683+0.000164735j -0.000498464-0.00574399j 0.000531196+0.000946301j -0.000779693+0.000280777j 
0.00166144+0.00101853j -0.00106139-0.000367322j -0.00259477-0.00124635j -0.00787425+0.000776209j -0.0025428+0.00186668j 0.000283799+0.000387397j 0.000774652-0.000803888j -0.00284162-0.000813931j -0.00222206+0.00620927j -0.000185602+0.00284445j -0.00159971-0.00365926j -0.000688855+0.000931129j 0.000595835+0.00678267j 0.00030505+0.000768462j 0.00196945+0.000184278j 0.000399628+0.000323701j -9.70868e-06+0.00105147j -0.00310899+0.00146004j -6.48785e-05-0.000144582j 0.00883905+0.00222019j -0.00272762+0.000364992j -0.00844774-0.00402638j -0.00542903+0.0112037j -0.00430838+0.0126662j -0.0002835-0.003256j 0.0209632-0.0217433j -0.000821633+0.000486905j -0.00011454+0.00092519j -0.00489177+0.0123487j -0.0121657-0.0216408j 0.00235761-0.00115992j -0.00172578-0.0073799j -0.00118022-0.00017294j 0.00547658+0.000795097j -0.00114066+0.000648095j -0.00038122-0.000597203j 
-0.00177148+0.00166745j -0.00173998-0.00228939j 0.00419853-0.00483958j 0.00548573-0.0225824j -0.0024842-0.0120373j -0.000883634-0.00202014j 0.00209928-0.00184426j 0.0129367-0.00277396j 0.000709238+0.0233091j 0.00015603+0.00933915j 0.00970997-0.0240076j -0.000454223+0.00306119j 0.0146404+0.018058j 0.00139091+0.00520825j 0.00309504-0.000426096j 0.0013542+0.000289091j 0.00106799-0.000440209j -0.00317577+0.00355214j -0.000327477+0.000772859j -0.000582746-0.00303566j -0.00121021+0.00185719j 0.0078734-0.00867275j -0.000740112-0.00282042j -0.000922048-0.00272718j 0.000773173+0.00108593j 0.000529562-0.00444064j 8.71092e-05-0.00195964j -0.000207474+0.00126744j 0.0011528-0.00605095j 0.00744148+0.00624473j -0.000244807-0.00134853j 0.00234189-0.00309157j 0.000414228+0.00127209j -0.00155599-0.0023133j -0.000231909-0.000506712j 0.000290502+0.000358636j 
-0.00645392+0.0314146j -0.00926254-0.0475221j 0.00460021+0.00139206j 0.018572+0.00608911j 0.010894+0.00254907j 0.00369033+0.000646369j 0.000490929-0.00104453j -0.00921255+0.00735739j 0.00544914+0.00610441j 0.00597197+0.0034907j -0.00750116+0.00995512j -0.00161756-0.00155497j 0.0114988+0.00921774j -0.00136282-0.00295863j 0.00420134-0.00032692j -0.000294055+0.000251519j 0.00116788+0.00138096j -0.00159549-0.00324074j -0.00248164-1.21855e-05j 0.00705562-0.000163755j -0.000932557-0.00231685j -0.00152171+0.014478j 0.000958501-0.00261818j -0.00136327-0.00225465j -0.00036705+0.00105145j 0.0129418+0.00173111j -0.000722839+0.00230747j -0.00304095+0.000108724j -0.00122958+0.00597203j -0.000538997+0.00648298j 0.00309429-0.00194252j 0.002376+0.00315099j -0.00109538-0.000989039j -0.0008211+0.00322643j 0.000207456-0.000291259j 0.000471167+0.000861598j 
0.00105461+0.00244377j -0.000176254-0.00223402j -0.00229103-0.00207325j -0.00681443-0.00262103j -0.00260034-5.9228e-05j 0.000229638+3.1829e-05j -0.000574509-0.000149833j -0.00237576+0.00438854j 0.00286567-0.00507396j 0.00214779-0.00231499j 5.7224e-05+0.0105969j -0.00114995-0.00120938j 0.00312156-0.00325827j -0.00222675-0.00149974j 0.0015268-0.000697313j 0.00025642+0.00108288j 0.00060586-0.000397719j -0.00707286+0.000575583j -0.00230324-2.89193e-05j 0.000739201+0.00744959j -0.00206992-0.000890252j 0.00971365-0.0235327j -0.00326091-0.0106886j -0.00376261-0.00876308j 5.39461e-05+0.00176349j 0.022842+0.0216058j -0.000845399-0.000759127j -0.00125602+0.00184699j -0.00888034-0.0145581j 0.00616129-0.00281846j 0.00322127-0.00087273j 0.00790203-0.00388011j 0.000463279-0.000530544j 0.00186135+0.000748948j -0.000949323-0.000865817j -6.07474e-05-0.000311037j 
0.00324341+0.000693035j 0.00382517+0.00182395j -0.00534667-0.00350662j -0.0151104-0.00336536j -0.00583858+0.000663923j -0.000747865+8.89312e-05j -0.00148513-0.00236917j 0.00116402-0.00126414j 0.0206934-0.00279603j 0.00996537-0.000405329j -0.00874405+0.00512499j -0.000513784+0.000967199j 0.0250955-0.0152315j -6.35486e-05-0.00274883j 0.00232137-0.00636635j 0.00137041-0.000375085j 0.00171406-2.48352e-05j -0.000743047+0.00468893j -0.00356601+0.000317275j 0.00735295-0.00269863j -0.000203002+0.002841j -0.0169133-0.00682498j 0.0064235-0.00927942j 0.00723166-0.0104994j -0.00304158+0.00246111j 0.00632619+0.00060247j -0.00223845+0.000484796j 0.00016712+0.00042823j -0.00665868-0.00740574j -0.0153331+0.0247696j 0.00220564-0.00422773j -0.00202264-9.80217e-05j 0.000801942-9.11613e-05j -0.00216178-0.00746313j 9.50327e-05+0.000492295j -0.000934267+0.000602307j 
0.000191601+0.00115713j 0.0365424-0.0155675j -0.0175649-0.00459384j -0.0215016-3.67699e-05j 0.00216677-0.00311616j 0.00567582+0.00289042j 0.00607466+3.5329e-05j -0.014066-0.000363971j -0.0205356+0.00533262j -0.000938588+0.00218756j 0.00512055-0.00264761j -0.0110448+0.0049373j -0.00308689-0.00138698j -0.00365546+0.00162714j 0.00471828-0.00507461j 0.000618582-0.000556425j 0.00354807-0.00147064j -0.00741509+0.00340362j -0.00348972+0.00336687j 0.00566925-0.00714995j 0.00263213+0.00254526j 0.00452063-0.00454823j 0.00895542-0.00653606j -0.00201823-0.00388278j -0.000448001+0.00138907j -0.0087706-0.00741671j -0.00400446+0.00585346j -0.00840396+0.00603315j 0.00254723-0.00384541j 0.00613214-0.00224279j 0.00319341-0.00868687j -0.008047-0.00181768j 0.00210918+0.000223221j -0.0113638+0.0118605j -0.000811852-3.13164e-05j 0.00115863+0.00311542j 
0.035274-0.00136765j -0.00833105+0.0256297j -0.00383537-0.00100001j 0.015597-0.0219617j 0.0134394-0.0246249j 0.00407502-0.000692537j 0.00344346-0.00123907j -0.0163367+0.00972189j -0.00605213+0.00494326j -0.0013067-0.000260707j -0.0131338+0.0130435j -0.00284272+0.00346824j -0.00479589+0.002024j 0.00121982-0.00377405j -1.28853e-05-0.0015224j -0.000962021+0.000765034j 0.00122146-7.84395e-05j -0.00295238+0.000617272j -0.00241534+0.00217695j 0.00508224-0.00485446j -0.000792755+0.00176242j 0.00118524+0.00230927j 0.00134753-0.00512478j -0.00120163-0.00530891j -0.000215673+0.000880681j 0.00707848-0.00886628j -0.00130546+0.00353636j -0.00270285+0.00214482j -0.000970139+0.00015368j 0.00141316+0.00854668j 0.00148723-0.00575204j -0.0008858-0.00230607j 0.000265747+0.000305856j -0.00344491+0.00208823j -0.000892402+4.4504e-05j -0.000253736+0.00170242j 
