-0.00274981+0.00408172j 0.00467225+0.000905602j 0.0084118-0.00651531j -0.00625187-0.00308882j 0.00663583-0.00377543j -0.00375293-2.16763e-05j 0.0055923-0.0121246j -0.0104408+0.00202125j 0.000604734-0.00459453j -0.0112442-0.00204389j 0.0041316+0.00273296j 0.0029978-0.00240244j 0.010576+0.00771134j -0.0152772-0.00452868j 0.00212915-0.00267805j 0.00444949-0.00980886j -0.00349286+0.000473043j -0.0177579-0.000525681j -0.00995222+0.00178536j 0.00818713-0.00260342j -0.016172-0.00600181j -0.0080345-0.00435969j 0.00194194-0.00262632j -0.0104683+0.00287147j -0.00510046-0.0071718j 0.00415613-0.00302617j 0.00955601-0.00219049j 0.00142181+0.000199196j 0.00203026-0.00333403j 0.000495549+0.001123j -0.00267272-6.51065e-05j -0.00118417+0.000481828j -0.000613792-0.00188099j -0.000585011+0.00227364j 0.000265663+0.00162089j -0.00146603+0.00134048j -0.0018077+0.000239829j -8.27972e-05+0.000560695j -0.00210952+0.000734541j -0.00259757-0.000288725j -0.000872302-0.00048821j -0.000169328+7.82672e-05j -0.000987848+0.000685974j -0.000740857-0.000271666j 0.000159331-0.00046068j -0.000108378+0.000625455j 0.00369611-0.000511302j -0.000721537-6.97742e-05j 0.000336418-0.00127525j -0.00143463+0.000520883j -0.00268457+0.0020951j -0.000966381-0.000887349j 0.00285389-0.000237992j -0.00421229-0.00115876j 0.00211216+0.000165137j 0.0003556+0.0013212j -0.00149417+0.000901488j -0.00112211-0.00103298j 0.000517482+0.00107673j 0.00108448-0.00144627j -0.00033025-0.00140717j -0.00197885+0.000226709j -0.00146102-0.00252999j 0.00192008+1.63737e-05j 0.00194646+0.000140761j -0.00182962-0.00090211j -0.00211009+0.000519506j -0.00204683-0.000793597j 0.00138024+0.00240094j -0.00135035-0.00218186j -0.000211798-7.87565e-05j -0.000345169-0.00106663j -0.000669688-0.000188888j -0.00109923-0.00133139j -0.000415753-0.000744396j -0.00012721+0.000578207j 0.000921777+0.000643274j 0.000794477+0.00170315j 0.000457796-0.000697259j -0.000463933+0.00123648j -0.000182487+0.00126598j -0.000243296-0.00026698j -0.00150446-0.000321435j 0.000332512+0.000898809j 0.000280841-0.00189302j -0.000192856+0.00229544j 0.00126079+0.000364786j 0.000395999-0.00102125j -0.00373228-0.00283518j -0.000155954-0.003107j 0.00225098+0.00223814j -0.000390818+0.00268568j 
0.00391123+0.00126216j 0.000756442-0.000723352j -0.00385682-0.000493502j 0.00120875+0.000212303j -0.00418869-0.00256649j -0.00116892-0.00777039j -0.00784684-0.0159733j 0.00650463-0.00724432j -0.00408752-0.000727122j 0.00294528-0.000202758j -0.00197929+0.00465761j -0.00177847+0.00794398j -0.00420105+0.0148294j 0.004555-0.00843382j -0.000862807+0.000821038j -0.00205797-0.020463j 0.001309-0.000616365j 0.00889014-0.00223907j 0.00354002+0.0023636j -0.00493717-0.00292488j 0.00827327-0.00651767j 0.00548274-0.00334332j 0.000728894+0.00092998j 0.00344612+0.00654099j 3.38059e-05+0.0093477j -0.00157198-0.0164194j -0.00272576-0.00507388j -0.000390381+0.000353665j 0.000931858-0.00844551j 0.000643829+0.00245508j 0.000201251+0.00117371j -0.00131611-0.000252421j -0.000610089+0.00131418j -0.00415194+0.00473575j -0.00341259+0.00154577j -0.000846502+0.000892155j -0.00013716+0.000595564j -0.00116161+0.00204864j -0.000559048+0.00151553j -0.00196447+0.00209097j -0.0017566+0.00144903j -0.000131802-0.00102274j -0.000764136+0.00282142j 0.0011598+0.000346598j 0.00170831-0.000264235j -0.00352709+0.00240122j 0.000302936-0.000738288j 0.00065996-0.00125201j -0.000417526-0.00161719j -0.0010098-0.000700308j -0.00180771+0.00390057j 0.00167374-0.00212918j 0.00654114+0.00149541j -0.00430276+0.00046793j 0.000428338-0.00163622j 0.000255876+0.00221656j 0.00193173+0.000445171j -0.00268802+0.000389999j -0.000430513+0.00291565j -0.000154188-0.00131209j 0.0019887-0.000954058j -0.00337216+0.00177839j -0.0045862-9.03562e-05j 0.00374735+0.00171095j 0.00202475-0.00197074j 0.00230053+0.000779969j 0.000237219+0.00167836j -0.000322768+0.00185189j -0.000110408+0.000598084j 0.000115686+0.000400461j -0.00124288+0.000589348j -3.14768e-05+0.000255347j 0.000968953-0.000292915j 0.000919737+0.000168456j -0.00017512+0.000464122j -0.000244173+0.000334928j -0.00016703-0.00078555j 0.000109949+0.000934667j -0.000437067-2.45956e-05j -0.000381481-0.000661401j 9.45489e-05-0.000126007j 0.000536542-0.000511219j 0.000271613-0.000314674j -0.000385207-0.000893783j -0.000503611-0.000653939j 0.00111056+0.001379j -0.000325439+6.34973e-05j 2.72816e-05+0.000539084j 0.00157911+0.000559463j -0.000896807-0.000866582j 0.000355229+3.17344e-05j 0.00150347+0.00177453j 
0.000226727-0.000918102j -0.000510536+0.000212317j -0.000449477+0.00136729j 0.00029019-0.00308993j -0.000596627+0.000868931j 0.000519135+0.00122997j -0.000579395+0.00102688j 0.000729045+0.00138807j 0.000820032+0.00593838j -0.00127426-0.0227122j 0.000176172+0.0152641j -0.00246816-0.0165642j -0.000333292+0.00689496j 0.00352861+0.00412566j 0.0011673-0.00375039j -0.00137469+0.00210095j -0.000369682+0.00268836j 0.00286915-0.00546537j -0.00113809+0.026334j -0.000824046+0.00650056j 0.00117486+0.0127822j 0.000712492-0.0076483j -0.000217217-0.00581679j 0.00100427-0.000113686j 0.000336755-0.00356694j -0.000375985-0.00327774j -0.00105326-0.00233538j -0.000618197+0.00511751j 0.000129373+3.94524e-05j 4.39504e-06+0.003135j 0.000621861+0.00274061j -0.000485176+0.00105659j 0.000502387-0.00406117j 0.00137623-0.00238761j -0.000804689+0.00065151j -0.00015879+0.00208194j 0.000215968+0.000255901j -0.00207424-0.000600568j 0.00406586-0.00194978j -0.00272802+0.00169535j 0.00161018-0.00013418j 0.000981883+0.000257531j 0.000144281-0.000278368j -0.000187345-0.00116737j -0.000240623+5.43866e-05j 0.000228214-0.000811582j 7.13785e-05-0.000714437j 0.000746077+0.000401824j 0.000799157-0.000115295j -0.00373783+0.00197415j 0.00175476-0.0010211j -0.000814684-7.21515e-06j -0.00282785+0.000353228j -0.00258745+0.000314301j 0.00198203-0.00138456j -0.000850171-0.00125434j -0.00101856+0.00134134j -0.000437317-0.000416183j -0.000591046+0.000778683j 0.00144651-0.0013445j -0.000138002+0.000475489j 4.73905e-06-3.95064e-05j 7.90869e-05+0.000490043j -0.000806505+0.000354919j -0.000435839+0.000762962j -0.000184221+0.00147441j 0.000628504+0.00255455j -0.000553274-0.00192577j 5.20901e-05-0.00115082j 0.000160984-0.00199887j 0.000149048+0.00114247j -0.000202459+0.000908889j -0.000378766-0.00200876j -0.000389799+0.000690979j -7.04282e-05-0.00127876j -0.000301172-0.000298143j 1.01168e-05+0.00150383j -5.53712e-05+0.000681194j -0.000116187+0.000305665j -1.2063e-06+0.001222j 0.000229466-8.53383e-05j 0.000139452-0.000733276j 0.000226929+0.000973437j -9.38393e-05+0.000249757j -8.09116e-05-0.00249789j 2.75038e-05-0.00189237j -0.000248179+0.000666775j -2.5515e-05+0.00139627j 0.000496147-0.000688244j 9.84164e-05+0.000799357j -0.000338138-0.000109421j -3.51313e-05-0.000602778j 
0.00786221+0.00113831j 0.00659624-0.00711844j 0.000545364-0.0014677j -0.000989762-0.00163173j 0.00193829-0.0001996j -0.00338392+0.00114068j -0.0066341+0.0062607j 0.00749031-0.00289848j -0.00301928+0.00364375j -0.00278068+0.00130198j -0.0022535-0.000691087j 0.000552518+0.000450666j -0.00113004-0.00362154j -0.00278899+0.00456424j 0.00322275-0.00383512j -0.00333686+0.00535997j 0.00221542-0.00204962j 0.00436816+0.000894935j 0.000790174-0.00033764j 0.00136814+0.0017385j 0.00359519+0.00275873j -0.00350717+0.00689355j 0.00515291-0.00801799j 9.9351e-05-0.00317135j 0.00695536-0.00757472j 0.00177621+0.00762158j 0.00477078-0.00184725j 0.000548161+0.000192698j 0.0048593+0.00387619j 0.00261465-0.00214416j -0.00422929-0.00138901j -0.00590359+0.00751493j -0.00352214-0.0011796j -0.00658102+0.00108243j -0.00983628+0.00178292j -0.00308895+0.00277808j -0.00430384-0.00135127j -0.00258809+0.00121267j -0.0035708+0.000670616j -0.0042942-0.0016644j -0.00666221-0.0013035j -0.00294999+0.00106609j 0.00169451+0.00040258j 0.000894119-0.00187019j 0.00788275-0.00177446j -0.00655716-0.000308509j 0.00441919-0.000983348j 0.00048131-0.00147023j 0.0031572-0.00331026j -0.0032271-0.00010966j -0.00687873+0.00623138j -0.00144902+0.0015207j 0.0156173+0.00436426j -0.00953398-0.00179039j 0.00101355+0.000593725j 0.00297287+0.0031884j 0.00247112-0.000730218j -0.00803162-0.00218912j -0.000832854+0.00326145j -0.000778669-0.00229151j 0.00314384-0.000809512j -0.0103457-0.000945026j -0.0114923-0.00609918j 0.00614056+0.00911716j 0.00535181-0.00204248j 0.00158745+0.000455896j -0.00392641+0.00482955j -0.00334702+0.00263535j -0.000418522+0.00260782j -0.000334057-0.000929691j -0.00136748-0.000959556j -0.00086208-0.000166901j 1.32443e-05+0.00105939j -0.000838153+0.000501766j -3.62388e-05+2.74141e-05j 0.000813345+0.000292329j 0.000129097-0.00149394j 0.00211866+0.00333856j 0.0019505-0.00289566j -0.00228395-0.000124533j -0.000882575+0.00159245j -0.00115535-0.000141969j -0.00262994+0.00100466j -0.000471627-0.00115361j -0.00133434-0.0026307j 0.00215407+0.00655967j 0.00086183+0.00329765j 0.0029121-0.00107009j -0.00243819+0.00177046j -0.00289019-0.00552808j 0.00695461-0.00421606j 0.00636655+0.0101035j 
-0.000125961-0.000830221j -0.000979198-0.000203174j -0.00149605-0.00125527j -0.00177209+0.00179644j 0.000671494+0.000296795j -0.00194154-0.000766308j -0.000985173+0.00192093j 2.96567e-06-0.00307222j 0.00308136-0.001769j -0.002093+0.00118119j 0.000465873+0.00160659j -0.0015732+0.00572474j -0.0012211-0.000533513j -0.00135378+0.00213943j 0.00134035-0.00463917j -0.000390455+0.00140511j -0.00154304+0.00308768j -0.00144116-0.00286215j -0.00179278+0.00126638j 0.00073328+0.0027696j -0.00499841+0.00140984j 0.00183013-0.00292304j -0.00117383+0.00166727j -0.00237471+0.000122727j -0.00116944+0.0019621j 0.00192006-0.00189943j 0.000375995-0.00174371j -0.00244407-0.000287004j -0.00408245-0.00082986j -0.00434838+0.000538896j -0.00530977+0.000166762j 0.00516608-0.000392236j 0.000155141+0.000760544j -0.00449003-0.000568076j -0.00204267+9.1404e-05j 0.000938483-0.00108468j 0.00638425+0.000526135j 0.00141649-6.45297e-05j 0.0125715-0.0014632j 0.0176214-0.00213664j -0.0155141+0.00313857j 0.00690023-0.0011067j 0.00610595-0.000334334j -0.00054833-0.000358642j 0.0175487-0.000648404j -0.00428377+8.32593e-05j -0.0134561-0.000629849j -0.00140993-7.0405e-05j 0.0194189+0.00494825j 0.00616761+6.64811e-06j 0.0163379+0.00239485j 0.00931227+0.00137348j 0.00365283+0.00222858j 0.00133087+0.00155834j -0.00412801-0.00234916j 0.00447096-4.21322e-05j 0.0035245+0.00127709j -0.000732891+0.00122252j -0.00995813-0.00132161j 0.00057525+0.000304398j 0.00106318-0.000331311j -0.00105852-0.00110904j 0.00327058+0.00303982j 0.00101756+0.00156008j -0.00380402-0.000689609j 0.00250015+0.0014176j 0.000507719+0.000254603j -0.000534033+0.000406527j -0.000281766-0.00118446j -1.90407e-05+0.000519781j -0.00156755+0.000209997j -0.00116344+0.00118974j 0.00101815+0.000398212j 0.00126039+0.00122543j 0.000135046+0.000295328j -0.000479656+0.0006023j -0.000447395+0.00033472j -0.000480277-0.000705905j 0.000747176-0.000294759j -0.000229203-0.00115064j 0.00082165-0.000580127j 0.00206003+0.00153761j 0.00200311+0.00124025j -0.000336701-0.000948137j -0.000618044+0.000596828j 0.002423+0.000176948j -0.000358532+0.000508058j -0.0007473+0.000408357j 0.00160549+0.00192569j -0.00097084+0.00110612j -0.000564327-0.00125628j 0.000876778-0.000832083j 
-0.00303614+0.00935343j 0.00787291+0.00238837j 0.0061911-0.000947612j -0.00341224-0.00537533j -2.18162e-05-0.00820563j 0.005038+0.000381138j -0.00154038-0.0104905j 0.00195925+0.00660009j -0.00738367-0.00546389j 0.00388024-0.00281606j 4.67651e-05-0.007917j -0.00224121-0.00718438j -0.00133098+0.000448451j 0.00271088-0.00635379j -0.00326568+0.000827473j -0.000780822-0.00289032j -0.000423159-0.000293458j 0.00733347-0.00485691j 0.000524601-0.00135343j -0.00718537-0.0042633j 0.0107737+0.00145359j -0.00580083+0.0023451j 0.00223616-0.00633211j 0.00799229+0.00102907j 0.00871909-0.00899351j -0.00103967+0.00538633j 0.00756845+0.00224358j 0.00486987-0.00342087j -0.00105845+0.00104762j -0.000674407-0.000262425j 0.00353-0.00108713j 0.000948132-0.00222019j 0.000696349-0.00403575j 0.00193087+0.00311653j 9.24912e-05+0.00260511j 0.000121401+0.00323831j -0.00220859-0.00399129j 0.00446634+0.00196372j 0.00573918-0.000493j 0.00508226-0.00281487j -0.00142518-0.00280591j 0.000159677+0.000834289j 0.00530873-0.00221624j -0.00129822-7.65553e-05j 0.00368348-0.000501339j 0.00408778+0.000335288j 0.00696564+0.00160756j -0.00564765+0.00048375j 0.00819436+0.00116532j 0.000746657+0.00247975j 0.00296837+0.00119216j 0.00151098-0.00102667j -0.00442954-0.00367854j 0.00388224+0.000906156j -0.0026361+0.00380714j 0.00254042+0.00261772j -0.00249138+0.00178027j 0.000345903-0.000794518j 0.00459225-0.00168407j -0.00442264-0.00201587j -0.00511964-0.00327653j 0.00209256+0.000918183j 0.00876324-0.00748545j -0.000917487-0.0065279j 0.00166576+0.00626829j -0.00349403-0.00143215j -0.00489652-0.00338794j -0.000853613-0.00240888j -0.000722978+0.00691357j 0.00107826-0.00378655j 0.00273605-0.000484046j -0.00041932-0.00277528j -0.00392495-0.000434077j -0.00220497-0.00307411j -0.00101623-0.00208862j 0.000888264+0.00124526j 0.00383403+0.00185629j 0.000793229+0.00338936j 0.00356391+7.00196e-06j -0.00244109+0.00406876j -0.00332989+0.00370089j -0.000533444-0.00103471j -0.00550166-0.00195875j -0.00137453+0.00222597j 0.00576302-0.000821363j -0.00732675+0.00168846j 0.00285427-0.00270696j 0.00250455-0.00459163j -0.00968496-0.0100955j 0.00631554-0.00750961j 0.00427502+0.0095048j -0.00849884+0.00445618j 
0.00653417-0.000403759j -0.00059643-0.00736518j -0.00309667-0.00537151j -0.00629417+0.000967318j -0.000995371-0.000327134j -0.00179679-0.00405909j -0.00765331+0.00203343j 0.00342688-0.00760464j 0.000786403-0.000945477j -0.00174393-0.00153296j -0.00235129+0.00285353j 0.000187497+0.00824146j -0.00224918+0.00298361j -0.000789516+0.00706396j -0.00169883-0.0041134j -0.00444043-0.00208349j -0.00266518+0.00250846j -0.00123712-0.00135611j -0.001112-0.00364356j -0.00151919+0.00355266j 0.00154176-0.00105487j 0.00402955+0.000843966j -0.00296214-0.00578614j -0.000453204+0.00269462j -0.00964187-0.00498908j 0.010903-0.000493189j 0.000940038-0.00534935j 0.0043184+0.000758572j -0.0057234-0.000162563j -0.00273621+0.000345542j -0.00405774-0.00210058j 0.00865675+0.00230496j -0.00611973-0.000714749j 0.00679916-0.0057798j 0.0031014+0.00225698j 0.00337191-0.00494397j -0.00139706+9.77808e-05j 0.000674478+0.000694231j 0.000170122+0.00135833j -0.00177771+0.00169052j 0.00785576+0.00128008j -0.000804488-0.000694654j -0.000765284+0.00529343j -0.00137642-0.00105113j -0.00441427-0.00140808j -0.00244368+0.00304248j 0.00111394+0.00264863j -0.000703351-0.00273129j -0.00939218-0.00179808j 0.00796494+0.00150831j 0.00543327+0.00419905j -0.00270446+0.00354476j -0.0155608+0.000764516j 0.00190373-0.00192181j 0.00242754-0.000639846j -0.00276789+0.000906934j 0.00262604-0.00233956j 0.00325189-0.000284261j -0.00775475+0.00261688j -0.00507666-0.00499286j -0.00212437-0.00132583j -0.00325686-0.0018064j 0.00383284+0.00107017j -0.0111347+0.00791096j -0.0078049-0.00059233j -0.00134158+0.00257257j -0.00765684+0.00256985j -0.00369446+0.00282059j -0.00164919+0.00446687j 0.000390861-0.00151603j -0.00028776-0.00114753j -0.00251282-0.00033109j -0.00239851+0.000280149j -0.00375776+0.000431207j 0.00124237-0.000413081j 0.00191092+0.000197679j -0.000228622-0.0004987j -0.000145573+0.0037731j 0.00381544-0.00389522j -0.00185145-0.0010483j 0.000348627+0.00127924j -0.000999776+0.000737074j -0.00187215+0.00144941j 0.00117837-0.00197229j 0.000277136-0.00131315j 0.00242977+0.00861362j -0.00240305+0.0044024j 0.00417353-0.00171676j -0.00536137+0.000976875j -0.00102767-0.00611667j 0.0107309-0.00589773j 0.00505788+0.0116957j 
-0.000211194-0.00733058j -0.00118828+0.000776363j 0.0016086+0.000917064j -0.00147368+0.00107134j -0.00582691+0.0103858j 0.00504017+0.000284133j -0.00537487+0.00211575j 0.00604077-0.000613141j -0.00423488+0.00497178j -0.000216393+0.00201686j -0.00636232+0.00552048j -0.0121412+0.00450212j 0.00576885+0.00227397j -0.0141245-0.00713929j 0.00116075+0.00392915j 0.00299166+9.99137e-05j -0.0033494-0.00451217j -0.00196488+0.00841927j -0.00250557+0.00226189j -0.0159704-0.00151439j 0.000566608-0.00094237j 0.00266416+0.00547992j 0.000543947-0.00594054j 0.00619927+0.00311494j -0.0164753-0.00841294j 0.00450532-0.00363469j 0.00227112+0.00196273j 0.0061117+0.00588709j 0.00644424+0.00615433j 0.00160033+0.00228683j 0.000224607+0.00335398j -0.00247587-0.00317099j 0.00304636+0.00363114j 0.00125712-0.00501343j 0.00214157+0.000109656j -0.00561049-0.00370834j 0.00265326+0.00241174j 0.000695513+0.00525573j -0.000630132+0.000342652j 0.000839595-0.00304244j -0.00269613-0.00167679j 0.00289435-0.00139606j -0.00109657+0.00629521j -0.000989762-0.00217995j 0.000461596+0.00173543j 0.00278196+0.00124908j -0.00542818+0.00549988j 0.00125878-0.00237151j 0.00130356+0.00378043j -0.00289881-0.00316834j 0.000419634-0.000682199j 1.20192e-05+0.00397178j 0.00375518+0.000559088j -0.000754384-0.00112467j 0.000778063-0.000250625j -0.000683094+0.00260158j -0.00173102-0.00667521j -0.00209244+0.00512073j -0.00159152+0.00849377j -0.00114995-0.00768885j 0.000893938-0.000747813j 0.000523321+0.00704535j -0.00204874-0.00377216j 0.00132587-0.000380518j 0.00373904+0.0055452j -0.00107018-0.0100571j 0.00115748-0.00261256j 0.00175692-0.00102412j -0.000180989+0.00371704j 0.000514544-0.00278902j 0.00129565+0.000999573j 0.00244094+0.000374852j -0.000713319-0.00307442j 0.000636275-0.00170737j 0.000358443+0.000408387j -0.000882826+0.00026261j -0.0011689+0.000208165j 0.000209298+0.00141493j -0.00229411-0.00240565j -3.06362e-05+0.000814631j -0.000473625+0.00074511j 0.00105645-0.000946195j 0.0010295-0.0045219j -0.000394145+0.000899362j 0.000144315+3.18605e-05j -0.00166572-0.000521157j -0.000904838+0.000166859j -0.00020707-0.00126525j 0.00284777-0.00649566j 0.00142565-0.00112067j -0.00337716+0.00387859j -0.00176484-0.00204571j 
-0.000876303+0.00516733j 0.000524212-0.0032403j 0.00168311-0.0064422j 0.00137+0.00277846j 0.00442718-0.00524344j -0.00282759+0.00254167j 0.0047165+0.000214314j 0.00892634-0.0067596j 0.00831322-0.00876547j 0.00282323-0.0040767j 0.000282713+0.00194853j -0.00549296+0.00376654j -0.00065932+9.68055e-05j -0.0160928+0.00833468j 0.0165654-0.0037269j -0.00205774-0.00155695j -0.00839666+0.00180707j 0.0101482-0.000935352j 0.0117433-0.00127482j 0.000212882+0.00736895j -0.00532844+0.00390875j 0.00653231+0.00481853j -0.00256772+0.00662834j 0.000432889-1.36256e-05j 0.00672399-0.00192817j -0.000101736-0.00186194j 0.00337252+0.00181564j -0.000558416-0.00218723j 0.00177077+0.0106106j -0.000994045+0.00414902j -0.00142311-0.000115515j -0.004445-0.0050124j -0.000437452+0.00431425j 0.00118815+0.00804945j -0.000335383+0.00372805j 0.00349253-0.00339815j -0.00636316+0.00314326j -0.00110637+0.00100892j -7.6035e-05-0.00135832j 0.00171396+0.000828302j 0.00617017-0.00591567j -0.00307995+0.00375552j 0.0018978-0.0014746j 0.000842199-0.00487868j 0.000925951-0.00457426j -0.00275662+0.00668036j 0.00269411-0.0101103j -0.00144444+0.00261119j -0.00432842+0.000955065j 0.00293381-0.0017278j -0.00203788-0.000758922j 0.000615451-0.00164908j -0.00348227+0.00414405j -0.00142657-0.000472372j 0.000959256+0.00398319j -0.000217864-0.000646478j -0.000138982-0.00415615j -0.00250667+0.00221857j -0.00281859+0.00363402j 0.00273098-0.00127445j 6.89391e-05+0.00421066j -0.00104402+0.0019065j 0.00369996-0.00540632j -0.000539717-0.00680897j -0.00354065+0.00634767j 0.00374444-0.0031932j -0.000569307-8.38681e-05j -0.0014718+0.00284297j 0.000178508-0.000987212j -0.00043539+0.00179139j -0.00150861+0.00314315j 0.000539021+0.000480107j 0.00129639-0.00269661j 0.000567162-0.00386693j -0.000694785+0.000212022j -0.000579061+0.000969248j 0.00119299-0.000542597j -0.00136673+0.000335464j 0.000594655-0.000154301j 0.000270522+0.000103649j 5.90875e-05+0.000996478j 0.0016134-0.00156968j 0.00126124+0.00145749j -0.000440938+0.00142052j -0.000277761+0.000911794j 0.00152311-0.0040161j 0.00139487-0.00311398j -0.00105858+0.00168339j 0.000594867+0.00126419j -0.000861365+0.00323173j -0.00050245-0.000551877j 0.000119571-0.00264659j 
0.00546222-0.000189517j -0.00584127-0.00721096j 0.00185544-0.000602947j 0.00455749-0.00229751j 0.00217965+0.000341691j 0.00132751-4.40017e-05j 0.00706683-0.000896504j 0.00265172+0.00745065j 0.00772248+0.00598858j 0.00106502+0.00409165j 0.000511592-0.00271129j 0.00438527-0.00548793j 0.00143054+0.00219997j 0.000667996-0.0115908j 0.00704724+0.0128619j -0.00460318-0.00150645j -0.0021463-0.00798606j 0.000430799+0.00459395j 0.00364068+0.0108771j 0.0095886-0.00166341j 0.000151208-0.00437869j 0.00103619+0.0105255j -0.000370122+0.0021874j 0.00397058+0.00079631j 0.0026402+0.00135271j 0.000475873+0.00041849j 0.00301698+0.00134037j -0.00116201+0.001006j 0.0115196+0.000996358j 0.00180971-0.000339249j -0.00118415-0.00249778j -0.00113402+0.000652053j 0.00129943+0.00122271j 0.00943314+0.00255396j 0.00285919+0.00379961j -0.00260984+0.00221028j 0.00269815+0.00190529j 0.00107379+0.000445336j -0.000757303-0.00105309j 0.00367817-0.000883626j -0.00638178+0.000881732j 0.00399798+0.00291963j -0.00137731-0.00327553j -0.00408494-0.00191388j -0.00048078-0.000909006j 0.00712811+2.12975e-05j -0.00581974-0.00721303j -0.000683785+0.00109292j 0.00228929-0.00211273j -0.000941661-0.00146867j 0.00877526+0.000947932j -0.000908665-0.00480486j -0.000131121+0.00279874j 0.00429793+0.000976161j 0.00246408+0.00325193j -0.000834099+0.00101612j -6.22225e-05+0.00136269j 0.00705372-0.00231296j 0.000491867+0.0016588j -0.00678031-0.000123352j 0.000755844+0.00424531j -0.00146803+0.00321524j -0.00452401-0.00640802j -0.0110398-0.000696021j 0.00398083-0.00150411j -0.00806651+0.00102063j -0.00375845+0.00435915j 0.00156961+0.00594682j -0.0016767+0.000681779j 0.00118219+0.00211371j 0.00338957+0.00178933j -2.26188e-05-0.0016258j -0.00510938-0.00255431j -0.0040785-0.00225112j 0.00117487+0.00151443j 0.00186891+0.000653027j -0.000923629-0.00348909j 0.00265649+0.00275362j 0.000784906+0.000675156j -0.00138857-0.000945854j -0.000360218+0.00173628j -0.00301281-0.00272219j -0.00149883-0.0019905j 0.0018946+0.000115654j 0.00123226-0.00338444j -0.00279689+0.000769723j -0.00282015-0.0011362j 0.00404727+0.00237784j -0.00255209+0.00345729j -0.000256161-0.000343804j 0.0078503-0.00925309j 0.00635904+0.00768903j 
0.00529183+0.00215504j 0.00345545-0.00469215j 0.00350374-0.000161093j 0.00119475-0.00523694j -0.00229047+0.00198051j -0.000537017-0.00509017j -0.000618712-0.00163943j 0.00361003+0.00179577j 0.000715536+0.00898285j -0.00408269-0.00263887j -0.00148048+0.00761588j 0.000601504+0.0135454j -0.00500703-0.006976j 0.00304644+0.00258878j -0.00174486+0.00544224j 0.00680149-0.0061596j 0.00339637-0.0057193j -0.00597118+0.0115515j -0.00468858+0.00311044j 0.0031742+0.0186684j 0.000478009-0.001334j -0.00521915+0.00175561j -0.000483256+0.00182848j -0.00237592-0.000523959j 0.00348187+0.00681194j -0.00378148+0.00230446j 0.00269801+0.00356279j -0.00481938-0.000821572j -0.000459158+0.000639484j 0.00219396-0.000423667j -0.00267105+0.00203242j -0.00253056+0.00215524j 0.000521072-0.00258722j 0.00455968+0.00248977j -0.00128233+0.000136247j 0.00167658+0.00445036j -0.00022337-0.00562078j -0.00315956+0.000960572j -0.000980535+0.0020144j 0.00127054-0.00079931j 0.000257063-0.00151212j 0.00179822+0.000126168j -0.00484737-0.00109206j 0.00124402+0.00139208j -0.0014035-0.00104427j -0.000119312+0.00174904j -0.00813766+0.00164938j 0.00389819-0.000986294j 0.000402187-0.00128335j -0.000395915+0.000933121j -0.00439221+0.00209909j -0.00797214-0.00136856j 0.00128405-0.00242034j 0.0019481+0.00159152j 0.00211011+0.00292897j -0.00210551-0.00119665j 0.00389865+0.00116902j -0.00483956-4.11202e-05j -0.00576737-0.00584647j 0.00521373+0.00114987j 0.00340808+0.00129043j -0.00104423-0.00250284j 0.00729313-0.00577632j -0.00838531-0.00313419j 0.00296111+0.00299938j 0.00712322+0.00637274j -0.00184357-0.00374544j 0.000787744-0.00223413j -0.0051649+0.00303691j 0.00405528-0.00160661j 0.00185318+0.00148689j -0.000168754-0.000633529j -0.00244004-0.00025546j 0.00117744-0.00155686j -0.0009497-0.000928744j 0.000372019+8.34655e-05j 0.00315826+0.000156265j -0.00206673+0.000890108j 0.0019451+0.00192023j -0.0022445+0.0033991j -0.00365701+0.00172525j 0.00177499-0.000506672j -0.00265243+0.00143986j -0.00137051+0.00132224j 0.00171371+0.000186282j -0.00964147-0.00132718j -0.00108016-0.00469098j 0.00212348+0.000764781j 0.00356746-0.0070235j 0.00715164-0.000219273j -0.00216852+0.00817032j -0.00753036-0.00152137j 
