-0.00182323-0.000314507j 0.0137626+0.0130093j -0.0103971-0.00770408j -0.00081379+0.000261812j -0.0164457-0.00564838j -0.00322398-0.00253063j -0.0293884-0.00388001j 0.00565879-0.00209115j 0.00073151-0.000495671j -0.000483693+0.000307637j -0.00742836-0.00106803j 0.00529792-0.00211624j -0.00481818-1.47614e-05j 0.0142951+0.00218688j 0.00520963-9.91549e-06j 0.00301261-0.00142778j 0.0274469-0.0126217j 0.00071009+0.000177375j -0.0007394-0.00314934j 0.0110828-0.00836147j 0.000607173-0.0007402j 0.00154752+0.00106501j 
0.00459063-0.00196702j -0.0253226+0.0277832j 0.00999896-0.0207271j -0.00131868-0.00231666j 0.0108451-0.0122636j -0.000754251-0.00436891j 0.00470992-0.0276624j 0.0040219+0.00570452j -3.9125e-05+0.000573731j -0.000133811-0.00092922j 0.000513589+0.00176416j -0.00357034+0.000704503j -0.00135599-0.00109528j 0.00369595-0.00650304j 0.00223947+0.00153932j -0.00107492+0.000803304j 0.000452639+0.00792728j 0.00248621+0.00177528j 9.15945e-05+0.00457303j 0.00485967+0.00110457j 0.00101399+0.000234493j -0.000244741+0.00125904j 
0.000504647+0.000640484j -0.00328523-0.00188109j 0.00215087+0.000488315j -4.31104e-07+0.000804049j -0.00693857-0.00941192j 0.000409383-0.000294612j -0.0125731-0.00986184j 0.00290656-0.000221289j 0.00109268+0.000814695j 0.00123168+7.94574e-05j 0.00279038-0.00841711j -0.0021028-0.0103261j 0.000383098-0.00138348j 0.0131381+0.0367418j 0.000858091+0.00260544j -0.000988358-0.000735567j -0.0128737-0.00879053j -0.00157272-0.00239712j -0.012028-0.0107078j 5.92375e-06+0.00484942j -0.00108198+0.00176919j -0.000583318+0.000206424j 
-0.00510245-0.00903845j 0.0388678+0.0201598j -0.0232198-0.00143243j -0.00219548+0.00134888j 0.00527441-0.0119116j -0.000811299+0.00301155j 0.00122751-0.0108036j 0.000590848-0.00025788j -0.000830536+0.000884256j -0.000270029-0.000426878j 0.00550749+0.00280494j -0.00502483+0.00296492j 0.00370734+0.000539946j -0.0136028-0.00677786j -0.00267563-0.00163736j -0.00124924+0.000755078j -0.0182087+0.00809635j 0.000919079-0.00102906j 0.00363016+0.00259126j -0.00844404+0.00332059j -0.000179564-0.000324133j -0.000469979-0.000848706j 
-0.000697598-0.000186054j 0.00192494-0.00121862j -0.000290902+0.00110993j 0.00101855+0.000250799j -0.0099834+0.0037692j 0.00030921+0.000197587j -0.0110504+0.0100331j 1.39905e-05-0.0033213j 0.0013571-0.000174279j -0.000777069-0.00160801j 0.000321181-0.00536226j -0.0116747+0.00947264j 0.000992457-0.00244595j 0.0152541-0.00967812j 0.000732221+0.000790867j -0.00123836+0.00389719j -0.0115719+0.0356049j -0.000287964+5.66616e-05j -0.0025927+0.0119625j 0.0038155+0.00865182j 0.00180816+0.000734873j -0.000833552+0.000801805j 
0.00927672-0.00703219j -0.00612995+0.0378027j -0.00777738-0.0183849j 0.000980261-0.000856958j -0.000326268+0.0179412j -0.00124072+0.0023274j 0.00576458+0.0276418j -0.00410819-0.00536597j 9.97914e-05-0.00116248j 9.6199e-05+0.000420491j -0.000984865-0.00417484j 0.00115377-0.00152199j 0.000970588+0.000769719j 0.00231821+0.00999331j -0.000238689-0.000809119j 0.00113714+0.000266471j -0.00152534-0.00542773j -0.00170351-0.00184813j -0.00211544-0.00415832j -0.00178392-0.000184347j -0.00045131+0.000124375j -4.70009e-05-0.000933351j 
0.00508404+0.00439797j -0.0194988+0.00178327j 0.00778376-0.00659346j 0.000141636+0.00335066j -0.0168251-0.0062254j -0.00201583+0.00261872j -0.0259828+0.00497238j 0.00468132-0.00569359j -0.00044992+0.000648081j -0.000299219-0.000580629j 0.00755429+0.00544192j -0.00357493+0.00277666j 0.00525982+0.00283151j -0.0267085-0.0134544j -0.00353175-0.00187897j -0.00074024+0.00135592j -0.0177762+0.00305676j 0.00195163-0.000796635j 0.0105551+0.00279743j -0.013635+0.0018403j -0.000198109-0.000993416j 0.000659655-0.00219687j 
-0.0013948-0.0139599j -0.00239495+0.00440372j 0.0108982+0.00798125j 0.000658362+0.00931844j -0.00960723-0.0189711j 0.0101297+0.0107116j 0.0082438+0.000734465j -0.00880471-0.00178178j -0.00032185-0.00251767j 0.00114441+0.00259568j -0.0122558-0.0122563j 0.0129771+0.0061617j 0.00312663+0.00606458j 0.00841192+0.00222498j -0.00985401-0.00568332j 0.00417054+0.00431224j 0.00653257-0.00101513j -0.0142344-0.00400674j -0.00150052+0.00420764j -0.0143901-0.00660078j -0.00111686+0.000742355j 0.00324175-0.00183783j 
0.0315321-0.00388839j -0.00866625-0.00091918j -0.019586+0.02129j -0.0120711+0.000516114j 0.022736-0.0130324j -0.0176325+0.0123758j -0.00894978+0.00691281j 0.00623871-0.0118945j -0.00111297-0.000601912j -0.00187635-0.000182776j 0.0022916-0.00547626j -0.00677715+0.00584532j -0.00172268+0.00246519j 0.00233515+0.00105953j 0.00716792-0.00649091j 0.000714043+0.00101211j 0.00132092-0.000728425j 0.00435332-0.00858619j 0.000859186-0.00160214j 0.00444718-0.010724j 0.00044661-0.00207028j 0.00182932+0.00117914j 
-0.00260119+0.00143073j 0.00113221+8.17656e-06j 0.000803897-0.00236206j -0.00322241+0.00399141j 0.00141902-0.00959736j 0.000277648+0.00820657j -0.000131781+0.00766496j -0.0034656-0.0061097j 0.00345113-2.43278e-05j 0.00409856-0.000569163j 0.0113065-0.0137824j 0.0088083-0.010458j -0.00918975+0.0149826j -0.00210131+0.00198681j -0.00421043+0.00693363j -0.00522093+0.0183068j 0.000820101-0.00300981j -0.000496343+0.00201855j -0.00367128+0.021211j 0.000991444-0.00668818j 0.0029792+0.00410609j 0.00107461+0.00203291j 
0.0115235+0.0282213j -0.00278146-0.00559763j -0.023731-0.0156965j 0.00201648-0.00130764j 0.000182349+0.00533642j -0.0012888-0.00706598j 0.00131871-0.0054308j 0.00191408+0.00425764j 0.000118413-0.00363524j 0.0018416+0.00126656j -0.00421027-0.00825643j 0.00919203+0.00025508j 0.000740391+0.00492607j 0.00182235+0.00103147j -0.0074236+0.000989271j 0.000570775+0.00573522j -0.000540275+0.00075902j -0.00764708+0.000951826j -0.00163322+0.00724021j -0.00932483-0.000608152j 0.000425877+0.00202994j 0.00166877-0.000766495j 
0.0152628+0.0243908j -0.00361353-0.00432601j -0.0247605-0.010877j 0.0032845-0.00438069j 0.000447298+0.0100156j -0.00206759-0.0113258j 8.33165e-05-0.0090506j 0.00356088+0.00720485j 0.00041853-0.00363238j 0.000314926-0.000920252j -0.00474936-0.00704739j -0.000639096-0.00309671j 0.00435263+0.0047549j 0.000532146+0.00099418j 0.000838765+0.00261862j 0.00583703+0.00415282j -0.00020383-0.000232431j -0.000478361+0.000880296j 0.00661758+0.0043982j -0.00370272-0.00113155j 0.00197577-9.89143e-05j 0.00143581+0.000211677j 
0.000890779+0.000769253j -0.000181545-0.000618655j -0.00114076+0.000344673j 0.00692734+0.00449183j -0.0143714-0.00319564j 0.0144289-0.000473424j 0.0118771-0.000909436j -0.0109808+0.00603251j 0.00370247-0.00165119j -0.00388207-0.00411136j -0.00318103-0.0118691j -0.0200982-0.00129422j 0.0105861+0.00817977j -0.00023426+0.00299454j 0.0150454-0.00263906j 0.0151829+0.0033137j -0.00102239-0.00130112j 0.00936303-0.00788234j 0.0191261-0.00127258j 0.00359059-0.0116199j 0.00326487-0.00469394j 0.00162242+0.00239008j 
0.00809591-0.00421813j -0.00130998+0.001606j -0.00467422+0.00725087j 0.00316587-0.00314733j -0.00239341+0.00575688j 0.000432548-0.0056251j -0.00112605-0.0047903j 0.00177733+0.0042871j 0.000605707-0.00023619j 0.00115722+0.0013411j 0.00282983+7.03941e-05j 0.00613384-0.000145411j -0.00347955+0.000135021j -0.000503069-0.000247431j -0.00476974+0.00101482j -0.00441423+0.00167233j -0.00050296+0.000445654j -0.00289381+0.00183714j -0.00544348+0.00363246j -0.00161784+0.00115009j -0.000478069+0.00180532j -0.000105438+0.000506467j 
-0.0261489+0.0315638j 0.00194242-0.00845504j 0.00647675-0.0377275j -0.00631048+0.00666125j 0.0053774-0.0108487j -0.000123569+0.00856808j 0.0023077+0.00791578j -0.00356342-0.00775732j 0.00211008+0.00137127j -0.00206468+0.000942889j 0.00861471-0.000935263j -0.00445764+0.010369j -0.00578563-0.00117858j 0.000334159+0.000151677j 0.00305211-0.00868013j -0.00603134-0.00170624j -4.45678e-06-0.00109699j 0.00234114-0.00907808j -0.0073943-0.00495429j 0.00506627-0.0100642j -0.002062-0.00054463j 7.7403e-05+0.00107363j 
-0.00324408+0.00147907j 0.00103998-0.00094455j 0.0013686-0.00268336j -0.00257495+0.00427942j 0.0025804-0.00797843j 0.000475869+0.00894807j 0.00164065+0.00613788j -0.00375682-0.00724308j -0.00130456+0.00378021j 0.00317755-0.00515846j 0.00145907+0.00541701j -0.00309576-0.0229398j -0.000735393+0.00302126j -9.35068e-05+0.000590952j 0.00580864+0.0178954j 0.00322601+0.00631237j 0.00270399-0.000577283j 0.00918376+0.0139944j 0.00750314+0.00924726j 0.0123101+0.0133529j 0.00462193+0.0013179j -0.00368174-0.000294273j 
0.0274128+0.0118338j -0.00729695+0.00121014j -0.0276492+0.00135324j 0.00895647+0.0131786j -0.018717-0.0146292j 0.0173434+0.0104753j 0.0120639+0.0041493j -0.0164698-0.00152611j 3.46408e-05+0.0058908j -0.000920181+0.000339557j 0.00538016+0.0136666j 0.00219342+0.00142513j -0.00511151-0.00814527j -0.0010624-0.00272268j -0.00148724+2.92907e-05j -0.00707962-0.00654337j 0.00118534+0.000833733j 0.000536919+0.00311512j -0.0095709-0.00550563j 0.00708184+0.00631821j -0.0021281+0.000827437j -0.00499138+7.52462e-05j 
0.00396573-0.0121347j 0.000812549+0.00328252j 0.00102492+0.011948j 0.00906974-0.00603859j -0.00973219+0.0124599j 0.00821845-0.0123172j 0.0029839-0.00776045j -0.00220327+0.0115216j 0.0073345+0.00119025j -0.00113245+0.00139793j 0.021994-0.00482063j -0.00286819+0.00424065j -0.0127257+0.0046123j -0.00508729-0.000684442j 0.00283709-0.00410711j -0.0115953+0.006311j -0.00129737-0.00182487j 0.00640831-0.00648874j -0.0101053+0.00738028j 0.0104472-0.0141204j -0.000304801+0.00170915j -1.33725e-05+0.00617468j 
