-0.0168944-0.18966j 0.0516783+0.187733j -0.0561006-0.0784421j 0.11414+0.518119j -0.287615-0.219061j -0.0338117+0.285022j -0.000727713-0.60685j -0.197074+0.259668j -0.432593+0.622944j -0.534245-0.162526j -0.108167+0.316224j -0.0496027+0.36993j -0.144061+0.00952858j -0.705694-0.247938j 0.454658+1.31503j 0.28383-0.661734j -0.385202+0.536403j 0.125711+0.127367j 0.158126-0.274624j 0.926267-0.467142j 0.340188-0.0981235j -1.22287-0.49455j -0.390176-1.04877j -0.244654+0.148075j 0.429807-0.816711j -0.976078-0.458799j -0.08965+0.0895197j 0.396713-0.373375j 0.579918+1.06096j -0.0503208+0.301249j -0.000421069+0.0441867j 0.67036+0.16366j -0.647955-0.877786j 0.170694+0.209622j 0.325571+0.290284j 0.645237-0.185322j 0.0118823+0.771493j -0.162255+0.694231j 0.776252-0.877916j 0.654586+1.02528j 0.246014+0.933665j -1.50017-0.407394j 0.412702-0.0654394j 0.452263-1.42607j 0.106919+0.363688j 0.782323-0.935809j -0.357879-0.111758j -0.374156-0.226071j -0.31881+0.19j 1.27277+0.4046j 1.25383-1.4781j -1.74617-0.992678j 
0.213362+0.0132189j -0.485433+0.143921j 0.518293-0.280475j -0.346202+0.671826j 0.249548-0.575375j -0.380507+0.469204j 1.55553-0.583158j -0.0343967-0.252222j 0.0465118-0.254951j 0.0684012+0.457137j -0.109267+1.14702j -0.829308+0.684336j 0.00996692+0.143292j 0.224611+0.392203j -0.181837+1.0291j -0.669113+0.0751083j -0.84896+0.419941j 0.638611-0.377419j -0.39285-0.632621j 0.875998-0.55602j 0.200103+0.272996j 0.172216+0.0383342j -0.532986-0.312552j 0.46648-0.0897401j -0.0946365-1.20479j 0.000933477+1.72005j 0.0905072-0.0144639j -0.10531+0.142548j -0.161304-0.463843j 0.872289-0.0896127j 0.758868-0.542261j -1.17795-0.257948j 0.327962+0.312387j 0.0449143+0.655554j 0.33423-0.544514j 0.369595-0.135881j 0.406282+0.201799j -1.05989-0.843642j 0.178449-0.701593j 0.705505-1.03431j -0.35627-0.895275j 0.598611+0.0908934j 0.649189+0.430202j -0.267737+0.31772j 0.775631+1.08552j -0.605515+0.788014j 0.167099-0.448194j -0.0387803+0.302021j -1.15971-0.348406j -0.522623-1.91719j -0.280194+0.491051j -0.928044-0.782376j 
-0.143463-0.208411j 0.46192+0.0580142j -0.067562-0.379399j -0.242319-0.685867j 0.285665-1.51419j 1.43267-0.239179j -0.741931+0.382125j -0.0470043-0.403536j -0.330874-0.888782j -0.677763+0.0578776j 0.434699-1.03054j -0.366847-0.29965j -0.271765-0.414923j 0.241439-0.571488j 0.965076+1.08864j -0.104188+0.429297j 1.10293-1.50407j 0.186851-0.860162j 0.47037+0.19898j -0.492997-0.995066j 0.172186+0.402557j 0.0610324+0.190889j 0.111825-0.190288j 0.0159486+0.268917j 1.13954-0.26756j 0.217566+0.246004j 0.747544+1.04491j 0.435092-0.174411j 0.30103-0.256599j 1.06173-0.504479j 0.436839+0.610515j 0.183643-0.190029j -0.0176589+0.179943j -0.983913-0.310795j 0.0473391-0.143825j 0.471278+0.629201j -0.0732446+0.176178j 0.316171-0.0841724j 1.07243+0.0485583j 0.934152-0.462112j -0.592232-0.316741j 0.614084-0.471127j -1.0742-0.216698j 0.693165-0.184308j 0.125898+1.77259j -0.527283-0.244545j -0.0701181-0.480212j -1.15543-1.85696j -0.573558+0.121237j -0.270348+0.178932j 0.352936+0.142542j 0.188964+0.817786j 
0.0715881-0.508055j 0.77752+0.785764j -0.506412-1.15981j -0.152226-0.452606j -0.686548+0.287729j -0.371036+0.268886j -1.77138-0.558592j 0.536472+0.827342j -0.337525+0.274409j -0.29449-0.930599j -0.851919+0.188261j -0.0579327-0.635154j 0.335802+0.149834j -0.655034-0.176793j -0.270925+0.485614j -0.876825-0.0637466j -1.0006-0.461338j -0.400611-0.0253292j 0.170313-1.7211j 0.672657+0.634707j -0.677189+0.807745j 0.450074+0.518453j 0.271978+1.03776j -0.648096+0.564383j 0.18115-0.1533j -0.284267-0.43962j -0.398756-0.103222j -0.473991-0.22395j -0.787941-0.372616j 0.354937-0.705968j 0.347522-0.514551j -0.81791-0.736197j -0.643368+0.329445j 0.0272507-1.54951j 0.304069-0.24803j 1.10442-0.612774j 0.980877-0.454783j 0.218779-0.828218j 0.208891-0.136891j -0.367329+0.335886j -0.020904+0.568552j 0.632259+0.25569j 0.628584-0.691453j -0.374533-0.0549317j -0.601244+0.399853j -1.82945+0.387814j -0.228206-0.175978j 0.736309+0.314056j 0.349628-0.507912j -0.516582+0.980338j 0.58118-0.771378j -0.0554498+0.464363j 
0.423137-0.884586j 0.39103-0.113302j -0.259396-0.0562914j 0.501169+0.611747j 1.51514-1.87394j -0.209868+0.556576j -0.322575+0.463259j -0.232459+1.70101j 0.394587+0.303754j 1.65024-0.0270402j -0.45524-0.778577j -0.517067+0.124888j -1.05015-0.563843j -0.878344+0.163656j 0.511881-0.266874j 0.256083+0.632714j -0.531168+0.531738j 0.0450565+0.198071j 0.911651+0.0936297j 0.159028+0.404995j 0.40346+0.0463688j 0.0611429-0.372119j 0.790154+0.597074j 0.711707+0.32081j -0.6615-0.247255j -0.0507426-0.22062j 0.778173-0.986854j -0.933206-0.180726j 0.101057+0.0464932j -0.063404+0.320955j 0.150725+0.0795111j 0.119556-0.378255j 0.501043-0.717918j -0.253735+0.543069j -0.34532-0.574978j -1.32311-1.43676j -0.215801+0.373928j 0.996199-0.882847j -0.311942-0.670084j 0.197082-0.389487j -0.118135+0.236805j -0.687818-1.03849j 0.553611+0.0655129j -0.400775+0.95872j 0.1023-0.71313j -0.666145-0.458254j 1.53646+0.303187j -0.183083-1.35929j 0.261813-0.663163j -0.0540876+0.217255j 0.284643+0.0536752j -0.201096+0.0290754j 
1.17535-0.848085j 0.00959275+0.754433j 1.04245-1.90026j -1.52347-0.305689j -0.189108-0.331458j -0.192384-0.261495j 0.0444683+1.0217j 0.783709-1.17716j 0.315548+0.48615j 0.42794-0.351932j 0.401976-0.0379817j 0.466523-0.463585j 0.96878+1.02819j 0.27461+0.637201j 1.43504-0.558604j 0.424925-0.252481j 0.280934-0.0818459j 0.36801+0.516204j -0.277455-0.563392j 0.545373-0.139393j 1.16474-0.44064j -0.763571-0.325838j -0.587869-0.248803j 0.0293564-0.584876j -0.158079-0.221487j -0.0156876-1.73919j -0.163141+0.540187j 0.227776+1.26611j -0.563173+0.0471532j 0.434816-0.626139j -0.178732+0.189598j -0.181177+0.242585j 0.85588+0.712483j -0.415486+0.454735j 0.706681+0.373314j -0.743932-0.22593j -0.73975-0.143336j 0.165153+1.2139j 0.310517-0.369062j 0.0670437-0.115748j 0.850812+0.70879j -0.150289-1.25912j 0.0137503-0.408359j 0.0039252-0.23981j -0.0334035+0.321712j -1.48228-0.571127j 0.272673+0.455086j 0.265362+0.737618j -0.422693-0.504289j -0.630055-0.206671j 0.490284+0.231012j -0.119187-0.0244006j 
-2.46488+0.322915j 0.503031+2.13772j 1.2712+0.275951j 0.0562848+0.256884j 0.399561+0.0196402j -0.326716+0.0197261j 0.343664+1.01103j -0.221108+0.245936j 0.257718+1.40916j -0.263668+0.126301j 1.53614-0.484196j 0.143704-0.802952j -0.457173+1.16216j -0.901801-0.80961j -0.0915845-0.476015j 0.198915+0.945084j -0.860694-0.117943j -0.355184+0.455496j -0.238579+0.361005j 0.357636-1.08886j 0.655183-0.302516j 0.0910929-0.233036j -0.142834-0.246179j 0.526427-1.29602j -0.393007-0.349725j 0.819042-0.699782j -0.303278-0.204215j -0.55328-0.899015j -0.320691-0.160671j -0.314884+1.07373j -1.43275+0.68725j 0.345949+0.151089j -0.854133-0.507362j -0.131328-0.292552j -0.120287+0.195099j 0.478453+0.629022j -0.39039-0.743486j 0.390635-1.42755j 0.812142-0.32139j 0.132464+0.0208919j -0.00979801-0.318705j 0.0793632+0.323721j 0.579335-0.260515j -0.448764-0.75948j 0.221335+0.321701j -0.0398985+0.699088j -0.0375206-0.33631j 0.323486-0.18315j -0.204395+0.547506j -0.0617915-0.00767597j 0.0272602-0.158507j -0.0561312+0.22258j 
0.180255+0.167598j -0.146561-0.121229j 0.068109+0.0240204j -0.464907-0.382643j 0.360664+0.0484682j -0.151096-0.300197j 0.311696+0.633274j 0.0977527-0.328204j 0.0736142-0.5992j 0.755825+0.276617j -0.117607-0.121803j -0.0680421+0.0962212j 0.134727+0.0368348j 0.659883+0.139441j -0.386668-1.07986j -0.0700266+0.742714j 0.0403765-0.657995j -0.0651564-0.311895j 0.120316-0.20217j 0.127903+0.159935j -0.129536-0.0200003j 1.50806+0.413113j -0.309123+0.944815j 0.391077-0.410681j -0.314661+0.834214j -0.0453592+1.49931j -0.160924-0.990604j -0.214227-0.00232916j -0.623853-1.21619j 0.437649+0.271341j -0.70675-0.0200276j -0.330179-0.692169j -0.727303+1.81324j -0.850011-0.787676j -0.52146-0.767441j -1.33461+0.185497j -0.0937229-0.989925j 0.236056+1.47779j -0.61608-0.189494j 0.696714-1.25145j 0.556796+0.402058j -0.457842+0.278973j 0.734789-0.405119j 0.837849-0.614476j -0.774769+0.0861899j 2.12689+0.694691j -0.228693+0.213819j 0.0137649-0.577976j -1.01683-0.862067j -0.876608+2.66824j 1.85295+3.03261j 2.65644-2.12019j 
0.115306-0.167566j -0.484218+0.434622j 0.630285-0.281256j -0.502341+0.689375j 0.147039-0.750895j -0.365986+0.351815j 0.724013-0.740842j 0.0407457-0.119325j -0.102217+0.218319j -0.513039-0.589806j -0.278088+1.40346j -1.00296-0.00931795j 0.0217791-0.260824j 0.100123+0.17103j -0.806505+1.92951j -0.411256+0.261089j -0.584171-0.191595j 0.697993+0.138441j 0.647128-0.128193j 0.537954-0.239866j 0.181954+0.101652j 0.400041-0.0521798j -0.284506-1.87032j 0.594819-0.134079j 0.76879-1.49001j 0.252083-0.332797j 0.652656+0.34198j -0.321094+0.792658j -0.0378329-0.787459j -1.33596-0.0517135j 0.0388559+0.152209j -0.865166-0.697035j 0.320182-1.48646j -0.064163+0.0892962j 0.687783-0.101406j -0.525839-0.351236j 0.623114+0.397837j -1.67552+1.02778j 0.0350386-0.482218j 1.76445+0.173136j -0.330376+1.97079j -1.1939+0.28869j 0.711064-0.475263j -1.24389+0.411626j 0.587778-0.175676j 1.59198+1.10596j 0.219506+1.28118j -0.105819+1.09724j -1.93499+1.95017j -2.50706-0.130923j 0.72189+1.0958j -1.53938+0.580235j 
0.0846594+0.226942j -0.380749-0.416661j 0.444907+0.295833j -0.398757+1.02131j 0.111367+0.803966j -0.924579+0.287795j 1.41273+0.128484j 0.45479+0.418378j 0.553353+1.60982j 0.223987+0.90436j -1.58598+1.341j -0.667055-0.012953j -0.163438+0.242366j -0.548822+1.05022j -0.308717-0.298177j -0.248523-0.459449j -0.21817+0.278352j -0.275943+0.696737j 0.625462-1.358j -0.569807-0.631212j 0.0617826-1.24073j -0.185369+0.541249j -0.907466-0.569677j 0.436133+0.306522j -0.158409-0.700593j -0.0311226+1.55027j -0.451135+0.508138j -0.0571408+0.967699j -1.22274+0.0550788j 0.957967+1.4831j 1.29466+0.153325j -0.503261+0.576726j 0.846018-0.723684j 0.318628+0.199705j 0.505189-0.26942j -0.114714+0.744308j -0.223609-1.48968j -0.817331-0.10436j -0.199031-0.0573246j -1.02451-0.349942j 0.609562-2.03884j 0.622883+1.16238j 1.70246-0.11475j 2.38009+0.423934j 0.669039-0.284604j 0.526176-0.492782j 0.520618-0.40023j 2.50593-0.00546165j 0.568609-1.82779j -0.00608088-0.302796j -0.856348+0.60282j -1.65829-0.339898j 
0.143949+0.603439j -0.444397-0.765411j 0.626853+0.215574j -1.10698+0.124779j 0.673087-0.27479j 0.28162-0.77166j 1.04479+1.20213j -0.263114-0.647454j 0.806533-0.561128j -0.273739-0.382441j 0.698589-0.0876852j -0.982371-0.0970641j -0.622049-0.944383j 0.451015+0.812076j -1.67757+1.09572j 1.32482+0.520015j 0.684297+0.184758j 0.910467-0.414365j 0.0273763+0.331894j 0.521837+0.803969j 1.00679-0.0708027j -0.388052-0.805539j -1.15996-0.060154j -0.459753-0.41428j -0.103704-1.12247j -1.25243+0.456117j 0.425992-1.23158j 0.143627-0.917698j -0.231404+1.58799j 1.24662+0.714768j -0.675371-0.78212j -0.893435+1.4539j -0.421212+0.628015j 1.13742+2.03488j -1.36583-0.897852j 1.28783+0.220178j 0.558675-0.262804j 0.986647+0.0116141j -1.68398+0.104024j 1.75687+1.05228j -0.268886-0.589175j -0.661724+0.511048j -0.276843+1.45682j 0.169344-0.0605078j 0.227651+0.26599j 0.10702-2.18842j -0.400198-0.49259j -1.69128+0.536522j 0.653619+0.974311j -0.950986-1.54706j 0.221273+0.928148j -0.744746-0.259733j 
