-1.67018-0.200475j -0.0282739-1.99093j -0.554608-0.514919j -0.875357+1.32904j 0.641044+0.758849j 0.388813+0.21918j -0.528537+0.291242j 1.95271-0.52427j -0.602228-0.0237371j -0.674719+0.389194j -0.0425751+1.16497j -1.60909-0.607609j 0.0985374-1.04615j -1.10646-1.93478j -1.43812+1.00135j -0.68117-2.53439j -2.82897+1.28524j 0.0928258-1.34021j -2.36965-0.233692j 0.160197-1.75204j 0.291473+0.0523538j 0.590846+0.26213j -1.47357+0.0120867j -2.33031-2.20533j -0.323996-0.328626j -0.313945+0.0487833j 0.709443-0.405921j 0.195538-0.744163j 0.94033-3.09587j 0.812217+1.24211j -0.308303+0.456205j -0.0277026+0.59184j -1.26514-1.08473j -1.64601+1.9408j 1.12816+1.15214j 2.92617-0.779798j 0.940445+2.23455j 2.474-2.21293j -0.856562-2.16688j 2.79529+1.70067j -2.23124+1.56038j 0.451371+0.711131j -0.425103+0.0402257j 1.45551-0.980038j -1.76771-1.86137j -0.314502-1.45846j 1.85359-0.170362j 1.64121-1.04416j 0.0901233+0.357958j 0.334234+0.674466j 0.348897-0.63832j -0.257261+1.73677j 1.03497+0.490767j 1.16026+0.826874j -0.38143+0.820844j 0.334649-2.31361j 0.591712+0.238789j 0.407347+0.283136j 0.30662+1.00683j -0.760921-1.04838j 2.29513+1.124j -0.6249-0.12387j -0.156851-0.164777j 1.49125+0.050414j 0.112252+0.0820644j 0.762441-1.09627j 0.834583+0.616739j 0.31949-0.320988j -0.835357+0.0928109j 1.29002-0.558536j 0.567441-0.33477j -1.79456+1.17738j -0.46942+1.05404j 0.145197+0.686341j 0.537629-0.27873j -0.0733689-1.6765j 1.06753+2.10997j 0.269985-0.313625j 0.755156+0.763824j 0.726544-0.969242j -0.504954+0.405942j -0.603206-1.62527j -0.00264475+0.341405j -1.66702-0.67385j -0.23379-0.951172j -1.20901+0.237486j -0.532977+0.985483j -0.921675+2.22928j -1.04525-0.578554j -1.37126-0.347057j 1.19817+0.157192j -1.65597-0.88456j -1.38681+3.15411j 0.431609+0.425534j 2.39432+0.453062j 
-1.43595-0.657338j -0.374633-0.777553j 2.32958+1.23162j -1.55+1.79538j -1.1247+2.38129j -1.21134+1.31971j -0.524763-0.576651j 1.69126+0.384883j 0.74775-1.58537j -0.978235+0.642782j -0.258422-0.330938j -1.133-0.18962j -1.29906-1.15889j -2.76511-0.187715j -0.424587+2.77332j 0.213778-1.26602j -0.464248+0.405388j -0.171714+2.00217j -1.84126-0.739901j 2.64551-0.152432j -0.814437-0.533008j -0.130814+0.548918j 0.109311-0.892671j -0.195208-1.58161j 1.44541-0.0553276j -0.793738-0.158933j -0.412143+0.445702j 0.411749-0.489741j 0.187745-0.120875j -0.0340595+1.42251j 0.403229+1.10764j 0.111961-0.34793j -0.0304229-0.122334j -0.307076+0.776237j 1.24246-0.41325j 0.720841-1.67192j 1.56976+0.808464j 0.104149-0.00395173j -0.561902-1.4068j 0.111642+0.0858584j 0.414218+0.690546j -0.539686-0.704974j -1.48953-2.8619j -0.58761+0.427227j 0.901442-1.1275j 2.06894-0.602919j 1.75988-2.21281j 0.665213-0.378175j -1.05303+0.489674j -0.366178+0.988797j 1.41924-0.455473j -0.375889-0.685791j 0.295623+1.37003j 0.0146625+0.598905j 0.852123-0.629621j 1.21889-0.12451j -0.148224+0.463822j -0.684402+0.728712j -0.875156+0.689961j 0.199763+0.788435j 1.67347-0.143183j -0.609424+0.286323j -0.0314242+0.0665228j 0.181696+1.30704j 0.217579+0.148369j 0.345294-0.574154j -0.765044-1.0804j -0.0297556-0.335679j 0.757341+0.451424j 0.598315+0.815171j 1.38125+0.570989j -0.633741+0.146768j -0.564113-0.246177j -1.45114+0.177591j -0.147032-0.641067j -0.723167-0.59062j 0.427268-0.173689j 0.781503+0.0897493j 0.581259-0.130297j -0.0645048+0.490451j 0.643508-1.04867j -0.111174-1.09019j -0.446283-0.807196j -0.996081+0.0888504j 0.362183-0.503316j -0.153512+0.567453j -0.275274+0.945026j 0.380483-0.161903j -1.27102+0.278241j 0.262517+0.279121j 1.06297-0.540867j -2.40481+0.657598j 1.53494+0.991765j 0.808509+2.34098j -0.392227-0.75937j 
0.801086+2.41325j -2.55969+0.708482j -0.355507+1.44345j 0.763002-0.202827j -0.706+0.908724j -0.895996-0.256887j -1.56205-1.6032j -1.31238+0.823735j 0.335043-0.895158j -1.47088-0.890868j -2.15458-1.84895j 1.7074+1.4848j 1.84541-1.87587j -0.49046+1.11255j 1.39355-0.896669j -1.90568+1.23257j 1.35579+2.10733j -1.4416+0.161346j 0.331203+0.731938j 0.312278+0.0718516j 0.23541-0.960546j 0.138364+0.776784j -0.0791387-1.39335j 0.327788+0.6712j 0.532003+0.328507j 0.0991005-0.283378j 0.64316+0.530988j 1.51614-0.129155j 0.224447+1.64809j 0.136082-0.332601j -0.728252+0.943969j -0.361746-0.152581j 1.81169-0.537951j 1.39894-0.919048j 0.895893+1.31891j -0.523814-0.558957j -0.166804-0.940082j -0.108626-0.265258j -1.622+2.78897j 0.580553+0.170727j 3.20397+1.12784j 0.389739-0.112301j 1.26816-0.483499j -0.134316-0.263818j -0.263469-0.259579j 0.265569+0.717218j -0.816943-0.862705j 0.307181-0.385161j -0.228043-0.682584j 0.764941+0.0693893j 0.376463+1.78084j -0.175482-0.442733j 0.399151+0.20182j -0.315281+0.923773j 1.0234+0.129158j -0.202519-0.207012j 0.241663-0.688492j -1.63556+0.200641j 0.534962-0.603889j 0.540606-0.115917j -0.557729+0.0265233j 0.902782-0.710313j 0.741504-0.790864j -0.213932+0.792765j 0.0822242-0.136913j 0.725422-0.696671j -0.286388-1.41448j 0.0949199-0.102088j 0.0552182-0.981181j 0.349796+1.19633j -1.05398-0.264602j 1.36559+0.215762j -0.232434+0.557543j -1.35186-0.40901j 0.375972+0.448188j 0.998155+0.26957j -0.701149-0.140404j 0.557231-0.149345j 0.496261+0.523802j -0.191203+1.28086j 0.526267-1.06578j 0.896965-0.437315j 0.786306+0.922972j 2.30898+1.91204j 0.273685-0.722312j 0.0359766-0.0899624j -1.61669-0.307416j -0.72489-1.22477j 0.489253-2.39474j -1.22949+1.14625j 0.772568-1.33589j -0.319326+0.0912026j 0.499077-0.649547j 0.43377-0.731552j -0.212061+0.286566j 
0.800845-0.00548626j 0.844118-0.109596j -1.98769-0.850624j 1.23859-0.344403j 0.308108-1.14883j -1.29045+0.218943j 0.361242-0.836168j 0.703624+0.926695j -2.06322-0.321285j 0.757043-2.69915j -1.15369+0.196922j 0.278044-0.588802j 1.90381+0.135659j 0.710952-2.12798j -2.23364-1.08503j 0.380994+0.0117763j -0.468457-0.0730065j -0.792786-0.670927j 0.780178+0.000523957j -0.331829+0.473695j -0.849308+0.32966j 0.0521954+0.0841409j -0.139979-0.688946j -0.482553-0.644622j -1.3928-0.094632j 0.330654-1.40015j 0.670882-0.546551j 0.467993+0.402284j 0.680663-0.775124j 0.0540385-0.198423j -0.937169+0.297597j -0.290451+0.715841j -0.245771-0.362549j -0.10304+0.392922j 0.976969+0.447136j 1.00013-1.26273j 1.07261+1.11092j 0.448202-0.244063j 0.49653+0.381258j 0.828053-0.289263j -1.04119-0.472976j -1.25954-0.525327j 0.878228+2.52465j -0.0438366+0.395388j 0.241681-0.35175j -1.2971+0.734159j -0.903093-0.180005j -0.185516+0.0176052j 0.823896-0.524436j -0.231198-0.275217j 1.31404+0.69596j 0.403858+0.722199j -1.37602+0.934139j -0.377648+0.538247j 0.827868-0.612058j -0.36879+0.569519j 0.844553+0.910725j 1.79274+1.31532j 1.42783+1.36844j -0.322039+0.68519j 0.677904+0.985153j 2.63139-1.89033j 1.05129-0.163454j 1.88094-0.543845j 0.196436-0.32317j 0.594426+1.97602j -0.284423-0.176691j 0.337927+1.05044j 0.404518-0.0621543j 0.634154-0.450484j -0.107429-1.07304j 0.675743-0.184297j -0.254221+0.559231j 0.0174832+0.293776j -1.0833-0.347553j 1.51194+0.427818j 0.373607+0.97962j 0.936645-1.55947j -1.06381+1.02782j 0.0935823-0.838402j 0.0415042-0.389937j 0.462104+0.535993j -0.496813+0.617421j 0.172648-0.38257j -0.677769-0.657994j -0.82961-0.632523j -0.19153-0.511128j 0.383317+0.53637j 0.17755-0.60781j -0.711697-0.161206j -0.00758685+0.0238311j 0.804808-1.79883j 0.213394+1.9727j -2.43706-1.52217j 2.38568-1.80848j 
-0.259371-0.289029j -0.387431-0.687504j -0.129822+1.39471j -0.289513-1.03106j -0.917656+0.395753j 0.892971+1.12731j -1.07134-0.241458j 0.417094-0.990606j 0.174255+2.03775j -2.6608+0.285425j 0.542196+1.08103j -0.247985+0.172408j -0.468437-1.99165j -2.06571+0.273888j -0.115582+1.88066j 0.580209-0.120622j -0.700776+0.23077j -1.59789-0.438057j 1.0856-0.488671j 0.12029+1.08801j -1.00047+0.631137j 0.0781367+0.218649j -0.408706-1.14306j -0.659196-1.13801j -1.92724+0.54466j 0.432733-2.40414j 0.892703-1.09503j 0.954813+0.58098j 1.31298-0.816755j -0.381981-0.153973j -1.05867+0.411648j -0.480539+1.15586j -0.17204-0.279914j -0.461227+0.230911j 1.52677+0.454999j 1.79649-1.73578j 1.41992+2.19092j 0.398678+0.503009j -0.505646+0.109933j 0.768218+0.960308j 0.377077+0.12482j 0.344933-2.37837j -0.431867-0.167574j -1.33427-0.0953382j 0.733496+0.484595j 0.227802-0.550792j 0.213736+0.0254135j 0.0264687+0.540301j 1.13282+1.21381j 0.506851+0.223559j -0.364069+0.448256j -1.64175+0.162027j -0.0923119-0.387637j -0.123558+0.259162j 0.651006+2.62568j -0.661683-1.51288j -0.197063+0.0886916j 0.26469+0.0837245j -2.99811+0.223951j -1.79065-0.960293j -0.569505+0.16743j 0.506063+0.705902j 1.13876-0.762644j -0.395338+1.75447j -0.254208+0.95576j -0.604939+0.199716j 0.936356+0.347009j -0.292394+0.0864066j -0.678191+0.32451j -0.0118001+0.0120804j 0.519285+1.24886j -0.563007+0.793658j -0.0482878-8.8644e-05j 0.366061-0.386009j 2.23587-0.433172j 0.643455+0.287467j -0.310475+0.326131j 0.867285+0.320395j -0.459902-0.0968027j 0.504259+0.323426j -0.137911+0.81398j -0.170855-0.264166j 0.00245272-1.18776j 0.172809+0.688604j 0.191603-0.41971j -0.275707-0.478346j 0.322547+0.454082j -0.412306+0.319221j -0.675916-0.0278065j 0.487869-0.14351j 0.563675-1.53558j -0.586567+1.72555j 0.224847+1.41774j 2.33425-0.536897j 2.1486+0.938295j 
-1.06879-1.80303j 0.16097-0.355602j 1.13718+1.637j -1.13617+1.61103j -0.118711-0.973593j -0.825352+0.76773j 1.29286+0.811503j 1.48731-0.559231j -0.539317-1.20802j 0.399307-0.549262j -0.753558-0.14818j -2.35853-0.0966104j 0.399523+1.91629j -0.413485-0.425214j 0.787874+2.28967j -0.193564-1.23112j -0.311498+0.0474182j 0.460978+1.17178j -0.919106+0.78831j 0.602651+0.806912j -0.914093+0.708482j -0.624496-0.286268j 0.959706+0.00124751j -1.13513-0.356019j -0.76648-0.891812j 0.0456241-0.521018j 0.328153-0.211168j 0.215481+1.02554j 0.295072-0.485484j 1.49534-0.674238j -0.742107-0.337897j -0.675608+0.715221j 0.326178-0.887205j 1.41267+0.818307j -0.203054+1.38092j 0.00184197-0.611845j 0.622338-1.24751j -0.0530969-1.60206j 1.1511-1.58593j -0.0952904-0.0932078j -0.108126+0.260533j 1.32394+0.897565j -0.0139177-2.72487j 0.303936+1.0692j -0.274794+1.01773j -0.737625+1.51039j 1.33657-0.450588j 1.6347-0.272255j -0.583213-0.500203j -1.3664-1.54396j 1.06152-1.30368j -1.0059+0.592199j -1.1265-1.2179j -0.777572-0.0716251j 0.56373+0.674486j -0.370958+0.343146j -1.16404+0.852024j 0.144669+1.51899j -0.500395+0.0669975j -0.387978-0.346252j 1.34295-0.198919j -0.64259+0.733532j -0.455785-0.371356j 0.359006+0.376141j 0.382612-0.0760632j -0.863232+1.16731j -0.00243686-0.545851j 0.193834+1.20076j 0.159682+0.179223j 1.5012+0.0966763j 0.70297+0.467085j -0.418831-0.183613j -0.166799+0.308291j -0.179066+0.316917j -0.0237853-0.678912j -1.41414+0.68447j 0.831212-0.270615j 1.02917-0.631749j -1.71989-0.240308j -0.178949+0.0594977j 0.37836-0.923271j -0.496335-1.29075j -0.719675+0.146262j -1.15094-0.139275j -0.414572-1.88903j 1.60602-0.607395j 0.235089-0.879822j 1.46675-0.675647j -0.94052+1.45976j -0.605457-1.28462j 2.03281+1.83654j 1.36348+1.00391j 0.488371+1.20905j 0.539109+0.549028j -1.31454-0.732604j 
-1.03311+1.39874j -0.182831+0.224252j 1.21472-1.65917j 1.94122+0.436879j -0.906363+0.489831j 0.939963+0.850584j 0.349838-1.61395j -0.869713-0.931328j -1.3056+0.816592j -0.839845-0.38182j -0.0524706+0.949915j 0.70471+2.08703j 1.60257-1.06834j -0.155484+0.287026j 1.46296-1.5287j -0.9495-1.35495j -0.0664816+0.269799j 1.46454+1.18924j -1.36772+1.38872j 0.983942+0.293218j -0.634799+0.824904j -1.1123-0.216336j 1.30455+0.0986396j -1.14332-0.210559j -0.584634-1.18924j -0.0771841+0.289534j 0.192641-0.0866368j 0.14809+1.27852j 0.238334-0.328494j 1.88935-0.813608j -0.500624-0.487933j -1.0761+0.572994j 0.708202-0.787901j 2.03956+1.20856j -0.848608+1.56519j -0.301715-0.642996j 0.796512-1.95872j 1.74791-0.894079j -0.424402+0.93912j 0.224171-0.387253j 0.0209093-0.302082j -1.38057+2.42681j -0.0356404+0.905615j -1.38896+0.846331j -1.82656-0.793829j 0.140348-0.856324j -0.423405-0.582669j 0.413802+2.21648j 1.61678-1.00282j 0.709404+0.254576j -0.0993807-0.0254136j -0.324267-1.4667j 1.04188+0.335487j -0.921466-0.565941j -1.31427+0.996249j -0.777451-0.646581j 0.326732-0.366111j -0.683939-0.309172j 1.02908+0.0791381j 0.0303705+0.282844j -0.0415445+0.246418j -0.47939-0.233055j 1.01639-0.314409j -0.664214+0.276527j -0.387148+1.13537j -0.33663-0.257984j 1.05724+1.00238j -0.375237+0.17224j -0.324779+0.205431j 0.143007+0.378105j -1.20045-0.366543j 0.840406+0.134666j -0.415854+0.131223j 0.118393-1.00036j 1.57007+0.846293j -0.482837-0.436282j 0.126514+0.16809j 0.153723+0.557409j 0.0535844-0.754646j 0.952837-0.8031j -0.338953+1.7614j 1.19249-0.400405j 1.24081+0.0642088j 1.52153+0.149063j 0.736551-0.804795j 0.783532+0.667911j 0.938111+1.07968j 0.808006+0.156618j -0.327135-2.41903j 0.121422+0.778061j -0.538423+1.30086j -0.341617+1.46207j -0.464176-0.469631j -0.493381-1.34613j -0.0650834-1.25862j 
0.586851-2.05279j 1.95151+0.671516j 0.47568-1.37421j -0.46447-0.196124j -0.154811+0.97275j 2.33778+0.295244j 0.349114-1.96495j 0.542136+1.07787j -0.615827+0.531548j -0.793768+1.18722j 1.31865-0.347069j -0.395753+0.515003j -0.00413232+1.93256j 0.55998-1.05739j -0.69898+0.654783j 1.03846-1.33056j -1.41005-1.19615j 0.603027-0.911132j -0.101611-0.354067j -0.346407-0.48532j 1.33665-0.198761j 0.614169+0.932078j -0.607519-0.337113j -0.840835-0.230364j -0.1645+1.28857j 0.654188+1.60947j 0.949953+0.62028j 1.68754-0.28378j -0.368991-1.10877j -0.724593+0.293724j 0.9833-0.0876843j 0.229852-0.288753j 0.772098+1.00692j 0.655228+0.125065j -1.05114+1.16422j 0.993152-0.322756j 0.761613+0.171944j 2.05369-1.52493j 2.51765+0.0135181j 1.87474+1.58108j -0.365755-2.63998j 0.955501-0.330702j -0.877385-0.52153j 0.233508-0.616131j -0.229474-0.52976j 0.559599-0.338932j 0.197455+0.831658j -0.787555-0.539304j -0.369571-0.252063j 0.119878+1.55033j -0.211421-0.815914j 0.262909+0.035571j -0.272419+0.320607j 0.788468-0.37981j 0.133974-0.579373j -0.203018+0.0181222j 2.54301+0.251558j 0.489133-0.178318j -0.622931-0.59459j -0.460989+0.292629j 0.556026+0.738851j -0.35189+1.62203j 0.507473+0.765169j 0.523457-0.42271j -0.318999-0.0554447j 1.32397-0.378239j -0.42217+0.391947j 0.12462-0.873848j 0.538104+0.181683j -1.28187-1.9492j 0.290685+0.824937j -0.0207418+0.113717j -1.68673+1.11468j 0.503481-0.103907j -0.445941+0.325075j -2.85616+0.218738j -0.864496+1.48703j -0.18025-0.0408177j 0.0634003+2.9144j 0.399092+0.354175j 0.311335+0.0132554j -1.05146+0.00354806j 1.45413-0.16425j -0.204233-0.206181j -0.33043+0.454259j -0.840862+1.37965j 0.0439737+0.829896j 0.338633-0.515691j 0.388864+0.97216j 1.62802-0.0826982j 0.141356+1.85595j 0.575283+1.03538j -0.70549+0.688481j 0.152941-0.291828j 0.446319-0.353349j 
-2.29189+0.199902j -0.0287-2.19424j -1.53595-0.0423099j 0.0933914+0.510763j 0.948972-0.245997j -0.505754-2.39692j -1.94887+0.308471j 0.782253-1.05681j 0.768002+0.543472j 1.51168+0.327141j -0.588306-1.15947j 0.631767+0.295628j 1.89585-0.623037j -1.27722-0.152879j 0.90476+0.44266j 0.486136-1.93802j -1.87741-0.649198j 0.671677-0.953523j -0.351962-0.0806254j -0.576694-0.228414j 1.11371-0.248429j 0.709264+0.895231j -0.500765+0.00607268j -1.16965+0.0109387j -0.306735+1.25713j 0.869378+1.83357j 0.985517+0.826537j 1.68429+0.0835628j -0.293803-1.42234j -0.629035+0.192626j 0.954696-0.114631j 0.211749-0.234264j 0.499684+1.29992j 0.716349+0.322827j -1.50553+1.03802j 1.01115-0.101374j 0.725101+0.151047j 2.46449+1.38614j -1.91994-0.0874427j -1.2142+2.63878j 0.206768+1.7455j 0.439405+1.20431j 0.721736+0.243073j 0.6131+0.169011j 0.534618-0.665408j -0.445843+0.345336j -0.286793+0.289046j 0.675501-1.44651j 0.33393-0.511005j -0.307572-0.548521j 0.0300174+0.329617j 0.185082-0.157247j -0.758889-1.05436j 1.5193+1.56631j 1.14269+0.314187j -0.0760384-1.05784j -0.872846+0.458726j -0.321419+0.149551j 1.13536-1.02199j -0.586374-0.54334j -0.185566+0.0697589j -0.241029-0.105421j -1.0636+0.0502672j 0.795624+0.144436j 0.374748-0.87405j -0.0188364+0.585736j 0.0672302-2.2665j 0.286483-0.0417315j -2.1072-0.136354j 0.880567-0.328719j -2.48759-1.30963j -1.14736+0.880562j -0.130012-0.608706j -1.28815+1.29978j 0.750516-1.42287j 0.0105423-1.46502j -0.656964-0.385319j 0.147727+0.198734j -1.31001-0.115438j -1.34295-0.67844j -0.267975-0.0583346j -0.782856-0.0822189j -1.02498+1.0599j 0.723082-0.0366239j -0.0593601-0.0299131j -0.378594-0.117024j -1.18196-0.945055j 0.57228+0.0106203j 0.575682-1.17697j -0.409412+1.72228j -0.552596+0.450332j -1.47873+0.488845j -0.212345-0.290849j 0.663148+0.0985043j 0.246703+0.093103j 
-0.252248+0.339655j -0.432992+0.44524j 0.92947-0.235374j -0.623729-0.164279j 0.407994+0.108985j 1.21767-0.889503j 0.216413+0.595665j -0.294861-1.15635j 1.78421-0.18531j -0.251144-0.16853j -0.510302-0.140077j 0.134625-0.955795j 1.12888+1.82114j 2.18122+0.589176j 0.924243-1.74494j -0.162563+0.434183j 0.298847-0.487339j 0.862263-0.637896j -0.438166+0.115214j -0.613299+0.0700695j 0.996027-1.08537j -0.181791-0.207571j 0.603123+0.461262j 0.714866+1.10272j 1.32611-1.06412j -0.6336+0.108731j 0.0374915+0.764084j 0.212969+0.0700915j 0.823428-0.795367j 0.674663-0.105701j -2.05437-0.468723j 0.41104-0.377648j 0.276416-1.7249j -0.748646+0.178992j -0.343025+2.28324j 2.24729+1.3011j -1.49829+1.89861j 0.120416+0.150576j -0.133687+0.0231438j -0.0945666+0.499562j 0.260714-0.0173503j 1.03904-0.252583j -0.533291-0.540412j -0.449711-0.518207j -0.264547-0.255203j 0.0491843-0.576824j -0.0740936+0.402572j -0.349486+0.541456j -1.00049+0.751522j 0.315245-0.0512025j -1.25609-0.293267j -0.336286-0.823263j 0.562197-0.839626j 0.0328117-0.53859j -1.24194+0.556458j 0.42837+0.307065j -0.53787-0.512549j -1.19556-0.533666j -0.0351488-0.838669j 0.108178-0.789285j 0.136814-0.54436j -0.668819+0.184849j -0.846518+0.589773j -0.426542+0.286301j -0.0604308-0.0214349j 0.0389106+0.098517j 0.471052-0.598487j -0.0308013-0.103577j -0.0272433+0.6534j 0.853723-0.206058j 0.631045+0.0906857j 0.41939+0.142753j -0.804412+0.490897j -0.455843+0.726255j 0.178607+0.400264j 0.403933+0.751767j 0.109026+0.654889j -1.19184+0.596298j -0.50749-0.60701j -0.741237-0.662032j -0.00935917-0.127727j -0.0531548-1.48717j -0.322936-0.0256302j -0.113909+0.594183j -0.19931-0.21564j 0.542668-0.762783j 0.704464-0.0931879j -0.366008+0.459355j -0.699402-0.113862j -0.3598-0.459725j 0.817132-0.320209j 0.640333+0.830997j -0.826575+1.29048j 1.41645-1.20525j 1.86912+1.39319j 
0.229161+0.0215615j 0.433418+0.468695j -0.335295-0.915558j -0.261592+0.805041j 0.286612-0.850389j -0.983492-1.04334j 0.634317-0.490707j -1.566+0.200074j -0.920947-2.62272j -0.694945+0.368991j -0.526592+0.610527j -1.76667+0.406194j 2.66223-1.89581j 0.218255-3.323j -2.10913-0.937024j -0.451707-0.068042j 0.323503-0.129175j 0.830075+0.0889617j -0.509102+0.20425j -0.170531-0.0023165j 0.883566-0.182751j -0.174943-0.101748j 0.104506+0.38111j 0.339382+0.691082j 0.478652-0.44129j -0.306161+0.73383j 0.0385946+0.0929339j 0.263638-0.0357751j 0.397615+0.178093j 0.28809-0.7474j 0.185523-0.487518j 0.022996-0.0807311j 0.0165794-0.428808j 0.676173-0.408331j 0.266751+0.0648163j 0.153571+0.307167j -1.24887-0.0664858j -0.204246-0.215621j 0.389307-0.179246j -0.43642-0.000953913j -0.554358+0.0222313j 0.666389+0.847884j 0.422069+0.853426j 0.372788-0.179132j -0.13458-0.284832j -0.800708+0.727644j 0.330861-0.162114j -0.0652616-0.124118j -1.09456-0.890493j -0.608232-0.386369j 0.592261+1.01736j 0.885554-0.430556j -0.830625+0.222061j -0.25769-0.0796977j -0.447361-1.16032j -0.304432+0.0632845j 0.102252+0.692249j -0.283138+1.34826j 0.385864+0.543375j 1.13641+0.380877j -0.687738-0.0140195j 0.253395+0.881092j 0.631468+0.16645j 0.691865+0.0885145j 0.130397-0.14381j 0.0664209-0.2274j 0.397611+0.749144j 0.00382109+0.397873j -0.590716-0.522476j -0.0520022-0.345421j -0.881433+1.3692j -1.3597+0.637895j 0.479773+0.572262j -0.278516-1.3447j -0.790504-0.227744j 0.186062-0.376435j 0.684438-0.466179j 0.410697+0.764223j -0.0638474+0.58376j 1.84977+0.507877j 0.348689+0.786277j -0.498806+0.21776j 1.47169+0.755618j -0.438187-0.643844j 0.113363-0.0783605j -0.292179-0.844608j -1.30644+0.414205j -0.118786-0.101748j -0.0472722-0.456006j -0.719068+0.773685j 1.54309+0.138043j -1.51495-1.72432j 0.157615+1.66341j -1.45953+1.96823j 0.299914-0.0785742j 
