-0.00931695-0j -0.00665635-0j -0.000960761-0j -0.00388287-0j -0.000686401-0j -5.72001e-05-0j -0.00384305-0j -0.000679361-0j -5.66134e-05-0j 
0.00122762-0j -0.0833199-0j 0.000126591-0j -0.0731607-0j -0.00859192-0j 7.53677e-06-0j -0.0724103-0j -0.0085038-0j 7.45947e-06-0j 
-0.0706653-0j 0.00107416-0j -0.014729-0j 0.000626596-0j -0.00520607-0j -0.00131998-0j 0.000620169-0j -0.00515268-0j -0.00130644-0j 
0.00721224-0j 0.0209396-0j 0.00150327-0j -6.39516e-05-0j -0.101486-0j 0.00013472-0j -6.32957e-05-0j -0.100446-0j 0.000133338-0j 
0.0168332-0j -0.000126591-0j -0.080707-0j 0.0105598-0j 0.00124014-0j -0.0147261-0j 0.0104515-0j 0.00122742-0j -0.014575-0j 
-0.00258608-0j -0.00122742-0j 0.0252447-0j 7.53677e-06-0j 0.0180996-0j -0.0691156-0j 7.45947e-06-0j 0.017914-0j -0.0684067-0j 
0.00019728-0j -5.89723e-07-0j -0.00388152-0j -3.44005e-07-0j 1.45341e-05-0j 0.0329297-0j -3.40477e-07-0j 1.4385e-05-0j 0.032592-0j 
