-0.0137899-0.00155599j -0.0511382+0.0315281j 0.0541364-0.0966909j 0.101231-0.0042049j -0.0484383+0.0783047j 0.0725134-0.0679782j 0.0965306+0.0410806j 0.0444204+0.0554624j -0.0745571-0.016402j -0.0916012-0.0319225j -0.0350023-0.0271423j 0.162719-0.00535329j 0.0630219+0.0619272j 0.0106736+0.00333306j 0.0708349-0.144496j -0.099199-0.0118252j -0.0251747-0.0967391j -0.0435334-0.148717j -0.0228728+0.0680807j -0.0934579-0.121776j 0.0084244-0.188233j -0.0141956+0.127926j -0.00937455+0.0620201j -0.003384+0.0971136j -0.0253409+0.0158318j 0.0709525+0.162023j -0.0893115+0.0754296j -0.0361467+0.0298687j 0.065962+0.218329j -0.0100721+0.0566887j 0.0270601+0.0232703j 0.133332-0.0329586j 0.0572015-0.0867356j 0.0643826-0.00281975j -0.0427136+0.0399619j -0.0303699-0.0680333j -0.0498327+0.0630532j 0.133718-0.0291779j -0.114171+0.0777904j 0.0537452-0.0323351j -0.079072+0.0691884j 0.000727771-0.0599269j -0.0712019+0.0947627j -0.0204518-0.0766035j 0.138474+0.0102785j 0.0682638-0.0443573j -0.0802692+0.00732489j 0.0589678-0.000648394j 0.141161-0.0501566j 0.0844662-0.00689731j 0.148238+0.0235974j -0.0566502-0.0535478j 0.0485321+0.0331061j -0.250526-0.0697281j -0.06795+0.0212054j -0.0412498+0.0897537j 0.0683912+0.0775822j 0.0127174+0.079546j -0.0430277+0.013915j -0.0289608+0.0314567j 0.0309908-0.00146286j 0.0150351+0.0212577j -0.00525386+0.0156365j -0.019872+0.00936041j 0.00698752+0.0173927j 0.00511912+0.0173284j 0.0116935+0.00950614j -0.00971711+0.0143546j -0.00194408-0.00275124j 
-0.014558+0.0663813j 0.00644908+0.0153087j 0.0209173-0.0233168j -0.102452+0.0727301j 0.00131837-0.0284375j 0.0340567+0.0191219j 0.0531258-0.00372028j -0.00101691+0.00511632j -0.018018+0.0299478j -0.0366686-0.010759j -0.0710073+0.0890433j 0.0174266+0.00913184j -0.118885+0.063239j -0.127328-0.054359j -0.050722+0.1675j 0.0366988-0.0100786j -0.00425074+0.047781j -0.0556349+0.0041145j -0.00700503+0.049073j -0.0230663-0.0580043j 0.0305884+0.00674538j -0.0349445+0.0210865j 0.00237329+0.108722j -0.0242046+0.0508493j -0.0776297+0.0953087j -0.0178663-0.0490354j -0.00385818+0.0105435j -0.0121332+0.0994759j 0.00619606+0.0780887j 0.0194512-0.00443074j 0.0108998-0.0425827j 0.0195197+0.0452596j -0.0917888+0.0275277j 0.0305136-0.0907173j -0.131831+0.0390148j 0.0496731+0.00718935j 0.0378112+0.0652245j -0.0660117-0.0351258j 0.00400538-0.0531274j -0.0238154+0.101206j 0.0968851+0.136551j -0.0409001-0.0866965j -0.00494055-0.00185028j 0.0720313+0.109796j 0.0461534-0.0162273j -0.0282825-0.0637133j 0.0283154+0.0772475j -0.0839944-0.113914j 0.0842822+0.0472824j -0.119568-0.100652j 0.0215685+0.0682939j -0.0279845+0.0303194j 0.0560491+0.0326134j -0.0543563-0.0117991j -0.232406+0.00525482j 0.000405115-0.0592585j -0.132541+0.0386292j 0.0453529-0.0562332j 0.142449+0.0111606j 0.00577775-0.0306252j 0.115222-0.145916j -0.0382534-0.116295j -0.0792115+0.147214j 0.00361948-0.161731j 0.0179968-0.0227624j -0.20912-0.114091j -0.153568-0.0666844j 0.0620913-0.109325j -0.0110632+0.000682799j 
0.00959922+0.143117j 0.0226416-0.121276j -0.0102013-0.0337183j -0.0485417+0.00905923j -0.163318+0.133033j 0.0205055+0.0491284j -0.0338037+0.0317626j -0.165169-0.124403j -0.0079524+0.00391402j -0.0897025-0.0270437j 0.0649938+0.0346844j 0.0474732+0.14591j 0.029677-0.0763442j 0.04382+0.0634092j 0.0630608+0.0465311j 7.87067e-05+0.00805932j -0.11185+0.0202953j -0.0347017-0.00138744j 0.07279-0.105702j 0.0510825+0.0683086j 0.0107188+0.0389301j -0.0343554-0.022063j 0.0256788-0.0218395j -0.00479295+0.0491357j 0.0649073+0.0302956j 0.0306431+0.0880458j -0.0666899+0.047489j 0.106423-0.0287545j -0.00855277+0.0867167j -0.00318213-0.042463j -0.0607542+0.0963456j -0.0870372-0.0779677j -0.115612+0.0535757j -0.00393714+0.0597796j -0.0926925+0.0506787j 0.14042+0.00692761j 0.179777+0.160539j 0.0657592+0.0323694j 0.115963+0.0443725j 0.00499364+0.0268691j -0.042139-0.00202751j 0.0273565-0.0440549j 0.0305862-0.051407j 0.0327759-0.0676302j 0.059414+0.0356838j 0.0129493-0.0196969j 0.00350199+0.0483552j 0.0465142-0.0625447j -0.0626245+0.00269633j 0.0524172+0.0836755j -0.0252161-0.0077049j -0.00348475-0.0594732j -0.0985917+0.0372207j -0.104774+0.121522j 0.0146442-0.00740535j 0.0847692-0.120551j -0.0982058-0.169077j -0.165676+0.206321j -0.0865826-0.116676j -0.0798116-0.0454208j 0.0999492+0.0020969j -0.0240146-0.0135177j 0.0249525+0.0428567j 0.00174022-0.0194594j -0.0129766-0.00735872j 0.0790366-0.0288404j -0.104215+0.0321174j -0.0438476-0.0555664j 0.0350346-0.000756555j 
-0.0107326+0.161746j -0.000459285+0.0141915j -0.0475696-0.0699368j -0.0507841-0.0763106j 0.147812-0.261729j 0.131543-0.105584j -0.10406-0.00925315j 0.155502+0.264582j -0.100826-0.0490247j 0.00335383+0.126726j 0.0188738-0.00653177j 0.0362137-0.00817411j 0.0582712-0.0766629j -0.156987-0.0362267j 0.00385593+0.0329073j -0.0428356-0.0290985j -0.014798-0.0997657j 0.0555022-0.0317371j 0.00753558+0.0181141j 0.122515+0.147631j -0.0240942+0.0798267j -0.0190034+0.102462j 0.171682+0.0919135j 0.0651353-0.152213j -0.0100681+0.0705552j 0.00555233-0.0123458j -0.14536+0.0753871j -0.0111601-0.126938j -0.0324144+0.113496j 0.0203197-0.0878471j 0.151033-0.0306174j -0.0259583-0.0724956j -0.129658+0.0440457j -0.0447801-0.0464152j 0.00741291-0.00873099j -0.00286565+0.00394008j 0.0699175+0.0212262j 0.0159002+0.0243695j 0.0208493-0.0286486j 0.00185639-0.0178846j -0.0531038-0.00144001j 0.0100703-0.0104741j -0.0685533+0.0103807j -0.0567209-0.0265593j 0.0399776+0.0643194j -0.267641+0.0254718j -0.100004-0.0229115j 0.0680521+0.0190044j 0.00802688+0.0441486j -0.0547664+0.00994517j -0.0300815+0.00357276j 0.0389704-0.0221899j -0.0136187+0.000141863j -0.0331664+0.00146719j 0.0349315+0.00838028j -0.00172094-0.0359791j 0.0103374-0.0243385j -0.0191354+0.0416634j -0.0209064-0.0225956j -0.0140326-0.000515767j 0.00633562+0.00853141j -0.000213492+0.00495683j 0.00343843-0.00115674j 0.00704324+0.00442222j -0.00526762+0.00329034j 0.0184771-0.00206968j -0.00836412+0.00340241j -0.00656461-0.00346786j 0.00450687+0.00156101j 
0.00998281+0.126645j 0.00360763+0.0584622j -0.0406512-0.00840648j -0.0240989+0.0248463j -0.0433466+0.0462705j -0.0539732-0.0017381j -0.0521995+0.018818j -0.0641977-0.0364722j -0.115374-0.0574481j -0.03215+0.0285603j -0.0473531-0.114949j 0.0970752+0.0161322j 0.0284622+0.100309j -0.106084-0.0379455j -0.0397261+0.0377078j -0.0637461-0.024874j 0.0576157+0.164628j -0.0714028-0.00252257j -0.0183067+0.0591281j 0.0404669+0.0485946j 0.00379809+0.0149793j -0.0263069+0.00971658j -0.0317521-0.0580057j -0.0467865-0.0473552j -0.107262-0.0158839j -0.0320029-0.0433762j 0.0413961-0.021589j 0.0138422+0.0339257j -0.00333089+0.113052j 0.0762497+0.0439442j 0.00595045-0.0219669j 0.0705016-0.00361996j -0.0998331+0.0825066j -0.11828-0.0336923j 0.0809252-0.012216j 0.176787-0.0562297j -0.139064+0.0281792j -0.0509028+0.0714726j -0.125621+0.0473751j 0.0563884+0.0505146j 0.0160172-0.0526867j -0.0603278+0.0611378j 0.0696151+0.0370375j -0.163537+0.21622j -0.0753543+0.12431j -0.0118029-0.0700716j 0.0225246+0.141767j -0.0419867-0.101722j 0.00505408-0.048662j -0.00927124-0.124292j 0.0377725-0.0487784j -0.0438161-0.0650645j 0.0416945+0.090698j -0.000951252-0.06876j -0.0261928+0.116203j -0.0298432+0.0492657j -0.215685-0.0910634j -0.0361391+0.0159861j 0.00264004-0.000377773j 0.0700351-0.0184387j 0.0118664+0.0239184j 0.0253644+0.0779j 0.136369-0.116416j -0.0205828+0.113662j 0.0160068+0.0184245j 0.161446+0.0777848j 0.0494843+0.0609635j -0.0354043+0.0639078j 0.00713349-0.0127065j 
-0.00690858+0.0209193j -0.0200507-0.0640725j 0.0123671+0.0102895j -0.0158329-0.160853j -0.0364586+0.00428142j 0.00849536+0.0637663j -0.0130607+0.0957316j -0.026006-0.0034228j -0.00904063+0.0924232j -0.0177359-0.0275759j 0.0314419+0.00325211j -0.060595-0.0928873j -0.0111741+0.0447613j -0.00942067-0.0373114j -0.0270498+0.0167257j -0.108731+0.0293435j 0.0199711-0.0202233j 0.0275183+0.00335804j -0.061058+0.0127447j 0.0137416+0.0345044j -0.125025+0.0185354j -0.0316363-0.00280752j -0.0264949-0.00780847j -0.0520444+0.0158124j -0.0737891+0.0372823j 0.0219876+0.0532584j -0.00286297+0.0073031j -0.0320272-0.00659624j 0.0132593+0.0256853j 0.037041+0.0664124j -0.0172602-0.0267205j -0.0596142+0.12641j 0.00255478-0.0393518j -0.0253171-0.00664437j -0.114318-0.138541j -0.177802+0.116414j 0.0513869-0.057622j 0.00974619+0.028391j -0.0752124-0.00711237j -0.0621033+0.00611785j 0.0368064+0.0271742j 0.0789388+0.0160632j -0.023011-0.00676624j -0.00134226-0.0218733j -0.0335477+0.0114626j -0.0144516+0.00863435j 0.0157624-0.0232403j -0.0349375+0.036061j 0.0786808-0.0367627j -0.00129119-0.00154627j -0.032085-0.0266158j 0.0172593-0.0706532j 0.0119693+0.13413j 0.00641822+0.0757367j 0.0171523+0.0501037j 0.0356891-0.0939071j -0.0672274+0.0646728j -0.0820158+0.0863537j -0.227251-0.132251j 0.0582739-0.0792697j 0.0240326-0.162391j -0.00846571-0.014076j 0.174604-0.0254191j 0.0233414-0.00301966j 0.0158779+0.0685581j -0.0553516+0.121963j -0.0476594-0.17539j 0.160074+0.18633j -0.255072+0.118831j 
-0.0112098-0.017908j -0.03752+0.0429295j -0.108789+0.0256075j 0.0355287-0.0532182j -0.0456362+0.0010743j 0.0651582+0.0552955j -0.0472879+0.0196683j 0.0049451+0.0111878j 0.0633003+0.0777214j -0.0213835-0.0268425j -0.0190478+0.00771999j -0.0524692+0.0519031j 0.104907-0.119757j 0.0155864+0.016543j -0.0269233-0.0602148j 0.000939969+0.00371954j 0.00828077+0.0644837j 0.0718971+0.00033149j -0.0920399+0.100276j -0.00976255+0.00277626j 0.0380373+0.0755575j -0.119129+0.0732281j 0.0948814-0.0459992j 0.0158098+0.0159582j -0.0791733+0.073434j 0.0558561-0.0226219j 0.0959681-0.0351967j 0.0104617+0.0495236j 0.0293121+0.0476168j -0.0731673-0.0532118j -0.0821556+0.0287324j -0.00324077+0.0551965j 0.0131344-0.0686289j 0.0363904+0.0389229j 0.000499058+0.128197j 0.0516352+0.02322j 0.0639145+0.0785193j -0.000611388+0.0486745j -0.0969584-0.237715j -0.0127976-0.0750404j 0.14613+0.0624556j 0.0996073+0.0741375j -0.0453507-0.0266089j -0.020127-0.0610819j -0.00463708-0.0340987j 0.0128278-0.0328459j -0.0148564+0.0332674j -0.00637776+0.0211888j -0.0106155-0.0883677j 0.0411135+0.0366806j -0.0741989-0.0531814j 0.0746512-0.184286j 0.00122687+0.046194j -0.110927+0.000153238j 0.0102495+0.100385j 0.00172974-0.0232895j -0.0183153+0.0485653j 0.0739438-0.111593j 0.0948131-0.0137166j -0.0278833+0.0269257j -0.0624192+0.0961506j 0.0745077-0.095817j 0.147625-0.0699759j 0.293742+0.111493j -0.0464905+0.179666j -0.0824114-0.092175j -0.0186161+0.0054805j -0.0369635-0.075437j 0.0773378-0.0307467j 
-0.0189028-0.00431816j -0.0738614-0.0401544j 0.0399196-0.114608j -0.0201282+0.112275j 0.0268294-0.0103916j -0.0980124-0.025134j 0.035338-0.0653421j -0.0079731-0.022807j -0.0871132-0.0456536j 0.0191892-0.013901j 0.0034487-0.0349484j -0.037002+0.0171099j 0.00908427-0.0663395j -0.0672341-0.00111867j -0.00840544-0.00504794j -0.0445656+0.139758j -0.06703-0.0467185j 0.164013+0.0514248j -0.0762227+0.0168491j 0.0202134+0.00150867j 0.00931494+0.0905298j 0.0550911+0.0456829j -0.0845141-0.0446394j 0.041943+0.0424013j 0.00188554+0.0493427j 0.106925+0.0886778j 0.0290595-0.0197521j 0.0466307+0.00789553j -0.0101595-0.0347732j -0.00537428+0.0403459j -0.0640314-0.0192938j 0.0432161+0.0833261j 0.0223039+0.0109785j -0.0661388-0.0883194j -0.0434042-0.0220692j -0.0198424+0.00982333j 0.111654+0.146241j -0.0817113-0.115367j -0.114767-0.0766205j 0.0604716-0.0671626j 0.100656-0.0796463j 0.0848152+0.182581j -0.00425338+0.0354709j -0.0185588+0.0249424j 0.0272317+0.0971482j -0.00584614+0.0169207j 0.0146872-0.0358353j 0.0141188+0.0821502j -0.0199737-0.0205047j 0.0922725-0.0845236j -0.196699+0.0695271j 0.112908-0.0548547j -0.0273172+0.206374j -0.140391+0.0897673j 0.0437154-0.0927948j 0.0141786+0.071904j -0.0530358+0.0367961j 0.0846694-0.0621617j 0.0713807+0.0198242j 0.0203084+0.0264218j 0.058039-0.0465846j -0.0572086+0.169035j -0.158934+0.0715365j -0.214653-0.0324855j 0.0296048-0.0887577j 0.0555608+0.0335857j 0.0314222+0.0269148j -0.00637473-0.010027j 0.0130339-0.00604573j 
-0.000862797-0.000233469j 0.00933158+0.0115631j -0.00413215+0.00406298j -0.00907096+0.00223376j 0.00469363-0.0113315j 0.0152104+0.00990278j 0.00390655+0.00223592j 0.00523098-0.000210158j 0.0133784+0.0190915j 0.00423962-0.00218045j -0.00499954+0.0135748j 0.0118817+0.00395913j -0.0238381+0.00640591j -0.00932924-0.00998399j -0.0144375+0.0116171j 0.0128798+0.00253488j -0.00574604+0.00244314j 0.00445556+0.0174376j -0.000525053+0.0207697j -0.00822059-0.0142275j 0.00116999+0.00474018j 0.000629338-0.00523352j -0.0055501+0.0276734j -0.00661312+0.0103086j -0.0174374-0.000221042j -0.0074644-0.0160733j 0.00757391+0.0120529j -0.00594546+0.0286912j 0.00201984+0.00835076j 0.000725313-0.0131957j 0.0134982+0.000471535j -0.00112499+0.0218469j 0.00205086+0.00223402j -0.0116785-0.0211976j -0.0157023-0.0144822j -0.00665056-0.0109006j 0.0149475-0.00895743j 0.00629473-0.0153207j 0.00998672-0.0327943j 0.00792925+0.0100179j 0.0140649+0.0338132j 0.0197308-0.00754153j -0.00876883+0.00856128j 0.00925684+0.00643715j 0.0220377-0.00286357j 0.0138929-0.00605921j -0.0135535-0.0104474j -0.000303978-0.0105094j -0.0105767-0.0167961j -0.0237036-0.0132276j -0.0148658-0.000484755j 0.0201466+0.0116604j 0.00386182-0.0041462j 0.00029196-0.00268623j -0.014455+0.00674332j -0.00337303-0.0322233j 0.0159604+0.00591743j -0.000408691-0.0160539j -0.0181953-0.0214784j 0.0168108-0.0170785j 0.00516586+0.00206389j 0.0176107-0.0248885j -0.0120447-0.0177746j 0.0221199+0.0187722j 0.0180035+0.00913044j -0.00252972+0.0327552j -0.00570351+0.0159956j -0.0124478+0.0140366j -0.00430409+0.00726873j 
-0.00164186-0.00642159j -0.00946521+0.00427826j -0.00807556+0.00297468j 0.00795795-0.0293576j 0.00232258+0.00234147j 0.00532612+0.00838424j -0.0112929+0.0160437j 0.00529604+0.00235607j -0.000939964+0.0116427j -0.00404491-0.000693134j 0.00899691-0.0123686j -0.018578-0.014125j 0.00129661+0.0165419j 0.00153069-0.00700624j 0.00495135-0.0021349j -0.0267304+0.00644699j 0.0183051-0.00919649j -0.00661358+0.00195589j -0.0244558+0.0122635j 0.00137405+0.000383593j -0.0308898-0.0188272j -0.00631613+0.00796099j -0.00425448-0.0158355j -0.0163424-0.013057j -0.0222938-0.0114394j -0.00122996+0.00237712j 0.0107244-0.00798165j -0.0159445-0.0131559j 0.00372089-0.00166914j 0.0157602+0.0202073j -0.00322158-0.00120865j 0.0098946+5.02824e-05j -0.00118313-0.00264472j -0.0201392+0.00378382j -0.000533918-0.0310876j -0.0278625+0.0198994j -0.00425791-0.0252158j -0.0041975+0.0057207j -0.0424529-0.00466141j 0.0153865+0.0229667j 0.00850007+0.0184668j 0.018967-0.00453828j -0.0149312-0.00564252j -0.000392718-0.00777266j -0.0140176-0.00748055j -0.00996623+0.0107265j -0.00309439-0.00762808j -0.0455552-0.00123567j 0.000352909-0.000468047j 0.0112659-0.0243219j -0.0109435-0.00893019j 0.0084803-0.00713837j -0.000901191+0.00942356j -0.0077401+0.00909522j 0.0392818-0.00414318j -0.0070154-0.00150504j 0.00359824+0.00232496j -0.0232423+0.0222452j -0.0267689-0.00584891j -0.00451184+0.0027282j -0.0144898-0.039826j 0.0209664-0.0039345j 0.0227592+0.0311676j -0.002497+0.00321446j 0.0206117+0.0335337j 0.00169497+0.0026558j 0.00515671-0.032192j 0.0366749+0.0179981j -0.0317279+0.0115577j 
0.00409292-0.00322851j 0.000454453-0.00450079j -0.00456793-0.000607968j -0.00637703+0.000881432j 0.0115427-0.00311806j -0.00647464-0.00497085j -0.00456764+0.00101289j -0.00212171-0.0116708j -0.00552225+0.00192844j 0.0123264-0.00219087j -0.0050665+0.0012137j -0.00156715-0.017469j -0.00478968+0.00251802j 0.00561433-0.00486175j -0.00559572+0.00138893j -0.00562411-0.00330386j -0.00065552+0.000480465j 0.0191354+0.00596071j 0.0154909-0.00280025j 0.0113551+0.0142748j 0.00119285+0.00901996j 0.000285064+0.00479298j -0.00140953-0.00807943j 0.00474554+0.0111699j -0.00242199+0.0108007j -0.0109069+0.0128296j 0.00194511-0.00453891j 0.00357542-0.00277799j -0.00299979-0.00423744j -0.0124345+0.000612355j 0.0135227+0.000444448j 0.00328602+0.000860961j -0.00328899-0.0146758j 0.00721279+0.0192137j -0.00897483+0.0186937j -0.00496223+0.0124461j -0.00450486-0.00318859j -0.0172202+0.00623076j 0.0146386+0.0155044j -0.0356156-0.0112022j -0.0106804-0.0196955j -0.00357426+0.0132728j -0.00904009+0.0112257j 0.00871102+0.0140373j -0.00184297-0.000310133j -0.00283652-0.00613768j 0.00742804-0.0173131j 0.027015-0.0199428j 0.017182+0.00304441j 0.00739526+0.0143354j 0.0295794-0.00952889j -0.0138961-0.00614774j 0.000181164+0.0216754j 0.0056136+0.00727129j -0.0130564+0.0290569j -0.0247627+0.0114461j -0.00995531+0.00184822j 0.00348982+0.000319514j 0.0092809+0.000508137j -0.00280247+0.00222457j 0.000516394+0.00843578j -0.0218906+0.00752672j 0.0102066-0.0088632j -0.00730319-0.0179585j -0.0203863-0.0136109j -0.0171782-0.0231798j 0.00428453-0.013683j 0.0166672-0.00386855j -0.0101119-0.0019041j 
