-0.00694808-0.0038704j 4.87929e-05-0.0051518j 0.00515008-0.00110934j 0.000478055-0.010152j -0.00322295+0.0011723j 0.000931424+0.000636682j 0.00136075-0.0029196j -0.00198277+0.00978225j 0.00515902+0.0112199j -0.00338253+0.0020635j -0.00241232+0.00589832j -0.00879383+0.00505792j -0.00674659-0.00721976j -0.0071328+0.00125122j -0.00492801+0.0072105j 0.00726285-0.00850923j 0.00110452+1.97377e-06j -0.00945509+0.000853144j -0.00832599-0.00512796j -0.00573716-0.00789568j -0.00584693-0.000865679j 0.00846711-0.000654141j 0.0100292+0.00383406j -0.00470325+0.00016926j 0.00491115-0.00206209j 0.00375954-0.00478313j -0.00134044+0.00289183j -0.0137008+0.00398697j -0.00803159-0.00884218j -0.0012876-0.00280372j 0.00719151+0.00415485j -0.000813665-0.00357586j 0.00825194+0.0101934j -0.00490707+0.00705411j -0.000573522-0.00167545j -0.00426456+0.000907089j 0.00313487+0.0068737j -0.00150368+0.00367466j 0.00811544-0.0114814j 0.013051-0.00165473j 
-0.0143826+0.00938465j 0.0013898-0.00214616j -0.0109662-0.00867455j -0.0126101+0.00109222j 0.0029452+0.00129902j 0.00486663-0.000635007j -0.00140338+0.011625j 0.00416681-0.000484908j -0.00615553-0.00793555j 0.0086044-2.72902e-05j 0.00797689-0.00782853j 0.00278398-0.00201824j 0.00508355-0.00268375j 0.00345043+0.00558573j -0.00042003+0.00721658j -0.00144762+0.00494629j 0.00241013+0.00251156j 0.00200759+0.00291642j -0.00453025-0.00236719j -0.00116965-0.00303418j 0.000241712+0.000801775j -0.000387677-0.000286922j -0.0119515-0.00689847j 0.00647566+0.000416298j -0.0008359-0.00200506j -0.000269074-0.000505982j -0.00491729+0.00429005j -0.00396957-0.00439035j -0.00175601-0.00380409j 0.00158834-0.000594688j -0.000931507-0.00747557j 0.00169654+0.000442011j 0.000678911-0.00492967j 0.012899+0.00201293j -0.00293535+0.000822542j 0.00257297+0.00499948j 0.000195543-0.00555114j -0.000175286+0.0106528j -0.00429939-0.00734616j 0.00466213-0.0106197j 
0.00857082-0.00306728j -0.000396961+0.000670353j -0.00309975+0.00457851j 0.00320819+0.00701917j -0.00209904-0.0121884j -0.00187723-0.00379551j -0.00891702-0.00954967j -0.000732136-0.0109432j 0.00285964-0.00724938j -0.00915599+0.00202026j -0.00653898+0.00603867j 0.00691839+0.000211308j -0.000314887+0.00272533j -0.000789272-0.00330895j 0.00613545-0.008843j -0.0028179-0.00777427j -0.00165914-0.00301798j 0.00118721+0.00280922j 0.00265989-0.00328726j -0.00323639-0.00050573j 0.000694938-0.000872974j -0.00237282-0.00239751j 0.00849705+0.001178j -0.00547535-0.000126027j 0.00260126+0.00209273j -0.00194498+0.000544709j 0.00590331-0.00579772j -0.000123374+0.00575044j -0.00504972-0.00411947j -0.00287586+0.00107554j 0.000630529+0.002922j -0.00184189-0.000864719j 0.00505534+0.000748011j -0.00369893-0.00127305j 0.00263133-0.00132425j 0.00120934+0.00091355j 0.00259774+0.00702873j 0.00393406-0.00208038j 0.000486939-0.0038769j 0.000632664-0.0037025j 
-0.008303+0.00118352j 0.00082304-0.00201882j -0.00294116+0.00433996j 0.00107755-0.00121812j -0.00131915-0.0123869j -0.00063209-0.00389115j -0.00838708-0.00985196j -0.00460017-0.00101909j 0.00506317-0.000289425j -0.00524084+0.000544045j -0.012049+0.0130187j -0.00367064+0.00481069j -2.12129e-05-0.0114786j -0.0155714+0.0104072j 0.00835099+0.0135245j 0.00428867+0.0133736j 0.00150575+0.00791265j 0.00252585+0.00482003j -0.00451964+0.00153593j 0.00264536-0.00123895j -0.00384435-0.00910253j 0.00480405-0.000977068j -0.0160977-0.0100012j 0.0190266+0.0010579j 0.00746814-0.00533334j 0.00106654-0.00684368j -0.00903596+0.00998521j 0.000553374-0.0086206j 0.00322684+0.000342078j -0.000971921-0.000891169j -0.00147151-0.00526112j 0.00698374-0.00190128j -0.00177621-0.00628352j 0.0086075+0.00341292j -0.00447036+0.00596887j 0.00821764+0.00434087j -0.00119976-0.00313493j -0.000452298+0.00905668j -0.00223409+6.73283e-06j 0.00192627-0.00369007j 
0.0127551-0.000446209j 0.00103287+0.00702229j -0.00462496-0.00135979j 0.000380829+0.00934786j 0.00554896-0.00233845j -0.00747554+0.00158734j -0.0014051-0.0112271j -0.000322711-0.00143196j 0.00687542+0.000575841j -0.00615444-0.00693396j -0.00233788-0.00135658j 0.00363444-0.00803025j -0.00311977+0.0122613j 0.00747245+0.0128855j -0.00166781+0.00434634j -0.0052506-0.00759529j -0.00759654+0.000851235j -0.00145854-0.0135471j -0.000586437-0.0118627j -0.00203062-0.009514j 0.00231447+0.00474074j -0.010227-0.00429413j -0.0113792+0.0018808j -0.00510427+0.00112391j -0.00208182+0.0072898j -0.003182+0.00471456j 0.00513509-0.0096074j -0.00909733-0.00576157j -0.00279953-0.0182522j -0.000878147-0.000383545j -0.00315822-0.00257574j 0.00094618-0.000428657j 0.00555856+0.00336672j 0.006999-0.00190978j 0.00211805-0.00354489j 0.00043055+0.00663238j -0.00325144+0.00700496j -0.000163985+0.0105524j 0.00750899-0.0106585j 0.0133056-0.00418309j 
0.00510573+0.00016484j -0.000508498+0.00262914j 0.00664905+0.000970717j -0.000111795-0.000522205j -0.000763065-0.00171271j -0.00303045-0.00165106j -0.00162764-0.00504728j -0.000384039-0.000178965j -0.000670944-0.00400954j -0.00259549+0.00250846j -0.00741821+0.00878002j -0.000992059+0.0100639j 0.00650413-0.0139213j -0.00796473-0.0120462j 0.00779953-0.000739806j 0.0134678-0.00182224j 0.00442804-0.000378425j -0.00517731+0.0102685j -0.00211142-0.00343611j -0.000604764-0.00614794j -0.0040108-0.00540448j 0.0125698+0.00635665j 0.0120794+0.0072281j -0.00128248-0.00361699j 0.00413284-0.00266198j 0.00867306-0.00411895j -0.00197003+0.0105694j -0.0122477+0.000866581j -0.00194552-0.00583254j 0.0016677-0.00451436j 0.00196139+0.00488928j 0.00016738-0.00333742j -0.00206577+0.0114072j -0.00286863+0.000988251j -0.00191423-0.000133304j -0.0034363-0.00119558j -0.0021384+0.00268377j 0.00276254+0.00324407j 0.00551935-0.00367036j 0.00536685-0.00166213j 
-0.00199868+0.00290301j -0.000531121-0.00372436j -0.000742969-0.00378939j -0.00644594-0.0023166j -0.00537419+0.00361629j 0.00622095-0.00146886j -7.97338e-05+0.0143862j 0.00658048-0.00179946j -0.00581715-0.00844932j 0.00468427+0.00103058j 0.00989943-0.00303941j 0.00506005-7.98458e-05j 0.00861734+0.00228331j 0.00873448-0.00564911j -0.000617026-0.00708058j 0.00421333-0.00460761j 0.000292001-0.00258895j -0.00326759+0.000199263j 0.00330283-0.00850701j 0.00185791-0.00696513j 0.00013087+0.000837517j 0.000221911+0.00314011j 0.00616069+0.00624719j -0.00600117-0.00427391j -0.000412339+0.00126543j 0.000900954+0.00494435j 0.00212648-0.000693567j -0.00857015-0.0049004j 0.000700528-0.0111925j 0.00198277-0.000832612j 0.00144399+0.00182812j -0.00124458-0.0012849j -0.00287313+0.00628228j 0.000666776+0.0026266j 0.00161989-0.00275448j -0.00360678-0.00055056j 2.65271e-05+0.00154391j -0.00206008+0.00398706j 0.00751407-0.00604058j 0.00885202-0.00134085j 
-0.00556172+0.00847401j 0.00584588+0.00767094j 0.00062916-0.00754041j -0.00385343+0.00819741j 0.00828391+0.0131323j -0.0197195+0.00891169j -0.00340216-0.000598636j -0.00756053+0.00978778j -0.00591191-0.00900981j 0.00509547-0.00587702j 0.00710681+0.00769532j 4.65266e-06+0.00127041j 0.0066769+0.000123508j -0.00176878-0.0058118j 0.00563263-0.00290779j 0.00378205+0.00292034j -0.00720216+0.00457573j -0.00359655+0.000432258j -0.0030852+0.00241669j 0.00518098+0.00168294j 0.00751064-0.0106709j 0.00777714-0.00678386j 0.00372261+0.00236124j 0.00977977-0.00172662j 0.00823654+0.00882769j -0.00228705-0.0137557j 0.00438357-0.00046961j 0.00624579+0.00392253j 0.00332644-0.00424025j -0.00831218-0.00561376j -0.00337807+0.00729965j 0.00325694+0.000448355j 0.0082922+0.000677277j -0.0106565-0.00637408j 0.00272183+0.00610769j 0.00540891+0.00622238j -0.00553261+0.0118178j 0.00176167-0.00558149j 0.003259+0.00194379j -0.00163453+0.00362001j 
-0.00334866+0.0061314j 0.00177172+0.0057076j -0.00738496-0.00548079j -0.0074132+0.00105402j 0.00541758-0.0204514j 0.00659644-0.0088737j -0.0115034-0.0084019j -0.00506605-0.0153977j -0.00451084-0.00644881j -0.00762463-0.00997808j -0.00510385+0.0080326j 0.00344066-0.00854679j -0.00553526-0.00105614j -0.00878306-0.00343573j 0.00992292-0.00921331j 0.00405114-0.00641331j -0.00715895-0.00281303j 0.00366046-0.00331281j 0.00258091+0.00280129j 0.00152276+0.00219692j -0.00597869+0.00450442j -0.00449319+0.00368916j 0.0086079-0.000577364j -0.0100022-0.0043892j -0.0056261-0.00623302j 0.00241656+0.00494448j 0.00349785+0.00119962j 0.000531387+0.00437304j 0.000949753+0.00533964j 0.00394129+0.00380701j 0.00197416-0.000744425j -0.00518903-0.000993822j -0.00325771+0.00187124j -0.00133042-1.59777e-05j 0.00278285-0.00353758j -0.00545339-0.0078752j 0.00256029-0.00299261j 0.00179756-0.00440252j 0.000216202+0.00648166j -0.00399323+0.0022358j 
-0.00269869+0.000651773j -0.00123839-0.00590511j -0.00608107-0.00252235j -0.000808062+0.00419316j 0.00539305-0.00697975j -0.00529086+0.00126989j -0.00813455-0.00737979j -0.0072613-0.00521197j 0.000279153-0.00534755j 0.0002393+0.0176635j -0.00384185-0.017013j 0.00224253+0.00234222j -0.00514156-0.00335597j 0.00802741+0.00077118j -0.0104204-0.00527276j -0.000221537-0.00062588j 0.0184849-0.00734476j 0.00505836+0.00626031j 0.00850313-0.00204332j -0.00351795+0.00163031j 0.00854885-0.00233435j 0.00565031-0.00687221j -0.00241795+0.00642619j 0.00154808-0.00207611j 0.00287058+0.0122476j -0.00643943-0.0103689j 0.00567704-0.0034695j 0.004116+0.00252056j 0.00324963-0.00433515j -0.00632943-0.00314314j -0.0027751+0.00769203j 0.00233518+0.00149605j 0.00883903-0.000437922j -0.0108114-0.00678921j 0.00328085+0.00419673j 0.00309184+0.00527089j -0.00495446+0.01134j 0.000185683-0.00491842j 0.00331399-0.000560916j 0.000763123+0.00235647j 
-0.0258511+5.4305e-05j 0.00464921-0.00922137j -0.0159625-0.000132373j -0.00211978+0.00759648j -0.000643899-0.000767509j -0.00375066-0.00219988j -0.00196083+0.00252063j -0.000570609-0.00408636j -0.00469192-0.00857472j -6.6137e-05-0.00091005j 0.00132163+0.00126147j 0.00439651+0.000897757j 0.00815539+0.00257089j 0.00176841-0.0118664j 0.00452643-0.00685815j -0.00055045-0.00238953j -0.00312795-0.00182081j -0.00226269+0.00332275j 0.00273837-0.00297347j 0.000974895-3.0896e-05j 0.00250313-0.00278668j 4.27929e-06+0.00300213j 0.0115324+0.00120766j -0.0036271+0.000945988j 0.00121737+0.00093249j 0.00228757+0.00407798j 0.000305522-0.00182479j -4.92254e-05+0.00156746j 0.000346102-0.00144952j 0.000184422+0.000193353j 0.000497197+0.00128943j -0.00135702+0.000215043j -0.000762065+0.00237103j -0.00176722+0.00140933j -0.000386121-0.0013489j -0.0016419-0.000662457j 0.00172518+0.000461279j -0.000483558-0.00124227j 0.000910513+1.64234e-05j 0.00115632-0.000792747j 
