-0.109163-0.43205j 0.0577708-0.0286933j -0.0976889-0.12113j -0.102741-0.0706732j -0.0922501-0.0419853j -0.0162233+0.0228989j -0.0299587-0.0113912j 0.103756+0.0128592j -0.0505186-0.0308702j 0.0440829+0.0593551j -0.0530474-0.0186087j 0.00560478-0.0134397j 0.0295505+0.0397078j 0.0181292-0.0165221j 0.0456996+0.0218153j -0.0045849+0.0237833j 0.000987656-0.0246314j -0.0661257-0.0156138j -0.00114511+0.015193j -0.00647596+0.0068799j 0.012669+0.0293163j -0.005698+0.0213081j 0.0629727-0.0198818j -0.0323008-0.0128967j 
0.217554-0.318608j 0.0187385+0.0267741j 0.0520367+0.0182539j 0.0485882-0.025796j -0.0164983-0.0648429j 8.39626e-05+0.0400816j -0.00306984+0.0629557j 0.028279+0.0406145j 0.0709709+0.048808j -0.0514255+0.063017j -0.0166182-0.0132939j 0.0130068-0.00589308j -0.029746+0.0220825j -0.0126026-0.0170378j 0.0094869+0.00993576j -0.00168108+0.00094314j 0.0173823+0.0073972j 0.0264981-0.0418166j 0.0175049+0.0234587j 0.00504618-0.0230791j 0.00876102+0.0190125j 0.0322568-0.0170593j -0.0336378-0.0105418j -0.018754-0.016546j 
-0.0411391-0.0794229j 0.0289136+0.0126017j 0.0521021+0.0140355j -0.0366069-0.0280831j -0.0142038-0.00430016j -0.0187936+0.00377008j 0.0159662-0.00879885j 0.0207737+0.0045066j 0.0242916-0.0386152j 0.0378317-0.00747133j 0.000325116-0.0220352j -0.00314531+0.0146277j 0.000956532-0.0122149j 0.00991236-0.0106358j 0.00543088+0.0138428j 0.00845113+0.00960425j 0.00467408+0.0195934j -0.00775786+0.00919111j -0.00765906+0.00545272j 0.0141108+3.05759e-05j -0.0167891+0.00441408j 0.0161558+0.00590893j 0.0105807-0.00653492j 0.00304968-0.0058521j 
-0.222442+0.192245j 0.0609409+0.0528697j -0.125083+0.00254775j -0.130653-0.0476822j -0.0465682+0.0174594j -0.02645-0.0273676j 0.00710672-0.0405646j 0.0611914-0.0261163j -0.0477156-0.0255119j 0.0244811+0.0227942j -0.00998805+0.00793978j -0.0235315-0.0312604j 0.0145127-0.00967506j 0.0124435+0.00719137j 0.0341548-0.00404987j -0.00212441-0.00120062j 0.0376178-0.00970392j -0.0587842+0.00526865j -0.0121049+0.00205956j -0.00575434-0.0096567j 0.000802498+0.0166632j -0.0265551+0.0129207j 0.0736304-0.00663869j -0.0251456-0.00831448j 
-0.166226-0.364469j -0.106804-0.261642j 0.0227453+0.100785j 0.011782+0.0649076j 0.0506314+0.0197797j 0.0315862-0.0212053j -0.00614353+0.0173613j -0.158014-0.0584224j -0.0623484+0.000356484j 0.00771523+0.026044j 0.0277351+0.00737895j -0.0551008+0.00618783j -0.0127503+0.00476418j -0.0149409+0.000677645j -0.0650824-0.00258928j 0.0106105-0.00774542j -0.0245619-0.0297495j 0.0514282+0.0516587j -0.00977588+0.0083312j 0.00287781-0.00682389j -0.0212567-0.0172584j -0.0505401-0.0187973j -0.0444222+0.0214186j 0.058364-0.0118907j 
0.431125-0.0370178j 0.128781-0.0422535j -0.0598471+0.046699j -0.0689112+0.0527517j -0.0264893+0.0171132j 0.0196599+0.0196992j -0.0129107-0.0162596j -0.065471-0.0336048j -0.0497554+0.0160499j -0.0022548-0.00811525j 0.0136767+0.0369493j -0.0355781+0.0102315j 0.0252526-0.0129008j -0.0349945-0.0192616j -0.00107437-0.0170167j -0.0200603+0.000249055j -0.00836488+0.00163367j 0.0318673+0.0418602j -0.00470726-0.00432466j 0.0201005-0.00435896j -0.0204167-0.00422482j -0.0160768-0.00271397j -0.0133052+0.00539257j 0.0303145-0.00738439j 
-0.296122-0.06439j 0.00955643+0.13835j 0.0364372+0.238326j 0.0204012-0.0718827j 0.158925+0.0558777j 0.0188909-0.00499318j 0.0306014+0.00510114j -0.000911417-0.00175277j 0.0579062+0.0464715j -0.0344808-0.0127219j 0.0305874+0.0123325j -0.00242493+0.00898872j -0.00929082+0.00146028j -0.00490342-0.0164722j -0.0035022-0.0169005j -0.0224535-0.00622001j 0.0243027+0.038594j 0.0126198+0.0014601j -0.0154891+0.0180658j 0.00645352-0.0279274j 0.0167035-0.036476j 0.0135324+0.0150817j -0.0228994-0.00489749j -0.0138247+0.00253363j 
0.26552-0.0393715j 0.146921+0.11036j -0.0731828+0.123744j -0.0411902-0.0454229j -0.00278076+0.0187779j -0.0428813+0.0121219j 0.00742696+0.0310036j 0.0715018-0.0440107j -0.0135275+0.0225698j -0.0265667+0.00996466j 0.0121155-0.00944461j 0.0523065-0.0141712j 0.0114351+0.00364254j 0.0429068+0.0079819j 0.0426776+0.0175897j -0.0208821+0.00909239j 0.0148237+0.00702381j -0.00633252-0.0215911j 0.00228028+0.0254269j 0.00875361-0.0366035j -0.0110106-0.0233106j -0.0153585+0.0303059j 0.0510445+0.0107454j -0.039536-0.00294915j 
-0.025467-0.0551512j -0.069654-0.0768621j -0.155802-0.134606j -0.0123728+0.0962901j 0.0549703+0.0897334j -0.0501456+0.0296687j -0.0414223-0.00965071j 0.0471633+0.0299497j -0.0670384+0.0235379j 0.0188668-0.0202124j -0.0164551-0.00768068j 0.031795+0.0455569j 0.031827-0.00580471j 0.0331876-0.0377646j 0.0163494+5.65032e-05j -0.0124033+0.0195106j 0.0201827-0.0105052j -0.0494867-0.0259751j 0.00346986+0.0215607j -0.0141878-0.0122099j -0.0041493-0.000541265j 0.0139206+0.0151145j 0.0363989-0.00229475j 0.0118429+0.00169153j 
-0.0115892+0.0732972j -0.0509131+0.0345282j 0.101588-0.175686j 0.118051+0.0321911j 0.0124982-0.132968j 0.084554+0.0804325j 0.0317212-0.0157958j -0.0974652+0.0330015j 0.100117+0.00267255j 0.0121748+0.0652225j -0.0118485-0.0529079j -0.0285923+0.024167j -0.032524-0.0175142j -0.0356648-0.00523088j -0.0338725-0.00693134j -0.00618784-0.0143646j -0.0327617-0.0230965j 0.0563692-0.0284743j 0.0177152+0.0425889j -0.00804046-0.0285827j -0.019131-0.0312033j 0.014891-0.00209718j -0.0595579+0.0355523j 0.0279015+0.0214759j 
-0.0412941+0.00576346j 0.00787314-0.0530783j -0.118497+0.181321j -0.203042+0.0598434j -0.131706-0.221759j -0.113428+0.0906138j -0.067839+0.00521027j 0.0459208+0.112511j -0.11107+0.0311466j 0.0313274+0.0483185j -0.0329625-0.057963j -0.0475522+0.0035442j 0.0354664+0.00398859j 0.00692875-0.0323502j 0.0514125-0.0295837j 0.0327995+0.022616j -0.00458905+0.0046977j -0.0843599-0.000871795j -0.0129892+0.0157773j 0.0173499-0.0284567j 0.0289949-0.00935246j -0.0212537+0.0456501j 0.0536792+0.000233728j -0.00660359+0.00316397j 
