0.0745479-0.259919j -0.00652104-0.564677j 0.0155351-0.094677j 0.0086182-0.0120452j -0.0582555+0.00701976j -0.0598435+0.0479768j 0.0662303-0.0200294j -0.0156456-0.0231359j -0.0165813-0.0154328j -0.00943133-0.015915j -0.0158681+0.053668j -0.028782+0.0128957j -0.00140142+0.00443769j 0.0109102-0.00807414j -0.0320696+0.00729877j 0.00742536+0.0216056j -0.00173827-0.0246131j -0.0376749-0.000376068j 0.00194335+0.00150992j 0.00931688-0.0183697j 0.00175501+0.00829258j 0.00814541+0.00610587j -0.00836395-0.0190255j -0.00119244+0.0021856j 0.00757544-0.0246106j -0.00788919+0.0108551j -0.00181552-0.0091875j 0.0187202+0.0150364j -0.00128644-0.000467731j -0.0212309+0.0225789j -0.0133604-0.00792962j 0.0115832-0.0138103j -0.00937873+0.0171239j -0.0316304+0.0128609j -0.000135101+0.0124983j 0.00711518-0.0204178j -0.0254919+0.0166442j 0.0154764-0.0107714j -0.00677964+0.0159988j -0.0248908+0.00370468j 
0.154002-0.209652j 0.0408511+0.428841j -0.00301818-0.0977602j -0.0398513-0.00563689j -0.115347+0.00658804j -0.0676933-0.0193356j 0.0559276-0.0193696j -0.0321323+0.0272532j -0.0795095+0.00309031j -0.0124667-0.0222921j -0.0282467+0.0286915j -0.0371551+0.0402688j 0.00642845+0.00700206j 0.0203457+0.00484434j -0.0551125+0.011146j 0.0107328-0.00151345j -0.0114322+0.0256231j 0.00316978-0.00752965j 0.00021324+0.0209525j 0.00901185+0.00439005j 0.013492+0.00276984j 0.0172086+0.00705854j -0.0250056+0.0197747j -0.00507418-0.00527927j 0.00851705-0.0148313j 0.00503836+0.0301334j 0.00783417+0.0137984j 0.0223105+0.0122968j -0.00161877+0.0101046j 0.0111892-0.00339318j -0.00371425-0.00443645j 0.0061679+0.00960913j -0.0269105-0.000245848j 0.0021834-0.0215387j 0.00454122-0.00653651j -0.0027194+0.0109796j 0.00616557+0.008047j -0.00355169-0.0132984j 0.00343729+0.0259357j -0.0237363-0.00502004j 
0.218273+0.0504489j 0.279005+0.00651961j 0.100862-0.0105689j 0.0678025-0.0329895j -0.0123389-0.0224657j 0.00693245-0.050103j -0.0101269-0.0284815j -0.0132097-0.0788367j 0.0163001-0.021898j 0.00213181-0.00254852j -0.0152107-0.044517j 0.000242369-0.022941j 0.00963748-0.0154942j -0.0240026-0.00998767j -0.0384255+0.00522424j 0.00387708-0.00141614j -0.00104504-0.00122844j -0.0195951+0.034142j -0.00601094+0.00197079j -0.00341278+0.0108781j -0.010957+0.0295138j 0.010407+0.000289224j 0.0149013+0.0154413j 9.68413e-05-0.0276531j 0.00562466+0.0133575j 0.0171685-0.013564j 0.0165543+0.00718828j 0.00740351-0.0148925j 4.31107e-05+0.0128872j 0.0026084+0.00341428j -0.0101084+0.0066786j 0.0177942-0.00155764j -0.0162486-0.00861054j -0.00792518+0.0125602j -0.00272834+0.00734718j -0.000918908+0.00438835j -0.00405963+0.000535295j -0.00334255-0.00437265j 0.0311545-0.00400736j -0.0218326-0.00237347j 
-0.0405952-0.0142187j -0.528102+0.0479996j 0.00952295-0.0156359j 0.02734+0.0239494j 0.0218643-0.0244842j -0.0379229+0.00753698j 0.00873613+0.00947684j 0.032625-0.00915844j 0.00976058-0.00526531j 0.00249656-0.0245718j -0.00053194-0.0250665j 0.00741356-0.00248912j 0.00137876-0.0176148j 0.0012849-0.00800865j -0.000875642+0.0110532j -0.0128584+0.00899613j 0.053326-0.00139222j 0.00210168-0.000807906j 0.00751972-0.00541741j 0.00794662+0.00785567j -0.00550519-0.0146744j 0.00906811+0.0122678j -0.00837969-0.00363327j -0.00390216+0.0195352j -0.012514+0.00470286j -0.00960392+0.0120147j -0.0157757-0.0211975j 0.0124587+0.00747527j 0.0092443-0.00222453j 0.00766622-0.0102305j 0.000621982+0.00428265j -0.00803295+0.00206537j 0.0114531+0.00473277j 0.00253791-0.00678222j 0.011932-0.00841084j 0.0082287+0.00267029j 0.0053934-0.00352267j -0.00266109+0.00194842j 0.000871206-0.00276181j 0.000636261-0.00150984j 
-0.0274845-0.136427j -0.301724+0.0375431j -0.0241565-0.0824713j -0.0220199+0.00171733j 0.0178266-0.0218759j -0.0458822+0.0198714j -0.00276234-0.0360798j 0.0158057+0.0349629j -0.0137209-0.00482585j -0.0185902+0.0445672j 0.0110108+0.0197417j 0.00768329-0.00458197j 0.0215168-0.0167552j 0.00709385+0.0125177j 0.0137958+0.0267203j -0.00353058+0.00716726j -0.0066578+0.00542083j -0.00605868-0.00935239j 0.0203173+0.00990963j 0.0211732-0.00226017j 0.0166247+0.00211578j 0.00403195+0.0165967j 0.00926544+0.0079646j 0.000866599+0.00713718j -0.0104479-0.016702j 0.00479802-0.00143795j -0.00167419-0.0185139j 0.0220829+0.00728823j 0.00819107-0.00270602j 0.00438359+0.00166271j -0.0115439+0.00961013j 0.0046473+0.00247598j 0.00148971+0.0188469j -0.00879292-0.00489835j 0.0094469-0.00793659j 0.0024546+0.00418593j -0.00117533+0.0075983j -0.000411009-0.00342155j 0.00410981+0.00588757j -0.0122801+0.00309929j 
-0.128849-0.164366j 0.218163+0.0461289j -0.0396751-0.109981j -0.0690664+0.0617551j 0.0706666+0.045847j 0.0416135+0.0628943j 0.0179729-0.117586j 0.0794297+0.0924908j 0.0380003-0.0208801j -0.00598411+0.016095j 0.012309-0.00975315j 0.0142995+0.034873j -0.0109538-0.0198949j -0.000970832+0.00911546j 0.0127924+0.0183313j 0.000219827+0.00367502j 0.00719087+0.00390383j 0.0143209+0.00524076j -0.00445687-0.0173471j -0.0107317-0.00372289j 0.0148901-0.00261392j -0.0113436-0.0130884j -0.0191383-0.00215922j -0.00329029-0.00582438j -0.00196986-0.019474j -0.00197079-0.00147624j -0.0212636+0.00690504j -0.0190993+0.00206671j -0.0190326-0.00151639j -0.00455218+0.00895722j 0.00928229-0.0053302j -0.000221123+0.0015905j 0.00570562+0.0109563j -0.000816356-0.00546736j -0.0110278-0.00276129j -0.00303987-0.00182671j -0.00297285+0.0103462j -0.0063471+0.00134408j -0.0134597+0.00265599j 0.0258014+0.00879695j 
-0.439015-0.032041j 0.0810612+0.0304516j -0.0812118+0.019712j -0.0274869-0.0979154j 0.139843-0.0652893j 0.0486851-0.0671316j -0.0499766+0.0950306j -0.115565+0.0303821j 0.107506+0.0381239j -0.0149866-0.00976429j 0.0827992+0.0173336j 0.064717-0.0278552j -0.0108461-0.0363934j -0.00708358-0.0242096j 0.0738972-0.0347156j -0.0141617+0.00177313j 0.0240519-0.00789039j 0.0316963+0.0202531j -0.00260473+0.0135412j -0.0273872+0.0020365j 0.00143303+0.0244136j -0.0161759+0.0154118j 0.0031708-0.00416482j 0.00546729+0.00644287j -0.00384556-0.0174835j 0.0129173-0.0106227j -0.0146828-0.009465j -0.0338909-0.0144361j 0.0111285+0.00498899j -0.00802573+0.000343055j -0.0176038-0.000415568j -0.0168019+0.00474989j 0.0392865+0.00247484j 0.00564502+0.0037729j -0.00531815+0.000857029j 0.00358358-0.00315463j 0.0170349-0.00992817j -0.000492866-0.0094601j -0.0120366-0.0156957j 0.0551971+0.0133031j 
0.136574-0.257478j -0.0124173+0.0667317j 0.15557-0.226669j 0.0965968+0.0211062j 0.176308-0.117065j 0.0868853-0.0249578j -0.0451939-0.0323866j 0.026442-0.0531839j 0.10016-0.132096j 0.00973942-0.00271901j -0.00240304+0.00252459j 0.0391763-0.102085j 0.0161441-0.0253866j -0.0363471-0.0223654j 0.0606026+0.0016035j -0.0154198-0.0123319j 0.0053647-0.00183825j -0.0159763+0.0252201j -0.0112486+0.00941297j 0.00423992+0.0506005j -0.0222673+0.00378013j -0.0182379+0.00887836j 0.0198753-0.0272069j -0.0186675+3.55645e-05j 4.95221e-06+0.00472686j -0.0167098+0.00483574j -0.0227829-0.00748184j -0.0186588-0.0283018j 0.0019391+0.00800145j -0.00855353+0.00890483j -0.0136451+0.00104925j -0.00878761+0.010019j 0.0261243-0.0164114j 0.000502712+0.00615728j -0.0110673-0.00117137j 0.00141456+0.0124614j 0.0061291-0.00786196j 0.0103787-0.00370292j 0.0236047-0.0218882j 0.0222039+0.00602941j 
-0.154565-0.382397j 0.0702249+0.0446551j -0.0946663-0.197998j -0.0472077-0.0410081j -0.0660056+0.0126959j -0.0428613-0.0603959j 0.00424636+0.0320661j -0.0565348+0.0257793j -0.00456367-0.0261349j 0.0157546+0.00393502j 0.0116449+0.0224298j -0.00941298+0.0040059j -0.0353326-0.0218444j 0.00916149-0.00579911j 0.014571+0.00856704j 0.0134181+0.0223771j -0.00356249+0.00477597j 0.0210998-0.00199428j 0.00599948+0.0013621j -0.00906741-0.0136941j 0.03226+0.0127062j 0.0257501+0.000947423j -0.00155177-0.00191636j -0.0210727-0.0132119j -0.00271328-0.0182764j -0.0128024-0.00233021j -0.0253898-0.0139434j 0.00977058-0.0039393j 0.00399721+0.00673361j -0.00434363-0.00803212j -0.00298702+0.00151383j -0.000859712-0.00798194j 0.0158411+0.0157547j -0.00225816+0.00101753j -0.0082005-0.00888431j 0.00874798+0.00113609j 0.0113241+0.0130937j -0.00331918-0.0117307j -0.0063486-0.00113297j 0.00639178+0.0185455j 
0.117543-0.0533126j -0.0254403-0.0687851j -0.00623544-0.0442858j -0.123826+0.135847j -0.0514758+0.00280333j 0.196755-0.182041j -0.184027+0.0256768j 0.104701+0.151772j -0.085211+0.0193486j -0.0257674-0.000841744j 0.0420833-0.0176193j -0.0162592-0.0241181j 0.0109329-0.00964416j 0.00924716+0.00503291j -0.00421874+0.0146887j -0.0184376-0.000120688j 0.00071158+0.00211022j -0.0132013-0.00647686j 0.010431-0.0168638j 0.0147047+0.000706902j 0.000864496-0.0367721j 0.00120083+0.017054j -0.00634392-0.000724895j -0.00901828-0.00681207j 0.00412486-0.0101578j 0.00202643-0.00463046j 0.0150047+0.00506635j 0.0180852-0.00161852j -0.0109204-0.0208515j 0.00168275-0.0180795j 0.0136633+0.00681783j -0.0169986+0.0163214j 0.0111078+0.0104559j 0.0236925+0.00527076j -0.0130573-0.0112193j -0.0405246+0.00473602j -0.000180952-0.0483579j 0.00334434+0.00768492j -0.000344047+0.00560108j -0.00770403-0.0077549j 
-0.0708858-0.0845165j 0.010027-0.00977592j -0.0160663+0.125172j -0.148445-0.223889j 0.0257716+0.00522333j -0.0154526-0.139457j 0.067644+0.241655j -0.252852+0.0595024j 0.0548721+0.162868j -0.0081338-0.00109189j 0.00210794-0.00767352j 0.0355239+0.0428249j 0.0178097-0.0148672j 0.0274302+0.061902j -0.0062612-0.0267172j 0.0444103+0.037314j 0.0124229-0.00274035j 0.03285-0.00804667j 0.0149603+0.0232448j -0.0501281-0.0577526j 0.0469542+0.0235231j 0.0206093+0.0300571j 0.0215723+0.00979133j 0.00229553+0.00692433j 0.00825032-0.0148212j 0.0121434-0.00329217j 0.0119636-0.00117629j 0.0231724-0.0036252j 0.0342293+0.0082505j -0.0132435-0.0114494j -0.0248015+0.00624501j -0.00088699+0.000919296j 0.0188081+0.0114376j 0.0107235+0.000800768j 0.00381512-0.00341088j -0.00191841-0.0084985j 0.0129394-0.011351j -0.00347825-0.0150296j -0.0288688+0.00280323j 0.00886701+0.00806683j 
-0.0943564+0.0196747j -0.0646936-0.00941415j -0.0603102-0.0937405j 0.0676303-0.00832958j 0.0508787+0.17503j -0.121381-0.275426j 0.0101825-0.148487j 0.00301486-0.0455387j -0.0323912-0.0546244j 0.0229209+0.00527005j -0.0308047-0.0527908j 0.0144242+0.00856137j -0.00434159+0.00139035j -0.0225201-0.0276742j -0.0103419+0.000482826j -0.00222362-0.00312996j -0.00522203-0.0025033j -0.0128476-0.00285142j -0.00448787-0.000169279j 0.0163567+0.0269558j -0.0117456-0.00434059j -0.017622-0.0169769j -0.00929638+0.000444635j -0.0257102-0.0245191j 0.0416142+0.0361194j 0.0252804+0.0209469j -0.00405918+0.0159663j 0.0126358+0.0177918j 0.0190201-0.00203798j -0.019375-0.0308203j -0.00407435+0.0185177j 0.0224379-0.00295767j -0.000505618+0.0132313j 0.00404306+0.0178104j 0.0248752+0.00316655j 0.0105991-0.0137165j 0.0257498-0.00970593j 0.000491923-0.000798511j 0.00690341+0.00362577j -0.00456974-0.00275672j 
0.199255-0.0241798j -0.0482054+0.0141297j 0.141458-0.00539649j -0.0522672-0.181014j 0.0877748+0.202817j -0.157439-0.333815j -0.0190498-0.0151675j -0.157943+0.0116961j 0.076326+0.0411357j 0.0259279+0.0221572j -0.0455409-0.0810567j 0.00242376+0.0381629j -0.0107087-0.0121993j -0.0216362+0.0446009j -0.0241446-0.0238751j 0.00772852+0.0229596j -0.00562711-0.00907104j 0.0274771-0.0173407j 0.018282+0.0238417j 0.00127096-0.00265115j 0.0153078+0.040618j 0.0024886-0.0246676j -0.00335603-0.018691j -0.00742613-0.0024732j 0.0141884+0.00755143j 0.00101063+0.00243215j 0.0108101-0.00633754j -0.0136001+0.00620335j 0.0261782-0.00831341j -0.00645869-0.00480547j -0.00658359+0.0322304j 0.030003-0.00421428j 0.0142669-0.0114275j -0.0056512-0.00335433j 0.0126423+0.00361038j 0.0405317-0.000666278j -0.00114377-0.00360221j 0.00522386-0.0241079j -0.0195198-0.00325854j 0.0169832+0.00198623j 
-0.102441+0.0991527j 0.0374901-0.000400446j -0.133631-0.0959478j -0.0285186-0.00238845j 0.119851+0.117779j -0.258321+0.139669j -0.120841-0.322266j -0.0262611-0.0155669j -0.056571-0.109173j -0.00618286+0.0483779j -0.0312618-0.0404725j 0.0180267+0.0207158j 8.57517e-05+0.01903j 0.0174757-0.0262263j 0.0299754+0.0535031j -0.0170463-0.0142089j 0.0100547+0.00938809j -0.0324437+0.0221867j -0.0267706+0.00510543j 0.0124081+0.0206988j 0.0228618-0.0127157j -0.0466238-0.0186984j 0.0159435+0.0174375j 0.00119928+0.0151494j 0.0193895+0.00629161j 0.0121858-0.0221029j -0.0159403+0.00809776j 0.00642324-0.00762121j -0.0155037+0.0112556j -0.0214419+0.0353792j -0.00418346+0.019883j 0.0273392-0.0107436j 0.00510235+0.00237143j -0.0119914-0.0191767j 0.0180111-0.000254049j 0.0287945-0.00109594j 0.0115786+0.043974j 0.020786+0.0345647j -0.00568385+0.00365501j -0.0142122+0.00285858j 
0.127536-0.0824403j -0.0538946+0.0218819j 0.15218+0.0969896j -0.0580187+0.0368967j -0.0143669-0.0048081j -0.099185+0.452541j 0.164826-0.107808j -0.00437946+0.0699647j 0.120171+0.0765252j -0.0298481+0.0104734j 0.0125314+0.0911724j -0.0274262+0.0693653j -0.0262785+0.0118037j -0.0149877+0.0132262j -0.00215971+0.00877655j -0.029009+0.00788832j -0.00335445+0.00549508j 0.0477834+0.0282291j 0.00635619+0.0290708j 0.0137436-0.0554127j 0.0367332-0.0296247j -0.0254423+0.00489446j 0.00077548-0.0221054j 0.0199655-0.000300375j -0.00363831-0.0184665j 0.0175932+0.0073274j -0.0158204+0.000356108j -0.0303123+0.00538266j -0.0141364+0.00119828j -0.0132629+0.0278619j 0.00825078-0.00925858j 0.00686507+0.00219071j -0.00125639+0.0434657j -0.0186042-0.00299727j 0.0120644-0.00405885j -0.00823665-0.00434613j 0.0045079+0.0470609j -0.0119497+0.00212199j 0.000106701-0.0116639j 0.0267078+0.0359877j 
-0.0274112+0.00935419j 0.00998506+0.0129103j 0.0481982-0.00297106j -0.0783135+0.297036j -0.0780454+0.338312j 0.0710584-0.203419j 0.141811-0.17447j 0.198722+0.156211j 0.0397097+0.110894j 0.0229352+0.000168912j 0.00169601-0.0317872j 0.0133241+0.0399654j -0.0432765+0.0429833j -0.00468871-0.0431939j 0.022309+0.0297337j -0.0582379+0.0286113j -0.0147685+0.0152281j 0.0205261+0.0557674j -0.000648256+0.0212399j 0.0402359-0.0449934j -0.0293535-0.0457331j 0.0336094-0.0468699j -0.015852-0.000249484j -0.00349461-0.0117696j -0.00526786+0.0154164j -0.00311487+0.0221718j 0.0261145-0.00391075j -0.0113238+0.00200055j -0.0168098-0.00110405j -0.000663188-0.0278657j 0.0617863-0.00512289j -0.0136404-0.00363193j 0.0114819+0.0348262j 0.00335998-0.00400484j -0.00711003-0.00946127j -0.00457313+0.00636964j -0.00611905-0.0147503j -0.00276832+0.00503458j 0.0226371+0.0244601j 0.0107951+0.0289911j 
0.0590256+0.00826818j 0.0332232-0.0189522j -0.00924198+0.0379073j -0.0642138-0.0720791j 0.0588434+0.128046j -0.194231+0.0203409j 0.0498289-0.137603j -0.113951+0.0258419j -0.0116038+0.0217117j -0.0197005-3.79843e-06j -0.0339472+0.0136443j -0.00805498+0.0712562j 0.00420457+0.0257967j 0.00511813-0.00457752j -0.0259325+0.00705926j 0.00291347+0.0065553j -0.00305837+0.00605784j 0.01537+0.00412746j 0.00535778+0.0174707j 0.00378828-0.0187201j 0.00817198-0.00440796j 0.00727504-0.00631081j 0.0032643-0.00282347j -0.00552935+0.0132027j 0.0211197-0.0301633j 0.00970883-0.0241776j 0.0097824-0.000922126j -0.00162464-0.000471151j -0.000190359-0.00754025j -0.0230228+0.0349612j 0.00734368+0.0246146j 0.0356971-0.0152328j 0.0119408+0.0011664j -0.00087721-0.0295338j 0.0109087-0.0104296j 0.0202213+0.0174586j -0.0164755+0.0163481j 0.0101923+0.00137059j -0.0170506+0.00478942j -0.00328181+0.0101547j 
-0.0573403-0.0537893j 0.010521-0.00413367j -0.150788+0.0173018j 0.267653+0.046668j -0.443183-0.0206834j -0.136859+0.125794j 0.29242-0.0120455j 0.110164-0.162918j -0.142642+0.0549032j 0.0276364+0.0178262j -0.0354749+0.0240034j -0.0979088+0.00598471j 0.0147819-0.00705903j -0.0431776-0.0167776j -0.092557+0.0112345j 0.0492647+0.0116086j -0.015193+0.00341295j 0.0147857+0.00347305j 0.0076535-0.00740069j -0.00563837-0.0232888j -0.0698043+0.0184295j 0.0955949-0.0125651j -0.00649457+0.00349452j -0.0153488-0.0154117j 0.0131148+0.00229809j 0.000651178+0.0169345j 0.0305948-0.00194422j 0.050855+0.00556357j 0.0227786+0.0119974j 0.0131538-0.0075384j 0.00645822-0.0294312j 0.0072588-0.023048j -0.0623832+0.0141589j -0.0108006+0.00482372j 0.00888955+0.000676865j 0.00271732+0.00738166j -0.0175886+0.0133901j -0.00138438-0.0173228j 0.0289467+0.00898804j -0.0732178+0.0181695j 
